dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-26,1996-12-31,1996-Q4,,33512121120.000000,2025-05-08,469000000.000000,151067000000.000000,,,,,68.279000,,0.000000,0.000000,,,,10.390000,40550000000.000000,,,40550000000.000000,0.000000,,13621000000.000000,0.009000,0.500000,,,,,,,,,,13085000000.000000,,13085000000.000000,74062121120.000000,13.000000,12.379000,,,1.000000,,,2933000000.000000,,188684000000.000000,,0.000000,101680000000.000000,,,135953000000.000000,,,,,,,,,,,,,,,,,,,,,20511000000.000000,,2.561000,14.377000,14.928000,695000000.000000,,174.167000,1.570000,1.564000,22408000000.000000,7452000000.000000,,,,,,,,,,1.000000,192413724.000000,191640000.000000,,,148134000000.000000,0.000000,,0.000000,772.981000
ARQ,1997-03-31,1997-05-13,1997-03-31,1997-Q1,,35990987093.000000,2025-05-08,-131000000.000000,153944000000.000000,,,,,66.295000,0.000000,1776000000.000000,1776000000.000000,1905000000.000000,642000000.000000,,10.814000,43334000000.000000,,,43334000000.000000,0.000000,92000000.000000,13666000000.000000,0.009000,0.500000,1672000000.000000,1764000000.000000,0.298000,1764000000.000000,1672000000.000000,1019000000.000000,3.200000,3.200000,3.200000,12858000000.000000,,12858000000.000000,77548987093.000000,,,638000000.000000,3.290000,1.000000,4023000000.000000,0.679000,2902000000.000000,653000000.000000,192600000000.000000,,0.000000,103057000000.000000,,,139044000000.000000,,,-92000000.000000,16000000.000000,-242000000.000000,664000000.000000,-117000000.000000,263000000.000000,-821000000.000000,-716000000.000000,638000000.000000,0.000000,642000000.000000,642000000.000000,642000000.000000,0.000000,0.000000,0.108000,2302000000.000000,1721000000.000000,19901000000.000000,0.156000,2.799000,,,763000000.000000,0.000000,187.083000,,,23639000000.000000,7977000000.000000,5928000000.000000,5928000000.000000,0.000000,,,,,0.000000,2230000000.000000,1.000000,192379784.000000,193950000.000000,193950000.000000,30.565000,151042000000.000000,0.000000,377000000.000000,0.000000,778.768000
ARQ,1997-06-30,1997-08-12,1997-06-30,1997-Q2,,42233385657.000000,2025-05-08,436000000.000000,159606000000.000000,,,,,73.547000,0.000000,1739000000.000000,1739000000.000000,1906000000.000000,663000000.000000,,10.067000,45091000000.000000,,,45091000000.000000,0.000000,94000000.000000,14601000000.000000,0.009000,0.500000,1745000000.000000,1839000000.000000,0.308000,1839000000.000000,1745000000.000000,1049000000.000000,3.333000,3.333000,3.333000,14238000000.000000,,14238000000.000000,85585385657.000000,,,522000000.000000,2.696000,1.000000,4067000000.000000,0.681000,2991000000.000000,696000000.000000,199967000000.000000,,0.000000,108912000000.000000,,,143328000000.000000,,,-37000000.000000,9000000.000000,-258000000.000000,1441000000.000000,-116000000.000000,1807000000.000000,-1952000000.000000,-1693000000.000000,522000000.000000,0.000000,663000000.000000,663000000.000000,663000000.000000,0.000000,0.000000,0.111000,2273000000.000000,1794000000.000000,20238000000.000000,0.150000,2.966000,,,502000000.000000,0.000000,219.583000,,,23491000000.000000,8524000000.000000,5973000000.000000,5973000000.000000,0.000000,,,,,0.000000,2200000000.000000,1.000000,192334496.000000,193590000.000000,193590000.000000,30.854000,156615000000.000000,0.000000,386000000.000000,0.000000,809.004000
ARQ,1997-09-30,1997-11-12,1997-09-30,1997-Q3,,66061847679.000000,2025-05-08,930000000.000000,169431000000.000000,,,,,52.204000,0.000000,2127000000.000000,2127000000.000000,1898000000.000000,823000000.000000,,10.154000,50677000000.000000,,,50677000000.000000,0.000000,101000000.000000,14590000000.000000,0.009000,0.500000,2041000000.000000,2142000000.000000,0.331000,2142000000.000000,2041000000.000000,1306000000.000000,2.767000,,2.767000,15008000000.000000,,15008000000.000000,114611847679.000000,,,1692000000.000000,5.886000,1.000000,4578000000.000000,0.707000,3364000000.000000,735000000.000000,214617000000.000000,,0.000000,117427000000.000000,,,152386000000.000000,,,388000000.000000,-1256000000.000000,-262000000.000000,2457000000.000000,-114000000.000000,1673000000.000000,-2583000000.000000,-1258000000.000000,1692000000.000000,0.000000,823000000.000000,823000000.000000,823000000.000000,0.000000,0.000000,0.127000,2482000000.000000,2096000000.000000,22139000000.000000,0.181000,4.402000,,,491000000.000000,0.000000,229.792000,,,23112000000.000000,9233000000.000000,6476000000.000000,6476000000.000000,0.000000,,,,,0.000000,2419000000.000000,1.000000,287485412.000000,287485412.000000,291150000.000000,22.526000,166067000000.000000,0.000000,483000000.000000,0.000000,577.654000
ARQ,1997-12-31,1998-03-24,1997-12-31,1997-Q4,,71464150394.000000,2025-05-08,1157000000.000000,386555000000.000000,,,,,94.744000,0.000000,4033000000.000000,4033000000.000000,2005000000.000000,976000000.000000,,17.374000,260882000000.000000,,,260882000000.000000,0.000000,134000000.000000,14848000000.000000,0.007000,0.625000,10785000000.000000,10919000000.000000,0.568000,10919000000.000000,10785000000.000000,1426000000.000000,6.350000,,6.350000,20893000000.000000,,20893000000.000000,328313150394.000000,20.000000,19.702000,-2185000000.000000,-9.908000,1.000000,17227000000.000000,0.896000,3446000000.000000,9359000000.000000,639958000000.000000,,0.000000,322116000000.000000,,,363002000000.000000,,,514000000.000000,143000000.000000,-426000000.000000,3137000000.000000,-240000000.000000,2980000000.000000,-1261000000.000000,-1061000000.000000,-2185000000.000000,0.000000,976000000.000000,976000000.000000,976000000.000000,0.000000,0.000000,0.051000,6383000000.000000,10844000000.000000,32181000000.000000,0.098000,3.420000,23.023000,23.048000,0.000000,0.000000,310.000000,1.900000,1.818000,30939000000.000000,15451000000.000000,19232000000.000000,19232000000.000000,0.000000,,,,,0.000000,6314000000.000000,1.000000,230529517.000000,220520000.000000,235980000.000000,87.212000,383109000000.000000,0.000000,450000000.000000,0.000000,1737.298000
ARQ,1998-03-31,1998-05-14,1998-03-31,1998-Q1,,69865337511.000000,2025-05-08,1115000000.000000,408475000000.000000,,,,,96.815000,0.000000,3943000000.000000,3943000000.000000,1994000000.000000,1093000000.000000,,17.755000,234776000000.000000,,,234776000000.000000,0.000000,0.000000,15188000000.000000,0.007000,0.625000,4879000000.000000,4879000000.000000,0.471000,4879000000.000000,4879000000.000000,1702000000.000000,4.750000,4.550000,4.750000,21613000000.000000,,21613000000.000000,300698337511.000000,15.000000,15.203000,-5434000000.000000,-24.342000,1.000000,8374000000.000000,0.808000,3425000000.000000,3177000000.000000,635883000000.000000,,0.000000,315803000000.000000,,,383737000000.000000,,,-90000000.000000,106000000.000000,-422000000.000000,7453000000.000000,-175000000.000000,7310000000.000000,-1966000000.000000,-2059000000.000000,-5434000000.000000,0.000000,1093000000.000000,1093000000.000000,1093000000.000000,0.000000,0.000000,0.105000,3437000000.000000,4937000000.000000,77075000000.000000,0.132000,3.233000,19.653000,17.660000,0.000000,0.000000,303.750000,1.662000,1.613000,58620000000.000000,16369000000.000000,10368000000.000000,10368000000.000000,0.000000,,,,,0.000000,3350000000.000000,1.000000,230009342.000000,223240000.000000,234620000.000000,46.443000,405050000000.000000,0.000000,609000000.000000,0.000000,1814.415000
ARQ,1998-06-30,1998-08-13,1998-06-30,1998-Q2,,65612950999.000000,2025-05-08,1263000000.000000,420076000000.000000,,,,,100.327000,0.000000,4895000000.000000,4895000000.000000,2047000000.000000,1141000000.000000,,17.591000,273231000000.000000,,,273231000000.000000,0.000000,0.000000,15550000000.000000,0.008000,0.625000,5104000000.000000,5104000000.000000,0.506000,5104000000.000000,5104000000.000000,1771000000.000000,4.950000,4.750000,4.950000,22427000000.000000,,22427000000.000000,333948950999.000000,15.000000,14.492000,318000000.000000,1.423000,1.000000,8049000000.000000,0.797000,3412000000.000000,3333000000.000000,685000000000.000000,,0.000000,346350000000.000000,,,394524000000.000000,,,952000000.000000,-28000000.000000,-405000000.000000,2293000000.000000,-201000000.000000,2208000000.000000,-1574000000.000000,-1239000000.000000,318000000.000000,0.000000,1141000000.000000,1141000000.000000,1141000000.000000,0.000000,0.000000,0.113000,2893000000.000000,5156000000.000000,48131000000.000000,0.126000,2.926000,16.269000,15.079000,0.000000,0.000000,283.750000,1.421000,1.373000,38278000000.000000,17309000000.000000,10096000000.000000,10096000000.000000,0.000000,,,,,0.000000,2802000000.000000,1.000000,231235070.000000,223540000.000000,234420000.000000,45.164000,416664000000.000000,0.000000,630000000.000000,0.000000,1863.935000
ARQ,1998-09-30,1998-11-13,1998-09-30,1998-Q3,,98546557478.000000,2025-05-08,1464000000.000000,358046000000.000000,,,,,98.978000,0.000000,5737000000.000000,5737000000.000000,2099000000.000000,199000000.000000,,15.004000,212876000000.000000,,,212876000000.000000,0.000000,0.000000,16255000000.000000,0.013000,0.900000,3548000000.000000,3548000000.000000,0.432000,3548000000.000000,3548000000.000000,253000000.000000,0.750000,0.750000,0.750000,22177000000.000000,,22177000000.000000,305685557478.000000,13.000000,12.502000,5149000000.000000,22.980000,1.000000,6123000000.000000,0.745000,3455000000.000000,3295000000.000000,561730000000.000000,,0.000000,281353000000.000000,,,332744000000.000000,,,842000000.000000,7000000.000000,-696000000.000000,-1382000000.000000,-150000000.000000,-1633000000.000000,-2674000000.000000,-2467000000.000000,5149000000.000000,0.000000,199000000.000000,199000000.000000,199000000.000000,0.000000,0.000000,0.024000,2522000000.000000,3601000000.000000,46549000000.000000,1.200000,4.444000,28.908000,12.909000,0.000000,0.000000,216.875000,2.057000,1.014000,39132000000.000000,17358000000.000000,8222000000.000000,8222000000.000000,0.000000,,,,,0.000000,2437000000.000000,1.000000,454393349.000000,224060000.000000,233240000.000000,36.696000,354591000000.000000,0.000000,54000000.000000,0.000000,1582.572000
ARQ,1998-12-31,1999-03-08,1998-12-31,1998-Q4,,148928396544.000000,2025-05-08,781000000.000000,668641000000.000000,,,,,95.228000,-1041000000.000000,25480000000.000000,25480000000.000000,4976000000.000000,3374000000.000000,,14.656000,164168000000.000000,,,164168000000.000000,0.000000,1470000000.000000,228649000000.000000,0.010000,0.900000,-4490000000.000000,-3020000000.000000,-0.149000,-3020000000.000000,-4490000000.000000,5315000000.000000,2.000000,2.050000,2.000000,42708000000.000000,,42708000000.000000,287616396544.000000,32.000000,27.363000,3771000000.000000,8.408000,1.000000,15274000000.000000,0.754000,0.000000,-9805000000.000000,807329000000.000000,,0.000000,533689000000.000000,,,625933000000.000000,,,-485000000.000000,-3975000000.000000,-1144000000.000000,-6680000000.000000,-1320000000.000000,20077000000.000000,-25405000000.000000,-20709000000.000000,4812000000.000000,31000000.000000,3374000000.000000,3374000000.000000,3374000000.000000,0.000000,0.000000,0.167000,19699000000.000000,-4425000000.000000,21055000000.000000,0.450000,3.487000,25.646000,24.900000,0.000000,0.000000,310.000000,3.043000,2.841000,30905000000.000000,35971000000.000000,20250000000.000000,20250000000.000000,0.000000,,,,,0.000000,19167000000.000000,1.000000,480414182.000000,448480000.000000,463040000.000000,45.153000,668641000000.000000,0.000000,1941000000.000000,0.000000,1490.905000
ARQ,1999-03-31,1999-05-14,1999-03-31,1999-Q1,,159945912809.000000,2025-05-08,901000000.000000,690649000000.000000,,,,,98.704000,-260000000.000000,23273000000.000000,23273000000.000000,2777000000.000000,2362000000.000000,,14.711000,186626000000.000000,,,186626000000.000000,0.000000,414000000.000000,238978000000.000000,0.010000,1.050000,3785000000.000000,4199000000.000000,0.298000,4199000000.000000,3785000000.000000,3785000000.000000,5.250000,5.100000,5.250000,43959000000.000000,,43959000000.000000,323298912809.000000,41.000000,32.886000,-2030000000.000000,-4.558000,1.000000,11293000000.000000,0.803000,0.000000,0.000000,854002000000.000000,,0.000000,553925000000.000000,,,646690000000.000000,,,-2138000000.000000,-1344000000.000000,-946000000.000000,-980000000.000000,-447000000.000000,8587000000.000000,-8707000000.000000,-7100000000.000000,-1770000000.000000,-248000000.000000,2362000000.000000,2362000000.000000,2362000000.000000,0.000000,0.000000,0.168000,7321000000.000000,3972000000.000000,14460000000.000000,0.200000,3.639000,22.604000,27.413000,0.000000,0.000000,355.000000,3.039000,3.004000,31655000000.000000,37886000000.000000,14070000000.000000,14070000000.000000,0.000000,,,,,0.000000,7451000000.000000,1.000000,450551867.000000,445360000.000000,458667000.000000,31.592000,690649000000.000000,0.000000,1423000000.000000,0.000000,1550.766000
