dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-12-31,2019-10-16,2018-12-31,2018-Q4,33051000.000000,,2025-05-16,0.000000,34174000.000000,,33994000.000000,180000.000000,,-6.021000,,33017000.000000,33017000.000000,,,36.049000,-4.197000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-10690000.000000,,-10690000.000000,,,,,,1.000000,,,0.000000,,214000.000000,,0.000000,0.000000,0.000000,0.000000,44864000.000000,943000.000000,43921000.000000,,,,,,,,,,,,,,,,,,,603000.000000,,,,,0.000000,,,,,0.000000,-12452000.000000,,,,,,,,,,1.000000,22552855.000000,1775468.000000,,,34174000.000000,0.000000,,0.000000,19.248000
ARQ,2019-09-30,2019-12-05,2019-09-30,2019-Q3,68685000.000000,292253708.000000,2025-05-16,0.000000,74943000.000000,,71749000.000000,3194000.000000,,-12.168000,,71132000.000000,71132000.000000,0.000000,-4650000.000000,23.417000,-3.874000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,-4650000.000000,,,,-4650000.000000,-4650000.000000,-2.170000,-2.170000,-2.170000,-26075000.000000,,-26075000.000000,221121708.000000,,,,,1.000000,0.000000,,0.000000,0.000000,747000.000000,,0.000000,0.000000,0.000000,0.000000,101018000.000000,3064000.000000,97954000.000000,,,,,,,,,,,-4650000.000000,-4650000.000000,-4650000.000000,0.000000,0.000000,,5031000.000000,-5031000.000000,1154000.000000,0.000000,-11.208000,,,540000.000000,0.000000,12.160000,,,0.000000,-27556000.000000,0.000000,0.000000,3220000.000000,,,,,,1811000.000000,1.000000,24034022.000000,2142958.000000,2142958.000000,0.000000,74943000.000000,0.000000,0.000000,0.000000,34.972000
ARQ,2019-12-31,2020-03-30,2019-12-31,2019-Q4,137405000.000000,174246660.000000,2025-05-16,0.000000,141468000.000000,,140552000.000000,916000.000000,,5.755000,-273000.000000,136204000.000000,136204000.000000,0.000000,-5403000.000000,44.662000,0.023000,0.000000,0.000000,0.000000,0.000000,0.000000,51000.000000,0.000000,0.000000,0.000000,-5403000.000000,-5352000.000000,,-5352000.000000,-5403000.000000,-5403000.000000,5.270000,5.270000,5.270000,138321000.000000,,138321000.000000,38042660.000000,-2.000000,-2.259000,-8156000.000000,-0.339000,1.000000,0.000000,,0.000000,0.000000,2117000.000000,,0.000000,0.000000,0.000000,0.000000,3147000.000000,3147000.000000,0.000000,65163000.000000,0.000000,71218000.000000,0.000000,0.000000,73319000.000000,-273000.000000,0.000000,-7883000.000000,0.000000,-5403000.000000,-5403000.000000,-5403000.000000,0.000000,0.000000,,5860000.000000,-5860000.000000,920000.000000,0.000000,1.260000,-7.825000,-1.781000,815000.000000,0.000000,7.250000,,,0.000000,-32959000.000000,0.000000,0.000000,3026000.000000,,,,,819000.000000,2834000.000000,1.000000,24034022.000000,24034022.000000,,0.000000,141468000.000000,0.000000,0.000000,0.000000,5.886000
ARQ,2020-03-31,2020-05-12,2020-03-31,2020-Q1,130866000.000000,166075092.000000,2025-05-16,0.000000,134965000.000000,,134122000.000000,843000.000000,,5.480000,-226000.000000,131003000.000000,131003000.000000,0.000000,-7485000.000000,41.192000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,76000.000000,0.000000,0.000000,0.000000,-7485000.000000,-7409000.000000,,-7409000.000000,-7485000.000000,-7485000.000000,-0.330000,-0.330000,-0.330000,131709000.000000,,131709000.000000,35072092.000000,,,-5157000.000000,-0.215000,1.000000,0.000000,,0.000000,0.000000,706000.000000,,0.000000,0.000000,0.000000,0.000000,3256000.000000,3256000.000000,0.000000,-5201000.000000,0.000000,0.000000,0.000000,0.000000,-44000.000000,-226000.000000,0.000000,-4931000.000000,0.000000,-7485000.000000,-7485000.000000,-7485000.000000,0.000000,0.000000,,7895000.000000,-7895000.000000,1991000.000000,0.000000,1.261000,,,739000.000000,0.000000,6.910000,,,0.000000,-40444000.000000,0.000000,0.000000,4620000.000000,,,,,873000.000000,3275000.000000,1.000000,24034022.000000,24034022.000000,,0.000000,134965000.000000,0.000000,0.000000,0.000000,5.616000
ARQ,2020-06-30,2020-08-06,2020-06-30,2020-Q2,120208000.000000,301696905.000000,2025-05-16,11000.000000,127898000.000000,,123471000.000000,4427000.000000,,5.185000,-20000.000000,112097000.000000,112097000.000000,0.000000,-8152000.000000,37.840000,0.026000,0.000000,0.000000,0.000000,0.000000,0.000000,78000.000000,0.000000,0.000000,0.000000,-8152000.000000,-8074000.000000,,-8074000.000000,-8152000.000000,-8152000.000000,-0.350000,-0.350000,-0.350000,124635000.000000,,124635000.000000,189599905.000000,-7.000000,,-7662000.000000,-0.319000,1.000000,0.000000,,0.000000,0.000000,12538000.000000,,0.000000,11081000.000000,7698000.000000,3383000.000000,3263000.000000,3263000.000000,0.000000,-18906000.000000,0.000000,0.000000,0.000000,0.000000,-147000.000000,-11117000.000000,-11097000.000000,-7642000.000000,0.000000,-8152000.000000,-8152000.000000,-8152000.000000,0.000000,0.000000,,8192000.000000,-8192000.000000,991000.000000,0.000000,2.421000,-11.744000,5.186000,806000.000000,0.000000,12.550000,,,0.000000,-48596000.000000,0.000000,0.000000,5331000.000000,,,,,1067000.000000,2861000.000000,1.000000,24039594.000000,24039594.000000,,0.000000,127898000.000000,0.000000,0.000000,0.000000,5.320000
ARQ,2020-09-30,2020-11-10,2020-09-30,2020-Q3,114953000.000000,324508250.000000,2025-05-16,12000.000000,121770000.000000,,119218000.000000,2552000.000000,,4.885000,-162000.000000,108679000.000000,108679000.000000,0.000000,-8393000.000000,27.953000,0.036000,0.000000,0.000000,0.000000,0.000000,0.000000,90000.000000,0.000000,0.000000,0.000000,-8393000.000000,-8303000.000000,,-8303000.000000,-8393000.000000,-8393000.000000,-0.360000,-0.360000,-0.360000,117505000.000000,,117505000.000000,215829250.000000,-7.000000,-7.407000,-5186000.000000,-0.216000,1.000000,0.000000,,0.000000,0.000000,8826000.000000,,0.000000,9395000.000000,8062000.000000,1333000.000000,4265000.000000,4265000.000000,0.000000,-3418000.000000,0.000000,135000.000000,0.000000,0.000000,135000.000000,1471000.000000,1633000.000000,-5024000.000000,0.000000,-8393000.000000,-8393000.000000,-8393000.000000,0.000000,0.000000,,8416000.000000,-8416000.000000,953000.000000,0.000000,2.762000,-11.025000,3.189000,980000.000000,0.000000,13.490000,,,0.000000,-56989000.000000,0.000000,0.000000,5650000.000000,,,,,1127000.000000,2766000.000000,1.000000,24055467.000000,24055467.000000,,0.000000,121770000.000000,0.000000,0.000000,0.000000,5.062000
ARQ,2020-12-31,2021-03-16,2020-12-31,2020-Q4,108355000.000000,284903256.000000,2025-05-16,6000.000000,114724000.000000,,113535000.000000,1189000.000000,,4.552000,-227000.000000,101429000.000000,101429000.000000,0.000000,-9309000.000000,21.918000,0.047000,0.000000,0.000000,0.000000,0.000000,0.000000,110000.000000,0.000000,0.000000,0.000000,-9309000.000000,-9199000.000000,,-9199000.000000,-9309000.000000,-9309000.000000,-0.350000,-0.350000,-0.350000,109544000.000000,,109544000.000000,183474256.000000,-6.000000,-5.562000,-9400000.000000,-0.391000,1.000000,0.000000,,0.000000,0.000000,8115000.000000,,0.000000,7233000.000000,7233000.000000,0.000000,5180000.000000,5180000.000000,0.000000,-7250000.000000,0.000000,-159000.000000,0.000000,0.000000,32000.000000,1891000.000000,2118000.000000,-9173000.000000,0.000000,-9309000.000000,-9309000.000000,-9309000.000000,0.000000,0.000000,,9330000.000000,-9330000.000000,1243000.000000,0.000000,2.601000,-8.546000,-8.222000,890000.000000,0.000000,11.840000,,,0.000000,-66298000.000000,0.000000,0.000000,5775000.000000,,,,,1321000.000000,3555000.000000,1.000000,24062775.000000,24062775.000000,,0.000000,114724000.000000,0.000000,0.000000,0.000000,4.768000
ARQ,2021-03-31,2021-05-03,2021-03-31,2021-Q1,101787000.000000,267231730.000000,2025-05-16,3000.000000,107283000.000000,,105756000.000000,1527000.000000,,4.144000,-97000.000000,97277000.000000,97277000.000000,0.000000,-9702000.000000,26.646000,0.038000,0.000000,0.000000,0.000000,0.000000,0.000000,116000.000000,0.000000,0.000000,0.000000,-9702000.000000,-9586000.000000,,-9586000.000000,-9702000.000000,-9702000.000000,-0.410000,-0.410000,-0.410000,103314000.000000,,103314000.000000,169954730.000000,-5.000000,-4.833000,-8767000.000000,-0.352000,1.000000,0.000000,,0.000000,0.000000,6037000.000000,,0.000000,4751000.000000,4751000.000000,0.000000,3969000.000000,3969000.000000,0.000000,-4152000.000000,0.000000,2165000.000000,0.000000,0.000000,2165000.000000,2353000.000000,2450000.000000,-8670000.000000,0.000000,-9702000.000000,-9702000.000000,-9702000.000000,0.000000,0.000000,,9712000.000000,-9712000.000000,1270000.000000,0.000000,2.587000,-7.516000,-7.293000,1227000.000000,0.000000,10.720000,,,0.000000,-76000000.000000,0.000000,0.000000,6556000.000000,,,,,1310000.000000,3156000.000000,1.000000,24928333.000000,24928333.000000,,0.000000,107283000.000000,0.000000,0.000000,0.000000,4.304000
ARQ,2021-06-30,2021-08-05,2021-06-30,2021-Q2,99414000.000000,180803289.000000,2025-05-16,1000.000000,106930000.000000,,105015000.000000,1915000.000000,,4.058000,-388000.000000,99495000.000000,99495000.000000,0.000000,-11139000.000000,18.749000,0.055000,0.000000,0.000000,0.000000,0.000000,0.000000,162000.000000,0.000000,0.000000,0.000000,-11139000.000000,-10977000.000000,,-10977000.000000,-11139000.000000,-11139000.000000,-0.450000,-0.450000,-0.450000,101329000.000000,,101329000.000000,81308289.000000,-2.000000,-2.136000,-6968000.000000,-0.279000,1.000000,0.000000,,0.000000,0.000000,1834000.000000,,0.000000,3313000.000000,3313000.000000,0.000000,5601000.000000,5601000.000000,0.000000,2218000.000000,0.000000,7771000.000000,0.000000,0.000000,7771000.000000,1027000.000000,1415000.000000,-6580000.000000,0.000000,-11139000.000000,-11139000.000000,-11139000.000000,0.000000,0.000000,,11145000.000000,-11145000.000000,2374000.000000,0.000000,1.784000,-4.691000,-4.611000,1597000.000000,0.000000,7.240000,,,0.000000,-87139000.000000,0.000000,0.000000,7850000.000000,,,,,1385000.000000,3295000.000000,1.000000,24972830.000000,24972830.000000,,0.000000,106930000.000000,0.000000,0.000000,0.000000,4.282000
ARQ,2021-09-30,2021-11-01,2021-09-30,2021-Q3,114829000.000000,407125638.000000,2025-05-16,0.000000,122638000.000000,,120852000.000000,1786000.000000,,4.116000,-530000.000000,118260000.000000,118260000.000000,0.000000,-11560000.000000,20.065000,0.052000,0.000000,0.000000,0.000000,0.000000,0.000000,221000.000000,0.000000,0.000000,0.000000,-11560000.000000,-11339000.000000,,-11339000.000000,-11560000.000000,-11560000.000000,-0.450000,-0.450000,-0.450000,116615000.000000,,116615000.000000,288865638.000000,-7.000000,-7.028000,-8874000.000000,-0.313000,1.000000,0.000000,,0.000000,0.000000,-1645000.000000,,0.000000,1000000.000000,1000000.000000,0.000000,6023000.000000,6023000.000000,0.000000,18765000.000000,0.000000,25339000.000000,0.000000,0.000000,25339000.000000,1770000.000000,2300000.000000,-8344000.000000,0.000000,-11560000.000000,-11560000.000000,-11560000.000000,0.000000,0.000000,,11563000.000000,-11563000.000000,1707000.000000,0.000000,3.491000,-9.761000,-8.657000,1462000.000000,0.000000,14.370000,,,0.000000,-98699000.000000,0.000000,0.000000,8169000.000000,,,,,1508000.000000,3394000.000000,1.000000,28331638.000000,28331638.000000,,0.000000,122638000.000000,0.000000,0.000000,0.000000,4.329000
