dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-06-25,2020-12-31,2020-Q4,30433000.000000,,2025-05-14,0.000000,38282000.000000,,35146000.000000,3136000.000000,,-2.029000,,35053000.000000,35053000.000000,,,7.457000,-0.543000,946000.000000,463000.000000,483000.000000,946000.000000,125000.000000,,0.000000,,0.000000,,,,,,,,,,-23562000.000000,,-23562000.000000,,,,,,1.000000,,,0.000000,,-538000.000000,,0.000000,0.000000,0.000000,0.000000,12784000.000000,4713000.000000,8071000.000000,,,,,,,,,,,,,,,,,,,921000.000000,,,,,2787000.000000,,,,,0.000000,-44171000.000000,,,,,,,,,,1.000000,24796677.000000,11615368.000000,,,38282000.000000,0.000000,,0.000000,3.296000
ARQ,2021-03-31,2021-07-16,2021-03-31,2021-Q1,23973000.000000,,2025-05-14,0.000000,35094000.000000,,29471000.000000,5623000.000000,,-2.361000,-229000.000000,29152000.000000,29152000.000000,0.000000,-4478000.000000,5.360000,-0.492000,966000.000000,464000.000000,502000.000000,966000.000000,94000.000000,26000.000000,0.000000,,0.000000,-4466000.000000,-4440000.000000,,-4440000.000000,-4466000.000000,-4478000.000000,-0.380000,-0.380000,-0.380000,-27497000.000000,,-27497000.000000,,,,-5856000.000000,-0.503000,1.000000,0.000000,,0.000000,12000.000000,1410000.000000,,0.000000,0.000000,0.000000,0.000000,13531000.000000,5498000.000000,8033000.000000,-5744000.000000,0.000000,112000.000000,0.000000,0.000000,112000.000000,-229000.000000,0.000000,-5627000.000000,0.000000,-4478000.000000,-4478000.000000,-4478000.000000,0.000000,0.000000,,4688000.000000,-4688000.000000,1513000.000000,0.000000,,,,4263000.000000,0.000000,,,,0.000000,-48649000.000000,0.000000,0.000000,2753000.000000,,,,,431000.000000,1935000.000000,1.000000,24796677.000000,11647786.000000,11647786.000000,0.000000,35094000.000000,0.000000,0.000000,0.000000,3.013000
ARQ,2021-06-30,2021-09-08,2021-06-30,2021-Q2,19932000.000000,321613129.000000,2025-05-14,0.000000,30744000.000000,,24426000.000000,6318000.000000,,-3.684000,-710000.000000,24316000.000000,24316000.000000,0.000000,-17080000.000000,5.435000,-0.576000,521000.000000,0.000000,521000.000000,521000.000000,63000.000000,7000.000000,0.000000,0.000000,0.000000,-17065000.000000,-17058000.000000,,-17058000.000000,-17065000.000000,-17080000.000000,-1.460000,-1.460000,-1.460000,-43175000.000000,,-43175000.000000,297818129.000000,,,-5169000.000000,-0.441000,1.000000,0.000000,,0.000000,15000.000000,2455000.000000,,0.000000,0.000000,0.000000,0.000000,24859000.000000,4494000.000000,20365000.000000,-4836000.000000,0.000000,333000.000000,0.000000,0.000000,333000.000000,-710000.000000,0.000000,-4459000.000000,0.000000,-17080000.000000,-17080000.000000,-17080000.000000,0.000000,0.000000,,5332000.000000,-5332000.000000,759000.000000,0.000000,-7.449000,,,4606000.000000,0.000000,11.210000,,,0.000000,-65729000.000000,0.000000,0.000000,3292000.000000,,,,,1069000.000000,2040000.000000,1.000000,28689842.000000,11720530.000000,11720530.000000,0.000000,30744000.000000,0.000000,0.000000,0.000000,2.623000
ARQ,2021-09-30,2021-11-12,2021-09-30,2021-Q3,86553000.000000,316592406.000000,2025-05-14,0.000000,95960000.000000,,90950000.000000,5010000.000000,,2.700000,-392000.000000,88385000.000000,88385000.000000,0.000000,-16162000.000000,20.685000,0.523000,541000.000000,0.000000,541000.000000,541000.000000,31000.000000,21000.000000,0.000000,0.000000,0.000000,-16148000.000000,-16127000.000000,,-16127000.000000,-16148000.000000,-16162000.000000,-0.690000,-0.690000,-0.690000,62987000.000000,,62987000.000000,228748406.000000,,,-7286000.000000,-0.312000,1.000000,0.000000,,0.000000,14000.000000,3719000.000000,,0.000000,0.000000,0.000000,0.000000,32973000.000000,4397000.000000,28576000.000000,64069000.000000,0.000000,71355000.000000,0.000000,0.000000,71355000.000000,-392000.000000,0.000000,-6894000.000000,0.000000,-16162000.000000,-16162000.000000,-16162000.000000,0.000000,0.000000,,8060000.000000,-8060000.000000,925000.000000,0.000000,5.026000,,,4587000.000000,0.000000,11.035000,,,0.000000,-81891000.000000,0.000000,0.000000,5265000.000000,,,,,1909000.000000,2795000.000000,1.000000,28689842.000000,23325716.000000,23325716.000000,0.000000,95960000.000000,0.000000,0.000000,0.000000,4.114000
ARQ,2021-12-31,2022-03-29,2021-12-31,2021-Q4,79583000.000000,126814609.000000,2025-05-14,0.000000,89205000.000000,,84945000.000000,4260000.000000,,3.398000,-504000.000000,82642000.000000,82642000.000000,0.000000,1596000.000000,15.842000,0.391000,560000.000000,0.000000,560000.000000,560000.000000,0.000000,178000.000000,0.000000,0.000000,0.000000,1607000.000000,1785000.000000,,1785000.000000,1607000.000000,1596000.000000,0.510000,0.510000,0.510000,64137000.000000,,64137000.000000,44732609.000000,-1.000000,-1.248000,-5742000.000000,-0.304000,1.000000,0.000000,,0.000000,11000.000000,1761000.000000,,0.000000,0.000000,0.000000,0.000000,25068000.000000,5362000.000000,19706000.000000,-5742000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-504000.000000,0.000000,-5238000.000000,0.000000,1596000.000000,1596000.000000,1596000.000000,0.000000,0.000000,,7771000.000000,-7771000.000000,1590000.000000,0.000000,1.977000,-3.511000,-2.314000,3836000.000000,0.000000,4.420000,,,0.000000,-80295000.000000,0.000000,0.000000,3854000.000000,,,,,-446000.000000,3917000.000000,1.000000,28691088.000000,18873048.000000,18873048.000000,0.000000,89205000.000000,0.000000,0.000000,0.000000,4.727000
ARQ,2022-03-31,2022-05-12,2022-03-31,2022-Q1,90174000.000000,109033974.000000,2025-05-14,0.000000,101562000.000000,,95646000.000000,5916000.000000,,2.222000,-171000.000000,94758000.000000,94758000.000000,0.000000,-874000.000000,17.479000,0.593000,22792000.000000,429000.000000,22363000.000000,22792000.000000,0.000000,215000.000000,0.000000,0.000000,0.000000,-699000.000000,-484000.000000,,-484000.000000,-699000.000000,-874000.000000,-0.030000,-0.030000,-0.030000,63762000.000000,,63762000.000000,37067974.000000,-1.000000,-1.163000,-8224000.000000,-0.287000,1.000000,0.000000,,0.000000,175000.000000,24124000.000000,,0.000000,0.000000,0.000000,0.000000,37800000.000000,5472000.000000,32328000.000000,11692000.000000,0.000000,6000.000000,19910000.000000,0.000000,19916000.000000,-171000.000000,0.000000,-8053000.000000,0.000000,-874000.000000,-874000.000000,-874000.000000,0.000000,0.000000,,9017000.000000,-9017000.000000,1386000.000000,0.000000,1.710000,-3.353000,-2.275000,5479000.000000,0.000000,3.800000,,,0.000000,-81169000.000000,0.000000,0.000000,5417000.000000,,,,,492000.000000,3600000.000000,1.000000,28693151.000000,28690511.000000,28690511.000000,0.000000,101562000.000000,0.000000,0.000000,0.000000,3.540000
ARQ,2022-06-30,2022-08-05,2022-06-30,2022-Q2,81448000.000000,101121682.000000,2025-05-14,0.000000,93301000.000000,,87326000.000000,5975000.000000,,2.085000,-635000.000000,87048000.000000,87048000.000000,0.000000,-4149000.000000,14.856000,0.553000,22795000.000000,440000.000000,22355000.000000,22795000.000000,0.000000,238000.000000,0.000000,0.000000,0.000000,-3784000.000000,-3546000.000000,,-3546000.000000,-3784000.000000,-4149000.000000,-0.140000,-0.140000,-0.140000,60072000.000000,,60072000.000000,36868682.000000,-2.000000,-2.007000,-7732000.000000,-0.268000,1.000000,0.000000,,0.000000,365000.000000,23170000.000000,,0.000000,0.000000,0.000000,0.000000,33229000.000000,5878000.000000,27351000.000000,-7710000.000000,0.000000,22000.000000,0.000000,0.000000,22000.000000,-635000.000000,0.000000,-7097000.000000,0.000000,-4149000.000000,-4149000.000000,-4149000.000000,0.000000,0.000000,,8784000.000000,-8784000.000000,1584000.000000,0.000000,1.683000,-5.162000,-10.000000,5709000.000000,0.000000,3.500000,,,0.000000,-85318000.000000,0.000000,0.000000,5022000.000000,,,,,438000.000000,3762000.000000,1.000000,28891909.000000,28810224.000000,28810224.000000,0.000000,93301000.000000,0.000000,0.000000,0.000000,3.238000
ARQ,2022-09-30,2022-11-10,2022-09-30,2022-Q3,73172000.000000,47964113.000000,2025-05-14,0.000000,85007000.000000,,79070000.000000,5937000.000000,,1.804000,-215000.000000,77449000.000000,77449000.000000,0.000000,-8688000.000000,13.406000,0.631000,22808000.000000,452000.000000,22356000.000000,22808000.000000,0.000000,258000.000000,0.000000,0.000000,0.000000,-8512000.000000,-8254000.000000,,-8254000.000000,-8512000.000000,-8688000.000000,-0.300000,-0.300000,-0.300000,52127000.000000,,52127000.000000,-6676887.000000,1.000000,0.636000,-9599000.000000,-0.332000,1.000000,0.000000,,0.000000,176000.000000,24468000.000000,,0.000000,0.000000,0.000000,0.000000,32880000.000000,5898000.000000,26982000.000000,-9599000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-215000.000000,0.000000,-9384000.000000,0.000000,-8688000.000000,-8688000.000000,-8688000.000000,0.000000,0.000000,,8912000.000000,-8912000.000000,970000.000000,0.000000,0.920000,-3.959000,41.500000,5671000.000000,0.000000,1.660000,,,0.000000,-94006000.000000,0.000000,0.000000,5376000.000000,,,,,743000.000000,3536000.000000,1.000000,28894044.000000,28891909.000000,28891909.000000,0.000000,85007000.000000,0.000000,0.000000,0.000000,2.942000
ARQ,2022-12-31,2023-03-30,2022-12-31,2022-Q4,66330000.000000,39981637.000000,2025-05-14,0.000000,77691000.000000,,71945000.000000,5746000.000000,,1.651000,-276000.000000,70324000.000000,70324000.000000,0.000000,-5083000.000000,12.813000,0.628000,22800000.000000,464000.000000,22336000.000000,22800000.000000,144000.000000,276000.000000,0.000000,0.000000,0.000000,-5309000.000000,-5033000.000000,,-5033000.000000,-5309000.000000,-5083000.000000,-0.170000,-0.170000,-0.170000,47714000.000000,,47714000.000000,-7542363.000000,0.000000,0.436000,-7161000.000000,-0.248000,1.000000,0.000000,,0.000000,-226000.000000,24552000.000000,,0.000000,0.000000,0.000000,0.000000,29977000.000000,5615000.000000,24362000.000000,-7125000.000000,0.000000,36000.000000,0.000000,0.000000,36000.000000,-276000.000000,0.000000,-6885000.000000,0.000000,-5083000.000000,-5083000.000000,-5083000.000000,0.000000,0.000000,,8132000.000000,-8132000.000000,380000.000000,0.000000,0.838000,-2.127000,-2.127000,5480000.000000,0.000000,1.383000,,,0.000000,-99089000.000000,0.000000,0.000000,4972000.000000,,,,,634000.000000,3160000.000000,1.000000,28919810.000000,28899068.000000,28899068.000000,0.000000,77691000.000000,0.000000,0.000000,0.000000,2.688000
ARQ,2023-03-31,2023-05-11,2023-03-31,2023-Q1,56639000.000000,49742073.000000,2025-05-14,0.000000,67238000.000000,,61875000.000000,5363000.000000,,1.371000,19000.000000,59524000.000000,59524000.000000,0.000000,-8795000.000000,11.817000,0.696000,22789000.000000,1729000.000000,21060000.000000,22789000.000000,132000.000000,287000.000000,0.000000,0.000000,0.000000,-8897000.000000,-8610000.000000,,-8610000.000000,-8897000.000000,-8795000.000000,-0.300000,-0.300000,-0.300000,39652000.000000,,39652000.000000,13007073.000000,0.000000,-0.511000,-10800000.000000,-0.373000,1.000000,0.000000,,0.000000,-102000.000000,25267000.000000,,0.000000,0.000000,0.000000,0.000000,27586000.000000,5236000.000000,22350000.000000,-10800000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19000.000000,0.000000,-10819000.000000,0.000000,-8795000.000000,-8795000.000000,-8795000.000000,0.000000,0.000000,,9633000.000000,-9633000.000000,592000.000000,0.000000,1.254000,-1.862000,-1.890000,5097000.000000,0.000000,1.720000,,,0.000000,-107884000.000000,0.000000,0.000000,5469000.000000,,,,,733000.000000,4164000.000000,1.000000,28919810.000000,28919810.000000,28919810.000000,0.000000,67238000.000000,0.000000,0.000000,0.000000,2.325000
