dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2022-12-31,2023-06-05,2022-12-25,2022-Q4,-26168000.000000,,2025-05-16,0.000000,583883000.000000,,58150000.000000,525733000.000000,,-337.662000,,39125000.000000,39125000.000000,,,0.690000,-0.825000,314733000.000000,29539000.000000,285194000.000000,314733000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-448503000.000000,,-448503000.000000,,,,,,1.000000,,,3326000.000000,,771847000.000000,,5139000.000000,0.000000,0.000000,0.000000,370078000.000000,84318000.000000,285760000.000000,,,,,,,,,,,,,,,,,,,14311000.000000,,,,,516859000.000000,,,,,7735000.000000,-460943000.000000,,,,,,,,,,1.000000,96941484.000000,1328259.000000,,,580557000.000000,0.000000,,28000.000000,437.081000
ARQ,2023-03-31,2023-06-12,2023-04-16,2023-Q1,-59101000.000000,,2025-05-16,0.000000,603954000.000000,,46987000.000000,556967000.000000,,-273.870000,-39097000.000000,22716000.000000,22716000.000000,152519000.000000,-2141000.000000,0.443000,-0.871000,319014000.000000,32894000.000000,286120000.000000,319014000.000000,0.000000,12859000.000000,0.000000,,0.000000,-2078000.000000,10781000.000000,0.053000,10781000.000000,-2078000.000000,-2103000.000000,-1.300000,-1.300000,-1.300000,-451041000.000000,,-451041000.000000,,,,-13418000.000000,-8.147000,1.000000,50564000.000000,0.249000,3299000.000000,25000.000000,790865000.000000,,4340000.000000,0.000000,0.000000,0.000000,392687000.000000,106088000.000000,286599000.000000,-16409000.000000,0.000000,-1325000.000000,-255000.000000,0.000000,-2991000.000000,-39097000.000000,0.000000,25679000.000000,0.000000,-2141000.000000,-2141000.000000,-2141000.000000,0.000000,0.000000,-0.011000,52816000.000000,-2252000.000000,18004000.000000,0.000000,,,,548088000.000000,0.000000,,,,11516000.000000,-463084000.000000,203083000.000000,203083000.000000,0.000000,,,,,928000.000000,29024000.000000,1.000000,111385928.000000,1646919.000000,1646919.000000,123.311000,600655000.000000,0.000000,38000.000000,28000.000000,364.714000
ARQ,2023-06-30,2023-08-16,2023-07-09,2023-Q2,259916000.000000,5330474265.000000,2025-05-16,0.000000,970375000.000000,,374614000.000000,595761000.000000,,19.594000,-33381000.000000,352845000.000000,352845000.000000,127463000.000000,6539000.000000,3.266000,0.746000,333579000.000000,34106000.000000,299473000.000000,333579000.000000,0.000000,10709000.000000,0.000000,0.000000,0.000000,5880000.000000,16589000.000000,0.096000,16589000.000000,5880000.000000,6579000.000000,0.230000,0.210000,0.230000,555809000.000000,,555809000.000000,5311208265.000000,,,-11950000.000000,-0.421000,1.000000,45431000.000000,0.263000,3299000.000000,-699000.000000,833112000.000000,,5357000.000000,0.000000,0.000000,0.000000,414566000.000000,114698000.000000,299868000.000000,330129000.000000,0.000000,342752000.000000,-162000.000000,0.000000,342079000.000000,-33381000.000000,0.000000,21431000.000000,0.000000,6539000.000000,6539000.000000,6539000.000000,0.000000,0.000000,0.038000,39669000.000000,5762000.000000,14204000.000000,0.000000,9.590000,,,587444000.000000,0.000000,46.930000,,,11878000.000000,-456545000.000000,172894000.000000,172894000.000000,0.000000,,,,,1743000.000000,23321000.000000,1.000000,113583513.000000,28366000.000000,31279000.000000,6.095000,967076000.000000,0.000000,40000.000000,28000.000000,34.093000
ARQ,2023-09-30,2023-11-08,2023-10-01,2023-Q3,250718000.000000,3533317619.000000,2025-05-16,0.000000,984974000.000000,,363649000.000000,621325000.000000,,4.981000,-35086000.000000,340399000.000000,340399000.000000,131066000.000000,6833000.000000,3.220000,0.741000,342359000.000000,36366000.000000,305993000.000000,342359000.000000,0.000000,11528000.000000,0.000000,0.000000,0.000000,2915000.000000,14443000.000000,0.082000,14443000.000000,2915000.000000,6871000.000000,0.060000,0.060000,0.060000,565723000.000000,,565723000.000000,3535277619.000000,,,-9108000.000000,-0.080000,1.000000,44487000.000000,0.253000,3299000.000000,-3956000.000000,870704000.000000,,5726000.000000,0.000000,0.000000,0.000000,419251000.000000,112931000.000000,306320000.000000,-12446000.000000,0.000000,-102000.000000,-17000.000000,0.000000,-3338000.000000,-35086000.000000,0.000000,25978000.000000,0.000000,6833000.000000,6833000.000000,6833000.000000,0.000000,0.000000,0.039000,41692000.000000,2795000.000000,13568000.000000,0.000000,6.246000,,,613117000.000000,0.000000,31.100000,,,12692000.000000,-449712000.000000,175553000.000000,175553000.000000,0.000000,,,,,3183000.000000,24472000.000000,1.000000,113611499.000000,113584000.000000,117713000.000000,1.546000,981675000.000000,0.000000,38000.000000,28000.000000,8.643000
ARQ,2023-12-31,2024-02-27,2023-12-31,2023-Q4,245876000.000000,6459366748.000000,2025-05-16,0.000000,983757000.000000,,354912000.000000,628845000.000000,,9.433000,-31242000.000000,332428000.000000,332428000.000000,137306000.000000,2049000.000000,3.255000,0.723000,336198000.000000,32583000.000000,303615000.000000,336198000.000000,0.000000,12337000.000000,0.000000,0.000000,0.000000,-1521000.000000,10816000.000000,0.061000,10816000.000000,-1521000.000000,2701000.000000,-0.040000,-0.030000,-0.040000,570802000.000000,,570802000.000000,6463136748.000000,1244.000000,122.806000,-7229000.000000,-0.119000,1.000000,39864000.000000,0.225000,3299000.000000,-4222000.000000,875192000.000000,,5637000.000000,0.000000,0.000000,0.000000,412955000.000000,109036000.000000,303919000.000000,-7971000.000000,0.000000,-476000.000000,-23000.000000,0.000000,-742000.000000,-31242000.000000,0.000000,24013000.000000,0.000000,2049000.000000,2049000.000000,2049000.000000,0.000000,0.000000,0.012000,41444000.000000,-1580000.000000,17234000.000000,0.000000,11.316000,486.398000,257.545000,620181000.000000,0.000000,56.660000,8.864000,4.705000,11885000.000000,-447663000.000000,177170000.000000,177170000.000000,0.000000,,,,,3506000.000000,24674000.000000,1.000000,114002237.000000,60512000.000000,63448000.000000,2.928000,980458000.000000,0.000000,652000.000000,79000.000000,16.203000
ARQ,2024-03-31,2024-05-29,2024-04-21,2024-Q1,240706000.000000,10052729021.000000,2025-05-16,0.000000,1005090000.000000,,352014000.000000,653076000.000000,,5.096000,-33687000.000000,329117000.000000,329117000.000000,193640000.000000,13993000.000000,3.163000,0.730000,350766000.000000,37995000.000000,312771000.000000,350766000.000000,0.000000,17322000.000000,0.000000,0.000000,0.000000,9331000.000000,26653000.000000,0.103000,26653000.000000,9331000.000000,14245000.000000,0.120000,0.120000,0.120000,580810000.000000,,580810000.000000,10074378021.000000,607.000000,147.069000,4699000.000000,0.041000,1.000000,65366000.000000,0.252000,3299000.000000,-4914000.000000,912132000.000000,,6304000.000000,0.000000,0.000000,0.000000,424280000.000000,111308000.000000,312972000.000000,-3311000.000000,0.000000,59000.000000,-30000.000000,0.000000,-8010000.000000,-33687000.000000,0.000000,38386000.000000,0.000000,13993000.000000,13993000.000000,13993000.000000,0.000000,0.000000,0.054000,56113000.000000,9253000.000000,19353000.000000,0.000000,17.308000,341.767000,238.270000,644493000.000000,0.000000,88.160000,12.812000,12.806000,11732000.000000,-433670000.000000,259006000.000000,259006000.000000,0.000000,,,,,3995000.000000,33840000.000000,1.000000,114028233.000000,113972000.000000,117936000.000000,2.273000,1001791000.000000,0.000000,252000.000000,79000.000000,8.790000
ARQ,2024-06-30,2024-08-23,2024-07-14,2024-Q2,246165000.000000,13947110882.000000,2025-05-16,0.000000,1038542000.000000,,369766000.000000,668776000.000000,,5.217000,-26195000.000000,343748000.000000,343748000.000000,171135000.000000,19741000.000000,2.992000,0.744000,359136000.000000,39711000.000000,319425000.000000,359136000.000000,0.000000,13733000.000000,0.000000,0.000000,0.000000,20028000.000000,33761000.000000,0.145000,33761000.000000,20028000.000000,20028000.000000,0.170000,0.170000,0.170000,595437000.000000,,595437000.000000,13962498882.000000,454.000000,162.974000,22714000.000000,0.199000,1.000000,62360000.000000,0.267000,3299000.000000,0.000000,927030000.000000,,7195000.000000,0.000000,0.000000,0.000000,443105000.000000,123601000.000000,319504000.000000,14631000.000000,0.000000,1232000.000000,-15000.000000,0.000000,-8083000.000000,-26195000.000000,0.000000,48909000.000000,0.000000,19741000.000000,19741000.000000,19741000.000000,0.000000,0.000000,0.085000,46216000.000000,16144000.000000,20348000.000000,0.000000,23.423000,327.274000,393.548000,659940000.000000,0.000000,122.000000,16.501000,16.474000,13889000.000000,-413929000.000000,233495000.000000,233495000.000000,0.000000,,,,,2954000.000000,28281000.000000,1.000000,114320581.000000,114130000.000000,118291000.000000,2.046000,1035243000.000000,0.000000,287000.000000,79000.000000,9.071000
ARQ,2024-09-30,2024-11-13,2024-10-06,2024-Q3,258819000.000000,16877591872.000000,2025-05-16,0.000000,1079539000.000000,,393260000.000000,686279000.000000,,5.387000,-20507000.000000,367160000.000000,367160000.000000,181170000.000000,17966000.000000,2.925000,0.751000,369793000.000000,41211000.000000,328582000.000000,369793000.000000,0.000000,14325000.000000,0.000000,0.000000,0.000000,17909000.000000,32234000.000000,0.132000,32234000.000000,17909000.000000,17909000.000000,0.160000,0.150000,0.160000,616437000.000000,,616437000.000000,16880224872.000000,369.000000,163.151000,23372000.000000,0.204000,1.000000,62647000.000000,0.257000,3299000.000000,0.000000,944432000.000000,,7335000.000000,0.000000,0.000000,0.000000,463102000.000000,134441000.000000,328661000.000000,23412000.000000,0.000000,537000.000000,0.000000,0.000000,40000.000000,-20507000.000000,0.000000,43879000.000000,0.000000,17966000.000000,17966000.000000,17966000.000000,0.000000,0.000000,0.074000,48879000.000000,13768000.000000,25336000.000000,0.000000,27.379000,314.008000,359.268000,677289000.000000,0.000000,147.300000,18.476000,18.452000,13200000.000000,-395963000.000000,243817000.000000,243817000.000000,0.000000,,,,,2994000.000000,29830000.000000,1.000000,114579714.000000,114434000.000000,118430000.000000,2.131000,1076240000.000000,0.000000,-57000.000000,79000.000000,9.405000
ARQ,2024-12-31,2025-02-26,2024-12-29,2024-Q4,261518000.000000,11439240132.000000,2025-05-16,0.000000,1169669000.000000,,394154000.000000,775515000.000000,,6.065000,-27742000.000000,366120000.000000,366120000.000000,175963000.000000,78619000.000000,2.972000,0.682000,378708000.000000,37241000.000000,341467000.000000,378708000.000000,0.000000,14975000.000000,0.000000,0.000000,0.000000,-8746000.000000,6229000.000000,0.027000,6229000.000000,-8746000.000000,7728000.000000,0.690000,0.660000,0.690000,695566000.000000,,695566000.000000,11451828132.000000,264.000000,110.335000,2111000.000000,0.018000,1.000000,51432000.000000,0.226000,3299000.000000,-16474000.000000,1046322000.000000,,7600000.000000,0.000000,0.000000,0.000000,474103000.000000,132636000.000000,341467000.000000,-1040000.000000,0.000000,3663000.000000,0.000000,0.000000,-3151000.000000,-27742000.000000,0.000000,29853000.000000,0.000000,78619000.000000,78619000.000000,78619000.000000,0.000000,0.000000,0.346000,47479000.000000,3953000.000000,25573000.000000,0.000000,16.446000,87.779000,86.807000,694734000.000000,0.000000,98.960000,11.870000,11.736000,12996000.000000,-317344000.000000,227395000.000000,227395000.000000,0.000000,,,,,3660000.000000,28549000.000000,1.000000,115594585.000000,114694000.000000,118519000.000000,1.983000,1166370000.000000,71537000.000000,-70891000.000000,0.000000,10.169000
ARQ,2025-03-31,2025-05-16,2025-04-20,2025-Q1,268747000.000000,11197041599.000000,2025-05-16,-71000.000000,1228363000.000000,,403025000.000000,825338000.000000,,6.286000,-35875000.000000,289350000.000000,289350000.000000,247763000.000000,25707000.000000,3.001000,0.692000,412491000.000000,44580000.000000,367911000.000000,412491000.000000,0.000000,20811000.000000,0.000000,0.000000,0.000000,20354000.000000,41165000.000000,0.124000,41165000.000000,20354000.000000,20354000.000000,0.220000,0.220000,0.220000,726174000.000000,,726174000.000000,11320182599.000000,228.000000,99.835000,2702000.000000,0.023000,1.000000,84063000.000000,0.253000,3523000.000000,0.000000,1213703000.000000,,7280000.000000,79917000.000000,79917000.000000,0.000000,502189000.000000,134278000.000000,367911000.000000,-76770000.000000,0.000000,489000.000000,0.000000,0.000000,489000.000000,-115836000.000000,-79961000.000000,38577000.000000,0.000000,25707000.000000,25707000.000000,25707000.000000,0.000000,0.000000,0.077000,68353000.000000,15710000.000000,25980000.000000,0.000000,15.419000,78.834000,78.073000,738586000.000000,0.000000,96.810000,10.802000,10.790000,15917000.000000,-291637000.000000,331826000.000000,331826000.000000,0.000000,,,,,4483000.000000,41394000.000000,1.000000,115659969.000000,115525000.000000,118437000.000000,2.872000,1224840000.000000,76915000.000000,-5353000.000000,0.000000,10.602000
