dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-02-11,1996-12-31,1997-Q1,,3416270964.000000,2025-04-28,86682000.000000,4747445000.000000,,,,,13.406000,0.000000,93504000.000000,93504000.000000,110150000.000000,125741000.000000,,1.005000,0.000000,,,0.000000,403894000.000000,0.000000,0.000000,0.034000,0.180000,125741000.000000,125741000.000000,0.473000,125741000.000000,125741000.000000,125741000.000000,0.713000,,0.713000,2368369000.000000,,2368369000.000000,3322766964.000000,,,86761000.000000,0.491000,1.000000,155711000.000000,0.586000,200473000.000000,0.000000,4453468000.000000,,0.000000,4162495000.000000,,,2379076000.000000,,,40130000.000000,-30416000.000000,-14263000.000000,0.000000,-10201000.000000,-24464000.000000,-22167000.000000,-9439000.000000,86761000.000000,0.000000,125741000.000000,125741000.000000,125741000.000000,0.000000,0.000000,0.473000,29970000.000000,125741000.000000,93861000.000000,0.252000,1.442000,,,0.000000,0.000000,19.917000,,,108870000.000000,1126398000.000000,265861000.000000,265861000.000000,0.000000,,,,,0.000000,15841000.000000,1.000000,171528255.000000,176658765.000000,,1.505000,4546972000.000000,0.000000,0.000000,0.000000,25.739000
ARQ,1997-03-31,1997-05-15,1997-03-31,1997-Q2,,3438865926.000000,2025-04-28,-8078000.000000,4713291000.000000,,,,,13.032000,0.000000,87581000.000000,87581000.000000,105290000.000000,77949000.000000,,1.074000,0.000000,,,0.000000,417993000.000000,0.000000,0.000000,0.035000,0.180000,77949000.000000,77949000.000000,0.364000,77949000.000000,77949000.000000,77949000.000000,0.447000,,0.447000,2272048000.000000,,2272048000.000000,3351284926.000000,,,129987000.000000,0.746000,1.000000,109106000.000000,0.509000,199204000.000000,0.000000,4426506000.000000,,0.000000,4121099000.000000,,,2441243000.000000,,,-5923000.000000,0.000000,-69359000.000000,0.000000,-10429000.000000,-79788000.000000,-56122000.000000,-47680000.000000,129987000.000000,0.000000,77949000.000000,77949000.000000,77949000.000000,0.000000,0.000000,0.364000,31157000.000000,77949000.000000,87733000.000000,0.403000,1.514000,,,0.000000,0.000000,20.542000,,,120774000.000000,1144066000.000000,214396000.000000,214396000.000000,0.000000,,,,,0.000000,19270000.000000,1.000000,167409300.000000,174337317.000000,,1.230000,4514087000.000000,0.000000,0.000000,0.000000,25.893000
ARQ,1997-06-30,1997-08-13,1997-06-30,1997-Q3,,4492573992.000000,2025-04-28,135409000.000000,4895497000.000000,,,,,14.397000,0.000000,96956000.000000,96956000.000000,111380000.000000,130038000.000000,,1.005000,0.000000,,,0.000000,443674000.000000,0.000000,0.000000,0.028000,0.220000,130038000.000000,130038000.000000,0.484000,130038000.000000,130038000.000000,130038000.000000,0.767000,,0.767000,2441230000.000000,,2441230000.000000,4395617992.000000,,,40643000.000000,0.240000,1.000000,157556000.000000,0.586000,197935000.000000,0.000000,4600606000.000000,,0.000000,4220799000.000000,,,2454267000.000000,,,9375000.000000,0.000000,-92879000.000000,0.000000,-10234000.000000,-103113000.000000,71845000.000000,54978000.000000,40643000.000000,0.000000,130038000.000000,130038000.000000,130038000.000000,0.000000,0.000000,0.484000,27518000.000000,130038000.000000,76921000.000000,0.287000,1.840000,,,0.000000,0.000000,27.083000,,,180864000.000000,1198941000.000000,268936000.000000,268936000.000000,0.000000,,,,,0.000000,16770000.000000,1.000000,165879651.000000,169559523.000000,,1.586000,4697562000.000000,0.000000,0.000000,0.000000,27.705000
ARQ,1997-09-30,1997-12-24,1997-09-30,1997-Q4,,5097576881.000000,2025-04-28,197049000.000000,5001546000.000000,,,,,15.441000,0.000000,106336000.000000,106336000.000000,109121000.000000,127626000.000000,,0.910000,0.000000,,,0.000000,436907000.000000,0.000000,0.000000,0.033000,0.460000,127626000.000000,127626000.000000,0.488000,127626000.000000,127626000.000000,127626000.000000,0.750000,,0.750000,2619194000.000000,,2619194000.000000,4991240881.000000,11.000000,10.819000,24732000.000000,0.146000,1.000000,152329000.000000,0.583000,196667000.000000,0.000000,4698543000.000000,,0.000000,4368429000.000000,,,2382352000.000000,,,9380000.000000,3318000.000000,200000.000000,0.000000,-12164000.000000,-11964000.000000,-3388000.000000,-37669000.000000,24732000.000000,0.000000,127626000.000000,127626000.000000,127626000.000000,0.000000,0.000000,0.488000,24703000.000000,127626000.000000,63014000.000000,0.613000,1.946000,11.049000,11.660000,0.000000,0.000000,31.167000,5.044000,5.319000,158011000.000000,1314403000.000000,261450000.000000,261450000.000000,0.000000,,,,,0.000000,14510000.000000,1.000000,163558620.000000,169621758.000000,,1.541000,4804879000.000000,0.000000,0.000000,0.000000,28.327000
ARQ,1997-12-31,1998-02-13,1997-12-31,1998-Q1,,5566037629.000000,2025-04-28,175011000.000000,4998937000.000000,,,,,16.103000,0.000000,123564000.000000,123564000.000000,109161000.000000,112816000.000000,,0.909000,0.000000,,,0.000000,412513000.000000,0.000000,0.000000,0.025000,0.240000,112816000.000000,112816000.000000,0.445000,112816000.000000,112816000.000000,112816000.000000,0.687000,0.670000,0.687000,2618552000.000000,,2618552000.000000,5442473629.000000,12.000000,12.137000,51712000.000000,0.318000,1.000000,144565000.000000,0.570000,195397000.000000,0.000000,4679976000.000000,,0.000000,4321414000.000000,,,2380385000.000000,,,17228000.000000,0.000000,-76078000.000000,0.000000,-12165000.000000,-88243000.000000,53759000.000000,45072000.000000,51712000.000000,0.000000,112816000.000000,112816000.000000,112816000.000000,0.000000,0.000000,0.445000,31749000.000000,112816000.000000,96461000.000000,0.349000,2.126000,12.412000,12.917000,0.000000,0.000000,34.229000,5.574000,5.574000,169593000.000000,1354180000.000000,253726000.000000,253726000.000000,0.000000,,,,,0.000000,17548000.000000,1.000000,162610953.000000,162610953.000000,,1.560000,4803540000.000000,0.000000,0.000000,0.000000,29.540000
ARQ,1998-03-31,1998-05-15,1998-03-31,1998-Q2,,6730122294.000000,2025-04-28,146897000.000000,6993404000.000000,,,,,15.521000,0.000000,194182000.000000,194182000.000000,116265000.000000,236205000.000000,,1.515000,250000000.000000,,,250000000.000000,503054000.000000,0.000000,0.000000,0.020000,0.080000,243830000.000000,243830000.000000,0.604000,243830000.000000,243830000.000000,239972000.000000,1.450000,1.410000,1.450000,2780916000.000000,,2780916000.000000,6785940294.000000,11.000000,11.046000,63062000.000000,0.352000,1.000000,287226000.000000,0.712000,194128000.000000,3858000.000000,6855094000.000000,,0.000000,5247452000.000000,,,4212488000.000000,,,70618000.000000,-338000000.000000,-28905000.000000,250000000.000000,-13084000.000000,208011000.000000,-200455000.000000,87007000.000000,63062000.000000,0.000000,236205000.000000,236205000.000000,236205000.000000,0.000000,0.000000,0.585000,43396000.000000,243830000.000000,121283000.000000,0.055000,2.420000,11.093000,10.283000,0.000000,0.000000,37.562000,5.667000,5.667000,1029232000.000000,1552915000.000000,403491000.000000,403491000.000000,0.000000,,,,,0.000000,26585000.000000,1.000000,179171309.000000,179171309.000000,,2.252000,6799276000.000000,74540000.000000,3767000.000000,0.000000,37.948000
ARQ,1998-06-30,1998-08-12,1998-06-30,1998-Q3,,6774523665.000000,2025-04-28,110079000.000000,7971454000.000000,,,,,18.122000,0.000000,245139000.000000,245139000.000000,134305000.000000,171463000.000000,,1.273000,250000000.000000,,,250000000.000000,658442000.000000,6998000.000000,0.000000,0.018000,0.090000,181449000.000000,188447000.000000,0.509000,188447000.000000,181449000.000000,176478000.000000,0.970000,0.950000,0.970000,3507573000.000000,,3507573000.000000,6779384665.000000,10.000000,10.078000,73151000.000000,0.378000,1.000000,235763000.000000,0.637000,497548000.000000,4971000.000000,7478767000.000000,,0.000000,5795273000.000000,,,4463881000.000000,,,50957000.000000,-629758000.000000,607239000.000000,0.000000,-13011000.000000,594228000.000000,-616422000.000000,8966000.000000,73151000.000000,0.000000,171463000.000000,171463000.000000,171463000.000000,0.000000,0.000000,0.463000,54314000.000000,181449000.000000,134875000.000000,0.093000,1.931000,10.453000,9.074000,0.000000,0.000000,35.000000,5.257000,5.257000,1123767000.000000,1708250000.000000,370068000.000000,370068000.000000,0.000000,,,,,0.000000,30620000.000000,1.000000,193557819.000000,193557819.000000,,1.912000,7473906000.000000,69609000.000000,5015000.000000,0.000000,38.613000
ARQ,1998-09-30,1998-12-18,1998-09-30,1998-Q4,,5361863679.000000,2025-04-28,127570000.000000,8788753000.000000,,,,,19.180000,0.000000,317714000.000000,317714000.000000,157161000.000000,39667000.000000,,1.366000,250000000.000000,,,250000000.000000,827496000.000000,5836000.000000,0.000000,0.013000,0.180000,68375000.000000,74211000.000000,0.195000,74211000.000000,68375000.000000,51745000.000000,-0.070000,-0.060000,-0.070000,3714270000.000000,,3714270000.000000,5294149679.000000,9.000000,8.560000,-121155000.000000,-0.626000,1.000000,222496000.000000,0.586000,540355000.000000,16630000.000000,8180684000.000000,,0.000000,5883360000.000000,,,5074483000.000000,,,-37280000.000000,0.000000,1197000.000000,0.000000,-16129000.000000,-14932000.000000,98807000.000000,171689000.000000,-121155000.000000,0.000000,39667000.000000,39667000.000000,39667000.000000,0.000000,0.000000,0.104000,154121000.000000,68375000.000000,241425000.000000,-2.571000,1.444000,9.572000,9.138000,0.000000,0.000000,27.688000,3.811000,3.811000,1699082000.000000,1819554000.000000,379657000.000000,379657000.000000,0.000000,,,,,0.000000,93514000.000000,1.000000,193656476.000000,193656476.000000,,1.960000,8248398000.000000,25264000.000000,12078000.000000,0.000000,42.593000
ARQ,1998-12-31,1999-02-16,1998-12-31,1999-Q1,,5521166091.000000,2025-04-28,108742000.000000,8834305000.000000,,,,,20.181000,0.000000,240556000.000000,240556000.000000,111169000.000000,238539000.000000,,1.260000,250000000.000000,,,250000000.000000,768383000.000000,4435000.000000,0.000000,0.012000,0.000000,248622000.000000,253057000.000000,0.584000,253057000.000000,248622000.000000,243881000.000000,1.230000,1.210000,1.230000,3909577000.000000,,3909577000.000000,5530610091.000000,7.000000,7.281000,-71391000.000000,-0.369000,1.000000,322087000.000000,0.743000,535920000.000000,4741000.000000,8307829000.000000,,0.000000,5974344000.000000,,,4924728000.000000,,,-77158000.000000,0.000000,4000.000000,0.000000,-17422000.000000,-17418000.000000,11651000.000000,-109891000.000000,-71391000.000000,0.000000,238539000.000000,238539000.000000,238539000.000000,0.000000,0.000000,0.551000,73465000.000000,248622000.000000,210376000.000000,0.000000,1.412000,8.050000,7.961000,0.000000,0.000000,28.500000,3.480000,3.480000,1708609000.000000,2040664000.000000,433256000.000000,433256000.000000,0.000000,,,,,0.000000,41218000.000000,1.000000,193725126.000000,193725126.000000,,2.236000,8298385000.000000,42796000.000000,5342000.000000,0.000000,42.836000
ARQ,1999-03-31,1999-05-17,1999-03-31,1999-Q2,,6471903179.000000,2025-04-28,39293000.000000,8876389000.000000,,,,,20.402000,0.000000,266018000.000000,266018000.000000,156881000.000000,129019000.000000,,1.244000,250000000.000000,,,250000000.000000,792073000.000000,4420000.000000,0.000000,0.011000,0.090000,138701000.000000,143121000.000000,0.368000,143121000.000000,138701000.000000,134171000.000000,0.670000,0.650000,0.670000,3956216000.000000,,3956216000.000000,6455885179.000000,10.000000,9.799000,-76793000.000000,-0.396000,1.000000,232124000.000000,0.597000,538244000.000000,4530000.000000,8322127000.000000,,0.000000,5804418000.000000,,,4920173000.000000,,,25462000.000000,-9000000.000000,4971000.000000,0.000000,-17429000.000000,-12458000.000000,114713000.000000,120178000.000000,-76793000.000000,0.000000,129019000.000000,129019000.000000,129019000.000000,0.000000,0.000000,0.332000,93423000.000000,138701000.000000,250868000.000000,0.134000,1.636000,11.184000,11.920000,0.000000,0.000000,33.375000,4.117000,4.117000,1844483000.000000,2152237000.000000,389005000.000000,389005000.000000,0.000000,,,,,0.000000,54650000.000000,1.000000,193914702.000000,193914702.000000,,2.006000,8338145000.000000,43648000.000000,5152000.000000,0.000000,42.999000
ARQ,1999-06-30,1999-08-16,1999-06-30,1999-Q3,,4608908256.000000,2025-04-28,-32194000.000000,9667810000.000000,,,,,20.290000,0.000000,804430000.000000,804430000.000000,255471000.000000,69122000.000000,,1.455000,650000000.000000,,,650000000.000000,913464000.000000,4514000.000000,0.000000,0.016000,0.110000,77767000.000000,82281000.000000,0.201000,82281000.000000,77767000.000000,73620000.000000,0.360000,0.350000,0.360000,3937481000.000000,,3937481000.000000,4454478256.000000,8.000000,8.060000,147863000.000000,0.762000,1.000000,154901000.000000,0.377000,533637000.000000,4147000.000000,8979743000.000000,,0.000000,5756076000.000000,,,5730329000.000000,,,538412000.000000,913000.000000,3495000.000000,400000000.000000,-17445000.000000,386050000.000000,4499000.000000,-42155000.000000,147863000.000000,0.000000,69122000.000000,69122000.000000,69122000.000000,0.000000,0.000000,0.168000,77134000.000000,77767000.000000,341998000.000000,0.306000,1.171000,9.676000,10.845000,0.000000,0.000000,23.750000,2.859000,2.859000,1954546000.000000,2200015000.000000,410372000.000000,410372000.000000,0.000000,,,,,0.000000,41149000.000000,1.000000,194059295.000000,194059295.000000,,2.115000,9134173000.000000,39815000.000000,4498000.000000,0.000000,47.069000
ARQ,1999-09-30,1999-11-15,1999-09-30,1999-Q4,,3796284958.000000,2025-04-28,-100114000.000000,29344183000.000000,,,,,19.913000,0.000000,735780000.000000,735780000.000000,632910000.000000,14793000.000000,,6.594000,2898613000.000000,,,2898613000.000000,2196245000.000000,17474000.000000,196338000.000000,0.020000,0.110000,65189000.000000,82663000.000000,0.078000,82663000.000000,65189000.000000,21121000.000000,0.080000,0.080000,0.080000,3864369000.000000,,3864369000.000000,5959117958.000000,11.000000,10.620000,-356441000.000000,-1.837000,1.000000,424608000.000000,0.402000,2664886000.000000,44068000.000000,28842130000.000000,,0.000000,11128721000.000000,,,25479814000.000000,,,-68650000.000000,-2584545000.000000,-1812000.000000,1679999000.000000,-21345000.000000,2056842000.000000,-1769051000.000000,881338000.000000,-356441000.000000,0.000000,14793000.000000,14793000.000000,14793000.000000,0.000000,0.000000,0.014000,359419000.000000,65189000.000000,2969176000.000000,1.375000,0.982000,8.409000,8.360000,0.000000,0.000000,19.562000,1.658000,1.658000,12397888000.000000,2193461000.000000,1057518000.000000,1057518000.000000,0.000000,,,,,0.000000,201332000.000000,1.000000,194059295.000000,194059295.000000,,5.449000,26679297000.000000,977273000.000000,6328000.000000,0.000000,137.480000
ARQ,1999-12-31,2000-03-29,1999-12-31,1999-Q4,,4131497826.000000,2025-04-28,-66152000.000000,30122888000.000000,,,,,20.467000,0.000000,599232000.000000,599232000.000000,594281000.000000,152029000.000000,,5.768000,3073813000.000000,,,3073813000.000000,2492587000.000000,18942000.000000,201079000.000000,0.023000,0.110000,217128000.000000,236070000.000000,0.203000,236070000.000000,217128000.000000,164735000.000000,0.780000,0.770000,0.780000,4450560000.000000,,4450560000.000000,6606078826.000000,13.000000,12.141000,-175481000.000000,-0.807000,1.000000,565814000.000000,0.488000,2822718000.000000,52393000.000000,29774751000.000000,,0.000000,12276303000.000000,,,25672328000.000000,,,-136548000.000000,-86584000.000000,169000.000000,-129896000.000000,-21617000.000000,-51344000.000000,90277000.000000,91982000.000000,-175481000.000000,0.000000,152029000.000000,152029000.000000,152029000.000000,0.000000,0.000000,0.131000,348686000.000000,217128000.000000,3420681000.000000,0.141000,0.928000,11.320000,10.106000,0.000000,0.000000,19.000000,1.369000,1.369000,11972976000.000000,2321570000.000000,1160095000.000000,1160095000.000000,0.000000,,,,,0.000000,198105000.000000,1.000000,217447254.000000,217447254.000000,,5.335000,27300170000.000000,916184000.000000,12706000.000000,0.000000,125.548000
ARQ,2000-03-31,2000-05-15,2000-03-31,2000-Q1,,5791671638.000000,2025-04-28,-81841000.000000,30245298000.000000,,,,,21.051000,0.000000,807921000.000000,807921000.000000,715483000.000000,174513000.000000,,5.621000,3057291000.000000,,,3057291000.000000,2827312000.000000,19646000.000000,183931000.000000,0.016000,0.110000,264702000.000000,284348000.000000,0.211000,284348000.000000,264702000.000000,207513000.000000,0.800000,0.800000,0.800000,4568394000.000000,,4568394000.000000,8041041638.000000,13.000000,11.733000,-84008000.000000,-0.387000,1.000000,628998000.000000,0.468000,2806044000.000000,57189000.000000,29688624000.000000,,0.000000,12005840000.000000,,,25676904000.000000,,,208689000.000000,0.000000,559000.000000,-316522000.000000,-23917000.000000,-39880000.000000,332577000.000000,323700000.000000,-84008000.000000,0.000000,174513000.000000,174513000.000000,174513000.000000,0.000000,0.000000,0.130000,364296000.000000,264702000.000000,2727272000.000000,0.138000,1.268000,14.110000,13.212000,0.000000,0.000000,26.688000,1.458000,1.458000,11993532000.000000,2472224000.000000,1344481000.000000,1344481000.000000,0.000000,,,,,0.000000,194008000.000000,1.000000,217018141.000000,217018141.000000,,6.195000,27439254000.000000,945115000.000000,33000000.000000,0.000000,126.438000
ARQ,2000-06-30,2000-08-14,2000-06-30,2000-Q2,,7668160179.000000,2025-04-28,-145221000.000000,30204848000.000000,,,,,21.058000,0.000000,684577000.000000,684577000.000000,768111000.000000,113928000.000000,,5.514000,2651079000.000000,,,2651079000.000000,3053214000.000000,19324000.000000,184155000.000000,0.013000,0.130000,184794000.000000,204118000.000000,0.155000,204118000.000000,184794000.000000,130847000.000000,0.500000,0.490000,0.500000,4589051000.000000,,4589051000.000000,9634662179.000000,13.000000,11.936000,-119869000.000000,-0.550000,1.000000,550710000.000000,0.418000,2877449000.000000,53947000.000000,29293901000.000000,,0.000000,11824629000.000000,,,25304747000.000000,,,-123344000.000000,0.000000,6053000.000000,-406212000.000000,-23862000.000000,-125273000.000000,121798000.000000,138521000.000000,-119869000.000000,0.000000,113928000.000000,113928000.000000,113928000.000000,0.000000,0.000000,0.086000,365916000.000000,184794000.000000,2709392000.000000,0.260000,1.671000,16.843000,16.291000,0.000000,0.000000,35.188000,1.571000,1.571000,12145301000.000000,2552532000.000000,1318821000.000000,1318821000.000000,0.000000,,,,,0.000000,182864000.000000,1.000000,217922847.000000,217922847.000000,,6.052000,27327399000.000000,1004320000.000000,16919000.000000,0.000000,125.399000
ARQ,2000-09-30,2000-11-14,2000-09-30,2000-Q3,,9267384251.000000,2025-04-28,-23159000.000000,31532100000.000000,,,,,22.584000,0.000000,616971000.000000,616971000.000000,772887000.000000,140753000.000000,,4.958000,2676694000.000000,,,2676694000.000000,3192781000.000000,19919000.000000,143693000.000000,0.012000,0.130000,220593000.000000,240512000.000000,0.177000,240512000.000000,220593000.000000,165185000.000000,0.600000,0.580000,0.600000,5240505000.000000,,5240505000.000000,11327107251.000000,13.000000,11.737000,-170641000.000000,-0.735000,1.000000,586682000.000000,0.432000,2857528000.000000,55408000.000000,30734295000.000000,,0.000000,13146960000.000000,,,25980545000.000000,,,-67606000.000000,0.000000,409872000.000000,25615000.000000,-28296000.000000,400770000.000000,-297735000.000000,-296830000.000000,-170641000.000000,0.000000,140753000.000000,140753000.000000,140753000.000000,0.000000,0.000000,0.104000,366089000.000000,220593000.000000,2532233000.000000,0.217000,1.768000,15.945000,14.902000,0.000000,0.000000,39.938000,1.788000,1.788000,12269220000.000000,2656608000.000000,1359569000.000000,1359569000.000000,0.000000,,,,,0.000000,177912000.000000,1.000000,232047180.000000,232047180.000000,,5.859000,28674572000.000000,1090709000.000000,24432000.000000,0.000000,123.572000
