dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2015-12-31,2016-07-22,2015-12-31,2015-Q4,13222716.000000,,2025-05-06,0.000000,15265870.000000,,15244551.000000,21319.000000,,0.088000,,10128320.000000,10128320.000000,,,7.540000,0.746000,4500000.000000,0.000000,4500000.000000,4500000.000000,25057.000000,,0.000000,,0.000000,,,,,,,,,,8744035.000000,,8744035.000000,,,,,,1.000000,,,0.000000,,7615715.000000,,2322904.000000,0.000000,0.000000,0.000000,6521835.000000,2021835.000000,4500000.000000,,,,,,,,,,,,,,,,,,,1805931.000000,,,,,21319.000000,,,,,2127060.000000,-49920563.000000,,,,,,,,,,1.000000,115999353.000000,99527478.000000,,,15265870.000000,0.000000,,0.000000,0.153000
ARQ,2015-12-31,2016-08-25,2015-12-31,2015-Q4,13222716.000000,,2025-05-06,0.000000,15265870.000000,,15244551.000000,21319.000000,,0.088000,,10128320.000000,10128320.000000,,,7.540000,0.746000,4500000.000000,0.000000,4500000.000000,4500000.000000,25057.000000,,0.000000,,0.000000,,,,,,,,,,8744035.000000,,8744035.000000,,,,,,1.000000,,,0.000000,,7615715.000000,,2322904.000000,0.000000,0.000000,0.000000,6521835.000000,2021835.000000,4500000.000000,,,,,,,,,,,,,,,,,,,1805931.000000,,,,,21319.000000,,,,,2127060.000000,-49920563.000000,,,,,,,,,,1.000000,115999353.000000,99527478.000000,,,15265870.000000,0.000000,,0.000000,0.153000
ARQ,2015-12-31,2016-09-19,2015-12-31,2015-Q4,13222716.000000,,2025-05-06,0.000000,15265870.000000,,15244551.000000,21319.000000,,0.088000,,10128320.000000,10128320.000000,,,7.540000,0.746000,4500000.000000,0.000000,4500000.000000,4500000.000000,25057.000000,,0.000000,,0.000000,,,,,,,,,,8744035.000000,,8744035.000000,,,,,,1.000000,,,0.000000,,7615715.000000,,2322904.000000,0.000000,0.000000,0.000000,6521835.000000,2021835.000000,4500000.000000,,,,,,,,,,,,,,,,,,,1805931.000000,,,,,21319.000000,,,,,2127060.000000,-49920563.000000,,,,,,,,,,1.000000,115999353.000000,99527478.000000,,,15265870.000000,0.000000,,0.000000,0.153000
ARQ,2015-12-31,2016-09-28,2015-12-31,2015-Q4,13222716.000000,,2025-05-06,0.000000,15265870.000000,,15244551.000000,21319.000000,,0.088000,,10128320.000000,10128320.000000,,,7.540000,0.746000,4500000.000000,0.000000,4500000.000000,4500000.000000,25057.000000,,0.000000,,0.000000,,,,,,,,,,8744035.000000,,8744035.000000,,,,,,1.000000,,,0.000000,,7615715.000000,,2322904.000000,0.000000,0.000000,0.000000,6521835.000000,2021835.000000,4500000.000000,,,,,,,,,,,,,,,,,,,1805931.000000,,,,,21319.000000,,,,,2127060.000000,-49920563.000000,,,,,,,,,,1.000000,115999353.000000,99527478.000000,,,15265870.000000,0.000000,,0.000000,0.153000
ARQ,2016-09-30,2016-11-10,2016-09-30,2016-Q3,11649914.000000,,2025-05-06,0.000000,14248350.000000,,14211842.000000,36508.000000,,0.062000,,7765707.000000,7765707.000000,3772948.000000,9950.000000,5.547000,0.983000,4500000.000000,0.000000,4500000.000000,4500000.000000,536536.000000,,0.000000,,0.000000,67450.000000,,,,67450.000000,9950.000000,0.000000,0.000000,0.000000,7186422.000000,,7186422.000000,,,,,,1.000000,2884752.000000,0.433000,0.000000,57500.000000,8420715.000000,,2106329.000000,0.000000,0.000000,0.000000,7061928.000000,2561928.000000,4500000.000000,,,,,,,,,,,9950.000000,-93008.000000,-93008.000000,0.000000,0.000000,-0.014000,2817302.000000,67450.000000,1710504.000000,,,,,36508.000000,102958.000000,,,,3402272.000000,-52844900.000000,6657700.000000,6657700.000000,0.000000,,,,,,2817302.000000,1.000000,115999353.000000,115999353.000000,115999353.000000,0.057000,14248350.000000,0.000000,0.000000,0.000000,0.123000
ARQ,2016-12-31,2017-03-30,2016-12-31,2016-Q4,15361104.000000,,2025-05-06,0.000000,17717122.000000,,17683589.000000,33533.000000,,0.094000,4465.000000,11747138.000000,11747138.000000,3691851.000000,-419542.000000,7.614000,0.626000,4500000.000000,0.000000,4500000.000000,4500000.000000,214612.000000,4605.000000,0.000000,,0.000000,-362042.000000,-357437.000000,-0.057000,-357437.000000,-362042.000000,-419542.000000,-0.003000,-0.003000,-0.003000,10894637.000000,,10894637.000000,,,,-18569.000000,0.000000,1.000000,2561039.000000,0.410000,0.000000,57500.000000,8147499.000000,,2211370.000000,0.000000,0.000000,0.000000,6822485.000000,2322485.000000,4500000.000000,3981431.000000,0.000000,4000000.000000,0.000000,0.000000,4000000.000000,4465.000000,0.000000,-23034.000000,0.000000,-419542.000000,-509432.000000,-509432.000000,0.000000,0.000000,-0.081000,2929176.000000,-368137.000000,1754207.000000,0.000000,,,,33533.000000,89890.000000,,,,2787732.000000,-53354332.000000,6252890.000000,6252890.000000,0.000000,,,,,217647.000000,2929176.000000,1.000000,131715723.000000,116045301.000000,116045301.000000,0.054000,17717122.000000,0.000000,0.000000,0.000000,0.153000
ARQ,2017-03-31,2017-05-11,2017-03-31,2017-Q1,24194723.000000,,2025-05-06,0.000000,28597662.000000,,28562031.000000,35631.000000,,0.165000,-6332.000000,20904487.000000,20904487.000000,3617623.000000,-1881300.000000,6.540000,0.380000,3500000.000000,0.000000,3500000.000000,3500000.000000,394588.000000,4234.000000,0.000000,,0.000000,-1833244.000000,-1829010.000000,-0.305000,-1829010.000000,-1833244.000000,-1881300.000000,-0.017000,-0.017000,-0.017000,20730354.000000,,20730354.000000,,,,-867599.000000,-0.007000,1.000000,2382806.000000,0.397000,0.000000,48056.000000,6825867.000000,,2577620.000000,0.000000,0.000000,0.000000,7867308.000000,4367308.000000,3500000.000000,9157349.000000,0.000000,10024948.000000,0.000000,0.000000,10024948.000000,-6332.000000,0.000000,-861267.000000,0.000000,-1881300.000000,-1971545.000000,-1971545.000000,0.000000,0.000000,-0.329000,4216050.000000,-1833244.000000,3579920.000000,0.000000,,,,35631.000000,90245.000000,,,,3273941.000000,-55325877.000000,6000429.000000,6000429.000000,0.000000,,,,,782314.000000,4216050.000000,1.000000,132305721.000000,125351559.000000,125351559.000000,0.048000,28597662.000000,0.000000,0.000000,0.000000,0.228000
ARQ,2017-06-30,2017-08-09,2017-06-30,2017-Q2,26126822.000000,167758851.000000,2025-05-06,0.000000,30110002.000000,,30072797.000000,37205.000000,,0.169000,-6014.000000,19997743.000000,19997743.000000,5670277.000000,470773.000000,7.621000,0.329000,3500000.000000,0.000000,3500000.000000,3500000.000000,131321.000000,4440.000000,0.000000,0.000000,0.000000,509251.000000,513691.000000,0.050000,513691.000000,509251.000000,470773.000000,0.003000,0.003000,0.003000,22664027.000000,,22664027.000000,151261108.000000,-93.000000,,-1880477.000000,-0.014000,1.000000,4566621.000000,0.446000,0.000000,38478.000000,9666284.000000,,3257461.000000,0.000000,0.000000,0.000000,7445975.000000,3945975.000000,3500000.000000,-906744.000000,0.000000,973733.000000,0.000000,0.000000,973733.000000,-6014.000000,0.000000,-1874463.000000,0.000000,470773.000000,379525.000000,379525.000000,0.000000,0.000000,0.037000,4057370.000000,509251.000000,3228939.000000,0.000000,7.402000,-76.447000,-72.549000,37205.000000,91248.000000,1.233000,5.755000,5.668000,4853958.000000,-54946352.000000,10236898.000000,10236898.000000,0.000000,,,,,580415.000000,4057370.000000,1.000000,136020690.000000,133950156.000000,170632848.000000,0.076000,30110002.000000,0.000000,0.000000,0.000000,0.225000
ARQ,2017-09-30,2017-11-08,2017-09-30,2017-Q3,24935642.000000,252605384.000000,2025-05-06,0.000000,33925315.000000,,33875357.000000,49958.000000,,0.157000,-18370.000000,19418583.000000,19418583.000000,6110898.000000,-1622244.000000,3.789000,0.579000,3500000.000000,0.000000,3500000.000000,3500000.000000,52988.000000,5618.000000,0.000000,0.000000,0.000000,-1586583.000000,-1580965.000000,-0.147000,-1580965.000000,-1586583.000000,-1622244.000000,-0.013000,-0.013000,-0.013000,21485600.000000,,21485600.000000,236686801.000000,-72.000000,-72.743000,-514500.000000,-0.004000,1.000000,4674898.000000,0.433000,0.000000,35661.000000,9067017.000000,,4316596.000000,0.000000,0.000000,0.000000,12439715.000000,8939715.000000,3500000.000000,-579160.000000,0.000000,-64660.000000,0.000000,0.000000,-64660.000000,-18370.000000,0.000000,-496130.000000,0.000000,-1622244.000000,-1714494.000000,-1714494.000000,0.000000,0.000000,-0.159000,6261481.000000,-1586583.000000,8410985.000000,0.000000,11.757000,-66.197000,-61.444000,49958.000000,92250.000000,1.843000,7.591000,7.559000,7071888.000000,-56660846.000000,10785796.000000,10785796.000000,0.000000,,,,,600726.000000,6261481.000000,1.000000,137037279.000000,136463724.000000,136463724.000000,0.079000,33925315.000000,0.000000,0.000000,0.000000,0.249000
ARQ,2017-12-31,2018-03-08,2017-12-31,2017-Q4,20584603.000000,249622731.000000,2025-05-06,-39378.000000,27110873.000000,,27048231.000000,62642.000000,,0.125000,-18818.000000,14186624.000000,14186624.000000,5334589.000000,-5207812.000000,4.185000,0.581000,3500000.000000,0.000000,3500000.000000,3500000.000000,17921.000000,6133.000000,0.000000,0.000000,0.000000,-5169391.000000,-5163258.000000,-0.565000,-5163258.000000,-5169391.000000,-5207812.000000,-0.037000,-0.037000,-0.037000,17147245.000000,,17147245.000000,238936107.000000,-30.000000,-29.646000,-5205083.000000,-0.038000,1.000000,3806352.000000,0.416000,0.000000,38421.000000,9960621.000000,,5305505.000000,0.000000,0.000000,0.000000,9963628.000000,6463628.000000,3500000.000000,-5231959.000000,0.000000,12502.000000,0.000000,0.000000,12502.000000,-18818.000000,0.000000,-5186265.000000,-39378.000000,-5207812.000000,-5300064.000000,-5300064.000000,0.000000,0.000000,-0.580000,8975743.000000,-5169391.000000,6311824.000000,0.000000,14.558000,-29.004000,-28.730000,62642.000000,92252.000000,1.810000,6.903000,6.669000,6375658.000000,-61960910.000000,9140941.000000,9140941.000000,0.000000,,,,,605587.000000,8975743.000000,1.000000,137913111.000000,137116641.000000,137116641.000000,0.067000,27110873.000000,0.000000,0.000000,0.000000,0.198000
