dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2013-09-30,2013-10-25,2013-09-30,2013-Q3,-89591000.000000,,2025-05-12,15000.000000,229285000.000000,,27857000.000000,201428000.000000,,-1.414000,,15927000.000000,15927000.000000,,,0.237000,-1.181000,21000000.000000,0.000000,21000000.000000,21000000.000000,72147000.000000,,0.000000,,0.000000,,,,,,,,,,-122042000.000000,,-122042000.000000,,,,,,1.000000,,,52491000.000000,,64419000.000000,,0.000000,0.000000,0.000000,0.000000,144123000.000000,117448000.000000,26675000.000000,,,,,,,,,,,,,,,,,,,12539000.000000,,,,,143689000.000000,,,,,8271000.000000,-199698000.000000,,,,,,,,,,1.000000,86320115.000000,86320115.000000,,,176794000.000000,928000.000000,,891000.000000,2.048000
ARQ,2013-09-30,2013-10-31,2013-09-30,2013-Q3,-89591000.000000,,2025-05-12,15000.000000,229285000.000000,,27857000.000000,201428000.000000,,-1.414000,,15927000.000000,15927000.000000,,,0.237000,-1.181000,21000000.000000,0.000000,21000000.000000,21000000.000000,72147000.000000,,0.000000,,0.000000,,,,,,,,,,-122042000.000000,,-122042000.000000,,,,,,1.000000,,,52491000.000000,,64419000.000000,,0.000000,0.000000,0.000000,0.000000,144123000.000000,117448000.000000,26675000.000000,,,,,,,,,,,,,,,,,,,12539000.000000,,,,,143689000.000000,,,,,8271000.000000,-199698000.000000,,,,,,,,,,1.000000,86320115.000000,86320115.000000,,,176794000.000000,928000.000000,,891000.000000,2.048000
ARQ,2013-12-31,2014-03-06,2013-12-31,2013-Q4,76157000.000000,515401826.000000,2025-05-12,-6000.000000,327371000.000000,,124309000.000000,203062000.000000,,13.120000,-10529000.000000,76864000.000000,76864000.000000,37574000.000000,-5417000.000000,2.582000,0.194000,0.000000,0.000000,0.000000,0.000000,22804000.000000,21470000.000000,0.000000,0.000000,0.000000,-5161000.000000,16309000.000000,0.211000,16309000.000000,-5161000.000000,-5317000.000000,-3.540000,-3.540000,-3.540000,274240000.000000,,274240000.000000,438537826.000000,-9.000000,18.703000,-18964000.000000,-0.907000,1.000000,39542000.000000,0.513000,52856000.000000,156000.000000,149499000.000000,,0.000000,61391000.000000,37071000.000000,24320000.000000,53131000.000000,48152000.000000,4979000.000000,60937000.000000,0.000000,163358000.000000,-21000000.000000,0.000000,141321000.000000,-71949000.000000,-61420000.000000,-8435000.000000,0.000000,-5417000.000000,-107974000.000000,-107974000.000000,0.000000,0.000000,-1.400000,48032000.000000,-8490000.000000,4078000.000000,0.000000,1.879000,-3.254000,-0.830000,124072000.000000,102557000.000000,6.290000,2.017000,0.514000,7091000.000000,-205115000.000000,77116000.000000,77116000.000000,12593000.000000,,,,,25070000.000000,33613000.000000,1.000000,81939877.000000,20902000.000000,20902000.000000,3.689000,274515000.000000,37000.000000,100000.000000,0.000000,13.133000
ARQ,2014-03-31,2014-05-12,2014-03-31,2014-Q1,32722000.000000,441074523.000000,2025-05-12,1000.000000,332765000.000000,,108406000.000000,224359000.000000,,3.066000,-32972000.000000,39440000.000000,39440000.000000,65485000.000000,-25759000.000000,1.432000,0.321000,0.000000,0.000000,0.000000,0.000000,52116000.000000,22130000.000000,0.000000,0.000000,0.000000,-25481000.000000,-3351000.000000,-0.045000,-3351000.000000,-25481000.000000,-25542000.000000,-0.310000,-0.310000,-0.310000,251928000.000000,,251928000.000000,401634523.000000,,,-3830000.000000,-0.047000,1.000000,8908000.000000,0.120000,52755000.000000,61000.000000,164886000.000000,,0.000000,91047000.000000,54376000.000000,36671000.000000,80837000.000000,75684000.000000,5153000.000000,-37424000.000000,-500000.000000,89000.000000,0.000000,0.000000,-3365000.000000,-63201000.000000,-29729000.000000,29142000.000000,0.000000,-25759000.000000,-25759000.000000,-25759000.000000,0.000000,0.000000,-0.346000,34509000.000000,-25601000.000000,3742000.000000,0.000000,1.751000,,,132909000.000000,0.000000,5.310000,,,9345000.000000,-230874000.000000,74393000.000000,74393000.000000,11320000.000000,,,,,6930000.000000,24867000.000000,1.000000,83064882.000000,82181000.000000,82181000.000000,0.905000,280010000.000000,39000.000000,217000.000000,0.000000,3.407000
ARQ,2014-06-30,2014-08-08,2014-06-30,2014-Q2,20573000.000000,588323020.000000,2025-05-12,28000.000000,314522000.000000,,74552000.000000,239970000.000000,,3.069000,-3568000.000000,30783000.000000,30783000.000000,38596000.000000,-8246000.000000,1.381000,0.232000,0.000000,0.000000,0.000000,0.000000,24175000.000000,20544000.000000,0.000000,0.000000,0.000000,-9486000.000000,11058000.000000,0.171000,11058000.000000,-9486000.000000,-9613000.000000,-0.100000,-0.100000,-0.100000,255356000.000000,,255356000.000000,557540020.000000,,,-10112000.000000,-0.122000,1.000000,25896000.000000,0.402000,99349000.000000,127000.000000,130411000.000000,,0.000000,47725000.000000,28430000.000000,19295000.000000,59166000.000000,53979000.000000,5187000.000000,-8657000.000000,-43372000.000000,1654000.000000,0.000000,0.000000,1520000.000000,-3633000.000000,43307000.000000,-6544000.000000,0.000000,-8246000.000000,-8246000.000000,-8246000.000000,0.000000,0.000000,-0.128000,35538000.000000,-9642000.000000,9813000.000000,0.000000,2.304000,,,119166000.000000,0.000000,7.030000,,,9913000.000000,-239120000.000000,64492000.000000,64492000.000000,12189000.000000,,,,,8481000.000000,25471000.000000,1.000000,83687485.000000,83209000.000000,83209000.000000,0.775000,215173000.000000,0.000000,-1367000.000000,0.000000,2.586000
ARQ,2014-09-30,2014-11-07,2014-09-30,2014-Q3,2961000.000000,563468553.000000,2025-05-12,-1000.000000,348133000.000000,,111049000.000000,237084000.000000,,2.805000,-26561000.000000,53186000.000000,53186000.000000,68281000.000000,-32441000.000000,1.027000,0.483000,0.000000,0.000000,0.000000,0.000000,72462000.000000,19369000.000000,0.000000,0.000000,0.000000,-32093000.000000,-12724000.000000,-0.156000,-12724000.000000,-32093000.000000,-32160000.000000,-0.390000,-0.390000,-0.390000,234730000.000000,,234730000.000000,510282553.000000,-7.000000,45.190000,18843000.000000,0.225000,1.000000,13251000.000000,0.163000,97657000.000000,67000.000000,89202000.000000,,0.000000,44159000.000000,30035000.000000,14124000.000000,113403000.000000,108088000.000000,5315000.000000,22403000.000000,0.000000,258000.000000,0.000000,0.000000,72000.000000,-23073000.000000,3488000.000000,45404000.000000,0.000000,-32441000.000000,-32441000.000000,-32441000.000000,0.000000,0.000000,-0.398000,45885000.000000,-32634000.000000,6063000.000000,0.000000,2.400000,-3.231000,-1.548000,123503000.000000,0.000000,6.720000,1.894000,1.890000,15758000.000000,-271561000.000000,81532000.000000,81532000.000000,13490000.000000,,,,,11794000.000000,34439000.000000,1.000000,83849487.000000,83688000.000000,83688000.000000,0.974000,250476000.000000,0.000000,281000.000000,0.000000,2.993000
ARQ,2014-12-31,2015-03-06,2014-12-31,2014-Q4,44095000.000000,701359943.000000,2025-05-12,-13000.000000,318127000.000000,,110814000.000000,207313000.000000,,2.943000,3323000.000000,56117000.000000,56117000.000000,38623000.000000,1688000.000000,1.661000,0.288000,0.000000,0.000000,0.000000,0.000000,24591000.000000,19263000.000000,0.000000,0.000000,0.000000,2805000.000000,22068000.000000,0.261000,22068000.000000,2805000.000000,2743000.000000,0.020000,0.020000,0.020000,247043000.000000,,247043000.000000,645242943.000000,-10.000000,37.842000,3796000.000000,0.045000,1.000000,45794000.000000,0.542000,104927000.000000,62000.000000,90364000.000000,,0.000000,34797000.000000,33346000.000000,1451000.000000,71084000.000000,66719000.000000,4365000.000000,2931000.000000,-10000000.000000,107000.000000,0.000000,0.000000,-99000.000000,2557000.000000,9286000.000000,473000.000000,0.000000,1688000.000000,1688000.000000,1688000.000000,0.000000,0.000000,0.020000,43051000.000000,2743000.000000,10945000.000000,0.000000,2.839000,-10.830000,-10.641000,99131000.000000,0.000000,8.300000,2.301000,2.266000,14396000.000000,-269873000.000000,84417000.000000,84417000.000000,12387000.000000,,,,,9683000.000000,29375000.000000,1.000000,84501198.000000,83931000.000000,83931000.000000,1.006000,213200000.000000,0.000000,1055000.000000,0.000000,2.540000
ARQ,2015-03-31,2015-05-08,2015-03-31,2015-Q1,32164000.000000,731422739.000000,2025-05-12,31000.000000,309728000.000000,,102166000.000000,207562000.000000,,2.777000,-18649000.000000,50028000.000000,50028000.000000,65493000.000000,-28542000.000000,1.459000,0.316000,0.000000,0.000000,0.000000,0.000000,44969000.000000,17846000.000000,0.000000,0.000000,0.000000,-28187000.000000,-10341000.000000,-0.122000,-10341000.000000,-28187000.000000,-28248000.000000,-0.340000,-0.340000,-0.340000,235441000.000000,,235441000.000000,681394739.000000,-10.000000,67.726000,-11958000.000000,-0.141000,1.000000,19379000.000000,0.228000,103367000.000000,61000.000000,86331000.000000,,0.000000,28867000.000000,28867000.000000,0.000000,74287000.000000,70002000.000000,4285000.000000,-6089000.000000,0.000000,4363000.000000,0.000000,0.000000,-28000.000000,-12752000.000000,5897000.000000,6691000.000000,0.000000,-28542000.000000,-28542000.000000,-28542000.000000,0.000000,0.000000,-0.336000,47642000.000000,-28263000.000000,4846000.000000,0.000000,3.107000,-10.829000,-10.494000,102463000.000000,0.000000,8.500000,2.320000,2.286000,10674000.000000,-298415000.000000,84872000.000000,84872000.000000,16144000.000000,,,,,15020000.000000,33169000.000000,1.000000,86049734.000000,84794000.000000,84794000.000000,1.001000,206361000.000000,0.000000,294000.000000,0.000000,2.434000
ARQ,2015-06-30,2015-08-06,2015-06-30,2015-Q2,51669000.000000,740691273.000000,2025-05-12,14000.000000,287564000.000000,,99156000.000000,188408000.000000,,2.713000,5921000.000000,35087000.000000,35087000.000000,36256000.000000,-10131000.000000,2.088000,0.222000,0.000000,0.000000,0.000000,0.000000,19752000.000000,16043000.000000,0.000000,0.000000,0.000000,-9641000.000000,6402000.000000,0.095000,6402000.000000,-9641000.000000,-9701000.000000,-0.120000,-0.120000,-0.120000,235345000.000000,,235345000.000000,705604273.000000,-11.000000,130.547000,-13829000.000000,-0.159000,1.000000,30805000.000000,0.459000,101930000.000000,60000.000000,103060000.000000,,0.000000,32136000.000000,27409000.000000,4727000.000000,52219000.000000,47487000.000000,4732000.000000,-14941000.000000,0.000000,5303000.000000,0.000000,0.000000,2222000.000000,2587000.000000,-3334000.000000,-19750000.000000,0.000000,-10131000.000000,-10131000.000000,-10131000.000000,0.000000,0.000000,-0.151000,40502000.000000,-9697000.000000,3832000.000000,0.000000,3.147000,-10.669000,-10.181000,79829000.000000,0.000000,8.450000,2.330000,2.306000,12131000.000000,-308546000.000000,67061000.000000,67061000.000000,13268000.000000,,,,,7831000.000000,24325000.000000,1.000000,87655772.000000,86741000.000000,86741000.000000,0.773000,185634000.000000,0.000000,430000.000000,0.000000,2.140000
ARQ,2015-09-30,2015-11-05,2015-09-30,2015-Q3,53512000.000000,660886642.000000,2025-05-12,-89000.000000,322057000.000000,,151249000.000000,170808000.000000,,2.509000,8848000.000000,80941000.000000,80941000.000000,61720000.000000,-24167000.000000,1.548000,0.464000,0.000000,0.000000,0.000000,0.000000,46081000.000000,12129000.000000,0.000000,0.000000,0.000000,-23717000.000000,-11588000.000000,-0.143000,-11588000.000000,-23717000.000000,-23778000.000000,-0.280000,-0.280000,-0.280000,220059000.000000,,220059000.000000,579945642.000000,-10.000000,88.663000,40021000.000000,0.456000,1.000000,19566000.000000,0.241000,100812000.000000,61000.000000,42567000.000000,,0.000000,24300000.000000,21365000.000000,2935000.000000,101998000.000000,97737000.000000,4261000.000000,45854000.000000,0.000000,659000.000000,0.000000,0.000000,51000.000000,14630000.000000,5782000.000000,31173000.000000,0.000000,-24167000.000000,-24167000.000000,-24167000.000000,0.000000,0.000000,-0.297000,43368000.000000,-23802000.000000,11982000.000000,0.000000,3.003000,-10.807000,-10.444000,63179000.000000,0.000000,7.520000,2.081000,2.076000,9323000.000000,-332713000.000000,81286000.000000,81286000.000000,15664000.000000,,,,,8933000.000000,28271000.000000,1.000000,87883862.000000,87706000.000000,87706000.000000,0.927000,221245000.000000,0.000000,389000.000000,0.000000,2.523000
