dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2014-06-30,2014-11-06,2014-06-30,2014-Q2,70145000.000000,404175077.000000,2025-05-12,32000.000000,122183000.000000,,114708000.000000,7475000.000000,,-4.572000,,108919000.000000,108919000.000000,,,2.574000,-0.734000,0.000000,0.000000,0.000000,0.000000,62296000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,-146535000.000000,,-146535000.000000,295256077.000000,,,,,1.000000,,,3563000.000000,,-34862000.000000,,0.000000,0.000000,0.000000,0.000000,107607000.000000,44563000.000000,63044000.000000,,,,,,,,,,,,,,,,,,,8415000.000000,,-2.758000,,,3037000.000000,,12.610000,,,0.000000,-149719000.000000,,,,,,,,,,1.000000,32051949.000000,32051949.000000,,,118620000.000000,0.000000,,0.000000,3.701000
ARQ,2014-09-30,2014-12-15,2014-09-30,2014-Q3,70798000.000000,458294937.000000,2025-05-12,-128000.000000,129182000.000000,,118875000.000000,10307000.000000,,-34.431000,-807000.000000,100925000.000000,100925000.000000,0.000000,-7914000.000000,2.473000,-0.790000,0.000000,0.000000,0.000000,0.000000,68702000.000000,192000.000000,0.000000,0.000000,0.000000,-7871000.000000,-7679000.000000,-0.478000,-7679000.000000,-7871000.000000,-7872000.000000,-1.790000,-1.790000,-1.790000,-151830000.000000,,-151830000.000000,357369937.000000,,,-5977000.000000,-1.355000,1.000000,16052000.000000,1.000000,3563000.000000,1000.000000,-23383000.000000,,0.000000,0.000000,0.000000,0.000000,120003000.000000,48077000.000000,71926000.000000,-7994000.000000,0.000000,0.000000,0.000000,0.000000,-1784000.000000,-807000.000000,0.000000,-5170000.000000,-233000.000000,-7872000.000000,-7872000.000000,-7872000.000000,0.000000,-42000.000000,-0.490000,22475000.000000,-6423000.000000,9374000.000000,0.000000,-3.018000,,,3680000.000000,0.000000,13.780000,,,0.000000,-157591000.000000,16052000.000000,16052000.000000,18496000.000000,,,,,2735000.000000,3979000.000000,1.000000,33257978.000000,4409703.000000,4409703.000000,3.640000,125619000.000000,0.000000,0.000000,0.000000,28.487000
ARQ,2014-12-31,2015-03-23,2014-12-31,2014-Q4,127353000.000000,853106150.000000,2025-05-12,-525000.000000,187221000.000000,,179136000.000000,8085000.000000,,8.160000,-489000.000000,150452000.000000,150452000.000000,0.000000,-29023000.000000,3.459000,1.803000,0.000000,0.000000,0.000000,0.000000,62699000.000000,235000.000000,0.000000,0.000000,0.000000,-29134000.000000,-28899000.000000,-4.451000,-28899000.000000,-29134000.000000,-29134000.000000,2.980000,2.980000,2.980000,66801000.000000,,66801000.000000,702654150.000000,-8.000000,-8.511000,-33774000.000000,-4.126000,1.000000,6493000.000000,1.000000,3563000.000000,0.000000,-18577000.000000,,0.000000,1815000.000000,1815000.000000,0.000000,120464000.000000,51783000.000000,68681000.000000,49517000.000000,0.000000,81148000.000000,0.000000,0.000000,83766000.000000,-499000.000000,0.000000,-33285000.000000,-465000.000000,-29134000.000000,-29134000.000000,-29134000.000000,0.000000,111000.000000,-4.487000,33053000.000000,-26560000.000000,10798000.000000,0.000000,12.771000,-9.791000,-2.406000,4472000.000000,0.000000,25.600000,27.426000,6.737000,2417000.000000,-186725000.000000,6493000.000000,6493000.000000,26867000.000000,,,,,3826000.000000,6186000.000000,1.000000,33324459.000000,8186529.000000,8186529.000000,0.793000,183658000.000000,0.000000,0.000000,0.000000,22.434000
ARQ,2015-03-31,2015-05-11,2015-03-31,2015-Q1,91984000.000000,797695595.000000,2025-05-12,-648000.000000,153153000.000000,,143897000.000000,9256000.000000,,1.143000,-1313000.000000,115196000.000000,115196000.000000,0.000000,-40839000.000000,2.772000,3.019000,0.000000,0.000000,0.000000,0.000000,57203000.000000,232000.000000,0.000000,0.000000,0.000000,-40725000.000000,-40493000.000000,-6.970000,-40493000.000000,-40725000.000000,-40725000.000000,-1.220000,-1.220000,-1.220000,38151000.000000,,38151000.000000,682499595.000000,,,-34375000.000000,-1.030000,1.000000,5810000.000000,1.000000,3563000.000000,0.000000,-17519000.000000,,0.000000,1837000.000000,1837000.000000,0.000000,115160000.000000,51913000.000000,63247000.000000,-35256000.000000,0.000000,-687000.000000,0.000000,0.000000,-729000.000000,-1313000.000000,0.000000,-33062000.000000,-152000.000000,-40725000.000000,-40725000.000000,-40725000.000000,0.000000,-114000.000000,-7.009000,42558000.000000,-36748000.000000,14594000.000000,0.000000,20.909000,,,5104000.000000,0.000000,21.080000,,,2015000.000000,-227450000.000000,5810000.000000,5810000.000000,36467000.000000,,,,,2182000.000000,6091000.000000,1.000000,37841347.000000,33377298.000000,33377298.000000,0.174000,149590000.000000,0.000000,0.000000,0.000000,4.482000
ARQ,2015-06-30,2015-08-10,2015-06-30,2015-Q2,169645000.000000,1297148857.000000,2025-05-12,-520000.000000,249546000.000000,,239592000.000000,9954000.000000,,2.568000,-1008000.000000,206148000.000000,206148000.000000,0.000000,-59034000.000000,3.425000,1.583000,0.000000,0.000000,0.000000,0.000000,69496000.000000,400000.000000,0.000000,0.000000,0.000000,-58810000.000000,-58410000.000000,-8.507000,-58410000.000000,-58810000.000000,-58810000.000000,-1.560000,-1.560000,-1.560000,96746000.000000,,96746000.000000,1091000857.000000,-8.000000,-8.053000,-21848000.000000,-0.580000,1.000000,6866000.000000,1.000000,3563000.000000,0.000000,-30112000.000000,,0.000000,0.000000,0.000000,0.000000,153182000.000000,69947000.000000,83235000.000000,90952000.000000,0.000000,113179000.000000,0.000000,0.000000,112625000.000000,-1008000.000000,0.000000,-20840000.000000,175000.000000,-58810000.000000,-58810000.000000,-58810000.000000,0.000000,-224000.000000,-8.565000,65761000.000000,-58895000.000000,19600000.000000,0.000000,13.408000,-9.500000,-21.302000,6341000.000000,0.000000,33.870000,36.829000,36.228000,1454000.000000,-286260000.000000,6866000.000000,6866000.000000,56944000.000000,,,,,4621000.000000,8817000.000000,1.000000,38297870.000000,37672748.000000,37672748.000000,0.182000,245983000.000000,0.000000,0.000000,0.000000,6.529000
ARQ,2015-09-30,2015-11-10,2015-09-30,2015-Q3,106783000.000000,1149277808.000000,2025-05-12,-473000.000000,202312000.000000,,189302000.000000,13010000.000000,,1.056000,-2399000.000000,153751000.000000,153751000.000000,0.000000,-71485000.000000,2.294000,4.000000,0.000000,0.000000,0.000000,0.000000,62295000.000000,636000.000000,0.000000,0.000000,0.000000,-71301000.000000,-70665000.000000,-9.860000,-70665000.000000,-71301000.000000,-71334000.000000,-1.860000,-1.860000,-1.860000,40573000.000000,,40573000.000000,995526808.000000,-5.000000,-5.016000,-62054000.000000,-1.615000,1.000000,7167000.000000,1.000000,3563000.000000,33000.000000,-37521000.000000,,0.000000,785000.000000,0.000000,785000.000000,162272000.000000,82519000.000000,79753000.000000,-52397000.000000,0.000000,10468000.000000,0.000000,0.000000,10463000.000000,-3184000.000000,0.000000,-59655000.000000,-21000.000000,-71334000.000000,-71334000.000000,-71334000.000000,0.000000,-151000.000000,-9.953000,78384000.000000,-71217000.000000,28278000.000000,0.000000,28.326000,-5.746000,-17.801000,8652000.000000,0.000000,29.550000,43.639000,43.116000,540000.000000,-357594000.000000,7167000.000000,7167000.000000,68218000.000000,,,,,4744000.000000,10166000.000000,1.000000,38892650.000000,38426734.000000,38426734.000000,0.187000,198749000.000000,0.000000,0.000000,0.000000,5.172000
ARQ,2015-12-31,2016-02-29,2015-12-31,2015-Q4,91368000.000000,554877615.000000,2025-05-12,-401000.000000,212384000.000000,,197386000.000000,14998000.000000,,-0.159000,-1444000.000000,158286000.000000,158286000.000000,0.000000,-52580000.000000,1.862000,-35.333000,0.000000,0.000000,0.000000,0.000000,94959000.000000,601000.000000,0.000000,0.000000,0.000000,-52391000.000000,-51790000.000000,-5.078000,-51790000.000000,-52391000.000000,-52391000.000000,-1.330000,-1.330000,-1.330000,-6207000.000000,,-6207000.000000,396591615.000000,-2.000000,-1.792000,4123000.000000,0.106000,1.000000,10198000.000000,1.000000,3563000.000000,0.000000,-55483000.000000,,0.000000,785000.000000,0.000000,785000.000000,219313000.000000,106018000.000000,113295000.000000,4535000.000000,0.000000,414000.000000,0.000000,0.000000,330000.000000,-1444000.000000,0.000000,5567000.000000,82000.000000,-52391000.000000,-52391000.000000,-52391000.000000,0.000000,-189000.000000,-5.137000,62405000.000000,-52207000.000000,29496000.000000,0.000000,-89.395000,-2.485000,-2.361000,10504000.000000,0.000000,14.190000,18.471000,17.535000,1560000.000000,-409985000.000000,10198000.000000,10198000.000000,51433000.000000,,,,,5174000.000000,10972000.000000,1.000000,39103426.000000,38955764.000000,38955764.000000,0.262000,208821000.000000,0.000000,0.000000,0.000000,5.360000
ARQ,2016-03-31,2016-05-09,2016-03-31,2016-Q1,118663000.000000,751517203.000000,2025-05-12,-449000.000000,226236000.000000,,211583000.000000,14653000.000000,,-1.688000,-2148000.000000,179618000.000000,179618000.000000,0.000000,-65538000.000000,2.277000,-4.441000,99323000.000000,0.000000,99323000.000000,99323000.000000,82606000.000000,717000.000000,0.000000,0.000000,0.000000,-64551000.000000,-63834000.000000,-5.165000,-63834000.000000,-64551000.000000,-65388000.000000,-1.670000,-1.670000,-1.670000,-66006000.000000,,-66006000.000000,671222203.000000,-3.000000,-2.743000,-78464000.000000,-2.007000,1.000000,12359000.000000,1.000000,3563000.000000,837000.000000,49458000.000000,,0.000000,785000.000000,0.000000,785000.000000,293114000.000000,92920000.000000,200194000.000000,21332000.000000,0.000000,298000.000000,100000000.000000,0.000000,99843000.000000,-2148000.000000,0.000000,-76316000.000000,-47000.000000,-65388000.000000,-65388000.000000,-65388000.000000,0.000000,-150000.000000,-5.291000,76711000.000000,-64352000.000000,21398000.000000,0.000000,-11.386000,-3.031000,-2.991000,10296000.000000,0.000000,19.200000,20.539000,20.515000,1195000.000000,-475373000.000000,12359000.000000,12359000.000000,65313000.000000,,,,,5318000.000000,11398000.000000,1.000000,39141521.000000,39095975.000000,39095975.000000,0.316000,222673000.000000,0.000000,0.000000,0.000000,5.696000
ARQ,2016-06-30,2016-08-09,2016-06-30,2016-Q2,128550000.000000,1288410562.000000,2025-05-12,-524000.000000,251101000.000000,,236834000.000000,14267000.000000,,-1.496000,-301000.000000,220976000.000000,220976000.000000,0.000000,-70150000.000000,2.187000,-5.141000,99627000.000000,0.000000,99627000.000000,99627000.000000,88050000.000000,729000.000000,0.000000,0.000000,0.000000,-67613000.000000,-66884000.000000,-4.754000,-66884000.000000,-67613000.000000,-69967000.000000,-1.720000,-1.720000,-1.720000,-60893000.000000,,-60893000.000000,1167061562.000000,-5.000000,-4.610000,-27690000.000000,-0.680000,1.000000,14068000.000000,1.000000,3563000.000000,2354000.000000,17905000.000000,,0.000000,785000.000000,0.000000,785000.000000,313049000.000000,108284000.000000,204765000.000000,41358000.000000,0.000000,69367000.000000,0.000000,0.000000,69083000.000000,-301000.000000,0.000000,-27389000.000000,-35000.000000,-69967000.000000,-69967000.000000,-69967000.000000,0.000000,-183000.000000,-4.973000,76804000.000000,-62736000.000000,19863000.000000,0.000000,-21.159000,-4.973000,-4.514000,9904000.000000,0.000000,29.700000,29.421000,27.602000,419000.000000,-545340000.000000,14068000.000000,14068000.000000,65544000.000000,,,,,6148000.000000,11260000.000000,1.000000,43380827.000000,40698309.000000,40698309.000000,0.346000,247538000.000000,0.000000,0.000000,0.000000,6.082000
ARQ,2016-09-30,2016-11-09,2016-09-30,2016-Q3,118933000.000000,1182989335.000000,2025-05-12,-562000.000000,192357000.000000,,177319000.000000,15038000.000000,,0.756000,-500000.000000,159737000.000000,159737000.000000,0.000000,83844000.000000,3.037000,4.887000,99938000.000000,0.000000,99938000.000000,99938000.000000,1972000.000000,753000.000000,0.000000,0.000000,0.000000,86359000.000000,87112000.000000,0.535000,87112000.000000,86359000.000000,83939000.000000,1.930000,1.670000,1.930000,32872000.000000,,32872000.000000,1123190335.000000,-11.000000,-11.774000,-62448000.000000,-1.437000,1.000000,162835000.000000,1.000000,3563000.000000,2420000.000000,70609000.000000,,0.000000,785000.000000,0.000000,785000.000000,160635000.000000,58386000.000000,102249000.000000,-61239000.000000,0.000000,1254000.000000,0.000000,0.000000,1254000.000000,-500000.000000,0.000000,-61948000.000000,-45000.000000,83939000.000000,83939000.000000,83939000.000000,0.000000,-95000.000000,0.515000,78218000.000000,84617000.000000,25743000.000000,0.000000,35.988000,-11.396000,-9.713000,10675000.000000,0.000000,27.100000,5.931000,5.906000,419000.000000,-461401000.000000,162835000.000000,162835000.000000,64573000.000000,,,,,8270000.000000,13645000.000000,1.000000,43652743.000000,43469986.000000,51581298.000000,3.746000,188794000.000000,0.000000,0.000000,0.000000,4.343000
