dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2016-03-31,2016-06-01,2016-03-31,2016-Q1,8653000.000000,,2025-05-18,0.000000,16913000.000000,,15967000.000000,946000.000000,,-15.757000,0.000000,15887000.000000,15887000.000000,0.000000,-5449000.000000,2.183000,-0.273000,6035000.000000,2333000.000000,3702000.000000,6035000.000000,195000.000000,17000.000000,0.000000,,0.000000,-5347000.000000,-5330000.000000,-10.554000,-5330000.000000,-5347000.000000,-5449000.000000,-2.050000,-2.050000,-2.050000,-41920000.000000,,-41920000.000000,,,,-4396000.000000,-1.652000,1.000000,505000.000000,1.000000,0.000000,102000.000000,-253000.000000,,0.000000,0.000000,0.000000,0.000000,11447000.000000,7314000.000000,4133000.000000,-4396000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4396000.000000,0.000000,-5449000.000000,-5449000.000000,-5449000.000000,0.000000,0.000000,-10.790000,5862000.000000,-5357000.000000,2492000.000000,0.000000,,,,139000.000000,0.000000,,,,0.000000,-44812000.000000,505000.000000,505000.000000,4589000.000000,,,,,260000.000000,1273000.000000,1.000000,19592708.000000,2660370.000000,2660370.000000,0.190000,16913000.000000,0.000000,0.000000,0.000000,6.357000
ARQ,2016-06-30,2016-08-12,2016-06-30,2016-Q2,49300000.000000,147722260.000000,2025-05-18,0.000000,56164000.000000,,56033000.000000,131000.000000,,5.567000,0.000000,55279000.000000,55279000.000000,0.000000,-5102000.000000,8.322000,0.224000,5686000.000000,2400000.000000,3286000.000000,5686000.000000,190000.000000,15000.000000,0.000000,0.000000,0.000000,-5102000.000000,-5087000.000000,-1017.400000,-5087000.000000,-5102000.000000,-5102000.000000,-0.620000,-0.620000,-0.620000,45896000.000000,,45896000.000000,98129260.000000,,,-5483000.000000,-0.665000,1.000000,5000.000000,1.000000,0.000000,0.000000,-162000.000000,,0.000000,0.000000,0.000000,0.000000,10268000.000000,6733000.000000,3535000.000000,39392000.000000,0.000000,45275000.000000,-400000.000000,0.000000,44875000.000000,0.000000,0.000000,-5483000.000000,0.000000,-5102000.000000,-5102000.000000,-5102000.000000,0.000000,0.000000,-1020.400000,5183000.000000,-5178000.000000,2366000.000000,0.000000,3.219000,,,124000.000000,0.000000,7.190000,,,0.000000,-49914000.000000,5000.000000,5000.000000,4213000.000000,,,,,234000.000000,970000.000000,1.000000,20545516.000000,8243864.000000,8243864.000000,0.001000,56164000.000000,0.000000,0.000000,0.000000,6.813000
ARQ,2016-09-30,2016-11-14,2016-09-30,2016-Q3,54726000.000000,431726098.000000,2025-05-18,-5000.000000,57771000.000000,,57654000.000000,117000.000000,,2.290000,-3000.000000,36876000.000000,36876000.000000,0.000000,-5645000.000000,19.691000,0.231000,7489000.000000,0.000000,7489000.000000,7489000.000000,165000.000000,17000.000000,0.000000,0.000000,0.000000,-5645000.000000,-5628000.000000,-1125.600000,-5628000.000000,-5645000.000000,-5645000.000000,-0.280000,-0.280000,-0.280000,46938000.000000,,46938000.000000,402339098.000000,,,-6377000.000000,-0.311000,1.000000,5000.000000,1.000000,0.000000,0.000000,25456000.000000,,0.000000,20043000.000000,20043000.000000,0.000000,10833000.000000,2928000.000000,7905000.000000,-18403000.000000,0.000000,6102000.000000,1937000.000000,0.000000,8039000.000000,-20068000.000000,-20065000.000000,-6374000.000000,0.000000,-5645000.000000,-5645000.000000,-5645000.000000,0.000000,0.000000,-1129.000000,5311000.000000,-5306000.000000,1347000.000000,0.000000,9.198000,,,110000.000000,0.000000,20.990000,,,0.000000,-55559000.000000,5000.000000,5000.000000,3682000.000000,,,,,282000.000000,1629000.000000,1.000000,20568180.000000,20493377.000000,20493377.000000,0.000000,57771000.000000,0.000000,0.000000,0.000000,2.819000
ARQ,2016-09-30,2016-12-09,2016-09-30,2016-Q3,54726000.000000,185113620.000000,2025-05-18,-5000.000000,57771000.000000,,57654000.000000,117000.000000,,4.469000,-3000.000000,36876000.000000,36876000.000000,0.000000,-5645000.000000,19.691000,0.231000,7489000.000000,0.000000,7489000.000000,7489000.000000,165000.000000,17000.000000,0.000000,0.000000,0.000000,-5645000.000000,-5628000.000000,-1125.600000,-5628000.000000,-5645000.000000,-5645000.000000,0.400000,0.400000,0.400000,46938000.000000,,46938000.000000,155726620.000000,,,-6377000.000000,-0.607000,1.000000,5000.000000,1.000000,0.000000,0.000000,25456000.000000,,0.000000,20043000.000000,20043000.000000,0.000000,10833000.000000,2928000.000000,7905000.000000,-18403000.000000,0.000000,6102000.000000,1937000.000000,0.000000,8039000.000000,-20068000.000000,-20065000.000000,-6374000.000000,0.000000,-5645000.000000,-5645000.000000,-5645000.000000,0.000000,0.000000,-1129.000000,5311000.000000,-5306000.000000,1347000.000000,0.000000,3.944000,,,110000.000000,0.000000,9.000000,,,0.000000,-55559000.000000,5000.000000,5000.000000,3682000.000000,,,,,282000.000000,1629000.000000,1.000000,20568180.000000,10502459.000000,10502459.000000,0.000000,57771000.000000,0.000000,0.000000,0.000000,5.501000
ARQ,2016-12-31,2017-03-16,2016-12-31,2016-Q4,78909000.000000,185599357.000000,2025-05-18,-13000.000000,84813000.000000,,84317000.000000,496000.000000,,5.466000,0.000000,35184000.000000,35184000.000000,0.000000,-9686000.000000,15.591000,0.184000,7586000.000000,0.000000,7586000.000000,7586000.000000,160000.000000,16000.000000,0.000000,0.000000,0.000000,-9686000.000000,-9670000.000000,-1934.000000,-9670000.000000,-9686000.000000,-9686000.000000,-0.430000,-0.430000,-0.430000,71659000.000000,,71659000.000000,158001357.000000,-6.000000,-6.120000,-6456000.000000,-0.492000,1.000000,5000.000000,1.000000,0.000000,0.000000,51807000.000000,,0.000000,48807000.000000,48807000.000000,0.000000,13154000.000000,5408000.000000,7746000.000000,-2052000.000000,0.000000,33486000.000000,-10000.000000,0.000000,33476000.000000,-29072000.000000,-28712000.000000,-6456000.000000,0.000000,-9686000.000000,-9686000.000000,-9686000.000000,0.000000,0.000000,-1937.200000,10046000.000000,-10041000.000000,2594000.000000,0.000000,2.590000,-7.171000,-3.726000,94000.000000,0.000000,7.340000,356.922000,185.068000,0.000000,-65245000.000000,5000.000000,5000.000000,6971000.000000,,,,,538000.000000,2391000.000000,1.000000,25286016.000000,13111067.000000,13111067.000000,0.000000,84813000.000000,0.000000,0.000000,0.000000,6.469000
ARQ,2017-03-31,2017-05-10,2017-03-31,2017-Q1,73298000.000000,207207131.000000,2025-05-18,-21000.000000,81958000.000000,,80484000.000000,1474000.000000,,2.660000,-309000.000000,23349000.000000,23349000.000000,0.000000,-10373000.000000,11.200000,0.220000,7691000.000000,800000.000000,6891000.000000,7691000.000000,155000.000000,30000.000000,0.000000,0.000000,0.000000,-10373000.000000,-10343000.000000,-2068.600000,-10343000.000000,-10373000.000000,-10373000.000000,-0.410000,-0.410000,-0.410000,67163000.000000,,67163000.000000,191549131.000000,-6.000000,-6.234000,-11287000.000000,-0.447000,1.000000,5000.000000,1.000000,0.000000,0.000000,59114000.000000,,0.000000,54462000.000000,54462000.000000,0.000000,14795000.000000,7186000.000000,7609000.000000,-11835000.000000,0.000000,5133000.000000,0.000000,0.000000,5133000.000000,-5990000.000000,-5681000.000000,-10978000.000000,0.000000,-10373000.000000,-10373000.000000,-10373000.000000,0.000000,0.000000,-2074.600000,10261000.000000,-10256000.000000,4716000.000000,0.000000,3.085000,-6.726000,-7.726000,1010000.000000,0.000000,8.190000,10360.357000,10339.995000,0.000000,-75618000.000000,5000.000000,5000.000000,7590000.000000,,,,,752000.000000,2671000.000000,1.000000,25300016.000000,25250333.000000,25250333.000000,0.000000,81958000.000000,0.000000,0.000000,0.000000,3.246000
ARQ,2017-06-30,2017-08-11,2017-06-30,2017-Q2,59866000.000000,178368833.000000,2025-05-18,-23000.000000,68415000.000000,,67002000.000000,1413000.000000,,2.146000,-10000.000000,17035000.000000,17035000.000000,0.000000,-13773000.000000,9.389000,0.259000,7796000.000000,1600000.000000,6196000.000000,7796000.000000,150000.000000,57000.000000,0.000000,0.000000,0.000000,-13773000.000000,-13716000.000000,-105.508000,-13716000.000000,-13773000.000000,-13773000.000000,-0.540000,-0.540000,-0.540000,54326000.000000,,54326000.000000,169129833.000000,-4.000000,-4.297000,-11561000.000000,-0.457000,1.000000,130000.000000,1.000000,0.000000,0.000000,52040000.000000,,0.000000,49360000.000000,49360000.000000,0.000000,14089000.000000,7136000.000000,6953000.000000,-6314000.000000,0.000000,159000.000000,0.000000,0.000000,159000.000000,5078000.000000,5088000.000000,-11551000.000000,0.000000,-13773000.000000,-13773000.000000,-13773000.000000,0.000000,0.000000,-105.946000,13768000.000000,-13638000.000000,3732000.000000,0.000000,3.283000,-4.518000,-7.184000,963000.000000,0.000000,7.040000,1230.130000,1228.842000,0.000000,-89391000.000000,130000.000000,130000.000000,11478000.000000,,,,,779000.000000,2290000.000000,1.000000,25336482.000000,25309966.000000,25309966.000000,0.005000,68415000.000000,0.000000,0.000000,0.000000,2.703000
ARQ,2017-09-30,2017-11-09,2017-09-30,2017-Q3,41785000.000000,186013546.000000,2025-05-18,-8000.000000,54875000.000000,,53480000.000000,1395000.000000,,1.456000,13000.000000,16649000.000000,16649000.000000,0.000000,-18336000.000000,4.573000,0.487000,7903000.000000,2400000.000000,5503000.000000,7903000.000000,145000.000000,48000.000000,0.000000,0.000000,0.000000,-18336000.000000,-18288000.000000,-117.987000,-18288000.000000,-18336000.000000,-18336000.000000,-0.720000,-0.720000,-0.720000,36895000.000000,,36895000.000000,177267546.000000,-3.000000,-3.408000,-13448000.000000,-0.531000,1.000000,155000.000000,1.000000,0.000000,0.000000,34434000.000000,,0.000000,36338000.000000,36338000.000000,0.000000,17980000.000000,11695000.000000,6285000.000000,-386000.000000,0.000000,1000.000000,0.000000,0.000000,1000.000000,13074000.000000,13061000.000000,-13461000.000000,0.000000,-18336000.000000,-18336000.000000,-18336000.000000,0.000000,0.000000,-118.297000,18348000.000000,-18193000.000000,5075000.000000,0.000000,5.042000,-3.566000,-3.495000,932000.000000,0.000000,7.340000,630.554000,630.455000,0.000000,-107727000.000000,155000.000000,155000.000000,16050000.000000,,,,,889000.000000,2298000.000000,1.000000,25342445.000000,25338462.000000,25338462.000000,0.006000,54875000.000000,0.000000,0.000000,0.000000,2.166000
ARQ,2017-12-31,2018-03-16,2017-12-31,2017-Q4,25682000.000000,374340815.000000,2025-05-18,-8000.000000,40493000.000000,,39201000.000000,1292000.000000,,0.845000,0.000000,9584000.000000,9584000.000000,0.000000,-16493000.000000,2.900000,0.891000,8009000.000000,3200000.000000,4809000.000000,8009000.000000,140000.000000,47000.000000,0.000000,0.000000,0.000000,-16493000.000000,-16446000.000000,-299.018000,-16446000.000000,-16493000.000000,-16493000.000000,-0.650000,-0.650000,-0.650000,21415000.000000,,21415000.000000,372765815.000000,-6.000000,-6.340000,-15093000.000000,-0.595000,1.000000,55000.000000,1.000000,0.000000,0.000000,25399000.000000,,0.000000,28416000.000000,28416000.000000,0.000000,19078000.000000,13519000.000000,5559000.000000,-7065000.000000,0.000000,69000.000000,0.000000,0.000000,69000.000000,7959000.000000,7959000.000000,-15093000.000000,0.000000,-16493000.000000,-16493000.000000,-16493000.000000,0.000000,0.000000,-299.873000,16943000.000000,-16888000.000000,5384000.000000,0.000000,17.480000,-6.347000,-5.034000,885000.000000,0.000000,11.730000,1085.046000,860.595000,0.000000,-124220000.000000,55000.000000,55000.000000,13935000.000000,,,,,944000.000000,2441000.000000,1.000000,31913113.000000,25346726.000000,25346726.000000,0.002000,40493000.000000,0.000000,0.000000,0.000000,1.598000
ARQ,2018-03-31,2018-05-10,2018-03-31,2018-Q1,89386000.000000,369147966.000000,2025-05-18,-1000.000000,104462000.000000,,103229000.000000,1233000.000000,,3.204000,0.000000,85194000.000000,85194000.000000,0.000000,-16607000.000000,7.457000,0.216000,7307000.000000,3200000.000000,4107000.000000,7307000.000000,0.000000,47000.000000,0.000000,0.000000,0.000000,-16607000.000000,-16560000.000000,,-16560000.000000,-16607000.000000,-16607000.000000,-0.620000,-0.620000,-0.620000,85931000.000000,,85931000.000000,291260966.000000,-4.000000,-4.480000,-15653000.000000,-0.584000,1.000000,0.000000,,0.000000,0.000000,12732000.000000,,0.000000,16221000.000000,16221000.000000,0.000000,18531000.000000,13843000.000000,4688000.000000,75610000.000000,0.000000,79818000.000000,-800000.000000,0.000000,79018000.000000,12245000.000000,12245000.000000,-15653000.000000,0.000000,-16607000.000000,-16607000.000000,-16607000.000000,0.000000,0.000000,,16453000.000000,-16453000.000000,6744000.000000,0.000000,4.296000,-5.661000,-4.567000,838000.000000,0.000000,11.555000,1085.729000,911.422000,0.000000,-140667000.000000,0.000000,0.000000,13379000.000000,,,,,1138000.000000,3074000.000000,1.000000,31947033.000000,26818137.000000,26818137.000000,0.000000,104462000.000000,0.000000,0.000000,0.000000,3.895000
