dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2021-12-31,2022-12-05,2021-12-31,2021-Q4,3435875.000000,,2025-05-14,0.000000,4792110.000000,,4584258.000000,207852.000000,,0.247000,,4340178.000000,4340178.000000,,,3.992000,0.315000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,3643727.000000,,3643727.000000,,,,,,1.000000,,,0.000000,,-696451.000000,,0.000000,0.000000,0.000000,0.000000,1148383.000000,1148383.000000,0.000000,,,,,,,,,,,,,,,,,,,857567.000000,,,,,120671.000000,,,,,0.000000,-5624987.000000,,,,,,,,,,1.000000,6629408.000000,14750415.000000,,,4792110.000000,0.000000,,0.000000,0.325000
ARQ,2022-09-30,2022-12-13,2022-09-30,2022-Q3,6129295.000000,,2025-05-14,0.000000,9064497.000000,,8706098.000000,358399.000000,,-0.553000,,8650848.000000,8650848.000000,,,3.379000,-2.692000,11845000.000000,0.000000,11845000.000000,11845000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-5357306.000000,,-5357306.000000,,,,,,1.000000,,,0.000000,,9681846.000000,,0.000000,0.000000,0.000000,0.000000,14421803.000000,2576803.000000,11845000.000000,,,,,,,,,,,,,,,,,,,1313746.000000,,,,,100151.000000,,,,,0.000000,-14760879.000000,,,,,,,,,,1.000000,9679408.000000,9679408.000000,,,9064497.000000,0.000000,,0.000000,0.936000
ARQ,2022-12-31,2023-03-29,2022-12-31,2022-Q4,3361335.000000,41582285.000000,2025-05-14,0.000000,8395566.000000,,7184966.000000,1210600.000000,,-3.240000,0.000000,5933702.000000,5933702.000000,0.000000,-3107668.000000,1.879000,-2.000000,12965480.000000,0.000000,12965480.000000,12965480.000000,0.000000,6841.000000,0.000000,0.000000,0.000000,-3107668.000000,-3100827.000000,,-3100827.000000,-3107668.000000,-3107668.000000,-1.200000,-1.200000,-1.200000,-8393545.000000,,-8393545.000000,48614063.000000,-4.000000,-3.979000,-2223075.000000,-0.858000,1.000000,0.000000,,0.000000,0.000000,11603713.000000,,0.000000,0.000000,0.000000,0.000000,16789111.000000,3823631.000000,12965480.000000,-2717146.000000,0.000000,0.000000,0.000000,0.000000,-104071.000000,-390000.000000,0.000000,-2223075.000000,0.000000,-3107668.000000,-3107668.000000,-3107668.000000,0.000000,0.000000,,2003518.000000,-2003518.000000,1815270.000000,0.000000,-4.954000,-3.396000,-0.884000,93310.000000,0.000000,4.180000,,,0.000000,-17868547.000000,0.000000,0.000000,708032.000000,,,,,71429.000000,898646.000000,1.000000,9947915.000000,2590248.000000,2590248.000000,0.000000,8395566.000000,0.000000,0.000000,0.000000,3.241000
ARQ,2023-03-31,2023-05-10,2023-03-31,2023-Q1,16065818.000000,53221345.000000,2025-05-14,0.000000,17418727.000000,,17332257.000000,86470.000000,,1.661000,0.000000,16320288.000000,16320288.000000,0.000000,-2736462.000000,13.686000,0.078000,0.000000,0.000000,0.000000,0.000000,0.000000,6840.000000,0.000000,0.000000,0.000000,-2736462.000000,-2729622.000000,,-2729622.000000,-2736462.000000,-2736462.000000,-0.280000,-0.280000,-0.280000,16152288.000000,,16152288.000000,36901057.000000,,,-3863725.000000,-0.397000,1.000000,0.000000,,0.000000,0.000000,-168000.000000,,0.000000,0.000000,0.000000,0.000000,1266439.000000,1266439.000000,0.000000,10386586.000000,0.000000,14250311.000000,0.000000,0.000000,14250311.000000,0.000000,0.000000,-3863725.000000,0.000000,-2736462.000000,-2736462.000000,-2736462.000000,0.000000,0.000000,,2900096.000000,-2900096.000000,541752.000000,0.000000,3.295000,,,86470.000000,0.000000,5.350000,,,0.000000,-20605009.000000,0.000000,0.000000,1231712.000000,,,,,180387.000000,1661544.000000,1.000000,9947915.000000,9721847.000000,9721847.000000,0.000000,17418727.000000,0.000000,0.000000,0.000000,1.792000
ARQ,2023-06-30,2023-08-08,2023-06-30,2023-Q2,13168393.000000,38796868.000000,2025-05-14,0.000000,14469235.000000,,14389605.000000,79630.000000,,1.332000,0.000000,13102392.000000,13102392.000000,0.000000,-3095375.000000,11.783000,0.092000,0.000000,0.000000,0.000000,0.000000,0.000000,6840.000000,0.000000,0.000000,0.000000,-3095375.000000,-3088535.000000,,-3088535.000000,-3095375.000000,-3095375.000000,-0.310000,-0.310000,-0.310000,13248023.000000,,13248023.000000,25694476.000000,,,-2867896.000000,-0.288000,1.000000,0.000000,,0.000000,0.000000,145631.000000,,0.000000,0.000000,0.000000,0.000000,1221212.000000,1221212.000000,0.000000,-3217896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2867896.000000,0.000000,-3095375.000000,-3095375.000000,-3095375.000000,0.000000,0.000000,,3254345.000000,-3254345.000000,237579.000000,0.000000,2.929000,,,79630.000000,0.000000,3.900000,,,0.000000,-23700384.000000,0.000000,0.000000,1067952.000000,,,,,191110.000000,1829553.000000,1.000000,9947915.000000,9947915.000000,9947915.000000,0.000000,14469235.000000,0.000000,0.000000,0.000000,1.454000
ARQ,2023-09-30,2023-11-08,2023-09-30,2023-Q3,10016011.000000,51054919.000000,2025-05-14,0.000000,11895426.000000,,11822636.000000,72790.000000,,1.014000,0.000000,10886282.000000,10886282.000000,0.000000,-3421974.000000,6.544000,0.179000,0.000000,0.000000,0.000000,0.000000,0.000000,6841.000000,0.000000,0.000000,0.000000,-3421974.000000,-3415133.000000,,-3415133.000000,-3421974.000000,-3421974.000000,-0.340000,-0.340000,-0.340000,10088801.000000,,10088801.000000,40168637.000000,-3.000000,-3.257000,-2216110.000000,-0.223000,1.000000,0.000000,,0.000000,0.000000,-797481.000000,,0.000000,0.000000,0.000000,0.000000,1806625.000000,1806625.000000,0.000000,-2216110.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2216110.000000,0.000000,-3421974.000000,-3421974.000000,-3421974.000000,0.000000,0.000000,,3564063.000000,-3564063.000000,633951.000000,0.000000,5.061000,-4.130000,-2.390000,72790.000000,0.000000,5.090000,,,0.000000,-27122358.000000,0.000000,0.000000,1592232.000000,,,,,262752.000000,1964990.000000,1.000000,10030436.000000,9947915.000000,9947915.000000,0.000000,11895426.000000,0.000000,0.000000,0.000000,1.196000
ARQ,2023-12-31,2024-03-19,2023-12-31,2023-Q4,36144345.000000,146443771.000000,2025-05-14,0.000000,41262274.000000,,41196325.000000,65949.000000,,3.229000,0.000000,32626768.000000,32626768.000000,0.000000,1265975.000000,8.154000,0.158000,0.000000,0.000000,0.000000,0.000000,1497794.000000,6840.000000,0.000000,0.000000,0.000000,1989827.000000,1996667.000000,0.333000,1996667.000000,1989827.000000,1989827.000000,0.150000,0.150000,0.150000,35635609.000000,,35635609.000000,113817003.000000,-16.000000,-15.728000,-2241080.000000,-0.203000,1.000000,6002206.000000,1.000000,0.000000,0.000000,3583526.000000,,0.000000,0.000000,0.000000,0.000000,5626665.000000,5051980.000000,574685.000000,21740486.000000,-193186.000000,24174752.000000,0.000000,0.000000,24174752.000000,-193186.000000,0.000000,-2241080.000000,0.000000,1265975.000000,1265975.000000,1265975.000000,0.000000,0.000000,0.211000,4187051.000000,1815155.000000,1155656.000000,0.000000,4.109000,-18.333000,-12.747000,65949.000000,0.000000,10.070000,24.398000,17.052000,7500000.000000,-25856383.000000,6002206.000000,6002206.000000,1609631.000000,,,,,237999.000000,2377394.000000,1.000000,14542579.000000,11035239.000000,11035239.000000,0.544000,41262274.000000,0.000000,723852.000000,0.000000,3.739000
ARQ,2024-03-31,2024-05-09,2024-03-31,2024-Q1,33015219.000000,123669735.000000,2025-05-14,0.000000,37393470.000000,,37334361.000000,59109.000000,,2.241000,0.000000,35989406.000000,35989406.000000,0.000000,-5051913.000000,8.644000,0.154000,0.000000,0.000000,0.000000,0.000000,1370956.000000,6840.000000,0.000000,0.000000,0.000000,-5051913.000000,-5045073.000000,-39.776000,-5045073.000000,-5051913.000000,-5051913.000000,-0.350000,-0.350000,-0.350000,32393041.000000,,32393041.000000,87680329.000000,-9.000000,-9.179000,2145874.000000,0.148000,1.000000,126838.000000,1.000000,0.000000,0.000000,-2915078.000000,,0.000000,0.000000,0.000000,0.000000,5000429.000000,4319142.000000,681287.000000,3362638.000000,-25000.000000,1373682.000000,0.000000,0.000000,1241764.000000,-25000.000000,0.000000,2145874.000000,0.000000,-5051913.000000,-5051913.000000,-5051913.000000,0.000000,0.000000,-39.830000,5609840.000000,-5483002.000000,1587943.000000,0.000000,3.818000,-12.003000,-9.953000,59109.000000,0.000000,8.460000,20.178000,19.956000,0.000000,-30908296.000000,126838.000000,126838.000000,3138159.000000,,,,,435663.000000,2439841.000000,1.000000,14618172.000000,14457839.000000,14457839.000000,0.009000,37393470.000000,0.000000,0.000000,0.000000,2.586000
ARQ,2024-06-30,2024-08-12,2024-06-30,2024-Q2,36060981.000000,80368506.000000,2025-05-14,0.000000,39938615.000000,,39886346.000000,52269.000000,,2.364000,0.000000,36575089.000000,36575089.000000,0.000000,-2891680.000000,10.427000,0.133000,0.000000,0.000000,0.000000,0.000000,1795685.000000,6840.000000,0.000000,0.000000,0.000000,-2891680.000000,-2884840.000000,-0.842000,-2884840.000000,-2891680.000000,-2891680.000000,-0.190000,-0.190000,-0.190000,35256600.000000,,35256600.000000,43793417.000000,-5.000000,-4.685000,-4563567.000000,-0.306000,1.000000,3425271.000000,1.000000,0.000000,0.000000,-461839.000000,,0.000000,0.000000,0.000000,0.000000,4682015.000000,3825365.000000,856650.000000,585683.000000,0.000000,5149250.000000,0.000000,0.000000,5149250.000000,0.000000,0.000000,-4563567.000000,0.000000,-2891680.000000,-2891680.000000,-2891680.000000,0.000000,0.000000,-0.844000,6661396.000000,-3236125.000000,1883077.000000,0.000000,2.280000,-7.958000,-7.233000,52269.000000,0.000000,5.280000,8.412000,8.243000,0.000000,-33799976.000000,3425271.000000,3425271.000000,4566152.000000,,,,,662321.000000,2088404.000000,1.000000,15221308.000000,14915217.000000,14915217.000000,0.230000,39938615.000000,0.000000,0.000000,0.000000,2.678000
ARQ,2024-09-30,2024-11-06,2024-09-30,2024-Q3,33187355.000000,121296022.000000,2025-05-14,0.000000,35551830.000000,,35506401.000000,45429.000000,,2.103000,0.000000,31057395.000000,31057395.000000,0.000000,-4021418.000000,15.311000,0.111000,0.000000,0.000000,0.000000,0.000000,1795685.000000,6841.000000,0.000000,0.000000,0.000000,-4021418.000000,-4014577.000000,,-4014577.000000,-4021418.000000,-4021418.000000,-0.260000,-0.260000,-0.260000,32010188.000000,,32010188.000000,90238627.000000,-9.000000,-9.071000,-5461362.000000,-0.359000,1.000000,0.000000,,0.000000,0.000000,2175389.000000,,0.000000,0.000000,0.000000,0.000000,3541642.000000,2319046.000000,1222596.000000,-5517694.000000,0.000000,-56332.000000,0.000000,0.000000,-56332.000000,0.000000,0.000000,-5461362.000000,0.000000,-4021418.000000,-4021418.000000,-4021418.000000,0.000000,0.000000,,4450289.000000,-4450289.000000,336722.000000,0.000000,3.789000,-11.337000,-11.169000,45429.000000,0.000000,7.260000,12.695000,11.566000,0.000000,-37821394.000000,0.000000,0.000000,2223903.000000,,,,,775006.000000,2219545.000000,1.000000,16707441.000000,15221308.000000,15221308.000000,0.000000,35551830.000000,0.000000,0.000000,0.000000,2.336000
