dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-03-09,2020-12-31,2020-Q4,-891996000.000000,,2025-05-06,-31093000.000000,5067332000.000000,,2840714000.000000,2226618000.000000,,-51.804000,,1396404000.000000,1396404000.000000,,,0.761000,-1.394000,2241673000.000000,433805000.000000,1807868000.000000,2241673000.000000,65259000.000000,,0.000000,,0.000000,,,,,,,,,,-4068862000.000000,,-4068862000.000000,,,,,,1.000000,,,4247000.000000,,2175644000.000000,,1161205000.000000,4898000.000000,0.000000,4898000.000000,5670583000.000000,3732710000.000000,1937873000.000000,,,,,,,,,,,,,,,,,,,2907918000.000000,,,,,2029202000.000000,,,,,71257000.000000,-4117755000.000000,,,,,,,,,,1.000000,1715140797.000000,78543000.000000,,,5063085000.000000,0.000000,,0.000000,64.463000
ARQ,2021-03-31,2021-05-13,2021-03-31,2021-Q1,2239243000.000000,55511229096.000000,2025-05-06,-15203000.000000,8596558000.000000,,6156409000.000000,2440149000.000000,,7.530000,-146801000.000000,4528896000.000000,4528896000.000000,3474354000.000000,-295033000.000000,1.572000,1.625000,1796998000.000000,542135000.000000,1254863000.000000,1796998000.000000,64269000.000000,104702000.000000,0.000000,0.000000,0.000000,-270202000.000000,-165500000.000000,-0.039000,-165500000.000000,-270202000.000000,-295025000.000000,-0.680000,-0.680000,-0.680000,3275125000.000000,,3275125000.000000,52779331096.000000,,,-330150000.000000,-0.759000,1.000000,732506000.000000,0.174000,4077000.000000,24823000.000000,1943417000.000000,,1306958000.000000,4802000.000000,0.000000,4802000.000000,5321433000.000000,3917166000.000000,1404267000.000000,3132396000.000000,0.000000,3475012000.000000,42777000.000000,0.000000,3505684000.000000,-150482000.000000,0.000000,-183349000.000000,-39457000.000000,-295033000.000000,-295033000.000000,-295033000.000000,0.000000,0.000000,-0.070000,999822000.000000,-267316000.000000,2964877000.000000,0.000000,16.949000,,,2200066000.000000,0.000000,32.040000,,,81423000.000000,-4402960000.000000,4206860000.000000,4206860000.000000,0.000000,,,,,86966000.000000,999822000.000000,1.000000,1732560209.000000,434917000.000000,434917000.000000,9.673000,8592481000.000000,0.000000,8000.000000,0.000000,19.757000
ARQ,2021-06-30,2021-08-16,2021-06-30,2021-Q2,1492347000.000000,57656141473.000000,2025-05-06,-25446000.000000,8574510000.000000,,6028173000.000000,2546337000.000000,,1.608000,-168570000.000000,4456254000.000000,4456254000.000000,3819620000.000000,-518601000.000000,1.329000,2.059000,1965009000.000000,888636000.000000,1076373000.000000,1965009000.000000,71962000.000000,111403000.000000,0.000000,0.000000,0.000000,-512656000.000000,-401253000.000000,-0.090000,-401253000.000000,-512656000.000000,-518504000.000000,-0.300000,-0.300000,-0.300000,2802629000.000000,,2802629000.000000,55164896473.000000,,,-137687000.000000,-0.079000,1.000000,658494000.000000,0.147000,4090000.000000,5848000.000000,1543349000.000000,,1230414000.000000,4430000.000000,0.000000,4430000.000000,5771881000.000000,4535826000.000000,1236055000.000000,-73013000.000000,0.000000,6002000.000000,45166000.000000,0.000000,50674000.000000,-155099000.000000,0.000000,30883000.000000,529000.000000,-518601000.000000,-518601000.000000,-518601000.000000,0.000000,0.000000,-0.116000,1173430000.000000,-514936000.000000,3199812000.000000,0.000000,20.572000,,,2294429000.000000,0.000000,33.220000,,,129043000.000000,-4921561000.000000,4478114000.000000,4478114000.000000,0.000000,,,,,50346000.000000,1173430000.000000,1.000000,1735585234.000000,1743109000.000000,1743109000.000000,2.569000,8570420000.000000,0.000000,97000.000000,0.000000,4.917000
ARQ,2021-09-30,2021-11-12,2021-09-30,2021-Q3,1334465000.000000,46553315256.000000,2025-05-06,86000.000000,8587270000.000000,,5911333000.000000,2675937000.000000,,1.470000,-189223000.000000,4265666000.000000,4265666000.000000,3890178000.000000,-323977000.000000,1.292000,2.344000,2087146000.000000,814335000.000000,1272811000.000000,2087146000.000000,80450000.000000,117687000.000000,0.000000,0.000000,0.000000,-316535000.000000,-198848000.000000,-0.043000,-198848000.000000,-316535000.000000,-323911000.000000,-0.190000,-0.190000,-0.190000,2568106000.000000,,2568106000.000000,44374795256.000000,,,-244589000.000000,-0.140000,1.000000,754527000.000000,0.162000,3900000.000000,7376000.000000,1827982000.000000,,1212198000.000000,4341000.000000,0.000000,4341000.000000,6019164000.000000,4576868000.000000,1442296000.000000,-190678000.000000,0.000000,7784000.000000,109357000.000000,0.000000,115833000.000000,-201231000.000000,0.000000,-55366000.000000,-49914000.000000,-323977000.000000,-323977000.000000,-323977000.000000,0.000000,0.000000,-0.070000,1069639000.000000,-315112000.000000,3216880000.000000,0.000000,18.127000,,,2427425000.000000,0.000000,26.580000,,,134316000.000000,-5245538000.000000,4644705000.000000,4644705000.000000,0.000000,,,,,56138000.000000,1069639000.000000,1.000000,1751441507.000000,1747255000.000000,1747255000.000000,2.658000,8583370000.000000,0.000000,66000.000000,0.000000,4.912000
ARQ,2021-12-31,2022-03-03,2021-12-31,2021-Q4,892518000.000000,44716649019.000000,2025-05-06,-47739000.000000,8641834000.000000,,5636806000.000000,3005028000.000000,,1.528000,-167205000.000000,3807508000.000000,3807508000.000000,4271092000.000000,-404979000.000000,1.188000,2.972000,2121061000.000000,636594000.000000,1484467000.000000,2121061000.000000,93972000.000000,126653000.000000,0.000000,0.000000,0.000000,-396837000.000000,-270184000.000000,-0.053000,-270184000.000000,-396837000.000000,-404148000.000000,-0.210000,-0.210000,-0.210000,2175957000.000000,,2175957000.000000,43030202019.000000,-29.000000,-41.544000,-369951000.000000,-0.260000,1.000000,805601000.000000,0.159000,9739000.000000,7311000.000000,2201360000.000000,,1421501000.000000,2839000.000000,0.000000,2839000.000000,6465877000.000000,4744288000.000000,1721589000.000000,-459660000.000000,0.000000,4760000.000000,-99244000.000000,0.000000,-95341000.000000,-168713000.000000,0.000000,-202746000.000000,7140000.000000,-404979000.000000,-404979000.000000,-404979000.000000,0.000000,0.000000,-0.080000,1202199000.000000,-396598000.000000,3442720000.000000,0.000000,20.550000,-28.988000,-23.583000,2722160000.000000,0.000000,25.470000,2.429000,1.970000,175350000.000000,-5650517000.000000,5076693000.000000,5076693000.000000,0.000000,,,,,55895000.000000,1202199000.000000,1.000000,1755659561.000000,1423887000.000000,1423887000.000000,3.565000,8632095000.000000,0.000000,831000.000000,0.000000,6.062000
ARQ,2022-03-31,2022-05-12,2022-03-31,2022-Q1,987696000.000000,20197446746.000000,2025-05-06,-40917000.000000,8693210000.000000,,5482400000.000000,3210810000.000000,,1.160000,-234661000.000000,3676453000.000000,3676453000.000000,4073280000.000000,-209294000.000000,1.220000,3.267000,2408366000.000000,500526000.000000,1907840000.000000,2408366000.000000,100554000.000000,136463000.000000,0.000000,0.000000,0.000000,-201681000.000000,-65218000.000000,-0.013000,-65218000.000000,-201681000.000000,-209049000.000000,-0.120000,-0.120000,-0.120000,2037261000.000000,,2037261000.000000,18929359746.000000,-13.000000,-20.234000,-289600000.000000,-0.165000,1.000000,1043406000.000000,0.204000,9536000.000000,7368000.000000,2920883000.000000,,1378399000.000000,1105000.000000,0.000000,1105000.000000,6655949000.000000,4494704000.000000,2161245000.000000,-132789000.000000,0.000000,8183000.000000,191946000.000000,0.000000,198582000.000000,-249028000.000000,0.000000,-54939000.000000,-27404000.000000,-209294000.000000,-209294000.000000,-209294000.000000,0.000000,0.000000,-0.041000,1249111000.000000,-205705000.000000,3330095000.000000,0.000000,9.914000,-13.864000,-13.976000,2891707000.000000,0.000000,11.460000,1.046000,1.042000,170603000.000000,-5859811000.000000,5116686000.000000,5116686000.000000,0.000000,,,,,55593000.000000,1249111000.000000,1.000000,1762429908.000000,1756739000.000000,1756739000.000000,2.913000,8683674000.000000,0.000000,245000.000000,0.000000,4.943000
ARQ,2022-06-30,2022-08-11,2022-06-30,2022-Q2,898071000.000000,33036970249.000000,2025-05-06,-11691000.000000,8425203000.000000,,5161399000.000000,3263804000.000000,,1.173000,-177203000.000000,3271003000.000000,3271003000.000000,3884028000.000000,-75491000.000000,1.211000,3.074000,2220108000.000000,355807000.000000,1864301000.000000,2220108000.000000,105429000.000000,138862000.000000,0.000000,0.000000,0.000000,-69008000.000000,69854000.000000,0.014000,69854000.000000,-69008000.000000,-75151000.000000,-0.040000,-0.040000,-0.040000,2068096000.000000,,2068096000.000000,31986075249.000000,-33.000000,-68.877000,-195465000.000000,-0.111000,1.000000,1153793000.000000,0.229000,9707000.000000,6143000.000000,3101273000.000000,,1451428000.000000,1151000.000000,0.000000,1151000.000000,6357107000.000000,4263328000.000000,2093779000.000000,-405404000.000000,0.000000,4184000.000000,-121607000.000000,0.000000,-117914000.000000,-180670000.000000,0.000000,-18262000.000000,-88558000.000000,-75491000.000000,-75491000.000000,-75491000.000000,0.000000,0.000000,-0.015000,1220936000.000000,-67143000.000000,3294481000.000000,0.000000,15.975000,-32.589000,-33.393000,2907376000.000000,0.000000,18.700000,1.662000,1.659000,187644000.000000,-5935302000.000000,5037821000.000000,5037821000.000000,0.000000,,,,,72916000.000000,1220936000.000000,1.000000,1766682901.000000,1763264000.000000,1763264000.000000,2.857000,8415496000.000000,0.000000,340000.000000,0.000000,4.773000
ARQ,2022-09-30,2022-11-10,2022-09-30,2022-Q3,898788000.000000,35352855613.000000,2025-05-06,-64206000.000000,8126661000.000000,,4928041000.000000,3198620000.000000,,1.229000,-280610000.000000,3060022000.000000,3060022000.000000,3867446000.000000,90679000.000000,1.223000,2.742000,2143637000.000000,440389000.000000,1703248000.000000,2143637000.000000,129235000.000000,130071000.000000,0.000000,0.000000,0.000000,104047000.000000,234118000.000000,0.046000,234118000.000000,104047000.000000,97562000.000000,0.050000,0.050000,0.050000,2171966000.000000,,2171966000.000000,34436470613.000000,-61.000000,-1095.656000,-222446000.000000,-0.126000,1.000000,1233888000.000000,0.242000,10121000.000000,6485000.000000,3170902000.000000,,1406380000.000000,192000.000000,0.000000,192000.000000,5954695000.000000,4029253000.000000,1925442000.000000,-211940000.000000,0.000000,2631000.000000,141152000.000000,0.000000,145821000.000000,-288755000.000000,0.000000,58164000.000000,-127170000.000000,90679000.000000,90679000.000000,90679000.000000,0.000000,0.000000,0.018000,1156468000.000000,77420000.000000,2940540000.000000,0.000000,16.277000,-59.011000,-62.406000,2832574000.000000,0.000000,19.970000,1.739000,1.736000,169424000.000000,-5844623000.000000,5101334000.000000,5101334000.000000,0.000000,,,,,63075000.000000,1156468000.000000,1.000000,1770298228.000000,1767275000.000000,1790941000.000000,2.887000,8116540000.000000,0.000000,6883000.000000,0.000000,4.593000
ARQ,2022-12-31,2023-03-01,2022-12-31,2022-Q4,767624000.000000,26028152790.000000,2025-05-06,2219000.000000,9512903000.000000,,5830130000.000000,3682773000.000000,,1.363000,-118606000.000000,3685650000.000000,3685650000.000000,4047988000.000000,102064000.000000,1.152000,2.941000,2401823000.000000,630263000.000000,1771560000.000000,2401823000.000000,92361000.000000,135239000.000000,0.000000,0.000000,0.000000,100706000.000000,235945000.000000,0.044000,235945000.000000,100706000.000000,93533000.000000,0.060000,0.060000,0.060000,2413913000.000000,,2413913000.000000,24744325790.000000,-375.000000,52.126000,461870000.000000,0.261000,1.000000,1278786000.000000,0.240000,0.000000,7173000.000000,3166570000.000000,,1656851000.000000,1624000.000000,0.000000,1624000.000000,7098990000.000000,5062506000.000000,2036484000.000000,627060000.000000,0.000000,2776000.000000,18087000.000000,0.000000,20863000.000000,-129801000.000000,0.000000,580476000.000000,155522000.000000,102064000.000000,102064000.000000,102064000.000000,0.000000,0.000000,0.019000,1195377000.000000,83409000.000000,3622332000.000000,0.000000,10.783000,-282.786000,-293.400000,3225193000.000000,0.000000,14.670000,1.265000,1.258000,184463000.000000,-5742559000.000000,5326774000.000000,5326774000.000000,0.000000,,,,,70682000.000000,1195377000.000000,1.000000,1774243544.000000,1770997000.000000,1770997000.000000,3.008000,9512903000.000000,0.000000,-8531000.000000,0.000000,5.371000
ARQ,2023-03-31,2023-05-10,2023-03-31,2023-Q1,940552000.000000,29546988627.000000,2025-05-06,-15913000.000000,9710305000.000000,,6114682000.000000,3595623000.000000,,1.442000,-94557000.000000,4122399000.000000,4122399000.000000,4380603000.000000,90855000.000000,1.182000,2.793000,2392847000.000000,691906000.000000,1700941000.000000,2392847000.000000,93263000.000000,147759000.000000,0.000000,0.000000,0.000000,132097000.000000,279856000.000000,0.048000,279856000.000000,132097000.000000,123819000.000000,0.050000,0.050000,0.050000,2560030000.000000,,2560030000.000000,27817436627.000000,104.000000,33.933000,406746000.000000,0.229000,1.000000,1419927000.000000,0.245000,0.000000,8278000.000000,2806623000.000000,,1667156000.000000,1536000.000000,0.000000,1536000.000000,7150275000.000000,5174130000.000000,1976145000.000000,436661000.000000,0.000000,3495000.000000,74624000.000000,0.000000,78119000.000000,-82732000.000000,0.000000,501303000.000000,-60029000.000000,90855000.000000,90855000.000000,90855000.000000,0.000000,0.000000,0.016000,1313152000.000000,106775000.000000,3684956000.000000,0.000000,11.542000,141.980000,138.417000,3152265000.000000,0.000000,16.610000,1.389000,1.386000,126892000.000000,-5651704000.000000,5800530000.000000,5800530000.000000,0.000000,,,,,69899000.000000,1313152000.000000,1.000000,1778867467.000000,1774843000.000000,1794453000.000000,3.268000,9710305000.000000,0.000000,32964000.000000,0.000000,5.471000
