dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2012-03-31,2012-06-12,2012-03-31,2012-Q4,299057000.000000,7921260129.000000,2025-02-05,-735000.000000,674425000.000000,,464063000.000000,210362000.000000,,2.883000,,106354000.000000,106354000.000000,,,2.812000,0.478000,22674000.000000,22674000.000000,0.000000,22674000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,456237000.000000,,456237000.000000,7837580129.000000,31.000000,27.227000,,,1.000000,,,28151000.000000,,397588000.000000,,187413000.000000,0.000000,0.000000,0.000000,218188000.000000,165006000.000000,53182000.000000,,,,,,,,,,,,,,,,,,,67326000.000000,,17.362000,62.799000,51.375000,170755000.000000,,41.100000,6.083000,4.995000,127226000.000000,228651000.000000,,,,,,,,,,1.000000,192731390.000000,158258126.000000,,,646274000.000000,15097000.000000,,14499000.000000,4.084000
ARQ,2012-03-31,2012-09-20,2012-03-31,2012-Q4,299057000.000000,10116470661.000000,2025-02-05,-735000.000000,674425000.000000,,464063000.000000,210362000.000000,,2.883000,,106354000.000000,106354000.000000,,,2.812000,0.478000,22674000.000000,22674000.000000,0.000000,22674000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,456237000.000000,,456237000.000000,10032790661.000000,40.000000,34.852000,,,1.000000,,,28151000.000000,,397588000.000000,,187413000.000000,0.000000,0.000000,0.000000,218188000.000000,165006000.000000,53182000.000000,,,,,,,,,,,,,,,,,,,67326000.000000,,22.174000,80.202000,65.612000,170755000.000000,,52.490000,7.768000,6.379000,127226000.000000,228651000.000000,,,,,,,,,,1.000000,192731390.000000,158258126.000000,,,646274000.000000,15097000.000000,,14499000.000000,4.084000
ARQ,2013-03-31,2013-05-29,2013-03-30,2013-Q4,824941000.000000,12885970596.000000,2025-02-05,-3461000.000000,1289565000.000000,,989189000.000000,300376000.000000,,5.326000,,472511000.000000,472511000.000000,,,6.023000,0.231000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,1047246000.000000,,1047246000.000000,12413459596.000000,20.000000,18.176000,,,1.000000,,,34985000.000000,,617821000.000000,,266894000.000000,0.000000,0.000000,0.000000,242319000.000000,164248000.000000,78071000.000000,,,,,,,,,,,,,,,,,,,82977000.000000,,12.305000,32.409000,31.658000,242113000.000000,,63.950000,5.906000,5.763000,206454000.000000,626253000.000000,,,,,,,,,,1.000000,201500713.000000,196615054.000000,,,1254580000.000000,12869000.000000,,22237000.000000,6.381000
ARQ,2013-06-30,2013-08-08,2013-06-29,2014-Q1,965072000.000000,14473355102.000000,2025-02-05,-5440000.000000,1496845000.000000,,1174212000.000000,322633000.000000,,5.967000,-33309000.000000,639156000.000000,639156000.000000,243588000.000000,124996000.000000,5.614000,0.247000,0.000000,0.000000,0.000000,0.000000,0.000000,15975000.000000,0.000000,0.000000,0.000000,197304000.000000,213279000.000000,0.333000,213279000.000000,197304000.000000,197134000.000000,0.620000,0.610000,0.620000,1200516000.000000,,1200516000.000000,13834199102.000000,,,149341000.000000,0.742000,1.000000,397271000.000000,0.620000,40546000.000000,170000.000000,608003000.000000,,319459000.000000,0.000000,0.000000,0.000000,296329000.000000,209140000.000000,87189000.000000,166645000.000000,0.000000,6411000.000000,0.000000,0.000000,24676000.000000,-39152000.000000,0.000000,182650000.000000,-1529000.000000,124996000.000000,124996000.000000,124996000.000000,0.000000,0.000000,0.195000,199709000.000000,197562000.000000,104647000.000000,0.000000,12.056000,,,258021000.000000,0.000000,71.280000,,,170391000.000000,751249000.000000,640859000.000000,640859000.000000,0.000000,,,,,-12688000.000000,183734000.000000,1.000000,203049314.000000,201208189.000000,204336124.000000,3.185000,1456299000.000000,13874000.000000,72138000.000000,48532000.000000,7.238000
ARQ,2013-09-30,2013-11-07,2013-09-28,2014-Q2,1127743000.000000,15881997753.000000,2025-02-05,-1701000.000000,1707774000.000000,,1345941000.000000,361833000.000000,,6.844000,-40271000.000000,618841000.000000,618841000.000000,290428000.000000,145808000.000000,6.168000,0.232000,0.000000,0.000000,0.000000,0.000000,0.000000,18057000.000000,0.000000,0.000000,0.000000,221442000.000000,239499000.000000,0.324000,239499000.000000,221442000.000000,221312000.000000,0.720000,0.710000,0.720000,1386297000.000000,,1386297000.000000,15263156753.000000,,,-41435000.000000,-0.205000,1.000000,449875000.000000,0.608000,50321000.000000,130000.000000,820414000.000000,,404194000.000000,0.000000,0.000000,0.000000,321477000.000000,218198000.000000,103279000.000000,-20315000.000000,0.000000,6632000.000000,-176000.000000,0.000000,28498000.000000,-49116000.000000,0.000000,-1164000.000000,1467000.000000,145808000.000000,145808000.000000,145808000.000000,0.000000,0.000000,0.197000,228415000.000000,221460000.000000,119420000.000000,0.000000,11.456000,,,284580000.000000,0.000000,77.910000,,,228850000.000000,897057000.000000,740303000.000000,740303000.000000,0.000000,,,,,-14482000.000000,210358000.000000,1.000000,203850568.000000,202560870.000000,205154692.000000,3.655000,1657453000.000000,17158000.000000,75504000.000000,26598000.000000,8.182000
ARQ,2013-12-31,2014-02-06,2013-12-28,2014-Q3,1324976000.000000,18659299272.000000,2025-02-05,-3942000.000000,2006963000.000000,,1600229000.000000,406734000.000000,,7.993000,-53362000.000000,828341000.000000,828341000.000000,392731000.000000,229643000.000000,5.814000,0.236000,0.000000,0.000000,0.000000,0.000000,0.000000,21655000.000000,0.000000,0.000000,0.000000,343237000.000000,364892000.000000,0.360000,364892000.000000,343237000.000000,343128000.000000,1.130000,1.110000,1.130000,1623950000.000000,,1623950000.000000,17830958272.000000,,,214995000.000000,1.058000,1.000000,619498000.000000,0.612000,56103000.000000,109000.000000,847266000.000000,,431564000.000000,0.000000,0.000000,0.000000,383013000.000000,275253000.000000,107760000.000000,209500000.000000,0.000000,-1955000.000000,0.000000,0.000000,2469000.000000,-60636000.000000,0.000000,268357000.000000,-690000.000000,229643000.000000,229643000.000000,229643000.000000,0.000000,0.000000,0.227000,276258000.000000,343240000.000000,145363000.000000,0.000000,11.490000,,,321542000.000000,0.000000,91.500000,,,292812000.000000,1126700000.000000,1012229000.000000,1012229000.000000,0.000000,,,,,3358000.000000,254603000.000000,1.000000,203926768.000000,203175380.000000,206088062.000000,4.982000,1950860000.000000,20423000.000000,113485000.000000,31659000.000000,9.602000
ARQ,2014-03-31,2014-05-28,2014-03-29,2014-Q4,1468799000.000000,19818472758.000000,2025-02-05,-6373000.000000,2216973000.000000,,1777169000.000000,439804000.000000,,8.880000,-57796000.000000,955145000.000000,955145000.000000,368026000.000000,161038000.000000,5.763000,0.227000,0.000000,0.000000,0.000000,0.000000,0.000000,23967000.000000,0.000000,0.000000,0.000000,246057000.000000,270024000.000000,0.294000,270024000.000000,246057000.000000,246073000.000000,0.800000,0.780000,0.800000,1806131000.000000,,1806131000.000000,18863327758.000000,19.000000,17.342000,124140000.000000,0.610000,1.000000,549426000.000000,0.599000,62039000.000000,-16000.000000,891419000.000000,,426938000.000000,0.000000,0.000000,0.000000,410842000.000000,308370000.000000,102472000.000000,126804000.000000,0.000000,5453000.000000,0.000000,0.000000,15415000.000000,-66616000.000000,-1960000.000000,181936000.000000,-3931000.000000,161038000.000000,161038000.000000,161038000.000000,0.000000,0.000000,0.176000,303517000.000000,245909000.000000,131953000.000000,0.000000,10.973000,29.961000,29.667000,350678000.000000,0.000000,97.010000,5.986000,5.936000,314055000.000000,1287738000.000000,917452000.000000,917452000.000000,0.000000,,,,,-1803000.000000,278218000.000000,1.000000,204293091.000000,203387341.000000,206973551.000000,4.511000,2154934000.000000,34201000.000000,85035000.000000,53272000.000000,10.595000
ARQ,2014-06-30,2014-08-07,2014-06-28,2015-Q1,1642113000.000000,16163660048.000000,2025-02-05,-1842000.000000,2462359000.000000,,1964742000.000000,497617000.000000,,9.960000,-73187000.000000,1125037000.000000,1125037000.000000,347521000.000000,187716000.000000,6.090000,0.213000,0.000000,0.000000,0.000000,0.000000,0.000000,28998000.000000,0.000000,0.000000,0.000000,275961000.000000,304959000.000000,0.332000,304959000.000000,275961000.000000,276002000.000000,0.920000,0.910000,0.920000,2029354000.000000,,2029354000.000000,15038623048.000000,14.000000,12.751000,148514000.000000,0.729000,1.000000,571633000.000000,0.622000,64607000.000000,-41000.000000,950086000.000000,,527254000.000000,0.000000,0.000000,0.000000,433005000.000000,322629000.000000,110376000.000000,169892000.000000,0.000000,4136000.000000,0.000000,0.000000,22822000.000000,-77691000.000000,0.000000,221701000.000000,3060000.000000,187716000.000000,187716000.000000,187716000.000000,0.000000,0.000000,0.204000,294862000.000000,276771000.000000,140340000.000000,0.000000,7.965000,22.319000,22.059000,404018000.000000,0.000000,78.750000,4.503000,4.471000,229106000.000000,1475454000.000000,919154000.000000,919154000.000000,0.000000,,,,,-10532000.000000,265864000.000000,1.000000,205252826.000000,203749572.000000,207176243.000000,4.511000,2397752000.000000,32457000.000000,88286000.000000,67109000.000000,11.768000
ARQ,2014-09-30,2014-11-06,2014-09-27,2015-Q2,1807508000.000000,14889415516.000000,2025-02-05,-20419000.000000,2689430000.000000,,2133373000.000000,556057000.000000,,10.981000,-84216000.000000,1012393000.000000,1012393000.000000,411578000.000000,206990000.000000,6.547000,0.198000,0.000000,0.000000,0.000000,0.000000,0.000000,34064000.000000,0.000000,0.000000,0.000000,304169000.000000,338233000.000000,0.320000,338233000.000000,304169000.000000,304097000.000000,1.010000,1.000000,1.010000,2245129000.000000,,2245129000.000000,13877022516.000000,12.000000,10.857000,-107603000.000000,-0.526000,1.000000,645027000.000000,0.610000,67283000.000000,72000.000000,1283889000.000000,,619296000.000000,0.000000,0.000000,0.000000,444301000.000000,325865000.000000,118436000.000000,-112644000.000000,-2940000.000000,2970000.000000,0.000000,0.000000,13937000.000000,-94712000.000000,0.000000,-23387000.000000,-8482000.000000,206990000.000000,206990000.000000,206990000.000000,0.000000,0.000000,0.196000,339469000.000000,305558000.000000,179079000.000000,0.000000,6.632000,18.958000,18.733000,453836000.000000,0.000000,72.310000,3.812000,3.786000,346822000.000000,1682444000.000000,1056605000.000000,1056605000.000000,0.000000,,,,,2458000.000000,305405000.000000,1.000000,205910877.000000,204464952.000000,207432250.000000,5.168000,2622147000.000000,35627000.000000,97107000.000000,23266000.000000,12.824000
ARQ,2014-12-31,2015-02-05,2014-12-27,2015-Q3,1621997000.000000,14006737469.000000,2025-02-05,-39870000.000000,2630588000.000000,,1983319000.000000,647269000.000000,,10.616000,-125330000.000000,949846000.000000,949846000.000000,514583000.000000,303675000.000000,5.489000,0.223000,0.000000,0.000000,0.000000,0.000000,0.000000,37492000.000000,0.000000,0.000000,0.000000,417126000.000000,454618000.000000,0.346000,454618000.000000,417126000.000000,417010000.000000,1.500000,1.480000,1.500000,2151485000.000000,,2151485000.000000,13056891469.000000,11.000000,9.546000,348421000.000000,1.719000,1.000000,800143000.000000,0.609000,77649000.000000,116000.000000,1241771000.000000,,537501000.000000,0.000000,0.000000,0.000000,479103000.000000,361322000.000000,117781000.000000,-62547000.000000,0.000000,-400301000.000000,0.000000,0.000000,-389734000.000000,-139420000.000000,0.000000,473751000.000000,-7144000.000000,303675000.000000,303675000.000000,303675000.000000,0.000000,0.000000,0.231000,381666000.000000,418477000.000000,175197000.000000,0.000000,6.510000,16.298000,16.494000,532304000.000000,0.000000,69.770000,3.329000,3.360000,364070000.000000,1986119000.000000,1314726000.000000,1314726000.000000,0.000000,,,,,1299000.000000,344174000.000000,1.000000,200755876.000000,202668541.000000,205647816.000000,6.487000,2552939000.000000,25295000.000000,113335000.000000,29902000.000000,12.597000
