dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1999-12-31,2000-05-08,1999-12-25,1999-Q4,20337000.000000,,2025-05-07,-9009000.000000,363056000.000000,,90073000.000000,272983000.000000,,-10.708000,,15010000.000000,15010000.000000,,,1.292000,-4.174000,386044000.000000,3543000.000000,382501000.000000,386044000.000000,7643000.000000,,0.000000,,0.000000,,,,,,,,,,-110142000.000000,,-110142000.000000,,,,,,1.000000,,,36958000.000000,,627396000.000000,,30534000.000000,21722000.000000,0.000000,21722000.000000,459696000.000000,69736000.000000,389960000.000000,,,,,,,,,,,,,,,,,,,9291000.000000,,,,,85413000.000000,,,,,37526000.000000,-307351000.000000,,,,,,,,,,1.000000,10285715.000000,10285715.000000,,,326098000.000000,102192000.000000,,7728000.000000,31.704000
ARQ,2000-03-31,2000-05-09,2000-03-25,2000-Q1,27854000.000000,,2025-05-07,-10676000.000000,401600000.000000,,111774000.000000,289826000.000000,,-10.808000,-2786000.000000,18458000.000000,18458000.000000,41392000.000000,636000.000000,1.332000,-4.366000,398142000.000000,7678000.000000,390464000.000000,398142000.000000,6860000.000000,3764000.000000,0.000000,,0.000000,15768000.000000,19532000.000000,0.282000,19532000.000000,15768000.000000,3104000.000000,0.060000,0.050000,0.060000,-111173000.000000,,-111173000.000000,,,,-925000.000000,-0.090000,1.000000,27910000.000000,0.403000,42619000.000000,12664000.000000,654745000.000000,,32462000.000000,2086000.000000,0.000000,2086000.000000,485426000.000000,83920000.000000,401506000.000000,3448000.000000,989000.000000,0.000000,3721000.000000,0.000000,3721000.000000,-1797000.000000,0.000000,1861000.000000,-337000.000000,636000.000000,636000.000000,636000.000000,0.000000,0.000000,0.009000,12678000.000000,15232000.000000,9770000.000000,0.000000,,,,119174000.000000,0.000000,,,,53153000.000000,-306715000.000000,69302000.000000,69302000.000000,0.000000,,,,,0.000000,11813000.000000,1.000000,10285715.000000,10285715.000000,12453126.000000,6.738000,358981000.000000,102192000.000000,2468000.000000,12670000.000000,34.901000
ARQ,2000-06-30,2000-08-08,2000-06-24,2000-Q2,41260000.000000,655320860.000000,2025-05-07,-11603000.000000,398900000.000000,,108338000.000000,290562000.000000,,-5.482000,-3321000.000000,18993000.000000,18993000.000000,42520000.000000,7974000.000000,1.615000,-4.416000,400016000.000000,6653000.000000,393363000.000000,400016000.000000,5808000.000000,4248000.000000,0.000000,0.000000,0.000000,18267000.000000,22515000.000000,0.304000,22515000.000000,18267000.000000,5110000.000000,0.400000,0.340000,0.400000,-108663000.000000,,-108663000.000000,1036343860.000000,,,1860000.000000,0.094000,1.000000,31577000.000000,0.426000,41658000.000000,13157000.000000,671187000.000000,,32192000.000000,2166000.000000,0.000000,2166000.000000,479894000.000000,67078000.000000,412816000.000000,535000.000000,0.000000,0.000000,-1537000.000000,0.000000,-1537000.000000,-3321000.000000,0.000000,5181000.000000,212000.000000,7974000.000000,7974000.000000,7974000.000000,0.000000,0.000000,0.108000,13364000.000000,18213000.000000,8693000.000000,0.000000,-6.031000,,,117741000.000000,0.000000,33.063000,,,51029000.000000,-298741000.000000,74097000.000000,74097000.000000,0.000000,,,,,0.000000,12427000.000000,1.000000,19820369.000000,19820369.000000,23571555.000000,3.738000,357242000.000000,102415000.000000,-2864000.000000,10541000.000000,18.024000
ARQ,2000-09-30,2000-11-07,2000-09-23,2000-Q3,53724000.000000,839638625.000000,2025-05-07,-14746000.000000,409122000.000000,,114275000.000000,294847000.000000,,3.196000,-2422000.000000,28008000.000000,28008000.000000,42467000.000000,-24262000.000000,1.887000,2.497000,203093000.000000,313000.000000,202780000.000000,203093000.000000,5738000.000000,4262000.000000,0.000000,0.000000,0.000000,-11017000.000000,-6755000.000000,-0.093000,-6755000.000000,-11017000.000000,-19069000.000000,-0.690000,-0.610000,-0.690000,113094000.000000,,113094000.000000,1014723625.000000,,,11385000.000000,0.322000,1.000000,29906000.000000,0.413000,40508000.000000,8052000.000000,483148000.000000,,31544000.000000,2377000.000000,0.000000,2377000.000000,282408000.000000,60551000.000000,221857000.000000,9015000.000000,0.000000,235964000.000000,-205123000.000000,0.000000,-691000.000000,-2422000.000000,0.000000,13807000.000000,-1679000.000000,-24262000.000000,-24262000.000000,-24262000.000000,0.000000,0.000000,-0.335000,12058000.000000,17848000.000000,7968000.000000,0.000000,7.424000,,,114684000.000000,0.000000,23.375000,,,48377000.000000,-323003000.000000,72373000.000000,72373000.000000,0.000000,,,,,0.000000,11126000.000000,1.000000,35920369.000000,35389600.000000,39699771.000000,2.045000,368614000.000000,114509000.000000,5193000.000000,11244000.000000,10.416000
ARQ,2000-12-31,2001-03-30,2000-12-30,2000-Q4,55417000.000000,993159140.000000,2025-05-07,-15341000.000000,410608000.000000,,119737000.000000,290871000.000000,,4.215000,-7036000.000000,33129000.000000,33129000.000000,60275000.000000,4428000.000000,1.862000,2.398000,202912000.000000,412000.000000,202500000.000000,202912000.000000,5223000.000000,4492000.000000,0.000000,0.000000,0.000000,14286000.000000,18778000.000000,0.207000,18778000.000000,14286000.000000,7468000.000000,-0.170000,-0.130000,-0.170000,116927000.000000,,116927000.000000,1162942140.000000,31.000000,21.508000,5883000.000000,0.212000,1.000000,30538000.000000,0.336000,41893000.000000,6818000.000000,474178000.000000,,33890000.000000,2442000.000000,0.000000,2442000.000000,280351000.000000,64320000.000000,216031000.000000,5121000.000000,0.000000,0.000000,-711000.000000,0.000000,-711000.000000,-7036000.000000,0.000000,12919000.000000,-51000.000000,4428000.000000,4428000.000000,4428000.000000,0.000000,0.000000,0.049000,16770000.000000,13768000.000000,10767000.000000,0.000000,8.494000,-88.485000,-61.875000,117001000.000000,0.000000,24.750000,3.239000,2.239000,46032000.000000,-318575000.000000,90813000.000000,90813000.000000,0.000000,,,,,0.000000,15838000.000000,1.000000,40127642.000000,27737677.000000,31734354.000000,3.274000,368715000.000000,107082000.000000,3040000.000000,3283000.000000,13.293000
ARQ,2001-03-31,2001-05-15,2001-03-31,2001-Q1,95902000.000000,1167714382.000000,2025-05-07,-18975000.000000,555385000.000000,,195202000.000000,360183000.000000,,5.444000,-4253000.000000,72399000.000000,72399000.000000,62369000.000000,6951000.000000,1.966000,1.729000,248491000.000000,17786000.000000,230705000.000000,248491000.000000,11760000.000000,5439000.000000,0.000000,0.000000,0.000000,19464000.000000,24903000.000000,0.251000,24903000.000000,19464000.000000,12506000.000000,0.190000,0.170000,0.190000,199141000.000000,,199141000.000000,1343806382.000000,33.000000,22.607000,3575000.000000,0.098000,1.000000,36662000.000000,0.370000,91529000.000000,6958000.000000,540648000.000000,,34287000.000000,2514000.000000,0.000000,2514000.000000,344282000.000000,99300000.000000,244982000.000000,39270000.000000,-51515000.000000,62222000.000000,26140000.000000,0.000000,88662000.000000,-55768000.000000,0.000000,7828000.000000,-1452000.000000,6951000.000000,6951000.000000,6951000.000000,0.000000,0.000000,0.070000,17288000.000000,19374000.000000,10814000.000000,0.000000,5.864000,-237.872000,-107.778000,139694000.000000,0.000000,29.100000,3.472000,3.165000,78378000.000000,-311624000.000000,99031000.000000,99031000.000000,0.000000,,,,,0.000000,15460000.000000,1.000000,40127642.000000,36582532.000000,40287045.000000,2.707000,463856000.000000,103133000.000000,5555000.000000,2503000.000000,12.680000
ARQ,2001-06-30,2001-08-10,2001-06-30,2001-Q2,81192000.000000,1493344702.000000,2025-05-07,-19828000.000000,516795000.000000,,161655000.000000,355140000.000000,,5.183000,-7473000.000000,28416000.000000,28416000.000000,73050000.000000,9018000.000000,2.009000,1.422000,202557000.000000,849000.000000,201708000.000000,202557000.000000,15953000.000000,6590000.000000,0.000000,0.000000,0.000000,22617000.000000,29207000.000000,0.250000,29207000.000000,22617000.000000,16677000.000000,0.220000,0.210000,0.220000,208218000.000000,,208218000.000000,1667485702.000000,37.000000,25.214000,3081000.000000,0.077000,1.000000,43770000.000000,0.375000,89480000.000000,5940000.000000,520993000.000000,,36607000.000000,2799000.000000,0.000000,2799000.000000,296124000.000000,80463000.000000,215661000.000000,-43983000.000000,0.000000,633000.000000,-46859000.000000,0.000000,-46931000.000000,-7473000.000000,0.000000,10554000.000000,-133000.000000,9018000.000000,9018000.000000,9018000.000000,0.000000,0.000000,0.077000,19278000.000000,24492000.000000,9501000.000000,0.000000,7.172000,-386.376000,-75.556000,141807000.000000,0.000000,34.000000,3.940000,3.604000,87354000.000000,-302606000.000000,116820000.000000,116820000.000000,0.000000,,,,,0.000000,17285000.000000,1.000000,43921903.000000,40175630.000000,44052166.000000,2.908000,427315000.000000,98378000.000000,7659000.000000,4981000.000000,10.636000
ARQ,2001-09-30,2001-11-05,2001-09-29,2001-Q3,137957000.000000,1455344177.000000,2025-05-07,-15761000.000000,586070000.000000,,224582000.000000,361488000.000000,,6.449000,-8804000.000000,78303000.000000,78303000.000000,80474000.000000,10521000.000000,2.593000,1.060000,194646000.000000,992000.000000,193654000.000000,194646000.000000,16786000.000000,7162000.000000,0.000000,0.000000,0.000000,22654000.000000,29816000.000000,0.241000,29816000.000000,22654000.000000,17198000.000000,0.240000,0.230000,0.240000,277667000.000000,,277667000.000000,1571687177.000000,20.000000,15.303000,8011000.000000,0.186000,1.000000,43211000.000000,0.349000,90984000.000000,5456000.000000,524804000.000000,,39206000.000000,2908000.000000,0.000000,2908000.000000,294410000.000000,86625000.000000,207785000.000000,49887000.000000,-4000000.000000,54839000.000000,-9837000.000000,0.000000,44273000.000000,-12804000.000000,0.000000,16815000.000000,1603000.000000,10521000.000000,10521000.000000,10521000.000000,0.000000,0.000000,0.085000,19199000.000000,24012000.000000,9408000.000000,0.000000,5.241000,47.071000,68.708000,149249000.000000,0.000000,32.980000,3.382000,3.300000,98021000.000000,-292085000.000000,123685000.000000,123685000.000000,0.000000,,,,,0.000000,17016000.000000,1.000000,44128083.000000,43054478.000000,45679127.000000,2.873000,495086000.000000,95343000.000000,6677000.000000,5238000.000000,11.499000
ARQ,2001-12-31,2002-03-27,2001-12-29,2001-Q4,111622000.000000,1365933630.000000,2025-05-07,-16016000.000000,571362000.000000,,210154000.000000,361208000.000000,,7.061000,-15876000.000000,58271000.000000,58271000.000000,82486000.000000,8917000.000000,2.133000,0.929000,156800000.000000,933000.000000,155867000.000000,156800000.000000,22210000.000000,7984000.000000,0.000000,0.000000,0.000000,20564000.000000,28548000.000000,0.226000,28548000.000000,20564000.000000,16121000.000000,0.210000,0.190000,0.210000,289510000.000000,,289510000.000000,1464462630.000000,17.000000,13.020000,20225000.000000,0.493000,1.000000,43608000.000000,0.346000,90374000.000000,4443000.000000,480985000.000000,,39056000.000000,3002000.000000,0.000000,3002000.000000,268864000.000000,98532000.000000,170332000.000000,-20032000.000000,0.000000,1260000.000000,-41018000.000000,0.000000,-38774000.000000,-15876000.000000,0.000000,36101000.000000,-1483000.000000,8917000.000000,8917000.000000,8917000.000000,0.000000,0.000000,0.071000,21203000.000000,22405000.000000,13868000.000000,0.000000,4.718000,38.578000,35.907000,155919000.000000,0.000000,30.880000,2.934000,2.719000,98478000.000000,-283168000.000000,126094000.000000,126094000.000000,0.000000,,,,,1891000.000000,18554000.000000,1.000000,44233602.000000,40998558.000000,44215383.000000,3.076000,480988000.000000,96482000.000000,7204000.000000,4048000.000000,11.732000
ARQ,2002-03-31,2002-05-09,2002-03-30,2002-Q1,204442000.000000,1457330826.000000,2025-05-07,-16715000.000000,664192000.000000,,294137000.000000,370055000.000000,,6.485000,-4535000.000000,135398000.000000,135398000.000000,83861000.000000,-2232000.000000,3.279000,1.262000,262656000.000000,3132000.000000,259524000.000000,262656000.000000,23160000.000000,5434000.000000,0.000000,0.000000,0.000000,11398000.000000,16832000.000000,0.126000,16832000.000000,11398000.000000,7493000.000000,-0.050000,-0.030000,-0.050000,288406000.000000,,288406000.000000,1584588826.000000,21.000000,15.178000,2879000.000000,0.065000,1.000000,49959000.000000,0.373000,90674000.000000,3905000.000000,611081000.000000,,39125000.000000,3123000.000000,0.000000,3123000.000000,363845000.000000,89695000.000000,274150000.000000,77127000.000000,-1000000.000000,1500000.000000,81148000.000000,0.000000,75253000.000000,-5535000.000000,0.000000,7414000.000000,-5000.000000,-2232000.000000,-2232000.000000,-2232000.000000,0.000000,0.000000,-0.017000,21549000.000000,28410000.000000,11777000.000000,0.000000,5.053000,55.572000,52.855000,153901000.000000,0.000000,32.770000,2.912000,2.912000,105127000.000000,-285400000.000000,133820000.000000,133820000.000000,0.000000,,,,,200000.000000,20919000.000000,1.000000,44471493.000000,44471493.000000,,3.009000,573518000.000000,104122000.000000,9725000.000000,3676000.000000,12.896000
