dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2004-03-31,2004-06-04,2004-04-30,2005-Q1,7342000.000000,,2025-03-17,8000.000000,92977000.000000,,80692000.000000,12285000.000000,,-0.348000,-284000.000000,9478000.000000,9478000.000000,6363000.000000,437000.000000,1.100000,-1.723000,20000.000000,20000.000000,0.000000,20000.000000,52340000.000000,748000.000000,0.000000,,0.000000,508000.000000,1256000.000000,0.036000,1256000.000000,508000.000000,507000.000000,0.003000,0.000000,0.003000,-44056000.000000,,-44056000.000000,,,,6375000.000000,0.050000,1.000000,28476000.000000,0.817000,0.000000,1000.000000,10169000.000000,,0.000000,38173000.000000,38173000.000000,0.000000,75896000.000000,73350000.000000,2546000.000000,-4901000.000000,0.000000,1606000.000000,-58000.000000,0.000000,1548000.000000,-13108000.000000,-12824000.000000,6659000.000000,-2000.000000,437000.000000,437000.000000,437000.000000,0.000000,0.000000,0.013000,28115000.000000,361000.000000,1782000.000000,0.000000,,,,4548000.000000,0.000000,,,,24490000.000000,-71497000.000000,34839000.000000,34839000.000000,2127000.000000,,,,,877000.000000,25988000.000000,1.000000,405027520.000000,126752000.000000,401592000.000000,0.275000,92977000.000000,0.000000,70000.000000,560000.000000,0.734000
ARQ,2004-03-31,2004-06-22,2004-04-30,2005-Q1,7342000.000000,,2025-03-17,8000.000000,92977000.000000,,80692000.000000,12285000.000000,,-0.348000,-284000.000000,9478000.000000,9478000.000000,6363000.000000,437000.000000,1.100000,-1.723000,20000.000000,20000.000000,0.000000,20000.000000,52340000.000000,748000.000000,0.000000,,0.000000,508000.000000,1256000.000000,0.036000,1256000.000000,508000.000000,507000.000000,0.003000,0.000000,0.003000,-44056000.000000,,-44056000.000000,,,,6375000.000000,0.050000,1.000000,28476000.000000,0.817000,0.000000,1000.000000,10169000.000000,,0.000000,38173000.000000,38173000.000000,0.000000,75896000.000000,73350000.000000,2546000.000000,-4901000.000000,0.000000,1606000.000000,-58000.000000,0.000000,1548000.000000,-13108000.000000,-12824000.000000,6659000.000000,-2000.000000,437000.000000,437000.000000,437000.000000,0.000000,0.000000,0.013000,28115000.000000,361000.000000,1782000.000000,0.000000,,,,4548000.000000,0.000000,,,,24490000.000000,-71497000.000000,34839000.000000,34839000.000000,2127000.000000,,,,,877000.000000,25988000.000000,1.000000,405027520.000000,126752000.000000,401592000.000000,0.275000,92977000.000000,0.000000,70000.000000,560000.000000,0.734000
ARQ,2004-06-30,2004-08-25,2004-07-31,2005-Q2,67288000.000000,1333584000.000000,2025-03-17,-100000.000000,226513000.000000,,156968000.000000,69545000.000000,,0.516000,276000.000000,64251000.000000,64251000.000000,8182000.000000,1170000.000000,1.750000,0.701000,1562000.000000,558000.000000,1004000.000000,1562000.000000,61557000.000000,679000.000000,0.000000,0.000000,0.000000,1377000.000000,2056000.000000,0.051000,2056000.000000,1377000.000000,1372000.000000,0.005000,0.003000,0.005000,133187000.000000,,133187000.000000,1270895000.000000,,,15211000.000000,0.059000,1.000000,32399000.000000,0.798000,0.000000,5000.000000,74144000.000000,,0.000000,111534000.000000,55057000.000000,56477000.000000,93326000.000000,89680000.000000,3646000.000000,55533000.000000,0.000000,113853000.000000,-157000.000000,0.000000,113736000.000000,-73085000.000000,-73361000.000000,14935000.000000,-53000.000000,1170000.000000,1170000.000000,1170000.000000,0.000000,0.000000,0.029000,31234000.000000,1165000.000000,1947000.000000,0.000000,10.013000,,,5986000.000000,0.000000,3.240000,,,29944000.000000,-70327000.000000,40581000.000000,40581000.000000,2074000.000000,,,,,1100000.000000,29160000.000000,1.000000,411600000.000000,258096000.000000,430996000.000000,0.157000,226513000.000000,0.000000,202000.000000,540000.000000,0.878000
ARQ,2004-09-30,2004-11-22,2004-10-31,2005-Q3,57106000.000000,1816622000.000000,2025-03-17,38000.000000,246703000.000000,,162920000.000000,83783000.000000,,0.336000,-1050000.000000,25683000.000000,25683000.000000,8905000.000000,2153000.000000,1.540000,0.796000,1423000.000000,561000.000000,862000.000000,1423000.000000,74240000.000000,800000.000000,0.000000,0.000000,0.000000,2509000.000000,3309000.000000,0.071000,3309000.000000,2509000.000000,2495000.000000,0.005000,0.005000,0.005000,137355000.000000,,137355000.000000,1792362000.000000,,,12100000.000000,0.030000,1.000000,37456000.000000,0.808000,0.000000,14000.000000,116629000.000000,,0.000000,162258000.000000,91641000.000000,70617000.000000,109348000.000000,105814000.000000,3534000.000000,-38337000.000000,0.000000,248000.000000,-139000.000000,0.000000,109000.000000,-51774000.000000,-50724000.000000,13150000.000000,178000.000000,2153000.000000,2153000.000000,2153000.000000,0.000000,0.000000,0.046000,35683000.000000,1773000.000000,3844000.000000,0.000000,13.226000,,,6525000.000000,0.000000,4.405000,,,37535000.000000,-68174000.000000,46361000.000000,46361000.000000,2462000.000000,,,,,1191000.000000,33221000.000000,1.000000,412400000.000000,409348000.000000,464704000.000000,0.113000,246703000.000000,0.000000,342000.000000,414000.000000,0.603000
ARQ,2004-12-31,2005-03-25,2005-01-31,2005-Q4,47044000.000000,1550850000.000000,2025-03-17,-999000.000000,280499000.000000,,178715000.000000,101784000.000000,,0.481000,-2529000.000000,38922000.000000,38922000.000000,10004000.000000,3586000.000000,1.357000,0.933000,1284000.000000,563000.000000,721000.000000,1284000.000000,95900000.000000,920000.000000,0.000000,0.000000,0.000000,4206000.000000,5126000.000000,0.094000,5126000.000000,4206000.000000,4189000.000000,0.010000,0.010000,0.010000,145131000.000000,,145131000.000000,1513212000.000000,176.000000,128.817000,18599000.000000,0.062000,1.000000,44590000.000000,0.817000,0.000000,17000.000000,111190000.000000,,0.000000,170207000.000000,83087000.000000,87120000.000000,135368000.000000,131671000.000000,3697000.000000,12975000.000000,0.000000,2553000.000000,-139000.000000,0.000000,3457000.000000,-11232000.000000,-8703000.000000,21128000.000000,-378000.000000,3586000.000000,3586000.000000,3586000.000000,0.000000,0.000000,0.066000,41369000.000000,3221000.000000,2525000.000000,0.000000,10.686000,211.115000,147.000000,7637000.000000,0.000000,3.675000,8.793000,6.293000,48874000.000000,-64588000.000000,54594000.000000,54594000.000000,3159000.000000,,,,,1244000.000000,38210000.000000,1.000000,422000000.000000,302012000.000000,469572000.000000,0.181000,280499000.000000,0.000000,603000.000000,216000.000000,0.929000
ARQ,2005-03-31,2005-05-20,2005-04-30,2006-Q1,42387000.000000,1959940000.000000,2025-03-17,-1327000.000000,294634000.000000,,180604000.000000,114030000.000000,,0.364000,-9251000.000000,43889000.000000,43889000.000000,11965000.000000,4380000.000000,1.307000,0.926000,1144000.000000,566000.000000,578000.000000,1144000.000000,104645000.000000,1121000.000000,0.000000,0.000000,0.000000,5544000.000000,6665000.000000,0.104000,6665000.000000,5544000.000000,5531000.000000,0.010000,0.010000,0.010000,152998000.000000,,152998000.000000,1917195000.000000,141.000000,111.751000,8659000.000000,0.021000,1.000000,52212000.000000,0.814000,0.000000,13000.000000,113672000.000000,,0.000000,176400000.000000,84941000.000000,91459000.000000,141636000.000000,138217000.000000,3419000.000000,4873000.000000,0.000000,2148000.000000,-140000.000000,0.000000,2735000.000000,-15766000.000000,-6515000.000000,17910000.000000,-6000.000000,4380000.000000,4380000.000000,4380000.000000,0.000000,0.000000,0.068000,47942000.000000,4270000.000000,3635000.000000,0.000000,12.810000,173.615000,154.083000,15289000.000000,0.000000,4.622000,9.528000,9.458000,42383000.000000,-60208000.000000,64177000.000000,64177000.000000,4302000.000000,,,,,856000.000000,43925000.000000,1.000000,424000000.000000,420884000.000000,465468000.000000,0.152000,294634000.000000,0.000000,1151000.000000,1482000.000000,0.700000
ARQ,2005-06-30,2005-08-19,2005-07-31,2006-Q2,45014000.000000,2203648000.000000,2025-03-17,-2160000.000000,323675000.000000,,199821000.000000,123854000.000000,,0.388000,-3394000.000000,28447000.000000,28447000.000000,16237000.000000,5040000.000000,1.291000,0.957000,1095000.000000,606000.000000,489000.000000,1095000.000000,117311000.000000,1468000.000000,0.000000,0.000000,0.000000,6381000.000000,7849000.000000,0.109000,7849000.000000,6381000.000000,6350000.000000,0.013000,0.010000,0.013000,165402000.000000,,165402000.000000,2176296000.000000,117.000000,94.832000,10678000.000000,0.025000,1.000000,55706000.000000,0.774000,0.000000,31000.000000,141516000.000000,,0.000000,207570000.000000,109270000.000000,98300000.000000,158273000.000000,154807000.000000,3466000.000000,-15464000.000000,0.000000,5266000.000000,-171000.000000,0.000000,5095000.000000,-34912000.000000,-31518000.000000,14072000.000000,281000.000000,5040000.000000,5040000.000000,5040000.000000,0.000000,0.000000,0.070000,51513000.000000,4193000.000000,3941000.000000,0.000000,13.323000,145.369000,138.378000,17280000.000000,0.000000,5.120000,9.295000,9.210000,50184000.000000,-55168000.000000,71943000.000000,71943000.000000,5470000.000000,,,,,938000.000000,46043000.000000,1.000000,430400000.000000,426456000.000000,471896000.000000,0.169000,323675000.000000,0.000000,1310000.000000,864000.000000,0.759000
ARQ,2005-09-30,2005-11-18,2005-10-31,2006-Q3,71004000.000000,3113625000.000000,2025-03-17,-2580000.000000,359440000.000000,,244864000.000000,114576000.000000,,0.422000,-1984000.000000,87355000.000000,87355000.000000,19584000.000000,13097000.000000,1.408000,0.975000,950000.000000,610000.000000,340000.000000,950000.000000,127110000.000000,1490000.000000,0.000000,0.000000,0.000000,8008000.000000,9498000.000000,0.115000,9498000.000000,8008000.000000,7996000.000000,0.030000,0.028000,0.030000,181979000.000000,,181979000.000000,3027220000.000000,125.000000,103.893000,22587000.000000,0.052000,1.000000,63089000.000000,0.763000,0.000000,12000.000000,99175000.000000,,0.000000,169498000.000000,85370000.000000,84128000.000000,177461000.000000,173860000.000000,3601000.000000,62215000.000000,0.000000,2209000.000000,-152000.000000,0.000000,2057000.000000,35766000.000000,37750000.000000,24571000.000000,-179000.000000,13097000.000000,13097000.000000,13097000.000000,0.000000,0.000000,0.158000,56702000.000000,6387000.000000,5868000.000000,0.000000,17.110000,119.282000,115.927000,20853000.000000,0.000000,7.188000,11.389000,11.334000,53407000.000000,-42071000.000000,82673000.000000,82673000.000000,6602000.000000,,,,,825000.000000,50100000.000000,1.000000,433200000.000000,431124000.000000,474620000.000000,0.192000,359440000.000000,6458000.000000,-5101000.000000,1632000.000000,0.834000
ARQ,2005-12-31,2006-03-15,2006-01-31,2006-Q4,68592000.000000,4316768000.000000,2025-03-17,-2105000.000000,434749000.000000,,303217000.000000,131532000.000000,,0.449000,-5614000.000000,99842000.000000,99842000.000000,21340000.000000,5957000.000000,1.292000,1.214000,799000.000000,615000.000000,184000.000000,799000.000000,169175000.000000,1948000.000000,0.000000,0.000000,0.000000,7300000.000000,9248000.000000,0.102000,9248000.000000,7300000.000000,7287000.000000,0.015000,0.012000,0.015000,196371000.000000,,196371000.000000,4217725000.000000,155.000000,126.811000,33726000.000000,0.077000,1.000000,69724000.000000,0.766000,0.000000,13000.000000,101081000.000000,,0.000000,196950000.000000,107723000.000000,89227000.000000,238378000.000000,234625000.000000,3753000.000000,12487000.000000,0.000000,6084000.000000,-151000.000000,0.000000,5933000.000000,-32893000.000000,-27279000.000000,39340000.000000,107000.000000,5957000.000000,5957000.000000,5957000.000000,0.000000,0.000000,0.065000,64472000.000000,5252000.000000,10212000.000000,0.000000,21.983000,151.604000,143.235000,24216000.000000,0.000000,9.740000,13.931000,13.488000,76128000.000000,-36114000.000000,91064000.000000,91064000.000000,6956000.000000,,,,,4491000.000000,57516000.000000,1.000000,443200000.000000,437820000.000000,486624000.000000,0.208000,434749000.000000,10416000.000000,1330000.000000,5841000.000000,0.993000
ARQ,2006-03-31,2006-05-19,2006-04-30,2007-Q1,89657000.000000,3183325000.000000,2025-03-17,-2258000.000000,457456000.000000,,328616000.000000,128840000.000000,,0.477000,-2595000.000000,128573000.000000,128573000.000000,24560000.000000,-229000.000000,1.375000,1.159000,648000.000000,620000.000000,28000.000000,648000.000000,182036000.000000,2325000.000000,0.000000,0.000000,0.000000,1787000.000000,4112000.000000,0.039000,4112000.000000,1787000.000000,1776000.000000,0.000000,0.000000,0.000000,211877000.000000,,211877000.000000,3055400000.000000,130.000000,99.502000,9821000.000000,0.022000,1.000000,80126000.000000,0.765000,7239000.000000,11000.000000,83333000.000000,,0.000000,169740000.000000,104584000.000000,65156000.000000,245579000.000000,238959000.000000,6620000.000000,28731000.000000,-15502000.000000,5503000.000000,-151000.000000,0.000000,7952000.000000,9111000.000000,27208000.000000,12416000.000000,-748000.000000,-229000.000000,-229000.000000,-229000.000000,0.000000,0.000000,-0.002000,80246000.000000,-120000.000000,7720000.000000,,15.024000,133.389000,123.060000,24786000.000000,0.000000,7.138000,9.086000,9.041000,72337000.000000,-36343000.000000,104686000.000000,104686000.000000,8825000.000000,,,,,7606000.000000,71421000.000000,1.000000,446000000.000000,443828000.000000,443828000.000000,0.236000,450217000.000000,18458000.000000,2005000.000000,10672000.000000,1.014000
