dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2005-09-30,2006-02-06,2005-09-30,2005-Q3,10128000.000000,,2025-05-08,750000.000000,57643000.000000,,41973000.000000,15670000.000000,,0.173000,,4320000.000000,4320000.000000,,,1.318000,2.804000,10298000.000000,7156000.000000,3142000.000000,10298000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,13234000.000000,,13234000.000000,,,,,,1.000000,,,5662000.000000,,26114000.000000,,14559000.000000,0.000000,0.000000,0.000000,37109000.000000,31845000.000000,5264000.000000,,,,,,,,,,,,,,,,,,,11460000.000000,,,,,9500000.000000,,,,,21187000.000000,12596000.000000,,,,,,,,,,1.000000,76544494.000000,76544494.000000,,,51981000.000000,779000.000000,,1734000.000000,0.679000
ARQ,2005-12-31,2006-03-31,2005-12-31,2005-Q4,10048000.000000,962547012.000000,2025-05-08,588000.000000,78032000.000000,,56353000.000000,21679000.000000,,0.364000,-5341000.000000,4787000.000000,4787000.000000,15741000.000000,4170000.000000,1.217000,2.740000,11716000.000000,8503000.000000,3213000.000000,11716000.000000,0.000000,1291000.000000,0.000000,0.000000,0.000000,6994000.000000,8285000.000000,0.247000,8285000.000000,6994000.000000,6763000.000000,0.060000,0.065000,0.060000,18914000.000000,,18914000.000000,969476012.000000,36.000000,32.066000,-481000.000000,-0.009000,1.000000,17818000.000000,0.531000,5647000.000000,231000.000000,33009000.000000,,28494000.000000,0.000000,0.000000,0.000000,51818000.000000,46305000.000000,5513000.000000,467000.000000,0.000000,0.000000,1112000.000000,0.000000,1112000.000000,-5341000.000000,0.000000,4860000.000000,-164000.000000,4170000.000000,4101000.000000,4101000.000000,0.000000,0.000000,0.122000,10857000.000000,6961000.000000,20829000.000000,0.000000,50.891000,57.648000,49.314000,14765000.000000,69000.000000,12.575000,8.865000,5.905000,18030000.000000,16697000.000000,33559000.000000,33559000.000000,0.000000,,,,,2285000.000000,10857000.000000,1.000000,76544494.000000,51968712.000000,68408202.000000,0.646000,72385000.000000,3023000.000000,2593000.000000,10469000.000000,1.393000
ARQ,2006-03-31,2006-05-15,2006-03-31,2006-Q1,106252000.000000,1084528578.000000,2025-05-08,613000.000000,167537000.000000,,141500000.000000,26037000.000000,,1.962000,-3488000.000000,67861000.000000,67861000.000000,21163000.000000,6440000.000000,4.014000,0.298000,3002000.000000,1922000.000000,1080000.000000,3002000.000000,0.000000,1412000.000000,0.000000,0.000000,0.000000,10279000.000000,11691000.000000,0.261000,11691000.000000,10279000.000000,10000000.000000,0.095000,0.085000,0.095000,129103000.000000,,129103000.000000,1019669578.000000,,,-21674000.000000,-0.329000,1.000000,23681000.000000,0.528000,7189000.000000,279000.000000,60241000.000000,,40686000.000000,0.000000,0.000000,0.000000,38434000.000000,35248000.000000,3186000.000000,63074000.000000,0.000000,94454000.000000,-9681000.000000,0.000000,84697000.000000,-3488000.000000,0.000000,-18186000.000000,51000.000000,6440000.000000,6407000.000000,6407000.000000,0.000000,0.000000,0.143000,13689000.000000,9992000.000000,17657000.000000,0.000000,8.400000,,,17037000.000000,33000.000000,14.165000,,,27178000.000000,23104000.000000,44844000.000000,44844000.000000,0.000000,,,,,1690000.000000,13689000.000000,1.000000,76563966.000000,65795486.000000,76518912.000000,0.682000,160348000.000000,3168000.000000,3560000.000000,6740000.000000,2.437000
ARQ,2006-06-30,2006-08-14,2006-06-30,2006-Q2,122444000.000000,1047619585.000000,2025-05-08,814000.000000,190196000.000000,,160089000.000000,30107000.000000,,1.941000,-4825000.000000,67017000.000000,67017000.000000,38665000.000000,15666000.000000,4.253000,0.280000,2606000.000000,864000.000000,1742000.000000,2606000.000000,0.000000,1806000.000000,0.000000,0.000000,0.000000,24024000.000000,25830000.000000,0.302000,25830000.000000,24024000.000000,23932000.000000,0.205000,0.195000,0.205000,148639000.000000,,148639000.000000,983208585.000000,,,-1318000.000000,-0.017000,1.000000,46970000.000000,0.548000,7874000.000000,92000.000000,80266000.000000,,40839000.000000,0.000000,0.000000,0.000000,41557000.000000,37645000.000000,3912000.000000,-844000.000000,0.000000,11000.000000,-475000.000000,0.000000,722000.000000,-4825000.000000,0.000000,3507000.000000,-248000.000000,15666000.000000,15666000.000000,15666000.000000,0.000000,0.000000,0.183000,23312000.000000,23658000.000000,15466000.000000,0.000000,7.048000,,,19924000.000000,0.000000,13.525000,,,47252000.000000,38771000.000000,85635000.000000,85635000.000000,0.000000,,,,,1428000.000000,23312000.000000,1.000000,77458010.000000,76573754.000000,80855406.000000,1.118000,182322000.000000,3168000.000000,8266000.000000,7098000.000000,2.381000
ARQ,2006-09-30,2006-11-13,2006-09-30,2006-Q3,145512000.000000,1905063706.000000,2025-05-08,957000.000000,240531000.000000,,204928000.000000,35603000.000000,,2.288000,-6077000.000000,57880000.000000,57880000.000000,46521000.000000,21526000.000000,3.449000,0.356000,2367000.000000,817000.000000,1550000.000000,2367000.000000,0.000000,2020000.000000,0.000000,0.000000,0.000000,32137000.000000,34157000.000000,0.307000,34157000.000000,32137000.000000,31975000.000000,0.280000,0.265000,0.280000,177425000.000000,,177425000.000000,1849550706.000000,25.000000,23.130000,12012000.000000,0.155000,1.000000,64824000.000000,0.582000,8456000.000000,162000.000000,117146000.000000,,49128000.000000,25400000.000000,25400000.000000,0.000000,63106000.000000,59416000.000000,3690000.000000,-9137000.000000,0.000000,553000.000000,-255000.000000,0.000000,4064000.000000,-31477000.000000,-25400000.000000,18089000.000000,187000.000000,21526000.000000,21526000.000000,21526000.000000,0.000000,0.000000,0.193000,33344000.000000,31480000.000000,30459000.000000,0.000000,10.737000,39.938000,38.141000,24713000.000000,0.000000,24.410000,6.918000,6.874000,60651000.000000,60297000.000000,111345000.000000,111345000.000000,0.000000,,,,,-970000.000000,33344000.000000,1.000000,78044396.000000,77546724.000000,80931446.000000,1.436000,232075000.000000,3168000.000000,10449000.000000,8304000.000000,2.993000
ARQ,2006-12-31,2007-04-02,2006-12-31,2006-Q4,149782000.000000,1878123752.000000,2025-05-08,1006000.000000,299457000.000000,,237691000.000000,61766000.000000,,2.677000,-14499000.000000,45546000.000000,45546000.000000,47810000.000000,20784000.000000,2.704000,0.438000,657000.000000,541000.000000,116000.000000,657000.000000,0.000000,2815000.000000,0.000000,0.000000,0.000000,30752000.000000,33567000.000000,0.297000,33567000.000000,30752000.000000,30718000.000000,0.270000,0.255000,0.270000,208258000.000000,,208258000.000000,1833234752.000000,19.000000,17.419000,-5566000.000000,-0.072000,1.000000,65094000.000000,0.577000,23762000.000000,34000.000000,142897000.000000,,86210000.000000,22325000.000000,22325000.000000,0.000000,91199000.000000,87909000.000000,3290000.000000,-15224000.000000,-15399000.000000,1720000.000000,-1853000.000000,0.000000,5068000.000000,-29713000.000000,3075000.000000,8933000.000000,488000.000000,20784000.000000,20784000.000000,20784000.000000,0.000000,0.000000,0.184000,34879000.000000,30215000.000000,43794000.000000,0.000000,9.018000,29.171000,27.202000,34849000.000000,0.000000,23.530000,5.295000,4.939000,65588000.000000,81081000.000000,112904000.000000,112904000.000000,0.000000,,,,,-2141000.000000,34879000.000000,1.000000,79818264.000000,77781686.000000,82320978.000000,1.452000,275695000.000000,9685000.000000,9934000.000000,14153000.000000,3.544000
ARQ,2007-03-31,2007-05-15,2007-03-31,2007-Q1,176205000.000000,2923889295.000000,2025-05-08,1467000.000000,338951000.000000,,258227000.000000,80724000.000000,,3.134000,-13726000.000000,42172000.000000,42172000.000000,57517000.000000,24945000.000000,3.148000,0.364000,837000.000000,748000.000000,89000.000000,837000.000000,0.000000,3505000.000000,0.000000,0.000000,0.000000,37674000.000000,41179000.000000,0.290000,41179000.000000,37674000.000000,37611000.000000,0.315000,0.305000,0.315000,248419000.000000,,248419000.000000,2882554295.000000,23.000000,21.395000,-24854000.000000,-0.314000,1.000000,84485000.000000,0.595000,28294000.000000,63000.000000,187300000.000000,,94432000.000000,9390000.000000,9390000.000000,0.000000,90532000.000000,82022000.000000,8510000.000000,-4079000.000000,-1853000.000000,2059000.000000,177000.000000,0.000000,10428000.000000,-3313000.000000,12935000.000000,-11128000.000000,-66000.000000,24945000.000000,24945000.000000,24945000.000000,0.000000,0.000000,0.176000,47327000.000000,37158000.000000,42429000.000000,0.000000,11.770000,35.261000,34.187000,43395000.000000,0.000000,36.580000,6.470000,6.416000,97838000.000000,106026000.000000,142002000.000000,142002000.000000,0.000000,,,,,-3689000.000000,47327000.000000,1.000000,79931364.000000,79263962.000000,82439648.000000,1.792000,310657000.000000,5152000.000000,12666000.000000,8914000.000000,3.919000
ARQ,2007-06-30,2007-08-14,2007-06-30,2007-Q2,223138000.000000,4237240107.000000,2025-05-08,2590000.000000,452309000.000000,,343645000.000000,108664000.000000,,4.022000,-15184000.000000,64988000.000000,64988000.000000,92329000.000000,48451000.000000,2.852000,0.401000,351000.000000,280000.000000,71000.000000,351000.000000,0.000000,4018000.000000,0.000000,0.000000,0.000000,68871000.000000,72889000.000000,0.325000,72889000.000000,68871000.000000,68820000.000000,0.600000,0.580000,0.600000,322765000.000000,,322765000.000000,4172603107.000000,25.000000,22.953000,18888000.000000,0.235000,1.000000,131944000.000000,0.588000,41951000.000000,51000.000000,225214000.000000,,118647000.000000,24390000.000000,24390000.000000,0.000000,129544000.000000,120507000.000000,9037000.000000,22685000.000000,-812000.000000,6495000.000000,-382000.000000,0.000000,19166000.000000,-31100000.000000,-15000000.000000,34072000.000000,547000.000000,48451000.000000,48451000.000000,48451000.000000,0.000000,0.000000,0.216000,63472000.000000,68472000.000000,59806000.000000,0.000000,13.128000,36.621000,35.468000,55994000.000000,0.000000,51.960000,7.175000,7.061000,117345000.000000,154477000.000000,224273000.000000,224273000.000000,0.000000,,,,,-7828000.000000,63472000.000000,1.000000,81548116.000000,80253555.000000,83686108.000000,2.795000,410358000.000000,5285000.000000,20369000.000000,7928000.000000,5.113000
ARQ,2007-09-30,2007-11-14,2007-09-30,2007-Q3,289072000.000000,3285996012.000000,2025-05-08,6767000.000000,594462000.000000,,458156000.000000,136306000.000000,,5.060000,-26855000.000000,59879000.000000,59879000.000000,100883000.000000,56548000.000000,2.710000,0.441000,215000.000000,194000.000000,21000.000000,215000.000000,0.000000,6085000.000000,0.000000,0.000000,0.000000,79394000.000000,85479000.000000,0.334000,85479000.000000,79394000.000000,79203000.000000,0.690000,0.660000,0.690000,412599000.000000,,412599000.000000,3226332012.000000,15.000000,13.840000,-27594000.000000,-0.338000,1.000000,155392000.000000,0.606000,50614000.000000,191000.000000,315100000.000000,,195256000.000000,16700000.000000,16700000.000000,0.000000,181863000.000000,169084000.000000,12779000.000000,-5603000.000000,-8615000.000000,5438000.000000,-416000.000000,0.000000,22379000.000000,-28090000.000000,7690000.000000,-739000.000000,847000.000000,56548000.000000,56548000.000000,56548000.000000,0.000000,0.000000,0.221000,77156000.000000,78236000.000000,80955000.000000,0.000000,7.964000,21.801000,21.253000,72186000.000000,0.000000,39.850000,4.468000,4.418000,160642000.000000,211027000.000000,256275000.000000,256275000.000000,0.000000,,,,,-11044000.000000,77156000.000000,1.000000,82459122.000000,81543769.000000,85370351.000000,3.143000,543848000.000000,6649000.000000,22655000.000000,6274000.000000,6.669000
ARQ,2007-12-31,2008-02-29,2007-12-31,2007-Q4,300502000.000000,2004948874.000000,2025-05-08,10209000.000000,627425000.000000,,467950000.000000,159475000.000000,,5.419000,-18139000.000000,37649000.000000,37649000.000000,98972000.000000,38283000.000000,2.795000,0.413000,7116000.000000,7107000.000000,9000.000000,7116000.000000,0.000000,7341000.000000,0.000000,0.000000,0.000000,54823000.000000,62164000.000000,0.277000,62164000.000000,54823000.000000,54691000.000000,0.460000,0.450000,0.460000,444113000.000000,,444113000.000000,1974415874.000000,8.000000,7.544000,-31406000.000000,-0.383000,1.000000,125824000.000000,0.560000,55393000.000000,132000.000000,374051000.000000,,248391000.000000,0.000000,0.000000,0.000000,183312000.000000,167448000.000000,15864000.000000,-19324000.000000,-1111000.000000,-20467000.000000,7080000.000000,0.000000,-8773000.000000,286000.000000,16700000.000000,-13267000.000000,2430000.000000,38283000.000000,38283000.000000,38283000.000000,0.000000,0.000000,0.170000,71924000.000000,53900000.000000,82979000.000000,0.000000,4.515000,11.918000,11.692000,88184000.000000,0.000000,24.320000,2.366000,2.318000,152919000.000000,249309000.000000,224796000.000000,224796000.000000,0.000000,,,,,1028000.000000,71924000.000000,1.000000,82440332.000000,81949972.000000,85251507.000000,2.743000,572032000.000000,20191000.000000,16408000.000000,21974000.000000,6.980000
