dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2016-06-30,2016-10-07,2016-06-30,2016-Q2,168560000.000000,,2025-05-06,-25000.000000,293059000.000000,,249159000.000000,43900000.000000,,-9.144000,,250002000.000000,250002000.000000,,,3.091000,-3.143000,0.000000,0.000000,0.000000,0.000000,76439000.000000,,0.000000,,0.000000,,,,,,,,,,-50187000.000000,,-50187000.000000,,,,,,1.000000,,,426000.000000,,-37968000.000000,,0.000000,35686000.000000,0.000000,35686000.000000,157718000.000000,80599000.000000,77119000.000000,,,,,,,,,,,,,,,,,,,3687000.000000,,,,,2377000.000000,,,,,1354000.000000,-59502000.000000,,,,,,,,,,1.000000,39748134.000000,5488467.000000,,,292633000.000000,0.000000,,58000.000000,53.318000
ARQ,2016-09-30,2016-11-22,2016-09-30,2016-Q3,153554000.000000,798962636.000000,2025-05-06,-26000.000000,278653000.000000,,231651000.000000,47002000.000000,,-11.806000,-1509000.000000,231766000.000000,231766000.000000,0.000000,-14694000.000000,2.966000,-2.491000,0.000000,0.000000,0.000000,0.000000,76949000.000000,236000.000000,0.000000,0.000000,0.000000,-14671000.000000,-14435000.000000,-9.319000,-14435000.000000,-14671000.000000,-14672000.000000,-2.770000,-2.770000,-2.770000,-62481000.000000,,-62481000.000000,567196636.000000,,,-13785000.000000,-2.605000,1.000000,1549000.000000,1.000000,413000.000000,1000.000000,-31623000.000000,,0.000000,35686000.000000,0.000000,35686000.000000,155620000.000000,78097000.000000,77523000.000000,-18236000.000000,0.000000,16000.000000,0.000000,0.000000,-4471000.000000,-1509000.000000,0.000000,-12276000.000000,20000.000000,-14680000.000000,-14680000.000000,-14680000.000000,0.000000,-14000.000000,-9.477000,16159000.000000,-14610000.000000,1943000.000000,0.000000,-12.787000,,,3862000.000000,0.000000,20.070000,,,2092000.000000,-74182000.000000,1549000.000000,1549000.000000,12052000.000000,,,,,2293000.000000,4107000.000000,1.000000,39808801.000000,5292348.000000,5292348.000000,0.293000,278240000.000000,0.000000,8000.000000,82000.000000,52.574000
ARQ,2016-12-31,2017-03-10,2016-12-31,2016-Q4,298190000.000000,841982579.000000,2025-05-06,-26000.000000,344962000.000000,,320188000.000000,24774000.000000,,18.996000,-228000.000000,318670000.000000,318670000.000000,0.000000,17098000.000000,14.555000,0.482000,0.000000,0.000000,0.000000,0.000000,77646000.000000,412000.000000,0.000000,0.000000,0.000000,17498000.000000,17910000.000000,7.641000,17910000.000000,17498000.000000,17499000.000000,5.540000,5.540000,5.540000,232846000.000000,,232846000.000000,523312579.000000,-36.000000,-38.148000,-19644000.000000,-1.603000,1.000000,2344000.000000,1.000000,399000.000000,-1000.000000,3895000.000000,,0.000000,0.000000,0.000000,0.000000,112116000.000000,21998000.000000,90118000.000000,86907000.000000,0.000000,89079000.000000,10000.000000,0.000000,91766000.000000,14772000.000000,0.000000,-19416000.000000,-215000.000000,17099000.000000,17099000.000000,17099000.000000,0.000000,-1000.000000,7.295000,27654000.000000,-25310000.000000,4569000.000000,0.000000,3.616000,-36.328000,-11.190000,21027000.000000,0.000000,21.150000,163.049000,50.203000,3157000.000000,-57083000.000000,2344000.000000,2344000.000000,15572000.000000,,,,,4028000.000000,12082000.000000,1.000000,39810051.000000,12257483.000000,12257483.000000,0.191000,344563000.000000,0.000000,400000.000000,23000.000000,28.110000
ARQ,2017-03-31,2017-05-11,2017-03-31,2017-Q1,279547000.000000,671558445.000000,2025-05-06,-2000.000000,322346000.000000,,296462000.000000,25884000.000000,,5.416000,-3285000.000000,292023000.000000,292023000.000000,0.000000,-21475000.000000,17.527000,0.498000,0.000000,0.000000,0.000000,0.000000,78311000.000000,720000.000000,0.000000,0.000000,0.000000,-21196000.000000,-20476000.000000,-7.575000,-20476000.000000,-21196000.000000,-21196000.000000,-0.540000,-0.540000,-0.540000,215175000.000000,,215175000.000000,379535445.000000,,,-26697000.000000,-0.672000,1.000000,2703000.000000,1.000000,385000.000000,0.000000,13023000.000000,,0.000000,0.000000,0.000000,0.000000,107171000.000000,16915000.000000,90256000.000000,-26648000.000000,0.000000,20000.000000,0.000000,0.000000,20000.000000,-3285000.000000,0.000000,-23412000.000000,29000.000000,-21475000.000000,-21475000.000000,-21475000.000000,0.000000,0.000000,-7.945000,23447000.000000,-20744000.000000,3937000.000000,0.000000,3.121000,,,22165000.000000,0.000000,16.790000,,,5672000.000000,-78558000.000000,2703000.000000,2703000.000000,14805000.000000,,,,,3746000.000000,8642000.000000,1.000000,39997525.000000,39725947.000000,39725947.000000,0.068000,321961000.000000,0.000000,279000.000000,190000.000000,8.105000
ARQ,2017-06-30,2017-08-10,2017-06-30,2017-Q2,265471000.000000,722531708.000000,2025-05-06,4000.000000,304975000.000000,,281285000.000000,23690000.000000,,4.958000,-1330000.000000,275418000.000000,275418000.000000,0.000000,-22315000.000000,17.787000,0.542000,0.000000,0.000000,0.000000,0.000000,79232000.000000,706000.000000,0.000000,0.000000,0.000000,-21972000.000000,-21266000.000000,-5.937000,-21266000.000000,-21972000.000000,-21972000.000000,-0.560000,-0.560000,-0.560000,197803000.000000,,197803000.000000,447113708.000000,-11.000000,-11.684000,-17305000.000000,-0.434000,1.000000,3582000.000000,1.000000,372000.000000,0.000000,13371000.000000,,0.000000,0.000000,0.000000,0.000000,107172000.000000,15814000.000000,91358000.000000,-16608000.000000,0.000000,695000.000000,0.000000,0.000000,695000.000000,-1330000.000000,0.000000,-15975000.000000,2000.000000,-22315000.000000,-22315000.000000,-22315000.000000,0.000000,0.000000,-6.230000,24888000.000000,-21306000.000000,2559000.000000,0.000000,3.653000,-17.465000,10.659000,19927000.000000,0.000000,17.800000,70.990000,69.773000,6814000.000000,-100873000.000000,3582000.000000,3582000.000000,17120000.000000,,,,,3280000.000000,7768000.000000,1.000000,40591669.000000,39895938.000000,39895938.000000,0.090000,304603000.000000,0.000000,343000.000000,272000.000000,7.635000
ARQ,2017-09-30,2017-11-08,2017-09-30,2017-Q3,246469000.000000,735887175.000000,2025-05-06,12000.000000,282319000.000000,,258586000.000000,23733000.000000,,4.464000,-2994000.000000,256673000.000000,256673000.000000,0.000000,-24707000.000000,21.341000,0.578000,0.000000,0.000000,0.000000,0.000000,79689000.000000,792000.000000,0.000000,0.000000,0.000000,-24000000.000000,-23208000.000000,-9.723000,-23208000.000000,-24000000.000000,-24000000.000000,-0.620000,-0.620000,-0.620000,178958000.000000,,178958000.000000,479214175.000000,-10.000000,-10.187000,-18862000.000000,-0.471000,1.000000,2387000.000000,1.000000,358000.000000,0.000000,13171000.000000,,0.000000,0.000000,0.000000,0.000000,103361000.000000,12117000.000000,91244000.000000,-18745000.000000,0.000000,609000.000000,0.000000,0.000000,609000.000000,-3494000.000000,-500000.000000,-15868000.000000,8000.000000,-24707000.000000,-24707000.000000,-24707000.000000,0.000000,0.000000,-10.351000,25957000.000000,-23570000.000000,2116000.000000,0.000000,4.112000,-14.317000,4.696000,19564000.000000,0.000000,17.940000,66.802000,65.286000,3211000.000000,-125580000.000000,2387000.000000,2387000.000000,17845000.000000,,,,,4868000.000000,8112000.000000,1.000000,41019352.000000,40088718.000000,40088718.000000,0.060000,281961000.000000,0.000000,707000.000000,427000.000000,7.033000
ARQ,2017-12-31,2018-03-08,2017-12-31,2017-Q4,233874000.000000,2522611200.000000,2025-05-06,14000.000000,271346000.000000,,248385000.000000,22961000.000000,,4.636000,-205000.000000,242912000.000000,242912000.000000,0.000000,141000.000000,17.117000,0.445000,0.000000,0.000000,0.000000,0.000000,56928000.000000,806000.000000,0.000000,0.000000,0.000000,560000.000000,1366000.000000,0.042000,1366000.000000,560000.000000,560000.000000,0.010000,0.010000,0.010000,187832000.000000,,187832000.000000,2279699200.000000,-34.000000,-35.853000,-15047000.000000,-0.371000,1.000000,32325000.000000,1.000000,344000.000000,0.000000,13579000.000000,,0.000000,0.000000,0.000000,0.000000,83514000.000000,14511000.000000,69003000.000000,-13761000.000000,0.000000,1284000.000000,0.000000,0.000000,1284000.000000,-205000.000000,0.000000,-14842000.000000,2000.000000,141000.000000,141000.000000,141000.000000,0.000000,0.000000,0.004000,31353000.000000,972000.000000,1639000.000000,0.000000,13.430000,-36.903000,-31.404000,18857000.000000,0.000000,53.700000,61.532000,52.469000,2626000.000000,-125440000.000000,32325000.000000,32325000.000000,20030000.000000,,,,,6979000.000000,11323000.000000,1.000000,46976000.000000,40514871.000000,40514871.000000,0.798000,271002000.000000,0.000000,419000.000000,347000.000000,6.689000
ARQ,2018-03-31,2018-05-08,2018-03-31,2018-Q1,337083000.000000,2452299503.000000,2025-05-06,26000.000000,374452000.000000,,351478000.000000,22974000.000000,,6.328000,-555000.000000,344932000.000000,344932000.000000,0.000000,-28300000.000000,24.417000,0.290000,0.000000,0.000000,0.000000,0.000000,57858000.000000,826000.000000,0.000000,0.000000,0.000000,-28214000.000000,-27388000.000000,-20.168000,-27388000.000000,-28214000.000000,-28214000.000000,-0.620000,-0.620000,-0.620000,290335000.000000,,290335000.000000,2107367503.000000,-29.000000,-29.893000,-23243000.000000,-0.507000,1.000000,1358000.000000,1.000000,331000.000000,0.000000,14794000.000000,,0.000000,0.000000,0.000000,0.000000,84117000.000000,14395000.000000,69722000.000000,102020000.000000,0.000000,125251000.000000,0.000000,0.000000,125251000.000000,-555000.000000,0.000000,-22688000.000000,12000.000000,-28300000.000000,-28300000.000000,-28300000.000000,0.000000,0.000000,-20.839000,28355000.000000,-26997000.000000,2546000.000000,0.000000,8.446000,-32.619000,-29.034000,18907000.000000,0.000000,51.970000,61.846000,60.129000,1260000.000000,-154888000.000000,1358000.000000,1358000.000000,19519000.000000,,,,,5582000.000000,8836000.000000,1.000000,47186829.000000,45877428.000000,45877428.000000,0.030000,374121000.000000,0.000000,86000.000000,433000.000000,8.155000
ARQ,2018-06-30,2018-08-07,2018-06-30,2018-Q2,312068000.000000,2314624919.000000,2025-05-06,5000.000000,353130000.000000,,330549000.000000,22581000.000000,,5.661000,-523000.000000,322902000.000000,322902000.000000,0.000000,-38380000.000000,17.886000,0.332000,0.000000,0.000000,0.000000,0.000000,57832000.000000,865000.000000,0.000000,0.000000,0.000000,-38284000.000000,-37419000.000000,-34.392000,-37419000.000000,-38284000.000000,-38284000.000000,-0.820000,-0.820000,-0.820000,265154000.000000,,265154000.000000,1991722919.000000,-22.000000,-22.986000,-25738000.000000,-0.549000,1.000000,1088000.000000,1.000000,317000.000000,0.000000,11430000.000000,,0.000000,0.000000,0.000000,0.000000,87976000.000000,18481000.000000,69495000.000000,-22030000.000000,0.000000,3729000.000000,0.000000,0.000000,3729000.000000,-523000.000000,0.000000,-25215000.000000,-21000.000000,-38380000.000000,-38380000.000000,-38380000.000000,0.000000,0.000000,-35.276000,38374000.000000,-37286000.000000,4479000.000000,0.000000,8.729000,-25.367000,-23.727000,18395000.000000,0.000000,48.640000,62.291000,61.317000,944000.000000,-193268000.000000,1088000.000000,1088000.000000,25633000.000000,,,,,8324000.000000,12741000.000000,1.000000,47586861.000000,46842316.000000,46842316.000000,0.023000,352813000.000000,0.000000,96000.000000,47000.000000,7.532000
ARQ,2018-09-30,2018-11-07,2018-09-30,2018-Q3,464410000.000000,2016198256.000000,2025-05-06,-1000.000000,518903000.000000,,496688000.000000,22215000.000000,,8.806000,-695000.000000,490460000.000000,490460000.000000,0.000000,-50711000.000000,15.388000,0.243000,0.000000,0.000000,0.000000,0.000000,57806000.000000,883000.000000,0.000000,0.000000,0.000000,-50574000.000000,-49691000.000000,-88.261000,-49691000.000000,-50574000.000000,-50574000.000000,-1.070000,-1.070000,-1.070000,417314000.000000,,417314000.000000,1525738256.000000,-13.000000,-13.486000,-20659000.000000,-0.436000,1.000000,563000.000000,1.000000,303000.000000,0.000000,-4138000.000000,,0.000000,0.000000,0.000000,0.000000,101589000.000000,32278000.000000,69311000.000000,167558000.000000,0.000000,188223000.000000,0.000000,0.000000,188223000.000000,-695000.000000,0.000000,-19964000.000000,-6000.000000,-50711000.000000,-50711000.000000,-50711000.000000,0.000000,0.000000,-90.073000,49995000.000000,-49432000.000000,5221000.000000,0.000000,4.831000,-17.196000,-15.540000,18097000.000000,0.000000,38.850000,57.061000,52.108000,552000.000000,-243979000.000000,563000.000000,563000.000000,39820000.000000,,,,,8054000.000000,10175000.000000,1.000000,51896995.000000,47391988.000000,47391988.000000,0.012000,518600000.000000,0.000000,137000.000000,24000.000000,10.943000
