dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2015-12-31,2016-03-10,2015-12-31,2015-Q4,92593000.000000,,2025-05-08,-45000.000000,98459000.000000,,95663000.000000,2796000.000000,,-83.237000,,4105000.000000,4105000.000000,,,31.161000,-0.122000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-31101000.000000,,-31101000.000000,,,,,,1.000000,,,0.000000,,91284000.000000,,0.000000,90281000.000000,90281000.000000,0.000000,3780000.000000,3070000.000000,710000.000000,,,,,,,,,,,,,,,,,,,1575000.000000,,,,,1845000.000000,,,,,0.000000,-31496000.000000,,,,,,,,,,1.000000,20406356.000000,373643.000000,,,98459000.000000,0.000000,,0.000000,263.511000
ARQ,2016-03-31,2016-05-05,2016-03-31,2016-Q1,150689000.000000,253453152.000000,2025-05-08,29000.000000,157224000.000000,,154072000.000000,3152000.000000,,129.659000,-614000.000000,4065000.000000,4065000.000000,0.000000,-6347000.000000,45.543000,0.031000,0.000000,0.000000,0.000000,0.000000,0.000000,106000.000000,0.000000,0.000000,0.000000,-6347000.000000,-6241000.000000,,-6241000.000000,-6347000.000000,-6347000.000000,-5.390000,-5.390000,-5.390000,152550000.000000,,152550000.000000,249388152.000000,,,-6250000.000000,-5.312000,1.000000,0.000000,,0.000000,0.000000,149776000.000000,,0.000000,148235000.000000,148235000.000000,0.000000,4674000.000000,3383000.000000,1291000.000000,-40000.000000,0.000000,64343000.000000,0.000000,0.000000,64343000.000000,-58747000.000000,-58133000.000000,-5636000.000000,0.000000,-6347000.000000,-6347000.000000,-6347000.000000,0.000000,0.000000,,6426000.000000,-6426000.000000,1577000.000000,0.000000,1.661000,,,2552000.000000,0.000000,12.420000,,,0.000000,-37843000.000000,0.000000,0.000000,5397000.000000,,,,,441000.000000,1029000.000000,1.000000,20406856.000000,1176546.000000,1176546.000000,0.000000,157224000.000000,0.000000,0.000000,0.000000,133.632000
ARQ,2016-06-30,2016-08-04,2016-06-30,2016-Q2,149888000.000000,275168678.000000,2025-05-08,78000.000000,156921000.000000,,153495000.000000,3426000.000000,,7.614000,-873000.000000,4343000.000000,4343000.000000,0.000000,-8645000.000000,42.555000,0.033000,0.000000,0.000000,0.000000,0.000000,0.000000,144000.000000,0.000000,0.000000,0.000000,-8645000.000000,-8501000.000000,,-8501000.000000,-8645000.000000,-8645000.000000,-0.430000,-0.430000,-0.430000,151968000.000000,,151968000.000000,270825678.000000,,,-7002000.000000,-0.351000,1.000000,0.000000,,0.000000,0.000000,148971000.000000,,0.000000,147809000.000000,147809000.000000,0.000000,4953000.000000,3607000.000000,1346000.000000,278000.000000,0.000000,7012000.000000,0.000000,0.000000,7012000.000000,-605000.000000,268000.000000,-6129000.000000,0.000000,-8645000.000000,-8645000.000000,-8645000.000000,0.000000,0.000000,,8825000.000000,-8825000.000000,1320000.000000,0.000000,1.811000,,,2807000.000000,0.000000,13.160000,,,0.000000,-46488000.000000,0.000000,0.000000,7119000.000000,,,,,1076000.000000,1706000.000000,1.000000,20909474.000000,19959459.000000,19959459.000000,0.000000,156921000.000000,0.000000,0.000000,0.000000,7.862000
ARQ,2016-09-30,2016-11-03,2016-09-30,2016-Q3,140440000.000000,285029647.000000,2025-05-08,41000.000000,149763000.000000,,146036000.000000,3727000.000000,,7.081000,-99000.000000,5576000.000000,5576000.000000,0.000000,-10297000.000000,26.096000,0.048000,0.000000,0.000000,0.000000,0.000000,0.000000,159000.000000,0.000000,0.000000,0.000000,-10297000.000000,-10138000.000000,,-10138000.000000,-10297000.000000,-10297000.000000,-0.510000,-0.510000,-0.510000,142910000.000000,,142910000.000000,279453647.000000,,,-6784000.000000,-0.336000,1.000000,0.000000,,0.000000,0.000000,138591000.000000,,0.000000,139547000.000000,139547000.000000,0.000000,6853000.000000,5596000.000000,1257000.000000,1233000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7918000.000000,8017000.000000,-6685000.000000,0.000000,-10297000.000000,-10297000.000000,-10297000.000000,0.000000,0.000000,,10476000.000000,-10476000.000000,2416000.000000,0.000000,1.994000,,,2858000.000000,0.000000,13.630000,,,0.000000,-56785000.000000,0.000000,0.000000,7707000.000000,,,,,1264000.000000,2769000.000000,1.000000,20911933.000000,20183497.000000,20183497.000000,0.000000,149763000.000000,0.000000,0.000000,0.000000,7.420000
ARQ,2016-12-31,2017-03-10,2016-12-31,2016-Q4,130089000.000000,365496937.000000,2025-05-08,-39000.000000,140150000.000000,,136033000.000000,4117000.000000,,8.611000,-613000.000000,5050000.000000,5050000.000000,0.000000,-11086000.000000,22.886000,0.055000,0.000000,0.000000,0.000000,0.000000,0.000000,185000.000000,0.000000,0.000000,0.000000,-11086000.000000,-10901000.000000,,-10901000.000000,-11086000.000000,-11086000.000000,-0.530000,-0.530000,-0.530000,132801000.000000,,132801000.000000,360446937.000000,-10.000000,-10.074000,-10020000.000000,-0.650000,1.000000,0.000000,,0.000000,0.000000,129156000.000000,,0.000000,129846000.000000,129846000.000000,0.000000,7349000.000000,5944000.000000,1405000.000000,-526000.000000,0.000000,3000.000000,0.000000,0.000000,3000.000000,8878000.000000,9491000.000000,-9407000.000000,0.000000,-11086000.000000,-11086000.000000,-11086000.000000,0.000000,0.000000,,11250000.000000,-11250000.000000,1900000.000000,0.000000,2.752000,-10.048000,-7.398000,3248000.000000,0.000000,17.460000,,,0.000000,-67871000.000000,0.000000,0.000000,9132000.000000,,,,,1047000.000000,2118000.000000,1.000000,20933387.000000,15422041.000000,15422041.000000,0.000000,140150000.000000,0.000000,0.000000,0.000000,9.088000
ARQ,2017-03-31,2017-05-04,2017-03-31,2017-Q1,115536000.000000,203902166.000000,2025-05-08,-62000.000000,127101000.000000,,123115000.000000,3986000.000000,,5.810000,-111000.000000,10487000.000000,10487000.000000,0.000000,-16036000.000000,16.244000,0.075000,0.000000,0.000000,0.000000,0.000000,0.000000,204000.000000,0.000000,0.000000,0.000000,-16036000.000000,-15832000.000000,,-15832000.000000,-16036000.000000,-16036000.000000,-0.790000,-0.790000,-0.790000,118225000.000000,,118225000.000000,193415166.000000,-4.000000,-4.263000,-12859000.000000,-0.632000,1.000000,0.000000,,0.000000,0.000000,109035000.000000,,0.000000,111577000.000000,111577000.000000,0.000000,8876000.000000,7579000.000000,1297000.000000,5437000.000000,0.000000,8000.000000,0.000000,0.000000,8000.000000,18177000.000000,18288000.000000,-12748000.000000,0.000000,-16036000.000000,-16036000.000000,-16036000.000000,0.000000,0.000000,,16217000.000000,-16217000.000000,2421000.000000,0.000000,1.725000,-4.426000,-4.310000,3117000.000000,0.000000,9.740000,,,0.000000,-83907000.000000,0.000000,0.000000,13497000.000000,,,,,1468000.000000,2720000.000000,1.000000,20934514.000000,20349391.000000,20349391.000000,0.000000,127101000.000000,0.000000,0.000000,0.000000,6.246000
ARQ,2017-06-30,2017-08-03,2017-06-30,2017-Q2,102116000.000000,252679584.000000,2025-05-08,-52000.000000,115487000.000000,,111634000.000000,3853000.000000,,5.130000,-121000.000000,34095000.000000,34095000.000000,0.000000,-14981000.000000,11.729000,0.102000,0.000000,0.000000,0.000000,0.000000,0.000000,208000.000000,0.000000,0.000000,0.000000,-14981000.000000,-14773000.000000,,-14773000.000000,-14981000.000000,-14981000.000000,-0.730000,-0.730000,-0.730000,104782000.000000,,104782000.000000,218584584.000000,-4.000000,-4.233000,-11832000.000000,-0.579000,1.000000,0.000000,,0.000000,0.000000,71874000.000000,,0.000000,76231000.000000,76231000.000000,0.000000,10705000.000000,9518000.000000,1187000.000000,23608000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35319000.000000,35440000.000000,-11711000.000000,0.000000,-14981000.000000,-14981000.000000,-14981000.000000,0.000000,0.000000,,15174000.000000,-15174000.000000,4138000.000000,0.000000,2.411000,-4.822000,-4.715000,2984000.000000,0.000000,12.070000,,,0.000000,-98888000.000000,0.000000,0.000000,12386000.000000,,,,,1521000.000000,2788000.000000,1.000000,20934514.000000,20426849.000000,20426849.000000,0.000000,115487000.000000,0.000000,0.000000,0.000000,5.654000
ARQ,2017-09-30,2017-11-02,2017-09-30,2017-Q3,90893000.000000,303414825.000000,2025-05-08,-14000.000000,104788000.000000,,100867000.000000,3921000.000000,,4.572000,-42000.000000,44104000.000000,44104000.000000,0.000000,-12717000.000000,10.113000,0.118000,0.000000,0.000000,0.000000,0.000000,0.000000,211000.000000,0.000000,0.000000,0.000000,-12717000.000000,-12506000.000000,,-12506000.000000,-12717000.000000,-12717000.000000,-0.620000,-0.620000,-0.620000,93737000.000000,,93737000.000000,259310825.000000,-5.000000,-4.801000,-10816000.000000,-0.528000,1.000000,0.000000,,0.000000,0.000000,50710000.000000,,0.000000,55596000.000000,55596000.000000,0.000000,11051000.000000,9974000.000000,1077000.000000,10009000.000000,0.000000,126000.000000,0.000000,0.000000,126000.000000,20657000.000000,20699000.000000,-10774000.000000,0.000000,-12717000.000000,-12717000.000000,-12717000.000000,0.000000,0.000000,,12944000.000000,-12944000.000000,3576000.000000,0.000000,3.237000,-5.535000,-5.401000,2863000.000000,0.000000,14.420000,,,0.000000,-111605000.000000,0.000000,0.000000,10733000.000000,,,,,1501000.000000,2211000.000000,1.000000,21041250.000000,20501382.000000,20501382.000000,0.000000,104788000.000000,0.000000,0.000000,0.000000,5.111000
ARQ,2017-12-31,2018-03-01,2017-12-31,2017-Q4,82265000.000000,164734822.000000,2025-05-08,-41000.000000,94775000.000000,,91234000.000000,3541000.000000,,4.103000,8000.000000,45106000.000000,45106000.000000,0.000000,-11929000.000000,10.172000,0.117000,0.000000,0.000000,0.000000,0.000000,0.000000,219000.000000,0.000000,0.000000,0.000000,-11929000.000000,-11710000.000000,,-11710000.000000,-11929000.000000,-11929000.000000,-0.580000,-0.580000,-0.580000,84835000.000000,,84835000.000000,119628822.000000,-2.000000,-2.182000,-10971000.000000,-0.531000,1.000000,0.000000,,0.000000,0.000000,40700000.000000,,0.000000,44949000.000000,44949000.000000,0.000000,9940000.000000,8969000.000000,971000.000000,1002000.000000,0.000000,1308000.000000,0.000000,0.000000,1308000.000000,10673000.000000,10665000.000000,-10979000.000000,0.000000,-11929000.000000,-11929000.000000,-11929000.000000,0.000000,0.000000,,12189000.000000,-12189000.000000,3454000.000000,0.000000,1.942000,-2.960000,-2.875000,2672000.000000,0.000000,7.820000,,,0.000000,-123534000.000000,0.000000,0.000000,9688000.000000,,,,,1739000.000000,2501000.000000,1.000000,21065834.000000,20675235.000000,20675235.000000,0.000000,94775000.000000,0.000000,0.000000,0.000000,4.584000
ARQ,2018-03-31,2018-05-03,2018-03-31,2018-Q1,134562000.000000,275003712.000000,2025-05-08,-39000.000000,148689000.000000,,145166000.000000,3523000.000000,,6.077000,-6000.000000,102565000.000000,102565000.000000,0.000000,-14301000.000000,13.690000,0.084000,0.000000,0.000000,0.000000,0.000000,0.000000,219000.000000,0.000000,0.000000,0.000000,-14301000.000000,-14082000.000000,,-14082000.000000,-14301000.000000,-14301000.000000,-0.630000,-0.630000,-0.630000,137228000.000000,,137228000.000000,172438712.000000,-3.000000,-3.249000,-11051000.000000,-0.489000,1.000000,0.000000,,0.000000,0.000000,35520000.000000,,0.000000,41368000.000000,41368000.000000,0.000000,11461000.000000,10604000.000000,857000.000000,57459000.000000,0.000000,64884000.000000,0.000000,0.000000,64884000.000000,3620000.000000,3626000.000000,-11045000.000000,0.000000,-14301000.000000,-14301000.000000,-14301000.000000,0.000000,0.000000,,14644000.000000,-14644000.000000,3499000.000000,0.000000,2.004000,-5.099000,-3.680000,2459000.000000,0.000000,9.420000,,,0.000000,-137835000.000000,0.000000,0.000000,12103000.000000,,,,,1801000.000000,2541000.000000,1.000000,29193600.000000,22580620.000000,22580620.000000,0.000000,148689000.000000,0.000000,0.000000,0.000000,6.585000
