dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1994-12-31,1995-03-13,1995-01-29,1995-Q2,396535000.000000,9150527584.000000,2025-05-20,21427000.000000,1358239000.000000,,677858000.000000,680381000.000000,,0.207000,,94241000.000000,94241000.000000,148204000.000000,53485000.000000,2.410000,0.311000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,86266000.000000,,,,86266000.000000,86266000.000000,0.011000,0.011000,0.011000,1036319000.000000,,1036319000.000000,9056286584.000000,,,,,1.000000,306693000.000000,0.674000,0.000000,0.000000,982675000.000000,,54953000.000000,680151000.000000,164799000.000000,515352000.000000,321920000.000000,281323000.000000,40597000.000000,,,,,,,,,,,53485000.000000,53485000.000000,53485000.000000,0.000000,0.000000,0.118000,228377000.000000,78316000.000000,69129000.000000,0.000000,8.830000,,,109064000.000000,0.000000,1.892000,,,295878000.000000,729072000.000000,454897000.000000,454897000.000000,38118000.000000,,,,,,94499000.000000,1.000000,4835863080.000000,5015916000.000000,5015916000.000000,0.091000,1358239000.000000,55161000.000000,32781000.000000,47237000.000000,0.271000
ARQ,1995-03-31,1995-06-12,1995-04-30,1995-Q3,534512000.000000,12584142782.000000,2025-05-20,41231000.000000,1539224000.000000,,851686000.000000,687538000.000000,,0.235000,-25014000.000000,107010000.000000,107010000.000000,165522000.000000,125030000.000000,2.685000,0.303000,0.000000,0.000000,0.000000,0.000000,0.000000,16399000.000000,0.000000,0.000000,0.000000,201661000.000000,218060000.000000,0.428000,218060000.000000,201661000.000000,201661000.000000,0.025000,0.025000,0.025000,1181435000.000000,,1181435000.000000,12477132782.000000,,,102367000.000000,0.020000,1.000000,344388000.000000,0.675000,0.000000,0.000000,1115040000.000000,,52864000.000000,774067000.000000,257572000.000000,516495000.000000,357789000.000000,317174000.000000,40615000.000000,12769000.000000,0.000000,-20882000.000000,0.000000,0.000000,-12428000.000000,-102184000.000000,-71797000.000000,127381000.000000,0.000000,125030000.000000,125030000.000000,125030000.000000,0.000000,0.000000,0.245000,153512000.000000,190876000.000000,66398000.000000,0.000000,10.652000,,,119554000.000000,0.000000,2.577000,,,355504000.000000,818425000.000000,509910000.000000,509910000.000000,43992000.000000,,,,,0.000000,109520000.000000,1.000000,4883884650.000000,5019696000.000000,5019696000.000000,0.102000,1539224000.000000,60428000.000000,76631000.000000,50197000.000000,0.307000
ARQ,1995-06-30,1995-10-26,1995-07-30,1995-Q4,658213000.000000,20459915652.000000,2025-05-20,56782000.000000,1757279000.000000,,995969000.000000,761310000.000000,,0.272000,-31424000.000000,204846000.000000,204846000.000000,202457000.000000,143723000.000000,2.949000,0.275000,0.000000,0.000000,0.000000,0.000000,0.000000,16378000.000000,0.000000,0.000000,0.000000,231812000.000000,248190000.000000,0.400000,248190000.000000,231812000.000000,231812000.000000,0.028000,0.028000,0.028000,1378731000.000000,,1378731000.000000,20255069652.000000,30.000000,27.462000,105287000.000000,0.021000,1.000000,418727000.000000,0.674000,0.000000,0.000000,1214677000.000000,,71160000.000000,811609000.000000,234681000.000000,576928000.000000,378548000.000000,337756000.000000,40792000.000000,97836000.000000,0.000000,15954000.000000,0.000000,0.000000,13475000.000000,-52350000.000000,-12218000.000000,136711000.000000,0.000000,143723000.000000,143723000.000000,143723000.000000,0.000000,0.000000,0.231000,196651000.000000,222076000.000000,45205000.000000,0.000000,14.840000,48.597000,49.398000,136635000.000000,0.000000,4.149000,10.339000,10.466000,384242000.000000,959657000.000000,621184000.000000,621184000.000000,52661000.000000,,,,,0.000000,143990000.000000,1.000000,4930760232.000000,5076630000.000000,5076630000.000000,0.122000,1757279000.000000,75297000.000000,88089000.000000,71583000.000000,0.346000
ARQ,1995-09-30,1995-12-12,1995-10-29,1996-Q1,813549000.000000,21409540385.000000,2025-05-20,62428000.000000,2147886000.000000,,1290310000.000000,857576000.000000,,0.317000,-38411000.000000,187521000.000000,187521000.000000,234403000.000000,168747000.000000,2.706000,0.317000,0.000000,0.000000,0.000000,0.000000,0.000000,18749000.000000,0.000000,0.000000,0.000000,269995000.000000,288744000.000000,0.407000,288744000.000000,269995000.000000,269995000.000000,0.033000,0.033000,0.033000,1630306000.000000,,1630306000.000000,21222019385.000000,27.000000,,196260000.000000,0.038000,1.000000,475788000.000000,0.670000,0.000000,0.000000,1483604000.000000,,129350000.000000,1060797000.000000,410747000.000000,650050000.000000,517580000.000000,476761000.000000,40819000.000000,-17325000.000000,0.000000,27884000.000000,0.000000,0.000000,21269000.000000,-273265000.000000,-237735000.000000,234671000.000000,0.000000,168747000.000000,168747000.000000,168747000.000000,0.000000,0.000000,0.238000,217612000.000000,258176000.000000,88952000.000000,0.000000,13.132000,43.605000,44.387000,157884000.000000,0.000000,4.306000,9.324000,9.654000,438480000.000000,1121484000.000000,710191000.000000,710191000.000000,62865000.000000,,,,,0.000000,154747000.000000,1.000000,4972538412.000000,5148738000.000000,5148738000.000000,0.138000,2147886000.000000,78304000.000000,101248000.000000,135846000.000000,0.417000
ARQ,1995-12-31,1996-03-13,1996-01-28,1996-Q2,822127000.000000,25942095786.000000,2025-05-20,104256000.000000,2365832000.000000,,1335698000.000000,1030134000.000000,,0.344000,-43638000.000000,123823000.000000,123823000.000000,277597000.000000,196350000.000000,2.601000,0.306000,0.000000,0.000000,0.000000,0.000000,0.000000,18378000.000000,0.000000,0.000000,0.000000,314160000.000000,332538000.000000,0.402000,332538000.000000,314160000.000000,314160000.000000,0.038000,0.038000,0.038000,1811328000.000000,,1811328000.000000,25818272786.000000,25.000000,23.740000,55214000.000000,0.010000,1.000000,548885000.000000,0.664000,0.000000,0.000000,1728438000.000000,,221579000.000000,1147170000.000000,356482000.000000,790688000.000000,554504000.000000,513571000.000000,40933000.000000,-63698000.000000,0.000000,-95923000.000000,0.000000,0.000000,-98732000.000000,-63818000.000000,-7862000.000000,98852000.000000,0.000000,196350000.000000,196350000.000000,196350000.000000,0.000000,0.000000,0.238000,248983000.000000,299902000.000000,117513000.000000,0.000000,14.322000,40.928000,41.107000,184601000.000000,0.000000,5.097000,9.724000,10.065000,491223000.000000,1189618000.000000,826482000.000000,826482000.000000,73262000.000000,,,,,0.000000,175721000.000000,1.000000,5089457484.000000,5267637000.000000,5267637000.000000,0.157000,2365832000.000000,90450000.000000,117810000.000000,97181000.000000,0.449000
ARQ,1996-03-31,1996-06-12,1996-04-28,1996-Q3,981128000.000000,32491232979.000000,2025-05-20,164304000.000000,2893677000.000000,,1638199000.000000,1255478000.000000,,0.414000,-69540000.000000,188583000.000000,188583000.000000,338782000.000000,229680000.000000,2.493000,0.318000,0.000000,0.000000,0.000000,0.000000,0.000000,28203000.000000,0.000000,0.000000,0.000000,367488000.000000,395691000.000000,0.402000,395691000.000000,367488000.000000,367488000.000000,0.043000,0.043000,0.043000,2195353000.000000,,2195353000.000000,32302649979.000000,27.000000,25.532000,220191000.000000,0.042000,1.000000,646365000.000000,0.656000,0.000000,0.000000,2048023000.000000,,313855000.000000,1449850000.000000,479503000.000000,970347000.000000,698324000.000000,657071000.000000,41253000.000000,64760000.000000,0.000000,19616000.000000,0.000000,0.000000,19158000.000000,-244129000.000000,-205752000.000000,289731000.000000,0.000000,229680000.000000,229680000.000000,229680000.000000,0.000000,0.000000,0.233000,293980000.000000,352385000.000000,164368000.000000,0.000000,14.800000,43.996000,44.503000,229604000.000000,0.000000,6.319000,10.338000,10.651000,529687000.000000,1420311000.000000,985147000.000000,985147000.000000,89277000.000000,,,,,0.000000,204703000.000000,1.000000,5141469834.000000,5297544000.000000,5297544000.000000,0.186000,2893677000.000000,65279000.000000,137808000.000000,128315000.000000,0.546000
ARQ,1996-06-30,1996-10-25,1996-07-28,1996-Q4,1390287000.000000,41081486368.000000,2025-05-20,154186000.000000,3630232000.000000,,2159640000.000000,1470592000.000000,,0.470000,-131251000.000000,279695000.000000,279695000.000000,559080000.000000,318547000.000000,2.807000,0.287000,0.000000,0.000000,0.000000,0.000000,0.000000,67264000.000000,0.000000,0.000000,0.000000,513182000.000000,580446000.000000,0.369000,580446000.000000,513182000.000000,513182000.000000,0.039000,0.039000,0.039000,2819622000.000000,,2819622000.000000,40801791368.000000,28.000000,25.542000,308221000.000000,0.051000,1.000000,1015107000.000000,0.645000,0.000000,0.000000,2581184000.000000,,301188000.000000,1819247000.000000,758489000.000000,1060758000.000000,810610000.000000,769353000.000000,41257000.000000,11570000.000000,0.000000,49356000.000000,0.000000,0.000000,48727000.000000,-476629000.000000,-331989000.000000,439472000.000000,0.000000,318547000.000000,318547000.000000,318547000.000000,0.000000,0.000000,0.202000,524764000.000000,490343000.000000,153683000.000000,0.000000,14.570000,44.980000,45.961000,331315000.000000,0.000000,6.986000,10.030000,10.232000,622859000.000000,1777369000.000000,1574187000.000000,1574187000.000000,173887000.000000,,,,,0.000000,350877000.000000,1.000000,5880451329.000000,5999274000.000000,5999274000.000000,0.262000,3630232000.000000,101827000.000000,194635000.000000,169894000.000000,0.605000
ARQ,1996-09-30,1996-12-10,1996-10-26,1997-Q1,1338714000.000000,44290112754.000000,2025-05-20,178210000.000000,4302432000.000000,,2514753000.000000,1787679000.000000,,0.502000,-88058000.000000,553825000.000000,553825000.000000,501480000.000000,180942000.000000,2.138000,0.395000,0.000000,0.000000,0.000000,0.000000,0.000000,43745000.000000,0.000000,0.000000,0.000000,389746000.000000,433491000.000000,0.302000,433491000.000000,389746000.000000,389746000.000000,0.029000,0.029000,0.029000,3085217000.000000,,3085217000.000000,43736287754.000000,28.000000,25.105000,440611000.000000,0.072000,1.000000,933346000.000000,0.650000,0.000000,0.000000,2572568000.000000,,243538000.000000,2045144000.000000,723420000.000000,1321724000.000000,1217215000.000000,1176039000.000000,41176000.000000,274130000.000000,0.000000,42827000.000000,0.000000,0.000000,41264000.000000,-295803000.000000,-189384000.000000,528669000.000000,0.000000,180942000.000000,180942000.000000,180942000.000000,0.000000,0.000000,0.126000,620186000.000000,313160000.000000,196368000.000000,0.000000,14.356000,47.854000,50.239000,379388000.000000,0.000000,7.486000,9.188000,9.544000,752643000.000000,1932543000.000000,1434826000.000000,1434826000.000000,144711000.000000,,,,,0.000000,300886000.000000,1.000000,5916743577.000000,6146262000.000000,6146262000.000000,0.233000,4302432000.000000,148597000.000000,208804000.000000,323683000.000000,0.700000
ARQ,1996-12-31,1997-03-10,1997-01-25,1997-Q2,1671260000.000000,35425451238.000000,2025-05-20,129890000.000000,4570044000.000000,,2619019000.000000,1951025000.000000,,0.576000,-81314000.000000,332807000.000000,332807000.000000,552519000.000000,338459000.000000,2.763000,0.276000,0.000000,0.000000,0.000000,0.000000,0.000000,54796000.000000,0.000000,0.000000,0.000000,562914000.000000,617710000.000000,0.388000,617710000.000000,562914000.000000,562914000.000000,0.054000,0.054000,0.054000,3581093000.000000,,3581093000.000000,35092644238.000000,19.000000,17.310000,-52712000.000000,-0.008000,1.000000,1039858000.000000,0.653000,0.000000,0.000000,3289478000.000000,,203721000.000000,2183317000.000000,774673000.000000,1408644000.000000,988951000.000000,947759000.000000,41192000.000000,-221018000.000000,-25189000.000000,-52621000.000000,0.000000,0.000000,57081000.000000,-306701000.000000,-210559000.000000,28602000.000000,0.000000,338459000.000000,338459000.000000,338459000.000000,0.000000,0.000000,0.213000,551307000.000000,488551000.000000,253406000.000000,0.000000,9.892000,33.181000,35.730000,410065000.000000,0.000000,5.931000,6.341000,6.596000,1024942000.000000,2271002000.000000,1592377000.000000,1592377000.000000,167652000.000000,,,,,0.000000,340452000.000000,1.000000,5972818680.000000,6212736000.000000,6212736000.000000,0.256000,4570044000.000000,191268000.000000,224455000.000000,172744000.000000,0.736000
ARQ,1996-12-31,1997-03-25,1997-01-25,1997-Q2,1671260000.000000,31775395378.000000,2025-05-20,129890000.000000,4570044000.000000,,2619019000.000000,1951025000.000000,,0.576000,-81314000.000000,332807000.000000,332807000.000000,552519000.000000,338459000.000000,2.763000,0.276000,0.000000,0.000000,0.000000,0.000000,0.000000,54796000.000000,0.000000,0.000000,0.000000,562914000.000000,617710000.000000,0.388000,617710000.000000,562914000.000000,562914000.000000,0.054000,0.054000,0.054000,3581093000.000000,,3581093000.000000,31442588378.000000,17.000000,15.509000,-52712000.000000,-0.008000,1.000000,1039858000.000000,0.653000,0.000000,0.000000,3289478000.000000,,203721000.000000,2183317000.000000,774673000.000000,1408644000.000000,988951000.000000,947759000.000000,41192000.000000,-221018000.000000,-25189000.000000,60113000.000000,0.000000,0.000000,57081000.000000,-306701000.000000,-210559000.000000,28602000.000000,0.000000,338459000.000000,338459000.000000,338459000.000000,0.000000,0.000000,0.213000,551307000.000000,488551000.000000,253406000.000000,0.000000,8.873000,29.763000,32.048000,410065000.000000,0.000000,5.320000,5.688000,5.916000,1024942000.000000,2271002000.000000,1592377000.000000,1592377000.000000,167652000.000000,,,,,0.000000,340452000.000000,1.000000,5972818680.000000,6212736000.000000,6212736000.000000,0.256000,4570044000.000000,191268000.000000,224455000.000000,172744000.000000,0.736000
