dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-06,1996-12-31,1996-Q4,175285000.000000,968275746.000000,2025-04-25,0.000000,742463000.000000,,345933000.000000,396530000.000000,,4.967000,,8312000.000000,8312000.000000,,,2.027000,1.414000,191167000.000000,0.000000,191167000.000000,191167000.000000,0.000000,,0.000000,0.015000,0.061000,,,,,,,,,,307503000.000000,,307503000.000000,1151130746.000000,11.000000,8.797000,,,1.000000,,,108648000.000000,,646022000.000000,,137092000.000000,11976000.000000,0.000000,11976000.000000,434960000.000000,170648000.000000,264312000.000000,,,,,,,,,,,,,,,,,,,74338000.000000,,3.149000,17.390000,17.711000,264238000.000000,,15.940000,0.952000,0.970000,168317000.000000,348558000.000000,,,,,,,,,,1.000000,60745028.000000,61906000.000000,,,633815000.000000,26850000.000000,,0.000000,10.238000
ARQ,1997-03-31,1997-05-13,1997-03-31,1997-Q1,203286000.000000,892563062.000000,2025-04-25,0.000000,780245000.000000,,383086000.000000,397159000.000000,,4.993000,-4699000.000000,12950000.000000,12950000.000000,224227000.000000,13421000.000000,2.131000,1.510000,216457000.000000,0.000000,216457000.000000,216457000.000000,0.000000,9876000.000000,0.000000,0.016000,0.000000,26205000.000000,36081000.000000,0.125000,36081000.000000,26205000.000000,22224000.000000,0.215000,,0.215000,310857000.000000,,310857000.000000,1096070062.000000,,,-4572000.000000,-0.073000,1.000000,63592000.000000,0.221000,107168000.000000,3981000.000000,696784000.000000,,149532000.000000,12735000.000000,0.000000,12735000.000000,469388000.000000,179800000.000000,289588000.000000,4638000.000000,-2104000.000000,-10260000.000000,25295000.000000,-3721000.000000,11314000.000000,-6803000.000000,0.000000,127000.000000,0.000000,13421000.000000,13421000.000000,13421000.000000,0.000000,0.000000,0.047000,38319000.000000,25273000.000000,81386000.000000,0.000000,2.871000,,,264327000.000000,0.000000,14.750000,,,186615000.000000,358258000.000000,287819000.000000,287819000.000000,3855000.000000,,,,,0.000000,34464000.000000,1.000000,60512750.000000,62258000.000000,,4.623000,673077000.000000,27483000.000000,8803000.000000,0.000000,10.811000
ARQ,1997-06-30,1997-08-12,1997-06-30,1997-Q2,207151000.000000,1270392907.000000,2025-04-25,0.000000,814631000.000000,,409281000.000000,405350000.000000,,5.198000,-11301000.000000,17999000.000000,17999000.000000,260660000.000000,20980000.000000,2.025000,1.535000,218938000.000000,0.000000,218938000.000000,218938000.000000,0.000000,9817000.000000,0.000000,0.012000,0.061000,39043000.000000,48860000.000000,0.145000,48860000.000000,39043000.000000,34754000.000000,0.340000,,0.340000,321339000.000000,,321339000.000000,1471331907.000000,,,14616000.000000,0.236000,1.000000,76712000.000000,0.227000,108540000.000000,4289000.000000,704900000.000000,,140899000.000000,13867000.000000,0.000000,13867000.000000,493292000.000000,202130000.000000,291162000.000000,5049000.000000,-1978000.000000,-6364000.000000,2481000.000000,-3706000.000000,-7589000.000000,-13279000.000000,0.000000,25917000.000000,0.000000,20980000.000000,20980000.000000,20980000.000000,0.000000,0.000000,0.062000,38925000.000000,37787000.000000,89437000.000000,0.179000,3.953000,,,270089000.000000,0.000000,21.065000,,,211007000.000000,375532000.000000,337372000.000000,337372000.000000,3909000.000000,,,,,0.000000,35016000.000000,1.000000,60308232.000000,61814000.000000,,5.458000,706091000.000000,28067000.000000,13774000.000000,0.000000,11.423000
ARQ,1997-09-30,1997-11-12,1997-09-30,1997-Q3,203382000.000000,1296704087.000000,2025-04-25,0.000000,841308000.000000,,417954000.000000,423354000.000000,,5.420000,-10882000.000000,16274000.000000,16274000.000000,240618000.000000,19518000.000000,1.948000,1.500000,218744000.000000,0.000000,218744000.000000,218744000.000000,0.000000,10197000.000000,0.000000,0.012000,0.070000,36270000.000000,46467000.000000,0.147000,46467000.000000,36270000.000000,32309000.000000,0.315000,,0.315000,336457000.000000,,336457000.000000,1499174087.000000,,,32162000.000000,0.518000,1.000000,75089000.000000,0.238000,114305000.000000,3961000.000000,714901000.000000,,162009000.000000,14770000.000000,0.000000,14770000.000000,504851000.000000,214572000.000000,290279000.000000,-1725000.000000,-26521000.000000,-1245000.000000,893000.000000,-4220000.000000,-4572000.000000,-40197000.000000,0.000000,43044000.000000,0.000000,19518000.000000,19518000.000000,19518000.000000,0.000000,0.000000,0.062000,40273000.000000,34816000.000000,94424000.000000,0.222000,3.854000,,,280929000.000000,0.000000,21.500000,,,203004000.000000,390829000.000000,315707000.000000,315707000.000000,3942000.000000,,,,,0.000000,36331000.000000,1.000000,60311818.000000,62072000.000000,,5.086000,727003000.000000,28995000.000000,12791000.000000,0.000000,11.712000
ARQ,1997-12-31,1998-03-09,1997-12-31,1997-Q4,191450000.000000,1411295358.000000,2025-04-25,0.000000,861216000.000000,,417533000.000000,443683000.000000,,6.259000,-16834000.000000,1732000.000000,1732000.000000,248584000.000000,16747000.000000,1.847000,1.469000,233974000.000000,24332000.000000,209642000.000000,233974000.000000,0.000000,8865000.000000,0.000000,0.012000,0.140000,31767000.000000,40632000.000000,0.127000,40632000.000000,31767000.000000,27496000.000000,0.300000,,0.300000,348836000.000000,,348836000.000000,1643537358.000000,12.000000,9.553000,-2936000.000000,-0.053000,1.000000,71069000.000000,0.222000,121772000.000000,4271000.000000,745603000.000000,,180331000.000000,16467000.000000,0.000000,16467000.000000,512380000.000000,226083000.000000,286297000.000000,-14542000.000000,-14777000.000000,-241000.000000,8929000.000000,-4221000.000000,4467000.000000,-32907000.000000,0.000000,13898000.000000,0.000000,16747000.000000,16747000.000000,16747000.000000,0.000000,0.000000,0.052000,41554000.000000,29515000.000000,75936000.000000,0.467000,4.046000,19.971000,19.979000,294165000.000000,0.000000,23.375000,1.120000,1.121000,196075000.000000,403356000.000000,319653000.000000,319653000.000000,4119000.000000,,,,,0.000000,37435000.000000,1.000000,60376272.000000,55736000.000000,,5.735000,739444000.000000,28462000.000000,10749000.000000,0.000000,13.267000
ARQ,1997-12-31,1998-03-13,1997-12-31,1997-Q4,191450000.000000,1418842392.000000,2025-04-25,0.000000,861216000.000000,,417533000.000000,443683000.000000,,6.259000,-16834000.000000,1732000.000000,1732000.000000,248584000.000000,16747000.000000,1.847000,1.469000,233974000.000000,24332000.000000,209642000.000000,233974000.000000,0.000000,8865000.000000,0.000000,0.012000,0.070000,31767000.000000,40632000.000000,0.127000,40632000.000000,31767000.000000,27496000.000000,0.300000,,0.300000,348836000.000000,,348836000.000000,1651084392.000000,12.000000,9.597000,-2936000.000000,-0.053000,1.000000,71069000.000000,0.222000,121772000.000000,4271000.000000,745603000.000000,,180331000.000000,16467000.000000,0.000000,16467000.000000,512380000.000000,226083000.000000,286297000.000000,-14542000.000000,-14777000.000000,-241000.000000,8929000.000000,-4221000.000000,4467000.000000,-32907000.000000,0.000000,13898000.000000,0.000000,16747000.000000,16747000.000000,16747000.000000,0.000000,0.000000,0.052000,41554000.000000,29515000.000000,75936000.000000,0.233000,4.067000,20.078000,20.085000,294165000.000000,0.000000,23.500000,1.126000,1.127000,196075000.000000,403356000.000000,319653000.000000,319653000.000000,4119000.000000,,,,,0.000000,37435000.000000,1.000000,60376272.000000,55736000.000000,,5.735000,739444000.000000,28462000.000000,10749000.000000,0.000000,13.267000
ARQ,1998-03-31,1998-05-06,1998-03-31,1998-Q1,152649000.000000,1544990422.000000,2025-04-25,0.000000,957436000.000000,,470221000.000000,487215000.000000,,6.014000,-25324000.000000,9709000.000000,9709000.000000,284535000.000000,18979000.000000,1.481000,1.638000,292121000.000000,92421000.000000,199700000.000000,292121000.000000,0.000000,11866000.000000,0.000000,0.011000,0.070000,36400000.000000,48266000.000000,0.133000,48266000.000000,36400000.000000,31371000.000000,0.315000,0.310000,0.315000,362971000.000000,,362971000.000000,1827402422.000000,13.000000,9.919000,-23562000.000000,-0.390000,1.000000,78555000.000000,0.216000,129356000.000000,5029000.000000,792920000.000000,,189115000.000000,22077000.000000,0.000000,22077000.000000,594465000.000000,317572000.000000,276893000.000000,7977000.000000,-17240000.000000,-2396000.000000,58147000.000000,-4225000.000000,51526000.000000,-45311000.000000,0.000000,1762000.000000,0.000000,18979000.000000,18979000.000000,18979000.000000,0.000000,0.000000,0.052000,43993000.000000,34562000.000000,101961000.000000,0.222000,4.257000,20.269000,20.154000,315549000.000000,0.000000,25.595000,1.157000,1.156000,239493000.000000,418111000.000000,363090000.000000,363090000.000000,3886000.000000,,,,,0.000000,40107000.000000,1.000000,60362978.000000,60352000.000000,61470000.000000,6.016000,828080000.000000,28520000.000000,12392000.000000,0.000000,13.721000
ARQ,1998-06-30,1998-08-11,1998-06-30,1998-Q2,250659000.000000,1292063636.000000,2025-04-25,0.000000,996617000.000000,,494175000.000000,502442000.000000,,6.226000,-22081000.000000,26757000.000000,26757000.000000,307217000.000000,24551000.000000,2.029000,1.652000,309939000.000000,11322000.000000,298617000.000000,309939000.000000,0.000000,11876000.000000,0.000000,0.013000,0.070000,46364000.000000,58240000.000000,0.147000,58240000.000000,46364000.000000,40600000.000000,0.405000,0.400000,0.405000,375807000.000000,,375807000.000000,1575245636.000000,10.000000,8.136000,13280000.000000,0.220000,1.000000,88363000.000000,0.223000,128492000.000000,5764000.000000,907791000.000000,,190056000.000000,23668000.000000,0.000000,23668000.000000,620810000.000000,243516000.000000,377294000.000000,17048000.000000,-234000.000000,-11305000.000000,17790000.000000,-4225000.000000,2260000.000000,-20573000.000000,0.000000,35361000.000000,0.000000,24551000.000000,24551000.000000,24551000.000000,0.000000,0.000000,0.062000,44644000.000000,43719000.000000,108459000.000000,0.173000,3.438000,16.192000,16.034000,327539000.000000,0.000000,21.405000,0.927000,0.927000,248075000.000000,438436000.000000,395580000.000000,395580000.000000,4193000.000000,,,,,0.000000,40451000.000000,1.000000,60362702.000000,60362000.000000,61450000.000000,6.553000,868125000.000000,28518000.000000,16049000.000000,0.000000,14.382000
ARQ,1998-09-30,1998-11-10,1998-09-30,1998-Q3,255737000.000000,1309141465.000000,2025-04-25,0.000000,1007605000.000000,,491782000.000000,515823000.000000,,6.515000,-20460000.000000,12384000.000000,12384000.000000,296037000.000000,22320000.000000,2.083000,1.562000,309797000.000000,11343000.000000,298454000.000000,309797000.000000,0.000000,11591000.000000,0.000000,0.013000,0.080000,42744000.000000,54335000.000000,0.144000,54335000.000000,42744000.000000,36871000.000000,0.370000,0.365000,0.370000,393301000.000000,,393301000.000000,1606554465.000000,10.000000,7.974000,-8886000.000000,-0.147000,1.000000,81948000.000000,0.217000,130762000.000000,5873000.000000,938211000.000000,,196530000.000000,22221000.000000,0.000000,22221000.000000,614304000.000000,236045000.000000,378259000.000000,-14373000.000000,-2500000.000000,-49000.000000,-114000.000000,-4828000.000000,-4991000.000000,-20956000.000000,0.000000,11574000.000000,0.000000,22320000.000000,22320000.000000,22320000.000000,0.000000,0.000000,0.059000,43437000.000000,38511000.000000,95274000.000000,0.216000,3.329000,15.850000,15.604000,338870000.000000,0.000000,21.690000,0.899000,0.899000,254604000.000000,455928000.000000,377985000.000000,377985000.000000,4146000.000000,,,,,0.000000,39291000.000000,1.000000,60356914.000000,60364000.000000,61232000.000000,6.262000,876843000.000000,28504000.000000,14551000.000000,0.000000,14.526000
ARQ,1998-12-31,1999-03-09,1998-12-31,1998-Q4,223188000.000000,1269828034.000000,2025-04-25,0.000000,1022852000.000000,,478525000.000000,544327000.000000,,6.742000,-16761000.000000,3883000.000000,3883000.000000,301590000.000000,19016000.000000,1.874000,1.514000,304762000.000000,31241000.000000,273521000.000000,304762000.000000,0.000000,9888000.000000,0.000000,0.015000,0.160000,37476000.000000,47364000.000000,0.124000,47364000.000000,37476000.000000,31427000.000000,0.315000,0.310000,0.315000,406905000.000000,,406905000.000000,1570707034.000000,10.000000,7.544000,31346000.000000,0.519000,1.000000,79249000.000000,0.208000,139744000.000000,6049000.000000,928650000.000000,,193650000.000000,34892000.000000,0.000000,34892000.000000,615947000.000000,255337000.000000,360610000.000000,-8501000.000000,-11603000.000000,-622000.000000,-5035000.000000,-4827000.000000,-10484000.000000,-46124000.000000,0.000000,48107000.000000,0.000000,19016000.000000,19016000.000000,19016000.000000,0.000000,0.000000,0.050000,44471000.000000,34778000.000000,101859000.000000,0.508000,3.121000,14.963000,14.968000,354769000.000000,0.000000,21.030000,0.837000,0.836000,240270000.000000,470117000.000000,380839000.000000,380839000.000000,3954000.000000,,,,,0.000000,40517000.000000,1.000000,60381742.000000,60352000.000000,61252000.000000,6.310000,883108000.000000,26040000.000000,12411000.000000,0.000000,14.633000
