dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-31,1996-12-31,1996-Q4,790800000.000000,4943229216.000000,2025-05-02,0.000000,2831800000.000000,,1972700000.000000,859100000.000000,,2.945000,,423900000.000000,423900000.000000,,,1.669000,1.274000,303700000.000000,0.000000,303700000.000000,303700000.000000,0.000000,,0.000000,0.138000,0.028000,,,,,,,,,,1245100000.000000,,1245100000.000000,4823029216.000000,18.000000,12.176000,,,1.000000,,,120700000.000000,,1409000000.000000,,1031400000.000000,179400000.000000,179400000.000000,0.000000,1586700000.000000,1181900000.000000,404800000.000000,,,,,,,,,,,,,,,,,,,507700000.000000,,3.970000,81.170000,81.215000,606500000.000000,,11.533000,0.894000,0.882000,160800000.000000,1314000000.000000,,,,,,,,,,1.000000,428634660.000000,422800000.000000,,,2711100000.000000,0.000000,,36700000.000000,6.412000
ARQ,1996-12-31,1997-04-16,1996-12-31,1996-Q4,790800000.000000,5211125879.000000,2025-05-02,0.000000,2831800000.000000,,1972700000.000000,859100000.000000,,2.945000,,423900000.000000,423900000.000000,,,1.669000,1.274000,303700000.000000,0.000000,303700000.000000,303700000.000000,0.000000,,0.000000,0.130000,0.028000,,,,,,,,,,1245100000.000000,,1245100000.000000,5090925879.000000,19.000000,12.853000,,,1.000000,,,120700000.000000,,1409000000.000000,,1031400000.000000,179400000.000000,179400000.000000,0.000000,1586700000.000000,1181900000.000000,404800000.000000,,,,,,,,,,,,,,,,,,,507700000.000000,,4.185000,85.569000,85.616000,606500000.000000,,12.158000,0.943000,0.930000,160800000.000000,1314000000.000000,,,,,,,,,,1.000000,428634660.000000,422800000.000000,,,2711100000.000000,0.000000,,36700000.000000,6.412000
ARQ,1997-03-31,1997-05-12,1997-03-29,1997-Q1,856900000.000000,5056936001.000000,2025-05-02,0.000000,2758600000.000000,,1901600000.000000,857000000.000000,,3.069000,-17200000.000000,334600000.000000,334600000.000000,1083700000.000000,58500000.000000,1.820000,1.102000,294000000.000000,0.000000,294000000.000000,294000000.000000,0.000000,0.000000,0.000000,0.135000,0.028000,94700000.000000,94700000.000000,0.063000,94700000.000000,94700000.000000,99100000.000000,0.128000,,0.128000,1312500000.000000,,1312500000.000000,5016336001.000000,,,-30300000.000000,-0.071000,1.000000,431300000.000000,0.285000,119800000.000000,-4400000.000000,1553500000.000000,,1053800000.000000,179500000.000000,179500000.000000,0.000000,1446100000.000000,1044700000.000000,401400000.000000,-89300000.000000,0.000000,20700000.000000,-68000000.000000,-11700000.000000,-59000000.000000,-17200000.000000,0.000000,-13100000.000000,0.000000,58500000.000000,54900000.000000,54900000.000000,-100000.000000,0.000000,0.036000,336700000.000000,94600000.000000,421500000.000000,0.219000,3.853000,,,605900000.000000,3600000.000000,11.750000,,,163800000.000000,1360700000.000000,1515000000.000000,1515000000.000000,0.000000,,,,,0.000000,336700000.000000,1.000000,430377532.000000,427600000.000000,,3.543000,2638800000.000000,0.000000,40600000.000000,34200000.000000,6.171000
ARQ,1997-06-30,1997-08-08,1997-06-28,1997-Q2,826200000.000000,9588293815.000000,2025-05-02,0.000000,5310900000.000000,,3180200000.000000,2130700000.000000,,3.196000,-69900000.000000,74900000.000000,74900000.000000,2354200000.000000,-230500000.000000,1.351000,1.474000,591700000.000000,0.000000,591700000.000000,591700000.000000,0.000000,0.000000,0.000000,0.114000,0.028000,-305700000.000000,-305700000.000000,-0.097000,-305700000.000000,-305700000.000000,-322200000.000000,-0.343000,,-0.343000,2146700000.000000,,2146700000.000000,10105093815.000000,,,-90100000.000000,-0.134000,1.000000,806400000.000000,0.255000,827000000.000000,16500000.000000,2646700000.000000,,2346800000.000000,4100000.000000,4100000.000000,0.000000,3164200000.000000,2354000000.000000,810200000.000000,-307600000.000000,0.000000,111500000.000000,-564200000.000000,-11900000.000000,-464600000.000000,177200000.000000,247100000.000000,-20200000.000000,0.000000,-230500000.000000,-233900000.000000,-233900000.000000,-17400000.000000,0.000000,-0.074000,1112400000.000000,-306000000.000000,918200000.000000,-0.082000,4.467000,,,1022600000.000000,3400000.000000,13.938000,,,379500000.000000,1433700000.000000,3160600000.000000,3160600000.000000,0.000000,,,,,0.000000,1112400000.000000,1.000000,687949332.000000,671600000.000000,,4.706000,4483900000.000000,0.000000,-91700000.000000,78300000.000000,6.676000
ARQ,1997-09-30,1997-11-06,1997-09-27,1997-Q3,711100000.000000,11172779974.000000,2025-05-02,0.000000,5357400000.000000,,3327300000.000000,2030100000.000000,,3.211000,-24200000.000000,151900000.000000,151900000.000000,2240800000.000000,74700000.000000,1.272000,1.396000,313200000.000000,0.000000,313200000.000000,313200000.000000,0.000000,0.000000,0.000000,0.007000,0.028000,141600000.000000,141600000.000000,0.046000,141600000.000000,141600000.000000,132200000.000000,0.102000,,0.102000,2236100000.000000,,2236100000.000000,11334079974.000000,,,205100000.000000,0.295000,1.000000,839500000.000000,0.273000,819600000.000000,9400000.000000,2082900000.000000,,2499800000.000000,0.000000,0.000000,0.000000,3121300000.000000,2616200000.000000,505100000.000000,77000000.000000,0.000000,20600000.000000,-192500000.000000,-18800000.000000,-190700000.000000,38400000.000000,62600000.000000,229300000.000000,0.000000,74700000.000000,71300000.000000,71300000.000000,0.000000,0.000000,0.023000,697900000.000000,141600000.000000,1167200000.000000,0.275000,4.997000,,,955700000.000000,3400000.000000,16.220000,,,346800000.000000,1472300000.000000,3080300000.000000,3080300000.000000,0.000000,,,,,0.000000,697900000.000000,1.000000,688827372.000000,696400000.000000,,4.423000,4537800000.000000,0.000000,57500000.000000,0.000000,6.516000
ARQ,1997-12-31,1998-03-31,1997-12-31,1997-Q4,830000000.000000,13028088985.000000,2025-05-02,0.000000,5636900000.000000,,3685000000.000000,1951900000.000000,,3.598000,-200800000.000000,168500000.000000,168500000.000000,2442700000.000000,110800000.000000,1.291000,1.387000,739000000.000000,466400000.000000,272600000.000000,739000000.000000,0.000000,226200000.000000,0.000000,0.006000,0.028000,203100000.000000,429300000.000000,0.129000,429300000.000000,203100000.000000,197100000.000000,0.158000,,0.158000,2361400000.000000,,2361400000.000000,13598588985.000000,68.000000,31.892000,-672000000.000000,-1.024000,1.000000,893700000.000000,0.268000,819200000.000000,6000000.000000,2533200000.000000,,2709500000.000000,0.000000,0.000000,0.000000,3275500000.000000,2855000000.000000,420500000.000000,16600000.000000,192700000.000000,6700000.000000,523700000.000000,-32200000.000000,495900000.000000,-8100000.000000,0.000000,-471200000.000000,0.000000,110800000.000000,107400000.000000,107400000.000000,0.000000,0.000000,0.032000,690600000.000000,203100000.000000,1181900000.000000,0.177000,5.517000,542.837000,539.286000,958200000.000000,3400000.000000,18.875000,1.023000,1.006000,452400000.000000,1551000000.000000,3336400000.000000,3336400000.000000,0.000000,,,,,0.000000,690600000.000000,1.000000,690229880.000000,656400000.000000,,5.083000,4817700000.000000,0.000000,86300000.000000,0.000000,7.340000
ARQ,1998-03-31,1998-05-12,1998-03-28,1998-Q1,930800000.000000,12828792638.000000,2025-05-02,0.000000,5794600000.000000,,3810700000.000000,1983900000.000000,,3.594000,-67000000.000000,112200000.000000,112200000.000000,2401800000.000000,121300000.000000,1.323000,1.336000,935700000.000000,663100000.000000,272600000.000000,935700000.000000,0.000000,0.000000,0.000000,0.007000,0.028000,221600000.000000,221600000.000000,0.066000,221600000.000000,221600000.000000,210300000.000000,0.170000,0.168000,0.170000,2480100000.000000,,2480100000.000000,13652292638.000000,52.000000,28.045000,-187300000.000000,-0.271000,1.000000,931800000.000000,0.280000,810000000.000000,11300000.000000,2928200000.000000,,2973100000.000000,0.000000,0.000000,0.000000,3314500000.000000,2879900000.000000,434600000.000000,-56300000.000000,0.000000,11300000.000000,138700000.000000,-19000000.000000,131000000.000000,-67000000.000000,0.000000,-120300000.000000,0.000000,121300000.000000,117900000.000000,117900000.000000,0.000000,0.000000,0.035000,710200000.000000,221600000.000000,1171600000.000000,0.165000,5.173000,204.606000,191.810000,983000000.000000,3400000.000000,16.688000,0.994000,0.892000,436000000.000000,1653300000.000000,3333600000.000000,3333600000.000000,0.000000,,,,,0.000000,710200000.000000,1.000000,768766600.000000,690000000.000000,722800000.000000,4.831000,4984600000.000000,0.000000,89000000.000000,0.000000,7.224000
ARQ,1998-06-30,1998-08-11,1998-06-27,1998-Q2,1106900000.000000,16426139801.000000,2025-05-02,0.000000,6062600000.000000,,3848900000.000000,2213700000.000000,,3.702000,-120500000.000000,62000000.000000,62000000.000000,2735400000.000000,16200000.000000,1.404000,1.122000,962300000.000000,673900000.000000,288400000.000000,962300000.000000,0.000000,0.000000,0.000000,0.005000,0.029000,74600000.000000,74600000.000000,0.020000,74600000.000000,74600000.000000,55700000.000000,0.015000,0.015000,0.015000,2856800000.000000,,2856800000.000000,17326439801.000000,27.000000,19.982000,-26700000.000000,-0.035000,1.000000,1020500000.000000,0.272000,811400000.000000,18900000.000000,3409500000.000000,,2938000000.000000,0.000000,0.000000,0.000000,3205800000.000000,2742000000.000000,463800000.000000,-74200000.000000,-16600000.000000,78500000.000000,-84800000.000000,-24600000.000000,-30900000.000000,-137100000.000000,0.000000,93800000.000000,0.000000,16200000.000000,12800000.000000,12800000.000000,-17400000.000000,0.000000,0.003000,945900000.000000,74600000.000000,865700000.000000,1.933000,5.750000,53.090000,47.404000,1171900000.000000,3400000.000000,21.095000,1.216000,1.205000,499300000.000000,1831800000.000000,3755900000.000000,3755900000.000000,0.000000,,,,,0.000000,945900000.000000,1.000000,778674558.000000,771600000.000000,789200000.000000,4.868000,5251200000.000000,0.000000,39500000.000000,0.000000,6.806000
ARQ,1998-09-30,1998-11-06,1998-09-26,1998-Q3,1062200000.000000,17840424231.000000,2025-05-02,0.000000,6510000000.000000,,4157600000.000000,2352400000.000000,,3.816000,-138300000.000000,125400000.000000,125400000.000000,2729800000.000000,102400000.000000,1.343000,1.190000,989400000.000000,701200000.000000,288200000.000000,989400000.000000,0.000000,0.000000,0.000000,0.005000,0.029000,191700000.000000,191700000.000000,0.051000,191700000.000000,191700000.000000,176600000.000000,0.125000,0.125000,0.125000,2972300000.000000,,2972300000.000000,18704424231.000000,27.000000,20.393000,-66400000.000000,-0.085000,1.000000,995300000.000000,0.267000,820100000.000000,15100000.000000,3458500000.000000,,3147600000.000000,0.000000,0.000000,0.000000,3537700000.000000,3095400000.000000,442300000.000000,63400000.000000,-40500000.000000,22600000.000000,170100000.000000,-22400000.000000,170300000.000000,-178800000.000000,0.000000,71900000.000000,0.000000,102400000.000000,99000000.000000,99000000.000000,0.000000,0.000000,0.027000,803600000.000000,191700000.000000,1168200000.000000,0.232000,6.002000,52.923000,48.878000,1267800000.000000,3400000.000000,22.875000,1.261000,1.259000,566700000.000000,1911800000.000000,3725100000.000000,3725100000.000000,0.000000,,,,,0.000000,803600000.000000,1.000000,779909256.000000,779000000.000000,792200000.000000,4.782000,5689900000.000000,0.000000,74200000.000000,0.000000,7.304000
ARQ,1998-12-31,1999-03-31,1998-12-31,1998-Q4,1165900000.000000,18553560040.000000,2025-05-02,0.000000,6736200000.000000,,4349200000.000000,2387000000.000000,,3.987000,-176500000.000000,180800000.000000,180800000.000000,3084600000.000000,145800000.000000,1.366000,1.166000,1061400000.000000,785700000.000000,275700000.000000,1061400000.000000,0.000000,249700000.000000,0.000000,0.005000,0.029000,267100000.000000,516800000.000000,0.123000,516800000.000000,267100000.000000,251400000.000000,0.185000,0.185000,0.185000,3110600000.000000,,3110600000.000000,19434160040.000000,25.000000,19.018000,-900000.000000,-0.001000,1.000000,1106500000.000000,0.264000,724600000.000000,15700000.000000,3708900000.000000,,3190200000.000000,0.000000,0.000000,0.000000,3625600000.000000,3183300000.000000,442300000.000000,55400000.000000,45400000.000000,8700000.000000,38700000.000000,-36500000.000000,10900000.000000,-131100000.000000,0.000000,175600000.000000,0.000000,145800000.000000,142400000.000000,142400000.000000,0.000000,0.000000,0.034000,839400000.000000,267100000.000000,1286300000.000000,0.157000,5.965000,48.468000,47.980000,1351200000.000000,3400000.000000,23.750000,1.215000,1.204000,650300000.000000,2021100000.000000,4191100000.000000,4191100000.000000,0.000000,,,,,0.000000,839400000.000000,1.000000,781202528.000000,780200000.000000,878200000.000000,5.372000,6011600000.000000,0.000000,105600000.000000,0.000000,7.705000
