dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2003-12-31,2004-04-27,2003-12-31,2003-Q4,27619000.000000,,2025-05-07,46000.000000,62873000.000000,,37076000.000000,25797000.000000,,-288.951000,,18190000.000000,18190000.000000,,,3.920000,-0.236000,10083000.000000,2008000.000000,8075000.000000,10083000.000000,7000000.000000,,0.000000,,0.000000,,,,,,,,,,-92031000.000000,,-92031000.000000,,,,,,1.000000,,,0.000000,,45309000.000000,,0.000000,33200000.000000,24197000.000000,9003000.000000,21732000.000000,9457000.000000,12275000.000000,,,,,,,,,,,,,,,,,,,1589000.000000,,,,,8870000.000000,,,,,263000.000000,-94074000.000000,,,,,,,,,,1.000000,4298369.000000,318500.000000,,,62873000.000000,0.000000,,0.000000,197.403000
ARQ,2004-03-31,2004-06-14,2004-03-31,2004-Q1,21900000.000000,441647867.000000,2025-05-07,67000.000000,56169000.000000,,31131000.000000,25038000.000000,,-252.485000,-128000.000000,16115000.000000,16115000.000000,0.000000,-5932000.000000,3.372000,-0.209000,9591000.000000,1992000.000000,7599000.000000,9591000.000000,6300000.000000,819000.000000,0.000000,0.000000,0.000000,-5449000.000000,-4630000.000000,-0.789000,-4630000.000000,-5449000.000000,-5932000.000000,-15.360000,-15.360000,-15.360000,-97333000.000000,,-97333000.000000,435123867.000000,,,-7148000.000000,-18.542000,1.000000,5867000.000000,1.000000,0.000000,483000.000000,40414000.000000,,0.000000,27876000.000000,18941000.000000,8935000.000000,20330000.000000,9231000.000000,11099000.000000,-2075000.000000,0.000000,220000.000000,0.000000,0.000000,-272000.000000,5217000.000000,5345000.000000,-7020000.000000,0.000000,-5932000.000000,-5932000.000000,-5932000.000000,0.000000,0.000000,-1.011000,11835000.000000,-5968000.000000,1032000.000000,0.000000,-4.537000,,,8170000.000000,0.000000,93.900000,,,204000.000000,-100006000.000000,5867000.000000,5867000.000000,9360000.000000,,,,,389000.000000,2475000.000000,1.000000,4703385.000000,385500.000000,385500.000000,15.219000,56169000.000000,0.000000,0.000000,0.000000,145.704000
ARQ,2004-06-30,2004-08-16,2004-06-30,2004-Q2,112309000.000000,219296174.000000,2025-05-07,-89000.000000,149503000.000000,,122777000.000000,26726000.000000,,38.591000,-204000.000000,23173000.000000,23173000.000000,0.000000,-9231000.000000,11.729000,0.168000,10318000.000000,2108000.000000,8210000.000000,10318000.000000,5600000.000000,815000.000000,0.000000,0.000000,0.000000,-8741000.000000,-7926000.000000,-2.733000,-7926000.000000,-8741000.000000,-9231000.000000,-2.760000,-2.760000,-2.760000,128025000.000000,,128025000.000000,206441174.000000,,,-7482000.000000,-2.255000,1.000000,2900000.000000,1.000000,0.000000,490000.000000,126180000.000000,,0.000000,114965000.000000,102269000.000000,12696000.000000,21478000.000000,10468000.000000,11010000.000000,8734000.000000,0.000000,101059000.000000,235000.000000,0.000000,101786000.000000,-85774000.000000,-85570000.000000,-7278000.000000,0.000000,-9231000.000000,-9231000.000000,-9231000.000000,0.000000,0.000000,-3.183000,12421000.000000,-9521000.000000,1926000.000000,0.000000,1.713000,,,7764000.000000,0.000000,46.440000,,,198000.000000,-109237000.000000,2900000.000000,2900000.000000,9749000.000000,,,,,515000.000000,2672000.000000,1.000000,4722140.000000,3317500.000000,3317500.000000,0.874000,149503000.000000,0.000000,0.000000,0.000000,45.065000
ARQ,2004-09-30,2004-11-12,2004-09-30,2004-Q3,102767000.000000,241755076.000000,2025-05-07,-105000.000000,138926000.000000,,113556000.000000,25370000.000000,,25.227000,-780000.000000,25298000.000000,25298000.000000,0.000000,-10216000.000000,10.525000,0.174000,9815000.000000,2151000.000000,7664000.000000,9815000.000000,4900000.000000,827000.000000,0.000000,0.000000,0.000000,-9672000.000000,-8845000.000000,-3.612000,-8845000.000000,-9672000.000000,-10216000.000000,-2.160000,-2.160000,-2.160000,118373000.000000,,118373000.000000,226272076.000000,,,-9433000.000000,-2.010000,1.000000,2449000.000000,1.000000,0.000000,544000.000000,112654000.000000,,0.000000,102914000.000000,91327000.000000,11587000.000000,20553000.000000,10789000.000000,9764000.000000,2125000.000000,0.000000,25000.000000,-503000.000000,0.000000,-478000.000000,11256000.000000,12036000.000000,-8653000.000000,0.000000,-10216000.000000,-10216000.000000,-10216000.000000,0.000000,0.000000,-4.171000,13104000.000000,-10655000.000000,1214000.000000,0.000000,2.042000,,,7505000.000000,0.000000,51.180000,,,182000.000000,-119452000.000000,2449000.000000,2449000.000000,9535000.000000,,,,,553000.000000,3569000.000000,1.000000,4723624.000000,4692353.000000,4692353.000000,0.522000,138926000.000000,0.000000,0.000000,0.000000,29.607000
ARQ,2004-12-31,2005-03-14,2004-12-31,2004-Q4,98028000.000000,247364550.000000,2025-05-07,-188000.000000,128101000.000000,,109067000.000000,19034000.000000,,32.665000,-288000.000000,19041000.000000,19041000.000000,0.000000,-11820000.000000,9.880000,0.191000,10493000.000000,2387000.000000,8106000.000000,10493000.000000,4200000.000000,815000.000000,0.000000,0.000000,0.000000,-12788000.000000,-11973000.000000,-5.379000,-11973000.000000,-12788000.000000,-11820000.000000,-2.280000,-2.280000,-2.280000,107556000.000000,,107556000.000000,238816550.000000,-7.000000,-7.156000,-11369000.000000,-3.453000,1.000000,2226000.000000,1.000000,0.000000,-968000.000000,108514000.000000,,0.000000,97579000.000000,92637000.000000,4942000.000000,20545000.000000,11039000.000000,9506000.000000,-6001000.000000,0.000000,607000.000000,678000.000000,0.000000,1285000.000000,3795000.000000,3014000.000000,-11081000.000000,0.000000,-11820000.000000,-11820000.000000,-11820000.000000,0.000000,0.000000,-5.310000,14516000.000000,-12290000.000000,2059000.000000,0.000000,2.300000,-6.650000,-4.617000,7336000.000000,0.000000,52.080000,18.402000,12.757000,766000.000000,-131272000.000000,2226000.000000,2226000.000000,11241000.000000,,,,,419000.000000,3275000.000000,1.000000,4749703.000000,3292667.000000,3292667.000000,0.676000,128101000.000000,0.000000,0.000000,0.000000,38.905000
ARQ,2005-03-31,2005-05-12,2005-03-31,2005-Q1,92728000.000000,176256165.000000,2025-05-07,-181000.000000,117832000.000000,,104825000.000000,13007000.000000,,20.621000,-473000.000000,19952000.000000,19952000.000000,0.000000,-10530000.000000,8.665000,0.208000,9911000.000000,2421000.000000,7490000.000000,9911000.000000,4999000.000000,788000.000000,0.000000,0.000000,0.000000,-10396000.000000,-9608000.000000,-3.736000,-9608000.000000,-10396000.000000,-10530000.000000,-2.220000,-2.220000,-2.220000,97545000.000000,,97545000.000000,166215165.000000,-4.000000,-4.334000,-9074000.000000,-1.918000,1.000000,2572000.000000,1.000000,0.000000,134000.000000,95694000.000000,,0.000000,87159000.000000,86809000.000000,350000.000000,20287000.000000,12097000.000000,8190000.000000,1755000.000000,0.000000,76000.000000,-581000.000000,0.000000,-505000.000000,10861000.000000,10490000.000000,-8601000.000000,0.000000,-10530000.000000,-10530000.000000,-10530000.000000,0.000000,0.000000,-4.094000,13680000.000000,-11108000.000000,1252000.000000,0.000000,1.807000,-4.217000,-3.936000,6727000.000000,0.000000,37.080000,17.370000,17.286000,781000.000000,-141802000.000000,2572000.000000,2572000.000000,10537000.000000,,,,,402000.000000,3143000.000000,1.000000,4753403.000000,4730333.000000,4730333.000000,0.544000,117832000.000000,0.000000,0.000000,0.000000,24.910000
ARQ,2005-06-30,2005-08-12,2005-06-30,2005-Q2,81806000.000000,269946349.000000,2025-05-07,-95000.000000,105202000.000000,,92282000.000000,12920000.000000,,18.487000,-374000.000000,16046000.000000,16046000.000000,0.000000,-10540000.000000,8.809000,0.197000,9316000.000000,2448000.000000,6868000.000000,9316000.000000,2800000.000000,771000.000000,0.000000,0.000000,0.000000,-10413000.000000,-9642000.000000,-4.119000,-9642000.000000,-10413000.000000,-10540000.000000,-2.220000,-2.220000,-2.220000,87858000.000000,,87858000.000000,263216349.000000,-6.000000,-6.569000,-12419000.000000,-2.613000,1.000000,2341000.000000,1.000000,0.000000,127000.000000,87996000.000000,,0.000000,78191000.000000,78191000.000000,0.000000,17344000.000000,10476000.000000,6868000.000000,-3906000.000000,0.000000,404000.000000,-595000.000000,0.000000,-191000.000000,8330000.000000,8704000.000000,-12045000.000000,0.000000,-10540000.000000,-10540000.000000,-10540000.000000,0.000000,0.000000,-4.502000,13442000.000000,-11101000.000000,773000.000000,0.000000,3.073000,-6.262000,-6.372000,6368000.000000,0.000000,56.580000,28.155000,28.044000,1211000.000000,-152342000.000000,2341000.000000,2341000.000000,10039000.000000,,,,,346000.000000,3403000.000000,1.000000,4771056.000000,4752333.000000,4752333.000000,0.493000,105202000.000000,0.000000,0.000000,0.000000,22.137000
ARQ,2005-09-30,2005-11-10,2005-09-30,2005-Q3,72891000.000000,234735474.000000,2025-05-07,-43000.000000,95901000.000000,,83655000.000000,12246000.000000,,16.417000,-392000.000000,16739000.000000,16739000.000000,0.000000,-10101000.000000,7.772000,0.226000,9522000.000000,2608000.000000,6914000.000000,9522000.000000,2100000.000000,760000.000000,0.000000,0.000000,0.000000,-9973000.000000,-9213000.000000,-4.967000,-9213000.000000,-9973000.000000,-10101000.000000,-2.100000,-2.100000,-2.100000,78223000.000000,,78223000.000000,227518474.000000,-5.000000,-5.627000,-9139000.000000,-1.918000,1.000000,1855000.000000,1.000000,0.000000,128000.000000,77920000.000000,,0.000000,68761000.000000,68761000.000000,0.000000,17678000.000000,10764000.000000,6914000.000000,893000.000000,0.000000,56000.000000,206000.000000,0.000000,262000.000000,9378000.000000,9570000.000000,-8747000.000000,0.000000,-10101000.000000,-10101000.000000,-10101000.000000,0.000000,0.000000,-5.445000,12584000.000000,-10729000.000000,1366000.000000,0.000000,3.001000,-5.460000,-5.571000,5920000.000000,0.000000,49.140000,26.099000,26.033000,1895000.000000,-162443000.000000,1855000.000000,1855000.000000,9259000.000000,,,,,343000.000000,3325000.000000,1.000000,4776872.000000,4764833.000000,4764833.000000,0.389000,95901000.000000,0.000000,0.000000,0.000000,20.127000
ARQ,2005-12-31,2006-03-10,2005-12-31,2005-Q4,67600000.000000,254296557.000000,2025-05-07,-14000.000000,91461000.000000,,78864000.000000,12597000.000000,,15.301000,-206000.000000,18687000.000000,18687000.000000,0.000000,-11081000.000000,7.001000,0.243000,9362000.000000,2726000.000000,6636000.000000,9362000.000000,1400000.000000,743000.000000,0.000000,0.000000,0.000000,-10936000.000000,-10193000.000000,-4.754000,-10193000.000000,-10936000.000000,-11081000.000000,-2.340000,-2.340000,-2.340000,73561000.000000,,73561000.000000,244971557.000000,-6.000000,-6.337000,-10297000.000000,-2.142000,1.000000,2144000.000000,1.000000,0.000000,145000.000000,70872000.000000,,0.000000,63148000.000000,62697000.000000,451000.000000,17900000.000000,11264000.000000,6636000.000000,1712000.000000,0.000000,493000.000000,5387000.000000,0.000000,5880000.000000,5923000.000000,6365000.000000,-10091000.000000,0.000000,-11081000.000000,-11081000.000000,-11081000.000000,0.000000,0.000000,-5.168000,13840000.000000,-11696000.000000,2352000.000000,0.000000,3.457000,-6.019000,-4.831000,6178000.000000,0.000000,42.900000,28.534000,22.931000,727000.000000,-173524000.000000,2144000.000000,2144000.000000,10735000.000000,,,,,336000.000000,3105000.000000,1.000000,5927659.000000,4807668.000000,4807668.000000,0.446000,91461000.000000,0.000000,0.000000,0.000000,19.024000
ARQ,2006-03-31,2006-05-09,2006-03-31,2006-Q1,93422000.000000,287866717.000000,2025-05-07,0.000000,114668000.000000,,103107000.000000,11561000.000000,,17.353000,-925000.000000,77657000.000000,77657000.000000,0.000000,-12464000.000000,10.646000,0.158000,8696000.000000,2763000.000000,5933000.000000,8696000.000000,700000.000000,751000.000000,0.000000,0.000000,0.000000,-12340000.000000,-11589000.000000,-8.161000,-11589000.000000,-12340000.000000,-12464000.000000,-2.160000,-2.160000,-2.160000,99050000.000000,,99050000.000000,218905717.000000,-5.000000,-5.387000,-11914000.000000,-2.087000,1.000000,1420000.000000,1.000000,0.000000,124000.000000,36022000.000000,,0.000000,28150000.000000,28150000.000000,0.000000,15618000.000000,9685000.000000,5933000.000000,59596000.000000,0.000000,32045000.000000,4278000.000000,0.000000,36323000.000000,34262000.000000,34561000.000000,-10989000.000000,0.000000,-12464000.000000,-12464000.000000,-12464000.000000,0.000000,0.000000,-8.777000,14888000.000000,-13468000.000000,1617000.000000,0.000000,2.906000,-6.515000,-5.374000,5949000.000000,0.000000,47.400000,37.096000,34.865000,652000.000000,-185987000.000000,1420000.000000,1420000.000000,11266000.000000,,,,,938000.000000,3622000.000000,1.000000,6073138.000000,5707833.000000,5707833.000000,0.249000,114668000.000000,0.000000,0.000000,0.000000,20.090000
ARQ,2006-06-30,2006-08-08,2006-06-30,2006-Q2,86940000.000000,195987262.000000,2025-05-07,-56000.000000,109578000.000000,,97590000.000000,11988000.000000,,15.305000,-967000.000000,54866000.000000,54866000.000000,0.000000,-13786000.000000,9.163000,0.181000,9126000.000000,2990000.000000,6136000.000000,9126000.000000,0.000000,744000.000000,0.000000,0.000000,0.000000,-13661000.000000,-12917000.000000,-8.933000,-12917000.000000,-13661000.000000,-13786000.000000,-2.280000,-2.280000,-2.280000,92792000.000000,,92792000.000000,150247262.000000,-3.000000,-3.422000,-12314000.000000,-2.031000,1.000000,1446000.000000,1.000000,0.000000,125000.000000,53188000.000000,,0.000000,45155000.000000,45155000.000000,0.000000,16786000.000000,10650000.000000,6136000.000000,-23345000.000000,0.000000,510000.000000,6075000.000000,0.000000,6585000.000000,-18583000.000000,-17036000.000000,-11347000.000000,0.000000,-13786000.000000,-13786000.000000,-13786000.000000,0.000000,0.000000,-9.534000,16335000.000000,-14889000.000000,1890000.000000,0.000000,2.112000,-4.132000,-3.615000,5920000.000000,0.000000,32.100000,28.549000,28.348000,673000.000000,-199773000.000000,1446000.000000,1446000.000000,12397000.000000,,,,,1417000.000000,3938000.000000,1.000000,6105522.000000,6062667.000000,6062667.000000,0.239000,109578000.000000,0.000000,0.000000,0.000000,18.074000
ARQ,2006-09-30,2006-11-08,2006-09-30,2006-Q3,79008000.000000,269745026.000000,2025-05-07,-22000.000000,104649000.000000,,91413000.000000,13236000.000000,,13.977000,-1837000.000000,53418000.000000,53418000.000000,0.000000,-14920000.000000,7.369000,0.223000,9971000.000000,3317000.000000,6654000.000000,9971000.000000,0.000000,726000.000000,0.000000,0.000000,0.000000,-14786000.000000,-14060000.000000,-132.642000,-14060000.000000,-14786000.000000,-14920000.000000,-2.460000,-2.460000,-2.460000,85560000.000000,,85560000.000000,226298026.000000,-4.000000,-4.641000,-13499000.000000,-2.205000,1.000000,106000.000000,1.000000,0.000000,134000.000000,48797000.000000,,0.000000,40478000.000000,40478000.000000,0.000000,19059000.000000,12405000.000000,6654000.000000,-1552000.000000,0.000000,97000.000000,7213000.000000,0.000000,7310000.000000,2800000.000000,4715000.000000,-11662000.000000,0.000000,-14920000.000000,-14920000.000000,-14920000.000000,0.000000,0.000000,-140.755000,16107000.000000,-16001000.000000,2448000.000000,0.000000,3.153000,-5.162000,-4.630000,7178000.000000,0.000000,42.780000,52.726000,51.188000,635000.000000,-214693000.000000,106000.000000,106000.000000,12535000.000000,,,,,1211000.000000,3572000.000000,1.000000,6305400.000000,6121500.000000,6121500.000000,0.017000,104649000.000000,0.000000,0.000000,0.000000,17.095000
ARQ,2006-12-31,2007-03-12,2006-12-31,2006-Q4,127228000.000000,351558338.000000,2025-05-07,-75000.000000,169516000.000000,,153621000.000000,15895000.000000,,16.317000,-1635000.000000,45421000.000000,45421000.000000,0.000000,-15946000.000000,5.821000,0.594000,10835000.000000,3691000.000000,7144000.000000,10835000.000000,41900000.000000,706000.000000,0.000000,0.000000,0.000000,-15806000.000000,-15100000.000000,-97.419000,-15100000.000000,-15806000.000000,-15946000.000000,-2.460000,-2.460000,-2.460000,106313000.000000,,106313000.000000,316972338.000000,-6.000000,-5.907000,-14807000.000000,-2.273000,1.000000,155000.000000,1.000000,0.000000,140000.000000,108537000.000000,,0.000000,70155000.000000,70155000.000000,0.000000,63203000.000000,26393000.000000,36810000.000000,-8827000.000000,0.000000,35641000.000000,865000.000000,0.000000,36506000.000000,-32161000.000000,-29696000.000000,-13172000.000000,0.000000,-15946000.000000,-15946000.000000,-15946000.000000,0.000000,0.000000,-102.877000,17135000.000000,-16980000.000000,2838000.000000,0.000000,3.307000,-6.155000,-4.814000,9202000.000000,0.000000,45.060000,112.427000,87.944000,42523000.000000,-230639000.000000,155000.000000,155000.000000,13026000.000000,,,,,1077000.000000,4109000.000000,1.000000,7802005.000000,6515500.000000,6515500.000000,0.024000,169516000.000000,0.000000,0.000000,0.000000,26.017000
ARQ,2007-03-31,2007-05-09,2007-03-31,2007-Q1,147810000.000000,331898413.000000,2025-05-07,-54000.000000,186995000.000000,,171660000.000000,15335000.000000,,15.648000,-1655000.000000,110173000.000000,110173000.000000,0.000000,-11692000.000000,7.197000,0.533000,11693000.000000,4039000.000000,7654000.000000,11693000.000000,45776000.000000,755000.000000,0.000000,0.000000,0.000000,-11523000.000000,-10768000.000000,-3.360000,-10768000.000000,-11523000.000000,-11692000.000000,-1.500000,-1.500000,-1.500000,121949000.000000,,121949000.000000,233418413.000000,-4.000000,-4.417000,33074000.000000,4.244000,1.000000,3205000.000000,1.000000,0.000000,169000.000000,64665000.000000,,0.000000,65499000.000000,65499000.000000,0.000000,65046000.000000,23850000.000000,41196000.000000,64661000.000000,0.000000,26143000.000000,858000.000000,0.000000,27001000.000000,2931000.000000,4677000.000000,34729000.000000,0.000000,-11692000.000000,-11692000.000000,-11692000.000000,0.000000,0.000000,-3.648000,16969000.000000,-13764000.000000,1815000.000000,0.000000,2.722000,-5.891000,-4.890000,8667000.000000,0.000000,42.540000,67.569000,67.495000,585000.000000,-242331000.000000,3205000.000000,3205000.000000,12486000.000000,,,,,1160000.000000,4483000.000000,1.000000,7802031.000000,7793500.000000,7793500.000000,0.411000,186995000.000000,0.000000,0.000000,0.000000,23.994000
ARQ,2007-06-30,2007-08-08,2007-06-30,2007-Q2,133633000.000000,236235132.000000,2025-05-07,-60000.000000,172812000.000000,,158021000.000000,14791000.000000,,14.247000,-292000.000000,117348000.000000,117348000.000000,0.000000,-12628000.000000,6.479000,0.552000,10721000.000000,4117000.000000,6604000.000000,10721000.000000,42717000.000000,745000.000000,0.000000,0.000000,0.000000,-12442000.000000,-11697000.000000,-3.682000,-11697000.000000,-12442000.000000,-12628000.000000,-1.620000,-1.620000,-1.620000,111337000.000000,,111337000.000000,129608132.000000,-2.000000,-2.511000,-13741000.000000,-1.758000,1.000000,3177000.000000,1.000000,0.000000,186000.000000,41797000.000000,,0.000000,44250000.000000,44250000.000000,0.000000,61475000.000000,24388000.000000,37087000.000000,7175000.000000,0.000000,545000.000000,-971000.000000,0.000000,-426000.000000,21050000.000000,21342000.000000,-13449000.000000,0.000000,-12628000.000000,-12628000.000000,-12628000.000000,0.000000,0.000000,-3.975000,17741000.000000,-14564000.000000,2221000.000000,0.000000,2.122000,-4.281000,-3.754000,8132000.000000,0.000000,30.180000,35.562000,35.505000,408000.000000,-254959000.000000,3177000.000000,3177000.000000,13726000.000000,,,,,1476000.000000,4015000.000000,1.000000,7827539.000000,7815000.000000,7815000.000000,0.407000,172812000.000000,0.000000,0.000000,0.000000,22.113000
ARQ,2007-09-30,2007-11-08,2007-09-30,2007-Q3,128967000.000000,249233220.000000,2025-05-07,-13000.000000,168702000.000000,,155205000.000000,13497000.000000,,13.843000,-220000.000000,113658000.000000,113658000.000000,0.000000,-11321000.000000,5.915000,0.541000,9712000.000000,4171000.000000,5541000.000000,9712000.000000,39659000.000000,670000.000000,0.000000,0.000000,0.000000,-11145000.000000,-10475000.000000,-2.536000,-10475000.000000,-11145000.000000,-11321000.000000,-1.440000,-1.440000,-1.440000,109498000.000000,,109498000.000000,145287220.000000,-3.000000,-3.024000,-10467000.000000,-1.323000,1.000000,4130000.000000,1.000000,0.000000,176000.000000,38518000.000000,,0.000000,44450000.000000,44450000.000000,0.000000,59204000.000000,26238000.000000,32966000.000000,-2732000.000000,0.000000,133000.000000,6767000.000000,0.000000,6900000.000000,615000.000000,-123000.000000,-10247000.000000,0.000000,-11321000.000000,-11321000.000000,-11321000.000000,0.000000,0.000000,-2.741000,17330000.000000,-13200000.000000,2505000.000000,0.000000,2.276000,-4.831000,-4.333000,7820000.000000,0.000000,30.420000,23.365000,22.558000,443000.000000,-266280000.000000,4130000.000000,4130000.000000,13217000.000000,,,,,1526000.000000,4113000.000000,1.000000,8193071.000000,7910000.000000,7910000.000000,0.522000,168702000.000000,0.000000,0.000000,0.000000,21.328000
ARQ,2007-12-31,2008-03-12,2007-12-31,2007-Q4,95568000.000000,152341017.000000,2025-05-07,-1000.000000,155370000.000000,,122016000.000000,33354000.000000,,12.175000,-396000.000000,121731000.000000,121731000.000000,0.000000,-13252000.000000,4.613000,0.555000,8689000.000000,4050000.000000,4639000.000000,8689000.000000,36601000.000000,659000.000000,0.000000,0.000000,0.000000,-13084000.000000,-12425000.000000,-3.995000,-12425000.000000,-13084000.000000,-13252000.000000,-1.620000,-1.620000,-1.620000,99916000.000000,,99916000.000000,39299017.000000,-1.000000,-0.866000,-14434000.000000,-1.759000,1.000000,3110000.000000,1.000000,0.000000,168000.000000,15880000.000000,,0.000000,23200000.000000,3175000.000000,20025000.000000,55454000.000000,26448000.000000,29006000.000000,8073000.000000,0.000000,503000.000000,742000.000000,0.000000,1245000.000000,20866000.000000,21262000.000000,-14038000.000000,0.000000,-13252000.000000,-13252000.000000,-13252000.000000,0.000000,0.000000,-4.261000,18068000.000000,-14958000.000000,1584000.000000,0.000000,1.525000,-3.116000,-3.000000,7728000.000000,0.000000,18.540000,11.183000,10.795000,313000.000000,-279533000.000000,3110000.000000,3110000.000000,13958000.000000,,,,,1391000.000000,4110000.000000,1.000000,8216883.000000,8206668.000000,8206668.000000,0.379000,155370000.000000,0.000000,0.000000,0.000000,18.932000
ARQ,2008-03-31,2008-05-07,2008-03-31,2008-Q1,81216000.000000,177977693.000000,2025-05-07,-948000.000000,138338000.000000,,107510000.000000,30828000.000000,,10.544000,-379000.000000,109687000.000000,109687000.000000,0.000000,-13895000.000000,4.089000,0.597000,7654000.000000,3542000.000000,4112000.000000,7654000.000000,33542000.000000,639000.000000,0.000000,0.000000,0.000000,-13750000.000000,-13111000.000000,-4.272000,-13111000.000000,-13750000.000000,-13895000.000000,-1.680000,-1.680000,-1.680000,86624000.000000,,86624000.000000,75944693.000000,-2.000000,-1.592000,-14201000.000000,-1.729000,1.000000,3069000.000000,1.000000,0.000000,145000.000000,10011000.000000,,0.000000,19082000.000000,0.000000,19082000.000000,51714000.000000,26294000.000000,25420000.000000,-11024000.000000,0.000000,22000.000000,-1036000.000000,0.000000,-1014000.000000,3812000.000000,3171000.000000,-13822000.000000,0.000000,-13895000.000000,-13895000.000000,-13895000.000000,0.000000,0.000000,-4.528000,18259000.000000,-15190000.000000,2306000.000000,0.000000,2.055000,-3.483000,-3.406000,7201000.000000,0.000000,21.660000,13.197000,13.195000,284000.000000,-293427000.000000,3069000.000000,3069000.000000,14102000.000000,,,,,1527000.000000,4157000.000000,1.000000,8216883.000000,8215667.000000,8215667.000000,0.374000,138338000.000000,0.000000,0.000000,0.000000,16.838000
