dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-09-30,2020-12-07,2020-09-30,2020-Q3,1156000000.000000,,2025-05-07,1000000.000000,2874000000.000000,,1990000000.000000,884000000.000000,,-3.819000,,1187000000.000000,1187000000.000000,,,2.386000,-1.188000,606000000.000000,11000000.000000,595000000.000000,606000000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-1213000000.000000,,-1213000000.000000,,,,,,1.000000,,,365000000.000000,,1094000000.000000,,0.000000,515000000.000000,515000000.000000,0.000000,1441000000.000000,834000000.000000,607000000.000000,,,,,,,,,,,,,,,,,,,31000000.000000,,,,,386000000.000000,,,,,182000000.000000,-1301000000.000000,,,,,,,,,,1.000000,317656521.000000,317656521.000000,,,2509000000.000000,0.000000,,0.000000,7.898000
ARQ,2020-12-31,2021-03-05,2020-12-31,2020-Q4,4115000000.000000,48695327335.000000,2025-05-07,0.000000,6353000000.000000,,5517000000.000000,836000000.000000,,75.333000,-37000000.000000,4345000000.000000,4345000000.000000,469000000.000000,-312000000.000000,3.935000,0.352000,617000000.000000,379000000.000000,238000000.000000,617000000.000000,0.000000,41000000.000000,0.000000,0.000000,0.000000,-301000000.000000,-260000000.000000,-0.268000,-260000000.000000,-301000000.000000,-311000000.000000,-4.050000,-4.050000,-4.050000,4700000000.000000,,4700000000.000000,44967327335.000000,-106.000000,-169.050000,-100000000.000000,-1.603000,1.000000,501000000.000000,0.516000,390000000.000000,10000000.000000,833000000.000000,,0.000000,514000000.000000,514000000.000000,0.000000,1653000000.000000,1402000000.000000,251000000.000000,3158000000.000000,-28000000.000000,3290000000.000000,0.000000,0.000000,3282000000.000000,-63000000.000000,1000000.000000,-63000000.000000,2000000.000000,-312000000.000000,-312000000.000000,-312000000.000000,0.000000,0.000000,-0.322000,806000000.000000,-305000000.000000,80000000.000000,0.000000,10.361000,-105.630000,-20.498000,413000000.000000,0.000000,151.480000,16.873000,3.275000,291000000.000000,-1613000000.000000,970000000.000000,970000000.000000,209000000.000000,,,,,311000000.000000,566000000.000000,1.000000,321463740.000000,62390000.000000,62390000.000000,15.547000,5963000000.000000,0.000000,1000000.000000,0.000000,95.576000
ARQ,2021-03-31,2021-05-14,2021-03-31,2021-Q1,3931000000.000000,45965946064.000000,2025-05-07,0.000000,5902000000.000000,,5025000000.000000,877000000.000000,,13.895000,-54000000.000000,4007000000.000000,4007000000.000000,563000000.000000,-110000000.000000,4.593000,0.296000,259000000.000000,19000000.000000,240000000.000000,259000000.000000,0.000000,40000000.000000,0.000000,0.000000,0.000000,-97000000.000000,-57000000.000000,-0.053000,-57000000.000000,-97000000.000000,-109000000.000000,-0.340000,-0.340000,-0.340000,4555000000.000000,,4555000000.000000,42217946064.000000,,,112000000.000000,0.342000,1.000000,514000000.000000,0.477000,386000000.000000,12000000.000000,674000000.000000,,0.000000,467000000.000000,467000000.000000,0.000000,1347000000.000000,1094000000.000000,253000000.000000,-337000000.000000,0.000000,13000000.000000,-333000000.000000,0.000000,-496000000.000000,-7000000.000000,47000000.000000,166000000.000000,0.000000,-110000000.000000,-110000000.000000,-110000000.000000,0.000000,0.000000,-0.102000,613000000.000000,-99000000.000000,75000000.000000,0.000000,10.091000,,,456000000.000000,0.000000,141.070000,,,282000000.000000,-1723000000.000000,1077000000.000000,1077000000.000000,82000000.000000,,,,,97000000.000000,502000000.000000,1.000000,325837854.000000,327815000.000000,327815000.000000,3.285000,5516000000.000000,0.000000,1000000.000000,0.000000,16.827000
ARQ,2021-06-30,2021-08-13,2021-06-30,2021-Q2,3928000000.000000,65826636031.000000,2025-05-07,0.000000,6182000000.000000,,5179000000.000000,1003000000.000000,,13.800000,-54000000.000000,3334000000.000000,3334000000.000000,555000000.000000,-102000000.000000,4.140000,0.338000,321000000.000000,23000000.000000,298000000.000000,321000000.000000,0.000000,49000000.000000,0.000000,0.000000,0.000000,-99000000.000000,-50000000.000000,-0.040000,-50000000.000000,-99000000.000000,-100000000.000000,-0.300000,-0.300000,-0.300000,4619000000.000000,,4619000000.000000,62813636031.000000,,,198000000.000000,0.592000,1.000000,681000000.000000,0.551000,383000000.000000,1000000.000000,1535000000.000000,,0.000000,1334000000.000000,1334000000.000000,0.000000,1563000000.000000,1251000000.000000,312000000.000000,-673000000.000000,0.000000,10000000.000000,0.000000,0.000000,4000000.000000,-929000000.000000,-867000000.000000,252000000.000000,0.000000,-102000000.000000,-102000000.000000,-102000000.000000,0.000000,0.000000,-0.083000,780000000.000000,-99000000.000000,96000000.000000,0.000000,14.251000,,,568000000.000000,0.000000,194.790000,,,245000000.000000,-1825000000.000000,1236000000.000000,1236000000.000000,100000000.000000,,,,,138000000.000000,643000000.000000,1.000000,337936424.000000,334707000.000000,334707000.000000,3.693000,5799000000.000000,0.000000,2000000.000000,0.000000,17.326000
ARQ,2021-09-30,2021-11-10,2021-09-30,2021-Q3,3368000000.000000,73496505757.000000,2025-05-07,0.000000,6358000000.000000,,4707000000.000000,1651000000.000000,,13.717000,-59000000.000000,2861000000.000000,2861000000.000000,585000000.000000,-101000000.000000,3.515000,0.363000,366000000.000000,27000000.000000,339000000.000000,366000000.000000,0.000000,55000000.000000,0.000000,0.000000,0.000000,-101000000.000000,-46000000.000000,-0.036000,-46000000.000000,-101000000.000000,-101000000.000000,-0.300000,-0.300000,-0.300000,4666000000.000000,,4666000000.000000,71001505757.000000,-119.000000,-171.916000,48000000.000000,0.141000,1.000000,690000000.000000,0.541000,380000000.000000,0.000000,2144000000.000000,,0.000000,1853000000.000000,1299000000.000000,554000000.000000,1692000000.000000,1339000000.000000,353000000.000000,-473000000.000000,0.000000,5000000.000000,0.000000,0.000000,5000000.000000,-584000000.000000,-525000000.000000,107000000.000000,-1000000.000000,-101000000.000000,-101000000.000000,-101000000.000000,0.000000,0.000000,-0.079000,790000000.000000,-100000000.000000,86000000.000000,0.000000,15.752000,-117.594000,-42.934000,656000000.000000,0.000000,214.240000,16.125000,15.989000,286000000.000000,-1926000000.000000,1275000000.000000,1275000000.000000,115000000.000000,,,,,122000000.000000,634000000.000000,1.000000,343056879.000000,340169000.000000,340169000.000000,3.748000,5978000000.000000,0.000000,0.000000,0.000000,17.574000
ARQ,2021-12-31,2022-03-01,2021-12-31,2021-Q4,2805000000.000000,35687782468.000000,2025-05-07,-4000000.000000,6809000000.000000,,4565000000.000000,2244000000.000000,,13.545000,-70000000.000000,2504000000.000000,2504000000.000000,635000000.000000,-155000000.000000,2.594000,0.459000,399000000.000000,26000000.000000,373000000.000000,399000000.000000,0.000000,64000000.000000,0.000000,0.000000,0.000000,-152000000.000000,-88000000.000000,-0.068000,-88000000.000000,-152000000.000000,-153000000.000000,-0.450000,-0.450000,-0.450000,4667000000.000000,,4667000000.000000,33582782468.000000,-75.000000,-139.348000,97000000.000000,0.282000,1.000000,665000000.000000,0.512000,377000000.000000,1000000.000000,2567000000.000000,,0.000000,2312000000.000000,1253000000.000000,1059000000.000000,2142000000.000000,1760000000.000000,382000000.000000,-356000000.000000,0.000000,4000000.000000,0.000000,0.000000,4000000.000000,-527000000.000000,-464000000.000000,167000000.000000,0.000000,-155000000.000000,-155000000.000000,-155000000.000000,0.000000,0.000000,-0.119000,819000000.000000,-154000000.000000,161000000.000000,0.000000,7.647000,-76.256000,-73.691000,738000000.000000,0.000000,102.430000,7.301000,7.059000,349000000.000000,-2081000000.000000,1300000000.000000,1300000000.000000,133000000.000000,,,,,129000000.000000,637000000.000000,1.000000,348411427.000000,344557000.000000,344557000.000000,3.773000,6432000000.000000,0.000000,2000000.000000,0.000000,18.667000
ARQ,2022-03-31,2022-05-06,2022-03-31,2022-Q1,2658000000.000000,25328627188.000000,2025-05-07,-14000000.000000,6822000000.000000,,4418000000.000000,2404000000.000000,,13.321000,-71000000.000000,2243000000.000000,2243000000.000000,763000000.000000,-167000000.000000,2.510000,0.466000,422000000.000000,31000000.000000,391000000.000000,422000000.000000,0.000000,75000000.000000,0.000000,0.000000,0.000000,-167000000.000000,-92000000.000000,-0.063000,-92000000.000000,-167000000.000000,-167000000.000000,-0.480000,-0.480000,-0.480000,4652000000.000000,,4652000000.000000,23507627188.000000,-45.000000,-85.173000,-91000000.000000,-0.261000,1.000000,693000000.000000,0.476000,452000000.000000,0.000000,2789000000.000000,,0.000000,2408000000.000000,1353000000.000000,1055000000.000000,2170000000.000000,1760000000.000000,410000000.000000,-260000000.000000,-71000000.000000,5000000.000000,0.000000,0.000000,5000000.000000,-246000000.000000,-104000000.000000,-20000000.000000,1000000.000000,-167000000.000000,-167000000.000000,-167000000.000000,0.000000,0.000000,-0.115000,866000000.000000,-173000000.000000,203000000.000000,0.000000,5.445000,-48.245000,-47.131000,809000000.000000,0.000000,72.110000,4.809000,4.781000,321000000.000000,-2248000000.000000,1456000000.000000,1456000000.000000,148000000.000000,,,,,129000000.000000,659000000.000000,1.000000,351249857.000000,349219000.000000,349219000.000000,4.169000,6370000000.000000,0.000000,0.000000,0.000000,18.241000
ARQ,2022-06-30,2022-08-05,2022-06-30,2022-Q2,2807000000.000000,30998372594.000000,2025-05-07,-107000000.000000,9928000000.000000,,4833000000.000000,5095000000.000000,,20.359000,-79000000.000000,2727000000.000000,2727000000.000000,880000000.000000,-263000000.000000,2.385000,0.340000,496000000.000000,47000000.000000,449000000.000000,496000000.000000,0.000000,100000000.000000,0.000000,0.000000,0.000000,-271000000.000000,-171000000.000000,-0.106000,-171000000.000000,-271000000.000000,-272000000.000000,-0.720000,-0.720000,-0.720000,7410000000.000000,,7410000000.000000,28767372594.000000,-42.000000,-72.462000,86000000.000000,0.236000,1.000000,728000000.000000,0.453000,3124000000.000000,1000000.000000,2547000000.000000,,0.000000,2179000000.000000,1272000000.000000,907000000.000000,2518000000.000000,2026000000.000000,492000000.000000,485000000.000000,142000000.000000,3000000.000000,0.000000,0.000000,3000000.000000,326000000.000000,263000000.000000,165000000.000000,-9000000.000000,-263000000.000000,-263000000.000000,-263000000.000000,0.000000,0.000000,-0.164000,1001000000.000000,-273000000.000000,207000000.000000,0.000000,4.183000,-45.187000,-41.174000,955000000.000000,0.000000,80.290000,5.497000,5.182000,346000000.000000,-2511000000.000000,1608000000.000000,1608000000.000000,205000000.000000,,,,,231000000.000000,715000000.000000,1.000000,386080117.000000,363961000.000000,363961000.000000,4.418000,6804000000.000000,0.000000,-9000000.000000,0.000000,18.694000
ARQ,2022-09-30,2022-11-04,2022-09-30,2022-Q3,2474000000.000000,20020368997.000000,2025-05-07,-292000000.000000,9552000000.000000,,4690000000.000000,4862000000.000000,,17.739000,-100000000.000000,2320000000.000000,2320000000.000000,931000000.000000,-296000000.000000,2.116000,0.397000,505000000.000000,45000000.000000,460000000.000000,505000000.000000,0.000000,141000000.000000,0.000000,0.000000,0.000000,-300000000.000000,-159000000.000000,-0.093000,-159000000.000000,-300000000.000000,-300000000.000000,-0.770000,-0.770000,-0.770000,6825000000.000000,,6825000000.000000,18205368997.000000,-20.000000,-35.697000,99000000.000000,0.257000,1.000000,770000000.000000,0.453000,2933000000.000000,0.000000,2588000000.000000,,0.000000,2272000000.000000,1492000000.000000,780000000.000000,2711000000.000000,2216000000.000000,495000000.000000,-404000000.000000,0.000000,-398000000.000000,0.000000,0.000000,-384000000.000000,-199000000.000000,-99000000.000000,199000000.000000,-20000000.000000,-295000000.000000,-295000000.000000,-295000000.000000,0.000000,-1000000.000000,-0.173000,1078000000.000000,-308000000.000000,238000000.000000,0.000000,2.933000,-22.750000,-21.310000,1024000000.000000,0.000000,51.570000,3.301000,3.272000,325000000.000000,-3206000000.000000,1701000000.000000,1701000000.000000,226000000.000000,,,,,249000000.000000,734000000.000000,1.000000,388217355.000000,384756000.000000,384756000.000000,4.421000,6619000000.000000,0.000000,-5000000.000000,0.000000,17.203000
ARQ,2022-12-31,2023-02-27,2022-12-31,2022-Q4,2176000000.000000,21246581587.000000,2025-05-07,-33000000.000000,9789000000.000000,,4720000000.000000,5069000000.000000,,17.437000,-96000000.000000,2188000000.000000,2188000000.000000,1014000000.000000,-642000000.000000,1.855000,0.447000,511000000.000000,55000000.000000,456000000.000000,511000000.000000,0.000000,134000000.000000,0.000000,0.000000,0.000000,-656000000.000000,-522000000.000000,-0.287000,-522000000.000000,-656000000.000000,-657000000.000000,-1.700000,-1.700000,-1.700000,6754000000.000000,,6754000000.000000,19569581587.000000,-14.000000,-20.730000,-73000000.000000,-0.188000,1.000000,804000000.000000,0.442000,3135000000.000000,1000000.000000,2433000000.000000,,0.000000,2065000000.000000,1544000000.000000,521000000.000000,3021000000.000000,2544000000.000000,477000000.000000,-139000000.000000,0.000000,1000000.000000,0.000000,0.000000,1000000.000000,-181000000.000000,-84000000.000000,23000000.000000,18000000.000000,-640000000.000000,-640000000.000000,-640000000.000000,0.000000,-2000000.000000,-0.352000,1174000000.000000,-370000000.000000,157000000.000000,0.000000,3.146000,-15.565000,-14.726000,1073000000.000000,0.000000,54.190000,3.227000,3.057000,400000000.000000,-3846000000.000000,1818000000.000000,1818000000.000000,250000000.000000,,,,,280000000.000000,721000000.000000,1.000000,392075689.000000,387331000.000000,387331000.000000,4.694000,6654000000.000000,0.000000,-17000000.000000,0.000000,17.179000
