dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-02-26,2021-01-22,2021-Q4,,,2025-05-09,0.000000,100000.000000,,,,,0.139000,0.000000,0.000000,0.000000,0.000000,-604.000000,,3.099000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-604.000000,-604.000000,,-604.000000,-604.000000,-604.000000,0.000000,0.000000,0.000000,24396.000000,,24396.000000,,,,0.000000,0.000000,1.000000,0.000000,,0.000000,0.000000,24396.000000,,0.000000,0.000000,,,75604.000000,75604.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-604.000000,-604.000000,-604.000000,0.000000,0.000000,,604.000000,-604.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-604.000000,0.000000,0.000000,0.000000,,,,,0.000000,604.000000,1.000000,878906.000000,175781.000000,175781.000000,0.000000,100000.000000,0.000000,0.000000,0.000000,0.569000
ARQ,2021-03-31,2021-05-25,2021-03-31,2021-Q1,2036317.000000,308960086.000000,2025-05-09,0.000000,255889508.000000,,2119838.000000,253769670.000000,,5.124000,0.000000,866232.000000,866232.000000,0.000000,-1650406.000000,25.381000,5.575000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1650406.000000,-1650406.000000,,-1650406.000000,-1650406.000000,-1650406.000000,-8.960000,-8.960000,-8.960000,5000009.000000,,5000009.000000,308093854.000000,,,-1309326.000000,-1.342000,1.000000,0.000000,,0.000000,0.000000,254939755.000000,,0.000000,253769670.000000,0.000000,253769670.000000,27875899.000000,83521.000000,27792378.000000,866232.000000,0.000000,248690660.000000,-88142.000000,0.000000,255941538.000000,-253765980.000000,-253765980.000000,-1309326.000000,0.000000,-1650406.000000,-1650406.000000,-1650406.000000,0.000000,0.000000,,134242.000000,-134242.000000,0.000000,0.000000,61.792000,,,0.000000,0.000000,311.680000,,,0.000000,-1650406.000000,0.000000,0.000000,0.000000,,,,,0.000000,134242.000000,1.000000,991273.000000,975863.000000,975863.000000,0.000000,255889508.000000,0.000000,0.000000,0.000000,262.219000
ARQ,2021-06-30,2021-08-13,2021-06-30,2021-Q2,88320.000000,314352613.000000,2025-05-09,0.000000,255569021.000000,,1790141.000000,253778880.000000,,5.044000,0.000000,703038.000000,703038.000000,0.000000,-3478664.000000,1.052000,6.207000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3478664.000000,-3478664.000000,,-3478664.000000,-3478664.000000,-3478664.000000,-17.600000,-17.600000,-17.600000,5000005.000000,,5000005.000000,313649575.000000,,,-163194.000000,-0.165000,1.000000,0.000000,,0.000000,0.000000,253164162.000000,,0.000000,253778880.000000,0.000000,253778880.000000,31034076.000000,1701821.000000,29332255.000000,-163194.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163194.000000,0.000000,-3478664.000000,-3478664.000000,-3478664.000000,0.000000,0.000000,,1947996.000000,-1947996.000000,0.000000,0.000000,62.870000,,,0.000000,0.000000,317.120000,,,0.000000,-5129070.000000,0.000000,0.000000,0.000000,,,,,0.000000,1947996.000000,1.000000,991273.000000,991273.000000,991273.000000,0.000000,255569021.000000,0.000000,0.000000,0.000000,257.819000
ARQ,2021-09-30,2021-11-12,2021-09-30,2021-Q3,-1231127.000000,3708844985.000000,2025-05-09,0.000000,254819737.000000,,1037591.000000,253782146.000000,,-32.189000,0.000000,119603.000000,119603.000000,0.000000,-2676840.000000,0.457000,-1.033000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2676840.000000,-2676840.000000,,-2676840.000000,-2676840.000000,-2676840.000000,-2.560000,-2.560000,-2.560000,-31907875.000000,,-31907875.000000,3708725382.000000,-475.000000,-475.081000,-578435.000000,-0.584000,1.000000,0.000000,,0.000000,0.000000,252431416.000000,,0.000000,253782146.000000,0.000000,253782146.000000,32961632.000000,2268718.000000,30692914.000000,-583435.000000,0.000000,0.000000,0.000000,0.000000,-5000.000000,0.000000,0.000000,-578435.000000,0.000000,-2676840.000000,-2676840.000000,-2676840.000000,0.000000,0.000000,,1319447.000000,-1319447.000000,0.000000,0.000000,-116.236000,-475.096000,-10.956000,0.000000,0.000000,319.040000,,,0.000000,-31908509.000000,0.000000,0.000000,0.000000,,,,,0.000000,1319447.000000,1.000000,11625016.000000,991273.000000,991273.000000,0.000000,254819737.000000,0.000000,0.000000,0.000000,257.063000
ARQ,2021-09-30,2021-11-23,2021-09-30,2021-Q3,-1231127.000000,3720005000.000000,2025-05-09,0.000000,254819737.000000,,1037591.000000,253782146.000000,,-32.189000,0.000000,119603.000000,119603.000000,0.000000,-2676840.000000,0.457000,-1.033000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2676840.000000,-2676840.000000,,-2676840.000000,-2676840.000000,-2676840.000000,-2.560000,-2.560000,-2.560000,-31907875.000000,,-31907875.000000,3719885397.000000,-477.000000,-476.510000,-578435.000000,-0.584000,1.000000,0.000000,,0.000000,0.000000,252431416.000000,,0.000000,253782146.000000,0.000000,253782146.000000,32961632.000000,2268718.000000,30692914.000000,-583435.000000,0.000000,0.000000,0.000000,0.000000,-5000.000000,0.000000,0.000000,-578435.000000,0.000000,-2676840.000000,-2676840.000000,-2676840.000000,0.000000,0.000000,,1319447.000000,-1319447.000000,0.000000,0.000000,-116.586000,-476.526000,-10.989000,0.000000,0.000000,320.000000,,,0.000000,-31908509.000000,0.000000,0.000000,0.000000,,,,,0.000000,1319447.000000,1.000000,11625016.000000,991273.000000,991273.000000,0.000000,254819737.000000,0.000000,0.000000,0.000000,257.063000
ARQ,2021-09-30,2021-11-29,2021-09-30,2021-Q3,44681000.000000,3698614971.000000,2025-05-09,0.000000,133856000.000000,,89578000.000000,44278000.000000,,-6.244000,-4131000.000000,21307000.000000,21307000.000000,38613000.000000,328070.000000,1.995000,-4.156000,48685000.000000,16506000.000000,32179000.000000,48685000.000000,0.000000,2192000.000000,0.000000,0.000000,0.000000,1821070.000000,4013070.000000,0.036000,4013070.000000,1821070.000000,327070.000000,25.280000,25.280000,25.280000,-19546000.000000,,-19546000.000000,3725992971.000000,-1126.000000,-3336.897000,-24757480.000000,-7.908000,1.000000,73240000.000000,0.655000,6504000.000000,1494000.000000,109833000.000000,,0.000000,14074000.000000,13755000.000000,319000.000000,81229000.000000,44897000.000000,36332000.000000,15853962.000000,0.000000,-247315660.000000,41178142.000000,0.000000,-217065538.000000,253545980.000000,257676980.000000,-20626480.000000,0.000000,328070.000000,328070.000000,328070.000000,0.000000,0.000000,0.003000,103433762.000000,-30193762.000000,14577000.000000,0.000000,-189.226000,-770.287000,-248.562000,3805000.000000,0.000000,318.160000,33.067000,8.905000,0.000000,-17705000.000000,111853000.000000,111853000.000000,0.000000,,,,,6342000.000000,71446762.000000,1.000000,11625016.000000,3130509.000000,3130509.000000,35.730000,127352000.000000,2701000.000000,-1000.000000,0.000000,40.681000
ARQ,2021-12-31,2022-02-02,2021-12-31,2021-Q4,44681000.000000,5178246960.000000,2025-05-09,0.000000,133856000.000000,,89578000.000000,44278000.000000,,-6.244000,0.000000,21307000.000000,21307000.000000,0.000000,-1650406.000000,1.995000,-4.156000,48685000.000000,16506000.000000,32179000.000000,48685000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1650406.000000,-1650406.000000,,-1650406.000000,-1650406.000000,-1650406.000000,-9.280000,-9.280000,-9.280000,-19546000.000000,,-19546000.000000,5205624960.000000,-1050.000000,-1881.728000,-1309326.000000,-0.418000,1.000000,0.000000,,6504000.000000,0.000000,109833000.000000,,0.000000,14074000.000000,13755000.000000,319000.000000,81229000.000000,44897000.000000,36332000.000000,866232.000000,0.000000,248690660.000000,-88142.000000,0.000000,255941538.000000,-253765980.000000,-253765980.000000,-1309326.000000,0.000000,-1650406.000000,-1650406.000000,-1650406.000000,0.000000,0.000000,,134242.000000,-134242.000000,14577000.000000,0.000000,-264.926000,-802.654000,-42.182000,3805000.000000,0.000000,445.440000,46.295000,12.467000,0.000000,-17705000.000000,0.000000,0.000000,0.000000,,,,,0.000000,134242.000000,1.000000,11625016.000000,3130509.000000,3130509.000000,0.000000,127352000.000000,2701000.000000,0.000000,0.000000,40.681000
ARQ,2021-12-31,2022-03-25,2021-12-31,2021-Q4,31569000.000000,2708163640.000000,2025-05-09,0.000000,147186000.000000,,100203000.000000,46983000.000000,,-10.405000,-2347000.000000,32009000.000000,32009000.000000,17020000.000000,-15192000.000000,1.460000,-3.243000,73636000.000000,37666000.000000,35970000.000000,73636000.000000,0.000000,941000.000000,0.000000,0.000000,0.000000,-14043000.000000,-13102000.000000,-0.318000,-13102000.000000,-14043000.000000,-15094000.000000,-4.800000,-4.800000,-4.800000,-33436000.000000,,-33436000.000000,2749790640.000000,-158.000000,-193.402000,-20952000.000000,-6.520000,1.000000,24140000.000000,0.586000,7849000.000000,1051000.000000,112330000.000000,,0.000000,8589000.000000,8226000.000000,363000.000000,108449000.000000,68634000.000000,39815000.000000,10746000.000000,0.000000,334000.000000,25000000.000000,0.000000,26170000.000000,3181000.000000,5528000.000000,-18605000.000000,0.000000,-15192000.000000,-15192000.000000,-15192000.000000,0.000000,0.000000,-0.369000,38742000.000000,-14602000.000000,13044000.000000,0.000000,-80.995000,-135.456000,-36.400000,3387000.000000,0.000000,232.960000,17.699000,4.798000,0.000000,-32897000.000000,41160000.000000,41160000.000000,0.000000,,,,,1039000.000000,27469000.000000,1.000000,11625016.000000,3213376.000000,3213376.000000,12.809000,139337000.000000,1381000.000000,98000.000000,0.000000,43.362000
ARQ,2022-03-31,2022-05-13,2022-03-31,2022-Q1,316218000.000000,1067612261.000000,2025-05-09,0.000000,387774000.000000,,375008000.000000,12766000.000000,,15.423000,-2486000.000000,23569000.000000,23569000.000000,20328000.000000,-34835000.000000,6.379000,1.223000,157377000.000000,21674000.000000,135703000.000000,157377000.000000,0.000000,1135000.000000,0.000000,0.000000,0.000000,-33258000.000000,-32123000.000000,-0.755000,-32123000.000000,-33258000.000000,-34813000.000000,-3.200000,-3.200000,-3.200000,174440000.000000,,174440000.000000,1201420261.000000,-25.000000,-26.883000,-39965000.000000,-3.533000,1.000000,22223000.000000,0.522000,9090000.000000,1555000.000000,453702000.000000,,0.000000,278712000.000000,278265000.000000,447000.000000,213334000.000000,58790000.000000,154544000.000000,-8356000.000000,0.000000,194980000.000000,100000000.000000,0.000000,301724000.000000,-272601000.000000,-270115000.000000,-37479000.000000,0.000000,-34835000.000000,-34835000.000000,-34835000.000000,0.000000,0.000000,-0.819000,44896000.000000,-22673000.000000,13599000.000000,0.000000,6.120000,-20.076000,-287.000000,3112000.000000,0.000000,91.840000,5.459000,5.312000,0.000000,-67732000.000000,42551000.000000,42551000.000000,0.000000,,,,,3190000.000000,30098000.000000,1.000000,11624698.000000,11310605.000000,11310605.000000,3.762000,378684000.000000,1359000.000000,22000.000000,0.000000,33.480000
ARQ,2022-06-30,2022-08-22,2022-06-30,2022-Q2,288168000.000000,190660625.000000,2025-05-09,-2430000.000000,358500000.000000,,345587000.000000,12913000.000000,,14.062000,-2258000.000000,26826000.000000,26826000.000000,21447000.000000,-27115000.000000,6.019000,1.196000,157739000.000000,21270000.000000,136469000.000000,157739000.000000,0.000000,1846000.000000,0.000000,0.000000,0.000000,-24805000.000000,-22959000.000000,-0.501000,-22959000.000000,-24805000.000000,-27093000.000000,-2.240000,-2.240000,-2.240000,163272000.000000,,163272000.000000,321573625.000000,-5.000000,-5.176000,-16374000.000000,-1.410000,1.000000,24358000.000000,0.532000,9708000.000000,2288000.000000,422286000.000000,,0.000000,230430000.000000,230430000.000000,0.000000,195228000.000000,57419000.000000,137809000.000000,2810000.000000,0.000000,11000.000000,0.000000,0.000000,-50000.000000,16976000.000000,19234000.000000,-14116000.000000,0.000000,-27115000.000000,-27115000.000000,-27115000.000000,0.000000,0.000000,-0.592000,77373000.000000,-53015000.000000,21052000.000000,0.000000,1.168000,-2.550000,1.061000,2656000.000000,0.000000,16.291000,0.790000,0.784000,0.000000,-92807000.000000,45805000.000000,45805000.000000,0.000000,,,,,22858000.000000,59931000.000000,1.000000,11703289.000000,11610632.000000,11610632.000000,3.945000,348792000.000000,716000.000000,22000.000000,0.000000,30.041000
