dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-05-24,2020-12-31,2020-Q4,43075000.000000,,2025-05-07,0.000000,45661000.000000,,45071000.000000,590000.000000,,-9.803000,,43728000.000000,43728000.000000,,,22.581000,-0.041000,402000.000000,198000.000000,204000.000000,402000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-54205000.000000,,-54205000.000000,,,,,,1.000000,,,0.000000,,339000.000000,,0.000000,0.000000,0.000000,0.000000,2200000.000000,1996000.000000,204000.000000,,,,,,,,,,,,,,,,,,,202000.000000,,,,,483000.000000,,,,,0.000000,-56842000.000000,,,,,,,,,,1.000000,60337415.000000,5529519.000000,,,45661000.000000,0.000000,,0.000000,8.258000
ARQ,2021-03-31,2021-05-26,2021-03-31,2021-Q1,155689000.000000,,2025-05-07,0.000000,160880000.000000,,158755000.000000,2125000.000000,,-11.685000,0.000000,154870000.000000,154870000.000000,0.000000,-17020000.000000,51.779000,-0.047000,358000.000000,199000.000000,159000.000000,358000.000000,0.000000,49000.000000,0.000000,,0.000000,-16094000.000000,-16045000.000000,,-16045000.000000,-16094000.000000,-16101000.000000,-2.580000,-2.580000,-2.580000,-68849000.000000,,-68849000.000000,,,,-9743000.000000,-1.654000,1.000000,0.000000,,0.000000,7000.000000,3302000.000000,,0.000000,0.000000,0.000000,0.000000,3225000.000000,3066000.000000,159000.000000,111142000.000000,-8000000.000000,0.000000,0.000000,0.000000,128885000.000000,-8000000.000000,0.000000,-9743000.000000,0.000000,-16101000.000000,-16101000.000000,-16101000.000000,0.000000,-919000.000000,,16094000.000000,-16094000.000000,686000.000000,0.000000,,,,435000.000000,0.000000,,,,0.000000,-72024000.000000,0.000000,0.000000,12632000.000000,,,,,538000.000000,3454000.000000,1.000000,60337415.000000,5892145.000000,5892145.000000,0.000000,160880000.000000,0.000000,0.000000,0.000000,27.304000
ARQ,2021-06-30,2021-08-10,2021-06-30,2021-Q2,311363000.000000,1589715864.000000,2025-05-07,0.000000,316537000.000000,,316025000.000000,512000.000000,,13.757000,0.000000,309996000.000000,309996000.000000,0.000000,83330000.000000,67.787000,0.015000,313000.000000,201000.000000,112000.000000,313000.000000,0.000000,49000.000000,0.000000,0.000000,0.000000,-15466000.000000,-15417000.000000,,-15417000.000000,-15466000.000000,-15473000.000000,-5.040000,-5.040000,-5.040000,311763000.000000,,311763000.000000,1280032864.000000,,,-13406000.000000,-0.592000,1.000000,0.000000,,0.000000,7000.000000,2192000.000000,,0.000000,0.000000,0.000000,0.000000,4774000.000000,4662000.000000,112000.000000,155126000.000000,0.000000,167660000.000000,0.000000,0.000000,168532000.000000,0.000000,0.000000,-13406000.000000,0.000000,-15473000.000000,-114276000.000000,-114276000.000000,0.000000,98803000.000000,,15466000.000000,-15466000.000000,348000.000000,0.000000,5.099000,,,386000.000000,98803000.000000,25.670000,,,0.000000,-86308000.000000,0.000000,0.000000,9914000.000000,,,,,2537000.000000,5525000.000000,1.000000,61928939.000000,22661889.000000,22661889.000000,0.000000,316537000.000000,0.000000,0.000000,0.000000,13.968000
ARQ,2021-09-30,2021-11-08,2021-09-30,2021-Q3,297265000.000000,1537695555.000000,2025-05-07,0.000000,303783000.000000,,303311000.000000,472000.000000,,5.176000,0.000000,297160000.000000,297160000.000000,0.000000,-19240000.000000,50.167000,0.021000,267000.000000,202000.000000,65000.000000,267000.000000,0.000000,50000.000000,0.000000,0.000000,0.000000,-19234000.000000,-19184000.000000,,-19184000.000000,-19234000.000000,-19240000.000000,-0.330000,-0.330000,-0.330000,297672000.000000,,297672000.000000,1240802555.000000,,,-12221000.000000,-0.212000,1.000000,0.000000,,0.000000,6000.000000,844000.000000,,0.000000,0.000000,0.000000,0.000000,6111000.000000,6046000.000000,65000.000000,-12836000.000000,0.000000,-615000.000000,0.000000,0.000000,-615000.000000,0.000000,0.000000,-12221000.000000,0.000000,-19240000.000000,-19240000.000000,-19240000.000000,0.000000,0.000000,,19234000.000000,-19234000.000000,683000.000000,0.000000,5.166000,,,335000.000000,0.000000,24.830000,,,0.000000,-105548000.000000,0.000000,0.000000,9849000.000000,,,,,5149000.000000,9392000.000000,1.000000,61928939.000000,57514218.000000,57514218.000000,0.000000,303783000.000000,0.000000,0.000000,0.000000,5.282000
ARQ,2021-12-31,2022-03-07,2021-12-31,2021-Q4,280711000.000000,757676531.000000,2025-05-07,0.000000,289821000.000000,,289368000.000000,453000.000000,,7.607000,0.000000,284309000.000000,284309000.000000,0.000000,-21938000.000000,33.426000,0.031000,220000.000000,204000.000000,16000.000000,220000.000000,0.000000,51000.000000,0.000000,0.000000,0.000000,-21961000.000000,-21910000.000000,,-21910000.000000,-21961000.000000,-21938000.000000,0.360000,0.360000,0.360000,281148000.000000,,281148000.000000,473587531.000000,-7.000000,-6.527000,-13169000.000000,-0.356000,1.000000,0.000000,,0.000000,-23000.000000,-2925000.000000,,0.000000,0.000000,0.000000,0.000000,8673000.000000,8657000.000000,16000.000000,-12851000.000000,0.000000,318000.000000,0.000000,0.000000,318000.000000,0.000000,0.000000,-13169000.000000,0.000000,-21938000.000000,-21938000.000000,-21938000.000000,0.000000,0.000000,,21946000.000000,-21946000.000000,1744000.000000,0.000000,2.695000,-4.440000,-2.647000,284000.000000,0.000000,12.230000,,,0.000000,-127487000.000000,0.000000,0.000000,11189000.000000,,,,,5097000.000000,10786000.000000,1.000000,61952292.000000,36960569.000000,36960569.000000,0.000000,289821000.000000,0.000000,0.000000,0.000000,7.841000
ARQ,2022-03-31,2022-05-12,2022-03-31,2022-Q1,259192000.000000,430287907.000000,2025-05-07,0.000000,267779000.000000,,267368000.000000,411000.000000,,4.447000,-15000.000000,262731000.000000,262731000.000000,0.000000,-27747000.000000,32.702000,0.031000,171000.000000,171000.000000,0.000000,171000.000000,0.000000,53000.000000,0.000000,0.000000,0.000000,-27749000.000000,-27696000.000000,,-27696000.000000,-27749000.000000,-27747000.000000,-0.480000,-0.480000,-0.480000,259603000.000000,,259603000.000000,167727907.000000,-2.000000,-1.992000,-21578000.000000,-0.370000,1.000000,0.000000,,0.000000,-2000.000000,-2957000.000000,,0.000000,0.000000,0.000000,0.000000,8176000.000000,8176000.000000,0.000000,-21578000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-15000.000000,0.000000,-21563000.000000,0.000000,-27747000.000000,-27747000.000000,-27747000.000000,0.000000,0.000000,,27748000.000000,-27748000.000000,701000.000000,0.000000,1.657000,-2.349000,-1.266000,246000.000000,0.000000,6.950000,,,0.000000,-155234000.000000,0.000000,0.000000,15003000.000000,,,,,6202000.000000,12745000.000000,1.000000,61911929.000000,58382444.000000,58382444.000000,0.000000,267779000.000000,0.000000,0.000000,0.000000,4.587000
ARQ,2022-06-30,2022-08-04,2022-06-30,2022-Q2,389704000.000000,1502279495.000000,2025-05-07,-3000.000000,404047000.000000,,402503000.000000,1544000.000000,,6.429000,-7000.000000,388877000.000000,388877000.000000,0.000000,-36530000.000000,31.448000,0.034000,1044000.000000,427000.000000,617000.000000,1044000.000000,0.000000,133000.000000,0.000000,0.000000,0.000000,-36719000.000000,-36586000.000000,,-36586000.000000,-36719000.000000,-36530000.000000,-0.600000,-0.600000,-0.600000,390631000.000000,,390631000.000000,1114446495.000000,-11.000000,-10.576000,-29794000.000000,-0.490000,1.000000,0.000000,,0.000000,-189000.000000,3415000.000000,,0.000000,5987000.000000,5987000.000000,0.000000,13416000.000000,12799000.000000,617000.000000,126146000.000000,0.000000,161930000.000000,0.000000,0.000000,161930000.000000,-5997000.000000,-5990000.000000,-29787000.000000,0.000000,-36530000.000000,-36530000.000000,-36530000.000000,0.000000,0.000000,,36719000.000000,-36719000.000000,439000.000000,0.000000,3.846000,-14.246000,-19.476000,1060000.000000,0.000000,20.450000,,,0.000000,-191764000.000000,0.000000,0.000000,22560000.000000,,,,,5631000.000000,14159000.000000,1.000000,73461100.000000,60760527.000000,60760527.000000,0.000000,404047000.000000,0.000000,0.000000,0.000000,6.650000
ARQ,2022-09-30,2022-11-07,2022-09-30,2022-Q3,362242000.000000,1432744766.000000,2025-05-07,-392000.000000,381861000.000000,,380513000.000000,1348000.000000,,5.113000,-4000.000000,120864000.000000,120864000.000000,0.000000,-37795000.000000,20.826000,0.052000,976000.000000,462000.000000,514000.000000,976000.000000,0.000000,165000.000000,0.000000,0.000000,0.000000,-39690000.000000,-39525000.000000,,-39525000.000000,-39690000.000000,-37795000.000000,-0.530000,-0.530000,-0.530000,363076000.000000,,363076000.000000,1312856766.000000,-10.000000,-10.443000,-23218000.000000,-0.327000,1.000000,0.000000,,0.000000,-1895000.000000,243702000.000000,,0.000000,253477000.000000,253477000.000000,0.000000,18785000.000000,18271000.000000,514000.000000,-268013000.000000,0.000000,0.000000,0.000000,0.000000,2053000.000000,-246852000.000000,-246848000.000000,-23214000.000000,0.000000,-37795000.000000,-37795000.000000,-37795000.000000,0.000000,0.000000,,39699000.000000,-39699000.000000,3973000.000000,0.000000,3.946000,-11.553000,-15.584000,899000.000000,0.000000,19.480000,,,0.000000,-229559000.000000,0.000000,0.000000,22035000.000000,,,,,8576000.000000,17664000.000000,1.000000,73549526.000000,71008993.000000,71008993.000000,0.000000,381861000.000000,0.000000,0.000000,0.000000,5.378000
ARQ,2022-12-31,2023-03-06,2022-12-31,2022-Q4,331259000.000000,1351059046.000000,2025-05-07,-71000.000000,349062000.000000,,347874000.000000,1188000.000000,,4.657000,0.000000,85262000.000000,85262000.000000,0.000000,-40109000.000000,20.937000,0.051000,813000.000000,405000.000000,408000.000000,813000.000000,0.000000,180000.000000,0.000000,0.000000,0.000000,-42769000.000000,-42589000.000000,,-42589000.000000,-42769000.000000,-40109000.000000,-0.560000,-0.560000,-0.560000,332039000.000000,,332039000.000000,1266610046.000000,-9.000000,-8.652000,-35310000.000000,-0.495000,1.000000,0.000000,,0.000000,-2660000.000000,247998000.000000,,0.000000,257007000.000000,257007000.000000,0.000000,17023000.000000,16615000.000000,408000.000000,-35602000.000000,0.000000,322000.000000,0.000000,0.000000,1918000.000000,-2210000.000000,-2210000.000000,-35310000.000000,0.000000,-40109000.000000,-40109000.000000,-40109000.000000,0.000000,0.000000,,42743000.000000,-42743000.000000,260000.000000,0.000000,4.069000,-9.502000,-8.461000,719000.000000,0.000000,18.360000,,,0.000000,-269668000.000000,0.000000,0.000000,26020000.000000,,,,,6833000.000000,16723000.000000,1.000000,73587094.000000,71298770.000000,71298770.000000,0.000000,349062000.000000,0.000000,0.000000,0.000000,4.896000
ARQ,2023-03-31,2023-05-01,2023-03-31,2023-Q1,299540000.000000,1064596000.000000,2025-05-07,67000.000000,323563000.000000,,322388000.000000,1175000.000000,,4.174000,-26000.000000,49268000.000000,49268000.000000,0.000000,-42393000.000000,14.110000,0.077000,717000.000000,417000.000000,300000.000000,717000.000000,0.000000,89000.000000,0.000000,0.000000,0.000000,-42393000.000000,-42304000.000000,,-42304000.000000,-42393000.000000,-42393000.000000,-0.590000,-0.590000,-0.590000,300415000.000000,,300415000.000000,1016045000.000000,-6.000000,-6.311000,-26011000.000000,-0.361000,1.000000,0.000000,,0.000000,0.000000,252164000.000000,,0.000000,268911000.000000,268911000.000000,0.000000,23148000.000000,22848000.000000,300000.000000,-35994000.000000,0.000000,0.000000,0.000000,0.000000,1184000.000000,-11193000.000000,-11167000.000000,-25985000.000000,0.000000,-42393000.000000,-42393000.000000,-42393000.000000,0.000000,0.000000,,45855000.000000,-45855000.000000,4657000.000000,0.000000,3.544000,-6.788000,-6.346000,688000.000000,0.000000,14.470000,,,0.000000,-312061000.000000,0.000000,0.000000,27828000.000000,,,,,9447000.000000,18027000.000000,1.000000,73572633.000000,71972888.000000,71972888.000000,0.000000,323563000.000000,0.000000,0.000000,0.000000,4.496000
