dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-03-31,2018-05-10,2018-03-31,2018-Q1,-7045000.000000,2740317.000000,2025-05-11,8000.000000,6418000.000000,,5230000.000000,1188000.000000,,-6588.928000,-6000.000000,3116000.000000,3116000.000000,147000.000000,7187000.000000,0.426000,-2.035000,0.000000,0.000000,0.000000,0.000000,0.000000,120000.000000,0.000000,0.000000,0.000000,7189000.000000,7309000.000000,10.412000,7309000.000000,7189000.000000,7187000.000000,7637.000000,7637.000000,7637.000000,-6202000.000000,,-6202000.000000,-375683.000000,,,-6449000.000000,-6851.338000,1.000000,555000.000000,0.791000,0.000000,2000.000000,-8973000.000000,,1280000.000000,0.000000,0.000000,0.000000,12620000.000000,12275000.000000,345000.000000,-1970000.000000,0.000000,4253000.000000,0.000000,0.000000,4491000.000000,-6000.000000,0.000000,-6443000.000000,-12000.000000,7187000.000000,7187000.000000,7187000.000000,0.000000,0.000000,10.238000,8058000.000000,-7503000.000000,4580000.000000,0.000000,-0.442000,,,1188000.000000,0.000000,2138.500000,,,280000.000000,-317645000.000000,702000.000000,702000.000000,5692000.000000,,,,,21000.000000,2366000.000000,1.000000,1281.000000,941.000000,941.000000,745.796000,6418000.000000,0.000000,0.000000,0.000000,6818.404000
ARQ,2018-06-30,2018-08-14,2018-06-30,2018-Q2,-13723000.000000,1668562.000000,2025-05-11,-36000.000000,5473000.000000,,4374000.000000,1099000.000000,,-9995.571000,-33000.000000,2345000.000000,2345000.000000,220000.000000,-6658000.000000,0.242000,-1.418000,414000.000000,387000.000000,27000.000000,414000.000000,0.000000,116000.000000,0.000000,0.000000,0.000000,-6410000.000000,-6294000.000000,-7.336000,-6294000.000000,-6410000.000000,-6658000.000000,-5082.000000,-5082.000000,-5082.000000,-13090000.000000,,-13090000.000000,-262438.000000,,,-2867000.000000,-2189.252000,1.000000,638000.000000,0.744000,0.000000,248000.000000,-14555000.000000,,1250000.000000,0.000000,0.000000,0.000000,18563000.000000,18097000.000000,466000.000000,-746000.000000,0.000000,-43000.000000,2172000.000000,0.000000,2154000.000000,-33000.000000,0.000000,-2834000.000000,-33000.000000,-6658000.000000,-6658000.000000,-6658000.000000,0.000000,0.000000,-7.760000,6730000.000000,-6092000.000000,5607000.000000,0.000000,-0.127000,,,1099000.000000,0.000000,1253.000000,,,397000.000000,-324305000.000000,858000.000000,858000.000000,4089000.000000,,,,,-142000.000000,2641000.000000,1.000000,1332.000000,1310.000000,1310.000000,655.172000,5473000.000000,0.000000,0.000000,0.000000,4179.202000
ARQ,2018-09-30,2018-11-13,2018-09-30,2018-Q3,-5227000.000000,2702386.000000,2025-05-11,105000.000000,12832000.000000,,11820000.000000,1012000.000000,,-94.967000,-20000.000000,9975000.000000,9975000.000000,233000.000000,-8880000.000000,0.693000,-3.638000,2780000.000000,2664000.000000,116000.000000,2780000.000000,0.000000,106000.000000,0.000000,0.000000,0.000000,-5729000.000000,-5623000.000000,-6.824000,-5623000.000000,-5729000.000000,-8880000.000000,-175.000000,-175.000000,-175.000000,-4865000.000000,,-4865000.000000,-4492614.000000,,,-3637000.000000,-70.996000,1.000000,591000.000000,0.717000,0.000000,3151000.000000,-11410000.000000,,954000.000000,0.000000,0.000000,0.000000,17697000.000000,17047000.000000,650000.000000,7367000.000000,0.000000,7587000.000000,3555000.000000,0.000000,10879000.000000,-20000.000000,0.000000,-3617000.000000,125000.000000,-8880000.000000,-8880000.000000,-8880000.000000,0.000000,0.000000,-10.777000,6385000.000000,-5794000.000000,6783000.000000,0.000000,-0.555000,,,1012000.000000,0.000000,210.000000,,,364000.000000,-333185000.000000,824000.000000,824000.000000,4106000.000000,,,,,116000.000000,2279000.000000,1.000000,12869.000000,51228.000000,51228.000000,16.085000,12832000.000000,0.000000,0.000000,0.000000,250.486000
ARQ,2018-12-31,2019-06-14,2018-12-31,2018-Q4,-11831000.000000,2266448.000000,2025-05-11,50000.000000,6844000.000000,,5919000.000000,925000.000000,,-391.580000,-17000.000000,3578000.000000,3578000.000000,409000.000000,-10869000.000000,0.333000,-1.458000,2038000.000000,2038000.000000,0.000000,2038000.000000,3405000.000000,102000.000000,0.000000,0.000000,0.000000,-6312000.000000,-6210000.000000,-6.070000,-6210000.000000,-6312000.000000,-10869000.000000,-84.000000,-56.000000,-84.000000,-14939000.000000,,-14939000.000000,726448.000000,0.000000,-0.067000,-1855000.000000,-48.623000,1.000000,614000.000000,0.600000,0.000000,4557000.000000,-12446000.000000,,858000.000000,0.000000,0.000000,0.000000,21783000.000000,17750000.000000,4033000.000000,-6397000.000000,0.000000,-360000.000000,-4933000.000000,0.000000,-4288000.000000,-17000.000000,0.000000,-1838000.000000,-254000.000000,-10869000.000000,-10869000.000000,-10869000.000000,0.000000,0.000000,-10.625000,8297000.000000,-7683000.000000,7715000.000000,0.000000,-0.152000,-0.118000,-0.172000,925000.000000,0.000000,86.800000,0.665000,0.972000,585000.000000,-344054000.000000,1023000.000000,1023000.000000,5764000.000000,,,,,63000.000000,2533000.000000,1.000000,26111.000000,38151.000000,38151.000000,26.815000,6844000.000000,0.000000,0.000000,0.000000,179.395000
ARQ,2019-03-31,2019-07-17,2019-03-31,2019-Q1,-22269000.000000,1462225.000000,2025-05-11,57000.000000,6164000.000000,,3166000.000000,2998000.000000,,-226.267000,-2000.000000,1326000.000000,1326000.000000,96000.000000,-7893000.000000,0.124000,-1.259000,7898000.000000,6781000.000000,1117000.000000,7898000.000000,3223000.000000,65000.000000,0.000000,0.000000,0.000000,-5664000.000000,-5599000.000000,-20.737000,-5599000.000000,-5664000.000000,-7893000.000000,-77.000000,-77.000000,-77.000000,-23777000.000000,,-23777000.000000,8034225.000000,0.000000,-0.339000,-2772000.000000,-26.379000,1.000000,174000.000000,0.644000,0.000000,2229000.000000,-12699000.000000,,775000.000000,0.000000,0.000000,0.000000,29941000.000000,25435000.000000,4506000.000000,-2252000.000000,0.000000,0.000000,400000.000000,0.000000,550000.000000,-2000.000000,0.000000,-2770000.000000,-30000.000000,-7893000.000000,-7893000.000000,-7893000.000000,0.000000,0.000000,-29.233000,5847000.000000,-5673000.000000,10268000.000000,0.000000,-0.061000,-0.043000,-0.010000,2998000.000000,0.000000,56.000000,0.492000,1.978000,62000.000000,-351947000.000000,270000.000000,270000.000000,3298000.000000,,,,,58000.000000,2549000.000000,1.000000,26111.000000,105084.000000,105084.000000,2.569000,6164000.000000,0.000000,0.000000,0.000000,58.658000
ARQ,2019-06-30,2019-08-08,2019-06-30,2019-Q2,-28307000.000000,1827781.000000,2025-05-11,-23000.000000,5636000.000000,,2945000.000000,2691000.000000,,-291.856000,0.000000,1414000.000000,1414000.000000,172000.000000,-5959000.000000,0.094000,-1.190000,12259000.000000,11411000.000000,848000.000000,12259000.000000,3143000.000000,609000.000000,0.000000,0.000000,0.000000,-4122000.000000,-3513000.000000,-8.527000,-3513000.000000,-4122000.000000,-5959000.000000,-56.000000,-56.000000,-56.000000,-29729000.000000,,-29729000.000000,12672781.000000,-1.000000,-0.605000,-3192000.000000,-31.337000,1.000000,240000.000000,0.583000,0.000000,1837000.000000,-14771000.000000,,687000.000000,0.000000,0.000000,0.000000,35365000.000000,31252000.000000,4113000.000000,88000.000000,0.000000,0.000000,3319000.000000,0.000000,3319000.000000,0.000000,0.000000,-3192000.000000,-39000.000000,-5959000.000000,-5959000.000000,-5959000.000000,0.000000,0.000000,-14.464000,4367000.000000,-4127000.000000,10713000.000000,0.000000,-0.061000,-0.054000,-0.179000,2691000.000000,0.000000,70.000000,0.723000,2.819000,180000.000000,-357907000.000000,412000.000000,412000.000000,1714000.000000,,,,,75000.000000,2653000.000000,1.000000,26111.000000,101862.000000,101862.000000,4.045000,5636000.000000,0.000000,0.000000,0.000000,55.330000
ARQ,2019-09-30,2019-11-14,2019-09-30,2019-Q3,-15347000.000000,1010979.000000,2025-05-11,89000.000000,18895000.000000,,17127000.000000,1768000.000000,,-720.956000,0.000000,15515000.000000,15515000.000000,172000.000000,-7519000.000000,0.527000,-2.004000,3012000.000000,656000.000000,2356000.000000,3012000.000000,2890000.000000,1029000.000000,0.000000,0.000000,0.000000,-6848000.000000,-5819000.000000,-15.313000,-5819000.000000,-6848000.000000,-7519000.000000,-287.000000,-987.000000,-287.000000,-18825000.000000,,-18825000.000000,-11492021.000000,1.000000,0.544000,-12360000.000000,-473.361000,1.000000,208000.000000,0.547000,0.000000,671000.000000,-26082000.000000,,736000.000000,0.000000,0.000000,0.000000,37720000.000000,32474000.000000,5246000.000000,14101000.000000,0.000000,0.000000,-49000.000000,0.000000,26461000.000000,0.000000,0.000000,-12360000.000000,0.000000,-7519000.000000,-7519000.000000,-7519000.000000,0.000000,0.000000,-19.787000,5780000.000000,-5572000.000000,4871000.000000,0.000000,-0.054000,-0.031000,-0.064000,1768000.000000,0.000000,32.200000,0.485000,0.403000,12000.000000,-383664000.000000,380000.000000,380000.000000,1778000.000000,,,,,70000.000000,4002000.000000,1.000000,31397.000000,26111.000000,26111.000000,14.553000,18895000.000000,0.000000,0.000000,0.000000,723.637000
ARQ,2019-12-31,2020-03-25,2019-12-31,2019-Q4,-2895000.000000,607655.000000,2025-05-11,28000.000000,14212000.000000,,12617000.000000,1595000.000000,,-245.444000,-22000.000000,10183000.000000,10183000.000000,279000.000000,12492000.000000,0.813000,-3.236000,2861000.000000,664000.000000,2197000.000000,2861000.000000,2860000.000000,86000.000000,0.000000,0.000000,0.000000,12503000.000000,12589000.000000,24.350000,12589000.000000,12503000.000000,12492000.000000,-123.000000,668.000000,-123.000000,-6357000.000000,,-6357000.000000,-6714345.000000,2.000000,2.864000,-5390000.000000,-208.108000,1.000000,238000.000000,0.460000,0.000000,11000.000000,-8622000.000000,,654000.000000,0.000000,0.000000,0.000000,20569000.000000,15512000.000000,5057000.000000,-5332000.000000,0.000000,0.000000,10000.000000,0.000000,-25000.000000,-22000.000000,0.000000,-5368000.000000,83000.000000,12492000.000000,12492000.000000,12492000.000000,0.000000,0.000000,24.162000,4776000.000000,-4538000.000000,4533000.000000,0.000000,-0.096000,-0.068000,-0.008000,1595000.000000,0.000000,8.350000,0.385000,0.137000,21000.000000,-371171000.000000,517000.000000,517000.000000,2701000.000000,,,,,74000.000000,2075000.000000,1.000000,72773.000000,25900.000000,25900.000000,19.961000,14212000.000000,0.000000,0.000000,0.000000,548.726000
ARQ,2019-12-31,2020-05-01,2019-12-31,2019-Q4,-2895000.000000,11708678.000000,2025-05-11,28000.000000,14212000.000000,,12617000.000000,1595000.000000,,-245.444000,-22000.000000,10183000.000000,10183000.000000,279000.000000,12492000.000000,0.813000,-3.236000,2861000.000000,664000.000000,2197000.000000,2861000.000000,2860000.000000,86000.000000,0.000000,0.000000,0.000000,12503000.000000,12589000.000000,24.350000,12589000.000000,12503000.000000,12492000.000000,-123.000000,668.000000,-123.000000,-6357000.000000,,-6357000.000000,4386678.000000,-1.000000,-1.871000,-5390000.000000,-208.108000,1.000000,238000.000000,0.460000,0.000000,11000.000000,-8622000.000000,,654000.000000,0.000000,0.000000,0.000000,20569000.000000,15512000.000000,5057000.000000,-5332000.000000,0.000000,0.000000,10000.000000,0.000000,-25000.000000,-22000.000000,0.000000,-5368000.000000,83000.000000,12492000.000000,12492000.000000,12492000.000000,0.000000,0.000000,24.162000,4776000.000000,-4538000.000000,4533000.000000,0.000000,-1.842000,-1.319000,-0.007000,1595000.000000,0.000000,7.660000,7.411000,0.126000,21000.000000,-371171000.000000,517000.000000,517000.000000,2701000.000000,,,,,74000.000000,2075000.000000,1.000000,1528548.000000,25900.000000,25900.000000,19.961000,14212000.000000,0.000000,0.000000,0.000000,548.726000
ARQ,2020-03-31,2020-05-14,2020-03-31,2020-Q1,-4821000.000000,21393108.000000,2025-05-11,93000.000000,9777000.000000,,8222000.000000,1555000.000000,,-110.049000,-180000.000000,4721000.000000,4721000.000000,78000.000000,-7861000.000000,0.630000,-2.221000,2689000.000000,622000.000000,2067000.000000,2689000.000000,2672000.000000,220000.000000,0.000000,0.000000,0.000000,-7805000.000000,-7585000.000000,-25.799000,-7585000.000000,-7805000.000000,-7861000.000000,-108.070000,-108.070000,-108.070000,-8005000.000000,,-8005000.000000,19361108.000000,-3.000000,-4.473000,-5409000.000000,-74.361000,1.000000,216000.000000,0.735000,0.000000,56000.000000,-5298000.000000,,790000.000000,0.000000,0.000000,0.000000,17782000.000000,13043000.000000,4739000.000000,-5462000.000000,0.000000,0.000000,-11000.000000,0.000000,-117000.000000,-180000.000000,0.000000,-5229000.000000,64000.000000,-7861000.000000,-7861000.000000,-7861000.000000,0.000000,0.000000,-26.738000,5290000.000000,-5074000.000000,4997000.000000,0.000000,-2.672000,-2.418000,-0.014000,1555000.000000,0.000000,7.750000,13.346000,0.352000,69000.000000,-379032000.000000,294000.000000,294000.000000,2974000.000000,,,,,55000.000000,2316000.000000,1.000000,2760401.000000,72740.000000,72740.000000,4.042000,9777000.000000,0.000000,0.000000,0.000000,134.410000
