dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2019-06-30,2019-08-23,2019-06-30,2019-Q2,-10764000.000000,,2025-05-07,-9000.000000,261759000.000000,,145934000.000000,115825000.000000,,-2.987000,,60390000.000000,60390000.000000,,,0.931000,-2.527000,48363000.000000,9626000.000000,38737000.000000,48363000.000000,105240000.000000,,0.000000,,0.000000,,,,,,,,,,-79223000.000000,,-79223000.000000,,,,,,1.000000,,,8568000.000000,,84466000.000000,,0.000000,0.000000,0.000000,0.000000,200230000.000000,156698000.000000,43532000.000000,,,,,,,,,,,,,,,,,,,23529000.000000,,,,,73533000.000000,,,,,67447000.000000,-120346000.000000,,,,,,,,,,1.000000,289834665.000000,26522000.000000,,,253191000.000000,0.000000,,0.000000,9.546000
ARQ,2019-06-30,2019-09-17,2019-06-30,2019-Q2,-10764000.000000,,2025-05-07,-9000.000000,261759000.000000,,145934000.000000,115825000.000000,,-0.996000,,60390000.000000,60390000.000000,,,0.931000,-2.527000,48363000.000000,9626000.000000,38737000.000000,48363000.000000,105240000.000000,,0.000000,,0.000000,,,,,,,,,,-79223000.000000,,-79223000.000000,,,,,,1.000000,,,8568000.000000,,84466000.000000,,0.000000,0.000000,0.000000,0.000000,200230000.000000,156698000.000000,43532000.000000,,,,,,,,,,,,,,,,,,,23529000.000000,,,,,73533000.000000,,,,,67447000.000000,-120346000.000000,,,,,,,,,,1.000000,289834665.000000,79566000.000000,,,253191000.000000,0.000000,,0.000000,3.182000
ARQ,2019-09-30,2019-11-13,2019-09-30,2019-Q3,695815000.000000,11889423856.000000,2025-05-07,-54000.000000,1006753000.000000,,872476000.000000,134277000.000000,,7.425000,-7484000.000000,770452000.000000,770452000.000000,23297000.000000,-4161000.000000,4.939000,0.305000,61906000.000000,10222000.000000,51684000.000000,61906000.000000,121793000.000000,7795000.000000,0.000000,0.000000,0.000000,-4128000.000000,3667000.000000,0.038000,3667000.000000,-4128000.000000,-4128000.000000,-0.040000,-0.040000,-0.040000,771235000.000000,,771235000.000000,11180877856.000000,,,-3660000.000000,-0.035000,1.000000,72567000.000000,0.757000,8385000.000000,0.000000,113161000.000000,,0.000000,0.000000,0.000000,0.000000,235518000.000000,176661000.000000,58857000.000000,707336000.000000,0.000000,710768000.000000,0.000000,0.000000,710924000.000000,-7484000.000000,0.000000,3824000.000000,72000.000000,-4161000.000000,-4161000.000000,-4161000.000000,0.000000,0.000000,-0.043000,76785000.000000,-4218000.000000,18992000.000000,0.000000,15.416000,,,86961000.000000,0.000000,40.190000,,,87208000.000000,-124507000.000000,95864000.000000,95864000.000000,28684000.000000,,,,,4677000.000000,48101000.000000,1.000000,295830402.000000,103876000.000000,103876000.000000,0.923000,998368000.000000,0.000000,33000.000000,0.000000,9.611000
ARQ,2019-12-31,2020-02-25,2019-12-31,2019-Q4,703703000.000000,13163314999.000000,2025-05-07,133000.000000,1038041000.000000,,903942000.000000,134099000.000000,,5.593000,-6572000.000000,600753000.000000,600753000.000000,25724000.000000,891000.000000,4.514000,0.327000,60426000.000000,11916000.000000,48510000.000000,60426000.000000,138488000.000000,6954000.000000,0.000000,0.000000,0.000000,1252000.000000,8206000.000000,0.072000,8206000.000000,1252000.000000,1252000.000000,0.080000,0.080000,0.080000,782341000.000000,,782341000.000000,12622987999.000000,-790.000000,1547.504000,10858000.000000,0.078000,1.000000,87920000.000000,0.774000,10493000.000000,0.000000,286982000.000000,,0.000000,176674000.000000,176674000.000000,0.000000,255700000.000000,200239000.000000,55461000.000000,-169738000.000000,-2138000.000000,-1749000.000000,0.000000,0.000000,-1749000.000000,-185349000.000000,-176639000.000000,17430000.000000,-70000.000000,891000.000000,891000.000000,891000.000000,0.000000,0.000000,0.008000,90186000.000000,-2266000.000000,15429000.000000,0.000000,16.826000,-787.751000,-369.250000,85751000.000000,0.000000,44.310000,36.285000,17.084000,102394000.000000,-123616000.000000,113644000.000000,113644000.000000,35894000.000000,,,,,9018000.000000,54292000.000000,1.000000,297073234.000000,139873000.000000,139873000.000000,0.812000,1027548000.000000,0.000000,361000.000000,0.000000,7.346000
ARQ,2020-03-31,2020-05-12,2020-03-31,2020-Q1,722427000.000000,20615211360.000000,2025-05-07,-1062000.000000,1066656000.000000,,933065000.000000,133591000.000000,,2.717000,-4943000.000000,197732000.000000,197732000.000000,26479000.000000,6479000.000000,4.430000,0.329000,59478000.000000,13436000.000000,46042000.000000,59478000.000000,145182000.000000,6914000.000000,0.000000,0.000000,0.000000,6674000.000000,13588000.000000,0.104000,13588000.000000,6674000.000000,6674000.000000,0.020000,0.020000,0.020000,802895000.000000,,802895000.000000,20476957360.000000,,,19312000.000000,0.065000,1.000000,104769000.000000,0.798000,10067000.000000,0.000000,707697000.000000,,0.000000,600384000.000000,600384000.000000,0.000000,263761000.000000,210638000.000000,53123000.000000,-403031000.000000,0.000000,2660000.000000,0.000000,0.000000,2660000.000000,-429805000.000000,-424862000.000000,24255000.000000,-141000.000000,6479000.000000,6479000.000000,6479000.000000,0.000000,0.000000,0.049000,100991000.000000,3778000.000000,14205000.000000,0.000000,25.676000,,,85370000.000000,0.000000,68.860000,,,108437000.000000,-117137000.000000,131248000.000000,131248000.000000,40824000.000000,,,,,12060000.000000,60167000.000000,1.000000,299378614.000000,295455000.000000,327801000.000000,0.444000,1056589000.000000,0.000000,195000.000000,0.000000,3.576000
ARQ,2020-06-30,2020-08-07,2020-06-30,2020-Q2,1384664000.000000,22835093203.000000,2025-05-07,2065000.000000,1783706000.000000,,1626072000.000000,157634000.000000,,3.050000,-6135000.000000,209653000.000000,209653000.000000,28878000.000000,284000.000000,6.736000,0.954000,627026000.000000,14524000.000000,612502000.000000,627026000.000000,165275000.000000,7032000.000000,0.000000,0.000000,0.000000,5120000.000000,12152000.000000,0.087000,12152000.000000,5120000.000000,826000.000000,0.000000,0.000000,0.000000,912871000.000000,,912871000.000000,23252466203.000000,2607.000000,618.203000,18603000.000000,0.062000,1.000000,111134000.000000,0.794000,19446000.000000,4294000.000000,1940225000.000000,,0.000000,1259597000.000000,1259597000.000000,0.000000,870835000.000000,241408000.000000,629427000.000000,11502000.000000,-2363000.000000,11834000.000000,641056000.000000,0.000000,652031000.000000,-665295000.000000,-656797000.000000,24738000.000000,28000.000000,284000.000000,284000.000000,284000.000000,0.000000,0.000000,0.002000,110480000.000000,654000.000000,18010000.000000,,25.015000,6537.387000,1254.667000,95352000.000000,0.000000,75.280000,47.497000,46.860000,124078000.000000,-116853000.000000,140012000.000000,140012000.000000,45664000.000000,,,,,16834000.000000,64816000.000000,1.000000,303335457.000000,299267000.000000,330847000.000000,0.468000,1764260000.000000,0.000000,542000.000000,11203000.000000,5.895000
ARQ,2020-09-30,2020-11-12,2020-09-30,2020-Q3,1398325000.000000,27410956733.000000,2025-05-07,2645000.000000,1814284000.000000,,1652975000.000000,161309000.000000,,3.094000,-7629000.000000,202130000.000000,202130000.000000,33984000.000000,-15150000.000000,6.491000,0.938000,632416000.000000,15058000.000000,617358000.000000,632416000.000000,166454000.000000,7425000.000000,0.000000,0.000000,0.000000,-2132000.000000,5293000.000000,0.034000,5293000.000000,-2132000.000000,-14555000.000000,-0.050000,-0.050000,-0.050000,936188000.000000,,936188000.000000,27841242733.000000,2551.000000,709.530000,28641000.000000,0.095000,1.000000,120691000.000000,0.780000,19538000.000000,12423000.000000,1970382000.000000,,0.000000,1296261000.000000,1296261000.000000,0.000000,878096000.000000,254650000.000000,623446000.000000,-7530000.000000,0.000000,5119000.000000,-474000.000000,0.000000,4527000.000000,-48833000.000000,-41204000.000000,36270000.000000,506000.000000,-15150000.000000,-15150000.000000,-15150000.000000,0.000000,0.000000,-0.098000,129958000.000000,-9267000.000000,21199000.000000,0.000000,29.279000,-3656.744000,1800.200000,97424000.000000,0.000000,90.010000,50.801000,50.471000,120992000.000000,-132003000.000000,154675000.000000,154675000.000000,56440000.000000,,,,,20716000.000000,73518000.000000,1.000000,304532349.000000,302554000.000000,302554000.000000,0.511000,1794746000.000000,0.000000,595000.000000,0.000000,5.932000
ARQ,2020-12-31,2021-03-01,2020-12-31,2020-Q4,1420236000.000000,29916662158.000000,2025-05-07,2287000.000000,1890285000.000000,,1718080000.000000,172205000.000000,,3.149000,-7176000.000000,228711000.000000,228711000.000000,40857000.000000,-16160000.000000,5.768000,0.974000,643623000.000000,16326000.000000,627297000.000000,643623000.000000,208275000.000000,8139000.000000,0.000000,0.000000,0.000000,-2157000.000000,5982000.000000,0.034000,5982000.000000,-2157000.000000,-15167000.000000,-0.050000,-0.050000,-0.050000,957432000.000000,,957432000.000000,30331574158.000000,3694.000000,804.082000,16652000.000000,0.055000,1.000000,136674000.000000,0.770000,19678000.000000,13010000.000000,1987675000.000000,,0.000000,1292532000.000000,1292532000.000000,0.000000,932853000.000000,297844000.000000,635009000.000000,26581000.000000,0.000000,11121000.000000,0.000000,0.000000,11058000.000000,-8691000.000000,-1515000.000000,23828000.000000,386000.000000,-16160000.000000,-16160000.000000,-16160000.000000,0.000000,0.000000,-0.091000,145612000.000000,-8938000.000000,21342000.000000,0.000000,31.247000,-1218.750000,-1220.125000,105026000.000000,0.000000,97.610000,49.575000,48.581000,163359000.000000,-148163000.000000,177531000.000000,177531000.000000,67698000.000000,,,,,24764000.000000,77914000.000000,1.000000,306491775.000000,304085000.000000,304085000.000000,0.584000,1870607000.000000,0.000000,993000.000000,0.000000,6.152000
ARQ,2021-03-31,2021-05-07,2021-03-31,2021-Q1,1426043000.000000,23834956773.000000,2025-05-07,752000.000000,1952074000.000000,,1746857000.000000,205217000.000000,,2.749000,-7181000.000000,373319000.000000,373319000.000000,46666000.000000,-13068000.000000,5.445000,1.320000,796214000.000000,16626000.000000,779588000.000000,796214000.000000,229275000.000000,8414000.000000,0.000000,0.000000,0.000000,-7057000.000000,1357000.000000,0.007000,1357000.000000,-7057000.000000,-12529000.000000,-0.040000,-0.040000,-0.040000,841330000.000000,,841330000.000000,24257851773.000000,-3896.000000,978.771000,44469000.000000,0.145000,1.000000,151883000.000000,0.765000,51893000.000000,5472000.000000,2002262000.000000,,0.000000,1178190000.000000,1178190000.000000,0.000000,1110744000.000000,320814000.000000,789930000.000000,144608000.000000,-11509000.000000,3275000.000000,0.000000,0.000000,3030000.000000,90710000.000000,109400000.000000,51650000.000000,-782000.000000,-13068000.000000,-13068000.000000,-13068000.000000,0.000000,0.000000,-0.066000,164713000.000000,-12830000.000000,12065000.000000,0.000000,28.330000,-540.549000,-552.071000,105922000.000000,0.000000,77.290000,35.534000,35.263000,154111000.000000,-144429000.000000,198549000.000000,198549000.000000,79266000.000000,,,,,28861000.000000,85447000.000000,1.000000,308383449.000000,306034000.000000,306034000.000000,0.649000,1900181000.000000,0.000000,539000.000000,0.000000,6.209000
ARQ,2021-06-30,2021-08-06,2021-06-30,2021-Q2,1261329000.000000,40897297396.000000,2025-05-07,832000.000000,2076733000.000000,,1642386000.000000,434347000.000000,,2.964000,-9438000.000000,251104000.000000,251104000.000000,57098000.000000,-9362000.000000,4.310000,1.275000,792879000.000000,16626000.000000,776253000.000000,792879000.000000,265927000.000000,9512000.000000,0.000000,0.000000,0.000000,-4594000.000000,4918000.000000,0.021000,4918000.000000,-4594000.000000,-9658000.000000,-0.030000,-0.030000,-0.030000,912879000.000000,,912879000.000000,41439072396.000000,-2600.000000,2361.201000,42285000.000000,0.137000,1.000000,176451000.000000,0.756000,270425000.000000,5064000.000000,1967026000.000000,,0.000000,1162717000.000000,1162717000.000000,0.000000,1163854000.000000,381057000.000000,782797000.000000,-122215000.000000,-188839000.000000,12681000.000000,0.000000,0.000000,12681000.000000,-186739000.000000,11538000.000000,51723000.000000,120000.000000,-9362000.000000,-9362000.000000,-9362000.000000,0.000000,0.000000,-0.040000,186337000.000000,-9886000.000000,29257000.000000,0.000000,44.800000,-761.022000,-776.000000,109744000.000000,0.000000,131.920000,53.509000,53.165000,188326000.000000,-153791000.000000,233549000.000000,233549000.000000,94779000.000000,,,,,34515000.000000,91558000.000000,1.000000,310015899.000000,308019000.000000,308019000.000000,0.758000,1806308000.000000,0.000000,-296000.000000,0.000000,5.864000
