dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1993-09-30,1993-12-22,1993-09-30,1993-Q4,,23875735810.000000,2025-05-07,36700000.000000,11751100000.000000,,,,,3.080000,,363000000.000000,363000000.000000,,,,1.336000,2385800000.000000,,,2385800000.000000,0.000000,,0.000000,0.005000,0.021000,,,,,,,,,,5030500000.000000,,5030500000.000000,25898535810.000000,31.000000,21.682000,,,1.000000,,,0.000000,,13773900000.000000,,608900000.000000,1888500000.000000,,,6720600000.000000,,,,,,,,,,,,,,,,,,,,,2530100000.000000,,4.746000,79.639000,81.056000,5228200000.000000,,14.833000,2.799000,2.841000,1390300000.000000,4833100000.000000,,,,,,,,,,1.000000,1609600167.000000,1633500000.000000,,,11751100000.000000,0.000000,,964000000.000000,7.194000
ARQ,1993-12-31,1994-02-09,1993-12-31,1994-Q1,,24297955759.000000,2025-05-07,43800000.000000,12600300000.000000,,,,,3.306000,237600000.000000,685100000.000000,685100000.000000,2102900000.000000,368600000.000000,,1.330000,2654400000.000000,,,2654400000.000000,0.000000,85100000.000000,0.000000,0.006000,0.021000,585000000.000000,670100000.000000,0.246000,670100000.000000,585000000.000000,585000000.000000,0.227000,0.227000,0.227000,5407600000.000000,,5407600000.000000,26267255759.000000,,,868300000.000000,0.531000,1.000000,624400000.000000,0.229000,0.000000,0.000000,14569600000.000000,,473600000.000000,1802400000.000000,,,7192700000.000000,,,322100000.000000,0.000000,0.000000,268600000.000000,-33500000.000000,266800000.000000,575400000.000000,-86100000.000000,630700000.000000,0.000000,368600000.000000,368600000.000000,368600000.000000,0.000000,0.000000,0.135000,43600000.000000,580800000.000000,0.000000,0.093000,4.493000,,,5380700000.000000,0.000000,15.083000,,,1782700000.000000,5168100000.000000,2727300000.000000,2727300000.000000,0.000000,,,,,0.000000,43600000.000000,1.000000,1610914194.000000,1635900000.000000,1635900000.000000,1.667000,12600300000.000000,0.000000,216400000.000000,689300000.000000,7.702000
ARQ,1994-03-31,1994-05-13,1994-03-31,1994-Q2,,22366278964.000000,2025-05-07,47800000.000000,12822200000.000000,,,,,3.431000,255200000.000000,673600000.000000,673600000.000000,1865800000.000000,248400000.000000,,1.275000,2717800000.000000,,,2717800000.000000,0.000000,95300000.000000,0.000000,0.006000,0.025000,381000000.000000,476300000.000000,0.209000,476300000.000000,381000000.000000,381000000.000000,0.150000,0.150000,0.150000,5635500000.000000,,5635500000.000000,24410478964.000000,,,999600000.000000,0.609000,1.000000,410000000.000000,0.180000,0.000000,0.000000,14866400000.000000,,502600000.000000,2048200000.000000,,,7186700000.000000,,,-11500000.000000,0.000000,0.000000,63400000.000000,-40300000.000000,38600000.000000,794500000.000000,245800000.000000,744400000.000000,0.000000,248400000.000000,248400000.000000,248400000.000000,0.000000,0.000000,0.109000,37400000.000000,372600000.000000,0.000000,0.167000,3.969000,,,5540600000.000000,0.000000,13.877000,,,1590000000.000000,5376200000.000000,2275800000.000000,2275800000.000000,0.000000,,,,,0.000000,37400000.000000,1.000000,1611790461.000000,1642500000.000000,1642500000.000000,1.386000,12822200000.000000,0.000000,132600000.000000,698900000.000000,7.807000
ARQ,1994-06-30,1994-08-15,1994-06-30,1994-Q3,,23214350339.000000,2025-05-07,48500000.000000,12659900000.000000,,,,,3.549000,275600000.000000,707000000.000000,707000000.000000,1861000000.000000,267500000.000000,,1.177000,2550900000.000000,,,2550900000.000000,0.000000,109000000.000000,0.000000,0.006000,0.025000,405300000.000000,514300000.000000,0.219000,514300000.000000,405300000.000000,405300000.000000,0.163000,0.163000,0.163000,5814200000.000000,,5814200000.000000,25058250339.000000,,,916600000.000000,0.559000,1.000000,492600000.000000,0.209000,0.000000,0.000000,14503800000.000000,,593000000.000000,1766800000.000000,,,6845700000.000000,,,33400000.000000,0.000000,0.000000,-166900000.000000,-40200000.000000,-256800000.000000,350800000.000000,-281400000.000000,641000000.000000,0.000000,267500000.000000,267500000.000000,267500000.000000,0.000000,0.000000,0.114000,39600000.000000,453000000.000000,0.000000,0.153000,3.993000,,,5707200000.000000,0.000000,14.460000,,,1436000000.000000,5603600000.000000,2353600000.000000,2353600000.000000,0.000000,,,,,0.000000,39600000.000000,1.000000,1605418419.000000,1638300000.000000,1638300000.000000,1.437000,12659900000.000000,0.000000,137800000.000000,707700000.000000,7.727000
ARQ,1994-09-30,1994-12-15,1994-09-30,1994-Q4,,22688352645.000000,2025-05-07,59100000.000000,12826300000.000000,,,,,3.368000,-1794500000.000000,186900000.000000,186900000.000000,2259800000.000000,225900000.000000,,1.329000,2936900000.000000,,,2936900000.000000,0.000000,120300000.000000,0.000000,0.007000,0.025000,451600000.000000,571900000.000000,0.212000,571900000.000000,451600000.000000,331700000.000000,0.140000,0.140000,0.140000,5508300000.000000,,5508300000.000000,25438352645.000000,14.000000,11.394000,-1003300000.000000,-0.613000,1.000000,438600000.000000,0.163000,0.000000,119900000.000000,15576300000.000000,,668300000.000000,1953100000.000000,,,7318000000.000000,,,-520100000.000000,-971100000.000000,-570700000.000000,386000000.000000,-39200000.000000,-145300000.000000,-4607400000.000000,663100000.000000,791200000.000000,0.000000,225900000.000000,225900000.000000,225900000.000000,0.000000,0.000000,0.084000,41600000.000000,397000000.000000,2474800000.000000,0.179000,4.119000,20.433000,21.510000,5814500000.000000,0.000000,14.627000,2.256000,2.379000,1670500000.000000,5790300000.000000,2698400000.000000,2698400000.000000,0.000000,,,,,0.000000,41600000.000000,1.000000,1551163581.000000,1635600000.000000,1635600000.000000,1.650000,12826300000.000000,0.000000,105800000.000000,1206400000.000000,7.842000
ARQ,1994-12-31,1995-02-14,1994-12-31,1995-Q1,,27216840077.000000,2025-05-07,-800000.000000,13805000000.000000,,,,,3.546000,-220000000.000000,1137600000.000000,1137600000.000000,2510900000.000000,482400000.000000,,1.459000,3665400000.000000,,,3665400000.000000,0.000000,103100000.000000,0.000000,0.006000,0.025000,739900000.000000,843000000.000000,0.255000,843000000.000000,739900000.000000,739900000.000000,0.303000,0.303000,0.303000,5614300000.000000,,5614300000.000000,29744640077.000000,15.000000,12.365000,551600000.000000,0.348000,1.000000,790800000.000000,0.240000,0.000000,0.000000,16332800000.000000,,598200000.000000,1411100000.000000,,,8190700000.000000,,,950700000.000000,144800000.000000,-348700000.000000,728500000.000000,-38800000.000000,351500000.000000,-172400000.000000,352500000.000000,771600000.000000,0.000000,482400000.000000,482400000.000000,482400000.000000,0.000000,0.000000,0.146000,42300000.000000,748500000.000000,0.000000,0.083000,4.848000,22.232000,23.065000,5928400000.000000,0.000000,17.460000,2.561000,2.601000,2073700000.000000,6233900000.000000,3301700000.000000,3301700000.000000,0.000000,,,,,0.000000,42300000.000000,1.000000,1558811001.000000,1583400000.000000,1583400000.000000,2.085000,13805000000.000000,0.000000,257500000.000000,683600000.000000,8.719000
ARQ,1995-03-31,1995-05-10,1995-03-31,1995-Q2,,27660764766.000000,2025-05-07,53800000.000000,14048200000.000000,,,,,3.812000,-203600000.000000,882300000.000000,882300000.000000,2316200000.000000,315500000.000000,,1.321000,3186200000.000000,,,3186200000.000000,0.000000,114500000.000000,0.000000,0.006000,0.030000,483900000.000000,598400000.000000,0.205000,598400000.000000,483900000.000000,483900000.000000,0.200000,0.200000,0.200000,6052200000.000000,,6052200000.000000,29964664766.000000,14.000000,11.855000,851000000.000000,0.536000,1.000000,606600000.000000,0.208000,0.000000,0.000000,16352100000.000000,,624900000.000000,1666900000.000000,,,7996000000.000000,,,-255300000.000000,0.000000,0.000000,-479200000.000000,-46900000.000000,-474200000.000000,-835700000.000000,-124700000.000000,1054600000.000000,0.000000,315500000.000000,315500000.000000,315500000.000000,0.000000,0.000000,0.108000,45800000.000000,560800000.000000,0.000000,0.150000,4.570000,21.421000,21.892000,6013200000.000000,0.000000,17.667000,2.453000,2.487000,1839100000.000000,6502500000.000000,2922800000.000000,2922800000.000000,0.000000,,,,,0.000000,45800000.000000,1.000000,1565703666.000000,1587600000.000000,1587600000.000000,1.841000,14048200000.000000,0.000000,168400000.000000,748600000.000000,8.849000
ARQ,1995-06-30,1995-08-11,1995-06-30,1995-Q3,,29536720604.000000,2025-05-07,38400000.000000,14381300000.000000,,,,,3.996000,-271000000.000000,956700000.000000,956700000.000000,2201700000.000000,318200000.000000,,1.256000,3362200000.000000,,,3362200000.000000,0.000000,128300000.000000,0.000000,0.006000,0.030000,488100000.000000,616400000.000000,0.223000,616400000.000000,488100000.000000,488100000.000000,0.200000,0.200000,0.200000,6374100000.000000,,6374100000.000000,31942220604.000000,15.000000,12.147000,648600000.000000,0.407000,1.000000,562300000.000000,0.203000,0.000000,0.000000,16786800000.000000,,727900000.000000,2017200000.000000,,,8007200000.000000,,,74400000.000000,0.000000,0.000000,176000000.000000,-47000000.000000,198000000.000000,-1043200000.000000,-290300000.000000,919600000.000000,0.000000,318200000.000000,318200000.000000,318200000.000000,0.000000,0.000000,0.115000,38700000.000000,523600000.000000,0.000000,0.150000,4.634000,22.009000,22.341000,6131900000.000000,0.000000,18.833000,2.527000,2.570000,1449900000.000000,6773700000.000000,2764000000.000000,2764000000.000000,0.000000,,,,,0.000000,38700000.000000,1.000000,1568321448.000000,1595100000.000000,1595100000.000000,1.733000,14381300000.000000,0.000000,169900000.000000,787100000.000000,9.016000
ARQ,1995-09-30,1995-12-19,1995-09-30,1995-Q4,,31296436033.000000,2025-05-07,37300000.000000,14605800000.000000,,,,,4.175000,-201900000.000000,1076500000.000000,1076500000.000000,2637600000.000000,264000000.000000,,1.196000,2984300000.000000,,,2984300000.000000,0.000000,124300000.000000,0.000000,0.006000,0.030000,583000000.000000,707300000.000000,0.226000,707300000.000000,583000000.000000,404700000.000000,0.163000,0.163000,0.163000,6650800000.000000,,6650800000.000000,33204236033.000000,14.000000,12.008000,562400000.000000,0.353000,1.000000,486000000.000000,0.156000,0.000000,178300000.000000,16513600000.000000,,824000000.000000,1399200000.000000,,,7955000000.000000,,,119800000.000000,0.000000,0.000000,-411100000.000000,-47300000.000000,-407400000.000000,-237100000.000000,489600000.000000,764300000.000000,0.000000,264000000.000000,264000000.000000,264000000.000000,0.000000,0.000000,0.085000,56800000.000000,429200000.000000,2842500000.000000,0.184000,4.706000,22.677000,22.926000,6190300000.000000,0.000000,19.877000,2.584000,2.611000,1792800000.000000,6990400000.000000,3123600000.000000,3123600000.000000,0.000000,,,,,0.000000,56800000.000000,1.000000,1574531412.000000,1593000000.000000,1593000000.000000,1.961000,14605800000.000000,0.000000,140700000.000000,1267500000.000000,9.169000
ARQ,1995-12-31,1996-02-14,1995-12-31,1996-Q1,,33624273856.000000,2025-05-07,45000000.000000,15276000000.000000,,,,,4.447000,-375000000.000000,997000000.000000,997000000.000000,2965000000.000000,496000000.000000,,1.144000,2775000000.000000,,,2775000000.000000,0.000000,125000000.000000,0.000000,0.006000,0.030000,777000000.000000,902000000.000000,0.236000,902000000.000000,777000000.000000,764000000.000000,0.310000,0.310000,0.310000,7124000000.000000,,7124000000.000000,35402273856.000000,15.000000,12.536000,594000000.000000,0.371000,1.000000,853000000.000000,0.223000,0.000000,13000000.000000,17054000000.000000,,784000000.000000,1120000000.000000,,,8152000000.000000,,,-80000000.000000,0.000000,0.000000,-219000000.000000,-47000000.000000,-253000000.000000,-796000000.000000,213000000.000000,969000000.000000,0.000000,496000000.000000,496000000.000000,496000000.000000,0.000000,0.000000,0.130000,54000000.000000,799000000.000000,0.000000,0.097000,4.720000,24.126000,24.437000,6440000000.000000,0.000000,21.333000,2.663000,2.706000,2416000000.000000,7439000000.000000,3818000000.000000,3818000000.000000,0.000000,,,,,0.000000,54000000.000000,1.000000,1576137837.000000,1602000000.000000,1602000000.000000,2.383000,15276000000.000000,0.000000,268000000.000000,1147000000.000000,9.536000
