dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-05-20,2020-12-31,2020-Q4,39711000.000000,,2025-05-14,0.000000,200467000.000000,,194854000.000000,5613000.000000,,0.154000,,111733000.000000,111733000.000000,,,1.256000,3.450000,218000.000000,201000.000000,17000.000000,218000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,45052000.000000,,45052000.000000,,,,,,1.000000,,,4153000.000000,,-70344000.000000,,0.000000,8319000.000000,8319000.000000,0.000000,155419000.000000,155143000.000000,276000.000000,,,,,,,,,,,,,,,,,,,142865000.000000,,,,,1101000.000000,,,,,72785000.000000,31749000.000000,,,,,,,,,,1.000000,292915765.000000,292915765.000000,,,196314000.000000,216000.000000,,8047000.000000,0.670000
ARQ,2021-03-31,2021-05-24,2021-03-31,2021-Q1,102988000.000000,,2025-05-14,0.000000,418894000.000000,,412368000.000000,6526000.000000,,0.372000,-435000.000000,276912000.000000,276912000.000000,16989000.000000,16927000.000000,1.333000,2.840000,170000.000000,170000.000000,0.000000,170000.000000,0.000000,515000.000000,0.000000,,0.000000,18762000.000000,19277000.000000,0.479000,19277000.000000,18762000.000000,18299000.000000,0.062000,0.058000,0.062000,109080000.000000,,109080000.000000,,,,3601000.000000,0.012000,1.000000,23267000.000000,0.578000,4941000.000000,463000.000000,-172169000.000000,,0.000000,1261000.000000,1261000.000000,0.000000,309802000.000000,309380000.000000,422000.000000,15979000.000000,-38670000.000000,195751000.000000,-52000.000000,0.000000,45828000.000000,-33244000.000000,7076000.000000,4036000.000000,-211000.000000,16920000.000000,16920000.000000,16920000.000000,0.000000,7000.000000,0.420000,4482000.000000,18785000.000000,299837000.000000,0.000000,,,,1448000.000000,0.000000,,,,92946000.000000,48712000.000000,40256000.000000,40256000.000000,520000.000000,,,,,565000.000000,6804000.000000,1.000000,292915765.000000,292915765.000000,,0.137000,413953000.000000,137000.000000,1379000.000000,8435000.000000,1.413000
ARQ,2021-06-30,2021-08-19,2021-06-30,2021-Q2,186544000.000000,18286731209.000000,2025-05-14,0.000000,493692000.000000,,442951000.000000,50741000.000000,,0.795000,,265954000.000000,265954000.000000,25170000.000000,17708000.000000,1.728000,1.119000,4068000.000000,369000.000000,3699000.000000,4068000.000000,0.000000,,0.000000,0.000000,0.000000,19077000.000000,,,,19077000.000000,19304000.000000,0.061000,0.057000,0.061000,232930000.000000,,232930000.000000,18024845209.000000,,,,,1.000000,33791000.000000,0.573000,44621000.000000,-227000.000000,-69222000.000000,,0.000000,1260000.000000,1260000.000000,0.000000,260750000.000000,256407000.000000,4343000.000000,,,,,,,,,,,17708000.000000,17708000.000000,17708000.000000,0.000000,0.000000,0.300000,14873000.000000,18918000.000000,247056000.000000,0.000000,78.507000,,,6044000.000000,0.000000,62.430000,,,173979000.000000,66490000.000000,58961000.000000,58961000.000000,596000.000000,,,,,,14558000.000000,1.000000,292915765.000000,292915765.000000,,0.201000,449071000.000000,76000.000000,1596000.000000,6687000.000000,1.533000
ARQ,2021-09-30,2021-11-17,2021-09-30,2021-Q3,206982000.000000,10222760198.000000,2025-05-14,0.000000,515870000.000000,,463546000.000000,52324000.000000,,0.870000,,293055000.000000,293055000.000000,34202000.000000,19669000.000000,1.807000,1.024000,4032000.000000,272000.000000,3760000.000000,4032000.000000,0.000000,,0.000000,0.000000,0.000000,22496000.000000,,,,22496000.000000,22221000.000000,0.070000,0.060000,0.070000,254873000.000000,,254873000.000000,9933737198.000000,,,,,1.000000,34444000.000000,0.502000,45799000.000000,275000.000000,-75516000.000000,,0.000000,1066000.000000,1066000.000000,0.000000,260979000.000000,256564000.000000,4415000.000000,,,,,,,,,,,19663000.000000,19663000.000000,19663000.000000,0.000000,6000.000000,0.286000,12875000.000000,21569000.000000,244476000.000000,0.000000,40.109000,,,6273000.000000,0.000000,34.900000,,,167600000.000000,86204000.000000,68646000.000000,68646000.000000,1116000.000000,,,,,,12142000.000000,1.000000,292915765.000000,292915765.000000,,0.234000,470071000.000000,252000.000000,2558000.000000,9397000.000000,1.605000
ARQ,2021-12-31,2022-03-15,2021-12-31,2021-Q4,231108000.000000,7620584631.000000,2025-05-14,0.000000,583008000.000000,,529506000.000000,53502000.000000,,0.950000,-310000.000000,336197000.000000,336197000.000000,37316000.000000,23549000.000000,1.774000,1.080000,8942000.000000,5516000.000000,3426000.000000,8942000.000000,0.000000,1507000.000000,0.000000,0.000000,0.000000,25732000.000000,27239000.000000,0.357000,27239000.000000,25732000.000000,25699000.000000,0.080000,0.070000,0.080000,280319000.000000,,280319000.000000,7293329631.000000,85.000000,80.311000,40881000.000000,0.139000,1.000000,38941000.000000,0.511000,46969000.000000,33000.000000,-89614000.000000,,0.000000,1004000.000000,1004000.000000,0.000000,302707000.000000,298398000.000000,4309000.000000,42970000.000000,,0.000000,4851000.000000,0.000000,4877000.000000,-1253000.000000,1550000.000000,41191000.000000,172000.000000,23585000.000000,23585000.000000,23585000.000000,0.000000,-36000.000000,0.309000,14375000.000000,24566000.000000,277160000.000000,0.000000,27.185000,97.855000,95.667000,6400000.000000,0.000000,25.830000,31.217000,31.217000,190966000.000000,109867000.000000,76257000.000000,76257000.000000,1154000.000000,,,,,2236000.000000,13049000.000000,1.000000,295028441.000000,295028441.000000,,0.258000,536039000.000000,133000.000000,2114000.000000,14009000.000000,1.817000
ARQ,2021-12-31,2022-05-02,2021-12-31,2021-Q4,231108000.000000,6785654143.000000,2025-05-14,0.000000,583008000.000000,,529506000.000000,53502000.000000,,0.950000,-310000.000000,336197000.000000,336197000.000000,37316000.000000,23549000.000000,1.774000,1.080000,8942000.000000,5516000.000000,3426000.000000,8942000.000000,0.000000,1507000.000000,0.000000,0.000000,0.000000,25732000.000000,27239000.000000,0.357000,27239000.000000,25732000.000000,25699000.000000,0.080000,0.070000,0.080000,280319000.000000,,280319000.000000,6458399143.000000,75.000000,71.117000,40881000.000000,0.139000,1.000000,38941000.000000,0.511000,46969000.000000,33000.000000,-89614000.000000,,0.000000,1004000.000000,1004000.000000,0.000000,302707000.000000,298398000.000000,4309000.000000,42970000.000000,,0.000000,4851000.000000,0.000000,4877000.000000,-1253000.000000,1550000.000000,41191000.000000,172000.000000,23585000.000000,23585000.000000,23585000.000000,0.000000,-36000.000000,0.309000,14375000.000000,24566000.000000,277160000.000000,0.000000,24.207000,87.134000,85.185000,6400000.000000,0.000000,23.000000,27.796000,27.796000,190966000.000000,109867000.000000,76257000.000000,76257000.000000,1154000.000000,,,,,2236000.000000,13049000.000000,1.000000,295028441.000000,295028441.000000,,0.258000,536039000.000000,133000.000000,2114000.000000,14009000.000000,1.817000
ARQ,2022-03-31,2022-05-18,2022-03-31,2022-Q1,259261000.000000,6552139990.000000,2025-05-14,0.000000,684539000.000000,,629729000.000000,54810000.000000,,1.051000,-80000.000000,410064000.000000,410064000.000000,43899000.000000,26273000.000000,1.700000,1.207000,9946000.000000,6579000.000000,3367000.000000,9946000.000000,0.000000,1723000.000000,0.000000,0.000000,0.000000,28804000.000000,30527000.000000,0.349000,30527000.000000,28804000.000000,27505000.000000,0.090000,0.080000,0.090000,310165000.000000,,310165000.000000,6152021990.000000,64.000000,,77153000.000000,0.261000,1.000000,43554000.000000,0.498000,48056000.000000,1299000.000000,-134103000.000000,,0.000000,1286000.000000,1286000.000000,0.000000,374411000.000000,370468000.000000,3943000.000000,74011000.000000,0.000000,358000.000000,-255000.000000,,66000.000000,-1965000.000000,624000.000000,77233000.000000,-144000.000000,26292000.000000,26292000.000000,26292000.000000,0.000000,-19000.000000,0.301000,14469000.000000,29085000.000000,346776000.000000,0.000000,21.125000,75.098000,73.754000,6176000.000000,0.000000,22.200000,22.491000,22.491000,217191000.000000,135825000.000000,87453000.000000,87453000.000000,1406000.000000,,,,,2034000.000000,13138000.000000,1.000000,295141441.000000,295141441.000000,,0.296000,636483000.000000,578000.000000,1213000.000000,14144000.000000,2.157000
ARQ,2022-06-30,2022-08-23,2022-06-30,2022-Q2,291387000.000000,7545728945.000000,2025-05-14,0.000000,710704000.000000,,655068000.000000,55636000.000000,,1.160000,-494000.000000,453985000.000000,453985000.000000,51541000.000000,30722000.000000,1.801000,1.071000,18580000.000000,15204000.000000,3376000.000000,18580000.000000,0.000000,1857000.000000,0.000000,0.000000,0.000000,40000000.000000,41857000.000000,0.414000,41857000.000000,40000000.000000,34723000.000000,0.100000,0.100000,0.100000,343089000.000000,,343089000.000000,7110323945.000000,61.000000,,35727000.000000,0.121000,1.000000,49639000.000000,0.491000,48679000.000000,5277000.000000,-137061000.000000,,0.000000,1065000.000000,1065000.000000,0.000000,367502000.000000,363681000.000000,3821000.000000,44163000.000000,,548000.000000,9222000.000000,,8628000.000000,1919000.000000,4630000.000000,36221000.000000,-242000.000000,30572000.000000,30572000.000000,30572000.000000,0.000000,150000.000000,0.302000,14547000.000000,35092000.000000,335576000.000000,0.000000,21.994000,75.373000,75.029000,6516000.000000,0.000000,25.510000,22.623000,22.623000,197548000.000000,167176000.000000,101180000.000000,101180000.000000,1643000.000000,,,,,1241000.000000,12223000.000000,1.000000,295794941.000000,295794941.000000,,0.342000,662025000.000000,441000.000000,4151000.000000,11032000.000000,2.238000
ARQ,2022-09-30,2022-11-15,2022-09-30,2022-Q3,323968000.000000,6276768648.000000,2025-05-14,0.000000,834580000.000000,,776852000.000000,57728000.000000,,1.277000,-285000.000000,542298000.000000,542298000.000000,57992000.000000,32338000.000000,1.715000,1.209000,18856000.000000,15407000.000000,3449000.000000,18856000.000000,0.000000,2110000.000000,0.000000,0.000000,0.000000,44038000.000000,46148000.000000,0.413000,46148000.000000,44038000.000000,34749000.000000,0.110000,0.100000,0.110000,377755000.000000,,377755000.000000,5753326648.000000,42.000000,39.468000,89036000.000000,0.301000,1.000000,53872000.000000,0.482000,49875000.000000,9289000.000000,-191621000.000000,,0.000000,1065000.000000,1065000.000000,0.000000,456836000.000000,452884000.000000,3952000.000000,88783000.000000,,2818000.000000,193000.000000,,-170000.000000,2660000.000000,6599000.000000,89321000.000000,-470000.000000,32462000.000000,32462000.000000,32462000.000000,0.000000,-124000.000000,0.290000,16641000.000000,37231000.000000,423606000.000000,0.000000,16.616000,55.590000,55.842000,6752000.000000,0.000000,21.220000,16.660000,16.660000,228895000.000000,200460000.000000,111864000.000000,111864000.000000,1692000.000000,,,,,1599000.000000,14955000.000000,1.000000,295794941.000000,295794941.000000,,0.378000,784705000.000000,1101000.000000,2287000.000000,12388000.000000,2.653000
ARQ,2022-12-31,2023-04-05,2022-12-31,2022-Q4,345556000.000000,3699098552.000000,2025-05-14,0.000000,826301000.000000,,767828000.000000,58473000.000000,,1.349000,-128000.000000,468092000.000000,468092000.000000,63326000.000000,19364000.000000,1.818000,1.068000,4079000.000000,686000.000000,3393000.000000,4079000.000000,0.000000,2457000.000000,0.000000,0.000000,0.000000,32095000.000000,34552000.000000,0.292000,34552000.000000,32095000.000000,23292000.000000,0.070000,0.060000,0.070000,399629000.000000,,399629000.000000,3235085552.000000,22.000000,21.133000,-39584000.000000,-0.134000,1.000000,55102000.000000,0.465000,51443000.000000,8803000.000000,-111427000.000000,,0.000000,1295000.000000,1295000.000000,0.000000,426681000.000000,422272000.000000,4409000.000000,-75528000.000000,0.000000,-1806000.000000,-16508000.000000,,-35851000.000000,1691000.000000,5469000.000000,-39456000.000000,1322000.000000,19357000.000000,19357000.000000,19357000.000000,0.000000,7000.000000,0.163000,28600000.000000,26502000.000000,407874000.000000,0.000000,9.256000,34.036000,33.757000,6668000.000000,0.000000,12.490000,8.830000,8.830000,240446000.000000,219993000.000000,118428000.000000,118428000.000000,1607000.000000,,,,,3810000.000000,21362000.000000,1.000000,296164816.000000,296164816.000000,,0.400000,774858000.000000,362000.000000,3935000.000000,12711000.000000,2.616000
