dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-09-30,2021-06-17,2020-09-30,2020-Q4,727293.000000,,2025-02-24,0.000000,880216.000000,,878216.000000,2000.000000,,1.009000,,799929.000000,666608.000000,,,5.819000,0.207000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,729293.000000,,607744.000000,,,,,,1.200000,,,2000.000000,,-72636.000000,,0.000000,0.000000,0.000000,0.000000,150923.000000,150923.000000,0.000000,,,,,,,,,,,,,,,,,,,150923.000000,,,,,0.000000,,,,,0.000000,-559094.000000,,,,,,,,,,1.000000,1964672.000000,722487.000000,,,878216.000000,0.000000,,0.000000,1.216000
ARQ,2021-03-31,2021-07-29,2021-03-31,2021-Q2,25330313.000000,,2025-02-24,0.000000,25741551.000000,,25739551.000000,2000.000000,,18.281000,,25450001.000000,20039371.000000,0.000000,-1583277.000000,62.896000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,-1583277.000000,,,,-1246675.000000,-1583277.000000,-1.150000,-1.150000,-0.906000,25332313.000000,,19946703.000000,,,,,,1.270000,0.000000,,2000.000000,0.000000,-119688.000000,,0.000000,0.000000,0.000000,0.000000,409238.000000,409238.000000,0.000000,,,,,,,,,,,-1583277.000000,-1583277.000000,-1246675.000000,0.000000,0.000000,,1556312.000000,-1556312.000000,409238.000000,0.000000,,,,0.000000,0.000000,,,,490.000000,-2809429.000000,0.000000,0.000000,980169.000000,,,,,,305512.000000,1.000000,1964672.000000,1385686.000000,1385686.000000,0.000000,25739551.000000,36256.000000,0.000000,0.000000,18.575000
ARQ,2021-03-31,2021-08-13,2021-03-31,2021-Q2,25330313.000000,,2025-02-24,0.000000,25741551.000000,,25739551.000000,2000.000000,,18.281000,,25450001.000000,20360001.000000,0.000000,-1583277.000000,62.896000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,-1583277.000000,,,,-1266622.000000,-1583277.000000,-1.150000,-1.150000,-0.920000,25332313.000000,,20265850.000000,,,,,,1.250000,0.000000,,2000.000000,0.000000,-119688.000000,,0.000000,0.000000,0.000000,0.000000,409238.000000,409238.000000,0.000000,,,,,,,,,,,-1583277.000000,-1583277.000000,-1266622.000000,0.000000,0.000000,,1556312.000000,-1556312.000000,409238.000000,0.000000,,,,0.000000,0.000000,,,,490.000000,-2809429.000000,0.000000,0.000000,980169.000000,,,,,,305512.000000,1.000000,1964672.000000,1385686.000000,1385686.000000,0.000000,25739551.000000,36256.000000,0.000000,0.000000,18.575000
ARQ,2021-03-31,2021-08-27,2021-03-31,2021-Q2,25330313.000000,,2025-02-24,0.000000,25741551.000000,,25739551.000000,2000.000000,,18.281000,,25450001.000000,20360001.000000,0.000000,-1583277.000000,62.896000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,-1583277.000000,,,,-1266622.000000,-1583277.000000,-1.150000,-1.150000,-0.920000,25332313.000000,,20265850.000000,,,,,,1.250000,0.000000,,2000.000000,0.000000,-119688.000000,,0.000000,0.000000,0.000000,0.000000,409238.000000,409238.000000,0.000000,,,,,,,,,,,-1583277.000000,-1583277.000000,-1266622.000000,0.000000,0.000000,,1556312.000000,-1556312.000000,409238.000000,0.000000,,,,0.000000,0.000000,,,,490.000000,-2809429.000000,0.000000,0.000000,980169.000000,,,,,,305512.000000,1.000000,1964672.000000,1385686.000000,1385686.000000,0.000000,25739551.000000,36256.000000,0.000000,0.000000,18.575000
ARQ,2021-06-30,2021-09-17,2021-06-30,2021-Q3,21890195.000000,,2025-02-24,0.000000,22215055.000000,,22213055.000000,2000.000000,,9.667000,0.000000,22006997.000000,17465871.000000,0.000000,-3533463.000000,68.801000,0.015000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,-3533463.000000,,,,-2804336.000000,-3533463.000000,-1.550000,-1.550000,-1.230000,21892195.000000,,17374758.000000,,,,-2972749.000000,-1.313000,1.260000,0.000000,,2000.000000,0.000000,-116802.000000,,0.000000,0.000000,0.000000,0.000000,322860.000000,322860.000000,0.000000,-3518302.000000,,-19552.000000,,,-545553.000000,0.000000,,-2972749.000000,75298.000000,-3533463.000000,-3533463.000000,-2804336.000000,0.000000,0.000000,,3647524.000000,-3647524.000000,322860.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,-6342892.000000,0.000000,0.000000,2708150.000000,,,,,629346.000000,609928.000000,1.000000,2366872.000000,2264525.000000,2264525.000000,0.000000,22213055.000000,77984.000000,0.000000,0.000000,9.809000
ARQ,2021-09-30,2021-12-29,2021-09-30,2021-Q4,19399795.000000,39408422.000000,2025-02-24,0.000000,20040368.000000,,20038368.000000,2000.000000,,10.810000,0.000000,19760015.000000,15437512.000000,0.000000,-2866965.000000,31.380000,0.033000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,-2866965.000000,,,,-2239816.000000,-2866965.000000,-1.200000,-1.200000,-0.938000,19401795.000000,,15157652.000000,23970910.000000,-4.000000,-3.547000,-2389569.000000,-1.331000,1.280000,0.000000,,2000.000000,0.000000,-360220.000000,,0.000000,0.000000,0.000000,0.000000,638573.000000,638573.000000,0.000000,-2399269.000000,,-9700.000000,,,-9700.000000,0.000000,,-2389569.000000,152287.000000,-2866965.000000,-2866965.000000,-2239816.000000,0.000000,0.000000,,2966598.000000,-2966598.000000,638573.000000,0.000000,2.600000,-5.831000,-4.440000,0.000000,0.000000,16.650000,,,0.000000,-9209857.000000,0.000000,0.000000,2208116.000000,,,,,376565.000000,324415.000000,1.000000,2366872.000000,1794805.000000,1794805.000000,0.000000,20038368.000000,110146.000000,0.000000,0.000000,11.165000
ARQ,2021-09-30,2022-01-18,2021-09-30,2021-Q4,19399795.000000,32899524.000000,2025-02-24,0.000000,20040368.000000,,20038368.000000,2000.000000,,10.810000,0.000000,19760015.000000,15808012.000000,0.000000,-2866965.000000,31.380000,0.033000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,-2866965.000000,,,,-2293572.000000,-2866965.000000,-1.200000,-1.200000,-0.960000,19401795.000000,,15521436.000000,17091512.000000,-2.000000,-2.470000,-2389569.000000,-1.331000,1.250000,0.000000,,2000.000000,0.000000,-360220.000000,,0.000000,0.000000,0.000000,0.000000,638573.000000,638573.000000,0.000000,-2399269.000000,,-9700.000000,,,-9700.000000,0.000000,,-2389569.000000,152287.000000,-2866965.000000,-2866965.000000,-2293572.000000,0.000000,0.000000,,2966598.000000,-2966598.000000,638573.000000,0.000000,2.120000,-4.754000,-3.620000,0.000000,0.000000,13.900000,,,0.000000,-9209857.000000,0.000000,0.000000,2208116.000000,,,,,376565.000000,324415.000000,1.000000,2366872.000000,1794805.000000,1794805.000000,0.000000,20038368.000000,110146.000000,0.000000,0.000000,11.165000
ARQ,2021-12-31,2022-02-15,2021-12-31,2022-Q1,14920926.000000,28669404.000000,2025-02-24,0.000000,15412522.000000,,15410522.000000,2000.000000,,6.301000,0.000000,15118677.000000,11904470.000000,0.000000,-4858045.000000,31.476000,0.033000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,-4858045.000000,,,,-3825232.000000,-4858045.000000,-2.050000,-2.050000,-1.614000,14922926.000000,,11750335.000000,16764934.000000,-2.000000,,-4950971.000000,-2.091000,1.270000,0.000000,,2000.000000,0.000000,-197751.000000,,0.000000,0.000000,0.000000,0.000000,489596.000000,489596.000000,0.000000,-4832721.000000,,0.000000,,,118250.000000,0.000000,0.000000,-4950971.000000,191383.000000,-4858045.000000,-4858045.000000,-3825232.000000,0.000000,0.000000,,4823958.000000,-4823958.000000,489596.000000,0.000000,2.440000,-2.835000,-2.583000,0.000000,0.000000,12.100000,,,0.000000,-14067902.000000,0.000000,0.000000,3845164.000000,,,,,260926.000000,601039.000000,1.000000,2369372.000000,2368204.000000,2368204.000000,0.000000,15410522.000000,149690.000000,0.000000,0.000000,6.507000
ARQ,2022-03-31,2022-05-16,2022-03-31,2022-Q2,10757942.000000,12676141.000000,2025-02-24,0.000000,11763457.000000,,11761457.000000,2000.000000,,4.541000,0.000000,11467897.000000,8959295.000000,0.000000,-4487503.000000,11.720000,0.093000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,-4487503.000000,,,,-3505862.000000,-4487503.000000,-1.900000,-1.900000,-1.484000,10759942.000000,,8406205.000000,3716847.000000,0.000000,,-3645475.000000,-1.539000,1.280000,0.000000,,2000.000000,0.000000,-709955.000000,,0.000000,32000.000000,32000.000000,0.000000,1003515.000000,1003515.000000,0.000000,-3643791.000000,,33684.000000,,,1684.000000,0.000000,,-3645475.000000,-6989.000000,-4487503.000000,-4487503.000000,-3505862.000000,0.000000,0.000000,,4477297.000000,-4477297.000000,1003515.000000,0.000000,1.508000,-1.030000,-1.022000,0.000000,0.000000,5.350000,,,0.000000,-18555405.000000,0.000000,0.000000,3743212.000000,,,,,290835.000000,404498.000000,1.000000,2369372.000000,2369372.000000,2369372.000000,0.000000,11761457.000000,176403.000000,0.000000,0.000000,4.964000
ARQ,2022-06-30,2022-08-15,2022-06-30,2022-Q3,8432194.000000,11839807.000000,2025-02-24,0.000000,8819518.000000,,8817518.000000,2000.000000,,3.555000,0.000000,8640794.000000,6698290.000000,0.000000,-2658378.000000,22.883000,0.046000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,-2658378.000000,,,,-2060758.000000,-2658378.000000,-1.100000,-1.100000,-0.853000,8434194.000000,,6538135.000000,5141517.000000,0.000000,,-2862076.000000,-1.206000,1.290000,0.000000,,2000.000000,0.000000,-208600.000000,,0.000000,32000.000000,32000.000000,0.000000,385324.000000,385324.000000,0.000000,-2850076.000000,,12000.000000,0.000000,,12000.000000,0.000000,,-2862076.000000,22973.000000,-2658378.000000,-2658378.000000,-2060758.000000,0.000000,0.000000,,2662651.000000,-2662651.000000,385324.000000,0.000000,1.811000,-1.027000,-1.029000,0.000000,0.000000,4.987000,,,0.000000,-21213783.000000,0.000000,0.000000,2051360.000000,,,,,293380.000000,274305.000000,1.000000,2374372.000000,2372504.000000,2372504.000000,0.000000,8817518.000000,64435.000000,0.000000,0.000000,3.717000
