dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1994-12-31,1995-03-28,1994-12-31,1994-Q4,,3947543074.000000,2025-05-02,0.000000,10992978000.000000,,238158000.000000,10754820000.000000,,22.758000,,8122000.000000,8122000.000000,,,,2.566000,3951372000.000000,260580000.000000,,3951372000.000000,0.000000,,0.000000,0.076000,0.515000,,,,,,,,,,3326080000.000000,,3326080000.000000,7890793074.000000,8.000000,5.143000,,,1.000000,,,0.000000,,14936228000.000000,,292252000.000000,18722000.000000,0.000000,0.000000,8533388000.000000,,,,,,,,,,,,,,,,,,,,,147020000.000000,,1.187000,10.115000,10.206000,8925200000.000000,,27.250000,1.122000,1.132000,230036000.000000,1379081000.000000,,,,,,,,,,1.000000,144863966.000000,146151505.000000,,,10992978000.000000,663101000.000000,,2430737000.000000,75.216000
ARQ,1995-03-31,1995-05-09,1995-03-31,1995-Q1,,4237596500.000000,2025-05-02,0.000000,11142018000.000000,,365736000.000000,10776282000.000000,,23.178000,-85234000.000000,16589000.000000,16589000.000000,257243000.000000,113490000.000000,,2.583000,3949405000.000000,333450000.000000,,3949405000.000000,0.000000,146798000.000000,0.000000,0.070000,0.515000,266209000.000000,413007000.000000,0.469000,413007000.000000,266209000.000000,191472000.000000,0.730000,,0.730000,3357597000.000000,,3357597000.000000,8170412500.000000,,,22144000.000000,0.153000,1.000000,623031000.000000,0.708000,0.000000,74737000.000000,15074834000.000000,,296868000.000000,17260000.000000,0.000000,0.000000,8673060000.000000,,,8467000.000000,0.000000,0.000000,79233000.000000,-82013000.000000,-2939000.000000,-95972000.000000,-10510000.000000,107378000.000000,0.000000,113490000.000000,106083000.000000,106083000.000000,0.000000,0.000000,0.121000,346816000.000000,276215000.000000,139105000.000000,0.705000,1.262000,,,8880969000.000000,7407000.000000,29.250000,,,349147000.000000,1410558000.000000,880274000.000000,880274000.000000,0.000000,,,,,0.000000,0.000000,1.000000,144875094.000000,144864103.000000,,6.077000,11142018000.000000,650916000.000000,77982000.000000,2490727000.000000,76.914000
ARQ,1995-06-30,1995-08-08,1995-06-30,1995-Q2,,4256672794.000000,2025-05-02,0.000000,11124419000.000000,,438674000.000000,10685745000.000000,,23.244000,-94744000.000000,12685000.000000,12685000.000000,268182000.000000,91556000.000000,,2.568000,3926950000.000000,344856000.000000,,3926950000.000000,0.000000,146384000.000000,0.000000,0.070000,0.515000,229104000.000000,375488000.000000,0.439000,375488000.000000,229104000.000000,156470000.000000,0.580000,,0.580000,3367430000.000000,,3367430000.000000,8170937794.000000,,,95758000.000000,0.661000,1.000000,587773000.000000,0.687000,0.000000,72634000.000000,15038684000.000000,,320699000.000000,23225000.000000,0.000000,0.000000,8646537000.000000,,,-3904000.000000,0.000000,0.000000,3941000.000000,-82013000.000000,-78376000.000000,-116030000.000000,-13334000.000000,190502000.000000,0.000000,91556000.000000,84152000.000000,84152000.000000,0.000000,0.000000,0.098000,356841000.000000,230932000.000000,139562000.000000,0.888000,1.264000,,,8838496000.000000,7404000.000000,29.380000,,,425989000.000000,1420095000.000000,855955000.000000,855955000.000000,0.000000,,,,,0.000000,0.000000,1.000000,144883349.000000,144875672.000000,,5.908000,11124419000.000000,638731000.000000,64914000.000000,2459021000.000000,76.786000
ARQ,1995-09-30,1995-11-07,1995-09-30,1995-Q3,,4825234214.000000,2025-05-02,0.000000,11119576000.000000,,476407000.000000,10643169000.000000,,23.707000,-113148000.000000,12324000.000000,12324000.000000,311392000.000000,147956000.000000,,2.517000,3974329000.000000,193409000.000000,,3974329000.000000,0.000000,147138000.000000,0.000000,0.062000,0.515000,309492000.000000,456630000.000000,0.442000,456630000.000000,309492000.000000,236186000.000000,0.980000,,0.980000,3435297000.000000,,3435297000.000000,8787239214.000000,,,245718000.000000,1.696000,1.000000,720897000.000000,0.698000,0.000000,73306000.000000,15081581000.000000,,298099000.000000,29216000.000000,0.000000,0.000000,8645928000.000000,,,-361000.000000,0.000000,0.000000,-161617000.000000,-82018000.000000,-226096000.000000,-133131000.000000,-4728000.000000,358866000.000000,0.000000,147956000.000000,141412000.000000,141412000.000000,0.000000,0.000000,0.137000,406814000.000000,314083000.000000,152967000.000000,0.526000,1.405000,,,8831677000.000000,6544000.000000,33.250000,,,464083000.000000,1485345000.000000,1032289000.000000,1032289000.000000,0.000000,,,,,0.000000,0.000000,1.000000,145119826.000000,144905909.000000,,7.124000,11119576000.000000,626546000.000000,88230000.000000,2477069000.000000,76.737000
ARQ,1995-12-31,1996-03-26,1995-12-31,1995-Q4,,4970355719.000000,2025-05-02,0.000000,11130591000.000000,,517015000.000000,10613576000.000000,,23.679000,-160718000.000000,64948000.000000,64948000.000000,252822000.000000,80649000.000000,,2.518000,3884456000.000000,310511000.000000,,3884456000.000000,0.000000,147309000.000000,0.000000,0.060000,0.515000,206407000.000000,353716000.000000,0.408000,353716000.000000,206407000.000000,132776000.000000,,,,3436308000.000000,,3436308000.000000,8789863719.000000,9.000000,5.498000,123216000.000000,0.849000,1.000000,614204000.000000,0.708000,0.000000,73631000.000000,14950099000.000000,,305578000.000000,29058000.000000,0.000000,0.000000,8652370000.000000,,,52624000.000000,0.000000,0.000000,-150741000.000000,-80195000.000000,-54042000.000000,-177268000.000000,-14286000.000000,283934000.000000,0.000000,80649000.000000,74267000.000000,74267000.000000,0.000000,0.000000,0.086000,406425000.000000,207779000.000000,165148000.000000,,1.446000,12.245000,,8822647000.000000,6382000.000000,34.250000,1.367000,1.367000,452067000.000000,1484871000.000000,867026000.000000,867026000.000000,0.000000,,,,,0.000000,0.000000,1.000000,145119875.000000,145119875.000000,,5.975000,11130591000.000000,0.000000,52127000.000000,2469073000.000000,76.699000
ARQ,1996-03-31,1996-05-08,1996-03-31,1996-Q1,,4335456266.000000,2025-05-02,0.000000,11055891000.000000,,479455000.000000,10576436000.000000,,23.284000,-101225000.000000,25658000.000000,25658000.000000,272774000.000000,115764000.000000,,2.539000,4048024000.000000,276258000.000000,,4048024000.000000,0.000000,156267000.000000,0.000000,0.069000,0.515000,264980000.000000,421247000.000000,0.463000,421247000.000000,264980000.000000,192819000.000000,,,,3378936000.000000,,3378936000.000000,8357822266.000000,8.000000,5.201000,147444000.000000,1.016000,1.000000,636117000.000000,0.700000,0.000000,72161000.000000,15078257000.000000,,288135000.000000,16694000.000000,0.000000,0.000000,8579389000.000000,,,-39290000.000000,0.000000,0.000000,146160000.000000,-85509000.000000,-185337000.000000,-102622000.000000,-13687000.000000,248669000.000000,0.000000,115764000.000000,108471000.000000,108471000.000000,0.000000,0.000000,0.119000,372239000.000000,263878000.000000,157331000.000000,,1.283000,10.618000,,8762230000.000000,7293000.000000,29.875000,1.183000,1.183000,453797000.000000,1427499000.000000,908891000.000000,908891000.000000,0.000000,,,,,0.000000,0.000000,1.000000,145119875.000000,145119875.000000,,6.263000,11055891000.000000,0.000000,77055000.000000,2523542000.000000,76.185000
ARQ,1996-06-30,1996-08-09,1996-06-30,1996-Q2,,4262896328.000000,2025-05-02,0.000000,11093312000.000000,,516602000.000000,10576710000.000000,,23.916000,-136221000.000000,42070000.000000,42070000.000000,283005000.000000,78253000.000000,,2.484000,3868610000.000000,476562000.000000,,3868610000.000000,0.000000,154958000.000000,0.000000,0.070000,0.515000,206297000.000000,361255000.000000,0.415000,361255000.000000,206297000.000000,134660000.000000,0.540000,,0.540000,3470726000.000000,,3470726000.000000,8089436328.000000,8.000000,5.079000,51917000.000000,0.358000,1.000000,588316000.000000,0.675000,0.000000,71637000.000000,14919852000.000000,,294188000.000000,44350000.000000,0.000000,0.000000,8622368000.000000,,,-23107000.000000,0.000000,0.000000,25774000.000000,-74737000.000000,-49130000.000000,-162115000.000000,-9808000.000000,188138000.000000,0.000000,78253000.000000,78253000.000000,78253000.000000,0.000000,0.000000,0.090000,376179000.000000,212137000.000000,162798000.000000,0.954000,1.228000,10.594000,,8797788000.000000,0.000000,29.375000,1.159000,1.159000,474532000.000000,1519289000.000000,871321000.000000,871321000.000000,0.000000,,,,,0.000000,0.000000,1.000000,145119875.000000,145119875.000000,,6.004000,11093312000.000000,0.000000,56407000.000000,2459620000.000000,76.442000
ARQ,1996-09-30,1996-11-08,1996-09-30,1996-Q3,,4571276062.000000,2025-05-02,0.000000,11099006000.000000,,570025000.000000,10528981000.000000,,23.711000,-145951000.000000,79937000.000000,79937000.000000,291784000.000000,44933000.000000,,2.482000,3895124000.000000,388004000.000000,,3895124000.000000,0.000000,156325000.000000,0.000000,0.065000,0.515000,155083000.000000,311408000.000000,0.319000,311408000.000000,155083000.000000,82613000.000000,0.310000,,0.310000,3440921000.000000,,3440921000.000000,8386463062.000000,10.000000,5.793000,191918000.000000,1.322000,1.000000,685550000.000000,0.701000,0.000000,72470000.000000,14914193000.000000,,265890000.000000,45111000.000000,0.000000,0.000000,8541260000.000000,,,37867000.000000,0.000000,0.000000,-66608000.000000,-74737000.000000,-141356000.000000,-158646000.000000,-12238000.000000,337869000.000000,0.000000,44933000.000000,44933000.000000,44933000.000000,0.000000,0.000000,0.046000,529057000.000000,156493000.000000,139874000.000000,1.661000,1.329000,14.943000,,8819752000.000000,0.000000,31.500000,1.261000,1.261000,490088000.000000,1489484000.000000,977334000.000000,977334000.000000,0.000000,,,,,0.000000,0.000000,1.000000,145119875.000000,145119875.000000,,6.735000,11099006000.000000,0.000000,37680000.000000,2421397000.000000,76.482000
ARQ,1996-12-31,1997-03-25,1996-12-31,1996-Q4,,4026628480.000000,2025-05-02,0.000000,10874477000.000000,,484308000.000000,10390169000.000000,,23.036000,-80656000.000000,2465000.000000,2465000.000000,275992000.000000,95912000.000000,,2.489000,3856176000.000000,298714000.000000,,3856176000.000000,0.000000,156044000.000000,0.000000,0.074000,0.515000,221955000.000000,377999000.000000,0.428000,377999000.000000,221955000.000000,150337000.000000,,,,3342541000.000000,,3342541000.000000,7880339480.000000,9.000000,5.382000,223576000.000000,1.541000,1.000000,607817000.000000,0.688000,0.000000,71618000.000000,14728188000.000000,,263947000.000000,31145000.000000,0.000000,0.000000,8320352000.000000,,,-77472000.000000,0.000000,0.000000,-126729000.000000,-107596000.000000,-288322000.000000,-93382000.000000,-10354000.000000,304232000.000000,0.000000,95912000.000000,79897000.000000,79897000.000000,0.000000,0.000000,0.090000,393841000.000000,213976000.000000,158594000.000000,,1.205000,12.926000,,8768331000.000000,16015000.000000,27.750000,1.106000,1.106000,481843000.000000,1391104000.000000,883809000.000000,883809000.000000,0.000000,,,,,0.000000,0.000000,1.000000,145103729.000000,145103729.000000,,6.091000,10874477000.000000,0.000000,54425000.000000,2427412000.000000,74.943000
ARQ,1997-03-31,1997-05-01,1997-03-31,1997-Q1,,3881471438.000000,2025-05-02,0.000000,10901132000.000000,,512581000.000000,10388551000.000000,,22.975000,-85568000.000000,15498000.000000,15498000.000000,268129000.000000,73921000.000000,,2.502000,3840171000.000000,292858000.000000,,3840171000.000000,0.000000,165465000.000000,0.000000,0.077000,0.515000,198593000.000000,364058000.000000,0.421000,364058000.000000,198593000.000000,128091000.000000,,,,3333739000.000000,,3333739000.000000,7706144438.000000,10.000000,5.447000,155248000.000000,1.070000,1.000000,596027000.000000,0.690000,0.000000,70502000.000000,14725805000.000000,,261040000.000000,28888000.000000,0.000000,0.000000,8340621000.000000,,,13033000.000000,0.000000,0.000000,-51215000.000000,-82723000.000000,-134006000.000000,-93777000.000000,-9262000.000000,240816000.000000,0.000000,73921000.000000,71014000.000000,71014000.000000,0.000000,0.000000,0.082000,391577000.000000,204450000.000000,146336000.000000,,1.164000,14.161000,,8748878000.000000,2907000.000000,26.750000,1.079000,1.079000,497083000.000000,1382302000.000000,864156000.000000,864156000.000000,0.000000,,,,,0.000000,0.000000,1.000000,145101736.000000,145101736.000000,,5.956000,10901132000.000000,0.000000,54170000.000000,2468612000.000000,75.128000
