dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-07-19,2020-12-31,2020-Q4,92690000.000000,,2025-05-03,0.000000,175739000.000000,,158380000.000000,17359000.000000,,-2.248000,,120490000.000000,120490000.000000,,,2.411000,-0.915000,8131000.000000,0.000000,8131000.000000,8131000.000000,54792000.000000,,0.000000,,0.000000,,,,,,,,,,-80691000.000000,,-80691000.000000,,,,,,1.000000,,,2296000.000000,,-4606000.000000,,0.000000,0.000000,0.000000,0.000000,73821000.000000,65690000.000000,8131000.000000,,,,,,,,,,,,,,,,,,,2196000.000000,,,,,14501000.000000,,,,,20450000.000000,-110779000.000000,,,,,,,,,,1.000000,35892152.000000,35892152.000000,,,173443000.000000,0.000000,,68000.000000,4.832000
ARQ,2021-03-31,2021-07-26,2021-03-31,2021-Q1,74916000.000000,,2025-05-03,0.000000,176874000.000000,,158994000.000000,17880000.000000,,-2.724000,-1778000.000000,117459000.000000,117459000.000000,15019000.000000,-13472000.000000,1.891000,-0.941000,7972000.000000,0.000000,7972000.000000,7972000.000000,65262000.000000,600000.000000,0.000000,,0.000000,-13455000.000000,-12855000.000000,-0.232000,-12855000.000000,-13455000.000000,-13455000.000000,-1.040000,-1.040000,-1.040000,-97785000.000000,,-97785000.000000,,,,3345000.000000,0.093000,1.000000,40341000.000000,0.729000,3154000.000000,0.000000,-19845000.000000,,0.000000,0.000000,0.000000,0.000000,92050000.000000,84078000.000000,7972000.000000,-3031000.000000,0.000000,-6173000.000000,0.000000,0.000000,-6376000.000000,-1778000.000000,0.000000,5123000.000000,0.000000,-13472000.000000,-13472000.000000,-13472000.000000,0.000000,0.000000,-0.243000,53755000.000000,-13414000.000000,3780000.000000,0.000000,,,,14075000.000000,0.000000,,,,23347000.000000,-124251000.000000,55360000.000000,55360000.000000,22529000.000000,,,,,2551000.000000,31226000.000000,1.000000,35892152.000000,35892152.000000,,1.542000,173720000.000000,0.000000,17000.000000,80000.000000,4.840000
ARQ,2021-06-30,2021-08-12,2021-06-30,2021-Q2,77517000.000000,5006577505.000000,2025-05-03,0.000000,181693000.000000,,162568000.000000,19125000.000000,,-2.506000,-1856000.000000,114636000.000000,114636000.000000,16137000.000000,-176000.000000,1.911000,-0.990000,7810000.000000,0.000000,7810000.000000,7810000.000000,70997000.000000,636000.000000,0.000000,0.000000,0.000000,-175000.000000,461000.000000,0.008000,461000.000000,-175000.000000,-175000.000000,-0.010000,-0.010000,-0.010000,-93777000.000000,,-93777000.000000,4899751505.000000,,,-2752000.000000,-0.074000,1.000000,42666000.000000,0.726000,3731000.000000,0.000000,-13915000.000000,,0.000000,0.000000,0.000000,0.000000,92861000.000000,85051000.000000,7810000.000000,-2823000.000000,0.000000,1277000.000000,0.000000,0.000000,-71000.000000,-1856000.000000,0.000000,-896000.000000,0.000000,-176000.000000,-176000.000000,-176000.000000,0.000000,0.000000,-0.003000,43144000.000000,-478000.000000,4266000.000000,0.000000,-53.388000,,,14497000.000000,0.000000,133.800000,,,25129000.000000,-124427000.000000,58803000.000000,58803000.000000,21940000.000000,,,,,2907000.000000,21204000.000000,1.000000,37418367.000000,37418367.000000,,1.572000,177962000.000000,0.000000,1000.000000,9000.000000,4.756000
ARQ,2021-09-30,2021-11-12,2021-09-30,2021-Q3,497699000.000000,5808957651.000000,2025-05-03,0.000000,617777000.000000,,596344000.000000,21433000.000000,,13.630000,-1464000.000000,549440000.000000,549440000.000000,18078000.000000,-28970000.000000,6.045000,0.210000,8401000.000000,0.000000,8401000.000000,8401000.000000,80460000.000000,733000.000000,0.000000,0.000000,0.000000,-28919000.000000,-28186000.000000,-0.443000,-28186000.000000,-28919000.000000,-28919000.000000,-0.980000,-0.980000,-0.980000,510731000.000000,,510731000.000000,5267918651.000000,,,3047000.000000,0.081000,1.000000,45517000.000000,0.716000,4184000.000000,0.000000,-26091000.000000,,0.000000,0.000000,0.000000,0.000000,107046000.000000,98645000.000000,8401000.000000,434804000.000000,0.000000,430206000.000000,0.000000,0.000000,431757000.000000,-1464000.000000,0.000000,4511000.000000,0.000000,-28970000.000000,-28970000.000000,-28970000.000000,0.000000,0.000000,-0.456000,74217000.000000,-28700000.000000,8708000.000000,0.000000,11.374000,,,16241000.000000,0.000000,155.020000,,,20737000.000000,-153397000.000000,63595000.000000,63595000.000000,29345000.000000,,,,,20662000.000000,44872000.000000,1.000000,37472311.000000,37472311.000000,,1.697000,613593000.000000,0.000000,51000.000000,25000.000000,16.375000
ARQ,2021-12-31,2022-03-04,2021-12-31,2021-Q4,500140000.000000,2884536956.000000,2025-05-03,0.000000,661311000.000000,,619271000.000000,42040000.000000,,13.283000,-1108000.000000,553922000.000000,553922000.000000,19952000.000000,-17517000.000000,5.198000,0.289000,29124000.000000,0.000000,29124000.000000,29124000.000000,98267000.000000,757000.000000,0.000000,0.000000,0.000000,-17409000.000000,-16652000.000000,-0.228000,-16652000.000000,-17409000.000000,-17409000.000000,-0.280000,-0.280000,-0.280000,513056000.000000,,513056000.000000,2359738956.000000,-39.000000,-41.231000,-676000.000000,-0.018000,1.000000,53062000.000000,0.727000,4566000.000000,0.000000,12816000.000000,,0.000000,0.000000,0.000000,0.000000,148255000.000000,119131000.000000,29124000.000000,4482000.000000,0.000000,5158000.000000,0.000000,0.000000,5158000.000000,-1108000.000000,0.000000,432000.000000,0.000000,-17517000.000000,-17517000.000000,-17517000.000000,0.000000,0.000000,-0.240000,70477000.000000,-17415000.000000,7818000.000000,0.000000,5.622000,-47.968000,-29.058000,36580000.000000,0.000000,74.680000,11.503000,11.503000,33163000.000000,-170914000.000000,73014000.000000,73014000.000000,30019000.000000,,,,,14684000.000000,40458000.000000,1.000000,38625294.000000,38625294.000000,,1.890000,656745000.000000,0.000000,108000.000000,113000.000000,17.003000
ARQ,2022-03-31,2022-05-13,2022-03-31,2022-Q1,504860000.000000,3515514120.000000,2025-05-03,0.000000,684511000.000000,,640635000.000000,43876000.000000,,13.297000,-2444000.000000,577331000.000000,577331000.000000,21490000.000000,-12154000.000000,4.718000,0.315000,28022000.000000,0.000000,28022000.000000,28022000.000000,119101000.000000,774000.000000,0.000000,0.000000,0.000000,-12126000.000000,-11352000.000000,-0.140000,-11352000.000000,-12126000.000000,-12126000.000000,-0.310000,-0.310000,-0.310000,520714000.000000,,520714000.000000,2966205120.000000,-51.000000,-53.226000,18183000.000000,0.464000,1.000000,59730000.000000,0.735000,5488000.000000,0.000000,-6061000.000000,,0.000000,0.000000,0.000000,0.000000,163797000.000000,135775000.000000,28022000.000000,23409000.000000,0.000000,5226000.000000,0.000000,0.000000,5226000.000000,-2444000.000000,0.000000,20627000.000000,0.000000,-12154000.000000,-12154000.000000,-12154000.000000,0.000000,0.000000,-0.150000,71856000.000000,-12126000.000000,2018000.000000,0.000000,6.751000,-59.770000,-56.816000,37347000.000000,0.000000,89.770000,12.708000,12.708000,28573000.000000,-183068000.000000,81220000.000000,81220000.000000,29781000.000000,,,,,14586000.000000,41796000.000000,1.000000,39161347.000000,39161347.000000,,2.074000,679023000.000000,0.000000,28000.000000,138000.000000,17.339000
ARQ,2022-06-30,2022-08-05,2022-06-30,2022-Q2,507824000.000000,4085296125.000000,2025-05-03,0.000000,701050000.000000,,655150000.000000,45900000.000000,,13.327000,-3269000.000000,591160000.000000,591160000.000000,23869000.000000,-15045000.000000,4.447000,0.327000,25505000.000000,0.000000,25505000.000000,25505000.000000,128194000.000000,1170000.000000,0.000000,0.000000,0.000000,-14904000.000000,-13734000.000000,-0.155000,-13734000.000000,-14904000.000000,-14904000.000000,-0.380000,-0.380000,-0.380000,528219000.000000,,528219000.000000,3519641125.000000,-48.000000,-50.335000,9393000.000000,0.237000,1.000000,64517000.000000,0.730000,6409000.000000,0.000000,-18340000.000000,,0.000000,0.000000,0.000000,0.000000,172831000.000000,147326000.000000,25505000.000000,13829000.000000,0.000000,4436000.000000,0.000000,0.000000,4436000.000000,-3269000.000000,0.000000,12662000.000000,0.000000,-15045000.000000,-15045000.000000,-15045000.000000,0.000000,0.000000,-0.170000,79551000.000000,-15034000.000000,1504000.000000,0.000000,7.734000,-55.442000,-52.856000,37867000.000000,0.000000,103.070000,13.341000,13.341000,28209000.000000,-198113000.000000,88386000.000000,88386000.000000,34217000.000000,,,,,18114000.000000,45334000.000000,1.000000,39636132.000000,39636132.000000,,2.230000,694641000.000000,418000.000000,141000.000000,92000.000000,17.525000
ARQ,2022-09-30,2022-11-14,2022-09-30,2022-Q3,512701000.000000,2950467183.000000,2025-05-03,0.000000,713699000.000000,,668331000.000000,45368000.000000,,13.289000,-3516000.000000,599967000.000000,599967000.000000,26302000.000000,-18445000.000000,4.294000,0.337000,24243000.000000,0.000000,24243000.000000,24243000.000000,134944000.000000,1482000.000000,0.000000,0.000000,0.000000,-18392000.000000,-16910000.000000,-0.176000,-16910000.000000,-18392000.000000,-18392000.000000,-0.460000,-0.460000,-0.460000,533826000.000000,,533826000.000000,2374743183.000000,-38.000000,-40.491000,5243000.000000,0.131000,1.000000,69763000.000000,0.726000,7018000.000000,0.000000,-24673000.000000,,0.000000,0.000000,0.000000,0.000000,179873000.000000,155630000.000000,24243000.000000,8807000.000000,0.000000,3564000.000000,0.000000,0.000000,3564000.000000,-3516000.000000,0.000000,8759000.000000,0.000000,-18445000.000000,-18445000.000000,-18445000.000000,0.000000,0.000000,-0.192000,89925000.000000,-20162000.000000,3363000.000000,0.000000,5.527000,-46.713000,-51.364000,36341000.000000,0.000000,73.450000,8.712000,8.712000,30197000.000000,-216558000.000000,96065000.000000,96065000.000000,41976000.000000,,,,,20488000.000000,47949000.000000,1.000000,40169737.000000,40169737.000000,,2.391000,706681000.000000,418000.000000,53000.000000,145000.000000,17.592000
ARQ,2022-12-31,2023-03-01,2022-12-31,2022-Q4,515417000.000000,4509774291.000000,2025-05-03,0.000000,747347000.000000,,697183000.000000,50164000.000000,,13.340000,-895000.000000,608180000.000000,608180000.000000,27770000.000000,-13930000.000000,3.836000,0.379000,23503000.000000,0.000000,23503000.000000,23503000.000000,157550000.000000,1444000.000000,0.000000,0.000000,0.000000,-13214000.000000,-11770000.000000,-0.113000,-11770000.000000,-13214000.000000,-13214000.000000,-0.350000,-0.350000,-0.350000,542078000.000000,,542078000.000000,3925097291.000000,-67.000000,-73.003000,10713000.000000,0.264000,1.000000,76054000.000000,0.733000,12547000.000000,0.000000,-31643000.000000,,0.000000,0.000000,0.000000,0.000000,205269000.000000,181766000.000000,23503000.000000,8213000.000000,-4050000.000000,1550000.000000,0.000000,0.000000,1550000.000000,-4945000.000000,0.000000,11608000.000000,0.000000,-13930000.000000,-13930000.000000,-13930000.000000,0.000000,0.000000,-0.134000,94206000.000000,-18152000.000000,1177000.000000,0.000000,8.319000,-75.700000,-73.497000,35477000.000000,0.000000,110.980000,12.205000,12.205000,46728000.000000,-230488000.000000,103824000.000000,103824000.000000,44470000.000000,,,,,20632000.000000,49736000.000000,1.000000,40635919.000000,40635919.000000,,2.555000,734800000.000000,633000.000000,716000.000000,1069000.000000,18.083000
ARQ,2023-03-31,2023-05-10,2023-03-31,2023-Q1,538421000.000000,6063482165.000000,2025-05-03,0.000000,790379000.000000,,741234000.000000,49145000.000000,,13.767000,-1312000.000000,641091000.000000,641091000.000000,31492000.000000,-2582000.000000,3.655000,0.398000,22378000.000000,0.000000,22378000.000000,22378000.000000,181942000.000000,1762000.000000,0.000000,0.000000,0.000000,-2698000.000000,-936000.000000,-0.008000,-936000.000000,-2698000.000000,-2698000.000000,-0.060000,-0.060000,-0.060000,565188000.000000,,565188000.000000,5444769165.000000,-111.000000,-125.600000,28292000.000000,0.689000,1.000000,84169000.000000,0.728000,12525000.000000,0.000000,-43672000.000000,,0.000000,0.000000,0.000000,0.000000,225191000.000000,202813000.000000,22378000.000000,32911000.000000,0.000000,4619000.000000,0.000000,0.000000,4619000.000000,-1312000.000000,0.000000,29604000.000000,0.000000,-2582000.000000,-2582000.000000,-2582000.000000,0.000000,0.000000,-0.022000,92688000.000000,-8519000.000000,986000.000000,0.000000,10.728000,-121.265000,-118.160000,34621000.000000,0.000000,147.700000,15.011000,15.011000,52509000.000000,-233070000.000000,115661000.000000,115661000.000000,45844000.000000,,,,,21073000.000000,46844000.000000,1.000000,41052689.000000,41052689.000000,,2.817000,777854000.000000,633000.000000,-116000.000000,925000.000000,18.948000
