dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ART,2002-12-31,2003-06-30,2002-12-31,2002-Q4,184000000.000000,60859587707.000000,2025-04-04,0.000000,65808000000.000000,,21776000000.000000,44032000000.000000,,13.123000,-6368000000.000000,3265000000.000000,3750089014.000000,31893000000.000000,4593000000.000000,1.009000,1.427000,16877000000.000000,10327000000.000000,6550000000.000000,19384457058.000000,0.000000,4962000000.000000,0.000000,0.141000,4.284000,7720000000.000000,12682000000.000000,0.259000,14566195675.000000,8866979232.000000,7720000000.000000,2.400000,2.400000,2.757000,26257000000.000000,,30158066539.000000,76493955751.000000,9.000000,5.251000,7179000000.000000,3.588000,0.871000,17109000000.000000,0.349000,3175000000.000000,0.000000,54653000000.000000,,3200000000.000000,3987000000.000000,1208000000.000000,2779000000.000000,37457000000.000000,21592000000.000000,15865000000.000000,1875000000.000000,-876000000.000000,0.000000,3736000000.000000,0.000000,-110000000.000000,-9892000000.000000,314000000.000000,13547000000.000000,-64000000.000000,4593000000.000000,4593000000.000000,5275393214.000000,0.000000,0.000000,0.094000,8607000000.000000,8502000000.000000,5537000000.000000,1.554000,2.018000,11.537000,11.034000,33693000000.000000,0.000000,30.416000,1.081000,1.081000,16030000000.000000,25093000000.000000,49002000000.000000,56282346671.000000,0.000000,,,,0.158000,0.000000,0.000000,0.500000,4001814026.000000,4001814026.000000,,28.128000,62633000000.000000,0.000000,3127000000.000000,4402000000.000000,31.302000
ART,2003-12-31,2004-06-25,2003-12-31,2003-Q4,-852000000.000000,82011869542.000000,2025-04-04,0.000000,67336000000.000000,66572000000.000000,20528000000.000000,46808000000.000000,0.787000,13.338000,-7666000000.000000,1623000000.000000,1971727637.000000,34566000000.000000,5585000000.000000,0.960000,1.462000,17805000000.000000,9469000000.000000,8336000000.000000,21630690433.000000,0.000000,4710000000.000000,0.000000,0.111000,4.537000,8826000000.000000,13536000000.000000,0.258000,16444427166.000000,10722407962.000000,8826000000.000000,2.960000,2.960000,3.596000,26696000000.000000,26476500000.000000,32432064689.000000,101670832338.000000,9.000000,6.183000,6749000000.000000,3.372000,0.823000,17834000000.000000,0.340000,3610000000.000000,0.000000,58528000000.000000,56590500000.000000,3293000000.000000,4437000000.000000,1277000000.000000,3160000000.000000,39018000000.000000,21380000000.000000,17638000000.000000,-1642000000.000000,-2540000000.000000,0.000000,1629000000.000000,0.000000,-4304000000.000000,-8058000000.000000,-22000000.000000,14415000000.000000,-107000000.000000,5585000000.000000,5585000000.000000,6785027019.000000,0.000000,0.000000,0.107000,8317000000.000000,9517000000.000000,5887000000.000000,1.262000,2.529000,12.087000,11.395000,36360000000.000000,0.000000,40.976000,1.288000,1.288000,15197000000.000000,25857000000.000000,52400000000.000000,63658982234.000000,0.000000,0.084000,0.211000,0.156000,0.168000,0.000000,0.000000,0.500000,4002922176.000000,4002922176.000000,,31.806000,63726000000.000000,0.000000,3241000000.000000,4625000000.000000,31.840000
ART,2004-12-31,2005-06-24,2004-12-31,2004-Q4,1634000000.000000,102913709033.000000,2025-04-04,0.000000,69112000000.000000,68224000000.000000,20682000000.000000,48430000000.000000,0.875000,15.152000,-6511000000.000000,0.000000,0.000000,39092000000.000000,7274000000.000000,1.086000,1.208000,14077000000.000000,6403000000.000000,7674000000.000000,17020221866.000000,0.000000,4566000000.000000,0.000000,0.115000,5.895000,11927000000.000000,16493000000.000000,0.276000,19941359611.000000,14420699453.000000,11927000000.000000,3.860000,3.860000,4.667000,30338000000.000000,28517000000.000000,36681074872.000000,119933930899.000000,8.000000,6.014000,10619000000.000000,5.304000,0.827000,20588000000.000000,0.345000,3190000000.000000,0.000000,60951000000.000000,59739500000.000000,3320000000.000000,4574000000.000000,1292000000.000000,3282000000.000000,36646000000.000000,19048000000.000000,17598000000.000000,-359000000.000000,1190000000.000000,0.000000,-3619000000.000000,0.000000,-6128000000.000000,-6576000000.000000,-107000000.000000,17130000000.000000,-17000000.000000,7274000000.000000,7274000000.000000,8794849318.000000,0.000000,0.000000,0.122000,8125000000.000000,12463000000.000000,6286000000.000000,1.263000,2.806000,11.702000,11.013000,37616000000.000000,0.000000,51.400000,1.426000,1.426000,16203000000.000000,29563000000.000000,59680000000.000000,72157905873.000000,0.000000,0.107000,0.255000,0.200000,0.200000,0.000000,0.000000,0.500000,4004424476.000000,4004424476.000000,,36.039000,65922000000.000000,0.000000,4653000000.000000,5282000000.000000,32.925000
ART,2005-12-31,2006-06-21,2005-12-31,2005-Q4,2749000000.000000,112130021734.000000,2025-04-04,0.000000,83850000000.000000,76481000000.000000,25232000000.000000,58618000000.000000,0.974000,19.582000,26000000.000000,1333000000.000000,1687226443.000000,48567000000.000000,9247000000.000000,1.122000,1.138000,12998000000.000000,5345000000.000000,7653000000.000000,16452039987.000000,0.000000,5509000000.000000,0.000000,0.076000,4.269000,20413000000.000000,25922000000.000000,0.348000,32810415491.000000,25837474400.000000,16916000000.000000,4.680000,4.680000,5.924000,39217000000.000000,34777500000.000000,49638379149.000000,126894835278.000000,5.000000,3.868000,21620000000.000000,10.796000,0.790000,25959000000.000000,0.348000,3194000000.000000,3497000000.000000,69838000000.000000,65394500000.000000,5757000000.000000,6729000000.000000,1368000000.000000,5361000000.000000,44633000000.000000,22483000000.000000,22150000000.000000,330000000.000000,2047000000.000000,-987000000.000000,-540000000.000000,0.000000,-7824000000.000000,-6815000000.000000,-1090000000.000000,21594000000.000000,33000000.000000,8788000000.000000,8788000000.000000,11123290307.000000,0.000000,459000000.000000,0.118000,9132000000.000000,16827000000.000000,13095000000.000000,0.721000,2.259000,10.081000,9.452000,45013000000.000000,0.000000,55.990000,1.189000,1.189000,17902000000.000000,37079000000.000000,74526000000.000000,94330260970.000000,0.000000,0.115000,0.253000,0.312000,0.274000,0.000000,0.000000,0.500000,4005358876.000000,4005358876.000000,,47.102000,80656000000.000000,2558000000.000000,8128000000.000000,8320000000.000000,40.274000
ART,2006-12-31,2007-06-20,2006-12-31,2006-Q4,6272000000.000000,143612142499.000000,2025-04-04,0.000000,88312000000.000000,86081000000.000000,30021000000.000000,58291000000.000000,1.009000,20.572000,-5901000000.000000,3985000000.000000,5348684573.000000,57490000000.000000,9823000000.000000,1.264000,1.144000,11699000000.000000,4290000000.000000,7409000000.000000,15702449389.000000,0.000000,6153000000.000000,0.000000,0.045000,3.249000,23756000000.000000,29909000000.000000,0.344000,40143991689.000000,31885407956.000000,19785000000.000000,4.980000,4.980000,6.684000,41199000000.000000,40208000000.000000,55297479474.000000,153965907315.000000,5.000000,3.835000,19027000000.000000,9.501000,0.745000,29398000000.000000,0.338000,3753000000.000000,3971000000.000000,68524000000.000000,69181000000.000000,6579000000.000000,6023000000.000000,972000000.000000,5051000000.000000,47113000000.000000,23749000000.000000,23364000000.000000,2652000000.000000,1443000000.000000,-1633000000.000000,-682000000.000000,-222000000.000000,-7097000000.000000,-7051000000.000000,1149000000.000000,24928000000.000000,-197000000.000000,9217000000.000000,9217000000.000000,12371098044.000000,0.000000,606000000.000000,0.106000,10071000000.000000,19327000000.000000,15995000000.000000,0.486000,2.597000,11.609000,10.728000,44312000000.000000,0.000000,71.710000,1.231000,1.231000,19793000000.000000,40398000000.000000,86888000000.000000,116621456748.000000,0.000000,0.107000,0.229000,0.343000,0.273000,0.000000,0.000000,0.500000,4005358876.000000,4005358876.000000,,58.233000,84559000000.000000,2383000000.000000,10568000000.000000,8682000000.000000,42.223000
ART,2007-12-31,2008-05-21,2007-12-31,2007-Q4,3571000000.000000,168505447913.000000,2025-04-04,0.000000,101460000000.000000,94886000000.000000,33814000000.000000,67646000000.000000,0.928000,21.405000,-8360000000.000000,2114000000.000000,3334526865.000000,58179000000.000000,10809000000.000000,1.118000,1.367000,19830000000.000000,8500000000.000000,11330000000.000000,31278934592.000000,0.000000,7029000000.000000,0.000000,0.044000,3.722000,23913000000.000000,30942000000.000000,0.351000,48806494914.000000,37719271956.000000,19230000000.000000,5.460000,5.460000,8.612000,42867000000.000000,42033000000.000000,67616444233.000000,196449855640.000000,5.000000,4.025000,15669000000.000000,7.824000,0.634000,29904000000.000000,0.339000,4333000000.000000,4683000000.000000,84600000000.000000,76562000000.000000,7670000000.000000,9943000000.000000,2909000000.000000,7034000000.000000,58593000000.000000,30243000000.000000,28350000000.000000,-1871000000.000000,-3050000000.000000,-965000000.000000,8761000000.000000,-4583000000.000000,2909000000.000000,-20097000000.000000,-3229000000.000000,24029000000.000000,-160000000.000000,10011000000.000000,10011000000.000000,15790893303.000000,0.000000,798000000.000000,0.114000,11036000000.000000,18868000000.000000,17116000000.000000,0.432000,2.492000,10.671000,9.770000,50137000000.000000,0.000000,84.140000,1.213000,1.213000,21786000000.000000,42422000000.000000,88083000000.000000,138938093578.000000,0.000000,0.106000,0.238000,0.312000,0.271000,0.000000,0.000000,0.500000,4005358876.000000,4005358876.000000,,69.376000,97127000000.000000,3451000000.000000,9219000000.000000,8542000000.000000,48.499000
ART,2008-12-31,2009-05-14,2008-12-31,2008-Q4,1777000000.000000,92043146970.000000,2025-04-04,0.000000,116590000000.000000,109025000000.000000,37128000000.000000,79462000000.000000,0.999000,24.223000,-11397000000.000000,1939000000.000000,2641448260.000000,76408000000.000000,9558000000.000000,1.050000,1.403000,20837000000.000000,6908000000.000000,13929000000.000000,28385692314.000000,0.000000,8422000000.000000,0.000000,0.043000,1.965000,26715000000.000000,35137000000.000000,0.323000,47866202949.000000,36393135776.000000,18517000000.000000,4.860000,4.860000,6.621000,48510000000.000000,45688500000.000000,66083886076.000000,117787391024.000000,3.000000,2.461000,20622000000.000000,10.297000,0.734000,32460000000.000000,0.298000,11037000000.000000,8198000000.000000,89100000000.000000,86850000000.000000,7278000000.000000,10251000000.000000,3236000000.000000,7015000000.000000,68080000000.000000,35351000000.000000,32729000000.000000,-175000000.000000,-1666000000.000000,-818000000.000000,980000000.000000,-4910000000.000000,-5025000000.000000,-16958000000.000000,1268000000.000000,32019000000.000000,8000000.000000,8825000000.000000,8825000000.000000,12022063381.000000,0.000000,733000000.000000,0.081000,13819000000.000000,18641000000.000000,20515000000.000000,0.297000,1.393000,7.656000,6.942000,55833000000.000000,0.000000,45.960000,0.621000,0.621000,23623000000.000000,47188000000.000000,108868000000.000000,148307988235.000000,0.000000,0.081000,0.193000,0.308000,0.245000,0.000000,0.000000,0.500000,4005358876.000000,4005358876.000000,,74.055000,105553000000.000000,4212000000.000000,9692000000.000000,9351000000.000000,52.706000
ART,2008-12-31,2009-09-01,2008-12-31,2008-Q4,1777000000.000000,92443682858.000000,2025-04-04,0.000000,116590000000.000000,109025000000.000000,37128000000.000000,79462000000.000000,0.999000,24.223000,-11397000000.000000,1939000000.000000,2760554958.000000,76408000000.000000,9558000000.000000,1.050000,1.403000,20837000000.000000,6908000000.000000,13929000000.000000,29665643975.000000,0.000000,8422000000.000000,0.000000,0.079000,3.629000,26715000000.000000,35137000000.000000,0.323000,50024558831.000000,38034154571.000000,18517000000.000000,4.860000,4.860000,6.919000,48510000000.000000,45688500000.000000,69063703472.000000,119348771875.000000,3.000000,2.386000,20622000000.000000,10.297000,0.702000,32460000000.000000,0.298000,11037000000.000000,8198000000.000000,89100000000.000000,86850000000.000000,7278000000.000000,10251000000.000000,3236000000.000000,7015000000.000000,68080000000.000000,35351000000.000000,32729000000.000000,-175000000.000000,-1666000000.000000,-818000000.000000,980000000.000000,-4910000000.000000,-5025000000.000000,-16958000000.000000,1268000000.000000,32019000000.000000,8000000.000000,8825000000.000000,8825000000.000000,12564155497.000000,0.000000,733000000.000000,0.081000,13819000000.000000,18641000000.000000,20515000000.000000,0.524000,1.339000,7.358000,6.671000,55833000000.000000,0.000000,46.160000,0.596000,0.596000,23623000000.000000,47188000000.000000,108868000000.000000,154995408566.000000,0.000000,0.081000,0.193000,0.308000,0.245000,0.000000,0.000000,0.500000,4005358876.000000,4005358876.000000,,77.394000,105553000000.000000,4212000000.000000,9692000000.000000,9351000000.000000,52.706000
ART,2009-12-31,2010-04-26,2009-12-31,2009-Q4,641000000.000000,94366255119.000000,2025-04-04,0.000000,117529000000.000000,117059500000.000000,31129000000.000000,86400000000.000000,0.721000,24.992000,-11921000000.000000,1608000000.000000,2147074611.000000,58351000000.000000,5317000000.000000,1.021000,1.348000,24800000000.000000,6736000000.000000,18064000000.000000,33114086038.000000,0.000000,8762000000.000000,0.000000,0.088000,4.127000,17620000000.000000,26382000000.000000,0.313000,35226444268.000000,23527024032.000000,11123000000.000000,2.420000,2.420000,3.231000,50051000000.000000,49280500000.000000,66830367753.000000,125333266546.000000,5.000000,3.558000,7935000000.000000,3.962000,0.749000,25994000000.000000,0.308000,11469000000.000000,6497000000.000000,98764000000.000000,93932000000.000000,7231000000.000000,7740000000.000000,348000000.000000,7392000000.000000,67478000000.000000,30488000000.000000,36990000000.000000,-331000000.000000,2821000000.000000,9000000.000000,3841000000.000000,-4166000000.000000,-1183000000.000000,-10254000000.000000,3630000000.000000,19856000000.000000,-30000000.000000,4367000000.000000,4367000000.000000,5831016683.000000,0.000000,950000000.000000,0.052000,14049000000.000000,11945000000.000000,19174000000.000000,1.277000,1.412000,16.183000,14.582000,59765000000.000000,0.000000,47.120000,0.838000,0.838000,22286000000.000000,48825000000.000000,84345000000.000000,112621273664.000000,0.000000,0.037000,0.089000,0.188000,0.209000,0.000000,0.000000,0.500000,4005358876.000000,4005358876.000000,,56.235000,106060000000.000000,5581000000.000000,6756000000.000000,7629000000.000000,52.959000
ART,2010-12-31,2011-04-07,2010-12-31,2010-Q4,64000000.000000,100734775731.000000,2025-04-04,0.000000,131860000000.000000,124694500000.000000,34911000000.000000,96949000000.000000,0.798000,25.569000,-12036000000.000000,1549000000.000000,2214331255.000000,69135000000.000000,7383000000.000000,1.002000,1.487000,27783000000.000000,7478000000.000000,20305000000.000000,39716439801.000000,0.000000,8881000000.000000,0.000000,0.053000,2.657000,22188000000.000000,31069000000.000000,0.312000,44413852650.000000,31718258155.000000,15475000000.000000,3.480000,3.480000,4.975000,51206000000.000000,50628500000.000000,73200158963.000000,138236884278.000000,4.000000,3.112000,2658000000.000000,1.327000,0.700000,30344000000.000000,0.305000,11172000000.000000,6713000000.000000,112075000000.000000,105419500000.000000,8613000000.000000,7995000000.000000,382000000.000000,7613000000.000000,76132000000.000000,34847000000.000000,41285000000.000000,-59000000.000000,2305000000.000000,37000000.000000,2272000000.000000,-3622000000.000000,-1827000000.000000,-14935000000.000000,266000000.000000,14694000000.000000,39000000.000000,6318000000.000000,6318000000.000000,9031726835.000000,0.000000,1065000000.000000,0.064000,14495000000.000000,15849000000.000000,22575000000.000000,0.534000,1.376000,11.153000,10.111000,67404000000.000000,0.000000,50.300000,0.708000,0.708000,26991000000.000000,53957000000.000000,99479000000.000000,142207526725.000000,0.000000,0.051000,0.125000,0.210000,0.223000,0.000000,0.000000,0.500000,4005358876.000000,4005358876.000000,,71.009000,120688000000.000000,6269000000.000000,9157000000.000000,9098000000.000000,60.263000
