dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-06-30,2018-09-18,2018-06-30,2018-Q2,33107000.000000,,2025-05-09,0.000000,638651000.000000,,342422000.000000,296229000.000000,,-7.101000,,261269000.000000,261269000.000000,,,1.107000,-3.015000,95392000.000000,0.000000,95392000.000000,95392000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-151183000.000000,,-151183000.000000,,,,,,1.000000,,,238834000.000000,,-75375000.000000,,0.000000,0.000000,0.000000,0.000000,455816000.000000,309315000.000000,146501000.000000,,,,,,,,,,,,,,,,,,,279612000.000000,,,,,44462000.000000,,,,,41020000.000000,-254197000.000000,,,,,,,,,,1.000000,76552324.000000,21289000.000000,,,399817000.000000,0.000000,,36451000.000000,18.780000
ARQ,2018-09-30,2018-11-14,2018-09-30,2018-Q3,242962000.000000,2106569387.000000,2025-05-09,0.000000,906347000.000000,,611473000.000000,294874000.000000,,14.630000,-3148000.000000,511293000.000000,511293000.000000,31477000.000000,-35516000.000000,1.659000,1.156000,102859000.000000,5625000.000000,97234000.000000,102859000.000000,0.000000,8830000.000000,0.000000,0.000000,0.000000,-32333000.000000,-23503000.000000,-0.319000,-23503000.000000,-32333000.000000,-35633000.000000,-1.240000,-1.240000,-1.240000,420396000.000000,,420396000.000000,1698135387.000000,,,20638000.000000,0.718000,1.000000,42151000.000000,0.572000,236600000.000000,3300000.000000,-107198000.000000,,0.000000,0.000000,0.000000,0.000000,485951000.000000,368511000.000000,117440000.000000,250024000.000000,-2247000.000000,247435000.000000,617000.000000,0.000000,231633000.000000,-5395000.000000,0.000000,23786000.000000,0.000000,-35516000.000000,-35516000.000000,-35516000.000000,0.000000,0.000000,-0.482000,55205000.000000,-13054000.000000,329587000.000000,0.000000,5.011000,,,44826000.000000,0.000000,26.920000,,,57190000.000000,-289713000.000000,73628000.000000,73628000.000000,12856000.000000,,,,,15049000.000000,42349000.000000,1.000000,78252949.000000,28736000.000000,28736000.000000,2.562000,669747000.000000,0.000000,-117000.000000,28406000.000000,23.307000
ARQ,2018-12-31,2019-03-07,2018-12-31,2018-Q4,237500000.000000,2548344306.000000,2025-05-09,0.000000,836884000.000000,,545704000.000000,291180000.000000,,11.061000,-2438000.000000,439400000.000000,439400000.000000,31229000.000000,-12982000.000000,1.771000,1.016000,101232000.000000,5635000.000000,95597000.000000,101232000.000000,0.000000,8996000.000000,0.000000,0.000000,0.000000,-10619000.000000,-1623000.000000,-0.021000,-1623000.000000,-10619000.000000,-12515000.000000,0.440000,0.440000,0.440000,415222000.000000,,415222000.000000,2210176306.000000,-43.000000,-129.819000,-67900000.000000,-1.809000,1.000000,44686000.000000,0.589000,230533000.000000,1896000.000000,-40021000.000000,,0.000000,0.000000,0.000000,0.000000,421662000.000000,308204000.000000,113458000.000000,-71893000.000000,806000.000000,-2339000.000000,-3063000.000000,0.000000,-4799000.000000,-1632000.000000,0.000000,-65462000.000000,0.000000,-12982000.000000,-12982000.000000,-12982000.000000,0.000000,0.000000,-0.171000,53996000.000000,-9310000.000000,273229000.000000,0.000000,6.137000,-39.769000,-18.959000,44219000.000000,0.000000,32.420000,8.739000,4.174000,62766000.000000,-302695000.000000,75915000.000000,75915000.000000,13400000.000000,,,,,7074000.000000,40596000.000000,1.000000,78604081.000000,37540000.000000,37540000.000000,2.022000,606351000.000000,0.000000,467000.000000,23719000.000000,16.152000
ARQ,2019-03-31,2019-05-01,2019-03-31,2019-Q1,246670000.000000,1947860030.000000,2025-05-09,0.000000,931005000.000000,,640892000.000000,290113000.000000,,5.401000,-3390000.000000,533873000.000000,533873000.000000,30518000.000000,-9998000.000000,1.626000,1.191000,101975000.000000,8017000.000000,93958000.000000,101975000.000000,0.000000,6137000.000000,0.000000,0.000000,0.000000,-7965000.000000,-1828000.000000,-0.022000,-1828000.000000,-7965000.000000,-9898000.000000,-0.130000,-0.130000,-0.130000,424913000.000000,,424913000.000000,1515962030.000000,,,83344000.000000,1.059000,1.000000,50808000.000000,0.625000,227734000.000000,1933000.000000,-122849000.000000,,0.000000,0.000000,0.000000,0.000000,506092000.000000,394222000.000000,111870000.000000,94473000.000000,0.000000,12428000.000000,-711000.000000,0.000000,11129000.000000,-3390000.000000,0.000000,86734000.000000,0.000000,-9998000.000000,-9998000.000000,-9998000.000000,0.000000,0.000000,-0.123000,60953000.000000,-10145000.000000,355172000.000000,0.000000,4.584000,,,45024000.000000,0.000000,24.150000,,,59569000.000000,-313293000.000000,81326000.000000,81326000.000000,14264000.000000,,,,,8127000.000000,46689000.000000,1.000000,80656730.000000,78670000.000000,78670000.000000,1.034000,703271000.000000,0.000000,100000.000000,22241000.000000,8.940000
ARQ,2019-06-30,2019-08-07,2019-06-30,2019-Q2,241571000.000000,1388286577.000000,2025-05-09,0.000000,890671000.000000,,600566000.000000,290105000.000000,,5.307000,-4447000.000000,500962000.000000,500962000.000000,31073000.000000,-14833000.000000,1.673000,1.063000,89360000.000000,5650000.000000,83710000.000000,89360000.000000,0.000000,6082000.000000,0.000000,0.000000,0.000000,-14158000.000000,-8076000.000000,-0.100000,-8076000.000000,-14158000.000000,-16026000.000000,-0.180000,-0.180000,-0.180000,431833000.000000,,431833000.000000,976684577.000000,-15.000000,-27.881000,-33449000.000000,-0.411000,1.000000,49685000.000000,0.615000,225050000.000000,1868000.000000,-104976000.000000,,0.000000,0.000000,0.000000,0.000000,458838000.000000,358995000.000000,99843000.000000,-32911000.000000,0.000000,12760000.000000,-11691000.000000,0.000000,538000.000000,-4447000.000000,0.000000,-29002000.000000,0.000000,-14833000.000000,-14833000.000000,-14833000.000000,0.000000,0.000000,-0.184000,64218000.000000,-14533000.000000,325045000.000000,0.000000,3.215000,-18.932000,-15.099000,46251000.000000,0.000000,16.760000,4.455000,4.376000,50950000.000000,-328126000.000000,80758000.000000,80758000.000000,16295000.000000,,,,,8706000.000000,47923000.000000,1.000000,82833328.000000,81369000.000000,81369000.000000,0.992000,665621000.000000,0.000000,-1193000.000000,18115000.000000,8.180000
ARQ,2019-09-30,2019-11-07,2019-09-30,2019-Q3,175319000.000000,1462713643.000000,2025-05-09,0.000000,866808000.000000,,576865000.000000,289943000.000000,,5.071000,-3538000.000000,487415000.000000,487415000.000000,33345000.000000,-30176000.000000,1.437000,1.058000,27586000.000000,0.000000,27586000.000000,27586000.000000,0.000000,6237000.000000,0.000000,0.000000,0.000000,-28348000.000000,-22111000.000000,-0.269000,-22111000.000000,-28348000.000000,-30029000.000000,-0.360000,-0.360000,-0.360000,421180000.000000,,421180000.000000,1002884643.000000,-16.000000,-29.814000,39221000.000000,0.472000,1.000000,48707000.000000,0.594000,222368000.000000,1681000.000000,-216935000.000000,,0.000000,0.000000,0.000000,0.000000,445628000.000000,401546000.000000,44082000.000000,-13547000.000000,0.000000,9860000.000000,-62501000.000000,0.000000,-52768000.000000,-3538000.000000,0.000000,42759000.000000,0.000000,-30176000.000000,-30176000.000000,-30176000.000000,0.000000,0.000000,-0.368000,71613000.000000,-22906000.000000,369537000.000000,0.000000,3.473000,-21.514000,-75.348000,46399000.000000,0.000000,17.330000,4.570000,4.498000,48559000.000000,-358302000.000000,82052000.000000,82052000.000000,15902000.000000,,,,,9936000.000000,55711000.000000,1.000000,84403557.000000,83063000.000000,83063000.000000,0.988000,644440000.000000,0.000000,147000.000000,18922000.000000,7.758000
ARQ,2019-12-31,2020-03-02,2019-12-31,2019-Q4,174268000.000000,1201909649.000000,2025-05-09,0.000000,808015000.000000,,524576000.000000,283439000.000000,,5.031000,-2223000.000000,422940000.000000,422940000.000000,34205000.000000,-13753000.000000,1.497000,0.898000,25277000.000000,9115000.000000,16162000.000000,25277000.000000,0.000000,14114000.000000,0.000000,0.000000,0.000000,-15495000.000000,-1381000.000000,-0.017000,-1381000.000000,-15495000.000000,-12999000.000000,-0.160000,-0.160000,-0.160000,425815000.000000,,425815000.000000,804246649.000000,-12.000000,-24.082000,-74056000.000000,-0.875000,1.000000,48460000.000000,0.586000,219718000.000000,-2496000.000000,-159674000.000000,,0.000000,0.000000,0.000000,0.000000,382200000.000000,350308000.000000,31892000.000000,-64475000.000000,0.000000,9252000.000000,562000.000000,0.000000,9581000.000000,-2223000.000000,0.000000,-71833000.000000,0.000000,-13753000.000000,-13753000.000000,-13753000.000000,0.000000,0.000000,-0.166000,70827000.000000,-22367000.000000,310241000.000000,0.000000,2.823000,-17.480000,-16.571000,41895000.000000,0.000000,13.920000,3.678000,3.492000,57828000.000000,-372826000.000000,82665000.000000,82665000.000000,17735000.000000,,,,,10825000.000000,53092000.000000,1.000000,86344084.000000,84634000.000000,84634000.000000,0.977000,588297000.000000,0.000000,754000.000000,20582000.000000,6.951000
ARQ,2020-03-31,2020-05-11,2020-03-31,2020-Q1,50361000.000000,917429146.000000,2025-05-09,0.000000,682017000.000000,,409158000.000000,272859000.000000,,3.369000,-2942000.000000,375177000.000000,375177000.000000,0.000000,-146476000.000000,1.140000,1.323000,23014000.000000,9202000.000000,13812000.000000,23014000.000000,0.000000,8094000.000000,0.000000,0.000000,0.000000,-146476000.000000,-138382000.000000,-2.819000,-138382000.000000,-146476000.000000,-146476000.000000,-1.710000,-1.710000,-1.710000,293542000.000000,,293542000.000000,565266146.000000,-3.000000,-3.326000,-51992000.000000,-0.597000,1.000000,49086000.000000,1.000000,217108000.000000,0.000000,-246051000.000000,,0.000000,0.000000,0.000000,0.000000,388475000.000000,358797000.000000,29678000.000000,-47763000.000000,0.000000,4654000.000000,-61000.000000,0.000000,4229000.000000,-2942000.000000,0.000000,-49050000.000000,0.000000,-146476000.000000,-146476000.000000,-146476000.000000,0.000000,0.000000,-2.984000,0.000000,49086000.000000,238066000.000000,0.000000,3.125000,-4.470000,-4.369000,39796000.000000,0.000000,10.530000,3.115000,3.115000,1892000.000000,-519302000.000000,49086000.000000,49086000.000000,0.000000,,,,,10822000.000000,0.000000,1.000000,87125275.000000,87125275.000000,,0.563000,464909000.000000,0.000000,0.000000,18042000.000000,5.336000
ARQ,2020-06-30,2020-08-07,2020-06-30,2020-Q2,274618000.000000,840365377.000000,2025-05-09,0.000000,855675000.000000,,577096000.000000,278579000.000000,,3.722000,-826000.000000,549093000.000000,549093000.000000,10094000.000000,-38584000.000000,1.908000,1.601000,217117000.000000,7538000.000000,209579000.000000,217117000.000000,0.000000,7709000.000000,0.000000,0.000000,0.000000,-34960000.000000,-27251000.000000,-3.246000,-27251000.000000,-34960000.000000,-38585000.000000,-0.440000,-0.440000,-0.440000,329019000.000000,,329019000.000000,508389377.000000,-2.000000,-2.688000,-78491000.000000,-0.888000,1.000000,-1700000.000000,-0.203000,214508000.000000,3625000.000000,6713000.000000,,0.000000,0.000000,0.000000,0.000000,526656000.000000,302478000.000000,224178000.000000,173916000.000000,0.000000,7558000.000000,244938000.000000,0.000000,252407000.000000,-826000.000000,0.000000,-77665000.000000,0.000000,-38584000.000000,-38584000.000000,-38584000.000000,0.000000,0.000000,-4.597000,34446000.000000,-36146000.000000,207366000.000000,0.000000,2.554000,-3.670000,-3.464000,33425000.000000,0.000000,9.250000,3.782000,3.629000,6488000.000000,-557886000.000000,8394000.000000,8394000.000000,15047000.000000,,,,,9611000.000000,19399000.000000,1.000000,90850311.000000,88410000.000000,88410000.000000,0.095000,641167000.000000,0.000000,-1000.000000,15933000.000000,7.252000
ARQ,2020-09-30,2020-11-05,2020-09-30,2020-Q3,285697000.000000,949450737.000000,2025-05-09,0.000000,844826000.000000,,579166000.000000,265660000.000000,,3.535000,-840000.000000,545928000.000000,545928000.000000,11231000.000000,-19427000.000000,1.974000,1.627000,221443000.000000,6245000.000000,215198000.000000,221443000.000000,0.000000,7341000.000000,0.000000,0.000000,0.000000,-8900000.000000,-1559000.000000,-0.071000,-1559000.000000,-8900000.000000,-19184000.000000,-0.210000,-0.210000,-0.210000,321617000.000000,,321617000.000000,624965737.000000,-3.000000,-3.707000,-1404000.000000,-0.015000,1.000000,10637000.000000,0.486000,211892000.000000,10284000.000000,14980000.000000,,0.000000,0.000000,0.000000,0.000000,523209000.000000,293469000.000000,229740000.000000,-3165000.000000,0.000000,2624000.000000,-4172000.000000,0.000000,-1761000.000000,-840000.000000,0.000000,-564000.000000,0.000000,-19427000.000000,-19427000.000000,-19427000.000000,0.000000,0.000000,-0.888000,22374000.000000,-11737000.000000,219176000.000000,0.000000,2.952000,-4.350000,-4.111000,31612000.000000,0.000000,10.360000,5.860000,5.817000,10352000.000000,-577313000.000000,21868000.000000,21868000.000000,11540000.000000,,,,,10108000.000000,10834000.000000,1.000000,91645824.000000,90973000.000000,90973000.000000,0.240000,632934000.000000,0.000000,243000.000000,16638000.000000,6.957000
