dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1998-06-30,1998-09-21,1998-06-30,1998-Q2,8803000.000000,,2025-05-09,0.000000,19815000.000000,,14015000.000000,5800000.000000,,0.035000,,10716000.000000,10716000.000000,,,2.689000,1.172000,481000.000000,314000.000000,167000.000000,481000.000000,0.000000,,390000.000000,,0.000000,,,,,,,,,,9122000.000000,,9122000.000000,,,,,,1.000000,,,2216000.000000,,2152000.000000,,0.000000,0.000000,0.000000,0.000000,10693000.000000,5212000.000000,5481000.000000,,,,,,,,,,,,,,,,,,,1841000.000000,,,,,3584000.000000,,,,,2846000.000000,1145000.000000,,,,,,,,,,1.000000,953737752.000000,257064000.000000,,,17599000.000000,0.000000,,1190000.000000,0.068000
ARQ,1998-09-30,1998-11-13,1998-09-30,1998-Q3,74867000.000000,4988718645.000000,2025-05-09,0.000000,89500000.000000,,82131000.000000,7369000.000000,,0.221000,-2588000.000000,74474000.000000,74474000.000000,2103000.000000,663000.000000,11.307000,0.092000,410000.000000,316000.000000,94000.000000,410000.000000,0.000000,1019000.000000,506000.000000,0.000000,0.000000,1522000.000000,2541000.000000,0.196000,2541000.000000,1522000.000000,1511000.000000,0.002000,0.001000,0.002000,81985000.000000,,81985000.000000,4914654645.000000,,,-2398000.000000,-0.006000,1.000000,10832000.000000,0.837000,1701000.000000,11000.000000,6471000.000000,,0.000000,0.000000,0.000000,0.000000,7515000.000000,7264000.000000,251000.000000,63758000.000000,0.000000,66224000.000000,-68000.000000,0.000000,66156000.000000,-2588000.000000,0.000000,190000.000000,0.000000,663000.000000,663000.000000,663000.000000,0.000000,0.000000,0.051000,9432000.000000,1400000.000000,3376000.000000,0.000000,60.849000,,,5668000.000000,0.000000,5.162000,,,3994000.000000,1808000.000000,12935000.000000,12935000.000000,1514000.000000,,,,,816000.000000,7591000.000000,1.000000,966337752.000000,370152000.000000,892032000.000000,0.035000,87799000.000000,0.000000,848000.000000,157000.000000,0.237000
ARQ,1998-12-31,1999-03-29,1998-12-31,1998-Q4,75347000.000000,17856785412.000000,2025-05-09,0.000000,92483000.000000,,83385000.000000,9098000.000000,,0.212000,-2959000.000000,31790000.000000,31790000.000000,3020000.000000,1520000.000000,10.374000,0.095000,0.000000,0.000000,0.000000,0.000000,0.000000,1311000.000000,727000.000000,0.000000,0.000000,2755000.000000,4066000.000000,0.209000,4066000.000000,2755000.000000,2752000.000000,0.003000,0.002000,0.003000,84445000.000000,,84445000.000000,17824995412.000000,2522.000000,1821.293000,-2039000.000000,-0.005000,1.000000,16475000.000000,0.845000,1267000.000000,3000.000000,51388000.000000,,0.000000,40401000.000000,40401000.000000,0.000000,8038000.000000,8038000.000000,0.000000,-42684000.000000,0.000000,-147000.000000,-97000.000000,0.000000,-244000.000000,-43360000.000000,-40401000.000000,920000.000000,0.000000,1520000.000000,1520000.000000,1520000.000000,0.000000,0.000000,0.078000,14405000.000000,2070000.000000,1385000.000000,0.000000,211.461000,7446.533000,3079.167000,7831000.000000,0.000000,18.475000,377.107000,155.737000,6369000.000000,3328000.000000,19495000.000000,19495000.000000,1544000.000000,,,,,774000.000000,12533000.000000,1.000000,966537776.000000,399160000.000000,1086616000.000000,0.049000,91216000.000000,0.000000,1232000.000000,1682000.000000,0.229000
ARQ,1998-12-31,1999-04-01,1998-12-31,1998-Q4,75347000.000000,16745266969.000000,2025-05-09,0.000000,92483000.000000,,83385000.000000,9098000.000000,,0.212000,-2959000.000000,31790000.000000,31790000.000000,3020000.000000,1520000.000000,10.374000,0.095000,0.000000,0.000000,0.000000,0.000000,0.000000,1311000.000000,727000.000000,0.000000,0.000000,2755000.000000,4066000.000000,0.209000,4066000.000000,2755000.000000,2752000.000000,0.003000,0.002000,0.003000,84445000.000000,,84445000.000000,16713476969.000000,2364.000000,1707.722000,-2039000.000000,-0.005000,1.000000,16475000.000000,0.845000,1267000.000000,3000.000000,51388000.000000,,0.000000,40401000.000000,40401000.000000,0.000000,8038000.000000,8038000.000000,0.000000,-42684000.000000,0.000000,-147000.000000,-97000.000000,0.000000,-244000.000000,-43360000.000000,-40401000.000000,920000.000000,0.000000,1520000.000000,1520000.000000,1520000.000000,0.000000,0.000000,0.078000,14405000.000000,2070000.000000,1385000.000000,0.000000,198.298000,6983.014000,2887.500000,7831000.000000,0.000000,17.325000,353.634000,146.043000,6369000.000000,3328000.000000,19495000.000000,19495000.000000,1544000.000000,,,,,774000.000000,12533000.000000,1.000000,966537776.000000,399160000.000000,1086616000.000000,0.049000,91216000.000000,0.000000,1232000.000000,1682000.000000,0.229000
ARQ,1999-03-31,1999-05-14,1999-03-31,1999-Q1,74551000.000000,23282533346.000000,2025-05-09,0.000000,109712000.000000,,92663000.000000,17049000.000000,,0.120000,-9607000.000000,24850000.000000,24850000.000000,5121000.000000,5896000.000000,5.116000,0.198000,0.000000,0.000000,0.000000,0.000000,0.000000,1655000.000000,1022000.000000,0.000000,0.000000,10166000.000000,11821000.000000,0.348000,11821000.000000,10166000.000000,10166000.000000,0.007000,0.006000,0.007000,91600000.000000,,91600000.000000,23257683346.000000,,,-15813000.000000,-0.021000,1.000000,28889000.000000,0.849000,814000.000000,0.000000,65936000.000000,,0.000000,32121000.000000,32121000.000000,0.000000,18112000.000000,18112000.000000,0.000000,-6940000.000000,0.000000,84000.000000,509000.000000,0.000000,593000.000000,-1327000.000000,8280000.000000,-6206000.000000,0.000000,5896000.000000,5896000.000000,5896000.000000,0.000000,0.000000,0.173000,19362000.000000,9527000.000000,3748000.000000,0.000000,254.176000,,,16235000.000000,0.000000,23.238000,,,12104000.000000,9224000.000000,34010000.000000,34010000.000000,1924000.000000,,,,,666000.000000,17110000.000000,1.000000,1001937960.000000,760376000.000000,1023832000.000000,0.045000,108898000.000000,0.000000,4270000.000000,4395000.000000,0.143000
ARQ,1999-06-30,1999-08-09,1999-06-30,1999-Q2,400487000.000000,10242029313.000000,2025-05-09,22696000.000000,922209000.000000,,472855000.000000,449354000.000000,,0.981000,-23451000.000000,347553000.000000,347553000.000000,10945000.000000,816000.000000,6.534000,0.100000,18826000.000000,13305000.000000,5521000.000000,18826000.000000,0.000000,3935000.000000,0.000000,0.000000,0.000000,1930000.000000,5865000.000000,0.119000,5865000.000000,1930000.000000,1407000.000000,0.001000,0.001000,0.001000,838212000.000000,,838212000.000000,9913302313.000000,605.000000,408.072000,2716000.000000,0.003000,1.000000,38534000.000000,0.779000,7080000.000000,523000.000000,514034000.000000,,0.000000,435495000.000000,76771000.000000,358724000.000000,83997000.000000,72368000.000000,11629000.000000,317208000.000000,0.000000,702601000.000000,-3322000.000000,-4018000.000000,695261000.000000,-404220000.000000,-380645000.000000,26167000.000000,0.000000,816000.000000,816000.000000,816000.000000,0.000000,0.000000,0.016000,43166000.000000,-4632000.000000,31578000.000000,0.000000,12.219000,1151.437000,710.982000,72319000.000000,0.000000,9.954000,88.355000,73.404000,23908000.000000,18541000.000000,49479000.000000,49479000.000000,5476000.000000,,,,,1609000.000000,33004000.000000,1.000000,1028961880.000000,854840000.000000,1092912000.000000,0.058000,915129000.000000,11231000.000000,591000.000000,7570000.000000,1.071000
ARQ,1999-09-30,1999-11-15,1999-09-30,1999-Q3,366858000.000000,18197926669.000000,2025-05-09,4011000.000000,909642000.000000,,439225000.000000,470417000.000000,,0.889000,-14478000.000000,246538000.000000,246538000.000000,17081000.000000,1352000.000000,6.069000,0.102000,18303000.000000,12447000.000000,5856000.000000,18303000.000000,0.000000,5257000.000000,0.000000,0.000000,0.000000,2780000.000000,8037000.000000,0.137000,8037000.000000,2780000.000000,2331000.000000,0.001000,0.001000,0.001000,825305000.000000,,825305000.000000,17969691669.000000,1019.000000,603.232000,-14419000.000000,-0.016000,1.000000,41444000.000000,0.708000,9327000.000000,449000.000000,599713000.000000,,0.000000,507117000.000000,139406000.000000,367711000.000000,84337000.000000,72367000.000000,11970000.000000,-101015000.000000,0.000000,6699000.000000,-580000.000000,126000.000000,6245000.000000,-107319000.000000,-90340000.000000,59000.000000,0.000000,1352000.000000,1352000.000000,1352000.000000,0.000000,0.000000,0.023000,46188000.000000,-4744000.000000,22821000.000000,0.000000,22.050000,1898.782000,1352.885000,82102000.000000,0.000000,17.587000,112.674000,101.037000,27589000.000000,19804000.000000,58525000.000000,58525000.000000,6851000.000000,,,,,1378000.000000,39009000.000000,1.000000,1034707984.000000,927840000.000000,1120656000.000000,0.063000,900315000.000000,11277000.000000,979000.000000,10665000.000000,0.970000
ARQ,1999-12-31,2000-03-30,1999-12-31,1999-Q4,371009000.000000,26960879626.000000,2025-05-09,5094000.000000,963942000.000000,,459834000.000000,504108000.000000,,0.924000,-38723000.000000,219679000.000000,219679000.000000,21585000.000000,4895000.000000,5.177000,0.131000,27303000.000000,12285000.000000,15018000.000000,27303000.000000,5997000.000000,9803000.000000,0.000000,0.000000,0.000000,8891000.000000,18694000.000000,0.253000,18694000.000000,8891000.000000,8439000.000000,0.005000,0.005000,0.005000,852467000.000000,,852467000.000000,26768503626.000000,1208.000000,625.345000,7821000.000000,0.008000,1.000000,52334000.000000,0.708000,8812000.000000,452000.000000,673929000.000000,,0.000000,555074000.000000,181086000.000000,373988000.000000,111475000.000000,88825000.000000,22650000.000000,-26859000.000000,0.000000,7269000.000000,9350000.000000,0.000000,16619000.000000,-90022000.000000,-46765000.000000,46544000.000000,0.000000,4895000.000000,4895000.000000,4895000.000000,0.000000,0.000000,0.066000,51883000.000000,451000.000000,31538000.000000,0.000000,31.627000,2489.922000,1991.346000,111806000.000000,0.000000,25.887000,119.973000,99.747000,36538000.000000,27628000.000000,73919000.000000,73919000.000000,9295000.000000,,,,,1028000.000000,42426000.000000,1.000000,1041463240.000000,922784000.000000,1100528000.000000,0.080000,955130000.000000,5639000.000000,3544000.000000,6455000.000000,1.035000
ARQ,2000-03-31,2000-05-15,2000-03-31,2000-Q1,323234000.000000,16732128832.000000,2025-05-09,5232000.000000,1035958000.000000,,416710000.000000,619248000.000000,,0.953000,-21379000.000000,404720000.000000,404720000.000000,23272000.000000,6288000.000000,4.458000,0.143000,28132000.000000,13304000.000000,14828000.000000,28132000.000000,0.000000,8204000.000000,4049000.000000,0.000000,0.000000,11687000.000000,19891000.000000,0.232000,19891000.000000,11687000.000000,10842000.000000,0.007000,0.005000,0.007000,906389000.000000,,906389000.000000,16355540832.000000,647.000000,311.611000,-10853000.000000,-0.011000,1.000000,62481000.000000,0.729000,11187000.000000,845000.000000,554707000.000000,,0.000000,416700000.000000,66521000.000000,350179000.000000,129569000.000000,93476000.000000,36093000.000000,58651000.000000,0.000000,18065000.000000,-262000.000000,0.000000,55539000.000000,-8043000.000000,13336000.000000,10526000.000000,629000.000000,6288000.000000,6288000.000000,6288000.000000,0.000000,0.000000,0.073000,62029000.000000,452000.000000,26349000.000000,0.000000,18.460000,1253.249000,1062.500000,125314000.000000,0.000000,15.938000,62.509000,56.647000,34850000.000000,33911000.000000,85753000.000000,85753000.000000,11119000.000000,,,,,1066000.000000,49734000.000000,1.000000,1049859064.000000,951408000.000000,1105772000.000000,0.090000,1024771000.000000,6187000.000000,4554000.000000,6398000.000000,1.077000
ARQ,2000-06-30,2000-08-09,2000-06-30,2000-Q2,258146000.000000,13404617983.000000,2025-05-09,-456000.000000,1071616000.000000,,369151000.000000,702465000.000000,,0.921000,-7083000.000000,262011000.000000,262011000.000000,23643000.000000,11590000.000000,3.326000,0.158000,30329000.000000,15584000.000000,14745000.000000,30329000.000000,13035000.000000,9113000.000000,0.000000,0.000000,0.000000,21020000.000000,30133000.000000,0.309000,30133000.000000,21020000.000000,19982000.000000,0.013000,0.010000,0.013000,925208000.000000,,925208000.000000,13172935983.000000,297.000000,171.623000,21152000.000000,0.021000,1.000000,73756000.000000,0.757000,12560000.000000,1038000.000000,716369000.000000,,0.000000,576993000.000000,146526000.000000,430467000.000000,146408000.000000,111005000.000000,35403000.000000,-142709000.000000,0.000000,4061000.000000,-98000.000000,0.000000,3963000.000000,-173838000.000000,-166755000.000000,28235000.000000,-1069000.000000,11590000.000000,11590000.000000,11590000.000000,0.000000,0.000000,0.119000,65026000.000000,8730000.000000,25941000.000000,0.000000,14.488000,555.632000,480.192000,123463000.000000,0.000000,12.485000,42.474000,39.730000,46307000.000000,45506000.000000,97399000.000000,97399000.000000,11929000.000000,,,,,459000.000000,51099000.000000,1.000000,1073657828.000000,1004300000.000000,1101188000.000000,0.097000,1059056000.000000,9585000.000000,8392000.000000,6078000.000000,1.055000
