dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-21,1996-12-31,1996-Q4,,1527330758.000000,2025-05-02,77412000.000000,5039352000.000000,,,,,21.477000,,52595000.000000,52595000.000000,,,,3.640000,0.000000,,,0.000000,0.000000,,0.000000,0.004000,0.040000,,,,,,,,,,1086023000.000000,,1086023000.000000,1474735758.000000,10.000000,10.253000,,,1.000000,,,0.000000,,4986757000.000000,,0.000000,3572010000.000000,,,3953329000.000000,,,,,,,,,,,,,,,,,,,,,8779000.000000,,1.406000,13.634000,13.626000,0.000000,,30.250000,1.306000,1.308000,972414000.000000,626501000.000000,,,,,,,,,,1.000000,50490273.000000,50567000.000000,,,5039352000.000000,124664000.000000,,25879000.000000,99.657000
ARQ,1997-03-31,1997-04-30,1997-03-31,1997-Q1,,1450827120.000000,2025-05-02,31568000.000000,5088187000.000000,,,,,21.245000,0.000000,45283000.000000,45283000.000000,227886000.000000,34464000.000000,,3.743000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.005000,0.040000,45925000.000000,45925000.000000,0.160000,45925000.000000,45925000.000000,45925000.000000,0.680000,,0.680000,1072679000.000000,,1072679000.000000,1405544120.000000,,,86094000.000000,1.705000,1.000000,59634000.000000,0.207000,0.000000,0.000000,5042904000.000000,,0.000000,3592589000.000000,,,4015508000.000000,,,-7312000.000000,0.000000,6000.000000,0.000000,-2020000.000000,-2014000.000000,-84237000.000000,-95616000.000000,86094000.000000,-7155000.000000,34464000.000000,34464000.000000,34464000.000000,0.000000,0.000000,0.120000,13709000.000000,45925000.000000,9293000.000000,0.059000,1.353000,,,0.000000,0.000000,28.750000,,,982649000.000000,658945000.000000,287520000.000000,287520000.000000,0.000000,,,,,50000.000000,13709000.000000,1.000000,50463552.000000,50490000.000000,,5.695000,5088187000.000000,150881000.000000,11461000.000000,18936000.000000,100.776000
ARQ,1997-06-30,1997-08-04,1997-06-30,1997-Q2,,2025243800.000000,2025-05-02,-4896000.000000,5248887000.000000,,,,,23.088000,0.000000,37980000.000000,37980000.000000,245152000.000000,44338000.000000,,3.505000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.003000,0.040000,60638000.000000,60638000.000000,0.190000,60638000.000000,60638000.000000,60638000.000000,0.880000,,0.880000,1165227000.000000,,1165227000.000000,1987263800.000000,,,121335000.000000,2.404000,1.000000,73914000.000000,0.232000,0.000000,0.000000,5210907000.000000,,0.000000,3841589000.000000,,,4083660000.000000,,,-7303000.000000,0.000000,-707000.000000,0.000000,-2018000.000000,-2725000.000000,-128931000.000000,-145295000.000000,121335000.000000,3018000.000000,44338000.000000,44338000.000000,44338000.000000,0.000000,0.000000,0.139000,13276000.000000,60638000.000000,10333000.000000,0.045000,1.738000,,,0.000000,0.000000,40.130000,,,919299000.000000,701265000.000000,319066000.000000,319066000.000000,0.000000,,,,,50000.000000,13276000.000000,1.000000,50467077.000000,50469000.000000,,6.322000,5248887000.000000,127565000.000000,16300000.000000,108790000.000000,104.002000
ARQ,1997-09-30,1997-10-30,1997-09-30,1997-Q3,,1905626116.000000,2025-05-02,-5743000.000000,5369003000.000000,,,,,24.708000,0.000000,62299000.000000,62299000.000000,267350000.000000,38432000.000000,,3.306000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.004000,0.040000,50818000.000000,50818000.000000,0.153000,50818000.000000,50818000.000000,50818000.000000,0.760000,,0.760000,1246919000.000000,,1246919000.000000,1843327116.000000,,,74460000.000000,1.475000,1.000000,64379000.000000,0.194000,0.000000,0.000000,5306704000.000000,,0.000000,3929651000.000000,,,4122084000.000000,,,24319000.000000,0.000000,485000.000000,0.000000,-2019000.000000,-1534000.000000,-42882000.000000,-20765000.000000,74460000.000000,-5725000.000000,38432000.000000,38432000.000000,38432000.000000,0.000000,0.000000,0.116000,13561000.000000,50818000.000000,9838000.000000,0.053000,1.528000,,,0.000000,0.000000,37.750000,,,947209000.000000,737678000.000000,331729000.000000,331729000.000000,0.000000,,,,,-318000.000000,13561000.000000,1.000000,50480162.000000,50466000.000000,,6.573000,5369003000.000000,92019000.000000,12386000.000000,149065000.000000,106.389000
ARQ,1997-12-31,1998-03-19,1997-12-31,1997-Q4,,2034942561.000000,2025-05-02,-8078000.000000,5538020000.000000,,,,,25.902000,0.000000,51578000.000000,51578000.000000,299829000.000000,37721000.000000,,3.236000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.004000,0.050000,49919000.000000,49919000.000000,0.138000,49919000.000000,49919000.000000,49919000.000000,0.750000,,0.750000,1307483000.000000,,1307483000.000000,1983364561.000000,10.000000,9.568000,94500000.000000,1.872000,1.000000,61045000.000000,0.169000,0.000000,0.000000,5486442000.000000,,0.000000,4111736000.000000,,,4230537000.000000,,,-10721000.000000,0.000000,30000.000000,0.000000,-2019000.000000,45130000.000000,-149743000.000000,-145650000.000000,94500000.000000,-608000.000000,37721000.000000,37721000.000000,37721000.000000,0.000000,0.000000,0.105000,11126000.000000,49919000.000000,13231000.000000,0.067000,1.556000,13.132000,13.130000,0.000000,0.000000,40.310000,1.566000,1.566000,957644000.000000,773380000.000000,360874000.000000,360874000.000000,0.000000,,,,,78000.000000,11126000.000000,1.000000,50482326.000000,50479000.000000,,7.149000,5538020000.000000,74434000.000000,12198000.000000,173964000.000000,109.709000
ARQ,1998-03-31,1998-05-06,1998-03-31,1998-Q1,,2038606549.000000,2025-05-02,163683000.000000,5685684000.000000,,,,,26.867000,0.000000,38684000.000000,38684000.000000,239029000.000000,39801000.000000,,3.192000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.004000,0.050000,52025000.000000,52025000.000000,0.172000,52025000.000000,52025000.000000,52025000.000000,0.790000,0.780000,0.790000,1356279000.000000,,1356279000.000000,1999922549.000000,9.000000,9.372000,70157000.000000,1.390000,1.000000,63849000.000000,0.211000,0.000000,0.000000,5647000000.000000,,0.000000,4266177000.000000,,,4329405000.000000,,,-12894000.000000,0.000000,77000.000000,0.000000,-2524000.000000,25451000.000000,-110326000.000000,-110326000.000000,70157000.000000,1824000.000000,39801000.000000,39801000.000000,39801000.000000,0.000000,0.000000,0.131000,11824000.000000,52025000.000000,9208000.000000,0.063000,1.503000,12.718000,12.698000,0.000000,0.000000,40.380000,1.551000,1.551000,961298000.000000,810657000.000000,302878000.000000,302878000.000000,0.000000,,,,,78000.000000,11824000.000000,1.000000,50485551.000000,50481000.000000,50800000.000000,6.000000,5685684000.000000,69726000.000000,12224000.000000,19532000.000000,112.630000
ARQ,1998-06-30,1998-08-06,1998-06-30,1998-Q2,,2020148160.000000,2025-05-02,165726000.000000,5732410000.000000,,,,,27.722000,0.000000,48343000.000000,48343000.000000,261020000.000000,43544000.000000,,3.096000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.004000,0.050000,57010000.000000,57010000.000000,0.173000,57010000.000000,57010000.000000,57010000.000000,0.860000,0.860000,0.860000,1399391000.000000,,1399391000.000000,1971805160.000000,9.000000,9.400000,52741000.000000,1.045000,1.000000,69403000.000000,0.210000,0.000000,0.000000,5684067000.000000,,0.000000,4295118000.000000,,,4333019000.000000,,,9659000.000000,0.000000,-52000.000000,0.000000,-2524000.000000,1279000.000000,-43765000.000000,-22146000.000000,52741000.000000,-596000.000000,43544000.000000,43544000.000000,43544000.000000,0.000000,0.000000,0.132000,12393000.000000,57010000.000000,11395000.000000,0.058000,1.444000,12.666000,12.658000,0.000000,0.000000,40.000000,1.524000,1.523000,962442000.000000,851677000.000000,330423000.000000,330423000.000000,0.000000,,,,,101000.000000,12393000.000000,1.000000,50503704.000000,50480000.000000,50799000.000000,6.546000,5732410000.000000,76399000.000000,13466000.000000,15078000.000000,113.558000
ARQ,1998-09-30,1998-11-09,1998-09-30,1998-Q3,,1796598071.000000,2025-05-02,192820000.000000,5811910000.000000,,,,,28.902000,0.000000,73545000.000000,73545000.000000,261719000.000000,42126000.000000,,2.985000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.005000,0.050000,53632000.000000,53632000.000000,0.164000,53632000.000000,53632000.000000,53632000.000000,0.830000,0.830000,0.830000,1458551000.000000,,1458551000.000000,1723053071.000000,8.000000,8.105000,64984000.000000,1.288000,1.000000,65646000.000000,0.201000,0.000000,0.000000,5738365000.000000,,0.000000,4376642000.000000,,,4353359000.000000,,,25202000.000000,0.000000,-7586000.000000,0.000000,-2525000.000000,3265000.000000,-47630000.000000,-39653000.000000,64984000.000000,4583000.000000,42126000.000000,42126000.000000,42126000.000000,0.000000,0.000000,0.129000,12014000.000000,53632000.000000,12790000.000000,0.060000,1.232000,11.009000,11.108000,0.000000,0.000000,35.880000,1.359000,1.370000,953150000.000000,891278000.000000,327365000.000000,327365000.000000,0.000000,,,,,50000.000000,12014000.000000,1.000000,50072410.000000,50465000.000000,50748000.000000,6.487000,5811910000.000000,54217000.000000,11506000.000000,7708000.000000,115.167000
ARQ,1998-12-31,1999-03-24,1998-12-31,1998-Q4,,1564193610.000000,2025-05-02,185518000.000000,5996728000.000000,,,,,29.542000,0.000000,39326000.000000,39326000.000000,291195000.000000,39726000.000000,,3.054000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.007000,0.060000,50009000.000000,50009000.000000,0.141000,50009000.000000,50009000.000000,50009000.000000,0.790000,0.790000,0.790000,1479204000.000000,,1479204000.000000,1524867610.000000,7.000000,7.170000,-4565000.000000,-0.091000,1.000000,63339000.000000,0.179000,0.000000,0.000000,5957402000.000000,,0.000000,4286431000.000000,,,4517524000.000000,,,-34219000.000000,0.000000,-9312000.000000,0.000000,-2504000.000000,-104064000.000000,80664000.000000,80459000.000000,-4565000.000000,-6254000.000000,39726000.000000,39726000.000000,39726000.000000,0.000000,0.000000,0.112000,13330000.000000,50009000.000000,18731000.000000,0.076000,1.057000,9.469000,9.604000,0.000000,0.000000,31.500000,1.189000,1.206000,1252039000.000000,928500000.000000,354534000.000000,354534000.000000,0.000000,,,,,45000.000000,13330000.000000,1.000000,49656940.000000,50071000.000000,50314000.000000,7.081000,5996728000.000000,62237000.000000,10283000.000000,-581000.000000,119.764000
ARQ,1999-03-31,1999-05-12,1999-03-31,1999-Q1,,1663488055.000000,2025-05-02,155668000.000000,5993406000.000000,,,,,29.220000,0.000000,44575000.000000,44575000.000000,230520000.000000,41242000.000000,,3.118000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.006000,0.060000,52079000.000000,52079000.000000,0.177000,52079000.000000,52079000.000000,52079000.000000,0.830000,0.820000,0.830000,1455251000.000000,,1455251000.000000,1618913055.000000,8.000000,7.610000,108721000.000000,2.183000,1.000000,63606000.000000,0.216000,0.000000,0.000000,5948831000.000000,,0.000000,4316708000.000000,,,4538155000.000000,,,5249000.000000,0.000000,-32380000.000000,0.000000,-3005000.000000,-35385000.000000,-65706000.000000,-65706000.000000,108721000.000000,-2381000.000000,41242000.000000,41242000.000000,41242000.000000,0.000000,0.000000,0.140000,11527000.000000,52079000.000000,20603000.000000,0.072000,1.143000,9.983000,10.329000,0.000000,0.000000,34.190000,1.273000,1.303000,1192849000.000000,966737000.000000,294126000.000000,294126000.000000,0.000000,,,,,40000.000000,11527000.000000,1.000000,48654228.000000,49803000.000000,50026000.000000,5.906000,5993406000.000000,85391000.000000,10837000.000000,12159000.000000,120.342000
