dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-01-28,1996-12-31,1997-Q2,549100000.000000,5764254875.000000,2025-05-02,18800000.000000,1939300000.000000,,1442500000.000000,496800000.000000,,1.021000,,288500000.000000,288500000.000000,217600000.000000,69900000.000000,1.615000,2.992000,56100000.000000,56100000.000000,0.000000,56100000.000000,0.000000,,0.000000,0.007000,0.021000,120300000.000000,,,,120300000.000000,120400000.000000,0.135000,,0.135000,485800000.000000,,485800000.000000,5531854875.000000,,,,,1.000000,723900000.000000,0.769000,138300000.000000,-100000.000000,675200000.000000,,391400000.000000,25500000.000000,0.000000,25500000.000000,1453500000.000000,893400000.000000,560100000.000000,,,,,,,,,,,69900000.000000,64100000.000000,64100000.000000,0.000000,0.000000,0.068000,598000000.000000,125900000.000000,148400000.000000,0.156000,11.865000,,,241700000.000000,5800000.000000,12.283000,,,604400000.000000,343200000.000000,941500000.000000,941500000.000000,0.000000,,,,,,598000000.000000,1.000000,469306320.000000,475600000.000000,,1.980000,1801000000.000000,45600000.000000,50500000.000000,100200000.000000,3.787000
ARQ,1997-03-31,1997-04-29,1997-03-31,1997-Q3,536000000.000000,5317934850.000000,2025-05-02,-9500000.000000,1903900000.000000,,1356200000.000000,547700000.000000,,1.111000,-28100000.000000,265200000.000000,265200000.000000,167300000.000000,38300000.000000,1.653000,2.587000,53800000.000000,53800000.000000,0.000000,53800000.000000,0.000000,14800000.000000,0.000000,0.008000,0.021000,65900000.000000,80700000.000000,0.102000,80700000.000000,65900000.000000,68200000.000000,0.068000,0.068000,0.068000,530800000.000000,,530800000.000000,5106534850.000000,,,16800000.000000,0.035000,1.000000,624100000.000000,0.789000,179800000.000000,-2300000.000000,692500000.000000,,358400000.000000,23800000.000000,0.000000,23800000.000000,1373100000.000000,820200000.000000,552900000.000000,-23300000.000000,-46500000.000000,38100000.000000,-2400000.000000,-25800000.000000,9900000.000000,-75400000.000000,-800000.000000,44900000.000000,-2700000.000000,38300000.000000,32400000.000000,32400000.000000,0.000000,0.000000,0.041000,555200000.000000,68900000.000000,133500000.000000,0.309000,10.019000,,,249700000.000000,5900000.000000,11.250000,,,571400000.000000,378400000.000000,791400000.000000,791400000.000000,0.000000,,,,,0.000000,555200000.000000,1.000000,472705320.000000,477600000.000000,477600000.000000,1.657000,1724100000.000000,46800000.000000,29900000.000000,86600000.000000,3.610000
ARQ,1997-06-30,1997-09-04,1997-06-30,1997-Q4,551600000.000000,5825109252.000000,2025-05-02,-5200000.000000,1873100000.000000,,1311100000.000000,562000000.000000,,1.143000,-24100000.000000,255600000.000000,255600000.000000,180400000.000000,36700000.000000,1.726000,2.420000,31100000.000000,31100000.000000,0.000000,31100000.000000,0.000000,16000000.000000,0.000000,0.007000,0.021000,61600000.000000,77600000.000000,0.100000,77600000.000000,61600000.000000,64200000.000000,0.065000,,0.065000,547700000.000000,,547700000.000000,5600609252.000000,16.000000,13.846000,29600000.000000,0.062000,1.000000,595500000.000000,0.767000,161300000.000000,-2600000.000000,727800000.000000,,440600000.000000,25900000.000000,0.000000,25900000.000000,1325400000.000000,759500000.000000,565900000.000000,-9600000.000000,0.000000,4200000.000000,-22600000.000000,-15900000.000000,-34300000.000000,-24600000.000000,-500000.000000,53700000.000000,-4400000.000000,36700000.000000,30900000.000000,30900000.000000,0.000000,0.000000,0.040000,532500000.000000,63000000.000000,165800000.000000,0.323000,10.636000,33.439000,33.733000,265000000.000000,5800000.000000,12.312000,1.723000,1.736000,471700000.000000,386400000.000000,775900000.000000,775900000.000000,0.000000,,,,,200000.000000,532500000.000000,1.000000,473105320.000000,479200000.000000,,1.619000,1711800000.000000,59900000.000000,27500000.000000,57400000.000000,3.572000
ARQ,1997-09-30,1997-10-28,1997-09-30,1998-Q1,576500000.000000,5322434850.000000,2025-05-02,-18800000.000000,1911400000.000000,,1347900000.000000,563500000.000000,,1.208000,-19600000.000000,197500000.000000,197500000.000000,204400000.000000,61800000.000000,1.747000,2.296000,45700000.000000,45700000.000000,0.000000,45700000.000000,0.000000,15400000.000000,0.000000,0.008000,0.021000,103600000.000000,119000000.000000,0.132000,119000000.000000,103600000.000000,104600000.000000,0.117000,,0.117000,580000000.000000,,580000000.000000,5170634850.000000,15.000000,,-53200000.000000,-0.111000,1.000000,696200000.000000,0.773000,156200000.000000,-1000000.000000,832000000.000000,,426600000.000000,28900000.000000,0.000000,28900000.000000,1331400000.000000,771400000.000000,560000000.000000,-58100000.000000,0.000000,0.000000,14600000.000000,-15900000.000000,-1300000.000000,-20300000.000000,-700000.000000,-33600000.000000,-2900000.000000,61800000.000000,55900000.000000,55900000.000000,0.000000,0.000000,0.062000,590200000.000000,106000000.000000,145800000.000000,0.179000,9.177000,29.037000,29.221000,270500000.000000,5900000.000000,11.250000,1.561000,1.584000,567900000.000000,432300000.000000,900600000.000000,900600000.000000,0.000000,,,,,0.000000,590200000.000000,1.000000,473105320.000000,480000000.000000,,1.876000,1755200000.000000,62500000.000000,42800000.000000,79800000.000000,3.657000
ARQ,1997-12-31,1998-01-27,1997-12-31,1998-Q2,283300000.000000,6150442948.000000,2025-05-02,-20600000.000000,2389900000.000000,,1448800000.000000,941100000.000000,,1.376000,-30500000.000000,292600000.000000,292600000.000000,229300000.000000,85300000.000000,1.243000,2.666000,310200000.000000,310200000.000000,0.000000,310200000.000000,0.000000,19200000.000000,0.000000,0.007000,0.021000,143300000.000000,162500000.000000,0.162000,162500000.000000,143300000.000000,143200000.000000,0.168000,0.165000,0.168000,651900000.000000,,651900000.000000,6168042948.000000,16.000000,14.025000,185000000.000000,0.391000,1.000000,771600000.000000,0.771000,494300000.000000,100000.000000,747700000.000000,,421900000.000000,25500000.000000,0.000000,25500000.000000,1738000000.000000,1165500000.000000,572500000.000000,95100000.000000,-350300000.000000,0.000000,256300000.000000,-5800000.000000,250500000.000000,-379700000.000000,1100000.000000,215500000.000000,8800000.000000,85300000.000000,79500000.000000,79500000.000000,0.000000,0.000000,0.079000,626700000.000000,144900000.000000,160900000.000000,0.125000,9.435000,30.953000,31.100000,298700000.000000,5800000.000000,13.000000,1.773000,1.775000,569700000.000000,501700000.000000,1000900000.000000,1000900000.000000,0.000000,,,,,0.000000,626700000.000000,1.000000,473110996.000000,473600000.000000,478000000.000000,2.113000,1895600000.000000,62600000.000000,57900000.000000,78300000.000000,4.003000
ARQ,1998-03-31,1998-04-28,1998-03-31,1998-Q3,577900000.000000,7912312837.000000,2025-05-02,-28500000.000000,2483900000.000000,,1436800000.000000,1047100000.000000,,1.423000,-39600000.000000,283400000.000000,283400000.000000,195100000.000000,45700000.000000,1.673000,2.686000,412300000.000000,7300000.000000,405000000.000000,412300000.000000,0.000000,22700000.000000,0.000000,0.005000,0.021000,79900000.000000,102600000.000000,0.118000,102600000.000000,79900000.000000,76800000.000000,0.085000,0.083000,0.085000,673800000.000000,,673800000.000000,8041212837.000000,21.000000,17.417000,18300000.000000,0.039000,1.000000,676400000.000000,0.776000,571000000.000000,3100000.000000,1182900000.000000,,423700000.000000,27400000.000000,0.000000,27400000.000000,1810100000.000000,858900000.000000,951200000.000000,-9200000.000000,-109600000.000000,200000.000000,102200000.000000,-16000000.000000,86400000.000000,-146800000.000000,2400000.000000,57900000.000000,-6700000.000000,45700000.000000,39800000.000000,39800000.000000,0.000000,0.000000,0.046000,595600000.000000,80800000.000000,151800000.000000,0.247000,11.743000,38.391000,38.437000,322200000.000000,5900000.000000,16.720000,2.230000,2.231000,557000000.000000,531400000.000000,871500000.000000,871500000.000000,0.000000,,,,,0.000000,595600000.000000,1.000000,473224452.000000,473600000.000000,479600000.000000,1.840000,1912900000.000000,61000000.000000,31100000.000000,72100000.000000,4.039000
ARQ,1998-06-30,1998-09-11,1998-06-30,1998-Q4,617200000.000000,6256859111.000000,2025-05-02,-34200000.000000,2512800000.000000,,1454600000.000000,1058200000.000000,,1.470000,-30900000.000000,277500000.000000,277500000.000000,190700000.000000,44000000.000000,1.737000,2.608000,436500000.000000,11500000.000000,425000000.000000,436500000.000000,0.000000,22500000.000000,0.000000,0.006000,0.021000,77400000.000000,99900000.000000,0.118000,99900000.000000,77400000.000000,73300000.000000,0.080000,0.080000,0.080000,696400000.000000,,696400000.000000,6415859111.000000,16.000000,13.256000,-12500000.000000,-0.026000,1.000000,654300000.000000,0.774000,563300000.000000,4100000.000000,1271100000.000000,,513200000.000000,27700000.000000,0.000000,27700000.000000,1816400000.000000,837400000.000000,979000000.000000,-5900000.000000,0.000000,0.000000,25500000.000000,-15900000.000000,9600000.000000,-30400000.000000,500000.000000,18400000.000000,-3500000.000000,44000000.000000,38200000.000000,38200000.000000,0.000000,0.000000,0.045000,576900000.000000,77400000.000000,209100000.000000,0.263000,8.985000,29.320000,29.378000,335800000.000000,5800000.000000,13.220000,1.729000,1.731000,497800000.000000,559600000.000000,845000000.000000,845000000.000000,0.000000,,,,,0.000000,576900000.000000,1.000000,473287376.000000,473600000.000000,480000000.000000,1.784000,1949500000.000000,59600000.000000,29300000.000000,79400000.000000,4.116000
ARQ,1998-09-30,1998-10-28,1998-09-30,1999-Q1,666300000.000000,7579117938.000000,2025-05-02,-18400000.000000,2603800000.000000,,1547100000.000000,1056700000.000000,,1.614000,-19100000.000000,204400000.000000,204400000.000000,229600000.000000,71600000.000000,1.756000,2.403000,454500000.000000,29000000.000000,425500000.000000,454500000.000000,0.000000,25300000.000000,0.000000,0.005000,0.021000,121600000.000000,146900000.000000,0.147000,146900000.000000,121600000.000000,115500000.000000,0.138000,0.138000,0.138000,765200000.000000,,765200000.000000,7829217938.000000,19.000000,15.294000,-78000000.000000,-0.165000,1.000000,767400000.000000,0.770000,555200000.000000,6100000.000000,1417900000.000000,,497500000.000000,24900000.000000,0.000000,24900000.000000,1838600000.000000,880800000.000000,957800000.000000,-73100000.000000,0.000000,-2600000.000000,17300000.000000,-15900000.000000,-1200000.000000,-21400000.000000,-2300000.000000,-58900000.000000,8400000.000000,71600000.000000,65700000.000000,65700000.000000,0.000000,0.000000,0.066000,645800000.000000,121600000.000000,165500000.000000,0.152000,9.905000,33.957000,34.144000,341000000.000000,5900000.000000,16.047000,2.040000,2.048000,685700000.000000,615100000.000000,997000000.000000,997000000.000000,0.000000,,,,,0.000000,645800000.000000,1.000000,472292752.000000,474000000.000000,480400000.000000,2.103000,2048600000.000000,63600000.000000,43900000.000000,110500000.000000,4.322000
ARQ,1998-12-31,1999-01-26,1998-12-31,1999-Q2,778400000.000000,9280370260.000000,2025-05-02,-8400000.000000,2751300000.000000,,1682800000.000000,1068500000.000000,,1.790000,-28500000.000000,402700000.000000,402700000.000000,249800000.000000,97300000.000000,1.861000,2.248000,432200000.000000,6100000.000000,426100000.000000,432200000.000000,0.000000,24500000.000000,0.000000,0.004000,0.021000,161800000.000000,186300000.000000,0.171000,186300000.000000,161800000.000000,157000000.000000,0.193000,0.190000,0.193000,847100000.000000,,847100000.000000,9309870260.000000,21.000000,17.379000,249500000.000000,0.527000,1.000000,841200000.000000,0.771000,547700000.000000,4800000.000000,1328700000.000000,,449900000.000000,27900000.000000,0.000000,27900000.000000,1904200000.000000,904400000.000000,999800000.000000,198300000.000000,0.000000,-9600000.000000,-26800000.000000,-15900000.000000,-52300000.000000,-26900000.000000,1600000.000000,278000000.000000,-500000.000000,97300000.000000,91500000.000000,91500000.000000,0.000000,0.000000,0.084000,679400000.000000,161800000.000000,182500000.000000,0.109000,10.955000,39.457000,39.677000,354300000.000000,5800000.000000,19.640000,2.439000,2.443000,649000000.000000,695900000.000000,1091000000.000000,1091000000.000000,0.000000,,,,,0.000000,670300000.000000,1.000000,472523944.000000,473200000.000000,480400000.000000,2.306000,2203600000.000000,62800000.000000,59700000.000000,116400000.000000,4.657000
ARQ,1999-03-31,1999-04-27,1999-03-31,1999-Q3,733900000.000000,11625597340.000000,2025-05-02,-27500000.000000,2717000000.000000,,1571900000.000000,1145100000.000000,,1.876000,-35000000.000000,370100000.000000,370100000.000000,216100000.000000,53600000.000000,1.876000,2.056000,431500000.000000,5900000.000000,425600000.000000,431500000.000000,0.000000,25600000.000000,0.000000,0.003000,0.021000,90300000.000000,115900000.000000,0.120000,115900000.000000,90300000.000000,86900000.000000,0.100000,0.098000,0.100000,889200000.000000,,889200000.000000,11686997340.000000,26.000000,21.288000,57500000.000000,0.121000,1.000000,748700000.000000,0.776000,615200000.000000,3400000.000000,1325200000.000000,,412600000.000000,33300000.000000,0.000000,33300000.000000,1827800000.000000,838000000.000000,989800000.000000,-32600000.000000,-75000000.000000,12300000.000000,0.000000,-15900000.000000,-3600000.000000,-115100000.000000,-5100000.000000,92500000.000000,-6400000.000000,53600000.000000,47700000.000000,47700000.000000,0.000000,0.000000,0.049000,658400000.000000,90300000.000000,157000000.000000,0.210000,13.074000,47.822000,48.069000,366400000.000000,5900000.000000,24.515000,2.983000,2.981000,612900000.000000,733700000.000000,964800000.000000,964800000.000000,0.000000,,,,,0.000000,650500000.000000,1.000000,474223836.000000,474000000.000000,483600000.000000,2.035000,2101800000.000000,54700000.000000,33300000.000000,91000000.000000,4.434000
