dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-06-21,2020-12-31,2020-Q4,74001000.000000,,2025-05-16,0.000000,80907000.000000,,80786000.000000,121000.000000,,-29.149000,,79400000.000000,79400000.000000,,,11.907000,-0.295000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-23081000.000000,,-23081000.000000,,,,,,1.000000,,,0.000000,,-5278000.000000,,0.000000,0.000000,0.000000,0.000000,6800000.000000,6785000.000000,15000.000000,,,,,,,,,,,,,,,,,,,5679000.000000,,,,,56000.000000,,,,,0.000000,-23147000.000000,,,,,,,,,,1.000000,22822230.000000,791821.000000,,,80907000.000000,0.000000,,0.000000,102.178000
ARQ,2021-03-31,2021-06-23,2021-03-31,2021-Q1,68444000.000000,,2025-05-16,0.000000,71762000.000000,,71110000.000000,652000.000000,,-35.101000,0.000000,69912000.000000,69912000.000000,0.000000,-5091000.000000,26.673000,-0.095000,0.000000,0.000000,0.000000,0.000000,0.000000,4000.000000,0.000000,,0.000000,-5091000.000000,-5087000.000000,,-5087000.000000,-5091000.000000,-5091000.000000,-6.360000,-6.360000,-6.360000,-28105000.000000,,-28105000.000000,,,,-9477000.000000,-11.836000,1.000000,0.000000,,0.000000,0.000000,-816000.000000,,0.000000,0.000000,0.000000,0.000000,2679000.000000,2666000.000000,13000.000000,-9488000.000000,0.000000,0.000000,0.000000,0.000000,-11000.000000,0.000000,0.000000,-9477000.000000,0.000000,-5091000.000000,-5091000.000000,-5091000.000000,0.000000,0.000000,,5086000.000000,-5086000.000000,672000.000000,0.000000,,,,52000.000000,0.000000,,,,0.000000,-28238000.000000,0.000000,0.000000,4134000.000000,,,,,65000.000000,952000.000000,1.000000,22822230.000000,800679.000000,800679.000000,0.000000,71762000.000000,0.000000,0.000000,0.000000,89.626000
ARQ,2021-06-30,2021-08-12,2021-06-30,2021-Q2,155237000.000000,260127134.000000,2025-05-16,0.000000,159062000.000000,,158950000.000000,112000.000000,,148.473000,0.000000,158017000.000000,158017000.000000,0.000000,-5059000.000000,42.809000,0.024000,0.000000,0.000000,0.000000,0.000000,0.000000,6000.000000,0.000000,0.000000,0.000000,-5059000.000000,-5053000.000000,,-5053000.000000,-5059000.000000,-5059000.000000,-4.840000,-4.840000,-4.840000,155337000.000000,,155337000.000000,102110134.000000,,,-3872000.000000,-3.701000,1.000000,0.000000,,0.000000,0.000000,-2668000.000000,,0.000000,0.000000,0.000000,0.000000,3725000.000000,3713000.000000,12000.000000,88105000.000000,0.000000,91977000.000000,0.000000,0.000000,91977000.000000,0.000000,0.000000,-3872000.000000,0.000000,-5059000.000000,-5059000.000000,-5059000.000000,0.000000,0.000000,,5059000.000000,-5059000.000000,939000.000000,0.000000,1.675000,,,47000.000000,0.000000,11.200000,,,0.000000,-33297000.000000,0.000000,0.000000,3914000.000000,,,,,158000.000000,1145000.000000,1.000000,23225637.000000,1046228.000000,1046228.000000,0.000000,159062000.000000,0.000000,0.000000,0.000000,152.034000
ARQ,2021-09-30,2021-11-12,2021-09-30,2021-Q3,149555000.000000,178605149.000000,2025-05-16,0.000000,158518000.000000,,158435000.000000,83000.000000,,6.473000,0.000000,155198000.000000,155198000.000000,0.000000,-12267000.000000,17.842000,0.059000,0.000000,0.000000,0.000000,0.000000,0.000000,3000.000000,0.000000,0.000000,0.000000,-12267000.000000,-12264000.000000,,-12264000.000000,-12267000.000000,-12267000.000000,-0.530000,-0.530000,-0.530000,149628000.000000,,149628000.000000,23407149.000000,,,-7904000.000000,-0.342000,1.000000,0.000000,,0.000000,0.000000,-5560000.000000,,0.000000,0.000000,0.000000,0.000000,8890000.000000,8880000.000000,10000.000000,-2819000.000000,0.000000,5085000.000000,0.000000,0.000000,5085000.000000,0.000000,0.000000,-7904000.000000,0.000000,-12267000.000000,-12267000.000000,-12267000.000000,0.000000,0.000000,,12277000.000000,-12277000.000000,5435000.000000,0.000000,1.194000,,,43000.000000,0.000000,7.690000,,,0.000000,-45564000.000000,0.000000,0.000000,9298000.000000,,,,,659000.000000,2979000.000000,1.000000,23225637.000000,23114715.000000,23114715.000000,0.000000,158518000.000000,0.000000,0.000000,0.000000,6.858000
ARQ,2021-12-31,2022-03-03,2021-12-31,2021-Q4,140635000.000000,75187165.000000,2025-05-16,0.000000,149494000.000000,,149424000.000000,70000.000000,,11.597000,0.000000,146284000.000000,146284000.000000,0.000000,-9622000.000000,17.001000,0.063000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,-9622000.000000,-9617000.000000,,-9617000.000000,-9622000.000000,-9622000.000000,0.030000,0.030000,0.030000,140697000.000000,,140697000.000000,-71096835.000000,2.000000,2.220000,-8914000.000000,-0.735000,1.000000,0.000000,,0.000000,0.000000,-5579000.000000,,0.000000,0.000000,0.000000,0.000000,8797000.000000,8789000.000000,8000.000000,-8914000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8914000.000000,0.000000,-9622000.000000,-9622000.000000,-9622000.000000,0.000000,0.000000,,9624000.000000,-9624000.000000,5648000.000000,0.000000,0.534000,-2.347000,-1.227000,38000.000000,0.000000,3.240000,,,0.000000,-55186000.000000,0.000000,0.000000,6249000.000000,,,,,689000.000000,3375000.000000,1.000000,23205915.000000,12132610.000000,12132610.000000,0.000000,149494000.000000,0.000000,0.000000,0.000000,12.322000
ARQ,2022-03-31,2022-05-05,2022-03-31,2022-Q1,123814000.000000,84876976.000000,2025-05-16,-204000.000000,134308000.000000,,134249000.000000,59000.000000,,5.335000,0.000000,53008000.000000,53008000.000000,0.000000,-17275000.000000,12.865000,0.084000,0.000000,0.000000,0.000000,0.000000,0.000000,4000.000000,0.000000,0.000000,0.000000,-17275000.000000,-17271000.000000,,-17271000.000000,-17275000.000000,-17275000.000000,-0.740000,-0.740000,-0.740000,123866000.000000,,123866000.000000,31868976.000000,-1.000000,-0.721000,-14024000.000000,-0.604000,1.000000,0.000000,,0.000000,0.000000,70865000.000000,,0.000000,79054000.000000,79054000.000000,0.000000,10442000.000000,10435000.000000,7000.000000,-93276000.000000,0.000000,0.000000,0.000000,0.000000,19000.000000,-79271000.000000,-79271000.000000,-14024000.000000,0.000000,-17275000.000000,-17275000.000000,-17275000.000000,0.000000,0.000000,,17368000.000000,-17368000.000000,882000.000000,0.000000,0.685000,-1.919000,-0.600000,34000.000000,0.000000,3.650000,,,0.000000,-72461000.000000,0.000000,0.000000,13575000.000000,,,,,627000.000000,3793000.000000,1.000000,23253966.000000,23216206.000000,23216206.000000,0.000000,134308000.000000,0.000000,0.000000,0.000000,5.785000
ARQ,2022-06-30,2022-08-04,2022-06-30,2022-Q2,104591000.000000,29577111.000000,2025-05-16,-275000.000000,123782000.000000,,123685000.000000,97000.000000,,4.501000,0.000000,53882000.000000,53882000.000000,0.000000,-19926000.000000,6.478000,0.182000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,-19926000.000000,-19921000.000000,,-19921000.000000,-19926000.000000,-19926000.000000,-0.860000,-0.860000,-0.860000,104683000.000000,,104683000.000000,-24304889.000000,0.000000,0.411000,-9427000.000000,-0.405000,1.000000,0.000000,,0.000000,0.000000,50806000.000000,,0.000000,68660000.000000,68660000.000000,0.000000,19099000.000000,19094000.000000,5000.000000,874000.000000,0.000000,-25000.000000,0.000000,0.000000,-25000.000000,10326000.000000,10326000.000000,-9427000.000000,0.000000,-19926000.000000,-19926000.000000,-19926000.000000,0.000000,0.000000,,20113000.000000,-20113000.000000,1296000.000000,0.000000,0.283000,-0.501000,-0.605000,30000.000000,0.000000,1.270000,,,0.000000,-92387000.000000,0.000000,0.000000,16300000.000000,,,,,837000.000000,3813000.000000,1.000000,23289064.000000,23258759.000000,23258759.000000,0.000000,123782000.000000,0.000000,0.000000,0.000000,5.322000
ARQ,2022-09-30,2022-11-03,2022-09-30,2022-Q3,94974000.000000,25281364.000000,2025-05-16,-258000.000000,111492000.000000,,110074000.000000,1418000.000000,,2.882000,-86000.000000,52589000.000000,52589000.000000,0.000000,-38837000.000000,7.290000,0.661000,29268000.000000,0.000000,29268000.000000,29268000.000000,0.000000,8000.000000,0.000000,0.000000,0.000000,-38837000.000000,-38829000.000000,,-38829000.000000,-38837000.000000,-38837000.000000,-1.670000,-1.670000,-1.670000,67121000.000000,,67121000.000000,1960364.000000,0.000000,-0.023000,-44269000.000000,-1.901000,1.000000,0.000000,,0.000000,0.000000,73071000.000000,,0.000000,55270000.000000,55270000.000000,0.000000,44371000.000000,15100000.000000,29271000.000000,-1293000.000000,0.000000,-6000.000000,29530000.000000,0.000000,29524000.000000,13366000.000000,13452000.000000,-44183000.000000,0.000000,-38837000.000000,-38837000.000000,-38837000.000000,0.000000,0.000000,,38531000.000000,-38531000.000000,5665000.000000,0.000000,0.377000,-0.295000,-0.335000,108000.000000,0.000000,1.085000,,,0.000000,-131224000.000000,0.000000,0.000000,34340000.000000,,,,,883000.000000,4191000.000000,1.000000,23300796.000000,23290249.000000,23290249.000000,0.000000,111492000.000000,0.000000,0.000000,0.000000,4.787000
ARQ,2022-12-31,2023-03-09,2022-12-31,2022-Q4,77285000.000000,31476214.000000,2025-05-16,-161000.000000,94161000.000000,,92977000.000000,1184000.000000,,2.104000,0.000000,45917000.000000,45917000.000000,0.000000,-19042000.000000,5.925000,0.920000,29435000.000000,0.000000,29435000.000000,29435000.000000,0.000000,10000.000000,0.000000,0.000000,0.000000,-19017000.000000,-19007000.000000,,-19007000.000000,-19017000.000000,-19017000.000000,-0.820000,-0.820000,-0.820000,49032000.000000,,49032000.000000,14994214.000000,0.000000,-0.158000,-17849000.000000,-0.766000,1.000000,0.000000,,0.000000,0.000000,61987000.000000,,0.000000,44363000.000000,44363000.000000,0.000000,45129000.000000,15692000.000000,29437000.000000,-6672000.000000,0.000000,-4000.000000,0.000000,0.000000,-4000.000000,11181000.000000,11181000.000000,-17849000.000000,0.000000,-19042000.000000,-19042000.000000,-19042000.000000,0.000000,0.000000,,18537000.000000,-18537000.000000,6362000.000000,0.000000,0.642000,-0.331000,-0.325000,98000.000000,0.000000,1.330000,,,0.000000,-150266000.000000,0.000000,0.000000,14502000.000000,,,,,859000.000000,4035000.000000,1.000000,23666326.000000,23302451.000000,23302451.000000,0.000000,94161000.000000,0.000000,25000.000000,0.000000,4.041000
ARQ,2023-03-31,2023-05-15,2023-03-31,2023-Q1,62301000.000000,89319895.000000,2025-05-16,-51000.000000,76898000.000000,,75835000.000000,1063000.000000,,1.430000,0.000000,55902000.000000,55902000.000000,0.000000,-17059000.000000,5.603000,1.278000,29600000.000000,0.000000,29600000.000000,29600000.000000,0.000000,10000.000000,0.000000,0.000000,0.000000,-17054000.000000,-17044000.000000,,-17044000.000000,-17054000.000000,-17054000.000000,-0.720000,-0.720000,-0.720000,33764000.000000,,33764000.000000,63017895.000000,-1.000000,-0.665000,-16831000.000000,-0.713000,1.000000,0.000000,,0.000000,0.000000,37062000.000000,,0.000000,18027000.000000,18027000.000000,0.000000,43134000.000000,13534000.000000,29600000.000000,9985000.000000,0.000000,-12000.000000,0.000000,0.000000,216000.000000,26600000.000000,26600000.000000,-16831000.000000,0.000000,-17059000.000000,-17059000.000000,-17059000.000000,0.000000,0.000000,,16745000.000000,-16745000.000000,4043000.000000,0.000000,2.645000,-0.942000,-0.902000,88000.000000,0.000000,3.670000,,,0.000000,-167325000.000000,0.000000,0.000000,7292000.000000,,,,,1464000.000000,4346000.000000,1.000000,24337846.000000,23618559.000000,23618559.000000,0.000000,76898000.000000,0.000000,5000.000000,0.000000,3.256000
