dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2000-12-31,2001-10-26,2000-12-31,2000-Q4,1805300000.000000,,2025-04-22,71200000.000000,5708500000.000000,,4612800000.000000,1095700000.000000,,9.425000,,292900000.000000,292900000.000000,,,1.643000,1.973000,848000000.000000,250500000.000000,597500000.000000,848000000.000000,262800000.000000,,0.000000,,0.000000,,,,,,,,,,1919800000.000000,,1919800000.000000,,,,,,1.000000,,,498900000.000000,,2957200000.000000,,0.000000,3529300000.000000,3511300000.000000,18000000.000000,3788700000.000000,2807500000.000000,981200000.000000,,,,,,,,,,,,,,,,,,,262700000.000000,,,,,428800000.000000,,,,,855000000.000000,,,,,,,,,,,1.000000,203690000.000000,203690000.000000,,,5209600000.000000,11000000.000000,,25700000.000000,25.576000
ARQ,2001-09-30,2001-12-11,2001-09-30,2001-Q3,2261700000.000000,4968841600.000000,2025-04-22,71800000.000000,6093200000.000000,,5085100000.000000,1008100000.000000,,10.549000,,417900000.000000,417900000.000000,1976800000.000000,111500000.000000,1.801000,1.802000,866800000.000000,269000000.000000,597800000.000000,866800000.000000,296800000.000000,,0.000000,0.000000,0.000000,189900000.000000,,,,189900000.000000,176100000.000000,,,,2174900000.000000,,2174900000.000000,5417741600.000000,,,,,1.000000,686900000.000000,0.258000,475300000.000000,13800000.000000,3243400000.000000,,0.000000,3925700000.000000,3912800000.000000,12900000.000000,3918300000.000000,2823400000.000000,1094900000.000000,,,,,,,,,,,111500000.000000,111500000.000000,111500000.000000,0.000000,0.000000,0.042000,496000000.000000,190900000.000000,312700000.000000,,2.285000,,,409400000.000000,0.000000,24.100000,,,772800000.000000,,2663700000.000000,2663700000.000000,0.000000,,,,,,474300000.000000,1.000000,206176000.000000,206176000.000000,,12.920000,5617900000.000000,0.000000,64600000.000000,58400000.000000,27.248000
ARQ,2001-12-31,2002-03-25,2001-12-31,2001-Q4,2337300000.000000,5851812532.000000,2025-04-22,42400000.000000,6276600000.000000,,5299900000.000000,976700000.000000,,9.962000,-15000000.000000,446000000.000000,446000000.000000,1967100000.000000,87700000.000000,1.789000,2.047000,1128700000.000000,310700000.000000,818000000.000000,1128700000.000000,320600000.000000,30300000.000000,0.000000,0.000000,0.000000,156300000.000000,186600000.000000,0.070000,186600000.000000,156300000.000000,137900000.000000,,,,2060000000.000000,,2060000000.000000,6534512532.000000,11.000000,9.252000,127800000.000000,0.618000,1.000000,695100000.000000,0.261000,467400000.000000,18400000.000000,3529300000.000000,,0.000000,4082600000.000000,4071800000.000000,10800000.000000,4216600000.000000,2962600000.000000,1254000000.000000,41800000.000000,-300000.000000,0.000000,0.000000,0.000000,0.000000,-147600000.000000,-132300000.000000,142800000.000000,0.000000,87700000.000000,87700000.000000,87700000.000000,0.000000,0.000000,0.033000,538900000.000000,156200000.000000,331000000.000000,,2.841000,17.101000,17.100000,402300000.000000,0.000000,28.300000,0.560000,0.560000,790500000.000000,55700000.000000,2662200000.000000,2662200000.000000,0.000000,,,,,0.000000,520200000.000000,1.000000,206777828.000000,206777828.000000,,12.875000,5809200000.000000,400000.000000,50200000.000000,52400000.000000,28.094000
ARQ,2002-03-31,2002-05-10,2002-03-31,2002-Q1,2410200000.000000,7044008287.000000,2025-04-22,8500000.000000,6403000000.000000,,5418200000.000000,984800000.000000,,10.286000,-27000000.000000,495900000.000000,495900000.000000,2136400000.000000,99800000.000000,1.801000,2.012000,1178900000.000000,360200000.000000,818700000.000000,1178900000.000000,328700000.000000,28500000.000000,0.000000,0.000000,0.000000,166600000.000000,195100000.000000,0.069000,195100000.000000,166600000.000000,149000000.000000,0.485000,0.475000,0.485000,2126000000.000000,,2126000000.000000,7727008287.000000,,,156300000.000000,0.756000,1.000000,676000000.000000,0.240000,469000000.000000,17600000.000000,3609000000.000000,,0.000000,3960900000.000000,3960900000.000000,0.000000,4277000000.000000,3008000000.000000,1269000000.000000,49900000.000000,-10600000.000000,0.000000,0.000000,0.000000,100000.000000,-133500000.000000,-95900000.000000,183300000.000000,0.000000,99800000.000000,99800000.000000,99800000.000000,0.000000,0.000000,0.035000,508900000.000000,167100000.000000,245800000.000000,0.000000,3.313000,,,406600000.000000,0.000000,34.080000,,,963500000.000000,155500000.000000,2812400000.000000,2812400000.000000,0.000000,,,,,0.000000,505600000.000000,1.000000,206690384.000000,206690384.000000,,13.607000,5934000000.000000,0.000000,49200000.000000,54100000.000000,28.710000
ARQ,2002-06-30,2002-08-05,2002-06-30,2002-Q2,2578100000.000000,6225142842.000000,2025-04-22,44100000.000000,6641400000.000000,,5670200000.000000,971200000.000000,,10.840000,-14400000.000000,706100000.000000,706100000.000000,2174800000.000000,106200000.000000,1.834000,1.977000,1124000000.000000,304700000.000000,819300000.000000,1124000000.000000,302700000.000000,27400000.000000,0.000000,0.000000,0.000000,176500000.000000,203900000.000000,0.070000,203900000.000000,176500000.000000,159000000.000000,0.515000,0.505000,0.515000,2230700000.000000,,2230700000.000000,6643042842.000000,10.000000,,45700000.000000,0.222000,1.000000,725300000.000000,0.250000,471900000.000000,17500000.000000,3495300000.000000,,0.000000,4000000000.000000,4000000000.000000,0.000000,4410700000.000000,3092100000.000000,1318600000.000000,209400000.000000,-7500000.000000,-37500000.000000,0.000000,0.000000,-37400000.000000,186700000.000000,208600000.000000,60100000.000000,0.000000,106200000.000000,106200000.000000,106200000.000000,0.000000,0.000000,0.037000,548500000.000000,176800000.000000,247300000.000000,0.000000,2.791000,15.363000,,396500000.000000,0.000000,30.250000,0.564000,0.564000,946000000.000000,234800000.000000,2900100000.000000,2900100000.000000,0.000000,,,,,0.000000,544400000.000000,1.000000,205789846.000000,205789846.000000,,14.093000,6169500000.000000,0.000000,52800000.000000,30500000.000000,29.980000
ARQ,2002-09-30,2002-11-04,2002-09-30,2002-Q3,3337900000.000000,9052537856.000000,2025-04-22,122000000.000000,12235200000.000000,,7793600000.000000,4441600000.000000,,18.825000,-34700000.000000,964100000.000000,964100000.000000,2626600000.000000,171200000.000000,1.749000,1.298000,2029700000.000000,371200000.000000,1658500000.000000,2029700000.000000,562500000.000000,45100000.000000,0.000000,0.000000,0.000000,258400000.000000,303500000.000000,0.085000,303500000.000000,258400000.000000,228100000.000000,0.665000,0.645000,0.665000,5325300000.000000,,5325300000.000000,10118137856.000000,13.000000,11.380000,345800000.000000,1.222000,1.000000,952800000.000000,0.266000,3788700000.000000,30300000.000000,5056400000.000000,,0.000000,5688300000.000000,5688300000.000000,0.000000,6909900000.000000,4455700000.000000,2454200000.000000,246300000.000000,-771100000.000000,-54600000.000000,938500000.000000,0.000000,879800000.000000,-1014000000.000000,-208200000.000000,380500000.000000,0.000000,171200000.000000,171200000.000000,171200000.000000,0.000000,0.000000,0.048000,693100000.000000,259700000.000000,413500000.000000,0.000000,1.700000,19.472000,,536700000.000000,0.000000,32.000000,0.757000,0.757000,1130800000.000000,372600000.000000,3579400000.000000,3579400000.000000,0.000000,,,,,0.000000,683700000.000000,1.000000,282891808.000000,282891808.000000,,12.653000,8446500000.000000,0.000000,56900000.000000,74600000.000000,29.858000
ARQ,2002-12-31,2003-03-07,2002-12-31,2002-Q4,3427600000.000000,8379233604.000000,2025-04-22,122700000.000000,12293100000.000000,,7876500000.000000,4416600000.000000,,19.359000,-33500000.000000,744000000.000000,744000000.000000,2901600000.000000,171900000.000000,1.770000,1.293000,2017300000.000000,357900000.000000,1659400000.000000,2017300000.000000,326600000.000000,56000000.000000,0.000000,0.000000,0.000000,301300000.000000,357300000.000000,0.090000,357300000.000000,301300000.000000,268200000.000000,0.620000,0.605000,0.620000,5362300000.000000,,5362300000.000000,9652533604.000000,11.000000,9.108000,333700000.000000,1.205000,1.000000,1088800000.000000,0.273000,3759500000.000000,33100000.000000,5358000000.000000,,0.000000,5948100000.000000,5948100000.000000,0.000000,6930800000.000000,4448900000.000000,2481900000.000000,-217100000.000000,500000.000000,-133200000.000000,0.000000,0.000000,-133200000.000000,-451100000.000000,-418100000.000000,367200000.000000,0.000000,171900000.000000,171900000.000000,171900000.000000,0.000000,0.000000,0.043000,786300000.000000,302500000.000000,471800000.000000,0.000000,1.563000,15.260000,13.124000,537400000.000000,0.000000,30.250000,0.631000,0.631000,1161500000.000000,481300000.000000,3990400000.000000,3990400000.000000,0.000000,,,,,0.000000,772900000.000000,1.000000,276999458.000000,276999458.000000,,14.406000,8533600000.000000,11700000.000000,96300000.000000,499700000.000000,30.807000
ARQ,2003-03-31,2003-04-30,2003-03-31,2003-Q1,3511400000.000000,9490397854.000000,2025-04-22,121500000.000000,12506900000.000000,,8123100000.000000,4383800000.000000,,19.803000,-13800000.000000,511400000.000000,511400000.000000,3036600000.000000,191700000.000000,1.761000,1.284000,2044200000.000000,383900000.000000,1660300000.000000,2044200000.000000,328500000.000000,56400000.000000,0.000000,0.000000,0.000000,334400000.000000,390800000.000000,0.095000,390800000.000000,334400000.000000,301500000.000000,0.690000,0.680000,0.690000,5476000000.000000,,5476000000.000000,11023197854.000000,10.000000,8.780000,235200000.000000,0.851000,1.000000,1063700000.000000,0.259000,3746700000.000000,32900000.000000,5681300000.000000,,0.000000,6394100000.000000,6394100000.000000,0.000000,7030900000.000000,4611700000.000000,2419200000.000000,-231000000.000000,-1100000.000000,-78400000.000000,0.000000,0.000000,-78400000.000000,-401600000.000000,-386700000.000000,249000000.000000,0.000000,191700000.000000,191700000.000000,191700000.000000,0.000000,0.000000,0.047000,728300000.000000,335400000.000000,356500000.000000,0.000000,1.733000,14.806000,13.783000,519900000.000000,0.000000,34.320000,0.651000,0.651000,1196300000.000000,636100000.000000,4100300000.000000,4100300000.000000,0.000000,,,,,0.000000,716400000.000000,1.000000,276526744.000000,276526744.000000,,14.828000,8760200000.000000,7400000.000000,109800000.000000,544800000.000000,31.679000
ARQ,2003-06-30,2003-07-31,2003-06-30,2003-Q2,3851900000.000000,10467232369.000000,2025-04-22,200300000.000000,12908900000.000000,,8541500000.000000,4367400000.000000,,20.683000,-36000000.000000,529600000.000000,529600000.000000,3017300000.000000,177300000.000000,1.821000,1.251000,2037500000.000000,376400000.000000,1661100000.000000,2037500000.000000,334700000.000000,62100000.000000,0.000000,0.000000,0.000000,310000000.000000,372100000.000000,0.090000,372100000.000000,310000000.000000,277200000.000000,0.640000,0.625000,0.640000,5734300000.000000,,5734300000.000000,11975132369.000000,10.000000,8.411000,109200000.000000,0.394000,1.000000,1097100000.000000,0.267000,3713800000.000000,32800000.000000,6013400000.000000,,0.000000,6674000000.000000,6674000000.000000,0.000000,7174600000.000000,4689600000.000000,2485000000.000000,12000000.000000,-5800000.000000,2100000.000000,0.000000,0.000000,2100000.000000,-135300000.000000,-93500000.000000,145200000.000000,0.000000,177300000.000000,177300000.000000,177300000.000000,0.000000,0.000000,0.043000,785700000.000000,311400000.000000,370900000.000000,0.000000,1.825000,14.699000,14.438000,524500000.000000,0.000000,37.755000,0.663000,0.663000,1311800000.000000,804700000.000000,4114400000.000000,4114400000.000000,0.000000,,,,,0.000000,773900000.000000,1.000000,277240958.000000,277240958.000000,,14.841000,9195100000.000000,6800000.000000,99900000.000000,602100000.000000,33.166000
ARQ,2003-09-30,2003-11-14,2003-09-30,2003-Q3,3922000000.000000,9502694097.000000,2025-04-22,151600000.000000,13205200000.000000,,8634400000.000000,4570800000.000000,,21.163000,-28100000.000000,726700000.000000,726700000.000000,3123300000.000000,196500000.000000,1.832000,1.256000,2109300000.000000,447300000.000000,1662000000.000000,2109300000.000000,357000000.000000,65100000.000000,0.000000,0.000000,0.000000,341500000.000000,406600000.000000,0.095000,406600000.000000,341500000.000000,308600000.000000,0.710000,0.690000,0.710000,5853000000.000000,,5853000000.000000,10885294097.000000,8.000000,7.129000,303400000.000000,1.097000,1.000000,1138500000.000000,0.267000,3697200000.000000,32900000.000000,6178200000.000000,,0.000000,6507300000.000000,6507300000.000000,0.000000,7352200000.000000,4712400000.000000,2639800000.000000,194200000.000000,600000.000000,-30000000.000000,-100000000.000000,0.000000,-130000000.000000,-7300000.000000,20200000.000000,331500000.000000,0.000000,196500000.000000,196500000.000000,196500000.000000,0.000000,0.000000,0.046000,795400000.000000,343100000.000000,435000000.000000,0.000000,1.624000,12.887000,12.917000,520300000.000000,0.000000,34.360000,0.577000,0.577000,1390400000.000000,982200000.000000,4261800000.000000,4261800000.000000,0.000000,,,,,0.000000,783500000.000000,1.000000,276562692.000000,276562692.000000,,15.410000,9508000000.000000,5100000.000000,112100000.000000,592200000.000000,34.379000
