dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2011-12-31,2012-03-29,2011-12-31,2011-Q4,29417000.000000,,2025-04-22,83000.000000,106242000.000000,,81787000.000000,24455000.000000,,11.135000,,51524000.000000,51524000.000000,,,1.562000,6.603000,33879000.000000,4529000.000000,29350000.000000,33879000.000000,27084000.000000,,0.000000,,0.000000,,,,,,,,,,13974000.000000,,13974000.000000,,,,,,1.000000,,,0.000000,,36227000.000000,,11228000.000000,0.000000,0.000000,0.000000,92268000.000000,52370000.000000,39898000.000000,,,,,,,,,,,,,,,,,,,12928000.000000,,,,,18411000.000000,,,,,17771000.000000,-88808000.000000,,,,,,,,,,1.000000,37328347.000000,1255000.000000,,,106242000.000000,0.000000,,0.000000,84.655000
ARQ,2012-03-31,2012-05-14,2012-03-31,2012-Q1,15164000.000000,334940496.000000,2025-04-22,111000.000000,103375000.000000,,73319000.000000,30056000.000000,,2.666000,-4605000.000000,31903000.000000,31903000.000000,33293000.000000,-10184000.000000,1.261000,21.730000,33875000.000000,5437000.000000,28438000.000000,33875000.000000,20892000.000000,1085000.000000,0.000000,0.000000,0.000000,-8640000.000000,-7555000.000000,-0.177000,-7555000.000000,-8640000.000000,-10119000.000000,-5.970000,-5.970000,-5.970000,4548000.000000,,4548000.000000,336912496.000000,,,-18676000.000000,-10.947000,1.000000,9307000.000000,0.218000,0.000000,1479000.000000,47192000.000000,,25661000.000000,0.000000,0.000000,0.000000,98827000.000000,58155000.000000,40672000.000000,-19621000.000000,0.000000,24000.000000,-718000.000000,0.000000,-973000.000000,-4605000.000000,0.000000,-14071000.000000,28000.000000,-10184000.000000,-10184000.000000,-10184000.000000,0.000000,0.000000,-0.239000,18587000.000000,-9280000.000000,24797000.000000,0.000000,73.646000,,,22736000.000000,0.000000,8.220000,,,13447000.000000,-98992000.000000,42600000.000000,42600000.000000,7842000.000000,,,,,706000.000000,10745000.000000,1.000000,40747019.000000,1706000.000000,1706000.000000,24.971000,103375000.000000,0.000000,65000.000000,0.000000,60.595000
ARQ,2012-06-30,2012-08-13,2012-06-30,2012-Q2,65311000.000000,206625604.000000,2025-04-22,100000.000000,136489000.000000,,110477000.000000,26012000.000000,,1.776000,-3408000.000000,66969000.000000,66969000.000000,42096000.000000,-11385000.000000,2.446000,0.948000,13327000.000000,6488000.000000,6839000.000000,13327000.000000,5682000.000000,1366000.000000,0.000000,0.000000,0.000000,-7829000.000000,-6463000.000000,-0.116000,-6463000.000000,-7829000.000000,-11234000.000000,-0.290000,-0.290000,-0.290000,70083000.000000,,70083000.000000,152983604.000000,,,-21182000.000000,-0.537000,1.000000,13601000.000000,0.244000,0.000000,3405000.000000,37681000.000000,,30966000.000000,0.000000,0.000000,0.000000,66406000.000000,45166000.000000,21240000.000000,35066000.000000,0.000000,58629000.000000,-821000.000000,0.000000,56259000.000000,-3408000.000000,0.000000,-17774000.000000,-11000.000000,-11385000.000000,-11385000.000000,-11385000.000000,0.000000,0.000000,-0.204000,21106000.000000,-7505000.000000,25551000.000000,0.000000,2.948000,,,24652000.000000,0.000000,5.070000,,,9961000.000000,-110377000.000000,55697000.000000,55697000.000000,8655000.000000,,,,,1002000.000000,12451000.000000,1.000000,40754557.000000,39461000.000000,39461000.000000,1.411000,136489000.000000,0.000000,151000.000000,0.000000,3.459000
ARQ,2012-09-30,2012-11-13,2012-09-30,2012-Q3,59990000.000000,90233584.000000,2025-04-22,-2000.000000,124099000.000000,,98131000.000000,25968000.000000,,1.534000,-3041000.000000,41717000.000000,41717000.000000,44489000.000000,-8907000.000000,2.573000,0.985000,11947000.000000,6844000.000000,5103000.000000,11947000.000000,6920000.000000,1487000.000000,0.000000,0.000000,0.000000,-8250000.000000,-6763000.000000,-0.111000,-6763000.000000,-8250000.000000,-8777000.000000,-0.220000,-0.220000,-0.220000,62528000.000000,,62528000.000000,60463584.000000,,,-23470000.000000,-0.576000,1.000000,16324000.000000,0.268000,0.000000,527000.000000,56188000.000000,,16650000.000000,0.000000,0.000000,0.000000,61571000.000000,38141000.000000,23430000.000000,-25252000.000000,0.000000,3000.000000,-1479000.000000,0.000000,-1680000.000000,-3041000.000000,0.000000,-20429000.000000,-102000.000000,-8907000.000000,-8907000.000000,-8907000.000000,0.000000,0.000000,-0.146000,24521000.000000,-8197000.000000,15197000.000000,0.000000,1.443000,,,24926000.000000,0.000000,2.210000,,,32734000.000000,-119284000.000000,60813000.000000,60813000.000000,10571000.000000,,,,,1451000.000000,13950000.000000,1.000000,40829676.000000,40755000.000000,40755000.000000,1.492000,124099000.000000,0.000000,130000.000000,0.000000,3.045000
ARQ,2012-12-31,2013-03-05,2012-12-31,2012-Q4,61143000.000000,201169743.000000,2025-04-22,52000.000000,122291000.000000,,94998000.000000,27293000.000000,,1.843000,-1936000.000000,45294000.000000,45294000.000000,41512000.000000,-7742000.000000,2.806000,1.159000,11061000.000000,2384000.000000,8677000.000000,11061000.000000,8470000.000000,1630000.000000,0.000000,0.000000,0.000000,-6412000.000000,-4782000.000000,-0.083000,-4782000.000000,-6412000.000000,-7437000.000000,-0.130000,-0.130000,-0.130000,56655000.000000,,56655000.000000,166936743.000000,-5.000000,-6.530000,5693000.000000,0.185000,1.000000,16056000.000000,0.279000,0.000000,1025000.000000,54203000.000000,,19843000.000000,0.000000,0.000000,0.000000,65636000.000000,33855000.000000,31781000.000000,3577000.000000,0.000000,208000.000000,-2212000.000000,0.000000,-2170000.000000,-1936000.000000,0.000000,7629000.000000,54000.000000,-7742000.000000,-7742000.000000,-7742000.000000,0.000000,0.000000,-0.134000,22235000.000000,-6179000.000000,11272000.000000,0.000000,3.551000,-5.264000,-3.935000,25541000.000000,0.000000,4.880000,0.928000,0.692000,27743000.000000,-127026000.000000,57568000.000000,57568000.000000,8533000.000000,,,,,1607000.000000,13702000.000000,1.000000,41223308.000000,30740000.000000,30740000.000000,1.873000,122291000.000000,0.000000,305000.000000,0.000000,3.978000
ARQ,2013-03-31,2013-05-08,2013-03-31,2013-Q1,55057000.000000,309650032.000000,2025-04-22,-126000.000000,113065000.000000,,86143000.000000,26922000.000000,,1.169000,-1682000.000000,36434000.000000,36434000.000000,33376000.000000,-10406000.000000,2.771000,1.350000,10486000.000000,2440000.000000,8046000.000000,10486000.000000,9446000.000000,1660000.000000,0.000000,0.000000,0.000000,-9760000.000000,-8100000.000000,-0.178000,-8100000.000000,-9760000.000000,-10224000.000000,-0.250000,-0.250000,-0.250000,48109000.000000,,48109000.000000,283702032.000000,-9.000000,-10.866000,-8654000.000000,-0.210000,1.000000,12201000.000000,0.268000,0.000000,464000.000000,56031000.000000,,22309000.000000,0.000000,0.000000,0.000000,64956000.000000,31086000.000000,33870000.000000,-8860000.000000,0.000000,603000.000000,-631000.000000,0.000000,-28000.000000,-1682000.000000,0.000000,-6972000.000000,-178000.000000,-10406000.000000,-10406000.000000,-10406000.000000,0.000000,0.000000,-0.228000,21912000.000000,-9711000.000000,9057000.000000,0.000000,6.436000,-8.055000,-8.360000,25281000.000000,0.000000,7.440000,1.410000,1.394000,24908000.000000,-137432000.000000,45577000.000000,45577000.000000,9026000.000000,,,,,1435000.000000,12886000.000000,1.000000,41619628.000000,41149000.000000,41149000.000000,1.108000,113065000.000000,0.000000,182000.000000,0.000000,2.748000
ARQ,2013-06-30,2013-08-07,2013-06-30,2013-Q2,52711000.000000,250564284.000000,2025-04-22,93000.000000,113348000.000000,,86694000.000000,26654000.000000,,1.066000,-1785000.000000,33976000.000000,33976000.000000,41883000.000000,-6396000.000000,2.551000,1.556000,9896000.000000,3365000.000000,6531000.000000,9896000.000000,10561000.000000,1709000.000000,0.000000,0.000000,0.000000,-5788000.000000,-4079000.000000,-0.070000,-4079000.000000,-5788000.000000,-6272000.000000,-0.150000,-0.150000,-0.150000,44347000.000000,,44347000.000000,226484284.000000,-7.000000,-9.547000,-2775000.000000,-0.067000,1.000000,16284000.000000,0.280000,0.000000,484000.000000,55285000.000000,,17906000.000000,0.000000,0.000000,0.000000,69001000.000000,33983000.000000,35018000.000000,-2458000.000000,0.000000,931000.000000,-605000.000000,0.000000,326000.000000,-1785000.000000,0.000000,-990000.000000,-9000.000000,-6396000.000000,-6396000.000000,-6396000.000000,0.000000,0.000000,-0.110000,21775000.000000,-5491000.000000,10012000.000000,0.000000,5.650000,-7.490000,-8.000000,25141000.000000,0.000000,6.000000,1.128000,1.124000,32104000.000000,-143828000.000000,58167000.000000,58167000.000000,8484000.000000,,,,,1475000.000000,13291000.000000,1.000000,41760714.000000,41617000.000000,41617000.000000,1.398000,113348000.000000,0.000000,124000.000000,0.000000,2.724000
ARQ,2013-09-30,2013-11-12,2013-09-30,2013-Q3,51643000.000000,345583111.000000,2025-04-22,197000.000000,120310000.000000,,94067000.000000,26243000.000000,,0.965000,-1419000.000000,31778000.000000,31778000.000000,44611000.000000,-6301000.000000,2.217000,1.983000,9293000.000000,3432000.000000,5861000.000000,9293000.000000,13305000.000000,1753000.000000,0.000000,0.000000,0.000000,-5723000.000000,-3970000.000000,-0.064000,-3970000.000000,-5723000.000000,-6160000.000000,-0.150000,-0.150000,-0.150000,40333000.000000,,40333000.000000,323098111.000000,-12.000000,-15.436000,-1908000.000000,-0.046000,1.000000,17435000.000000,0.281000,0.000000,437000.000000,55401000.000000,,24392000.000000,0.000000,0.000000,0.000000,79977000.000000,42424000.000000,37553000.000000,-2198000.000000,0.000000,138000.000000,-619000.000000,0.000000,-481000.000000,-1419000.000000,0.000000,-489000.000000,191000.000000,-6301000.000000,-6301000.000000,-6301000.000000,0.000000,0.000000,-0.102000,22780000.000000,-5345000.000000,15103000.000000,0.000000,8.568000,-11.204000,-12.088000,24823000.000000,0.000000,8.220000,1.547000,1.537000,34744000.000000,-150129000.000000,62046000.000000,62046000.000000,8293000.000000,,,,,2045000.000000,14487000.000000,1.000000,42041741.000000,41777000.000000,41777000.000000,1.485000,120310000.000000,0.000000,141000.000000,0.000000,2.880000
ARQ,2013-12-31,2014-03-04,2013-12-31,2013-Q4,57144000.000000,358168564.000000,2025-04-22,229000.000000,116669000.000000,,90509000.000000,26160000.000000,,0.956000,-1371000.000000,38190000.000000,38190000.000000,45560000.000000,-2810000.000000,2.713000,1.902000,8677000.000000,3507000.000000,5170000.000000,8677000.000000,14057000.000000,1859000.000000,0.000000,0.000000,0.000000,-1724000.000000,135000.000000,0.002000,135000.000000,-1724000.000000,-2394000.000000,-0.060000,-0.060000,-0.060000,40206000.000000,,40206000.000000,328655564.000000,-14.000000,-20.523000,6208000.000000,0.148000,1.000000,21496000.000000,0.321000,0.000000,670000.000000,53791000.000000,,16580000.000000,0.000000,0.000000,0.000000,76463000.000000,33365000.000000,43098000.000000,6412000.000000,0.000000,757000.000000,-632000.000000,0.000000,125000.000000,-1371000.000000,0.000000,7579000.000000,79000.000000,-2810000.000000,-2810000.000000,-2810000.000000,0.000000,0.000000,-0.042000,23107000.000000,-1611000.000000,7363000.000000,0.000000,8.908000,-13.822000,-13.677000,24853000.000000,0.000000,8.480000,1.538000,1.517000,32084000.000000,-152939000.000000,67056000.000000,67056000.000000,8721000.000000,,,,,1894000.000000,14386000.000000,1.000000,42236859.000000,42037000.000000,42037000.000000,1.595000,116669000.000000,0.000000,416000.000000,0.000000,2.775000
ARQ,2014-03-31,2014-05-07,2014-03-31,2014-Q1,52686000.000000,332381509.000000,2025-04-22,230000.000000,113160000.000000,,86781000.000000,26379000.000000,,0.863000,-2172000.000000,39935000.000000,39935000.000000,38925000.000000,-6236000.000000,2.545000,2.106000,7827000.000000,3370000.000000,4457000.000000,7827000.000000,13964000.000000,1910000.000000,0.000000,0.000000,0.000000,-5678000.000000,-3768000.000000,-0.065000,-3768000.000000,-5678000.000000,-6127000.000000,-0.150000,-0.150000,-0.150000,36438000.000000,,36438000.000000,300273509.000000,-16.000000,-25.704000,2109000.000000,0.050000,1.000000,18655000.000000,0.324000,0.000000,449000.000000,46957000.000000,,14113000.000000,0.000000,0.000000,0.000000,76722000.000000,34095000.000000,42627000.000000,1745000.000000,0.000000,454000.000000,-866000.000000,0.000000,-412000.000000,-2172000.000000,0.000000,4281000.000000,48000.000000,-6236000.000000,-6236000.000000,-6236000.000000,0.000000,0.000000,-0.108000,24440000.000000,-5785000.000000,9353000.000000,0.000000,9.122000,-15.287000,-15.294000,24809000.000000,0.000000,7.800000,1.357000,1.344000,28450000.000000,-159175000.000000,57580000.000000,57580000.000000,9086000.000000,,,,,2013000.000000,15354000.000000,1.000000,42613014.000000,42205000.000000,42205000.000000,1.364000,113160000.000000,0.000000,109000.000000,0.000000,2.681000
