dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-06-30,2018-10-02,2018-06-30,2018-Q2,5788958.000000,,2025-05-14,0.000000,6728134.000000,,6706147.000000,21987.000000,,-0.522000,,6626443.000000,6626443.000000,,,7.312000,-2.203000,10517896.000000,0.000000,10517896.000000,10517896.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-5593501.000000,,-5593501.000000,,,,,,1.000000,,,0.000000,,9702398.000000,,0.000000,0.000000,0.000000,0.000000,12321635.000000,917189.000000,11404446.000000,,,,,,,,,,,,,,,,,,,346848.000000,,,,,21987.000000,,,,,0.000000,-5604033.000000,,,,,,,,,,1.000000,16696662.000000,10711788.000000,,,6728134.000000,0.000000,,0.000000,0.628000
ARQ,2018-09-30,2018-11-15,2018-09-30,2018-Q3,2380556.000000,275413341.000000,2025-05-14,0.000000,6421547.000000,,5060310.000000,1361237.000000,,-0.937000,-3558.000000,4982505.000000,4982505.000000,0.000000,-4916423.000000,1.888000,-1.619000,11596724.000000,0.000000,11596724.000000,11596724.000000,0.000000,1796.000000,0.000000,0.000000,0.000000,-3695323.000000,-3693527.000000,,-3693527.000000,-3695323.000000,-4916423.000000,-0.440000,-0.440000,-0.440000,-10378764.000000,,-10378764.000000,282027560.000000,,,-1645159.000000,-0.148000,1.000000,0.000000,,0.000000,1221100.000000,10356012.000000,,0.000000,0.000000,0.000000,0.000000,16800311.000000,2679754.000000,14120557.000000,-1643938.000000,0.000000,1221.000000,0.000000,0.000000,1221.000000,-3558.000000,0.000000,-1641601.000000,0.000000,-4916423.000000,-4916423.000000,-4916423.000000,0.000000,0.000000,,2225880.000000,-2225880.000000,1230262.000000,0.000000,-26.536000,,,31887.000000,0.000000,15.850000,,,0.000000,-10520456.000000,0.000000,0.000000,1222296.000000,,,,,130615.000000,1003584.000000,1.000000,17376236.000000,11078840.000000,11078840.000000,0.000000,6421547.000000,0.000000,0.000000,0.000000,0.580000
ARQ,2018-12-31,2019-03-27,2018-12-31,2018-Q4,65071151.000000,131016819.000000,2025-05-14,5279.000000,67162643.000000,,67099128.000000,63515.000000,,5.327000,-9477.000000,28508534.000000,28508534.000000,0.000000,-4991893.000000,33.087000,0.034000,0.000000,0.000000,0.000000,0.000000,0.000000,2393.000000,0.000000,0.000000,0.000000,-4763679.000000,-4761286.000000,,-4761286.000000,-4763679.000000,-4991893.000000,-0.330000,-0.330000,-0.330000,64935136.000000,,64935136.000000,102508285.000000,-10.000000,-9.592000,-3836445.000000,-0.315000,1.000000,0.000000,,0.000000,228214.000000,36626132.000000,,0.000000,37404750.000000,37404750.000000,0.000000,2227507.000000,2027977.000000,199530.000000,23526029.000000,0.000000,64761945.000000,0.000000,0.000000,64761945.000000,-37408948.000000,-37399471.000000,-3826968.000000,0.000000,-4991893.000000,-4991893.000000,-4991893.000000,0.000000,0.000000,,4228098.000000,-4228098.000000,1119150.000000,0.000000,2.018000,-9.888000,-6.917000,63515.000000,0.000000,7.540000,,,0.000000,-15512349.000000,0.000000,0.000000,2517936.000000,,,,,310559.000000,1710162.000000,1.000000,17376236.000000,12190245.000000,12190245.000000,0.000000,67162643.000000,0.000000,0.000000,0.000000,5.510000
ARQ,2019-03-31,2019-05-13,2019-03-31,2019-Q1,59577000.000000,105647515.000000,2025-05-14,49000.000000,62727000.000000,,62629000.000000,98000.000000,,3.424000,-11000.000000,21394000.000000,21394000.000000,0.000000,-5950000.000000,20.521000,0.054000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,-5950000.000000,-5945000.000000,,-5945000.000000,-5950000.000000,-5950000.000000,-0.340000,-0.340000,-0.340000,59494000.000000,,59494000.000000,84253515.000000,,,-4475000.000000,-0.258000,1.000000,0.000000,,0.000000,0.000000,38281000.000000,,0.000000,40213000.000000,40213000.000000,0.000000,3233000.000000,3052000.000000,181000.000000,-7115000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2651000.000000,-2640000.000000,-4464000.000000,0.000000,-5950000.000000,-5950000.000000,-5950000.000000,0.000000,0.000000,,6348000.000000,-6348000.000000,1588000.000000,0.000000,1.776000,,,83000.000000,0.000000,6.080000,,,0.000000,-21462000.000000,0.000000,0.000000,3759000.000000,,,,,446000.000000,2589000.000000,1.000000,17376236.000000,17376236.000000,17376236.000000,0.000000,62727000.000000,0.000000,0.000000,0.000000,3.610000
ARQ,2019-06-30,2019-08-12,2019-06-30,2019-Q2,54134000.000000,61859400.000000,2025-05-14,87000.000000,57888000.000000,,57796000.000000,92000.000000,,3.111000,-45000.000000,22661000.000000,22661000.000000,0.000000,-6069000.000000,15.783000,0.071000,0.000000,0.000000,0.000000,0.000000,0.000000,6000.000000,0.000000,0.000000,0.000000,-6069000.000000,-6063000.000000,,-6063000.000000,-6069000.000000,-6069000.000000,-0.350000,-0.350000,-0.350000,54063000.000000,,54063000.000000,39198400.000000,-2.000000,-1.916000,-4801000.000000,-0.276000,1.000000,0.000000,,0.000000,0.000000,31565000.000000,,0.000000,34283000.000000,34283000.000000,0.000000,3825000.000000,3662000.000000,163000.000000,1268000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6040000.000000,6085000.000000,-4756000.000000,-16000.000000,-6069000.000000,-6069000.000000,-6069000.000000,0.000000,0.000000,,6439000.000000,-6439000.000000,1974000.000000,0.000000,1.144000,-2.821000,-2.438000,77000.000000,0.000000,3.560000,,,0.000000,-27531000.000000,0.000000,0.000000,4250000.000000,,,,,581000.000000,2189000.000000,1.000000,17376236.000000,17376236.000000,17376236.000000,0.000000,57888000.000000,0.000000,0.000000,0.000000,3.331000
ARQ,2019-09-30,2019-11-12,2019-09-30,2019-Q3,58635000.000000,60469301.000000,2025-05-14,80000.000000,62995000.000000,,62909000.000000,86000.000000,,2.818000,0.000000,27657000.000000,27657000.000000,0.000000,-6014000.000000,14.719000,0.287000,9616000.000000,0.000000,9616000.000000,9616000.000000,0.000000,6000.000000,0.000000,0.000000,0.000000,-6012000.000000,-6006000.000000,,-6006000.000000,-6012000.000000,-6014000.000000,-0.350000,-0.350000,-0.350000,48959000.000000,,48959000.000000,42428301.000000,-2.000000,-1.863000,-4696000.000000,-0.270000,1.000000,0.000000,,0.000000,2000.000000,40680000.000000,,0.000000,34581000.000000,34581000.000000,0.000000,14036000.000000,4274000.000000,9762000.000000,4996000.000000,0.000000,0.000000,9941000.000000,0.000000,9941000.000000,-225000.000000,-225000.000000,-4696000.000000,-24000.000000,-6014000.000000,-6014000.000000,-6014000.000000,0.000000,0.000000,,6324000.000000,-6324000.000000,2675000.000000,0.000000,1.235000,-2.626000,-2.540000,71000.000000,0.000000,3.480000,,,0.000000,-33545000.000000,0.000000,0.000000,4182000.000000,,,,,633000.000000,2142000.000000,1.000000,17376236.000000,17376236.000000,17376236.000000,0.000000,62995000.000000,0.000000,0.000000,0.000000,3.625000
ARQ,2019-12-31,2020-03-26,2019-12-31,2019-Q4,51548000.000000,48274939.000000,2025-05-14,21000.000000,55539000.000000,,55431000.000000,108000.000000,,2.407000,-18000.000000,13219000.000000,13219000.000000,0.000000,-7567000.000000,14.275000,0.327000,9681000.000000,0.000000,9681000.000000,9681000.000000,0.000000,6000.000000,0.000000,0.000000,0.000000,-7290000.000000,-7284000.000000,,-7284000.000000,-7290000.000000,-7567000.000000,-0.430000,-0.430000,-0.430000,41848000.000000,,41848000.000000,44736939.000000,-2.000000,-1.768000,-9051000.000000,-0.521000,1.000000,0.000000,,0.000000,277000.000000,48118000.000000,,0.000000,39924000.000000,39924000.000000,0.000000,13691000.000000,3883000.000000,9808000.000000,-14438000.000000,0.000000,-45000.000000,-60000.000000,0.000000,-105000.000000,-5330000.000000,-5312000.000000,-9033000.000000,30000.000000,-7567000.000000,-7567000.000000,-7567000.000000,0.000000,0.000000,,7616000.000000,-7616000.000000,1873000.000000,0.000000,1.154000,-1.886000,-1.864000,93000.000000,0.000000,2.740000,,,0.000000,-41112000.000000,0.000000,0.000000,5449000.000000,,,,,592000.000000,2167000.000000,1.000000,17618591.000000,17383676.000000,17383676.000000,0.000000,55539000.000000,0.000000,0.000000,0.000000,3.195000
ARQ,2020-03-31,2020-05-13,2020-03-31,2020-Q1,46111000.000000,53690286.000000,2025-05-14,474000.000000,49911000.000000,,49822000.000000,89000.000000,,2.070000,-15000.000000,20614000.000000,20614000.000000,0.000000,-7837000.000000,13.425000,0.373000,9746000.000000,0.000000,9746000.000000,9746000.000000,0.000000,8000.000000,0.000000,0.000000,0.000000,-7564000.000000,-7556000.000000,,-7556000.000000,-7564000.000000,-7837000.000000,-0.450000,-0.450000,-0.450000,36346000.000000,,36346000.000000,42822286.000000,-2.000000,-1.591000,-6385000.000000,-0.364000,1.000000,0.000000,,0.000000,273000.000000,35332000.000000,,0.000000,27061000.000000,27061000.000000,0.000000,13565000.000000,3711000.000000,9854000.000000,7395000.000000,0.000000,775000.000000,0.000000,0.000000,775000.000000,13005000.000000,13020000.000000,-6370000.000000,-15000.000000,-7837000.000000,-7837000.000000,-7837000.000000,0.000000,0.000000,,7452000.000000,-7452000.000000,1801000.000000,0.000000,1.477000,-1.953000,-1.922000,89000.000000,0.000000,3.036000,,,0.000000,-48949000.000000,0.000000,0.000000,4706000.000000,,,,,868000.000000,2746000.000000,1.000000,17683965.000000,17562551.000000,17562551.000000,0.000000,49911000.000000,0.000000,0.000000,0.000000,2.842000
ARQ,2020-06-30,2020-08-12,2020-06-30,2020-Q2,40791000.000000,172792474.000000,2025-05-14,97000.000000,44259000.000000,,44178000.000000,81000.000000,,1.751000,0.000000,24083000.000000,24083000.000000,0.000000,-6461000.000000,13.043000,0.429000,9810000.000000,0.000000,9810000.000000,9810000.000000,0.000000,7000.000000,0.000000,0.000000,0.000000,-6187000.000000,-6180000.000000,,-6180000.000000,-6187000.000000,-6461000.000000,-0.370000,-0.370000,-0.370000,30972000.000000,,30972000.000000,158519474.000000,-6.000000,-5.865000,-5080000.000000,-0.287000,1.000000,0.000000,,0.000000,274000.000000,26599000.000000,,0.000000,18523000.000000,18523000.000000,0.000000,13287000.000000,3387000.000000,9900000.000000,3469000.000000,0.000000,96000.000000,0.000000,0.000000,96000.000000,8455000.000000,8455000.000000,-5080000.000000,-2000.000000,-6461000.000000,-6461000.000000,-6461000.000000,0.000000,0.000000,,6610000.000000,-6610000.000000,1761000.000000,0.000000,5.579000,-6.198000,-5.606000,81000.000000,0.000000,8.970000,,,0.000000,-55410000.000000,0.000000,0.000000,3893000.000000,,,,,1350000.000000,2717000.000000,1.000000,19263375.000000,17692731.000000,17692731.000000,0.000000,44259000.000000,0.000000,0.000000,0.000000,2.502000
ARQ,2020-09-30,2020-11-10,2020-09-30,2020-Q3,87015000.000000,86051853.000000,2025-05-14,-30000.000000,92385000.000000,,92160000.000000,225000.000000,,3.655000,-157000.000000,49249000.000000,49249000.000000,0.000000,-6597000.000000,17.913000,0.183000,9876000.000000,833000.000000,9043000.000000,9876000.000000,0.000000,13000.000000,0.000000,0.000000,0.000000,-6321000.000000,-6308000.000000,,-6308000.000000,-6321000.000000,-6597000.000000,-0.310000,-0.310000,-0.310000,78126000.000000,,78126000.000000,46678853.000000,-2.000000,-1.708000,-5078000.000000,-0.238000,1.000000,0.000000,,0.000000,276000.000000,47867000.000000,,0.000000,41288000.000000,41288000.000000,0.000000,14259000.000000,5145000.000000,9114000.000000,25166000.000000,0.000000,53063000.000000,0.000000,0.000000,53063000.000000,-23016000.000000,-22859000.000000,-4921000.000000,40000.000000,-6597000.000000,-6597000.000000,-6597000.000000,0.000000,0.000000,,6516000.000000,-6516000.000000,1681000.000000,0.000000,1.101000,-3.023000,-2.231000,225000.000000,0.000000,3.480000,,,0.000000,-62007000.000000,0.000000,0.000000,4218000.000000,,,,,847000.000000,2298000.000000,1.000000,24727544.000000,21374240.000000,21374240.000000,0.000000,92385000.000000,0.000000,0.000000,0.000000,4.322000
