dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ART,2002-12-31,2003-06-30,2002-12-31,2002-Q4,871190000.000000,1158149739.000000,2025-04-07,-8836000.000000,4285464000.000000,,2513123000.000000,1772341000.000000,,17.979000,-126956000.000000,656822000.000000,656822000.000000,1531720000.000000,222592000.000000,1.531000,2.931000,1507398000.000000,321347000.000000,1186051000.000000,1507398000.000000,0.000000,55602000.000000,504883000.000000,0.027000,0.519000,330638000.000000,386240000.000000,0.153000,386240000.000000,330638000.000000,411094000.000000,1.200000,1.200000,1.200000,1090180000.000000,,1090180000.000000,2008725739.000000,6.000000,5.201000,380727000.000000,6.279000,1.000000,994080000.000000,0.394000,0.000000,-80456000.000000,3494107000.000000,,880318000.000000,28008000.000000,0.000000,28008000.000000,3195284000.000000,1641933000.000000,1553351000.000000,-92480000.000000,0.000000,1194000.000000,-245594000.000000,-134421000.000000,-399373000.000000,-200790000.000000,-37313000.000000,507683000.000000,0.000000,222592000.000000,222592000.000000,222592000.000000,0.000000,0.000000,0.088000,524907000.000000,469173000.000000,623372000.000000,0.432000,1.062000,5.203000,15.917000,436715000.000000,0.000000,19.100000,0.459000,0.459000,1677845000.000000,123399000.000000,2525800000.000000,2525800000.000000,158499000.000000,,,,0.131000,0.000000,320688000.000000,0.250000,242544448.000000,242544000.000000,242544000.000000,41.655000,4285464000.000000,162841000.000000,188502000.000000,265192000.000000,70.675000
ART,2003-12-31,2004-06-30,2003-12-31,2003-Q4,900341000.000000,1733586442.000000,2025-04-07,-2290000.000000,5955998000.000000,5120731000.000000,3334004000.000000,2621994000.000000,0.419000,19.283000,-62370000.000000,1265820000.000000,1265820000.000000,1335032000.000000,136044000.000000,1.370000,4.094000,2802756000.000000,882942000.000000,1919814000.000000,2802756000.000000,0.000000,58877000.000000,559187000.000000,0.025000,0.727000,248809000.000000,307686000.000000,0.144000,307686000.000000,248809000.000000,108054000.000000,0.715000,0.712000,0.715000,1169225000.000000,1129702500.000000,1169225000.000000,3270522442.000000,13.000000,10.629000,177264000.000000,2.923000,1.000000,808428000.000000,0.377000,0.000000,140755000.000000,5059271000.000000,4276689000.000000,1172830000.000000,36814000.000000,0.000000,36814000.000000,4786773000.000000,2433663000.000000,2353110000.000000,608998000.000000,0.000000,3960000.000000,467314000.000000,-67483000.000000,403791000.000000,-72667000.000000,-10297000.000000,239634000.000000,38240000.000000,136044000.000000,136044000.000000,136044000.000000,0.000000,0.000000,0.063000,543664000.000000,264764000.000000,774656000.000000,1.017000,1.483000,12.743000,39.986000,402663000.000000,0.000000,28.590000,0.809000,0.809000,2107360000.000000,180741000.000000,2143460000.000000,2143460000.000000,173216000.000000,0.027000,0.120000,0.058000,0.116000,0.000000,320989000.000000,0.250000,242544448.000000,242544000.000000,242544000.000000,35.350000,5955998000.000000,198517000.000000,-27990000.000000,335401000.000000,98.225000
ART,2004-12-31,2005-06-30,2004-12-31,2004-Q4,1559408000.000000,2005236224.000000,2025-04-07,2884000.000000,6082399000.000000,6019198500.000000,3875509000.000000,2206890000.000000,0.572000,22.328000,-49912000.000000,1360776000.000000,1360776000.000000,2267330000.000000,380206000.000000,1.673000,3.493000,2348326000.000000,867123000.000000,1481203000.000000,2348326000.000000,0.000000,59685000.000000,479163000.000000,0.035000,1.153000,530345000.000000,590030000.000000,0.171000,590030000.000000,530345000.000000,492345000.000000,1.988000,1.976000,1.988000,1353868000.000000,1261546500.000000,1353868000.000000,2992786224.000000,6.000000,5.072000,-46611000.000000,-0.769000,1.000000,1173203000.000000,0.341000,0.000000,38000000.000000,4753848000.000000,4906559500.000000,1428282000.000000,48267000.000000,0.000000,48267000.000000,4728531000.000000,2316101000.000000,2412430000.000000,-58532000.000000,-15417000.000000,3250000.000000,287507000.000000,-185537000.000000,105220000.000000,-217781000.000000,6225000.000000,3301000.000000,50728000.000000,380206000.000000,380206000.000000,380206000.000000,0.000000,0.000000,0.111000,629217000.000000,543986000.000000,556492000.000000,0.580000,1.481000,5.274000,16.635000,381265000.000000,0.000000,33.070000,0.583000,0.583000,1525845000.000000,234849000.000000,3440533000.000000,3440533000.000000,44506000.000000,0.063000,0.301000,0.108000,0.154000,0.000000,482240000.000000,0.250000,242544448.000000,242544000.000000,242544000.000000,56.741000,6082399000.000000,366820000.000000,112139000.000000,185583000.000000,100.310000
ART,2005-12-31,2006-06-30,2005-12-31,2005-Q4,1961086000.000000,2211399005.000000,2025-04-07,-1748000.000000,6932445000.000000,6507422000.000000,4615522000.000000,2316923000.000000,0.589000,26.721000,-51209000.000000,1913554000.000000,1913554000.000000,2671816000.000000,445719000.000000,1.739000,3.279000,2377644000.000000,799230000.000000,1578414000.000000,2377644000.000000,0.000000,61491000.000000,582982000.000000,0.023000,0.836000,488960000.000000,550451000.000000,0.144000,550451000.000000,488960000.000000,487288000.000000,2.316000,2.305000,2.316000,1620254000.000000,1487061000.000000,1620254000.000000,2675489005.000000,5.000000,4.861000,295700000.000000,4.877000,1.000000,1158091000.000000,0.302000,0.000000,1672000.000000,4742099000.000000,4747973500.000000,1477559000.000000,31433000.000000,0.000000,31433000.000000,5312191000.000000,2654436000.000000,2657755000.000000,375341000.000000,-164000.000000,12104000.000000,211757000.000000,-198945000.000000,24916000.000000,-50496000.000000,877000.000000,346909000.000000,54012000.000000,445719000.000000,445719000.000000,445719000.000000,0.000000,0.000000,0.116000,650245000.000000,507846000.000000,728011000.000000,0.361000,1.365000,4.961000,15.747000,388362000.000000,0.000000,36.470000,0.577000,0.577000,1305044000.000000,305914000.000000,3829907000.000000,3829907000.000000,93166000.000000,0.068000,0.300000,0.103000,0.128000,0.000000,474949000.000000,0.250000,242544448.000000,242544000.000000,242544000.000000,63.162000,6932445000.000000,423680000.000000,41569000.000000,224525000.000000,114.329000
ART,2006-12-31,2007-04-23,2006-12-31,2006-Q4,1740923000.000000,8756762822.000000,2025-04-07,3744000.000000,7315701000.000000,7124073000.000000,4759721000.000000,2555980000.000000,0.534000,10.133000,-90064000.000000,1765191000.000000,1765191000.000000,2736234000.000000,390140000.000000,1.577000,2.903000,2184750000.000000,893815000.000000,1290935000.000000,2184750000.000000,0.000000,63859000.000000,728441000.000000,0.019000,0.921000,294027000.000000,357886000.000000,0.094000,357886000.000000,294027000.000000,434552000.000000,2.109000,2.101000,2.109000,1874281000.000000,1747267500.000000,1874281000.000000,9176321822.000000,31.000000,25.640000,296869000.000000,1.605000,1.000000,1071169000.000000,0.281000,0.000000,-140525000.000000,4716462000.000000,4729280500.000000,2047244000.000000,33844000.000000,0.000000,33844000.000000,5441420000.000000,3018798000.000000,2422622000.000000,-129763000.000000,0.000000,5116000.000000,-242448000.000000,-157771000.000000,-395103000.000000,-179518000.000000,0.000000,386933000.000000,57924000.000000,390140000.000000,390140000.000000,390140000.000000,0.000000,0.000000,0.102000,763430000.000000,307739000.000000,912753000.000000,0.437000,4.672000,22.445000,22.447000,412244000.000000,0.000000,47.340000,2.300000,2.300000,1113984000.000000,422334000.000000,3807403000.000000,3807403000.000000,112743000.000000,0.055000,0.223000,0.062000,0.077000,0.000000,609645000.000000,0.250000,739903914.000000,739904000.000000,742903000.000000,20.583000,7315701000.000000,457169000.000000,44412000.000000,226445000.000000,39.549000
ART,2006-12-31,2007-11-26,2006-12-31,2006-Q4,1740923000.000000,7909572841.000000,2025-04-07,3744000.000000,7315701000.000000,7124073000.000000,4759721000.000000,2555980000.000000,0.528000,10.133000,-90064000.000000,1765191000.000000,1765191000.000000,2806802000.000000,390140000.000000,1.577000,2.903000,2184750000.000000,893815000.000000,1290935000.000000,2184750000.000000,0.000000,63859000.000000,728441000.000000,0.021000,0.890000,329119000.000000,392978000.000000,0.105000,392978000.000000,329119000.000000,434552000.000000,2.109000,2.101000,2.109000,1874281000.000000,1747267500.000000,1874281000.000000,8329131841.000000,25.000000,21.195000,296869000.000000,1.605000,1.000000,952717000.000000,0.253000,0.000000,-105433000.000000,4716462000.000000,4729280500.000000,2047244000.000000,33844000.000000,0.000000,33844000.000000,5441420000.000000,3018798000.000000,2422622000.000000,-129763000.000000,0.000000,5116000.000000,-242448000.000000,-157771000.000000,-395103000.000000,-179518000.000000,-808000.000000,386933000.000000,57924000.000000,390140000.000000,390140000.000000,390140000.000000,0.000000,0.000000,0.104000,609886000.000000,342831000.000000,1346044000.000000,0.422000,4.220000,20.274000,20.275000,412244000.000000,0.000000,42.760000,2.104000,2.104000,1119709000.000000,422334000.000000,3759519000.000000,3759519000.000000,112743000.000000,0.055000,0.223000,0.070000,0.088000,0.000000,456101000.000000,0.250000,739903914.000000,739904000.000000,742903000.000000,20.324000,7315701000.000000,457169000.000000,44412000.000000,226445000.000000,39.549000
ART,2007-12-31,2008-05-19,2007-12-31,2007-Q4,2310349000.000000,7754520173.000000,2025-04-07,14950000.000000,8065854000.000000,7690777500.000000,5649741000.000000,2416113000.000000,0.682000,12.157000,-204860000.000000,2493111000.000000,2493111000.000000,4093504000.000000,489305000.000000,1.692000,2.586000,2255119000.000000,1051046000.000000,1204073000.000000,2255119000.000000,0.000000,58798000.000000,1169576000.000000,0.034000,1.436000,328672000.000000,387470000.000000,0.074000,387470000.000000,328672000.000000,492050000.000000,2.644000,2.641000,2.644000,2249440000.000000,2061860500.000000,2249440000.000000,7516528173.000000,23.000000,19.399000,-152826000.000000,-0.826000,1.000000,1151668000.000000,0.220000,0.000000,-163378000.000000,4488470000.000000,4602466000.000000,2491173000.000000,42458000.000000,0.000000,42458000.000000,5816414000.000000,3339392000.000000,2477022000.000000,97970000.000000,0.000000,2817000.000000,297653000.000000,-163475000.000000,136995000.000000,-255915000.000000,0.000000,52034000.000000,164856000.000000,489305000.000000,489305000.000000,489305000.000000,0.000000,0.000000,0.093000,777463000.000000,374205000.000000,912885000.000000,0.543000,3.447000,15.848000,15.843000,565979000.000000,0.000000,41.890000,1.478000,1.478000,872000000.000000,797267000.000000,5245172000.000000,5245172000.000000,259726000.000000,0.064000,0.237000,0.071000,0.063000,0.000000,596098000.000000,0.250000,740465044.000000,740142000.000000,741047000.000000,28.347000,8065854000.000000,262975000.000000,2745000.000000,7422000.000000,43.591000
ART,2008-12-31,2009-05-01,2008-12-31,2008-Q4,2371200000.000000,3100697372.000000,2025-04-07,12100000.000000,8643900000.000000,8354877000.000000,5916500000.000000,2727400000.000000,0.758000,12.171000,-233100000.000000,2201500000.000000,2201500000.000000,4991700000.000000,388700000.000000,1.669000,2.913000,2349400000.000000,672500000.000000,1676900000.000000,2349400000.000000,0.000000,70500000.000000,1600700000.000000,0.030000,0.505000,601200000.000000,671700000.000000,0.106000,671700000.000000,601200000.000000,429800000.000000,2.142000,2.142000,2.142000,2209300000.000000,2229370000.000000,2209300000.000000,3248597372.000000,5.000000,4.836000,88700000.000000,0.489000,1.000000,1343500000.000000,0.212000,14500000.000000,171400000.000000,5232000000.000000,4860235000.000000,2837000000.000000,68700000.000000,0.000000,68700000.000000,6434600000.000000,3545300000.000000,2889300000.000000,84000000.000000,0.000000,-183000000.000000,111200000.000000,-242700000.000000,-314500000.000000,168900000.000000,390700000.000000,321800000.000000,-92200000.000000,388700000.000000,388700000.000000,388700000.000000,0.000000,0.000000,0.061000,806500000.000000,537000000.000000,1078100000.000000,0.236000,1.403000,7.977000,7.820000,737900000.000000,0.000000,16.750000,0.489000,0.480000,922600000.000000,943000000.000000,6335200000.000000,6335200000.000000,197000000.000000,0.047000,0.174000,0.124000,0.095000,0.000000,625500000.000000,0.250000,740465044.000000,726084000.000000,726084000.000000,34.901000,8629400000.000000,327500000.000000,41100000.000000,105400000.000000,47.539000
ART,2009-12-31,2010-04-30,2009-12-31,2009-Q4,2872100000.000000,4457599565.000000,2025-04-07,24100000.000000,8451500000.000000,8547700000.000000,5639800000.000000,2811700000.000000,0.640000,12.925000,-102800000.000000,2546200000.000000,2546200000.000000,4352200000.000000,262300000.000000,2.038000,2.576000,2569400000.000000,728400000.000000,1841000000.000000,2569400000.000000,0.000000,86700000.000000,1166600000.000000,0.030000,0.719000,227700000.000000,314400000.000000,0.058000,314400000.000000,227700000.000000,263000000.000000,1.374000,1.374000,1.374000,2338300000.000000,2273800000.000000,2338300000.000000,4480799565.000000,20.000000,14.252000,32200000.000000,0.178000,1.000000,1114100000.000000,0.204000,14500000.000000,-35300000.000000,5692500000.000000,5462250000.000000,2340400000.000000,25300000.000000,0.000000,25300000.000000,6022900000.000000,2767700000.000000,3255200000.000000,-228300000.000000,0.000000,0.000000,-27100000.000000,0.000000,-27100000.000000,-506300000.000000,-401000000.000000,135000000.000000,170100000.000000,248500000.000000,248500000.000000,248500000.000000,0.000000,13800000.000000,0.045000,778500000.000000,335600000.000000,595800000.000000,0.523000,1.906000,17.938000,17.525000,756800000.000000,0.000000,24.080000,0.815000,0.797000,883400000.000000,1060000000.000000,5466300000.000000,5466300000.000000,144000000.000000,0.029000,0.109000,0.042000,0.042000,0.000000,496600000.000000,0.250000,740465044.000000,723665000.000000,723665000.000000,30.215000,8437000000.000000,395600000.000000,14500000.000000,172000000.000000,46.635000
ART,2010-12-31,2011-04-19,2010-12-31,2010-Q4,2594100000.000000,5968148255.000000,2025-04-07,10900000.000000,8391000000.000000,8421250000.000000,4982800000.000000,3408200000.000000,0.637000,16.738000,-299000000.000000,1393100000.000000,1393100000.000000,4338100000.000000,345400000.000000,2.086000,1.737000,1905100000.000000,184400000.000000,1720700000.000000,1905100000.000000,221500000.000000,219200000.000000,991600000.000000,0.024000,0.788000,375400000.000000,594600000.000000,0.111000,594600000.000000,375400000.000000,392900000.000000,1.825000,1.825000,1.825000,3028400000.000000,2683350000.000000,3028400000.000000,6480148255.000000,17.000000,10.898000,574800000.000000,3.177000,1.000000,1026000000.000000,0.191000,716300000.000000,-17500000.000000,5798000000.000000,5745250000.000000,2198300000.000000,785600000.000000,733500000.000000,52100000.000000,5259500000.000000,2388700000.000000,2870800000.000000,-199300000.000000,0.000000,0.000000,-640600000.000000,-161600000.000000,-802200000.000000,-288300000.000000,10700000.000000,873800000.000000,17400000.000000,330200000.000000,330200000.000000,330200000.000000,0.000000,15200000.000000,0.062000,634300000.000000,391700000.000000,862200000.000000,0.432000,1.971000,18.074000,17.666000,1201000000.000000,0.000000,32.240000,1.113000,1.087000,887500000.000000,1759800000.000000,5364100000.000000,5364100000.000000,72100000.000000,0.039000,0.123000,0.065000,0.070000,3400000.000000,571600000.000000,0.250000,740465044.000000,723700000.000000,724000000.000000,29.648000,7674700000.000000,139100000.000000,62700000.000000,21400000.000000,42.419000
