dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2021-06-30,2021-07-09,2021-06-30,2021-Q4,-216482.000000,,2025-05-15,0.000000,3440626.000000,,13518.000000,3427108.000000,,0.021000,0.000000,11018.000000,11018.000000,0.000000,-4374.000000,0.059000,165.810000,180000.000000,180000.000000,0.000000,180000.000000,0.000000,0.000000,3190000.000000,,0.000000,-4374.000000,-4374.000000,,-4374.000000,-4374.000000,-4374.000000,0.000000,0.000000,0.000000,20626.000000,,20626.000000,,,,-6874.000000,-0.007000,1.000000,0.000000,,0.000000,0.000000,3379608.000000,,0.000000,3190004.000000,0.000000,3190004.000000,3420000.000000,230000.000000,3190000.000000,11018.000000,0.000000,3215000.000000,180000.000000,0.000000,3207896.000000,-3190004.000000,-3190004.000000,-6874.000000,0.000000,-4374.000000,-4374.000000,-4374.000000,0.000000,0.000000,,4378.000000,-4378.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-4374.000000,0.000000,0.000000,0.000000,,,,,0.000000,4378.000000,1.000000,5295000.000000,1000000.000000,1000000.000000,0.000000,3440626.000000,0.000000,0.000000,0.000000,3.441000
ARQ,2021-09-30,2021-11-10,2021-09-30,2022-Q1,679534.000000,57853533.000000,2025-05-15,0.000000,45966705.000000,,780134.000000,45186571.000000,,-0.182000,,772168.000000,772168.000000,0.000000,-107547.000000,7.755000,-1.897000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,-107547.000000,,,,-107547.000000,-107547.000000,-0.990000,-0.990000,-0.990000,-870395.000000,,-870395.000000,57081365.000000,,,,,1.000000,0.000000,,0.000000,0.000000,45093937.000000,,0.000000,45186571.000000,0.000000,45186571.000000,1651100.000000,100600.000000,1550500.000000,,,,,,,,,,,-107547.000000,-107547.000000,-107547.000000,0.000000,0.000000,,108114.000000,-108114.000000,3000.000000,0.000000,-66.468000,,,0.000000,0.000000,9.890000,,,0.000000,-870537.000000,0.000000,0.000000,0.000000,,,,,,10514.000000,1.000000,5849700.000000,4785828.000000,4785828.000000,0.000000,45966705.000000,0.000000,0.000000,97600.000000,9.605000
ARQ,2021-12-31,2022-03-29,2021-12-31,2021-Q4,542880.000000,58438503.000000,2025-05-15,0.000000,45803462.000000,,616034.000000,45187428.000000,,-0.313000,0.000000,478868.000000,478868.000000,0.000000,-135797.000000,8.421000,-1.614000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-135797.000000,-135797.000000,,-135797.000000,-135797.000000,-135797.000000,0.540000,0.540000,0.540000,-1006192.000000,,-1006192.000000,57959635.000000,-234.000000,-233.974000,-293300.000000,-0.091000,1.000000,0.000000,,0.000000,0.000000,45251440.000000,,0.000000,45187428.000000,0.000000,45187428.000000,1623654.000000,73154.000000,1550500.000000,-293300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-293300.000000,0.000000,-135797.000000,-135797.000000,-135797.000000,0.000000,0.000000,,136654.000000,-136654.000000,3000.000000,0.000000,-58.079000,-235.907000,-6.572000,0.000000,0.000000,9.990000,,,0.000000,-1006334.000000,0.000000,0.000000,0.000000,,,,,0.000000,164100.000000,1.000000,5849700.000000,3213005.000000,3213005.000000,0.000000,45803462.000000,0.000000,0.000000,70154.000000,14.256000
ARQ,2022-03-31,2022-05-16,2022-03-31,2022-Q1,397940.000000,58555497.000000,2025-05-15,0.000000,45619256.000000,,428140.000000,45191116.000000,,-0.196000,0.000000,321724.000000,321724.000000,0.000000,-141252.000000,14.177000,-1.378000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-141252.000000,-141252.000000,,-141252.000000,-141252.000000,-141252.000000,-0.020000,-0.020000,-0.020000,-1147444.000000,,-1147444.000000,58233773.000000,-150.000000,,-157144.000000,-0.027000,1.000000,0.000000,,0.000000,0.000000,45267332.000000,,0.000000,45191116.000000,0.000000,45191116.000000,1580700.000000,30200.000000,1550500.000000,-157144.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-157144.000000,0.000000,-141252.000000,-141252.000000,-141252.000000,0.000000,0.000000,,144940.000000,-144940.000000,6000.000000,0.000000,-51.031000,-150.540000,-21.298000,0.000000,0.000000,10.010000,,,0.000000,-1147586.000000,0.000000,0.000000,0.000000,,,,,0.000000,120740.000000,1.000000,5849700.000000,5849700.000000,5849700.000000,0.000000,45619256.000000,0.000000,0.000000,24200.000000,7.799000
ARQ,2022-06-30,2022-08-08,2022-06-30,2022-Q2,-25825.000000,58789485.000000,2025-05-15,0.000000,45384117.000000,,128822.000000,45255295.000000,,-0.258000,0.000000,88281.000000,88281.000000,0.000000,-359586.000000,0.833000,-1.131000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-359586.000000,-359586.000000,,-359586.000000,-359586.000000,-359586.000000,-0.060000,-0.060000,-0.060000,-1507030.000000,,-1507030.000000,58701204.000000,-79.000000,-78.880000,-233443.000000,-0.040000,1.000000,0.000000,,0.000000,0.000000,45141189.000000,,0.000000,45255295.000000,0.000000,45255295.000000,1705147.000000,154647.000000,1550500.000000,-233443.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-233443.000000,0.000000,-359586.000000,-359586.000000,-359586.000000,0.000000,0.000000,,423765.000000,-423765.000000,106447.000000,0.000000,-39.010000,-78.999000,-18.962000,0.000000,0.000000,10.050000,,,0.000000,-1507172.000000,0.000000,0.000000,0.000000,,,,,0.000000,399765.000000,1.000000,5849700.000000,5849700.000000,5849700.000000,0.000000,45384117.000000,0.000000,0.000000,48200.000000,7.758000
ARQ,2022-09-30,2022-11-14,2022-09-30,2022-Q3,-575002.000000,59294899.000000,2025-05-15,0.000000,45620361.000000,,160752.000000,45459609.000000,,-0.339000,0.000000,73752.000000,73752.000000,0.000000,-344863.000000,0.218000,-1.154000,498600.000000,498600.000000,0.000000,498600.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-344863.000000,-344863.000000,,-344863.000000,-344863.000000,-344863.000000,-0.080000,-0.080000,-0.080000,-1981489.000000,,-1981489.000000,59719747.000000,-61.000000,-60.846000,-513129.000000,-0.088000,1.000000,0.000000,,0.000000,0.000000,45309455.000000,,0.000000,45459609.000000,0.000000,45459609.000000,2286254.000000,735754.000000,1550500.000000,-14529.000000,0.000000,0.000000,498600.000000,0.000000,498600.000000,0.000000,0.000000,-513129.000000,0.000000,-344863.000000,-344863.000000,-344863.000000,0.000000,0.000000,,549176.000000,-549176.000000,206496.000000,0.000000,-29.924000,-60.413000,26.675000,0.000000,0.000000,10.136000,,,0.000000,-1981631.000000,0.000000,0.000000,0.000000,,,,,0.000000,523518.000000,1.000000,5849700.000000,5849700.000000,5849700.000000,0.000000,45620361.000000,0.000000,0.000000,30658.000000,7.799000
ARQ,2022-12-31,2023-03-14,2022-12-31,2022-Q4,-1020642.000000,61421850.000000,2025-05-15,0.000000,9723802.000000,,52427.000000,9671375.000000,,-0.410000,0.000000,40802.000000,40802.000000,0.000000,-150403.000000,0.049000,-1.176000,498600.000000,498600.000000,0.000000,498600.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-69755.000000,-69755.000000,,-69755.000000,-69755.000000,-69755.000000,-0.050000,-0.050000,-0.050000,-2255685.000000,,-2255685.000000,61879648.000000,-68.000000,-67.594000,-140132.000000,-0.025000,1.000000,0.000000,,0.000000,0.000000,9108531.000000,,0.000000,9671375.000000,0.000000,9671375.000000,2653041.000000,1073069.000000,1579972.000000,-32950.000000,0.000000,-36112943.000000,50000.000000,0.000000,-36062943.000000,36170124.000000,36170124.000000,-140132.000000,0.000000,-150403.000000,-150403.000000,-150403.000000,0.000000,0.000000,,451646.000000,-451646.000000,329166.000000,0.000000,-27.230000,-61.662000,-47.727000,0.000000,0.000000,10.500000,,,0.000000,-2255827.000000,0.000000,0.000000,0.000000,,,,,0.000000,324196.000000,1.000000,5849700.000000,5502544.000000,5502544.000000,0.000000,9723802.000000,0.000000,80648.000000,224775.000000,1.767000
ARQ,2023-03-31,2023-05-18,2023-03-31,2023-Q1,-1133684.000000,63937221.000000,2025-05-15,0.000000,9781282.000000,,81890.000000,9699392.000000,,-1.085000,0.000000,29390.000000,29390.000000,0.000000,-63325.000000,0.067000,-1.097000,735133.000000,735133.000000,0.000000,735133.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-43860.000000,-43860.000000,,-43860.000000,-43860.000000,-43860.000000,-0.120000,-0.120000,-0.120000,-2528743.000000,,-2528743.000000,64642964.000000,-79.000000,-79.019000,-275718.000000,-0.118000,1.000000,0.000000,,0.000000,0.000000,9271451.000000,,0.000000,9699392.000000,0.000000,9699392.000000,2773846.000000,1215574.000000,1558272.000000,-11412.000000,0.000000,0.000000,186533.000000,0.000000,186533.000000,77773.000000,77773.000000,-275718.000000,0.000000,-63325.000000,-63325.000000,-63325.000000,0.000000,0.000000,,149650.000000,-149650.000000,375001.000000,0.000000,-25.284000,-69.635000,-35.258000,0.000000,0.000000,10.930000,,,0.000000,-2528885.000000,0.000000,0.000000,0.000000,,,,,0.000000,136550.000000,1.000000,5849700.000000,2329920.000000,2329920.000000,0.000000,9781282.000000,0.000000,19465.000000,113212.000000,4.198000
ARQ,2023-03-31,2023-07-10,2023-03-31,2023-Q1,-4344599.000000,374346363.000000,2025-05-15,0.000000,3101159.000000,,2845457.000000,255702.000000,,-6.505000,0.000000,2658924.000000,2658924.000000,0.000000,-2741106.000000,0.396000,-0.792000,50515.000000,38701.000000,11814.000000,50515.000000,0.000000,14473.000000,0.000000,0.000000,0.000000,-2741106.000000,-2726633.000000,,-2726633.000000,-2741106.000000,-2741106.000000,-1.960000,-1.960000,-1.960000,-9113961.000000,,-9113961.000000,371737954.000000,-88.000000,-88.186000,-639615.000000,-0.457000,1.000000,0.000000,,0.000000,0.000000,-6697306.000000,,0.000000,136533.000000,136533.000000,0.000000,7215120.000000,7190056.000000,25064.000000,-1381930.000000,-136533.000000,36112943.000000,-548600.000000,0.000000,35564343.000000,-36306657.000000,-36170124.000000,-639615.000000,0.000000,-2741106.000000,-2741106.000000,-2741106.000000,0.000000,0.000000,,2741106.000000,-2741106.000000,6870858.000000,0.000000,-41.074000,-86.845000,-0.067000,34515.000000,0.000000,10.900000,,,0.000000,-9457041.000000,0.000000,0.000000,2623399.000000,,,,,307197.000000,117707.000000,1.000000,34343703.000000,1401000.000000,1401000.000000,0.000000,3101159.000000,0.000000,0.000000,3497.000000,2.214000
ARQ,2023-06-30,2023-11-13,2023-06-30,2023-Q4,-7006012.000000,44705565.000000,2025-05-15,0.000000,3028399.000000,,2752212.000000,276187.000000,,-9.246000,0.000000,2479146.000000,2479146.000000,0.000000,-2731512.000000,0.282000,-0.832000,0.000000,0.000000,0.000000,0.000000,0.000000,-14473.000000,0.000000,0.000000,0.000000,-2731512.000000,-2745985.000000,,-2745985.000000,-2731512.000000,-2731512.000000,0.870000,0.870000,0.870000,-11742550.000000,,-11742550.000000,42226419.000000,-4.000000,-3.799000,-43245.000000,-0.034000,1.000000,0.000000,,0.000000,0.000000,-9208971.000000,,0.000000,273066.000000,273066.000000,0.000000,9770949.000000,9758224.000000,12725.000000,-179778.000000,-136533.000000,0.000000,0.000000,0.000000,0.000000,-136533.000000,0.000000,-43245.000000,0.000000,-2731512.000000,-2731512.000000,-2731512.000000,0.000000,0.000000,,2731512.000000,-2731512.000000,9333146.000000,0.000000,-3.807000,-4.022000,-0.145000,0.000000,0.000000,1.270000,,,0.000000,-12188553.000000,0.000000,0.000000,2575785.000000,,,,,102398.000000,155727.000000,1.000000,35201232.000000,1270041.000000,1270041.000000,0.000000,3028399.000000,0.000000,0.000000,4297.000000,2.384000
