dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2013-03-31,2013-06-12,2013-03-31,2013-Q1,2436272.000000,,2025-05-09,0.000000,5265076.000000,,5123319.000000,141757.000000,,-148.010000,-6168.000000,3886216.000000,3886216.000000,0.000000,-2448952.000000,1.907000,-0.224000,7528845.000000,0.000000,7528845.000000,7528845.000000,0.000000,36861.000000,0.000000,,0.000000,-2188524.000000,-2151663.000000,,-2151663.000000,-2188524.000000,-2448952.000000,-7.960000,-7.960000,-7.960000,-45548908.000000,,-45548908.000000,,,,-2691673.000000,-8.747000,1.000000,0.000000,,53825.000000,260428.000000,6166833.000000,,0.000000,0.000000,0.000000,0.000000,10215892.000000,2687047.000000,7528845.000000,3308327.000000,0.000000,0.000000,6000000.000000,0.000000,6000000.000000,-6168.000000,0.000000,-2685505.000000,0.000000,-2448952.000000,-2448952.000000,-2448952.000000,0.000000,0.000000,,2189583.000000,-2189583.000000,926819.000000,0.000000,,,,87932.000000,0.000000,,,,0.000000,-46214202.000000,0.000000,0.000000,1557211.000000,,,,,16142.000000,632372.000000,1.000000,14079305.000000,307742.000000,307742.000000,0.000000,5211251.000000,0.000000,0.000000,0.000000,16.934000
ARQ,2013-06-30,2013-08-12,2013-06-30,2013-Q2,12744698.000000,264608226.000000,2025-05-09,0.000000,19534137.000000,,19389123.000000,145014.000000,,-149.894000,44230.000000,16626859.000000,16626859.000000,0.000000,-6921076.000000,2.918000,-0.127000,0.000000,0.000000,0.000000,0.000000,0.000000,12278.000000,0.000000,0.000000,0.000000,-6812719.000000,-6800441.000000,,-6800441.000000,-6812719.000000,-6921076.000000,-19.820000,-19.820000,-19.820000,-52338374.000000,,-52338374.000000,247981367.000000,,,-3076381.000000,-8.811000,1.000000,0.000000,,55740.000000,108357.000000,-3792887.000000,,0.000000,0.000000,0.000000,0.000000,6644425.000000,6644425.000000,0.000000,6807011.000000,0.000000,123245.000000,-6000000.000000,0.000000,9883392.000000,44230.000000,0.000000,-3120611.000000,0.000000,-6921076.000000,-6921076.000000,-6921076.000000,0.000000,0.000000,,4271847.000000,-4271847.000000,1655762.000000,0.000000,-5.056000,,,89274.000000,0.000000,17.230000,,,0.000000,-53135278.000000,0.000000,0.000000,3100422.000000,,,,,137270.000000,1171425.000000,1.000000,15357413.000000,349170.000000,349170.000000,0.000000,19478397.000000,0.000000,0.000000,0.000000,55.785000
ARQ,2013-09-30,2013-11-06,2013-09-30,2013-Q3,69621090.000000,226828990.000000,2025-05-09,5989.000000,86575812.000000,,72964046.000000,13611766.000000,,5.457000,135000.000000,71895828.000000,71895828.000000,0.000000,-5238434.000000,21.826000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,10525.000000,0.000000,0.000000,0.000000,-5238434.000000,-5227909.000000,,-5227909.000000,-5238434.000000,-5238434.000000,-0.340000,-0.340000,-0.340000,83232856.000000,,83232856.000000,154933162.000000,,,-4641896.000000,-0.304000,1.000000,0.000000,,55740.000000,0.000000,11281288.000000,,0.000000,13477277.000000,0.000000,13477277.000000,3342956.000000,3342956.000000,0.000000,55268969.000000,0.000000,72367797.000000,0.000000,0.000000,73431885.000000,-13386020.000000,-13521020.000000,-4776896.000000,0.000000,-5238434.000000,-5238434.000000,-5238434.000000,0.000000,0.000000,,5406823.000000,-5406823.000000,1944604.000000,0.000000,2.725000,,,78749.000000,0.000000,14.770000,,,0.000000,-58373712.000000,0.000000,0.000000,3482673.000000,,,,,519832.000000,1924150.000000,1.000000,15357413.000000,15253704.000000,15253704.000000,0.000000,86520072.000000,0.000000,0.000000,0.000000,5.672000
ARQ,2013-12-31,2014-03-13,2013-12-31,2013-Q4,56417158.000000,252773191.000000,2025-05-09,-3034.000000,78293860.000000,,60619649.000000,17674211.000000,,9.395000,-3170.000000,56537361.000000,56537361.000000,0.000000,-9689446.000000,14.425000,0.057000,0.000000,0.000000,0.000000,0.000000,0.000000,10887.000000,0.000000,0.000000,0.000000,-9689446.000000,-9678559.000000,,-9678559.000000,-9689446.000000,-9689446.000000,-0.260000,-0.260000,-0.260000,74091369.000000,,74091369.000000,196235830.000000,-8.000000,-7.824000,-7533519.000000,-0.955000,1.000000,0.000000,,55740.000000,0.000000,17498268.000000,,0.000000,21062786.000000,3525123.000000,17537663.000000,4202491.000000,4202491.000000,0.000000,-15358467.000000,0.000000,-173937.000000,0.000000,0.000000,-173937.000000,-7654181.000000,-7651011.000000,-7530349.000000,0.000000,-9689446.000000,-9689446.000000,-9689446.000000,0.000000,0.000000,,9736016.000000,-9736016.000000,2231890.000000,0.000000,3.412000,-9.689000,-4.961000,80808.000000,0.000000,16.420000,,,0.000000,-68063158.000000,0.000000,0.000000,7338517.000000,,,,,553744.000000,2397499.000000,1.000000,15394226.000000,7885921.000000,7885921.000000,0.000000,78238120.000000,0.000000,0.000000,0.000000,9.921000
ARQ,2014-03-31,2014-05-12,2014-03-31,2014-Q1,55091000.000000,219059836.000000,2025-05-09,3000.000000,70223000.000000,,58279000.000000,11944000.000000,,4.362000,-273000.000000,48638000.000000,48638000.000000,0.000000,-7874000.000000,18.281000,0.048000,0.000000,0.000000,0.000000,0.000000,0.000000,12000.000000,0.000000,0.000000,0.000000,-7874000.000000,-7862000.000000,,-7862000.000000,-7874000.000000,-7874000.000000,-0.510000,-0.510000,-0.510000,67035000.000000,,67035000.000000,170421836.000000,-6.000000,-5.764000,-9377000.000000,-0.610000,1.000000,0.000000,,56000.000000,0.000000,18341000.000000,,0.000000,19592000.000000,8064000.000000,11528000.000000,3188000.000000,3188000.000000,0.000000,-7899000.000000,0.000000,52000.000000,0.000000,0.000000,52000.000000,1153000.000000,1426000.000000,-9104000.000000,0.000000,-7874000.000000,-7874000.000000,-7874000.000000,0.000000,0.000000,,7890000.000000,-7890000.000000,2098000.000000,0.000000,3.268000,-7.370000,-0.680000,360000.000000,0.000000,14.230000,,,0.000000,-75937000.000000,0.000000,0.000000,5400000.000000,,,,,741000.000000,2490000.000000,1.000000,15394226.000000,15369055.000000,15369055.000000,0.000000,70167000.000000,0.000000,0.000000,0.000000,4.565000
ARQ,2014-06-30,2014-08-12,2014-06-30,2014-Q2,55863000.000000,244957748.000000,2025-05-09,5000.000000,69287000.000000,,61319000.000000,7968000.000000,,3.826000,-353000.000000,47944000.000000,47944000.000000,0.000000,-9238000.000000,11.239000,0.176000,4922000.000000,0.000000,4922000.000000,4922000.000000,0.000000,41000.000000,0.000000,0.000000,0.000000,-9237000.000000,-9196000.000000,,-9196000.000000,-9237000.000000,-9238000.000000,-0.600000,-0.600000,-0.600000,58909000.000000,,58909000.000000,201935748.000000,-6.000000,-6.318000,-6431000.000000,-0.418000,1.000000,0.000000,,56000.000000,1000.000000,20753000.000000,,0.000000,18841000.000000,11780000.000000,7061000.000000,10378000.000000,5456000.000000,4922000.000000,-694000.000000,0.000000,90000.000000,4869000.000000,0.000000,5037000.000000,347000.000000,700000.000000,-6078000.000000,0.000000,-9238000.000000,-9238000.000000,-9238000.000000,0.000000,0.000000,,9254000.000000,-9254000.000000,4211000.000000,0.000000,4.158000,-7.645000,-9.275000,851000.000000,0.000000,15.860000,,,0.000000,-85175000.000000,0.000000,0.000000,6528000.000000,,,,,935000.000000,2726000.000000,1.000000,15445003.000000,15399018.000000,15399018.000000,0.000000,69231000.000000,0.000000,0.000000,0.000000,4.496000
ARQ,2014-09-30,2014-11-10,2014-09-30,2014-Q3,48948000.000000,525634120.000000,2025-05-09,2000.000000,60530000.000000,,54579000.000000,5951000.000000,,3.254000,-215000.000000,40232000.000000,40232000.000000,0.000000,-9806000.000000,9.693000,0.205000,4929000.000000,253000.000000,4676000.000000,4929000.000000,0.000000,51000.000000,0.000000,0.000000,0.000000,-9671000.000000,-9620000.000000,,-9620000.000000,-9671000.000000,-9806000.000000,-0.640000,-0.640000,-0.640000,50223000.000000,,50223000.000000,490331120.000000,-13.000000,-13.487000,-8846000.000000,-0.573000,1.000000,0.000000,,56000.000000,135000.000000,19540000.000000,,0.000000,17784000.000000,12729000.000000,5055000.000000,10307000.000000,5631000.000000,4676000.000000,-7712000.000000,0.000000,165000.000000,-31000.000000,0.000000,134000.000000,785000.000000,1000000.000000,-8631000.000000,0.000000,-9806000.000000,-9806000.000000,-9806000.000000,0.000000,0.000000,,9700000.000000,-9700000.000000,3299000.000000,0.000000,10.466000,-14.359000,-12.851000,840000.000000,0.000000,25.830000,,,0.000000,-94981000.000000,0.000000,0.000000,7174000.000000,,,,,950000.000000,2526000.000000,1.000000,20349753.000000,15432641.000000,15432641.000000,0.000000,60474000.000000,0.000000,0.000000,0.000000,3.919000
ARQ,2014-12-31,2015-03-10,2014-12-31,2014-Q4,101276000.000000,1383647756.000000,2025-05-09,-59000.000000,143344000.000000,,106767000.000000,36577000.000000,,6.919000,-20000.000000,85038000.000000,85038000.000000,0.000000,-9457000.000000,19.444000,0.073000,4937000.000000,638000.000000,4299000.000000,4937000.000000,0.000000,56000.000000,0.000000,0.000000,0.000000,-9323000.000000,-9267000.000000,,-9267000.000000,-9323000.000000,-9457000.000000,-0.470000,-0.470000,-0.470000,133554000.000000,,133554000.000000,1303546756.000000,-36.000000,-36.265000,-8228000.000000,-0.426000,1.000000,0.000000,,56000.000000,134000.000000,57696000.000000,,0.000000,56544000.000000,20803000.000000,35741000.000000,9790000.000000,5491000.000000,4299000.000000,44806000.000000,0.000000,91897000.000000,0.000000,0.000000,91897000.000000,-38883000.000000,-38863000.000000,-8208000.000000,0.000000,-9457000.000000,-9457000.000000,-9457000.000000,0.000000,0.000000,,9380000.000000,-9380000.000000,2040000.000000,0.000000,10.360000,-38.038000,-30.514000,780000.000000,0.000000,67.740000,,,0.000000,-104438000.000000,0.000000,0.000000,6200000.000000,,,,,1053000.000000,3180000.000000,1.000000,20425860.000000,19303173.000000,19303173.000000,0.000000,143288000.000000,0.000000,0.000000,0.000000,7.423000
ARQ,2015-03-31,2015-05-07,2015-03-31,2015-Q1,272887000.000000,2245509608.000000,2025-05-09,-39000.000000,325221000.000000,,279826000.000000,45395000.000000,,15.271000,-7000.000000,208641000.000000,208641000.000000,0.000000,-11466000.000000,40.327000,0.034000,4885000.000000,1030000.000000,3855000.000000,4885000.000000,0.000000,59000.000000,0.000000,0.000000,0.000000,-11332000.000000,-11273000.000000,,-11273000.000000,-11332000.000000,-11466000.000000,-0.560000,-0.560000,-0.560000,314427000.000000,,314427000.000000,2041753608.000000,-52.000000,-51.879000,-9270000.000000,-0.450000,1.000000,0.000000,,56000.000000,134000.000000,114470000.000000,,0.000000,114078000.000000,69467000.000000,44611000.000000,10794000.000000,6939000.000000,3855000.000000,123603000.000000,0.000000,190414000.000000,0.000000,0.000000,190414000.000000,-57548000.000000,-57541000.000000,-9263000.000000,0.000000,-11466000.000000,-11466000.000000,-11466000.000000,0.000000,0.000000,,11425000.000000,-11425000.000000,2899000.000000,0.000000,7.142000,-56.184000,-44.044000,728000.000000,0.000000,99.980000,,,0.000000,-115904000.000000,0.000000,0.000000,7390000.000000,,,,,2072000.000000,4035000.000000,1.000000,22459588.000000,20589293.000000,20589293.000000,0.000000,325165000.000000,0.000000,0.000000,0.000000,15.793000
ARQ,2015-06-30,2015-08-06,2015-06-30,2015-Q2,218684000.000000,1250598609.000000,2025-05-09,-60000.000000,315958000.000000,,225713000.000000,90245000.000000,,13.597000,-8000.000000,129787000.000000,129787000.000000,0.000000,-12395000.000000,32.112000,0.034000,4900000.000000,1427000.000000,3473000.000000,4900000.000000,0.000000,56000.000000,0.000000,0.000000,0.000000,-12260000.000000,-12204000.000000,,-12204000.000000,-12260000.000000,-12395000.000000,-0.550000,-0.550000,-0.550000,305456000.000000,,305456000.000000,1125711609.000000,-26.000000,-26.572000,-8622000.000000,-0.384000,1.000000,0.000000,,56000.000000,135000.000000,183986000.000000,,0.000000,184504000.000000,94995000.000000,89509000.000000,10502000.000000,7029000.000000,3473000.000000,-78854000.000000,0.000000,366000.000000,0.000000,0.000000,366000.000000,-70606000.000000,-70598000.000000,-8614000.000000,0.000000,-12395000.000000,-12395000.000000,-12395000.000000,0.000000,0.000000,,12462000.000000,-12462000.000000,3305000.000000,0.000000,4.094000,-29.000000,-25.050000,680000.000000,0.000000,55.610000,,,0.000000,-128299000.000000,0.000000,0.000000,7209000.000000,,,,,2898000.000000,5253000.000000,1.000000,22488736.000000,22465175.000000,22465175.000000,0.000000,315902000.000000,0.000000,0.000000,0.000000,14.062000
