dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2008-03-31,2008-05-08,2008-03-31,2008-Q1,74023000.000000,157339792.000000,2025-05-06,0.000000,184600000.000000,,92302000.000000,92298000.000000,,,-1057000.000000,24321000.000000,37443940.000000,5161000.000000,-13840000.000000,5.050000,,12643000.000000,2926000.000000,9717000.000000,19464814.000000,1143000.000000,,0.000000,0.000000,0.000000,-13281000.000000,,,,-20447061.000000,-13400000.000000,-0.095000,-0.095000,-0.146000,,,,139360666.000000,,,-16584000.000000,-0.112000,0.650000,2152000.000000,0.294000,73445000.000000,119000.000000,81198000.000000,,3582000.000000,51559000.000000,50997000.000000,562000.000000,,18279000.000000,,-13234000.000000,,0.000000,-196000.000000,,-1396000.000000,3689000.000000,4746000.000000,-15527000.000000,-436000.000000,-13840000.000000,-13840000.000000,-21307682.000000,0.000000,0.000000,-1.893000,16530000.000000,-14378000.000000,10152000.000000,0.000000,,,,17872000.000000,0.000000,1.065000,,,4303000.000000,,7313000.000000,11258893.000000,12810000.000000,,,,,,3345000.000000,2.000000,73868447.000000,73868447.000000,73868447.000000,0.076000,111155000.000000,4134000.000000,440000.000000,2233000.000000,0.752000
ARQ,2008-06-30,2008-08-07,2008-06-30,2008-Q2,85341000.000000,118928200.000000,2025-05-06,0.000000,228329000.000000,,107215000.000000,121114000.000000,,1.032000,-768000.000000,42424000.000000,65147720.000000,5703000.000000,-12012000.000000,4.901000,0.184000,12678000.000000,2589000.000000,10089000.000000,19468763.000000,1665000.000000,,0.000000,0.000000,0.000000,-11238000.000000,,,,-17257451.000000,-11605000.000000,-0.060000,-0.060000,-0.092000,192908000.000000,,296236008.000000,73249242.000000,,,-12468000.000000,-0.067000,0.651000,1499000.000000,0.208000,91134000.000000,367000.000000,85575000.000000,,2812000.000000,59390000.000000,50569000.000000,8821000.000000,35421000.000000,21874000.000000,13547000.000000,19977000.000000,,0.000000,-856000.000000,,-1803000.000000,33480000.000000,23753000.000000,-11700000.000000,-1874000.000000,-12012000.000000,-12012000.000000,-18446031.000000,0.000000,0.000000,-1.668000,14006000.000000,-12507000.000000,11727000.000000,0.000000,0.401000,,,20577000.000000,0.000000,0.805000,,,3979000.000000,-520946000.000000,7202000.000000,11059633.000000,9137000.000000,,,,,,4720000.000000,2.000000,73868447.000000,93505243.000000,93505243.000000,0.059000,137195000.000000,4055000.000000,407000.000000,2626000.000000,0.734000
ARQ,2008-09-30,2008-11-17,2008-09-30,2008-Q3,80882000.000000,87903452.000000,2025-05-06,0.000000,224848000.000000,,99611000.000000,125237000.000000,,0.909000,-674000.000000,35517000.000000,45073193.000000,4732000.000000,-3106000.000000,5.319000,0.167000,12625000.000000,2746000.000000,9879000.000000,16021879.000000,2526000.000000,,0.000000,0.000000,0.000000,-2607000.000000,,,,-3308439.000000,-2735000.000000,-0.005000,-0.005000,-0.006000,192648000.000000,,244481811.000000,58852138.000000,,,-6097000.000000,-0.029000,0.788000,5926000.000000,0.556000,90334000.000000,128000.000000,92893000.000000,,2546000.000000,63216000.000000,54024000.000000,9192000.000000,32200000.000000,18729000.000000,13471000.000000,-8044000.000000,0.000000,0.000000,-268000.000000,,-702000.000000,-1919000.000000,-1245000.000000,-5423000.000000,1137000.000000,-3106000.000000,-3106000.000000,-3941699.000000,0.000000,0.000000,-0.291000,14231000.000000,-8305000.000000,8575000.000000,0.000000,0.360000,,,20508000.000000,0.000000,0.595000,,,4345000.000000,-524052000.000000,10658000.000000,13525638.000000,9499000.000000,,,,,,4765000.000000,2.000000,73868447.000000,105980346.000000,105980346.000000,0.064000,134514000.000000,814000.000000,371000.000000,2666000.000000,0.635000
ARQ,2008-12-31,2009-06-05,2008-12-31,2008-Q4,71252000.000000,116457425.000000,2025-05-06,0.000000,182900000.000000,,93078000.000000,89822000.000000,,0.697000,-948000.000000,55064000.000000,77131035.000000,6381000.000000,-49329000.000000,4.265000,0.220000,11937000.000000,3544000.000000,8393000.000000,16720782.000000,2093000.000000,,0.000000,0.000000,0.000000,-48005000.000000,,,,-67243123.000000,-48230000.000000,-0.250000,-0.250000,-0.350000,149859000.000000,,209915367.000000,56047173.000000,-1.000000,-0.572000,-9576000.000000,-0.045000,0.714000,8059000.000000,0.558000,60455000.000000,225000.000000,57492000.000000,,2139000.000000,30412000.000000,29985000.000000,427000.000000,33041000.000000,21826000.000000,11215000.000000,16763000.000000,0.000000,0.000000,-408000.000000,,-408000.000000,25799000.000000,26747000.000000,-8628000.000000,2784000.000000,-49329000.000000,-49329000.000000,-69097719.000000,0.000000,0.000000,-3.416000,46079000.000000,-38020000.000000,7191000.000000,0.000000,0.555000,-1.062000,-0.932000,18468000.000000,0.000000,0.535000,2.099000,1.836000,2531000.000000,-573381000.000000,14440000.000000,20226866.000000,11091000.000000,,,,,,7120000.000000,2.000000,108838715.000000,107440064.000000,107440064.000000,0.094000,122445000.000000,1373000.000000,1099000.000000,3182000.000000,0.570000
ARQ,2009-06-30,2009-08-12,2009-06-30,2009-Q2,53445000.000000,227472914.000000,2025-05-06,0.000000,161252000.000000,,76910000.000000,84342000.000000,,,,38449000.000000,54622273.000000,6425000.000000,-8569000.000000,3.278000,,9592000.000000,2139000.000000,7453000.000000,13626800.000000,7319000.000000,,0.000000,0.000000,0.000000,-8507000.000000,,,,-12085403.000000,-8597000.000000,-0.040000,-0.040000,-0.057000,,,,186477442.000000,-2.000000,,,,0.704000,4076000.000000,0.388000,56345000.000000,90000.000000,52585000.000000,,2341000.000000,35616000.000000,26119000.000000,9497000.000000,,23465000.000000,,,,,,,,,,,,-8569000.000000,-8569000.000000,-12173483.000000,0.000000,0.000000,-0.816000,12944000.000000,-8868000.000000,8016000.000000,0.000000,,-1.933000,-1.839000,16933000.000000,0.000000,1.045000,3.653000,3.581000,6711000.000000,,10501000.000000,14918164.000000,5974000.000000,,,,,,4220000.000000,2.000000,108838715.000000,106822912.000000,106822912.000000,0.070000,104907000.000000,212000.000000,-28000.000000,1765000.000000,0.491000
ARQ,2009-09-30,2009-11-12,2009-09-30,2009-Q3,45446000.000000,345018727.000000,2025-05-06,0.000000,154675000.000000,,68306000.000000,86369000.000000,,,-818000.000000,31065000.000000,46152475.000000,6301000.000000,-3655000.000000,2.988000,,10053000.000000,2470000.000000,7583000.000000,14935485.000000,6960000.000000,,0.000000,0.000000,0.000000,-3365000.000000,,,,-4999294.000000,-3458000.000000,-0.015000,-0.015000,-0.022000,,,,313801736.000000,,,-4920000.000000,-0.023000,0.673000,4095000.000000,0.394000,56764000.000000,93000.000000,54039000.000000,,2256000.000000,33627000.000000,24785000.000000,8842000.000000,,22860000.000000,,-6094000.000000,-1755000.000000,0.000000,72000.000000,,72000.000000,-2064000.000000,509000.000000,-4102000.000000,-1290000.000000,-3655000.000000,-3655000.000000,-5430140.000000,0.000000,0.000000,-0.352000,7910000.000000,-3815000.000000,7369000.000000,0.000000,,,,19009000.000000,0.000000,1.585000,,,6982000.000000,,10396000.000000,15445071.000000,3208000.000000,,,,,,4123000.000000,2.000000,108838715.000000,106935167.000000,106935167.000000,0.072000,97911000.000000,501000.000000,197000.000000,1755000.000000,0.458000
ARQ,2009-12-31,2010-06-07,2009-12-31,2009-Q4,42512000.000000,243798722.000000,2025-05-06,-27478000.000000,146599000.000000,,68957000.000000,77642000.000000,,0.518000,-520000.000000,32926000.000000,39310215.000000,6277000.000000,-11426000.000000,2.608000,0.317000,13690000.000000,9801000.000000,3889000.000000,16344434.000000,7581000.000000,,0.000000,0.000000,0.000000,-10871000.000000,,,,-12978842.000000,-10957000.000000,-0.055000,-0.055000,-0.066000,110874000.000000,,132372008.000000,220832941.000000,-4.000000,-4.614000,1254000.000000,0.006000,0.838000,7271000.000000,0.537000,45567000.000000,86000.000000,55351000.000000,,2425000.000000,26870000.000000,26860000.000000,10000.000000,35112000.000000,26445000.000000,8667000.000000,1163000.000000,1892000.000000,278000.000000,3730000.000000,,4008000.000000,-4619000.000000,-5991000.000000,1774000.000000,698000.000000,-11452000.000000,-11452000.000000,-13672495.000000,0.000000,26000.000000,-0.845000,16638000.000000,-9367000.000000,5235000.000000,0.000000,1.842000,-4.486000,-4.363000,19162000.000000,0.000000,1.120000,4.784000,4.697000,4510000.000000,-618904000.000000,13548000.000000,16174901.000000,1446000.000000,,,,,,3559000.000000,2.000000,108838715.000000,107056839.000000,107056839.000000,0.076000,101032000.000000,347000.000000,495000.000000,2221000.000000,0.472000
ARQ,2010-06-30,2010-08-27,2010-06-30,2010-Q2,54796000.000000,344583372.000000,2025-05-06,-20159000.000000,151387000.000000,,80070000.000000,71317000.000000,,0.552000,,33373000.000000,42540146.000000,7602000.000000,1342000.000000,3.168000,0.271000,13043000.000000,9971000.000000,3072000.000000,16625749.000000,5351000.000000,,0.000000,0.000000,0.000000,1852000.000000,,,,2360721.000000,1712000.000000,0.005000,0.005000,0.006000,118473000.000000,,151016053.000000,318668975.000000,-18.000000,,,,0.785000,7525000.000000,0.497000,47960000.000000,140000.000000,57823000.000000,,2718000.000000,34004000.000000,33994000.000000,10000.000000,32107000.000000,25274000.000000,6833000.000000,,,,,,,,,,,1185000.000000,1185000.000000,1510505.000000,0.000000,-157000.000000,0.078000,5709000.000000,1816000.000000,6624000.000000,0.000000,2.282000,-17.778000,-17.741000,20258000.000000,0.000000,1.583000,5.527000,5.452000,6823000.000000,-619003000.000000,15127000.000000,19282198.000000,1193000.000000,,,,,,4352000.000000,2.000000,108838715.000000,107372695.000000,107372695.000000,0.090000,103427000.000000,553000.000000,527000.000000,2655000.000000,0.482000
ARQ,2010-09-30,2010-11-16,2010-09-30,2010-Q3,53090000.000000,348283888.000000,2025-05-06,-24377000.000000,178202000.000000,,80839000.000000,97363000.000000,,0.614000,-364000.000000,18799000.000000,25413945.000000,8045000.000000,647000.000000,2.913000,0.346000,15084000.000000,12036000.000000,3048000.000000,20391720.000000,6313000.000000,,0.000000,0.000000,0.000000,1352000.000000,,,,1827738.000000,1286000.000000,0.005000,0.005000,0.007000,132024000.000000,,178480273.000000,343261663.000000,,,3067000.000000,0.014000,0.740000,5827000.000000,0.420000,75335000.000000,66000.000000,71403000.000000,,2913000.000000,50995000.000000,50985000.000000,10000.000000,45655000.000000,27749000.000000,17906000.000000,-14982000.000000,1202000.000000,14000.000000,156000.000000,,170000.000000,-18583000.000000,-19421000.000000,3431000.000000,408000.000000,1073000.000000,1073000.000000,1450565.000000,0.000000,426000.000000,0.077000,5155000.000000,672000.000000,6154000.000000,0.000000,1.951000,,,18938000.000000,0.000000,1.600000,,,4925000.000000,-617931000.000000,13872000.000000,18753245.000000,1248000.000000,,,,,,3891000.000000,2.000000,108838715.000000,107508118.000000,107508118.000000,0.087000,102867000.000000,664000.000000,213000.000000,6976000.000000,0.478000
ARQ,2020-12-31,2021-10-28,2020-12-31,2020-Q4,450385000.000000,8717192835.000000,2025-05-06,-37522000.000000,1462895000.000000,,658844000.000000,804051000.000000,,2.351000,,422580000.000000,491372093.000000,,,3.161000,1.024000,492170000.000000,30008000.000000,462162000.000000,572290698.000000,96779000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,722846000.000000,,840518605.000000,8798111440.000000,221.000000,83.616000,,,0.860000,,,345406000.000000,,978620000.000000,,13585000.000000,129053000.000000,70054000.000000,58999000.000000,740049000.000000,208459000.000000,531590000.000000,,,,,,,,,,,,,,,,,,,42549000.000000,,10.371000,1199.102000,1067.260000,337297000.000000,,24.820000,14.966000,13.103000,87896000.000000,-434249000.000000,,,,,,,,,,2.000000,175608236.000000,153752241.000000,,,1117489000.000000,83153000.000000,,23761000.000000,3.634000
