dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-03-22,2020-12-31,2020-Q4,125303000.000000,,2025-05-08,0.000000,131136000.000000,,129645000.000000,1491000.000000,,-45.223000,,104916000.000000,104916000.000000,,,29.858000,-4.924000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-33420000.000000,,-33420000.000000,,,,,,1.000000,,,0.000000,,21878000.000000,,0.000000,24178000.000000,24178000.000000,0.000000,164556000.000000,4342000.000000,160214000.000000,,,,,,,,,,,,,,,,,,,1580000.000000,,,,,516000.000000,,,,,0.000000,-34147000.000000,,,,,,,,,,1.000000,46567048.000000,739004.000000,,,131136000.000000,0.000000,,0.000000,177.450000
ARQ,2021-03-31,2021-05-13,2021-03-31,2021-Q1,305694000.000000,1240716094.000000,2025-05-08,-54000.000000,311245000.000000,,310545000.000000,700000.000000,,196.423000,-62000.000000,221036000.000000,221036000.000000,0.000000,-6815000.000000,64.017000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,79000.000000,0.000000,0.000000,0.000000,-6815000.000000,-6736000.000000,,-6736000.000000,-6815000.000000,-6815000.000000,-4.370000,-4.370000,-4.370000,306394000.000000,,306394000.000000,1019680094.000000,,,-6119000.000000,-3.923000,1.000000,0.000000,,0.000000,0.000000,85358000.000000,,0.000000,88835000.000000,88835000.000000,0.000000,4851000.000000,4851000.000000,0.000000,116120000.000000,0.000000,187074000.000000,0.000000,0.000000,186950000.000000,-64773000.000000,-64711000.000000,-6057000.000000,0.000000,-6815000.000000,-6815000.000000,-6815000.000000,0.000000,0.000000,,6857000.000000,-6857000.000000,1621000.000000,0.000000,4.049000,,,499000.000000,0.000000,25.190000,,,0.000000,-40962000.000000,0.000000,0.000000,5360000.000000,,,,,296000.000000,1497000.000000,1.000000,49254311.000000,1559868.000000,1559868.000000,0.000000,311245000.000000,0.000000,0.000000,0.000000,199.533000
ARQ,2021-06-30,2021-08-09,2021-06-30,2021-Q2,296230000.000000,876370891.000000,2025-05-08,-33000.000000,303493000.000000,,302969000.000000,524000.000000,,6.024000,-76000.000000,50404000.000000,50404000.000000,0.000000,-10353000.000000,44.958000,0.023000,0.000000,0.000000,0.000000,0.000000,0.000000,51000.000000,0.000000,0.000000,0.000000,-10353000.000000,-10302000.000000,,-10302000.000000,-10353000.000000,-10353000.000000,-0.210000,-0.210000,-0.210000,296754000.000000,,296754000.000000,825966891.000000,,,-9845000.000000,-0.200000,1.000000,0.000000,,0.000000,0.000000,246350000.000000,,0.000000,248747000.000000,248747000.000000,0.000000,6739000.000000,6739000.000000,0.000000,-170632000.000000,0.000000,-896000.000000,0.000000,0.000000,-896000.000000,-159967000.000000,-159891000.000000,-9769000.000000,0.000000,-10353000.000000,-10353000.000000,-10353000.000000,0.000000,0.000000,,10460000.000000,-10460000.000000,2816000.000000,0.000000,2.953000,,,524000.000000,0.000000,17.790000,,,0.000000,-51315000.000000,0.000000,0.000000,7861000.000000,,,,,687000.000000,2599000.000000,1.000000,49261995.000000,49258449.000000,49258449.000000,0.000000,303493000.000000,0.000000,0.000000,0.000000,6.161000
ARQ,2021-09-30,2021-11-10,2021-09-30,2021-Q3,284488000.000000,979508341.000000,2025-05-08,-24000.000000,294448000.000000,,293242000.000000,1206000.000000,,5.793000,-451000.000000,10571000.000000,10571000.000000,0.000000,-12949000.000000,33.498000,0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,64000.000000,0.000000,0.000000,0.000000,-12949000.000000,-12885000.000000,,-12885000.000000,-12949000.000000,-12949000.000000,-0.260000,-0.260000,-0.260000,285399000.000000,,285399000.000000,968937341.000000,,,-8713000.000000,-0.177000,1.000000,0.000000,,0.000000,0.000000,275123000.000000,,0.000000,279913000.000000,279913000.000000,0.000000,9049000.000000,8754000.000000,295000.000000,-39833000.000000,0.000000,37000.000000,0.000000,0.000000,37000.000000,-31608000.000000,-31157000.000000,-8262000.000000,0.000000,-12949000.000000,-12949000.000000,-12949000.000000,0.000000,0.000000,,13076000.000000,-13076000.000000,2292000.000000,0.000000,3.432000,,,911000.000000,0.000000,19.870000,,,0.000000,-64264000.000000,0.000000,0.000000,9880000.000000,,,,,1548000.000000,3196000.000000,1.000000,49295840.000000,49264938.000000,49264938.000000,0.000000,294448000.000000,0.000000,0.000000,0.000000,5.977000
ARQ,2021-12-31,2022-02-24,2021-12-31,2021-Q4,273252000.000000,595628867.000000,2025-05-08,-514000.000000,285233000.000000,,283773000.000000,1460000.000000,,7.312000,-79000.000000,15566000.000000,15566000.000000,0.000000,-12696000.000000,26.972000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,78000.000000,0.000000,0.000000,0.000000,-12696000.000000,-12618000.000000,,-12618000.000000,-12696000.000000,-12696000.000000,-0.240000,-0.240000,-0.240000,274383000.000000,,274383000.000000,580062867.000000,-14.000000,-13.635000,-9498000.000000,-0.253000,1.000000,0.000000,,0.000000,0.000000,259146000.000000,,0.000000,265223000.000000,265223000.000000,0.000000,10850000.000000,10521000.000000,329000.000000,4995000.000000,0.000000,293000.000000,0.000000,0.000000,293000.000000,14121000.000000,14200000.000000,-9419000.000000,0.000000,-12696000.000000,-12696000.000000,-12696000.000000,0.000000,0.000000,,12822000.000000,-12822000.000000,3843000.000000,0.000000,2.171000,-13.912000,-10.553000,912000.000000,0.000000,12.030000,,,0.000000,-76960000.000000,0.000000,0.000000,9088000.000000,,,,,1873000.000000,3734000.000000,1.000000,49511959.000000,37526332.000000,37526332.000000,0.000000,285233000.000000,0.000000,0.000000,0.000000,7.601000
ARQ,2022-03-31,2022-05-11,2022-03-31,2022-Q1,258613000.000000,350500121.000000,2025-05-08,-1932000.000000,272745000.000000,,268617000.000000,4128000.000000,,5.255000,-369000.000000,34453000.000000,34453000.000000,0.000000,-14660000.000000,26.851000,0.048000,2198000.000000,0.000000,2198000.000000,2198000.000000,0.000000,127000.000000,0.000000,0.000000,0.000000,-14660000.000000,-14533000.000000,,-14533000.000000,-14660000.000000,-14660000.000000,-0.300000,-0.300000,-0.300000,260356000.000000,,260356000.000000,318245121.000000,-6.000000,-6.322000,-12941000.000000,-0.261000,1.000000,0.000000,,0.000000,0.000000,230486000.000000,,0.000000,231380000.000000,231380000.000000,0.000000,12389000.000000,10004000.000000,2385000.000000,18887000.000000,0.000000,73000.000000,0.000000,0.000000,73000.000000,31386000.000000,31755000.000000,-12572000.000000,0.000000,-14660000.000000,-14660000.000000,-14660000.000000,0.000000,0.000000,,14826000.000000,-14826000.000000,5340000.000000,0.000000,1.346000,-6.919000,-7.000000,3569000.000000,0.000000,7.070000,,,0.000000,-91620000.000000,0.000000,0.000000,11124000.000000,,,,,1978000.000000,3702000.000000,1.000000,49575689.000000,49544589.000000,49544589.000000,0.000000,272745000.000000,0.000000,0.000000,0.000000,5.505000
ARQ,2022-06-30,2022-08-04,2022-06-30,2022-Q2,244127000.000000,505465910.000000,2025-05-08,-2336000.000000,257399000.000000,,253343000.000000,4056000.000000,,4.965000,-554000.000000,18341000.000000,18341000.000000,0.000000,-16067000.000000,27.489000,0.045000,1740000.000000,104000.000000,1636000.000000,1740000.000000,0.000000,154000.000000,0.000000,0.000000,0.000000,-16067000.000000,-15913000.000000,,-15913000.000000,-16067000.000000,-16067000.000000,-0.320000,-0.320000,-0.320000,246355000.000000,,246355000.000000,488864910.000000,-9.000000,-8.738000,-16799000.000000,-0.339000,1.000000,0.000000,,0.000000,0.000000,231582000.000000,,0.000000,230054000.000000,230054000.000000,0.000000,11044000.000000,9216000.000000,1828000.000000,-16112000.000000,0.000000,433000.000000,0.000000,0.000000,179000.000000,-46000.000000,508000.000000,-16245000.000000,0.000000,-16067000.000000,-16067000.000000,-16067000.000000,0.000000,0.000000,,16491000.000000,-16491000.000000,2828000.000000,0.000000,2.052000,-8.967000,-9.062000,3609000.000000,0.000000,10.150000,,,0.000000,-107687000.000000,0.000000,0.000000,12402000.000000,,,,,2037000.000000,4089000.000000,1.000000,49799597.000000,49622752.000000,49622752.000000,0.000000,257399000.000000,0.000000,0.000000,0.000000,5.187000
ARQ,2022-09-30,2022-11-03,2022-09-30,2022-Q3,356836000.000000,634664122.000000,2025-05-08,-2179000.000000,377153000.000000,,370139000.000000,7014000.000000,,6.971000,-1330000.000000,109747000.000000,109747000.000000,0.000000,-17498000.000000,27.824000,0.044000,2662000.000000,216000.000000,2446000.000000,2662000.000000,0.000000,165000.000000,0.000000,0.000000,0.000000,-17498000.000000,-17333000.000000,,-17333000.000000,-17498000.000000,-17498000.000000,-0.340000,-0.340000,-0.340000,361404000.000000,,361404000.000000,527579122.000000,-9.000000,-8.735000,-13328000.000000,-0.257000,1.000000,0.000000,,0.000000,0.000000,256765000.000000,,0.000000,255075000.000000,255075000.000000,0.000000,15749000.000000,13303000.000000,2446000.000000,91406000.000000,0.000000,129772000.000000,35000.000000,0.000000,129725000.000000,-26321000.000000,-24991000.000000,-11998000.000000,0.000000,-17498000.000000,-17498000.000000,-17498000.000000,0.000000,0.000000,,18262000.000000,-18262000.000000,5757000.000000,0.000000,1.756000,-10.418000,-8.367000,6750000.000000,0.000000,10.040000,,,0.000000,-125185000.000000,0.000000,0.000000,13894000.000000,,,,,3173000.000000,4368000.000000,1.000000,63213558.000000,51844904.000000,51844904.000000,0.000000,377153000.000000,0.000000,0.000000,0.000000,7.275000
ARQ,2022-12-31,2023-02-23,2022-12-31,2022-Q4,340414000.000000,611115402.000000,2025-05-08,-1355000.000000,367101000.000000,,356999000.000000,10102000.000000,,5.474000,-3293000.000000,21993000.000000,21993000.000000,0.000000,-19415000.000000,21.525000,0.059000,4408000.000000,608000.000000,3800000.000000,4408000.000000,0.000000,92000.000000,0.000000,0.000000,0.000000,-19415000.000000,-19323000.000000,,-19323000.000000,-19415000.000000,-19415000.000000,-0.300000,-0.300000,-0.300000,346716000.000000,,346716000.000000,593530402.000000,-9.000000,-8.845000,-15113000.000000,-0.239000,1.000000,0.000000,,0.000000,0.000000,332931000.000000,,0.000000,329954000.000000,329954000.000000,0.000000,20385000.000000,16585000.000000,3800000.000000,-87754000.000000,0.000000,-388000.000000,-35000.000000,0.000000,-338000.000000,-75596000.000000,-72303000.000000,-11820000.000000,0.000000,-19415000.000000,-19415000.000000,-19415000.000000,0.000000,0.000000,,22079000.000000,-22079000.000000,6105000.000000,0.000000,1.763000,-9.035000,-7.667000,9851000.000000,0.000000,9.660000,,,0.000000,-144600000.000000,0.000000,0.000000,16612000.000000,,,,,3736000.000000,5467000.000000,1.000000,63262464.000000,63337489.000000,63337489.000000,0.000000,367101000.000000,0.000000,0.000000,0.000000,5.796000
ARQ,2023-03-31,2023-05-11,2023-03-31,2023-Q1,320648000.000000,602103501.000000,2025-05-08,-251000.000000,346400000.000000,,333363000.000000,13037000.000000,,5.198000,-4368000.000000,48230000.000000,48230000.000000,0.000000,-22838000.000000,26.218000,0.053000,5642000.000000,797000.000000,4845000.000000,5642000.000000,0.000000,241000.000000,0.000000,0.000000,0.000000,-22838000.000000,-22597000.000000,,-22597000.000000,-22838000.000000,-22838000.000000,-0.360000,-0.360000,-0.360000,328840000.000000,,328840000.000000,559515501.000000,-7.000000,-7.444000,-27194000.000000,-0.430000,1.000000,0.000000,,0.000000,0.000000,291097000.000000,,0.000000,279722000.000000,279722000.000000,0.000000,17560000.000000,12715000.000000,4845000.000000,26237000.000000,0.000000,21000.000000,0.000000,0.000000,21000.000000,49042000.000000,53410000.000000,-22826000.000000,0.000000,-22838000.000000,-22838000.000000,-22838000.000000,0.000000,0.000000,,25704000.000000,-25704000.000000,3875000.000000,0.000000,1.831000,-7.941000,-7.208000,12786000.000000,0.000000,9.515000,,,0.000000,-167438000.000000,0.000000,0.000000,19876000.000000,,,,,3837000.000000,5828000.000000,1.000000,63279401.000000,63265800.000000,63265800.000000,0.000000,346400000.000000,0.000000,0.000000,0.000000,5.475000
