dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-09-10,2020-12-31,2020-Q4,54295000.000000,,2024-11-11,-111000.000000,77724000.000000,,68935000.000000,8789000.000000,,0.496000,,62584000.000000,86922222.000000,,,4.709000,0.328000,3438000.000000,677000.000000,2761000.000000,4775000.000000,10306000.000000,,0.000000,,0.000000,,,,,,,,,,58523000.000000,,81281944.000000,,,,,,0.720000,,,312000.000000,,3626000.000000,,0.000000,123000.000000,0.000000,123000.000000,19201000.000000,14640000.000000,4561000.000000,,,,,,,,,,,,,,,,,,,4922000.000000,,,,,8354000.000000,,,,,446000.000000,-34054000.000000,,,,,,,,,,1.000000,117901684.000000,117901684.000000,,,77412000.000000,3187000.000000,,0.000000,0.657000
ARQ,2021-06-30,2021-09-27,2021-06-30,2021-Q2,225955000.000000,,2024-11-11,195000.000000,270443000.000000,,257580000.000000,12863000.000000,,1.875000,,245593000.000000,336428767.000000,,,8.145000,0.224000,3157000.000000,677000.000000,2480000.000000,4324658.000000,36101000.000000,,0.000000,,0.000000,,,,,,,,,,221037000.000000,,302790411.000000,,,,,,0.730000,,,313000.000000,,-3931000.000000,,0.000000,4463000.000000,1095000.000000,3368000.000000,49406000.000000,31625000.000000,17781000.000000,,,,,,,,,,,,,,,,,,,9612000.000000,,,,,9182000.000000,,,,,223000.000000,-57711000.000000,,,,,,,,,,1.000000,117901684.000000,117901684.000000,,,270130000.000000,6007000.000000,,0.000000,2.291000
ARQ,2021-09-30,2021-11-17,2021-09-30,2021-Q3,196821000.000000,2507768819.000000,2024-11-11,552000.000000,309032000.000000,,248626000.000000,60406000.000000,,1.982000,-1977000.000000,227631000.000000,303508000.000000,4808000.000000,-5082000.000000,4.799000,0.323000,4938000.000000,995000.000000,3943000.000000,6584000.000000,44672000.000000,602000.000000,0.000000,0.000000,0.000000,-6882000.000000,-6280000.000000,-0.356000,-8373333.000000,-9176000.000000,-6941000.000000,-0.060000,-0.060000,-0.080000,233665000.000000,,311553333.000000,2210844819.000000,,,1775000.000000,0.015000,0.750000,12836000.000000,0.727000,44587000.000000,59000.000000,-10053000.000000,,175000.000000,3145000.000000,0.000000,3145000.000000,75367000.000000,51805000.000000,23562000.000000,-142837000.000000,-18036000.000000,-126347000.000000,51000.000000,,-126296000.000000,-21460000.000000,,3752000.000000,14000.000000,-5082000.000000,-5082000.000000,-6776000.000000,0.000000,0.000000,-0.288000,19772000.000000,-6936000.000000,17769000.000000,0.000000,8.049000,,,12574000.000000,0.000000,21.270000,,,7600000.000000,209537000.000000,17644000.000000,23525333.000000,12929000.000000,,,,,3374000.000000,8595000.000000,1.000000,117901684.000000,117901684.000000,,0.200000,264445000.000000,8593000.000000,-1859000.000000,7452000.000000,2.243000
ARQ,2021-12-31,2022-03-23,2021-12-31,2021-Q4,536052000.000000,1837475210.000000,2024-11-11,-858000.000000,640666000.000000,,581788000.000000,58878000.000000,,4.689000,-1614000.000000,562173000.000000,739701316.000000,4824000.000000,-20084000.000000,12.721000,0.130000,5175000.000000,1075000.000000,4100000.000000,6809211.000000,0.000000,796000.000000,0.000000,0.000000,0.000000,-23030000.000000,-22234000.000000,-5.371000,-29255263.000000,-30302632.000000,-23081000.000000,-0.670000,-0.670000,-0.882000,566813000.000000,,745806579.000000,1104583105.000000,-15.000000,-15.621000,-15791000.000000,-0.131000,0.760000,-684000.000000,-0.165000,42315000.000000,51000.000000,-4383000.000000,,359000.000000,2569000.000000,0.000000,2569000.000000,73853000.000000,45736000.000000,28117000.000000,459501000.000000,0.000000,477053000.000000,-594000.000000,,476459000.000000,-1614000.000000,,-14177000.000000,-7000.000000,-20084000.000000,-20084000.000000,-26426316.000000,0.000000,0.000000,-4.851000,24379000.000000,-25063000.000000,14699000.000000,0.000000,2.464000,-28.366000,-11.669000,13894000.000000,0.000000,15.200000,51.043000,51.043000,1289000.000000,135886000.000000,4140000.000000,5447368.000000,18739000.000000,,,,,3943000.000000,6385000.000000,1.000000,120886527.000000,120886527.000000,,0.045000,598351000.000000,11754000.000000,-2997000.000000,7121000.000000,4.950000
ARQ,2022-03-31,2022-05-25,2022-03-31,2022-Q1,583826000.000000,1214909596.000000,2024-11-11,-333000.000000,718454000.000000,,652098000.000000,66356000.000000,,4.575000,-4312000.000000,547302000.000000,675681481.000000,5624000.000000,-15492000.000000,9.551000,0.299000,7009000.000000,1443000.000000,5566000.000000,8653086.000000,0.000000,918000.000000,0.000000,0.000000,0.000000,-18974000.000000,-18056000.000000,-2.589000,-22291358.000000,-23424691.000000,-19029000.000000,-0.310000,-0.310000,-0.383000,553116000.000000,,682859259.000000,547881201.000000,,,-12232000.000000,-0.101000,0.810000,1351000.000000,0.194000,41777000.000000,55000.000000,68112000.000000,,384000.000000,2284000.000000,0.000000,2284000.000000,165338000.000000,68272000.000000,97066000.000000,-14905000.000000,0.000000,-2283000.000000,-388000.000000,,-2671000.000000,-4314000.000000,,-7920000.000000,34000.000000,-15492000.000000,-15492000.000000,-19125926.000000,0.000000,0.000000,-2.221000,29778000.000000,-28427000.000000,27371000.000000,0.000000,1.779000,,,22195000.000000,0.000000,10.050000,,,84187000.000000,118772000.000000,6975000.000000,8611111.000000,23392000.000000,,,,,3560000.000000,7819000.000000,1.000000,120886527.000000,120886527.000000,,0.071000,676677000.000000,12721000.000000,-3537000.000000,6823000.000000,5.598000
ARQ,2022-06-30,2022-08-17,2022-06-30,2022-Q2,560254000.000000,1407072696.000000,2024-11-11,167000.000000,698069000.000000,,629591000.000000,68478000.000000,,4.369000,-4966000.000000,501832000.000000,604616867.000000,8949000.000000,-28676000.000000,9.080000,0.305000,6670000.000000,1454000.000000,5216000.000000,8036145.000000,0.000000,1063000.000000,0.000000,0.000000,0.000000,-33743000.000000,-32680000.000000,-4.579000,-39373494.000000,-40654217.000000,-33816000.000000,-0.240000,-0.240000,-0.289000,535084000.000000,,644679518.000000,810491973.000000,-8.000000,-8.488000,54987000.000000,0.449000,0.830000,-1812000.000000,-0.254000,41157000.000000,73000.000000,92413000.000000,,159000.000000,102204000.000000,100059000.000000,2145000.000000,162985000.000000,69337000.000000,93648000.000000,-45543000.000000,-119000.000000,19000.000000,-390000.000000,,-371000.000000,-105125000.000000,,59953000.000000,73000.000000,-28676000.000000,-28676000.000000,-34549398.000000,0.000000,0.000000,-4.018000,54897000.000000,-56709000.000000,33798000.000000,0.000000,2.183000,-16.844000,-7.451000,25076000.000000,0.000000,11.490000,32.535000,32.535000,474000.000000,90818000.000000,7137000.000000,8598795.000000,33067000.000000,,,,,10126000.000000,12060000.000000,1.000000,122460635.000000,122460635.000000,,0.070000,656912000.000000,18416000.000000,-5140000.000000,6330000.000000,5.364000
ARQ,2022-09-30,2022-11-15,2022-09-30,2022-Q3,516277000.000000,880799435.000000,2024-11-11,1462000.000000,672695000.000000,,595085000.000000,77610000.000000,,4.166000,-7281000.000000,460439000.000000,548141667.000000,9188000.000000,-35476000.000000,7.551000,0.316000,6735000.000000,1639000.000000,5096000.000000,8017857.000000,0.000000,1363000.000000,0.000000,0.000000,0.000000,-39281000.000000,-37918000.000000,-6.021000,-45140476.000000,-46763095.000000,-39370000.000000,-0.290000,-0.290000,-0.345000,511022000.000000,,608359524.000000,340675625.000000,-2.000000,-2.581000,-72789000.000000,-0.593000,0.840000,-2890000.000000,-0.459000,40976000.000000,89000.000000,99207000.000000,,194000.000000,102800000.000000,100646000.000000,2154000.000000,161673000.000000,78808000.000000,82865000.000000,-73304000.000000,-123000.000000,4000.000000,-396000.000000,,-392000.000000,-7404000.000000,0.000000,-65508000.000000,31911000.000000,-35476000.000000,-35476000.000000,-42233333.000000,0.000000,0.000000,-5.633000,45846000.000000,-48736000.000000,40268000.000000,0.000000,1.448000,-7.419000,-4.535000,34380000.000000,0.000000,7.180000,30.137000,30.137000,460000.000000,61334000.000000,6298000.000000,7497619.000000,36776000.000000,,,,,10113000.000000,10310000.000000,1.000000,122674016.000000,122674016.000000,,0.061000,631719000.000000,23134000.000000,-3894000.000000,6495000.000000,5.150000
ARQ,2022-12-31,2023-03-23,2022-12-31,2022-Q4,462377000.000000,854596638.000000,2024-11-11,1625000.000000,649643000.000000,,554025000.000000,95618000.000000,,3.894000,-5827000.000000,404577000.000000,487442169.000000,9536000.000000,-39084000.000000,6.045000,0.357000,13896000.000000,2641000.000000,11255000.000000,16742169.000000,0.000000,1495000.000000,0.000000,0.000000,0.000000,-48302000.000000,-46807000.000000,-6.870000,-56393976.000000,-58195181.000000,-48420000.000000,-0.320000,-0.320000,-0.386000,478878000.000000,,576961446.000000,383896638.000000,-2.000000,-2.352000,-52867000.000000,-0.430000,0.830000,-2723000.000000,-0.400000,39923000.000000,118000.000000,127391000.000000,,50000.000000,103379000.000000,101234000.000000,2145000.000000,170765000.000000,91648000.000000,79117000.000000,-53442000.000000,0.000000,2000.000000,-566000.000000,,-564000.000000,-5838000.000000,0.000000,-47040000.000000,-2420000.000000,-39084000.000000,-39084000.000000,-47089157.000000,0.000000,0.000000,-5.737000,42305000.000000,-45028000.000000,50572000.000000,0.000000,1.481000,-5.974000,-5.947000,52442000.000000,0.000000,6.950000,26.056000,26.056000,623000.000000,23106000.000000,6813000.000000,8208434.000000,35630000.000000,,,,,6777000.000000,8227000.000000,1.000000,122963545.000000,122963545.000000,,0.067000,609720000.000000,34031000.000000,-9336000.000000,7072000.000000,4.959000
ARQ,2023-03-31,2023-05-24,2023-03-31,2023-Q1,425789000.000000,992315808.000000,2024-11-11,1149000.000000,603290000.000000,,496384000.000000,106906000.000000,,3.641000,-12766000.000000,195408000.000000,244260000.000000,8456000.000000,-37643000.000000,7.031000,0.347000,19522000.000000,3394000.000000,16128000.000000,24402500.000000,0.000000,1964000.000000,0.000000,0.000000,0.000000,-42506000.000000,-40542000.000000,-7.037000,-50677500.000000,-53132500.000000,-42768000.000000,-0.310000,-0.310000,-0.388000,447724000.000000,,559655000.000000,772458308.000000,-4.000000,-3.912000,-56154000.000000,-0.457000,0.800000,-2695000.000000,-0.468000,38452000.000000,262000.000000,318357000.000000,,0.000000,254257000.000000,251957000.000000,2300000.000000,155566000.000000,70595000.000000,84971000.000000,-207514000.000000,-623000.000000,7000.000000,-737000.000000,,-730000.000000,-163396000.000000,-150000000.000000,-43388000.000000,-1655000.000000,-37643000.000000,-37643000.000000,-47053750.000000,0.000000,0.000000,-6.534000,41722000.000000,-44417000.000000,37632000.000000,0.000000,1.773000,-5.635000,-5.566000,64624000.000000,0.000000,8.070000,30.522000,30.522000,1326000.000000,-13053000.000000,5761000.000000,7201250.000000,33412000.000000,,,,,6958000.000000,10914000.000000,1.000000,122963545.000000,122963545.000000,,0.059000,564838000.000000,32718000.000000,-5125000.000000,6735000.000000,4.594000
ARQ,2023-06-30,2023-08-10,2023-06-30,2023-Q2,389454000.000000,850907731.000000,2024-11-11,-56000.000000,563935000.000000,,455721000.000000,108214000.000000,,3.393000,-6498000.000000,248218000.000000,322361039.000000,6269000.000000,-35971000.000000,6.877000,0.351000,18767000.000000,2387000.000000,16380000.000000,24372727.000000,0.000000,2500000.000000,0.000000,0.000000,0.000000,-42450000.000000,-39950000.000000,-13.290000,-51883117.000000,-55129870.000000,-42723000.000000,-0.290000,-0.290000,-0.377000,417272000.000000,,541911688.000000,552919420.000000,-2.000000,-2.577000,-47779000.000000,-0.389000,0.770000,-3263000.000000,-1.085000,36663000.000000,273000.000000,231554000.000000,,0.000000,154080000.000000,151935000.000000,2145000.000000,146663000.000000,66267000.000000,80396000.000000,53595000.000000,0.000000,-112000.000000,-761000.000000,,-873000.000000,95749000.000000,102350000.000000,-41281000.000000,-785000.000000,-35971000.000000,-35971000.000000,-46715584.000000,0.000000,0.000000,-11.966000,42794000.000000,-46057000.000000,34149000.000000,0.000000,1.570000,-4.422000,-4.404000,68018000.000000,0.000000,6.920000,29.948000,29.948000,1961000.000000,-46432000.000000,3006000.000000,3903896.000000,32993000.000000,,,,,6836000.000000,11635000.000000,1.000000,122963545.000000,122963545.000000,,0.032000,527272000.000000,40098000.000000,-6752000.000000,6404000.000000,4.288000
