dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1999-12-31,2000-04-07,1999-12-31,1999-Q4,-672000.000000,,2025-05-14,0.000000,18901000.000000,,8032000.000000,10869000.000000,,-9.205000,,5400000.000000,5400000.000000,,,0.923000,-0.438000,13317000.000000,2289000.000000,11028000.000000,13317000.000000,4657000.000000,,0.000000,,0.000000,,,,,,,,,,-49605000.000000,,-49605000.000000,,,,,,1.000000,,,0.000000,,18114000.000000,,0.000000,1504000.000000,1504000.000000,0.000000,21726000.000000,8704000.000000,13022000.000000,,,,,,,,,,,,,,,,,,,3648000.000000,,,,,9498000.000000,,,,,804000.000000,-54727000.000000,,,,,,,,,,1.000000,42765662.000000,5389000.000000,,,18901000.000000,0.000000,,0.000000,3.507000
ARQ,2000-03-31,2000-05-15,2000-03-31,2000-Q1,1234000.000000,898078902.000000,2025-05-14,0.000000,29396000.000000,,15735000.000000,13661000.000000,,-8.993000,-3601000.000000,12001000.000000,12001000.000000,0.000000,-7287000.000000,1.085000,-0.673000,12778000.000000,2306000.000000,10472000.000000,12778000.000000,18140000.000000,785000.000000,0.000000,0.000000,0.000000,-7129000.000000,-6344000.000000,-1.066000,-6344000.000000,-7129000.000000,-7287000.000000,-1.230000,-1.230000,-1.230000,-53105000.000000,,-53105000.000000,898855902.000000,,,6612000.000000,1.120000,1.000000,5951000.000000,1.000000,0.000000,158000.000000,15672000.000000,,0.000000,1501000.000000,1501000.000000,0.000000,35721000.000000,14501000.000000,21220000.000000,6601000.000000,0.000000,525000.000000,-539000.000000,0.000000,-14000.000000,-3598000.000000,3000.000000,10213000.000000,0.000000,-7287000.000000,-7287000.000000,-7287000.000000,0.000000,0.000000,-1.225000,13228000.000000,-7277000.000000,4699000.000000,0.000000,-16.911000,,,12314000.000000,0.000000,21.000000,,,1153000.000000,-62014000.000000,5951000.000000,5951000.000000,8933000.000000,,,,,3262000.000000,4295000.000000,1.000000,42765662.000000,5905000.000000,5905000.000000,1.008000,29396000.000000,0.000000,0.000000,0.000000,4.978000
ARQ,2000-06-30,2000-08-14,2000-06-30,2000-Q2,115101000.000000,1775458996.000000,2025-05-14,72000.000000,146887000.000000,,128891000.000000,17996000.000000,,3.268000,-4897000.000000,51418000.000000,51418000.000000,0.000000,-10972000.000000,9.347000,0.298000,12198000.000000,2178000.000000,10020000.000000,12198000.000000,14820000.000000,964000.000000,0.000000,0.000000,0.000000,-10804000.000000,-9840000.000000,-1.752000,-9840000.000000,-10804000.000000,-10972000.000000,-0.320000,-0.320000,-0.320000,113132000.000000,,113132000.000000,1736238996.000000,,,-11684000.000000,-0.337000,1.000000,5616000.000000,1.000000,0.000000,168000.000000,93877000.000000,,0.000000,74621000.000000,74621000.000000,0.000000,33755000.000000,13790000.000000,19965000.000000,39417000.000000,0.000000,124729000.000000,-580000.000000,0.000000,124149000.000000,-77945000.000000,-73048000.000000,-6787000.000000,0.000000,-10972000.000000,-10972000.000000,-10972000.000000,0.000000,0.000000,-1.954000,18286000.000000,-12670000.000000,6633000.000000,0.000000,15.694000,,,16247000.000000,0.000000,39.500000,,,1395000.000000,-72987000.000000,5616000.000000,5616000.000000,13365000.000000,,,,,5296000.000000,4921000.000000,1.000000,44948329.000000,34622000.000000,34622000.000000,0.162000,146887000.000000,0.000000,0.000000,0.000000,4.243000
ARQ,2000-09-30,2000-11-14,2000-09-30,2000-Q3,109386000.000000,1037510424.000000,2025-05-14,223000.000000,144383000.000000,,123265000.000000,21118000.000000,,2.799000,-4472000.000000,39317000.000000,39317000.000000,0.000000,-8999000.000000,8.881000,0.253000,10073000.000000,4100000.000000,5973000.000000,10073000.000000,14245000.000000,1278000.000000,0.000000,0.000000,0.000000,-8837000.000000,-7559000.000000,-1.236000,-7559000.000000,-8837000.000000,-8999000.000000,-0.220000,-0.220000,-0.220000,115243000.000000,,115243000.000000,1008266424.000000,,,-12605000.000000,-0.306000,1.000000,6118000.000000,1.000000,0.000000,162000.000000,101260000.000000,,0.000000,79601000.000000,79601000.000000,0.000000,29140000.000000,13879000.000000,15261000.000000,-12101000.000000,0.000000,-42000.000000,-579000.000000,0.000000,-621000.000000,-3347000.000000,-4829000.000000,-8133000.000000,0.000000,-8999000.000000,-8999000.000000,-8999000.000000,0.000000,0.000000,-1.471000,17106000.000000,-10988000.000000,4718000.000000,0.000000,9.003000,,,19441000.000000,0.000000,23.060000,,,2692000.000000,-81986000.000000,6118000.000000,6118000.000000,12638000.000000,,,,,3501000.000000,4468000.000000,1.000000,44991779.000000,41179000.000000,41179000.000000,0.149000,144383000.000000,0.000000,0.000000,0.000000,3.506000
ARQ,2000-12-31,2001-03-15,2000-12-31,2000-Q4,95519000.000000,423650560.000000,2025-05-14,365000.000000,204914000.000000,,119644000.000000,85270000.000000,,5.211000,-2416000.000000,19552000.000000,19552000.000000,0.000000,-48052000.000000,4.959000,0.261000,14950000.000000,6974000.000000,7976000.000000,14950000.000000,15269000.000000,1808000.000000,0.000000,0.000000,0.000000,-47861000.000000,-46053000.000000,-6.510000,-46053000.000000,-47861000.000000,-48052000.000000,-1.430000,-1.430000,-1.430000,161690000.000000,,161690000.000000,419048560.000000,-6.000000,-6.004000,-10576000.000000,-0.341000,1.000000,7074000.000000,1.000000,58674000.000000,191000.000000,117513000.000000,,3612000.000000,93000000.000000,93000000.000000,0.000000,42180000.000000,24125000.000000,18055000.000000,-19765000.000000,265000.000000,719000.000000,-1074000.000000,0.000000,-58000.000000,-11547000.000000,-13258000.000000,-8160000.000000,0.000000,-48052000.000000,-48052000.000000,-48052000.000000,0.000000,0.000000,-6.793000,57118000.000000,-50044000.000000,10050000.000000,0.000000,2.620000,-5.625000,-3.730000,23480000.000000,0.000000,9.063000,17.111000,11.359000,1987000.000000,-130038000.000000,7074000.000000,7074000.000000,13519000.000000,,,,,1963000.000000,5222000.000000,1.000000,46745069.000000,31031000.000000,31031000.000000,0.228000,146240000.000000,0.000000,0.000000,0.000000,4.713000
ARQ,2001-03-31,2001-05-15,2001-03-31,2001-Q1,93231000.000000,716525010.000000,2025-05-14,631000.000000,196052000.000000,,111853000.000000,84199000.000000,,3.432000,-2936000.000000,39114000.000000,39114000.000000,0.000000,-12719000.000000,6.006000,0.287000,12143000.000000,5376000.000000,6767000.000000,12143000.000000,24015000.000000,2794000.000000,0.000000,0.000000,0.000000,-12496000.000000,-9702000.000000,-1.254000,-9702000.000000,-12496000.000000,-12719000.000000,-0.290000,-0.290000,-0.290000,152276000.000000,,152276000.000000,689554010.000000,-9.000000,-9.426000,-3531000.000000,-0.080000,1.000000,7734000.000000,1.000000,57299000.000000,223000.000000,93160000.000000,,0.000000,68854000.000000,68854000.000000,0.000000,43776000.000000,18622000.000000,25154000.000000,19676000.000000,0.000000,60000.000000,-1323000.000000,0.000000,-1207000.000000,21478000.000000,24414000.000000,-595000.000000,0.000000,-12719000.000000,-12719000.000000,-12719000.000000,0.000000,0.000000,-1.645000,22125000.000000,-14391000.000000,7618000.000000,0.000000,4.705000,-8.874000,-6.549000,22956000.000000,0.000000,14.800000,26.996000,24.742000,2545000.000000,-142757000.000000,7734000.000000,7734000.000000,16815000.000000,,,,,1876000.000000,4260000.000000,1.000000,48413852.000000,44372000.000000,44372000.000000,0.174000,138753000.000000,0.000000,0.000000,0.000000,3.127000
ARQ,2001-06-30,2001-08-14,2001-06-30,2001-Q2,101477000.000000,820016305.000000,2025-05-14,434000.000000,238519000.000000,,128533000.000000,109986000.000000,,3.358000,-7467000.000000,46063000.000000,46063000.000000,0.000000,-23708000.000000,4.751000,0.554000,49195000.000000,9289000.000000,39906000.000000,49195000.000000,24294000.000000,3883000.000000,0.000000,0.000000,0.000000,-23282000.000000,-19399000.000000,-2.269000,-19399000.000000,-23282000.000000,-23708000.000000,-0.520000,-0.520000,-0.520000,153526000.000000,,153526000.000000,823148305.000000,-9.000000,-9.952000,-22253000.000000,-0.487000,1.000000,8551000.000000,1.000000,68851000.000000,426000.000000,145744000.000000,,0.000000,76990000.000000,76990000.000000,0.000000,84993000.000000,27056000.000000,57937000.000000,6835000.000000,3463000.000000,1447000.000000,28376000.000000,0.000000,29872000.000000,-8144000.000000,-8148000.000000,-14786000.000000,-107000.000000,-23708000.000000,-23708000.000000,-23708000.000000,0.000000,0.000000,-2.773000,33430000.000000,-24879000.000000,11304000.000000,0.000000,5.341000,-8.772000,-6.780000,35639000.000000,0.000000,16.680000,27.819000,25.874000,3682000.000000,-166465000.000000,8551000.000000,8551000.000000,20555000.000000,,,,,2294000.000000,4976000.000000,1.000000,49161649.000000,45724000.000000,45724000.000000,0.187000,169668000.000000,0.000000,0.000000,0.000000,3.711000
ARQ,2001-09-30,2001-11-14,2001-09-30,2001-Q3,103005000.000000,737717968.000000,2025-05-14,969000.000000,246717000.000000,,137322000.000000,109395000.000000,,3.129000,-859000.000000,42813000.000000,42813000.000000,0.000000,-16490000.000000,4.002000,0.651000,50537000.000000,9828000.000000,40709000.000000,50537000.000000,34988000.000000,6925000.000000,0.000000,0.000000,0.000000,-15679000.000000,-8754000.000000,-0.734000,-8754000.000000,-15679000.000000,-16490000.000000,-0.350000,-0.350000,-0.350000,149411000.000000,,149411000.000000,745441968.000000,-8.000000,-8.884000,615000.000000,0.013000,1.000000,11928000.000000,1.000000,67454000.000000,811000.000000,152670000.000000,,0.000000,89470000.000000,89470000.000000,0.000000,97306000.000000,34317000.000000,62989000.000000,16426000.000000,0.000000,10135000.000000,-2967000.000000,0.000000,7300000.000000,7498000.000000,12365000.000000,1474000.000000,154000.000000,-16490000.000000,-16490000.000000,-16490000.000000,0.000000,0.000000,-1.382000,29224000.000000,-17296000.000000,11581000.000000,0.000000,4.938000,-7.306000,-5.753000,35870000.000000,0.000000,14.900000,20.906000,20.163000,3389000.000000,-182955000.000000,11928000.000000,11928000.000000,22466000.000000,,,,,3563000.000000,5361000.000000,1.000000,49511273.000000,47750000.000000,47750000.000000,0.250000,179263000.000000,0.000000,0.000000,0.000000,3.754000
ARQ,2001-12-31,2002-03-20,2001-12-31,2001-Q4,194242000.000000,772093905.000000,2025-05-14,501000.000000,346614000.000000,,234599000.000000,112015000.000000,,4.902000,2168000.000000,35584000.000000,35584000.000000,0.000000,-18269000.000000,5.813000,0.461000,48943000.000000,7147000.000000,41796000.000000,48943000.000000,32607000.000000,1606000.000000,0.000000,0.000000,0.000000,-17543000.000000,-15937000.000000,-1.246000,-15937000.000000,-17543000.000000,-18269000.000000,-0.380000,-0.380000,-0.380000,237220000.000000,,237220000.000000,785452905.000000,-11.000000,-14.602000,-7693000.000000,-0.159000,1.000000,12793000.000000,1.000000,69483000.000000,726000.000000,250133000.000000,,0.000000,192116000.000000,192116000.000000,0.000000,109394000.000000,40357000.000000,69037000.000000,-26905000.000000,5097000.000000,1285000.000000,-2658000.000000,0.000000,-1610000.000000,-15427000.000000,-22960000.000000,-9861000.000000,-7000.000000,-18269000.000000,-18269000.000000,-18269000.000000,0.000000,0.000000,-1.428000,31541000.000000,-18748000.000000,10837000.000000,0.000000,3.255000,-10.846000,-8.987000,36500000.000000,0.000000,13.750000,18.829000,15.587000,4963000.000000,-201224000.000000,12793000.000000,12793000.000000,22864000.000000,,,,,-369000.000000,4569000.000000,1.000000,56152284.000000,48396000.000000,48396000.000000,0.264000,277131000.000000,0.000000,0.000000,0.000000,5.726000
ARQ,2002-03-31,2002-05-13,2002-03-31,2002-Q1,174381000.000000,377445575.000000,2025-05-14,-788000.000000,320932000.000000,,205327000.000000,115605000.000000,,4.122000,-474000.000000,21444000.000000,21444000.000000,0.000000,-18421000.000000,6.635000,0.399000,49034000.000000,7336000.000000,41698000.000000,49034000.000000,28705000.000000,3416000.000000,0.000000,0.000000,0.000000,-17717000.000000,-14301000.000000,-1.237000,-14301000.000000,-17717000.000000,-18421000.000000,-0.330000,-0.330000,-0.330000,229420000.000000,,229420000.000000,405035575.000000,-5.000000,-6.937000,-26785000.000000,-0.481000,1.000000,11560000.000000,1.000000,73636000.000000,704000.000000,243940000.000000,,0.000000,176638000.000000,176638000.000000,0.000000,91512000.000000,30946000.000000,60566000.000000,-14140000.000000,0.000000,64000.000000,-1685000.000000,0.000000,-1621000.000000,13757000.000000,14231000.000000,-26311000.000000,35000.000000,-18421000.000000,-18421000.000000,-18421000.000000,0.000000,0.000000,-1.594000,31464000.000000,-19904000.000000,7244000.000000,0.000000,1.645000,-4.909000,-4.196000,35979000.000000,0.000000,6.630000,8.419000,8.230000,4555000.000000,-219645000.000000,11560000.000000,11560000.000000,26419000.000000,,,,,818000.000000,4879000.000000,1.000000,56929951.000000,55654000.000000,55654000.000000,0.208000,247296000.000000,0.000000,0.000000,0.000000,4.443000
