dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2004-06-30,2005-01-20,2004-06-30,2004-Q4,23237745.000000,,2025-05-11,0.000000,31486305.000000,,24749475.000000,6736830.000000,,29.704000,,24453512.000000,24453512.000000,,,16.372000,0.053000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,28739680.000000,,28739680.000000,,,,,,1.000000,,,6189005.000000,,-667941.000000,,0.000000,0.000000,0.000000,0.000000,1511730.000000,1511730.000000,0.000000,,,,,,,,,,,,,,,,,,,1511730.000000,,,,,522365.000000,,,,,265576.000000,-10288558.000000,,,,,,,,,,1.000000,967525.000000,967525.000000,,,25297300.000000,0.000000,,0.000000,26.146000
ARQ,2005-06-30,2006-01-18,2005-06-30,2005-Q4,9263836.000000,188009437.000000,2025-05-11,0.000000,63987544.000000,,10861041.000000,53126503.000000,,64.484000,,10055808.000000,10055808.000000,,,6.800000,0.026000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,62390339.000000,,62390339.000000,177953629.000000,-15.000000,-15.492000,,,1.000000,,,50573046.000000,,1761486.000000,,0.000000,0.000000,0.000000,0.000000,1597205.000000,1597205.000000,0.000000,,,,,,,,,,,,,,,,,,,1534820.000000,,3.013000,-16.368000,-8.897000,2553457.000000,,194.320000,290.766000,290.766000,553346.000000,-21775246.000000,,,,,,,,,,1.000000,967525.000000,967525.000000,,,13414498.000000,0.000000,,0.000000,13.865000
ARQ,2006-06-30,2006-12-08,2006-06-30,2006-Q4,-5368294.000000,79942221.000000,2025-05-11,0.000000,183679140.000000,,13322550.000000,170356590.000000,,136.624000,,12048311.000000,12048311.000000,,,0.713000,0.345000,13747660.000000,10674388.000000,3073272.000000,13747660.000000,2081488.000000,,0.000000,0.000000,0.000000,,,,,,,,,,136525416.000000,,136525416.000000,81641571.000000,-3.000000,-3.158000,,,1.000000,,,167907742.000000,,-1220096.000000,,0.000000,0.000000,0.000000,0.000000,47153724.000000,18690844.000000,28462880.000000,,,,,,,,,,,,,,,,,,,5784490.000000,,0.586000,-3.639000,-2.849000,2448848.000000,,80.000000,73.575000,73.575000,781159.000000,-44404108.000000,,,,,,,,,,1.000000,999278.000000,999278.000000,,,15771398.000000,0.000000,,25389608.000000,15.783000
ARQ,2007-06-30,2007-10-01,2007-06-30,2007-Q4,-11403600.000000,56029132.000000,2025-05-11,0.000000,79212120.000000,,5232240.000000,73979880.000000,,42.846000,,2453880.000000,2453880.000000,,,0.315000,0.307000,8146320.000000,8146320.000000,0.000000,8146320.000000,1563900.000000,,0.000000,0.000000,0.000000,,,,,,,,,,60621600.000000,,60621600.000000,61721572.000000,-1.000000,-0.568000,,,1.000000,,,73509540.000000,,-5240820.000000,,0.000000,0.000000,0.000000,0.000000,18590520.000000,16635840.000000,1954680.000000,,,,,,,,,,,,,,,,,,,6794580.000000,,0.924000,-0.588000,-0.470000,470340.000000,,39.600000,31.478000,31.478000,2306460.000000,-139765080.000000,,,,,,,,,,1.000000,1414877.000000,1414877.000000,,,5702580.000000,0.000000,,1954680.000000,4.030000
ARQ,2007-09-30,2007-11-14,2007-09-30,2008-Q1,6449000.000000,71590840.000000,2025-05-11,8197000.000000,116327000.000000,,19353000.000000,96974000.000000,,56.709000,-82000.000000,16454000.000000,16454000.000000,0.000000,-795000.000000,1.500000,0.146000,0.000000,0.000000,0.000000,0.000000,1613000.000000,1111000.000000,0.000000,0.000000,0.000000,-853000.000000,258000.000000,2.505000,258000.000000,-853000.000000,-1003000.000000,0.000000,0.000000,0.000000,101500000.000000,,101500000.000000,55136840.000000,,,-4346000.000000,-2.428000,1.000000,103000.000000,1.000000,96507000.000000,150000.000000,-9538000.000000,,0.000000,0.000000,0.000000,0.000000,14827000.000000,12904000.000000,1923000.000000,13784000.000000,0.000000,20622000.000000,0.000000,0.000000,18128000.000000,-82000.000000,0.000000,-4264000.000000,2000.000000,-795000.000000,-795000.000000,-795000.000000,0.000000,0.000000,-7.718000,5316000.000000,-5213000.000000,7304000.000000,,0.705000,,,467000.000000,0.000000,39.200000,,,2899000.000000,-149443000.000000,103000.000000,103000.000000,3471000.000000,,,,,31000.000000,1845000.000000,1.000000,1826297.000000,1789845.000000,1789845.000000,0.058000,19820000.000000,0.000000,-208000.000000,648000.000000,11.074000
ARQ,2007-12-31,2008-02-11,2007-12-31,2008-Q2,1955000.000000,59902540.000000,2025-05-11,7038000.000000,107670000.000000,,13145000.000000,94525000.000000,,51.840000,-7000.000000,9783000.000000,9783000.000000,0.000000,-5795000.000000,1.175000,0.137000,0.000000,0.000000,0.000000,0.000000,1523000.000000,1108000.000000,0.000000,0.000000,0.000000,-5660000.000000,-4552000.000000,-35.562000,-4552000.000000,-5660000.000000,-5811000.000000,-4.000000,-4.000000,-4.000000,94675000.000000,,94675000.000000,50119540.000000,,,-6917000.000000,-3.787000,1.000000,128000.000000,1.000000,94179000.000000,151000.000000,-7482000.000000,,0.000000,0.000000,0.000000,0.000000,12995000.000000,11190000.000000,1805000.000000,-6671000.000000,0.000000,0.000000,0.000000,0.000000,259000.000000,-7000.000000,0.000000,-6910000.000000,-13000.000000,-5795000.000000,-5795000.000000,-5795000.000000,0.000000,0.000000,-45.273000,8164000.000000,-8036000.000000,7406000.000000,0.000000,0.633000,,,346000.000000,0.000000,32.800000,,,3362000.000000,-155457000.000000,128000.000000,128000.000000,4946000.000000,,,,,55000.000000,3218000.000000,1.000000,1826297.000000,1826298.000000,1826298.000000,0.070000,13491000.000000,0.000000,-16000.000000,632000.000000,7.387000
ARQ,2008-03-31,2008-05-12,2008-03-31,2008-Q3,6509000.000000,73051878.000000,2025-05-11,6964000.000000,115866000.000000,,22406000.000000,93460000.000000,,48.821000,-44000.000000,18175000.000000,18175000.000000,0.000000,-5501000.000000,1.409000,0.299000,0.000000,0.000000,0.000000,0.000000,20441000.000000,1027000.000000,0.000000,0.000000,0.000000,-5310000.000000,-4283000.000000,-7.902000,-4283000.000000,-5310000.000000,-5516000.000000,-4.000000,-4.000000,-4.000000,89162000.000000,,89162000.000000,54876878.000000,,,8427000.000000,4.614000,1.000000,542000.000000,1.000000,93152000.000000,206000.000000,-11358000.000000,,0.000000,0.000000,0.000000,0.000000,26704000.000000,15897000.000000,10807000.000000,8392000.000000,0.000000,-2235000.000000,0.000000,0.000000,0.000000,-44000.000000,0.000000,8471000.000000,-35000.000000,-5501000.000000,-5501000.000000,-5501000.000000,0.000000,0.000000,-10.149000,7151000.000000,-6609000.000000,3385000.000000,0.000000,0.819000,,,308000.000000,0.000000,40.000000,,,4231000.000000,-160958000.000000,542000.000000,542000.000000,3605000.000000,,,,,62000.000000,3546000.000000,1.000000,1826297.000000,1826298.000000,1826298.000000,0.297000,22714000.000000,0.000000,-15000.000000,616000.000000,12.437000
ARQ,2008-03-31,2008-06-18,2008-03-31,2008-Q3,6509000.000000,63737763.000000,2025-05-11,6964000.000000,120582000.000000,,22406000.000000,98176000.000000,,51.403000,-44000.000000,18175000.000000,18175000.000000,0.000000,-5501000.000000,1.409000,0.284000,0.000000,0.000000,0.000000,0.000000,20441000.000000,1027000.000000,0.000000,0.000000,0.000000,-5310000.000000,-4283000.000000,-7.902000,-4283000.000000,-5310000.000000,-5516000.000000,-4.000000,-4.000000,-4.000000,93878000.000000,,93878000.000000,45562763.000000,,,8427000.000000,4.614000,1.000000,542000.000000,1.000000,97868000.000000,206000.000000,-11358000.000000,,0.000000,0.000000,0.000000,0.000000,26704000.000000,15897000.000000,10807000.000000,8392000.000000,0.000000,-2235000.000000,0.000000,0.000000,0.000000,-44000.000000,0.000000,8471000.000000,-35000.000000,-5501000.000000,-5501000.000000,-5501000.000000,0.000000,0.000000,-10.149000,7151000.000000,-6609000.000000,3385000.000000,0.000000,0.679000,,,308000.000000,0.000000,34.900000,,,4231000.000000,-160958000.000000,542000.000000,542000.000000,3605000.000000,,,,,62000.000000,3546000.000000,1.000000,1826297.000000,1826298.000000,1826298.000000,0.297000,22714000.000000,0.000000,-15000.000000,616000.000000,12.437000
ARQ,2008-06-30,2008-09-26,2008-06-30,2008-Q4,414000.000000,40359782.000000,2025-05-11,6969000.000000,55784000.000000,,17690000.000000,38094000.000000,,16.489000,-126000.000000,15609000.000000,15609000.000000,0.000000,-63579000.000000,1.024000,0.855000,0.000000,0.000000,0.000000,0.000000,18590000.000000,1037000.000000,0.000000,0.000000,0.000000,-63823000.000000,-62786000.000000,-23.228000,-62786000.000000,-63823000.000000,-63823000.000000,-33.700000,-33.700000,-33.700000,30078000.000000,,30078000.000000,24750782.000000,0.000000,-0.347000,-2566000.000000,-1.407000,1.000000,2703000.000000,1.000000,36802000.000000,0.000000,-13903000.000000,,0.000000,0.000000,0.000000,0.000000,25706000.000000,17276000.000000,8430000.000000,-2566000.000000,0.000000,-2000.000000,0.000000,0.000000,-2000.000000,-126000.000000,0.000000,-2440000.000000,2000.000000,-63579000.000000,-63579000.000000,-63579000.000000,0.000000,0.000000,-23.522000,67852000.000000,-65149000.000000,2634000.000000,0.000000,1.342000,-0.533000,-0.530000,473000.000000,0.000000,22.100000,11.611000,11.550000,2286000.000000,-224537000.000000,2703000.000000,2703000.000000,2404000.000000,,,,,608000.000000,5342000.000000,1.000000,1826234.000000,1824091.000000,1824091.000000,1.482000,18982000.000000,0.000000,-244000.000000,316000.000000,10.406000
ARQ,2008-09-30,2008-11-12,2008-09-30,2009-Q1,-369000.000000,21732191.000000,2025-05-11,4592000.000000,47161000.000000,,13181000.000000,33980000.000000,,14.962000,-107000.000000,10982000.000000,10982000.000000,0.000000,-471000.000000,0.973000,0.726000,0.000000,0.000000,0.000000,0.000000,16718000.000000,969000.000000,0.000000,0.000000,0.000000,-956000.000000,13000.000000,0.005000,13000.000000,-956000.000000,-956000.000000,-0.300000,-0.300000,-0.300000,27324000.000000,,27324000.000000,10750191.000000,0.000000,-0.150000,-4593000.000000,-2.515000,1.000000,2806000.000000,1.000000,33507000.000000,0.000000,-10878000.000000,,0.000000,0.000000,0.000000,0.000000,19837000.000000,13550000.000000,6287000.000000,-4627000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-107000.000000,0.000000,-4486000.000000,-34000.000000,-471000.000000,-471000.000000,-471000.000000,0.000000,0.000000,-0.168000,5185000.000000,-2379000.000000,737000.000000,0.000000,0.795000,-0.288000,-0.283000,414000.000000,0.000000,11.900000,3.517000,3.517000,1888000.000000,-225008000.000000,2806000.000000,2806000.000000,2228000.000000,,,,,94000.000000,2957000.000000,1.000000,1826234.000000,1826200.000000,1826200.000000,1.537000,13654000.000000,0.000000,-485000.000000,316000.000000,7.477000
