dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-18,1996-12-31,1996-Q4,-976000000.000000,38070697280.000000,2025-05-06,-29000000.000000,262867000000.000000,,32194000000.000000,230673000000.000000,,22.699000,,7267000000.000000,7267000000.000000,,,0.971000,8.822000,159041000000.000000,1661000000.000000,157380000000.000000,159041000000.000000,0.000000,,0.000000,0.048000,0.391000,,,,,,,,,,26762000000.000000,,26762000000.000000,189844697280.000000,12.000000,11.682000,,,1.000000,,,0.000000,,381471000000.000000,,6656000000.000000,179005000000.000000,11836000000.000000,167169000000.000000,236105000000.000000,33170000000.000000,202935000000.000000,,,,,,,,,,,,,,,,,,,19109000000.000000,,1.423000,8.690000,8.602000,33527000000.000000,,32.000000,0.259000,0.257000,3635000000.000000,20334000000.000000,,,,,,,,,,1.000000,1189709290.000000,1179000000.000000,,,262867000000.000000,7725000000.000000,,6071000000.000000,222.958000
ARQ,1997-03-31,1997-05-08,1997-03-31,1997-Q1,722000000.000000,42417438191.000000,2025-05-06,-559000000.000000,261957000000.000000,,33224000000.000000,228733000000.000000,,22.901000,-2891000000.000000,5798000000.000000,5798000000.000000,25683000000.000000,1469000000.000000,1.022000,8.612000,157871000000.000000,1756000000.000000,156115000000.000000,157871000000.000000,0.000000,0.000000,0.000000,0.045000,0.427000,4709000000.000000,4709000000.000000,0.130000,4709000000.000000,4709000000.000000,2353000000.000000,1.220000,1.200000,1.220000,27252000000.000000,,27252000000.000000,194490438191.000000,,,3123000000.000000,2.624000,1.000000,10519000000.000000,0.291000,0.000000,2356000000.000000,381528000000.000000,,7237000000.000000,179613000000.000000,13193000000.000000,166420000000.000000,234705000000.000000,32502000000.000000,202203000000.000000,-300000000.000000,0.000000,40000000.000000,2551000000.000000,-428000000.000000,2210000000.000000,-8448000000.000000,-5666000000.000000,6014000000.000000,-76000000.000000,1455000000.000000,1455000000.000000,1455000000.000000,0.000000,14000000.000000,0.040000,5629000000.000000,4890000000.000000,18586000000.000000,0.350000,1.556000,,,33039000000.000000,0.000000,35.620000,,,3375000000.000000,21331000000.000000,36202000000.000000,36202000000.000000,0.000000,,,,,0.000000,1538000000.000000,1.000000,1190832066.000000,1190000000.000000,1190000000.000000,30.422000,261957000000.000000,7679000000.000000,898000000.000000,5795000000.000000,220.132000
ARQ,1997-06-30,1997-08-07,1997-06-30,1997-Q2,486000000.000000,50533879870.000000,2025-05-06,-768000000.000000,271416000000.000000,,34666000000.000000,236750000000.000000,,24.403000,,5065000000.000000,5065000000.000000,28659000000.000000,2530000000.000000,1.014000,8.323000,164529000000.000000,1624000000.000000,162905000000.000000,164529000000.000000,0.000000,,0.000000,0.039000,0.427000,6120000000.000000,,,,6120000000.000000,3698000000.000000,2.110000,2.060000,2.110000,29113000000.000000,,29113000000.000000,209997879870.000000,,,,,1.000000,11606000000.000000,0.288000,0.000000,2422000000.000000,396700000000.000000,,6136000000.000000,188489000000.000000,15168000000.000000,173321000000.000000,242303000000.000000,34180000000.000000,208123000000.000000,,,,,,,,,,,2516000000.000000,2516000000.000000,2516000000.000000,0.000000,14000000.000000,0.062000,5810000000.000000,5796000000.000000,18214000000.000000,0.202000,1.736000,,,33491000000.000000,0.000000,42.310000,,,3364000000.000000,23346000000.000000,40265000000.000000,40265000000.000000,0.000000,,,,,,1702000000.000000,1.000000,1194372013.000000,1193000000.000000,1193000000.000000,33.751000,271416000000.000000,7449000000.000000,1182000000.000000,6287000000.000000,227.507000
ARQ,1997-09-30,1997-11-05,1997-09-30,1997-Q3,656000000.000000,55727719410.000000,2025-05-06,-963000000.000000,274223000000.000000,,36650000000.000000,237573000000.000000,,24.772000,,7144000000.000000,7144000000.000000,25681000000.000000,1125000000.000000,1.018000,8.240000,164293000000.000000,1587000000.000000,162706000000.000000,164293000000.000000,0.000000,,0.000000,0.036000,0.427000,4137000000.000000,,,,4137000000.000000,1707000000.000000,0.930000,0.900000,0.930000,29677000000.000000,,29677000000.000000,212876719410.000000,,,,,1.000000,10415000000.000000,0.289000,0.000000,2430000000.000000,395378000000.000000,,6320000000.000000,188861000000.000000,14736000000.000000,174125000000.000000,244546000000.000000,35994000000.000000,208552000000.000000,,,,,,,,,,,1112000000.000000,1112000000.000000,1112000000.000000,0.000000,13000000.000000,0.031000,6227000000.000000,4188000000.000000,18467000000.000000,0.459000,1.878000,,,34282000000.000000,0.000000,46.440000,,,3220000000.000000,23954000000.000000,36096000000.000000,36096000000.000000,0.000000,,,,,,1669000000.000000,1.000000,1199993958.000000,1198000000.000000,1198000000.000000,30.130000,274223000000.000000,7416000000.000000,595000000.000000,6899000000.000000,228.901000
ARQ,1997-12-31,1998-03-18,1997-12-31,1997-Q4,3556000000.000000,74536758561.000000,2025-05-06,-1267000000.000000,279097000000.000000,,36847000000.000000,242250000000.000000,,25.590000,,7934000000.000000,7934000000.000000,28884000000.000000,1796000000.000000,1.107000,8.081000,168925000000.000000,1129000000.000000,167796000000.000000,168925000000.000000,0.000000,,0.000000,0.028000,0.427000,5353000000.000000,,,,5353000000.000000,2849000000.000000,1.490000,1.470000,1.490000,30734000000.000000,,30734000000.000000,235527758561.000000,12.000000,11.592000,,,1.000000,12180000000.000000,0.297000,0.000000,2504000000.000000,406797000000.000000,,5468000000.000000,195509000000.000000,14935000000.000000,180574000000.000000,248363000000.000000,33291000000.000000,215072000000.000000,,,,,,,,,,,1783000000.000000,1783000000.000000,1783000000.000000,0.000000,13000000.000000,0.043000,6808000000.000000,5372000000.000000,19509000000.000000,0.287000,2.425000,10.856000,10.696000,34594000000.000000,0.000000,61.500000,0.485000,0.478000,3097000000.000000,25234000000.000000,41064000000.000000,41064000000.000000,0.000000,,,,,,2173000000.000000,1.000000,1211979814.000000,1201000000.000000,1201000000.000000,34.192000,279097000000.000000,6961000000.000000,1066000000.000000,6915000000.000000,232.387000
ARQ,1998-03-31,1998-05-12,1998-03-31,1998-Q1,500000000.000000,55494238240.000000,2025-05-06,-1416000000.000000,223238000000.000000,,37487000000.000000,185751000000.000000,,17.766000,-2267000000.000000,8228000000.000000,8228000000.000000,25584000000.000000,17646000000.000000,1.014000,9.385000,122231000000.000000,801000000.000000,121430000000.000000,122231000000.000000,0.000000,0.000000,0.000000,0.528000,22.895000,20893000000.000000,20893000000.000000,0.571000,20893000000.000000,20893000000.000000,18523000000.000000,14.480000,14.230000,14.480000,21497000000.000000,,21497000000.000000,169497238240.000000,5.000000,,2441000000.000000,2.017000,1.000000,11000000000.000000,0.301000,0.000000,2370000000.000000,300254000000.000000,,6340000000.000000,141526000000.000000,14473000000.000000,127053000000.000000,201741000000.000000,36987000000.000000,164754000000.000000,-1469000000.000000,0.000000,23000000.000000,1081000000.000000,-479000000.000000,367000000.000000,-6417000000.000000,-4743000000.000000,4708000000.000000,-127000000.000000,17551000000.000000,17551000000.000000,17551000000.000000,0.000000,95000000.000000,0.480000,5966000000.000000,5034000000.000000,21253000000.000000,1.581000,2.581000,2.417000,2.407000,35438000000.000000,0.000000,45.750000,0.360000,0.359000,2996000000.000000,16819000000.000000,36584000000.000000,36584000000.000000,0.000000,,,,,0.000000,1686000000.000000,1.000000,1212988814.000000,1210000000.000000,1210000000.000000,30.235000,223238000000.000000,6817000000.000000,972000000.000000,6999000000.000000,184.494000
ARQ,1998-06-30,1998-07-15,1998-06-30,1998-Q2,2087000000.000000,72092062231.000000,2025-05-06,-1496000000.000000,228271000000.000000,,37764000000.000000,190507000000.000000,,19.035000,,6687000000.000000,6687000000.000000,26317000000.000000,2381000000.000000,1.058000,8.895000,124648000000.000000,855000000.000000,123793000000.000000,124648000000.000000,0.000000,,0.000000,0.406000,0.000000,5394000000.000000,,,,5394000000.000000,3569000000.000000,1.960000,1.910000,1.960000,23070000000.000000,,23070000000.000000,190053062231.000000,5.000000,,,,1.000000,10972000000.000000,0.294000,0.000000,1825000000.000000,310555000000.000000,,5551000000.000000,145967000000.000000,17386000000.000000,128581000000.000000,205201000000.000000,35677000000.000000,169524000000.000000,,,,,,,,,,,2377000000.000000,2377000000.000000,2377000000.000000,0.000000,4000000.000000,0.064000,5635000000.000000,5337000000.000000,18963000000.000000,0.000000,3.125000,3.159000,3.155000,35847000000.000000,0.000000,59.500000,0.477000,0.477000,2863000000.000000,18688000000.000000,37289000000.000000,37289000000.000000,0.000000,,,,,,2070000000.000000,1.000000,1211631298.000000,1212000000.000000,1212000000.000000,30.767000,228271000000.000000,6796000000.000000,1192000000.000000,7852000000.000000,188.342000
ARQ,1998-09-30,1998-10-15,1998-09-30,1998-Q3,3825000000.000000,58988029571.000000,2025-05-06,-1215000000.000000,228514000000.000000,,39519000000.000000,188995000000.000000,,19.569000,,6382000000.000000,6382000000.000000,24139000000.000000,1001000000.000000,1.107000,8.635000,124132000000.000000,1168000000.000000,122964000000.000000,124132000000.000000,0.000000,,0.000000,0.496000,0.427000,3309000000.000000,,,,3309000000.000000,1479000000.000000,0.820000,0.800000,0.820000,23718000000.000000,,23718000000.000000,176738029571.000000,5.000000,,,,1.000000,8501000000.000000,0.260000,0.000000,1830000000.000000,310570000000.000000,,6387000000.000000,146170000000.000000,17764000000.000000,128406000000.000000,204796000000.000000,35694000000.000000,169102000000.000000,,,,,,,,,,,997000000.000000,997000000.000000,997000000.000000,0.000000,4000000.000000,0.031000,5249000000.000000,3252000000.000000,18774000000.000000,0.521000,2.487000,2.598000,2.600000,36480000000.000000,0.000000,48.750000,0.400000,0.400000,3149000000.000000,19176000000.000000,32640000000.000000,32640000000.000000,0.000000,,,,,,1578000000.000000,1.000000,1210010863.000000,1212000000.000000,1212000000.000000,26.931000,228514000000.000000,6152000000.000000,482000000.000000,7721000000.000000,188.543000
ARQ,1998-09-30,1998-10-19,1998-09-30,1998-Q3,3825000000.000000,61262849994.000000,2025-05-06,-1215000000.000000,228514000000.000000,,39519000000.000000,188995000000.000000,,19.569000,,6382000000.000000,6382000000.000000,24139000000.000000,1001000000.000000,1.107000,8.635000,124132000000.000000,1168000000.000000,122964000000.000000,124132000000.000000,0.000000,,0.000000,0.478000,0.427000,3309000000.000000,,,,3309000000.000000,1479000000.000000,0.820000,0.800000,0.820000,23718000000.000000,,23718000000.000000,179012849994.000000,5.000000,,,,1.000000,8501000000.000000,0.260000,0.000000,1830000000.000000,310570000000.000000,,6387000000.000000,146170000000.000000,17764000000.000000,128406000000.000000,204796000000.000000,35694000000.000000,169102000000.000000,,,,,,,,,,,997000000.000000,997000000.000000,997000000.000000,0.000000,4000000.000000,0.031000,5249000000.000000,3252000000.000000,18774000000.000000,0.521000,2.583000,2.698000,2.700000,36480000000.000000,0.000000,50.630000,0.415000,0.416000,3149000000.000000,19176000000.000000,32640000000.000000,32640000000.000000,0.000000,,,,,,1578000000.000000,1.000000,1210010863.000000,1212000000.000000,1212000000.000000,26.931000,228514000000.000000,6152000000.000000,482000000.000000,7721000000.000000,188.543000
ARQ,1998-12-31,1999-03-17,1998-12-31,1998-Q4,3066000000.000000,69524468106.000000,2025-05-06,-1670000000.000000,237545000000.000000,,38709000000.000000,198836000000.000000,,19.330000,,4836000000.000000,4836000000.000000,28856000000.000000,1043000000.000000,1.086000,9.148000,132835000000.000000,1121000000.000000,131714000000.000000,132835000000.000000,0.000000,,0.000000,0.423000,0.467000,3580000000.000000,,,,3580000000.000000,1569000000.000000,0.880000,0.860000,0.880000,23409000000.000000,,23409000000.000000,197523468106.000000,6.000000,5.954000,,,1.000000,9047000000.000000,0.239000,0.000000,2011000000.000000,329901000000.000000,,5656000000.000000,156944000000.000000,20120000000.000000,136824000000.000000,214136000000.000000,35643000000.000000,178493000000.000000,,,,,,,,,,,1039000000.000000,1039000000.000000,1039000000.000000,0.000000,4000000.000000,0.027000,5466000000.000000,3581000000.000000,20566000000.000000,0.531000,2.970000,3.165000,3.158000,37320000000.000000,0.000000,57.380000,0.481000,0.481000,2604000000.000000,19659000000.000000,37903000000.000000,37903000000.000000,0.000000,,,,,,2168000000.000000,1.000000,1211649845.000000,1211000000.000000,1211000000.000000,31.299000,237545000000.000000,6414000000.000000,530000000.000000,7643000000.000000,196.156000
