dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-09-30,2020-12-10,2020-09-30,2020-Q3,78258000.000000,,2025-05-09,0.000000,98192000.000000,,92536000.000000,5656000.000000,,-4.418000,,88755000.000000,88755000.000000,,,6.481000,-0.266000,0.000000,0.000000,0.000000,0.000000,17350000.000000,,0.000000,,0.000000,,,,,,,,,,-105292000.000000,,-105292000.000000,,,,,,1.000000,,,0.000000,,-4841000.000000,,0.000000,0.000000,0.000000,0.000000,28036000.000000,14278000.000000,13758000.000000,,,,,,,,,,,,,,,,,,,1292000.000000,,,,,4981000.000000,,,,,896000.000000,-115132000.000000,,,,,,,,,,1.000000,23833726.000000,23833726.000000,,,98192000.000000,0.000000,,0.000000,4.120000
ARQ,2020-12-31,2021-03-25,2020-12-31,2020-Q4,265912000.000000,1055169507.000000,2025-05-09,0.000000,288331000.000000,,282656000.000000,5675000.000000,,39.870000,-508000.000000,276726000.000000,276726000.000000,0.000000,-20547000.000000,16.881000,0.125000,0.000000,0.000000,0.000000,0.000000,19812000.000000,371000.000000,0.000000,0.000000,0.000000,-20547000.000000,-20176000.000000,20.651000,-20176000.000000,-20547000.000000,-20547000.000000,-1.850000,-1.850000,-1.850000,256387000.000000,,256387000.000000,778443507.000000,-14.000000,-14.089000,-18007000.000000,-2.800000,1.000000,-977000.000000,1.000000,0.000000,0.000000,-5139000.000000,,0.000000,0.000000,0.000000,0.000000,31944000.000000,16744000.000000,15200000.000000,187971000.000000,0.000000,205978000.000000,0.000000,0.000000,205978000.000000,-508000.000000,0.000000,-17499000.000000,0.000000,-20547000.000000,-20547000.000000,-20547000.000000,0.000000,0.000000,21.031000,19445000.000000,-20422000.000000,1787000.000000,0.000000,4.116000,-18.612000,-4.482000,5073000.000000,0.000000,39.530000,77.518000,18.675000,1486000.000000,-135679000.000000,-977000.000000,-977000.000000,12605000.000000,,,,,1717000.000000,6840000.000000,1.000000,26692879.000000,6430555.000000,6430555.000000,-0.152000,288331000.000000,0.000000,0.000000,0.000000,44.838000
ARQ,2021-03-31,2021-05-13,2021-03-31,2021-Q1,250585000.000000,706623349.000000,2025-05-09,0.000000,270114000.000000,,264501000.000000,5613000.000000,,9.083000,-642000.000000,259865000.000000,259865000.000000,0.000000,-16406000.000000,19.007000,0.114000,0.000000,0.000000,0.000000,0.000000,18777000.000000,381000.000000,0.000000,0.000000,0.000000,-16406000.000000,-16025000.000000,-8.012000,-16025000.000000,-16406000.000000,-16406000.000000,-0.610000,-0.610000,-0.610000,242431000.000000,,242431000.000000,446758349.000000,,,-16014000.000000,-0.600000,1.000000,2000000.000000,1.000000,0.000000,0.000000,-3667000.000000,,0.000000,0.000000,0.000000,0.000000,27683000.000000,13916000.000000,13767000.000000,-16861000.000000,0.000000,99000.000000,0.000000,0.000000,-847000.000000,-642000.000000,0.000000,-15372000.000000,0.000000,-16406000.000000,-16406000.000000,-16406000.000000,0.000000,0.000000,-8.203000,18312000.000000,-16312000.000000,1284000.000000,0.000000,2.915000,,,5011000.000000,0.000000,26.420000,,,965000.000000,-152085000.000000,2000000.000000,2000000.000000,12769000.000000,,,,,2329000.000000,5543000.000000,1.000000,26745774.000000,26690167.000000,26690167.000000,0.075000,270114000.000000,0.000000,0.000000,0.000000,10.120000
ARQ,2021-06-30,2021-08-12,2021-06-30,2021-Q2,238882000.000000,752972314.000000,2025-05-09,0.000000,254934000.000000,,248752000.000000,6182000.000000,,9.000000,-737000.000000,243743000.000000,243743000.000000,0.000000,-7589000.000000,25.203000,0.059000,0.000000,0.000000,0.000000,0.000000,5358000.000000,370000.000000,0.000000,0.000000,0.000000,-7589000.000000,-7219000.000000,-0.495000,-7219000.000000,-7589000.000000,-7589000.000000,-0.280000,-0.280000,-0.280000,240646000.000000,,240646000.000000,509229314.000000,,,-16942000.000000,-0.634000,1.000000,14580000.000000,1.000000,0.000000,0.000000,1321000.000000,,0.000000,0.000000,0.000000,0.000000,14288000.000000,9870000.000000,4418000.000000,-16122000.000000,0.000000,820000.000000,0.000000,0.000000,820000.000000,-737000.000000,0.000000,-16205000.000000,0.000000,-7589000.000000,-7589000.000000,-7589000.000000,0.000000,0.000000,-0.521000,22176000.000000,-7596000.000000,1962000.000000,0.000000,3.129000,,,5580000.000000,0.000000,27.900000,,,1218000.000000,-159674000.000000,14580000.000000,14580000.000000,15223000.000000,,,,,3816000.000000,6953000.000000,1.000000,26988255.000000,26739149.000000,26739149.000000,0.545000,254934000.000000,0.000000,0.000000,0.000000,9.534000
ARQ,2021-09-30,2021-11-10,2021-09-30,2021-Q3,154360000.000000,794471482.000000,2025-05-09,-195000.000000,240618000.000000,,165733000.000000,74885000.000000,,8.294000,-2635000.000000,90989000.000000,90989000.000000,0.000000,-22239000.000000,14.572000,0.074000,0.000000,0.000000,0.000000,0.000000,4738000.000000,382000.000000,0.000000,0.000000,0.000000,-22239000.000000,-21857000.000000,-16.001000,-21857000.000000,-22239000.000000,-22239000.000000,-0.820000,-0.820000,-0.820000,224134000.000000,,224134000.000000,703482482.000000,-11.000000,-10.777000,-18356000.000000,-0.679000,1.000000,1366000.000000,1.000000,0.000000,0.000000,138256000.000000,,0.000000,136180000.000000,70686000.000000,65494000.000000,16484000.000000,11373000.000000,5111000.000000,-152754000.000000,0.000000,1977000.000000,0.000000,0.000000,1977000.000000,-139010000.000000,-136375000.000000,-15721000.000000,0.000000,-22239000.000000,-22239000.000000,-22239000.000000,0.000000,0.000000,-16.280000,24027000.000000,-22661000.000000,3713000.000000,0.000000,3.545000,-11.897000,-6.944000,8789000.000000,0.000000,24.720000,46.819000,39.366000,791000.000000,-181913000.000000,1366000.000000,1366000.000000,15840000.000000,,,,,3989000.000000,8187000.000000,1.000000,32138814.000000,27022380.000000,27022380.000000,0.051000,240618000.000000,0.000000,0.000000,0.000000,8.904000
ARQ,2021-12-31,2022-03-28,2021-12-31,2021-Q4,239942000.000000,496779813.000000,2025-05-09,-423000.000000,353487000.000000,,256280000.000000,97207000.000000,,10.474000,-5096000.000000,153001000.000000,153001000.000000,0.000000,-25083000.000000,15.686000,0.108000,16448000.000000,1231000.000000,15217000.000000,16448000.000000,5090000.000000,1887000.000000,0.000000,0.000000,0.000000,-25083000.000000,-23196000.000000,-252.130000,-23196000.000000,-25083000.000000,-25083000.000000,-0.850000,-0.850000,-0.850000,319107000.000000,,319107000.000000,360226813.000000,-5.000000,-5.274000,-26932000.000000,-0.884000,1.000000,92000.000000,1.000000,0.000000,0.000000,200596000.000000,,0.000000,162428000.000000,94776000.000000,67652000.000000,34380000.000000,16338000.000000,18042000.000000,62012000.000000,0.000000,115193000.000000,0.000000,0.000000,116139000.000000,-32291000.000000,-27195000.000000,-21836000.000000,0.000000,-25083000.000000,-25083000.000000,-25083000.000000,0.000000,0.000000,-272.641000,24856000.000000,-24764000.000000,4764000.000000,0.000000,1.557000,-6.966000,-5.996000,28953000.000000,0.000000,15.410000,27.541000,23.690000,47000.000000,-206996000.000000,92000.000000,92000.000000,17528000.000000,,,,,3665000.000000,7328000.000000,1.000000,32237496.000000,30465895.000000,30465895.000000,0.003000,353487000.000000,0.000000,0.000000,0.000000,11.603000
ARQ,2022-03-31,2022-05-12,2022-03-31,2022-Q1,230956000.000000,304263965.000000,2025-05-09,-1421000.000000,324926000.000000,,243047000.000000,81879000.000000,,9.185000,-6413000.000000,75970000.000000,75970000.000000,0.000000,-26338000.000000,20.101000,0.098000,16819000.000000,2037000.000000,14782000.000000,16819000.000000,3870000.000000,782000.000000,0.000000,0.000000,0.000000,-26338000.000000,-25556000.000000,-20.965000,-25556000.000000,-26338000.000000,-26338000.000000,-0.820000,-0.820000,-0.820000,296056000.000000,,296056000.000000,245112965.000000,-3.000000,-3.149000,-29963000.000000,-0.930000,1.000000,1219000.000000,1.000000,0.000000,0.000000,253684000.000000,,0.000000,208545000.000000,160183000.000000,48362000.000000,28870000.000000,12091000.000000,16779000.000000,-77031000.000000,0.000000,875000.000000,0.000000,0.000000,629000.000000,-54110000.000000,-47697000.000000,-23550000.000000,0.000000,-26338000.000000,-26338000.000000,-26338000.000000,0.000000,0.000000,-21.606000,27611000.000000,-26392000.000000,2681000.000000,0.000000,1.028000,-3.745000,-3.401000,32642000.000000,0.000000,9.420000,17.631000,17.595000,0.000000,-233334000.000000,1219000.000000,1219000.000000,19381000.000000,,,,,3955000.000000,8230000.000000,1.000000,32299784.000000,32232378.000000,32232378.000000,0.038000,324926000.000000,0.000000,0.000000,0.000000,10.081000
ARQ,2022-06-30,2022-08-11,2022-06-30,2022-Q2,232192000.000000,336776731.000000,2025-05-09,-1827000.000000,302936000.000000,,246523000.000000,56413000.000000,,8.431000,-2066000.000000,113484000.000000,113484000.000000,0.000000,-28086000.000000,17.202000,0.112000,16998000.000000,2596000.000000,14402000.000000,16998000.000000,3708000.000000,831000.000000,0.000000,0.000000,0.000000,-28086000.000000,-27255000.000000,-168.241000,-27255000.000000,-28086000.000000,-28086000.000000,-0.870000,-0.870000,-0.870000,272517000.000000,,272517000.000000,240290731.000000,-2.000000,-2.455000,-21970000.000000,-0.680000,1.000000,162000.000000,1.000000,0.000000,0.000000,192119000.000000,,0.000000,148136000.000000,127604000.000000,20532000.000000,30419000.000000,14331000.000000,16088000.000000,37514000.000000,0.000000,64000.000000,0.000000,0.000000,-50000.000000,57468000.000000,59534000.000000,-19904000.000000,0.000000,-28086000.000000,-28086000.000000,-28086000.000000,0.000000,0.000000,-173.370000,28588000.000000,-28426000.000000,3316000.000000,0.000000,1.236000,-3.310000,-3.095000,34918000.000000,0.000000,10.400000,118.625000,118.413000,0.000000,-261420000.000000,162000.000000,162000.000000,20422000.000000,,,,,4344000.000000,8166000.000000,1.000000,32382378.000000,32324392.000000,32324392.000000,0.005000,302936000.000000,0.000000,0.000000,0.000000,9.372000
ARQ,2022-09-30,2022-11-08,2022-09-30,2022-Q3,218914000.000000,262702186.000000,2025-05-09,-1851000.000000,280164000.000000,,232478000.000000,47686000.000000,,7.764000,-1964000.000000,108298000.000000,108298000.000000,0.000000,-25691000.000000,17.139000,0.114000,16552000.000000,2633000.000000,13919000.000000,16552000.000000,3208000.000000,879000.000000,0.000000,0.000000,0.000000,-25691000.000000,-24812000.000000,-49.624000,-24812000.000000,-25691000.000000,-25691000.000000,-0.790000,-0.790000,-0.790000,251444000.000000,,251444000.000000,170956186.000000,-2.000000,-1.696000,-22981000.000000,-0.710000,1.000000,500000.000000,1.000000,0.000000,0.000000,174854000.000000,,0.000000,130539000.000000,119417000.000000,11122000.000000,28720000.000000,13564000.000000,15156000.000000,-5186000.000000,0.000000,100000.000000,0.000000,0.000000,460000.000000,15371000.000000,17335000.000000,-21017000.000000,0.000000,-25691000.000000,-25691000.000000,-25691000.000000,0.000000,0.000000,-51.382000,26995000.000000,-26495000.000000,1480000.000000,0.000000,1.045000,-2.497000,-2.435000,35511000.000000,0.000000,8.110000,133.149000,133.122000,0.000000,-287111000.000000,500000.000000,500000.000000,18940000.000000,,,,,4542000.000000,8055000.000000,1.000000,32392378.000000,32385791.000000,32385791.000000,0.015000,280164000.000000,0.000000,0.000000,0.000000,8.651000
ARQ,2022-12-31,2023-03-15,2022-12-31,2022-Q4,204780000.000000,577280781.000000,2025-05-09,-1196000.000000,261846000.000000,,220511000.000000,41335000.000000,,7.120000,-1093000.000000,52351000.000000,52351000.000000,0.000000,-27379000.000000,14.018000,0.132000,16124000.000000,2655000.000000,13469000.000000,16124000.000000,1960000.000000,1388000.000000,0.000000,0.000000,0.000000,-27379000.000000,-25991000.000000,-20.843000,-25991000.000000,-27379000.000000,-27379000.000000,-0.840000,-0.840000,-0.840000,231337000.000000,,231337000.000000,541053781.000000,-5.000000,-5.222000,-23307000.000000,-0.717000,1.000000,1247000.000000,1.000000,0.000000,0.000000,209888000.000000,,0.000000,166111000.000000,161203000.000000,4908000.000000,30509000.000000,15731000.000000,14778000.000000,-55947000.000000,0.000000,2514000.000000,0.000000,0.000000,2046000.000000,-35779000.000000,-34686000.000000,-22214000.000000,0.000000,-27379000.000000,-27379000.000000,-27379000.000000,0.000000,0.000000,-21.956000,29967000.000000,-28720000.000000,3322000.000000,0.000000,2.495000,-5.370000,-5.232000,35347000.000000,0.000000,17.370000,184.494000,179.591000,0.000000,-314490000.000000,1247000.000000,1247000.000000,21500000.000000,,,,,4280000.000000,8467000.000000,1.000000,33234357.000000,32489662.000000,32489662.000000,0.038000,261846000.000000,0.000000,0.000000,0.000000,8.059000
