dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2013-12-31,2014-04-03,2013-12-31,2013-Q4,1076000.000000,,2025-05-01,0.000000,56278000.000000,,26369000.000000,29909000.000000,,-0.741000,,17748000.000000,17748000.000000,,,1.043000,-19.962000,30332000.000000,6379000.000000,23953000.000000,30332000.000000,4375000.000000,,0.000000,,0.000000,,,,,,,,,,-2968000.000000,,-2968000.000000,,,,,,1.000000,,,14863000.000000,,28706000.000000,,0.000000,0.000000,0.000000,0.000000,59246000.000000,25293000.000000,33953000.000000,,,,,,,,,,,,,,,,,,,4306000.000000,,,,,11607000.000000,,,,,6970000.000000,-90796000.000000,,,,,,,,,,1.000000,46047510.000000,4006000.000000,,,41415000.000000,0.000000,,5448000.000000,10.338000
ARQ,2014-03-31,2014-05-14,2014-03-31,2014-Q1,-1850000.000000,274014407.000000,2025-05-01,0.000000,69235000.000000,,38535000.000000,30700000.000000,,-1.604000,-71000.000000,29238000.000000,29238000.000000,13148000.000000,-8320000.000000,0.954000,-8.694000,48242000.000000,19444000.000000,28798000.000000,48242000.000000,4957000.000000,1592000.000000,0.000000,0.000000,0.000000,-7515000.000000,-5923000.000000,-0.244000,-5923000.000000,-7515000.000000,-8293000.000000,-1.480000,-1.480000,-1.480000,-8998000.000000,,-8998000.000000,293018407.000000,,,-6251000.000000,-1.115000,1.000000,11126000.000000,0.458000,14735000.000000,778000.000000,33119000.000000,,0.000000,0.000000,0.000000,0.000000,78233000.000000,40385000.000000,37848000.000000,11490000.000000,0.000000,556000.000000,18015000.000000,0.000000,17766000.000000,-96000.000000,0.000000,-6180000.000000,0.000000,-8320000.000000,-8320000.000000,-8320000.000000,0.000000,0.000000,-0.343000,20418000.000000,-9292000.000000,3753000.000000,0.000000,-30.453000,,,11179000.000000,0.000000,5.680000,,,6650000.000000,-99116000.000000,24274000.000000,24274000.000000,5225000.000000,,,,,1196000.000000,15193000.000000,1.000000,48241973.000000,5608000.000000,5608000.000000,4.328000,54500000.000000,0.000000,27000.000000,5825000.000000,9.718000
ARQ,2014-06-30,2014-08-05,2014-06-30,2014-Q2,60612000.000000,318567647.000000,2025-05-01,0.000000,128927000.000000,,101449000.000000,27478000.000000,,1.226000,-265000.000000,61577000.000000,61577000.000000,13469000.000000,-8659000.000000,2.484000,1.242000,47417000.000000,19815000.000000,27602000.000000,47417000.000000,5009000.000000,1699000.000000,0.000000,0.000000,0.000000,-7555000.000000,-5856000.000000,-0.237000,-5856000.000000,-7555000.000000,-8647000.000000,-0.180000,-0.180000,-0.180000,57517000.000000,,57517000.000000,304407647.000000,,,-8483000.000000,-0.181000,1.000000,11216000.000000,0.454000,14607000.000000,1092000.000000,59323000.000000,,0.000000,29995000.000000,29995000.000000,0.000000,71410000.000000,40837000.000000,30573000.000000,32339000.000000,0.000000,71608000.000000,-1598000.000000,0.000000,70815000.000000,-30258000.000000,-29993000.000000,-8218000.000000,0.000000,-8659000.000000,-8659000.000000,-8659000.000000,0.000000,0.000000,-0.351000,18743000.000000,-7527000.000000,3373000.000000,0.000000,5.539000,,,11521000.000000,0.000000,6.580000,,,7098000.000000,-107775000.000000,24685000.000000,24685000.000000,5554000.000000,,,,,1723000.000000,13189000.000000,1.000000,48414536.000000,46898000.000000,46898000.000000,0.526000,114320000.000000,0.000000,12000.000000,2485000.000000,2.438000
ARQ,2014-09-30,2014-11-07,2014-09-30,2014-Q3,51024000.000000,248306910.000000,2025-05-01,1000.000000,121874000.000000,,93939000.000000,27935000.000000,,0.997000,-142000.000000,53489000.000000,53489000.000000,13504000.000000,-11435000.000000,2.189000,1.531000,48625000.000000,20600000.000000,28025000.000000,48625000.000000,4991000.000000,1567000.000000,0.000000,0.000000,0.000000,-10306000.000000,-8739000.000000,-0.338000,-8739000.000000,-10306000.000000,-11422000.000000,-0.240000,-0.240000,-0.240000,48150000.000000,,48150000.000000,243442910.000000,,,-6503000.000000,-0.135000,1.000000,12365000.000000,0.478000,14479000.000000,1116000.000000,59616000.000000,,0.000000,29999000.000000,29999000.000000,0.000000,73724000.000000,42915000.000000,30809000.000000,-8088000.000000,0.000000,62000.000000,-1647000.000000,0.000000,-1585000.000000,-142000.000000,0.000000,-6361000.000000,0.000000,-11435000.000000,-11435000.000000,-11435000.000000,0.000000,0.000000,-0.442000,22766000.000000,-10401000.000000,2856000.000000,0.000000,5.157000,,,12117000.000000,0.000000,5.080000,,,7725000.000000,-119210000.000000,25869000.000000,25869000.000000,5503000.000000,,,,,1877000.000000,17263000.000000,1.000000,48879313.000000,48310000.000000,48310000.000000,0.535000,107395000.000000,0.000000,13000.000000,2437000.000000,2.223000
ARQ,2014-12-31,2015-03-10,2014-12-31,2014-Q4,56234000.000000,204760947.000000,2025-05-01,0.000000,116934000.000000,,88584000.000000,28350000.000000,,1.110000,-547000.000000,58289000.000000,58289000.000000,14540000.000000,-9372000.000000,2.738000,1.801000,47696000.000000,7995000.000000,39701000.000000,47696000.000000,5346000.000000,1605000.000000,0.000000,0.000000,0.000000,-8164000.000000,-6559000.000000,-0.232000,-6559000.000000,-8164000.000000,-9339000.000000,-0.160000,-0.160000,-0.160000,41753000.000000,,41753000.000000,194167947.000000,-6.000000,-7.171000,-4067000.000000,-0.108000,1.000000,13734000.000000,0.486000,14351000.000000,1175000.000000,59640000.000000,,0.000000,20000000.000000,20000000.000000,0.000000,75181000.000000,32350000.000000,42831000.000000,4800000.000000,0.000000,1105000.000000,-2239000.000000,0.000000,-1134000.000000,9454000.000000,10001000.000000,-3520000.000000,0.000000,-9372000.000000,-9372000.000000,-9372000.000000,0.000000,0.000000,-0.331000,22044000.000000,-8310000.000000,4179000.000000,0.000000,4.904000,-5.419000,-4.140000,12571000.000000,0.000000,4.140000,1.986000,1.510000,8335000.000000,-128582000.000000,28274000.000000,28274000.000000,5828000.000000,,,,,1957000.000000,16216000.000000,1.000000,49459166.000000,37604000.000000,37604000.000000,0.752000,102583000.000000,0.000000,33000.000000,2879000.000000,2.728000
ARQ,2015-03-31,2015-05-13,2015-03-31,2015-Q1,49498000.000000,275599152.000000,2025-05-01,-1000.000000,110046000.000000,,82534000.000000,27512000.000000,,0.712000,-198000.000000,50646000.000000,50646000.000000,14778000.000000,-8903000.000000,2.498000,2.126000,46753000.000000,7995000.000000,38758000.000000,46753000.000000,5641000.000000,1775000.000000,0.000000,0.000000,0.000000,-7746000.000000,-5971000.000000,-0.197000,-5971000.000000,-7746000.000000,-8885000.000000,-0.180000,-0.180000,-0.180000,35201000.000000,,35201000.000000,271706152.000000,-8.000000,-10.017000,-5951000.000000,-0.120000,1.000000,15496000.000000,0.512000,14223000.000000,1139000.000000,58894000.000000,,0.000000,19999000.000000,19999000.000000,0.000000,74845000.000000,33036000.000000,41809000.000000,-7643000.000000,0.000000,116000.000000,-2468000.000000,0.000000,-2352000.000000,462000.000000,0.000000,-5753000.000000,0.000000,-8903000.000000,-8903000.000000,-8903000.000000,0.000000,0.000000,-0.294000,23244000.000000,-7748000.000000,2541000.000000,0.000000,7.829000,-7.183000,-7.276000,12426000.000000,0.000000,5.530000,2.526000,2.506000,8719000.000000,-137485000.000000,30274000.000000,30274000.000000,6038000.000000,,,,,2235000.000000,17206000.000000,1.000000,49837098.000000,49433000.000000,49433000.000000,0.612000,95823000.000000,0.000000,18000.000000,3524000.000000,1.938000
ARQ,2015-06-30,2015-08-05,2015-06-30,2015-Q2,44835000.000000,240715501.000000,2025-05-01,0.000000,104579000.000000,,77811000.000000,26768000.000000,,0.612000,-216000.000000,65333000.000000,65333000.000000,14270000.000000,-7369000.000000,2.360000,2.420000,47739000.000000,9446000.000000,38293000.000000,47739000.000000,5525000.000000,1910000.000000,0.000000,0.000000,0.000000,-6234000.000000,-4324000.000000,-0.143000,-4324000.000000,-6234000.000000,-7389000.000000,-0.150000,-0.150000,-0.150000,30575000.000000,,30575000.000000,223121501.000000,-7.000000,-8.718000,-4173000.000000,-0.083000,1.000000,16004000.000000,0.529000,14095000.000000,1155000.000000,39914000.000000,,0.000000,0.000000,0.000000,0.000000,74004000.000000,32976000.000000,41028000.000000,14687000.000000,0.000000,913000.000000,-2199000.000000,0.000000,-1286000.000000,19930000.000000,20000000.000000,-3957000.000000,0.000000,-7369000.000000,-7369000.000000,-7369000.000000,0.000000,0.000000,-0.243000,22189000.000000,-6185000.000000,2766000.000000,0.000000,7.873000,-6.492000,-6.562000,11964000.000000,0.000000,4.790000,2.099000,2.087000,8250000.000000,-144854000.000000,30274000.000000,30274000.000000,5568000.000000,,,,,1830000.000000,16621000.000000,1.000000,50253758.000000,49980000.000000,49980000.000000,0.606000,90484000.000000,0.000000,-20000.000000,2926000.000000,1.810000
ARQ,2015-09-30,2015-11-04,2015-09-30,2015-Q3,38258000.000000,279793628.000000,2025-05-01,0.000000,98870000.000000,,71727000.000000,27143000.000000,,0.527000,-275000.000000,59501000.000000,59501000.000000,14812000.000000,-6048000.000000,2.143000,2.725000,46628000.000000,10358000.000000,36270000.000000,46628000.000000,5562000.000000,1840000.000000,0.000000,0.000000,0.000000,-4763000.000000,-2923000.000000,-0.091000,-2923000.000000,-4763000.000000,-5998000.000000,-0.120000,-0.120000,-0.120000,26542000.000000,,26542000.000000,266920628.000000,-10.000000,-13.497000,-3438000.000000,-0.068000,1.000000,17475000.000000,0.541000,13967000.000000,1235000.000000,38561000.000000,,0.000000,0.000000,0.000000,0.000000,72328000.000000,33469000.000000,38859000.000000,-5832000.000000,0.000000,70000.000000,-2464000.000000,0.000000,-2394000.000000,-275000.000000,0.000000,-3163000.000000,0.000000,-6048000.000000,-6048000.000000,-6048000.000000,0.000000,0.000000,-0.187000,22357000.000000,-4882000.000000,2865000.000000,0.000000,10.542000,-8.829000,-9.082000,12376000.000000,0.000000,5.540000,2.310000,2.304000,9309000.000000,-150902000.000000,32287000.000000,32287000.000000,5473000.000000,,,,,1945000.000000,16884000.000000,1.000000,50504265.000000,50369000.000000,50369000.000000,0.641000,84903000.000000,0.000000,50000.000000,2985000.000000,1.686000
ARQ,2015-12-31,2016-03-03,2015-12-31,2015-Q4,22712000.000000,419683438.000000,2025-05-01,0.000000,99233000.000000,,71235000.000000,27998000.000000,,0.518000,-427000.000000,58484000.000000,58484000.000000,15635000.000000,-3518000.000000,1.468000,2.776000,46617000.000000,24684000.000000,21933000.000000,46617000.000000,6413000.000000,1863000.000000,0.000000,0.000000,0.000000,-2307000.000000,-444000.000000,-0.012000,-444000.000000,-2307000.000000,-3505000.000000,-0.070000,-0.070000,-0.070000,26280000.000000,,26280000.000000,407816438.000000,-19.000000,-29.850000,-493000.000000,-0.010000,1.000000,20398000.000000,0.566000,13839000.000000,1198000.000000,25004000.000000,,0.000000,0.000000,0.000000,0.000000,72953000.000000,48523000.000000,24430000.000000,-1017000.000000,0.000000,1536000.000000,-2060000.000000,0.000000,-524000.000000,-427000.000000,0.000000,-66000.000000,0.000000,-3518000.000000,-3518000.000000,-3518000.000000,0.000000,0.000000,-0.098000,22733000.000000,-2335000.000000,2569000.000000,0.000000,15.970000,-16.243000,-15.750000,13225000.000000,0.000000,8.190000,3.257000,3.187000,10567000.000000,-154420000.000000,36033000.000000,36033000.000000,5580000.000000,,,,,1720000.000000,17153000.000000,1.000000,51243399.000000,50771000.000000,50771000.000000,0.710000,85394000.000000,0.000000,13000.000000,3177000.000000,1.682000
ARQ,2016-03-31,2016-05-10,2016-03-31,2016-Q1,21127000.000000,513101972.000000,2025-05-01,0.000000,101664000.000000,,74194000.000000,27470000.000000,,0.501000,-252000.000000,57767000.000000,57767000.000000,16610000.000000,-4911000.000000,1.398000,2.947000,45198000.000000,25060000.000000,20138000.000000,45198000.000000,7832000.000000,2103000.000000,0.000000,0.000000,0.000000,-3684000.000000,-1581000.000000,-0.042000,-1581000.000000,-3684000.000000,-4883000.000000,-0.100000,-0.100000,-0.100000,25759000.000000,,25759000.000000,500532972.000000,-29.000000,-53.983000,-200000.000000,-0.004000,1.000000,21405000.000000,0.563000,13711000.000000,1199000.000000,22317000.000000,,0.000000,0.000000,0.000000,0.000000,75905000.000000,53067000.000000,22838000.000000,-717000.000000,0.000000,2397000.000000,-2914000.000000,0.000000,-517000.000000,-252000.000000,0.000000,52000.000000,0.000000,-4911000.000000,-4911000.000000,-4911000.000000,0.000000,0.000000,-0.129000,25044000.000000,-3639000.000000,3376000.000000,0.000000,19.919000,-23.487000,-22.500000,12795000.000000,0.000000,9.900000,3.756000,3.723000,12528000.000000,-159331000.000000,38015000.000000,38015000.000000,5802000.000000,,,,,1994000.000000,19242000.000000,1.000000,51828482.000000,51377000.000000,51377000.000000,0.740000,87953000.000000,0.000000,28000.000000,3069000.000000,1.712000
