dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2006-12-31,2007-05-25,2006-12-31,2006-Q4,44813780.000000,,2025-05-02,14752.000000,59645574.000000,,55020324.000000,4625250.000000,,-105.325000,,12126581.000000,12126581.000000,,,5.391000,-1.769000,3563543.000000,1307451.000000,2256092.000000,3563543.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-77515434.000000,,-77515434.000000,,,,,,1.000000,,,0.000000,,40875992.000000,,0.000000,42572468.000000,42572468.000000,0.000000,137161008.000000,10206544.000000,126954464.000000,,,,,,,,,,,,,,,,,,,1195318.000000,,,,,4357912.000000,,,,,0.000000,-83667350.000000,,,,,,,,,,1.000000,22234426.000000,735967.000000,,,59645574.000000,0.000000,,0.000000,81.044000
ARQ,2007-06-30,2007-08-07,2007-06-30,2007-Q2,120190000.000000,255149201.000000,2025-05-02,113000.000000,131583000.000000,,127155000.000000,4428000.000000,,17.316000,,26494000.000000,26494000.000000,0.000000,-9396000.000000,18.256000,0.073000,3457000.000000,1504000.000000,1953000.000000,3457000.000000,0.000000,,0.000000,0.000000,0.000000,-9310000.000000,,,,-9310000.000000,-9396000.000000,-1.370000,-1.370000,-1.370000,122665000.000000,,122665000.000000,232112201.000000,,,,,1.000000,0.000000,,0.000000,86000.000000,101581000.000000,,0.000000,99229000.000000,99229000.000000,0.000000,8918000.000000,6965000.000000,1953000.000000,,,,,,,,,,,-9396000.000000,-9706000.000000,-9706000.000000,0.000000,0.000000,,10284000.000000,-10284000.000000,338000.000000,0.000000,2.080000,,,4161000.000000,310000.000000,11.450000,,,0.000000,-102758000.000000,0.000000,0.000000,6783000.000000,,,,,,3189000.000000,1.000000,22283773.000000,7083748.000000,7083748.000000,0.000000,131583000.000000,0.000000,0.000000,0.000000,18.575000
ARQ,2007-09-30,2007-10-31,2007-09-30,2007-Q3,111082000.000000,368005668.000000,2025-05-02,220000.000000,124833000.000000,,120653000.000000,4180000.000000,,5.100000,-67000.000000,19933000.000000,19933000.000000,0.000000,-10303000.000000,12.606000,0.098000,3094000.000000,1521000.000000,1573000.000000,3094000.000000,0.000000,315000.000000,0.000000,0.000000,0.000000,-10213000.000000,-9898000.000000,,-9898000.000000,-10213000.000000,-10303000.000000,-0.460000,-0.460000,-0.460000,113689000.000000,,113689000.000000,351166668.000000,,,-6171000.000000,-0.277000,1.000000,0.000000,,0.000000,90000.000000,98423000.000000,,0.000000,99475000.000000,99475000.000000,0.000000,11144000.000000,9571000.000000,1573000.000000,-6561000.000000,0.000000,112000.000000,-364000.000000,0.000000,-252000.000000,-205000.000000,-138000.000000,-6104000.000000,0.000000,-10303000.000000,-10303000.000000,-10303000.000000,0.000000,0.000000,,11806000.000000,-11806000.000000,535000.000000,0.000000,3.237000,,,3913000.000000,0.000000,16.460000,,,0.000000,-113061000.000000,0.000000,0.000000,7537000.000000,,,,,1108000.000000,3954000.000000,1.000000,22357574.000000,22291832.000000,22291832.000000,0.000000,124833000.000000,0.000000,0.000000,0.000000,5.600000
ARQ,2007-12-31,2008-02-08,2007-12-31,2007-Q4,147247000.000000,225215443.000000,2025-05-02,408000.000000,167097000.000000,,163040000.000000,4057000.000000,,7.804000,-190000.000000,44188000.000000,44188000.000000,0.000000,-11773000.000000,10.324000,0.618000,2721000.000000,1527000.000000,1194000.000000,2721000.000000,50614000.000000,313000.000000,0.000000,0.000000,0.000000,-11694000.000000,-11381000.000000,-6.379000,-11381000.000000,-11694000.000000,-11773000.000000,-0.220000,-0.220000,-0.220000,103297000.000000,,103297000.000000,183748443.000000,-5.000000,-4.642000,42222000.000000,3.190000,1.000000,1784000.000000,1.000000,0.000000,79000.000000,109837000.000000,,0.000000,117339000.000000,117339000.000000,0.000000,63800000.000000,15793000.000000,48007000.000000,24255000.000000,0.000000,81000.000000,-372000.000000,0.000000,-291000.000000,-17866000.000000,-17676000.000000,42412000.000000,0.000000,-11773000.000000,-11773000.000000,-11773000.000000,0.000000,0.000000,-6.599000,15267000.000000,-13483000.000000,530000.000000,0.000000,2.180000,-5.425000,-3.197000,3790000.000000,0.000000,10.040000,126.242000,74.488000,0.000000,-124834000.000000,1784000.000000,1784000.000000,9670000.000000,,,,,1111000.000000,5284000.000000,1.000000,22431817.000000,13235755.000000,13235755.000000,0.135000,167097000.000000,0.000000,0.000000,0.000000,12.625000
ARQ,2008-03-31,2008-05-14,2008-03-31,2008-Q1,140824000.000000,242105727.000000,2025-05-02,930000.000000,159532000.000000,,155634000.000000,3898000.000000,,4.358000,-162000.000000,18203000.000000,18203000.000000,0.000000,-7731000.000000,10.509000,0.633000,2338000.000000,1420000.000000,918000.000000,2338000.000000,50731000.000000,321000.000000,0.000000,0.000000,0.000000,-7586000.000000,-7265000.000000,-2.299000,-7265000.000000,-7586000.000000,-7656000.000000,-0.340000,-0.340000,-0.340000,97685000.000000,,97685000.000000,226240727.000000,-6.000000,,-7358000.000000,-0.328000,1.000000,3160000.000000,1.000000,0.000000,70000.000000,128857000.000000,,0.000000,136355000.000000,136355000.000000,0.000000,61847000.000000,14810000.000000,47037000.000000,-25985000.000000,0.000000,250000.000000,-383000.000000,0.000000,-133000.000000,-18656000.000000,-18494000.000000,-7196000.000000,0.000000,-7731000.000000,-7731000.000000,-7731000.000000,0.000000,0.000000,-2.447000,12448000.000000,-9288000.000000,1050000.000000,0.000000,2.478000,-6.127000,-4.498000,3631000.000000,0.000000,10.750000,48.970000,48.733000,0.000000,-132565000.000000,3160000.000000,3160000.000000,6941000.000000,,,,,1347000.000000,5186000.000000,1.000000,22521463.000000,22412689.000000,22412689.000000,0.141000,159532000.000000,0.000000,75000.000000,0.000000,7.118000
ARQ,2008-06-30,2008-08-08,2008-06-30,2008-Q2,131323000.000000,379282001.000000,2025-05-02,318000.000000,151083000.000000,,146621000.000000,4462000.000000,,3.991000,-897000.000000,12315000.000000,12315000.000000,0.000000,-9294000.000000,9.584000,0.685000,1953000.000000,1258000.000000,695000.000000,1953000.000000,48719000.000000,332000.000000,0.000000,0.000000,0.000000,-9160000.000000,-8828000.000000,-2.319000,-8828000.000000,-9160000.000000,-9219000.000000,-0.410000,-0.410000,-0.410000,89666000.000000,,89666000.000000,368920001.000000,-10.000000,-9.872000,-8641000.000000,-0.385000,1.000000,3807000.000000,1.000000,0.000000,59000.000000,125423000.000000,,0.000000,132635000.000000,132635000.000000,0.000000,61417000.000000,15298000.000000,46119000.000000,-5888000.000000,0.000000,31000.000000,-385000.000000,0.000000,-354000.000000,2210000.000000,3107000.000000,-7744000.000000,0.000000,-9294000.000000,-9294000.000000,-9294000.000000,0.000000,0.000000,-2.441000,14298000.000000,-10491000.000000,10745000.000000,0.000000,4.230000,-9.700000,-11.762000,4195000.000000,0.000000,16.820000,43.342000,43.183000,0.000000,-141859000.000000,3807000.000000,3807000.000000,8848000.000000,,,,,1856000.000000,5118000.000000,1.000000,22549465.000000,22467198.000000,22467198.000000,0.169000,151083000.000000,0.000000,75000.000000,0.000000,6.725000
ARQ,2008-09-30,2008-11-04,2008-09-30,2008-Q3,123308000.000000,239524909.000000,2025-05-02,68000.000000,143165000.000000,,138245000.000000,4920000.000000,,3.687000,-604000.000000,19855000.000000,19855000.000000,0.000000,-8180000.000000,9.255000,0.725000,1573000.000000,1090000.000000,483000.000000,1573000.000000,48773000.000000,383000.000000,0.000000,0.000000,0.000000,-8281000.000000,-7898000.000000,-2.162000,-7898000.000000,-8281000.000000,-8330000.000000,-0.360000,-0.360000,-0.360000,83015000.000000,,83015000.000000,221242909.000000,-6.000000,-6.255000,-8229000.000000,-0.365000,1.000000,3653000.000000,1.000000,0.000000,49000.000000,109946000.000000,,0.000000,116400000.000000,116400000.000000,0.000000,60150000.000000,14937000.000000,45213000.000000,7540000.000000,0.000000,163000.000000,-380000.000000,0.000000,-217000.000000,15382000.000000,15986000.000000,-7625000.000000,0.000000,-8180000.000000,-8180000.000000,-8180000.000000,0.000000,0.000000,-2.239000,12953000.000000,-9300000.000000,9804000.000000,0.000000,2.885000,-6.477000,-7.977000,4416000.000000,0.000000,10.610000,19.310000,19.261000,0.000000,-150039000.000000,3653000.000000,3653000.000000,8200000.000000,,,,,1616000.000000,4371000.000000,1.000000,22575392.000000,22517431.000000,22517431.000000,0.162000,143165000.000000,0.000000,-150000.000000,0.000000,6.358000
ARQ,2008-12-31,2009-02-06,2008-12-31,2008-Q4,110209000.000000,277826125.000000,2025-05-02,533000.000000,128773000.000000,,123587000.000000,5186000.000000,,3.147000,-1004000.000000,28073000.000000,28073000.000000,0.000000,-14150000.000000,9.238000,0.813000,1194000.000000,877000.000000,317000.000000,1194000.000000,47740000.000000,457000.000000,0.000000,0.000000,0.000000,-14111000.000000,-13654000.000000,-3.142000,-13654000.000000,-14111000.000000,-14150000.000000,-0.630000,-0.630000,-0.630000,71043000.000000,,71043000.000000,250947125.000000,-6.000000,-6.666000,-15302000.000000,-0.678000,1.000000,4345000.000000,1.000000,0.000000,39000.000000,88516000.000000,,0.000000,93051000.000000,93051000.000000,0.000000,57730000.000000,13378000.000000,44352000.000000,8218000.000000,0.000000,86000.000000,-380000.000000,0.000000,-294000.000000,22810000.000000,23814000.000000,-14298000.000000,0.000000,-14150000.000000,-14150000.000000,-14150000.000000,0.000000,0.000000,-3.257000,19222000.000000,-14877000.000000,8796000.000000,0.000000,3.911000,-7.059000,-7.011000,4919000.000000,0.000000,12.270000,18.563000,18.440000,0.000000,-164189000.000000,4345000.000000,4345000.000000,13775000.000000,,,,,1627000.000000,4990000.000000,1.000000,22642716.000000,22577269.000000,22577269.000000,0.192000,128773000.000000,0.000000,0.000000,0.000000,5.704000
ARQ,2009-03-31,2009-05-08,2009-03-31,2009-Q1,98478000.000000,173900805.000000,2025-05-02,234000.000000,116375000.000000,,111032000.000000,5343000.000000,,2.665000,-665000.000000,23242000.000000,23242000.000000,0.000000,-12472000.000000,8.844000,0.931000,918000.000000,695000.000000,223000.000000,918000.000000,46517000.000000,505000.000000,0.000000,0.000000,0.000000,-12443000.000000,-11938000.000000,-2.592000,-11938000.000000,-12443000.000000,-12472000.000000,-0.550000,-0.550000,-0.550000,60257000.000000,,60257000.000000,151576805.000000,-3.000000,-3.582000,-11515000.000000,-0.509000,1.000000,4606000.000000,1.000000,0.000000,29000.000000,81497000.000000,,0.000000,85806000.000000,85806000.000000,0.000000,56118000.000000,12554000.000000,43564000.000000,-4831000.000000,0.000000,14000.000000,-276000.000000,0.000000,-262000.000000,6281000.000000,6946000.000000,-10850000.000000,0.000000,-12472000.000000,-12472000.000000,-12472000.000000,0.000000,0.000000,-2.708000,17575000.000000,-12969000.000000,8683000.000000,0.000000,2.886000,-3.944000,-3.938000,5076000.000000,0.000000,7.680000,10.597000,10.583000,0.000000,-176661000.000000,4606000.000000,4606000.000000,11875000.000000,,,,,1972000.000000,5195000.000000,1.000000,22643334.000000,22613850.000000,22613850.000000,0.204000,116375000.000000,0.000000,0.000000,0.000000,5.146000
ARQ,2009-06-30,2009-08-06,2009-06-30,2009-Q2,87846000.000000,228016863.000000,2025-05-02,145000.000000,108676000.000000,,103083000.000000,5593000.000000,,2.151000,-775000.000000,15760000.000000,15760000.000000,0.000000,-13623000.000000,6.765000,1.234000,3622000.000000,1471000.000000,2151000.000000,3622000.000000,45425000.000000,519000.000000,0.000000,0.000000,0.000000,-13582000.000000,-13063000.000000,-2.437000,-13063000.000000,-13582000.000000,-13623000.000000,-0.600000,-0.600000,-0.600000,48641000.000000,,48641000.000000,215878863.000000,-4.000000,-4.637000,-11230000.000000,-0.497000,1.000000,5361000.000000,1.000000,0.000000,41000.000000,81301000.000000,,0.000000,84670000.000000,84670000.000000,0.000000,60035000.000000,15237000.000000,44798000.000000,-7482000.000000,0.000000,-3000.000000,2704000.000000,0.000000,2701000.000000,272000.000000,1047000.000000,-10455000.000000,0.000000,-13623000.000000,-13623000.000000,-13623000.000000,0.000000,0.000000,-2.541000,19212000.000000,-13851000.000000,10988000.000000,0.000000,4.688000,-4.709000,-4.706000,5326000.000000,0.000000,10.070000,12.692000,12.678000,0.000000,-190283000.000000,5361000.000000,5361000.000000,13470000.000000,,,,,2097000.000000,5223000.000000,1.000000,22643184.000000,22618026.000000,22618026.000000,0.237000,108676000.000000,0.000000,0.000000,0.000000,4.805000
