dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2019-03-31,2019-05-06,2019-03-31,2019-Q1,74333000.000000,,2025-05-08,20000.000000,163735000.000000,,107036000.000000,56699000.000000,,-5.283000,-4784000.000000,21355000.000000,21355000.000000,19718000.000000,-9727000.000000,3.273000,-0.582000,52226000.000000,12785000.000000,39441000.000000,52226000.000000,0.000000,3738000.000000,0.000000,,0.000000,-8437000.000000,-4699000.000000,-0.103000,-4699000.000000,-8437000.000000,-9672000.000000,-0.380000,-0.380000,-0.380000,-133598000.000000,,-133598000.000000,,,,-14867000.000000,-0.588000,1.000000,25838000.000000,0.567000,957000.000000,1235000.000000,160946000.000000,,0.000000,45769000.000000,45769000.000000,0.000000,77749000.000000,32703000.000000,45046000.000000,-15608000.000000,0.000000,889000.000000,-2812000.000000,0.000000,-1923000.000000,-3594000.000000,1190000.000000,-10083000.000000,-8000.000000,-9727000.000000,-9727000.000000,-9727000.000000,0.000000,0.000000,-0.214000,33915000.000000,-8077000.000000,3918000.000000,0.000000,,,,47365000.000000,0.000000,,,,28713000.000000,-150186000.000000,45556000.000000,45556000.000000,10176000.000000,,,,,1467000.000000,23739000.000000,1.000000,90688554.000000,25289863.000000,25289863.000000,1.801000,162778000.000000,0.000000,55000.000000,0.000000,6.436000
ARQ,2019-06-30,2019-08-09,2019-06-30,2019-Q2,221088000.000000,1616103302.000000,2025-05-08,13000.000000,356376000.000000,,286353000.000000,70023000.000000,,4.472000,-4445000.000000,213463000.000000,213463000.000000,20784000.000000,-15587000.000000,4.388000,0.333000,50700000.000000,32822000.000000,17878000.000000,50700000.000000,0.000000,3886000.000000,0.000000,0.000000,0.000000,-12516000.000000,-8630000.000000,-0.187000,-8630000.000000,-12516000.000000,-15505000.000000,-0.260000,-0.260000,-0.260000,267322000.000000,,267322000.000000,1453340302.000000,,,-10010000.000000,-0.167000,1.000000,25389000.000000,0.550000,1557000.000000,2989000.000000,126791000.000000,,0.000000,32156000.000000,32156000.000000,0.000000,89054000.000000,65265000.000000,23789000.000000,192195000.000000,0.000000,195481000.000000,-2778000.000000,0.000000,189050000.000000,8701000.000000,13782000.000000,-5565000.000000,9000.000000,-15587000.000000,-15587000.000000,-15587000.000000,0.000000,0.000000,-0.338000,37070000.000000,-11681000.000000,5753000.000000,0.000000,6.046000,,,55610000.000000,0.000000,17.290000,,,28542000.000000,-165773000.000000,46173000.000000,46173000.000000,11244000.000000,,,,,2243000.000000,25826000.000000,1.000000,93470405.000000,59781000.000000,59781000.000000,0.772000,354819000.000000,0.000000,82000.000000,0.000000,5.935000
ARQ,2019-09-30,2019-11-08,2019-09-30,2019-Q3,210555000.000000,1749467480.000000,2025-05-08,-22000.000000,327320000.000000,,255932000.000000,71388000.000000,,2.782000,-4389000.000000,54706000.000000,54706000.000000,22292000.000000,-12163000.000000,5.640000,0.262000,29050000.000000,13505000.000000,15545000.000000,29050000.000000,0.000000,4069000.000000,0.000000,0.000000,0.000000,-11496000.000000,-7427000.000000,-0.149000,-7427000.000000,-11496000.000000,-12117000.000000,-0.130000,-0.130000,-0.130000,259415000.000000,,259415000.000000,1723811480.000000,,,-16984000.000000,-0.182000,1.000000,27505000.000000,0.552000,1509000.000000,621000.000000,254778000.000000,,0.000000,153098000.000000,153098000.000000,0.000000,67905000.000000,45377000.000000,22528000.000000,-158757000.000000,0.000000,2619000.000000,-22729000.000000,0.000000,-20909000.000000,-125264000.000000,-120875000.000000,-12595000.000000,11000.000000,-12163000.000000,-12163000.000000,-12163000.000000,0.000000,0.000000,-0.244000,40264000.000000,-12759000.000000,6796000.000000,0.000000,6.744000,,,56640000.000000,0.000000,18.680000,,,33905000.000000,-177936000.000000,49797000.000000,49797000.000000,12121000.000000,,,,,3840000.000000,28143000.000000,1.000000,93654576.000000,93240000.000000,93240000.000000,0.534000,325811000.000000,0.000000,46000.000000,0.000000,3.494000
ARQ,2019-12-31,2020-03-04,2019-12-31,2019-Q4,212202000.000000,2057055000.000000,2025-05-08,196000.000000,320969000.000000,,249323000.000000,71646000.000000,,3.770000,-5847000.000000,86229000.000000,86229000.000000,25528000.000000,-14073000.000000,6.716000,0.246000,29630000.000000,4472000.000000,25158000.000000,29630000.000000,0.000000,4860000.000000,0.000000,0.000000,0.000000,-13373000.000000,-8513000.000000,-0.144000,-8513000.000000,-13373000.000000,-13764000.000000,-0.120000,-0.120000,-0.120000,257652000.000000,,257652000.000000,2000456000.000000,-44.000000,-68.347000,-8907000.000000,-0.130000,1.000000,33408000.000000,0.567000,1497000.000000,391000.000000,225752000.000000,,0.000000,114967000.000000,114967000.000000,0.000000,63317000.000000,37121000.000000,26196000.000000,31436000.000000,0.000000,5022000.000000,-2075000.000000,0.000000,1930000.000000,32479000.000000,38325000.000000,-3060000.000000,87000.000000,-14073000.000000,-14073000.000000,-14073000.000000,0.000000,0.000000,-0.239000,47439000.000000,-14031000.000000,4602000.000000,0.000000,7.984000,-39.904000,-28.600000,60037000.000000,0.000000,21.450000,10.262000,7.314000,37136000.000000,-192009000.000000,58936000.000000,58936000.000000,12951000.000000,,,,,4595000.000000,34488000.000000,1.000000,95900000.000000,68350000.000000,68350000.000000,0.862000,319472000.000000,0.000000,309000.000000,0.000000,4.674000
ARQ,2020-03-31,2020-05-08,2020-03-31,2020-Q1,201432000.000000,3351240000.000000,2025-05-08,687000.000000,323846000.000000,,241828000.000000,82018000.000000,,2.684000,-11658000.000000,92588000.000000,92588000.000000,27265000.000000,-11990000.000000,5.986000,0.265000,31334000.000000,5291000.000000,26043000.000000,31334000.000000,0.000000,4715000.000000,0.000000,0.000000,0.000000,-10855000.000000,-6140000.000000,-0.098000,-6140000.000000,-10855000.000000,-11171000.000000,-0.130000,-0.130000,-0.130000,256050000.000000,,256050000.000000,3289986000.000000,-68.000000,-107.131000,-18844000.000000,-0.198000,1.000000,35659000.000000,0.567000,1437000.000000,316000.000000,220759000.000000,,0.000000,94084000.000000,94084000.000000,0.000000,67796000.000000,40396000.000000,27400000.000000,6359000.000000,0.000000,5307000.000000,-1541000.000000,0.000000,3766000.000000,9742000.000000,21400000.000000,-7186000.000000,37000.000000,-11990000.000000,-11990000.000000,-11990000.000000,0.000000,0.000000,-0.191000,47635000.000000,-11976000.000000,9457000.000000,0.000000,13.088000,-62.276000,-54.375000,69069000.000000,0.000000,34.800000,15.385000,15.241000,43017000.000000,-203999000.000000,62924000.000000,62924000.000000,14298000.000000,,,,,6329000.000000,33337000.000000,1.000000,96300000.000000,95401000.000000,95401000.000000,0.660000,322409000.000000,0.000000,819000.000000,0.000000,3.380000
ARQ,2020-06-30,2020-08-07,2020-06-30,2020-Q2,487109000.000000,8345516000.000000,2025-05-08,385000.000000,607864000.000000,,525417000.000000,82447000.000000,,5.431000,-3073000.000000,327505000.000000,327505000.000000,29697000.000000,-14460000.000000,13.716000,0.121000,30046000.000000,5188000.000000,24858000.000000,30046000.000000,0.000000,4729000.000000,0.000000,0.000000,0.000000,-14113000.000000,-9384000.000000,-0.126000,-9384000.000000,-14113000.000000,-14484000.000000,-0.140000,-0.140000,-0.140000,542165000.000000,,542165000.000000,8048057000.000000,-161.000000,-255.786000,-11854000.000000,-0.119000,1.000000,44966000.000000,0.602000,3211000.000000,371000.000000,268886000.000000,,0.000000,126607000.000000,126607000.000000,0.000000,65699000.000000,38308000.000000,27391000.000000,234917000.000000,0.000000,282584000.000000,-1050000.000000,0.000000,281361000.000000,-37570000.000000,-32686000.000000,-8781000.000000,-93000.000000,-14460000.000000,-14460000.000000,-14460000.000000,0.000000,0.000000,-0.194000,59404000.000000,-14438000.000000,6087000.000000,0.000000,15.393000,-158.401000,-152.558000,65836000.000000,0.000000,79.330000,33.881000,32.153000,58331000.000000,-218459000.000000,74663000.000000,74663000.000000,16655000.000000,,,,,16281000.000000,42749000.000000,1.000000,105200000.000000,99835000.000000,99835000.000000,0.748000,604653000.000000,0.000000,-24000.000000,0.000000,6.057000
ARQ,2020-09-30,2020-11-06,2020-09-30,2020-Q3,463272000.000000,8334305000.000000,2025-05-08,124000.000000,631518000.000000,,529719000.000000,101799000.000000,,5.051000,-13644000.000000,380055000.000000,380055000.000000,29292000.000000,-23778000.000000,7.972000,0.180000,32067000.000000,6060000.000000,26007000.000000,32067000.000000,0.000000,4967000.000000,0.000000,0.000000,0.000000,-23032000.000000,-18065000.000000,-0.256000,-18065000.000000,-23032000.000000,-23442000.000000,-0.220000,-0.220000,-0.220000,535120000.000000,,535120000.000000,7986317000.000000,-130.000000,-189.690000,13556000.000000,0.128000,1.000000,41346000.000000,0.585000,3154000.000000,410000.000000,213929000.000000,,0.000000,92302000.000000,92302000.000000,0.000000,96398000.000000,66447000.000000,29951000.000000,52550000.000000,0.000000,6164000.000000,-469000.000000,0.000000,5193000.000000,20240000.000000,33884000.000000,27200000.000000,-83000.000000,-23778000.000000,-23778000.000000,-23778000.000000,0.000000,0.000000,-0.337000,64800000.000000,-23454000.000000,12273000.000000,0.000000,15.575000,-129.614000,-120.377000,83498000.000000,0.000000,73.430000,31.196000,29.118000,42593000.000000,-242237000.000000,70638000.000000,70638000.000000,18271000.000000,,,,,12142000.000000,46529000.000000,1.000000,113500000.000000,105942000.000000,105942000.000000,0.667000,628364000.000000,0.000000,336000.000000,0.000000,5.931000
ARQ,2020-12-31,2021-03-01,2020-12-31,2020-Q4,167167000.000000,8852850000.000000,2025-05-08,6000.000000,1219951000.000000,,261256000.000000,958695000.000000,,9.400000,-6750000.000000,62987000.000000,62987000.000000,33753000.000000,-45704000.000000,2.777000,0.149000,90525000.000000,30928000.000000,59597000.000000,90525000.000000,0.000000,32411000.000000,0.000000,0.000000,0.000000,-57863000.000000,-25452000.000000,-0.308000,-25452000.000000,-57863000.000000,-58315000.000000,-0.430000,-0.430000,-0.430000,1061865000.000000,,1061865000.000000,8880388000.000000,-84.000000,-150.411000,-37899000.000000,-0.335000,1.000000,48896000.000000,0.592000,757332000.000000,452000.000000,396068000.000000,,0.000000,131283000.000000,131283000.000000,0.000000,158086000.000000,94089000.000000,63997000.000000,-316175000.000000,-200988000.000000,5432000.000000,-23013000.000000,0.000000,-17581000.000000,-267435000.000000,-59697000.000000,-31149000.000000,-10000.000000,-45704000.000000,-45704000.000000,-45704000.000000,0.000000,0.000000,-0.553000,106240000.000000,-57344000.000000,9150000.000000,0.000000,8.337000,-92.283000,-83.065000,155998000.000000,0.000000,77.250000,30.435000,27.501000,50258000.000000,-288193000.000000,82649000.000000,82649000.000000,25590000.000000,,,,,29681000.000000,80650000.000000,1.000000,114600000.000000,112969000.000000,112969000.000000,0.732000,462619000.000000,0.000000,-12611000.000000,0.000000,4.095000
ARQ,2021-03-31,2021-05-07,2021-03-31,2021-Q1,1069138000.000000,4845516000.000000,2025-05-08,-137000.000000,2138294000.000000,,1167434000.000000,970860000.000000,,9.156000,-9068000.000000,948870000.000000,948870000.000000,37494000.000000,-50683000.000000,11.877000,1.046000,1022365000.000000,30921000.000000,991444000.000000,1022365000.000000,0.000000,18139000.000000,0.000000,0.000000,0.000000,-49853000.000000,-31714000.000000,-0.374000,-31714000.000000,-49853000.000000,-50514000.000000,-0.440000,-0.440000,-0.440000,1045034000.000000,,1045034000.000000,4919011000.000000,-34.000000,-58.134000,-19937000.000000,-0.175000,1.000000,47358000.000000,0.558000,752024000.000000,661000.000000,1361469000.000000,,0.000000,147793000.000000,147793000.000000,0.000000,1093260000.000000,98296000.000000,994964000.000000,885883000.000000,0.000000,5790000.000000,926473000.000000,0.000000,932263000.000000,-35399000.000000,-26331000.000000,-10869000.000000,-112000.000000,-50683000.000000,-50683000.000000,-50683000.000000,0.000000,0.000000,-0.597000,97321000.000000,-49963000.000000,12019000.000000,0.000000,4.637000,-35.993000,-34.049000,161913000.000000,0.000000,41.880000,15.491000,15.281000,52363000.000000,-338876000.000000,84852000.000000,84852000.000000,28988000.000000,,,,,30838000.000000,68333000.000000,1.000000,115700000.000000,114134000.000000,114134000.000000,0.743000,1386270000.000000,0.000000,169000.000000,0.000000,12.146000
ARQ,2021-06-30,2021-08-06,2021-06-30,2021-Q2,905072000.000000,4808584000.000000,2025-05-08,-261000.000000,2136871000.000000,,1008104000.000000,1128767000.000000,,8.923000,-4625000.000000,688073000.000000,688073000.000000,40320000.000000,-58295000.000000,9.784000,1.076000,1032733000.000000,34486000.000000,998247000.000000,1032733000.000000,0.000000,18487000.000000,0.000000,0.000000,0.000000,-57014000.000000,-38527000.000000,-0.453000,-38527000.000000,-57014000.000000,-58450000.000000,-0.510000,-0.510000,-0.510000,1029090000.000000,,1029090000.000000,5153244000.000000,-27.000000,-45.300000,-21639000.000000,-0.188000,1.000000,44706000.000000,0.526000,748861000.000000,1436000.000000,1629638000.000000,,0.000000,414971000.000000,241744000.000000,173227000.000000,1107781000.000000,103032000.000000,1004749000.000000,-260797000.000000,0.000000,4379000.000000,-3628000.000000,0.000000,751000.000000,-244505000.000000,-237787000.000000,-17014000.000000,-29000.000000,-58295000.000000,-58295000.000000,-58295000.000000,0.000000,0.000000,-0.686000,102174000.000000,-57468000.000000,10202000.000000,0.000000,4.673000,-26.945000,-25.775000,179101000.000000,0.000000,41.240000,14.880000,14.717000,56065000.000000,-397171000.000000,85026000.000000,85026000.000000,30346000.000000,,,,,33426000.000000,71828000.000000,1.000000,116600000.000000,115326000.000000,115326000.000000,0.737000,1388010000.000000,0.000000,-155000.000000,0.000000,12.036000
