ACCESSIONNUMBER	FILE_NUM	FILING_DATE	SIC_CODE	SCHEMAVERSION	SUBMISSIONTYPE	TESTORLIVE	OVER100PERSONSFLAG	OVER100ISSUERFLAG
0000897069-22-000555	021-204641               	30-SEP-2022		X0708	D/A	LIVE		
0001949191-22-000002	021-460465               	30-SEP-2022		X0708	D	LIVE		
0001948998-22-000002	021-460464               	30-SEP-2022		X0708	D	LIVE		
0000897069-22-000554	021-113003               	30-SEP-2022		X0708	D/A	LIVE		
0001948612-22-000001	021-460463               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005746	021-415258               	30-SEP-2022		X0708	D/A	LIVE		
0001493152-22-027307	021-376703               	30-SEP-2022		X0708	D/A	LIVE		
0001949037-22-000002	021-460462               	30-SEP-2022		X0708	D	LIVE		
0001948952-22-000001	021-460461               	30-SEP-2022		X0708	D	LIVE		
0001931058-22-000001	021-460460               	30-SEP-2022		X0708	D	LIVE		
0000945621-22-000331	021-322902               	30-SEP-2022		X0708	D/A	LIVE		
0001104659-22-104671	021-431401               	30-SEP-2022		X0708	D/A	LIVE		
0001949182-22-000002	021-460459               	30-SEP-2022		X0708	D	LIVE		
0001946549-22-000002	021-460458               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005744	021-415256               	30-SEP-2022		X0708	D/A	LIVE		
0001873986-22-000005	021-415225               	30-SEP-2022		X0708	D/A	LIVE		
0001873986-22-000004	021-415226               	30-SEP-2022		X0708	D/A	LIVE		
0001873986-22-000003	021-415227               	30-SEP-2022		X0708	D/A	LIVE		
0001949065-22-000002	021-460457               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005742	021-415250               	30-SEP-2022		X0708	D/A	LIVE		
0001896403-22-000001	021-426224               	30-SEP-2022		X0708	D/A	LIVE		
0001949139-22-000001	021-460456               	30-SEP-2022		X0708	D	LIVE		
0001942032-22-000001	021-460455               	30-SEP-2022		X0708	D	LIVE		
0001944073-22-000001	021-460454               	30-SEP-2022		X0708	D	LIVE		
0001946549-22-000001	021-460453               	30-SEP-2022		X0708	D	LIVE		
0001948983-22-000002	021-460452               	30-SEP-2022		X0708	D	LIVE		
0001636220-22-000001	021-460451               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005740	021-415252               	30-SEP-2022		X0708	D/A	LIVE		
0001755755-22-000005	021-411267               	30-SEP-2022		X0708	D/A	LIVE		
0001878726-22-000004	021-421503               	30-SEP-2022		X0708	D/A	LIVE		
0001755755-22-000004	021-411265               	30-SEP-2022		X0708	D/A	LIVE		
0001946315-22-000003	021-460450               	30-SEP-2022		X0708	D	LIVE		
0001932107-22-000001	021-460449               	30-SEP-2022		X0708	D	LIVE		
0001755755-22-000003	021-325760               	30-SEP-2022		X0708	D/A	LIVE		
0001946407-22-000001	021-460448               	30-SEP-2022		X0708	D	LIVE		
0001755755-22-000002	021-411256               	30-SEP-2022	6798	X0708	D/A	LIVE		
0001755755-22-000001	021-411251               	30-SEP-2022	6798	X0708	D/A	LIVE		
0001635434-22-000003	021-460447               	30-SEP-2022		X0708	D	LIVE		
0001948988-22-000002	021-460446               	30-SEP-2022		X0708	D	LIVE		
0001013594-22-000619	021-460445               	30-SEP-2022		X0708	D	LIVE		
0001905940-22-000002	021-460444               	30-SEP-2022		X0708	D	LIVE		
0001949197-22-000001	021-460443               	30-SEP-2022		X0708	D	LIVE		
0001885305-22-000001	021-415220               	30-SEP-2022		X0708	D/A	LIVE		
0001635420-22-000003	021-460442               	30-SEP-2022		X0708	D	LIVE		
0001898603-22-000002	021-428900               	30-SEP-2022		X0708	D/A	LIVE		
0001885306-22-000001	021-415224               	30-SEP-2022		X0708	D/A	LIVE		
0001946886-22-000001	021-460441               	30-SEP-2022		X0708	D	LIVE		
0001949188-22-000002	021-460440               	30-SEP-2022		X0708	D	LIVE		
0001750227-22-000001	021-319261               	30-SEP-2022		X0708	D/A	LIVE		
0001898609-22-000002	021-428907               	30-SEP-2022		X0708	D/A	LIVE		
0001941234-22-000001	021-460439               	30-SEP-2022		X0708	D	LIVE		
0001627589-22-000001	021-229881               	30-SEP-2022		X0708	D/A	LIVE		
0001907654-22-000002	021-431694               	30-SEP-2022		X0708	D/A	LIVE		
0000919574-22-005738	021-460438               	30-SEP-2022		X0708	D	LIVE		
0001919411-22-000001	021-438749               	30-SEP-2022		X0708	D/A	LIVE		
0001919595-22-000001	021-460437               	30-SEP-2022		X0708	D	LIVE		
0000919574-22-005736	021-460436               	30-SEP-2022		X0708	D	LIVE		
0000902664-22-004405	021-116389               	30-SEP-2022		X0708	D/A	LIVE		
0001949185-22-000002	021-460435               	30-SEP-2022		X0708	D	LIVE		
0000902664-22-004404	021-116367               	30-SEP-2022		X0708	D/A	LIVE		
0001945652-22-000001	021-460434               	30-SEP-2022		X0708	D	LIVE		
0001873206-22-000002	021-460433               	30-SEP-2022		X0708	D	LIVE		
0001949186-22-000002	021-460432               	30-SEP-2022		X0708	D	LIVE		
0001947556-22-000001	021-460431               	30-SEP-2022		X0708	D	LIVE		
0001948970-22-000001	021-460430               	30-SEP-2022		X0708	D	LIVE		
0000945621-22-000330	021-137409               	30-SEP-2022		X0708	D/A	LIVE		
0001943616-22-000001	021-460429               	30-SEP-2022		X0708	D	LIVE		
0000945621-22-000329	021-137398               	30-SEP-2022		X0708	D/A	LIVE		
0001948465-22-000001	021-460428               	30-SEP-2022		X0708	D	LIVE		
0001785056-22-000002	021-460427               	30-SEP-2022		X0708	D	LIVE		
0001567619-22-017981	021-427146               	30-SEP-2022		X0708	D/A	LIVE		
0001785056-22-000001	021-423954               	30-SEP-2022		X0708	D/A	LIVE		
0001567619-22-017979	021-427145               	30-SEP-2022		X0708	D/A	LIVE		
