dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2007-03-31,2007-08-01,2007-03-31,2007-Q1,-8899000.000000,,2025-05-12,0.000000,1163881000.000000,,284575000.000000,879306000.000000,,3.675000,-8748000.000000,37314000.000000,37314000.000000,109885000.000000,1848000.000000,0.970000,0.698000,246074000.000000,126038000.000000,120036000.000000,246074000.000000,0.000000,20048000.000000,0.000000,,0.000000,6017000.000000,26065000.000000,0.148000,26065000.000000,6017000.000000,6017000.000000,-38.910000,-38.910000,-38.910000,685405000.000000,,685405000.000000,,,,74000.000000,0.000000,1.000000,66097000.000000,0.376000,663568000.000000,0.000000,415599000.000000,,0.000000,379000.000000,0.000000,379000.000000,478476000.000000,293474000.000000,185002000.000000,1205000.000000,-15223000.000000,689000.000000,14737000.000000,0.000000,15344000.000000,-22961000.000000,-29824000.000000,8822000.000000,679000.000000,1848000.000000,1848000.000000,1848000.000000,0.000000,0.000000,0.011000,57183000.000000,8914000.000000,30695000.000000,0.000000,,,,156416000.000000,0.000000,,,,162736000.000000,,175982000.000000,175982000.000000,0.000000,,,,,1935000.000000,48774000.000000,1.000000,206405587.000000,186509569.000000,194738943.000000,0.944000,500313000.000000,2746000.000000,4169000.000000,34291000.000000,2.683000
ARQ,2007-06-30,2007-09-11,2007-06-30,2007-Q2,52637000.000000,3093219923.000000,2025-05-12,152907000.000000,1349231000.000000,,361254000.000000,987977000.000000,,3.918000,-13385000.000000,49024000.000000,49024000.000000,128547000.000000,7093000.000000,1.171000,0.622000,236710000.000000,120793000.000000,115917000.000000,236710000.000000,0.000000,21616000.000000,0.000000,0.000000,0.000000,13288000.000000,34904000.000000,0.174000,34904000.000000,13288000.000000,13288000.000000,0.040000,0.040000,0.040000,829563000.000000,,829563000.000000,3280905923.000000,,,30588000.000000,0.144000,1.000000,71945000.000000,0.359000,696238000.000000,0.000000,532062000.000000,,0.000000,13161000.000000,12786000.000000,375000.000000,515620000.000000,308617000.000000,207003000.000000,2725000.000000,-3000.000000,-1174000.000000,-10629000.000000,0.000000,-15602000.000000,-25646000.000000,18576000.000000,43973000.000000,8985000.000000,7093000.000000,7093000.000000,7093000.000000,0.000000,0.000000,0.035000,63842000.000000,8103000.000000,37343000.000000,0.000000,3.729000,,,167231000.000000,0.000000,14.610000,,,168415000.000000,-18546000.000000,200492000.000000,200492000.000000,0.000000,,,,,3296000.000000,55565000.000000,1.000000,211719365.000000,211719365.000000,,0.947000,652993000.000000,2200000.000000,6195000.000000,49858000.000000,3.084000
ARQ,2007-09-30,2007-11-14,2007-09-30,2007-Q3,372503000.000000,3242435699.000000,2025-05-12,191777000.000000,1650478000.000000,,620723000.000000,1029755000.000000,,6.333000,-17777000.000000,252828000.000000,252828000.000000,133090000.000000,16323000.000000,2.501000,0.391000,134373000.000000,23297000.000000,111076000.000000,134373000.000000,0.000000,22042000.000000,0.000000,0.000000,0.000000,22809000.000000,44851000.000000,0.209000,44851000.000000,22809000.000000,22809000.000000,0.070000,0.070000,0.070000,1183330000.000000,,1183330000.000000,3123980699.000000,,,9654000.000000,0.052000,1.000000,81472000.000000,0.380000,689165000.000000,0.000000,594638000.000000,,0.000000,22397000.000000,22074000.000000,323000.000000,462939000.000000,248220000.000000,214719000.000000,194268000.000000,0.000000,303604000.000000,-103392000.000000,0.000000,193835000.000000,-26998000.000000,-9221000.000000,27431000.000000,9536000.000000,16323000.000000,16323000.000000,16323000.000000,0.000000,0.000000,0.076000,71397000.000000,10075000.000000,34428000.000000,0.000000,2.740000,,,177973000.000000,0.000000,15.310000,,,199961000.000000,-4692000.000000,214562000.000000,214562000.000000,0.000000,,,,,3678000.000000,62849000.000000,1.000000,211785480.000000,186839059.000000,195698132.000000,1.148000,961313000.000000,1609000.000000,6486000.000000,65725000.000000,5.145000
ARQ,2007-12-31,2008-03-31,2007-12-31,2007-Q4,400421000.000000,2600509907.000000,2025-05-12,221960000.000000,1743466000.000000,,671861000.000000,1071605000.000000,,9.229000,-22825000.000000,279306000.000000,279306000.000000,143974000.000000,31161000.000000,2.475000,0.392000,128692000.000000,22805000.000000,105887000.000000,128692000.000000,0.000000,21902000.000000,0.000000,0.000000,0.000000,-8283000.000000,13619000.000000,0.059000,13619000.000000,-8283000.000000,-8283000.000000,0.260000,0.250000,0.260000,1250729000.000000,,1250729000.000000,2449895907.000000,72.000000,20.512000,46936000.000000,0.346000,1.000000,87675000.000000,0.378000,710752000.000000,0.000000,610660000.000000,,0.000000,35276000.000000,35079000.000000,197000.000000,489671000.000000,271440000.000000,218231000.000000,17665000.000000,-4803000.000000,1244000.000000,-6599000.000000,0.000000,-12422000.000000,-39674000.000000,-12046000.000000,69761000.000000,8813000.000000,-7977000.000000,-7977000.000000,-7977000.000000,0.000000,39138000.000000,-0.034000,71538000.000000,16137000.000000,29717000.000000,0.000000,2.079000,150.449000,94.231000,195660000.000000,0.000000,12.250000,3.161000,2.018000,201638000.000000,26469000.000000,231649000.000000,231649000.000000,0.000000,,,,,4112000.000000,64318000.000000,1.000000,212286523.000000,135517771.000000,142739811.000000,1.709000,1032714000.000000,11879000.000000,-306000.000000,68334000.000000,7.621000
ARQ,2008-03-31,2008-05-15,2008-03-31,2008-Q1,416829000.000000,2939534456.000000,2025-05-12,161871000.000000,1714318000.000000,,687622000.000000,1026696000.000000,,5.726000,-17728000.000000,271246000.000000,271246000.000000,157599000.000000,19693000.000000,2.539000,0.409000,122884000.000000,22691000.000000,100193000.000000,122884000.000000,0.000000,27403000.000000,0.000000,0.000000,0.000000,22859000.000000,50262000.000000,0.214000,50262000.000000,22859000.000000,22859000.000000,0.090000,0.090000,0.090000,1214940000.000000,,1214940000.000000,2791172456.000000,55.000000,19.432000,3169000.000000,0.015000,1.000000,76835000.000000,0.328000,691867000.000000,0.000000,603296000.000000,,0.000000,33387000.000000,33387000.000000,0.000000,497131000.000000,270793000.000000,226338000.000000,-5301000.000000,0.000000,680000.000000,-6078000.000000,0.000000,-9226000.000000,-16972000.000000,756000.000000,20897000.000000,-2759000.000000,19693000.000000,19693000.000000,19693000.000000,0.000000,0.000000,0.084000,75175000.000000,1660000.000000,33293000.000000,0.000000,2.419000,83.671000,30.065000,191466000.000000,0.000000,13.830000,3.336000,3.331000,218897000.000000,46162000.000000,234434000.000000,234434000.000000,0.000000,,,,,3927000.000000,66089000.000000,1.000000,212547683.000000,212197645.000000,218508968.000000,1.105000,1022451000.000000,16564000.000000,3166000.000000,59122000.000000,4.818000
ARQ,2008-06-30,2008-08-14,2008-06-30,2008-Q2,375586000.000000,3131814449.000000,2025-05-12,-33351000.000000,1681419000.000000,,690640000.000000,990779000.000000,,4.963000,-10403000.000000,297978000.000000,297978000.000000,147092000.000000,24816000.000000,2.192000,0.588000,117874000.000000,22809000.000000,95065000.000000,117874000.000000,0.000000,21874000.000000,0.000000,0.000000,0.000000,28192000.000000,50066000.000000,0.197000,50066000.000000,28192000.000000,28192000.000000,0.120000,0.110000,0.120000,1057111000.000000,,1057111000.000000,2951710449.000000,45.000000,18.588000,38081000.000000,0.179000,1.000000,106484000.000000,0.420000,673622000.000000,0.000000,512639000.000000,,0.000000,26362000.000000,25602000.000000,760000.000000,621467000.000000,315054000.000000,306413000.000000,44051000.000000,-883000.000000,8194000.000000,-5736000.000000,0.000000,655000.000000,-5088000.000000,6198000.000000,48484000.000000,-17319000.000000,24816000.000000,24816000.000000,24816000.000000,0.000000,0.000000,0.098000,77306000.000000,29178000.000000,26371000.000000,0.000000,2.963000,59.253000,27.111000,177959000.000000,0.000000,14.640000,3.352000,3.338000,227454000.000000,70979000.000000,253576000.000000,253576000.000000,0.000000,,,,,4382000.000000,66632000.000000,1.000000,213921752.000000,213001442.000000,218863648.000000,1.190000,1007797000.000000,67536000.000000,3376000.000000,40204000.000000,4.731000
ARQ,2008-09-30,2008-11-13,2008-09-30,2008-Q3,334343000.000000,1623983758.000000,2025-05-12,-189853000.000000,1663404000.000000,,711098000.000000,952306000.000000,,4.402000,-18600000.000000,303060000.000000,303060000.000000,155765000.000000,33634000.000000,1.887000,0.762000,109906000.000000,26426000.000000,83480000.000000,109906000.000000,0.000000,21945000.000000,0.000000,0.000000,0.000000,39326000.000000,61271000.000000,0.226000,61271000.000000,39326000.000000,39326000.000000,0.160000,0.150000,0.160000,942747000.000000,,942747000.000000,1430829758.000000,17.000000,8.166000,39982000.000000,0.187000,1.000000,115034000.000000,0.425000,624906000.000000,0.000000,468589000.000000,,0.000000,21874000.000000,21064000.000000,810000.000000,718739000.000000,376755000.000000,341984000.000000,33380000.000000,0.000000,4170000.000000,-10522000.000000,0.000000,-9585000.000000,-15617000.000000,2983000.000000,58582000.000000,-28298000.000000,33634000.000000,33634000.000000,33634000.000000,0.000000,0.000000,0.124000,78706000.000000,36328000.000000,20235000.000000,0.000000,1.723000,23.145000,12.016000,179078000.000000,0.000000,7.570000,1.640000,1.637000,238742000.000000,104613000.000000,270799000.000000,270799000.000000,0.000000,,,,,4334000.000000,71175000.000000,1.000000,214528898.000000,214182308.000000,219350826.000000,1.264000,1038498000.000000,104894000.000000,5692000.000000,39961000.000000,4.849000
ARQ,2008-12-31,2009-03-02,2008-12-31,2008-Q4,317723000.000000,1716575840.000000,2025-05-12,-342267000.000000,1696326000.000000,,744334000.000000,951992000.000000,,3.924000,-15300000.000000,184050000.000000,184050000.000000,170293000.000000,46997000.000000,1.745000,1.012000,130554000.000000,56548000.000000,74006000.000000,130554000.000000,0.000000,20844000.000000,0.000000,0.000000,0.000000,43585000.000000,64429000.000000,0.229000,64429000.000000,43585000.000000,43585000.000000,0.220000,0.210000,0.220000,841793000.000000,,841793000.000000,1663079840.000000,12.000000,7.358000,67972000.000000,0.317000,1.000000,111553000.000000,0.396000,594064000.000000,0.000000,622155000.000000,,0.000000,201964000.000000,200994000.000000,970000.000000,851960000.000000,426611000.000000,425349000.000000,-99978000.000000,-906000.000000,170000.000000,19134000.000000,0.000000,18520000.000000,-201770000.000000,-185564000.000000,83272000.000000,-19032000.000000,46997000.000000,46997000.000000,46997000.000000,0.000000,0.000000,0.167000,60668000.000000,50885000.000000,25531000.000000,0.000000,2.039000,13.717000,13.559000,174266000.000000,0.000000,8.000000,1.649000,1.641000,230725000.000000,151610000.000000,281846000.000000,281846000.000000,0.000000,,,,,4293000.000000,54590000.000000,1.000000,214571980.000000,214541099.000000,218123932.000000,1.314000,1102262000.000000,149631000.000000,-3412000.000000,12267000.000000,5.138000
ARQ,2009-03-31,2009-05-11,2009-03-31,2009-Q1,280830000.000000,2187135711.000000,2025-05-12,-443759000.000000,1657486000.000000,,732254000.000000,925232000.000000,,3.614000,-12847000.000000,210708000.000000,210708000.000000,163719000.000000,31876000.000000,1.622000,1.134000,124928000.000000,61437000.000000,63491000.000000,124928000.000000,0.000000,19386000.000000,0.000000,0.000000,0.000000,34831000.000000,54217000.000000,0.204000,54217000.000000,34831000.000000,34831000.000000,0.140000,0.140000,0.140000,775504000.000000,,775504000.000000,2101355711.000000,14.000000,9.137000,5920000.000000,0.028000,1.000000,102114000.000000,0.384000,555309000.000000,0.000000,564973000.000000,,0.000000,138469000.000000,137783000.000000,686000.000000,879424000.000000,451424000.000000,428000000.000000,39944000.000000,-20196000.000000,584000.000000,-5676000.000000,0.000000,-6884000.000000,28061000.000000,61104000.000000,18767000.000000,-13286000.000000,29959000.000000,29959000.000000,29959000.000000,0.000000,1917000.000000,0.113000,69013000.000000,33101000.000000,27766000.000000,0.000000,2.820000,16.152000,15.906000,167808000.000000,0.000000,10.180000,2.040000,2.038000,237920000.000000,181569000.000000,265833000.000000,265833000.000000,0.000000,,,,,4660000.000000,63857000.000000,1.000000,214846337.000000,214585598.000000,217242725.000000,1.239000,1102177000.000000,177395000.000000,4872000.000000,24696000.000000,5.136000
ARQ,2009-06-30,2009-08-10,2009-06-30,2009-Q2,368094000.000000,2727393775.000000,2025-05-12,-256677000.000000,1680842000.000000,,753198000.000000,927644000.000000,,4.658000,-16436000.000000,285785000.000000,285785000.000000,165803000.000000,31818000.000000,1.956000,0.675000,95334000.000000,41655000.000000,53679000.000000,95334000.000000,0.000000,19565000.000000,0.000000,0.000000,0.000000,35350000.000000,54915000.000000,0.201000,54915000.000000,35350000.000000,35350000.000000,0.140000,0.140000,0.140000,1001708000.000000,,1001708000.000000,2536942775.000000,17.000000,10.803000,32557000.000000,0.151000,1.000000,107047000.000000,0.392000,585404000.000000,0.000000,519883000.000000,,0.000000,82378000.000000,81535000.000000,843000.000000,676155000.000000,385104000.000000,291051000.000000,62975000.000000,-296000.000000,4664000.000000,-30619000.000000,0.000000,-27774000.000000,41756000.000000,58488000.000000,48993000.000000,12102000.000000,29687000.000000,29687000.000000,29687000.000000,0.000000,2131000.000000,0.109000,69198000.000000,37849000.000000,31240000.000000,0.000000,2.723000,19.443000,19.167000,181352000.000000,0.000000,12.650000,2.499000,2.493000,236154000.000000,211256000.000000,272850000.000000,272850000.000000,0.000000,,,,,4771000.000000,63866000.000000,1.000000,215604251.000000,215030747.000000,218644090.000000,1.269000,1095438000.000000,121357000.000000,5663000.000000,30789000.000000,5.094000
