dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2021-12-31,2022-07-27,2021-12-31,2021-Q4,115375000.000000,,2025-05-13,-165000.000000,186777000.000000,,172419000.000000,14358000.000000,,9.678000,,63862000.000000,63862000.000000,,,3.023000,0.614000,2927000.000000,345000.000000,2582000.000000,2927000.000000,3690000.000000,,0.000000,,0.000000,,,,,,,,,,99180000.000000,,99180000.000000,,,,,,1.000000,,,0.000000,,68798000.000000,,81441000.000000,0.000000,0.000000,0.000000,60945000.000000,57044000.000000,3901000.000000,,,,,,,,,,,,,,,,,,,25140000.000000,,,,,11075000.000000,,,,,18036000.000000,60559000.000000,,,,,,,,,,1.000000,39753546.000000,10248079.000000,,,186777000.000000,72000.000000,,9467000.000000,18.226000
ARQ,2022-03-31,2022-08-01,2022-03-31,2022-Q1,86587000.000000,,2025-05-13,-234000.000000,347211000.000000,,187309000.000000,159902000.000000,,7.975000,-80000.000000,49526000.000000,49526000.000000,95572000.000000,4739000.000000,1.860000,2.088000,144826000.000000,30121000.000000,114705000.000000,144826000.000000,3672000.000000,7731000.000000,0.000000,,0.000000,6510000.000000,14241000.000000,0.127000,14241000.000000,6510000.000000,6346000.000000,0.130000,0.130000,0.130000,103679000.000000,,103679000.000000,,,,-14592000.000000,-1.122000,1.000000,16870000.000000,0.150000,0.000000,164000.000000,341789000.000000,,110744000.000000,0.000000,0.000000,0.000000,216510000.000000,100722000.000000,115788000.000000,-14336000.000000,0.000000,1578000.000000,-1317000.000000,0.000000,261000.000000,-80000.000000,0.000000,-14512000.000000,-5000.000000,4739000.000000,4369000.000000,4369000.000000,0.000000,0.000000,0.039000,9389000.000000,7481000.000000,33217000.000000,0.000000,,,,156698000.000000,370000.000000,,,,21112000.000000,64928000.000000,112442000.000000,112442000.000000,0.000000,,,,,199000.000000,9389000.000000,1.000000,39753546.000000,12999986.000000,12999986.000000,8.649000,347211000.000000,63000.000000,1607000.000000,9870000.000000,26.709000
ARQ,2022-06-30,2022-09-30,2022-06-30,2022-Q2,94971000.000000,401908350.000000,2025-05-13,-1951000.000000,335323000.000000,,184294000.000000,151029000.000000,,6.783000,-65000.000000,50731000.000000,50731000.000000,107006000.000000,6100000.000000,2.063000,1.859000,136565000.000000,29342000.000000,107223000.000000,136565000.000000,2615000.000000,10008000.000000,0.000000,0.000000,0.000000,7472000.000000,17480000.000000,0.141000,17480000.000000,7472000.000000,7336000.000000,0.150000,0.150000,0.150000,107688000.000000,,107688000.000000,487742350.000000,,,4138000.000000,0.261000,1.000000,17021000.000000,0.137000,0.000000,136000.000000,331834000.000000,,103385000.000000,0.000000,0.000000,0.000000,200239000.000000,89323000.000000,110916000.000000,1205000.000000,,0.000000,-861000.000000,,-861000.000000,-65000.000000,,4203000.000000,-2072000.000000,6100000.000000,5726000.000000,5726000.000000,0.000000,0.000000,0.046000,8788000.000000,8233000.000000,30756000.000000,0.000000,3.732000,,,146829000.000000,374000.000000,10.110000,,,23438000.000000,70654000.000000,124027000.000000,124027000.000000,0.000000,,,,,0.000000,8788000.000000,1.000000,39753546.000000,15875571.000000,15875571.000000,7.812000,335323000.000000,1197000.000000,1236000.000000,7792000.000000,21.122000
ARQ,2022-09-30,2022-11-30,2022-09-30,2022-Q3,137282000.000000,299845104.000000,2025-05-13,-2636000.000000,372062000.000000,,230623000.000000,141439000.000000,,6.423000,-471000.000000,117727000.000000,117727000.000000,105449000.000000,657000.000000,2.471000,1.088000,126408000.000000,29293000.000000,97115000.000000,126408000.000000,2079000.000000,8922000.000000,0.000000,0.000000,0.000000,2770000.000000,11692000.000000,0.091000,11692000.000000,2770000.000000,2631000.000000,0.010000,0.010000,0.010000,178188000.000000,,178188000.000000,308526104.000000,,,33173000.000000,1.196000,1.000000,22549000.000000,0.176000,0.000000,139000.000000,287402000.000000,,83415000.000000,0.000000,0.000000,0.000000,193874000.000000,93341000.000000,100533000.000000,66996000.000000,,35315000.000000,-867000.000000,,34448000.000000,-471000.000000,,33644000.000000,-625000.000000,657000.000000,460000.000000,460000.000000,0.000000,0.000000,0.004000,18301000.000000,4248000.000000,30432000.000000,0.000000,1.683000,,,138188000.000000,197000.000000,7.370000,,,22162000.000000,71114000.000000,127998000.000000,127998000.000000,0.000000,,,,,8887000.000000,18301000.000000,1.000000,40684546.000000,27740733.000000,27740733.000000,4.614000,372062000.000000,327000.000000,1974000.000000,7891000.000000,13.412000
ARQ,2022-12-31,2023-03-17,2022-12-31,2022-Q4,155484000.000000,214407557.000000,2025-05-13,804000.000000,418600000.000000,,258122000.000000,160478000.000000,,4.796000,-93000.000000,145076000.000000,145076000.000000,98930000.000000,12476000.000000,2.515000,1.145000,145291000.000000,27860000.000000,117431000.000000,145291000.000000,2001000.000000,-18875000.000000,0.000000,0.000000,0.000000,14980000.000000,-3895000.000000,-0.031000,-3895000.000000,14980000.000000,14851000.000000,0.310000,0.310000,0.310000,195165000.000000,,195165000.000000,214622557.000000,7.000000,5.431000,26228000.000000,0.645000,1.000000,26674000.000000,0.212000,0.000000,129000.000000,316177000.000000,,78338000.000000,0.000000,0.000000,0.000000,223435000.000000,102638000.000000,120797000.000000,27349000.000000,,-1070000.000000,-891000.000000,,-1961000.000000,-93000.000000,,26321000.000000,3082000.000000,12476000.000000,12476000.000000,12476000.000000,0.000000,0.000000,0.099000,11613000.000000,15061000.000000,31573000.000000,0.000000,1.099000,9.310000,8.783000,157221000.000000,0.000000,5.270000,0.438000,0.263000,27142000.000000,83590000.000000,125604000.000000,125604000.000000,1426000.000000,,,,,110000.000000,10187000.000000,1.000000,40684546.000000,40692080.000000,40692080.000000,3.087000,418600000.000000,75000.000000,2375000.000000,7508000.000000,10.287000
ARQ,2022-12-31,2023-04-24,2022-12-31,2022-Q4,155484000.000000,215628094.000000,2025-05-13,804000.000000,418600000.000000,,258122000.000000,160478000.000000,,7.995000,-93000.000000,145076000.000000,145076000.000000,98930000.000000,12476000.000000,2.515000,1.145000,145291000.000000,27860000.000000,117431000.000000,145291000.000000,2001000.000000,-18875000.000000,0.000000,0.000000,0.000000,14980000.000000,-3895000.000000,-0.031000,-3895000.000000,14980000.000000,14851000.000000,0.310000,0.310000,0.310000,195165000.000000,,195165000.000000,215843094.000000,7.000000,5.462000,26228000.000000,1.074000,1.000000,26674000.000000,0.212000,0.000000,129000.000000,316177000.000000,,78338000.000000,0.000000,0.000000,0.000000,223435000.000000,102638000.000000,120797000.000000,27349000.000000,,-1070000.000000,-891000.000000,,-1961000.000000,-93000.000000,,26321000.000000,3082000.000000,12476000.000000,12476000.000000,12476000.000000,0.000000,0.000000,0.099000,11613000.000000,15061000.000000,31573000.000000,0.000000,1.105000,9.363000,8.833000,157221000.000000,0.000000,5.300000,0.440000,0.264000,27142000.000000,83590000.000000,125604000.000000,125604000.000000,1426000.000000,,,,,110000.000000,10187000.000000,1.000000,40684546.000000,24412314.000000,24412314.000000,5.145000,418600000.000000,75000.000000,2375000.000000,7508000.000000,17.147000
ARQ,2023-03-31,2023-05-24,2023-03-31,2023-Q1,171571000.000000,291721011.000000,2025-05-13,610000.000000,437198000.000000,,284436000.000000,152762000.000000,,5.186000,-137000.000000,164210000.000000,164210000.000000,98223000.000000,15941000.000000,2.520000,1.070000,137700000.000000,27812000.000000,109888000.000000,137700000.000000,2126000.000000,7447000.000000,0.000000,0.000000,0.000000,19810000.000000,27257000.000000,0.213000,27257000.000000,19810000.000000,19697000.000000,0.390000,0.390000,0.390000,211164000.000000,,211164000.000000,265211011.000000,6.000000,5.048000,20209000.000000,0.496000,1.000000,29574000.000000,0.231000,0.000000,113000.000000,297823000.000000,,80440000.000000,0.000000,0.000000,0.000000,226034000.000000,112865000.000000,113169000.000000,19134000.000000,,0.000000,-916000.000000,,-916000.000000,-137000.000000,,20346000.000000,-159000.000000,15941000.000000,15941000.000000,15941000.000000,0.000000,0.000000,0.125000,11718000.000000,17856000.000000,33349000.000000,0.000000,1.381000,8.431000,8.326000,149499000.000000,0.000000,7.160000,0.577000,0.577000,29810000.000000,99531000.000000,127797000.000000,127797000.000000,672000.000000,,,,,247000.000000,11046000.000000,1.000000,40743158.000000,40716501.000000,40716501.000000,3.139000,437198000.000000,75000.000000,3756000.000000,11109000.000000,10.738000
ARQ,2023-06-30,2023-08-15,2023-06-30,2023-Q2,191182000.000000,415359263.000000,2025-05-13,303000.000000,455050000.000000,,307575000.000000,147475000.000000,,5.649000,-21000.000000,182404000.000000,182404000.000000,112766000.000000,18390000.000000,2.643000,0.970000,133268000.000000,29055000.000000,104213000.000000,133268000.000000,2093000.000000,8678000.000000,0.000000,0.000000,0.000000,23463000.000000,32141000.000000,0.210000,32141000.000000,23463000.000000,22659000.000000,0.450000,0.450000,0.450000,231005000.000000,,231005000.000000,366223263.000000,6.000000,5.450000,18274000.000000,0.447000,1.000000,40364000.000000,0.264000,0.000000,804000.000000,289521000.000000,,84786000.000000,0.000000,0.000000,0.000000,224045000.000000,116393000.000000,107652000.000000,18194000.000000,,0.000000,-138000.000000,,-138000.000000,-21000.000000,,18295000.000000,58000.000000,18390000.000000,18390000.000000,18390000.000000,0.000000,0.000000,0.120000,16964000.000000,23400000.000000,34808000.000000,0.000000,1.798000,8.788000,8.741000,144247000.000000,0.000000,10.140000,0.777000,0.776000,30454000.000000,117921000.000000,153130000.000000,153130000.000000,532000.000000,,,,,1510000.000000,16432000.000000,1.000000,40962452.000000,40896423.000000,40941904.000000,3.744000,455050000.000000,71000.000000,4269000.000000,8191000.000000,11.127000
ARQ,2023-09-30,2023-11-30,2023-09-30,2023-Q3,201041000.000000,398155033.000000,2025-05-13,294000.000000,529776000.000000,,341484000.000000,188292000.000000,,6.235000,-663000.000000,214892000.000000,214892000.000000,129309000.000000,24202000.000000,2.431000,1.084000,164479000.000000,32900000.000000,131579000.000000,164479000.000000,3735000.000000,8329000.000000,0.000000,0.000000,0.000000,30006000.000000,38335000.000000,0.215000,38335000.000000,30006000.000000,29791000.000000,0.590000,0.590000,0.590000,254198000.000000,,254198000.000000,347742033.000000,4.000000,3.706000,43418000.000000,1.065000,1.000000,48858000.000000,0.274000,0.000000,215000.000000,338920000.000000,,82374000.000000,0.000000,0.000000,0.000000,275578000.000000,140443000.000000,135135000.000000,32488000.000000,,-1594000.000000,-786000.000000,,-2380000.000000,-9163000.000000,,44081000.000000,-50000.000000,24202000.000000,24202000.000000,24202000.000000,0.000000,0.000000,0.136000,17159000.000000,31699000.000000,40203000.000000,0.000000,1.566000,5.607000,5.586000,175714000.000000,0.000000,9.720000,0.681000,0.678000,31433000.000000,142123000.000000,178167000.000000,178167000.000000,377000.000000,,,,,317000.000000,16782000.000000,1.000000,40962452.000000,40769219.000000,40878759.000000,4.370000,529776000.000000,71000.000000,5589000.000000,13293000.000000,12.995000
ARQ,2023-12-31,2024-03-27,2023-12-31,2023-Q4,187033000.000000,1067260612.000000,2025-05-13,526000.000000,846909000.000000,,392807000.000000,454102000.000000,,7.123000,-3097000.000000,184168000.000000,184168000.000000,174900000.000000,35575000.000000,1.909000,1.916000,401571000.000000,57949000.000000,343622000.000000,401571000.000000,5537000.000000,-19096000.000000,0.000000,0.000000,0.000000,42956000.000000,23860000.000000,0.097000,23860000.000000,42956000.000000,42848000.000000,0.880000,0.870000,0.880000,290416000.000000,,290416000.000000,1284663612.000000,11.000000,10.565000,47633000.000000,1.168000,1.000000,69837000.000000,0.285000,20953000.000000,108000.000000,837585000.000000,,132247000.000000,0.000000,0.000000,0.000000,556493000.000000,205774000.000000,350719000.000000,-30724000.000000,-78129000.000000,0.000000,-569000.000000,,-569000.000000,-81226000.000000,,50730000.000000,341000.000000,35575000.000000,35575000.000000,35575000.000000,0.000000,0.000000,0.145000,32714000.000000,37123000.000000,69757000.000000,0.000000,3.675000,11.341000,11.325000,423536000.000000,0.000000,26.160000,1.516000,1.516000,58876000.000000,177698000.000000,244737000.000000,244737000.000000,2344000.000000,,,,,429000.000000,27134000.000000,1.000000,40797424.000000,40771069.000000,41047165.000000,6.003000,825956000.000000,1440000.000000,7273000.000000,22309000.000000,20.258000
