dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-06-04,2020-12-31,2020-Q4,5666000.000000,,2025-05-08,200000.000000,5912000.000000,,5912000.000000,0.000000,,0.116000,,5895000.000000,5895000.000000,,,24.033000,0.043000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,5666000.000000,,5666000.000000,,,,,,1.000000,,,0.000000,,-229000.000000,,0.000000,0.000000,0.000000,0.000000,246000.000000,246000.000000,0.000000,,,,,,,,,,,,,,,,,,,1000.000000,,,,,0.000000,,,,,0.000000,-835000.000000,,,,,,,,,,1.000000,48854183.000000,48854183.000000,,,5912000.000000,0.000000,,0.000000,0.121000
ARQ,2021-03-31,2021-06-21,2021-03-31,2021-Q1,4296000.000000,,2025-05-08,-2000.000000,5556000.000000,,5537000.000000,19000.000000,,0.088000,-21000.000000,4576000.000000,4576000.000000,0.000000,-1149000.000000,4.462000,0.288000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,,0.000000,-1149000.000000,-1148000.000000,,-1148000.000000,-1149000.000000,-1149000.000000,-0.015000,-0.015000,-0.015000,4315000.000000,,4315000.000000,,,,-1108000.000000,-0.023000,1.000000,0.000000,,0.000000,0.000000,-261000.000000,,0.000000,0.000000,0.000000,0.000000,1241000.000000,1241000.000000,0.000000,-1108000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21000.000000,0.000000,-1087000.000000,-211000.000000,-1149000.000000,-1149000.000000,-1149000.000000,0.000000,0.000000,,1140000.000000,-1140000.000000,75000.000000,0.000000,,,,19000.000000,0.000000,,,,0.000000,-1984000.000000,0.000000,0.000000,692000.000000,,,,,0.000000,448000.000000,1.000000,48854183.000000,48854183.000000,,0.000000,5556000.000000,0.000000,0.000000,0.000000,0.114000
ARQ,2021-06-30,2021-09-23,2021-06-30,2021-Q2,288197000.000000,1069548655.000000,2025-05-08,-488000.000000,292819000.000000,,292789000.000000,30000.000000,,5.541000,-14000.000000,292625000.000000,292625000.000000,0.000000,-2125000.000000,63.761000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,3000.000000,0.000000,0.000000,0.000000,-2119000.000000,-2116000.000000,,-2116000.000000,-2119000.000000,-2125000.000000,-0.053000,-0.053000,-0.053000,288227000.000000,,288227000.000000,776923655.000000,,,-689000.000000,-0.013000,1.000000,0.000000,,0.000000,6000.000000,-4398000.000000,,0.000000,0.000000,0.000000,0.000000,4592000.000000,4592000.000000,0.000000,288525000.000000,,309200000.000000,,,0.000000,-14000.000000,,-675000.000000,-476000.000000,-2125000.000000,-2125000.000000,-2125000.000000,0.000000,0.000000,,2673000.000000,-2673000.000000,1002000.000000,0.000000,3.711000,,,30000.000000,0.000000,20.560000,,,0.000000,-4110000.000000,0.000000,0.000000,1954000.000000,,,,,12000.000000,719000.000000,1.000000,52020849.000000,52020849.000000,,0.000000,292819000.000000,0.000000,0.000000,0.000000,5.629000
ARQ,2021-09-30,2021-12-06,2021-09-30,2021-Q3,283528000.000000,1220929326.000000,2025-05-08,-3333000.000000,285634000.000000,,285561000.000000,73000.000000,,5.452000,-50000.000000,280745000.000000,280745000.000000,0.000000,-1837000.000000,140.463000,0.007000,0.000000,0.000000,0.000000,0.000000,0.000000,6000.000000,0.000000,0.000000,0.000000,-1834000.000000,-1828000.000000,,-1828000.000000,-1834000.000000,-1837000.000000,-0.035000,-0.035000,-0.035000,283601000.000000,,283601000.000000,940184326.000000,,,-9804000.000000,-0.188000,1.000000,0.000000,,0.000000,3000.000000,2856000.000000,,0.000000,0.000000,0.000000,0.000000,2033000.000000,2033000.000000,0.000000,-12409000.000000,,0.000000,,,-2602000.000000,-50000.000000,,-9754000.000000,529000.000000,-1837000.000000,-1837000.000000,-1837000.000000,0.000000,0.000000,,4666000.000000,-4666000.000000,1214000.000000,0.000000,4.305000,,,73000.000000,0.000000,23.470000,,,0.000000,-5946000.000000,0.000000,0.000000,2556000.000000,,,,,119000.000000,2110000.000000,1.000000,52020849.000000,52020849.000000,,0.000000,285634000.000000,0.000000,0.000000,0.000000,5.491000
ARQ,2021-12-31,2022-03-28,2021-12-31,2021-Q4,277093000.000000,938976324.000000,2025-05-08,-5903000.000000,279924000.000000,,279842000.000000,82000.000000,,5.328000,-19000.000000,276776000.000000,276776000.000000,0.000000,-4091000.000000,101.798000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,9000.000000,0.000000,0.000000,0.000000,-4091000.000000,-4082000.000000,,-4082000.000000,-4091000.000000,-4091000.000000,-0.086000,-0.086000,-0.086000,277175000.000000,,277175000.000000,662200324.000000,-72.000000,-72.182000,-3777000.000000,-0.073000,1.000000,0.000000,,0.000000,0.000000,399000.000000,,0.000000,0.000000,0.000000,0.000000,2749000.000000,2749000.000000,0.000000,-3948000.000000,,0.000000,,,-171000.000000,-19000.000000,,-3758000.000000,-21000.000000,-4091000.000000,-4091000.000000,-4091000.000000,0.000000,0.000000,,6621000.000000,-6621000.000000,883000.000000,0.000000,3.388000,-102.040000,-85.545000,82000.000000,0.000000,18.050000,,,0.000000,-10037000.000000,0.000000,0.000000,3351000.000000,,,,,235000.000000,3270000.000000,1.000000,52020849.000000,52020849.000000,,0.000000,279924000.000000,0.000000,0.000000,0.000000,5.381000
ARQ,2022-03-31,2022-05-18,2022-03-31,2022-Q1,269397000.000000,520728698.000000,2025-05-08,-8164000.000000,273544000.000000,,273463000.000000,81000.000000,,5.180000,-10000.000000,270750000.000000,270750000.000000,0.000000,-5763000.000000,67.256000,0.015000,0.000000,0.000000,0.000000,0.000000,0.000000,11000.000000,0.000000,0.000000,0.000000,-5763000.000000,-5752000.000000,,-5752000.000000,-5763000.000000,-5763000.000000,-0.111000,-0.111000,-0.111000,269478000.000000,,269478000.000000,249978698.000000,-18.000000,-18.143000,-6011000.000000,-0.116000,1.000000,0.000000,,0.000000,0.000000,-1272000.000000,,0.000000,0.000000,0.000000,0.000000,4066000.000000,4066000.000000,0.000000,-6011000.000000,,,,,0.000000,-10000.000000,,-6001000.000000,-15000.000000,-5763000.000000,-5763000.000000,-5763000.000000,0.000000,0.000000,,8006000.000000,-8006000.000000,1545000.000000,0.000000,1.932000,-37.690000,-35.123000,81000.000000,0.000000,10.010000,,,0.000000,-15800000.000000,0.000000,0.000000,4714000.000000,,,,,327000.000000,3292000.000000,1.000000,52020849.000000,52020849.000000,,0.000000,273544000.000000,0.000000,0.000000,0.000000,5.258000
ARQ,2022-06-30,2022-08-23,2022-06-30,2022-Q2,263138000.000000,740776890.000000,2025-05-08,-15218000.000000,266319000.000000,,266233000.000000,86000.000000,,5.060000,-24000.000000,265377000.000000,265377000.000000,0.000000,334000.000000,86.020000,0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,11000.000000,0.000000,0.000000,0.000000,334000.000000,345000.000000,,345000.000000,334000.000000,334000.000000,0.006000,0.006000,0.006000,263224000.000000,,263224000.000000,475399890.000000,-42.000000,-42.008000,-5310000.000000,-0.102000,1.000000,0.000000,,0.000000,0.000000,-2153000.000000,,0.000000,0.000000,0.000000,0.000000,3095000.000000,3095000.000000,0.000000,-5310000.000000,,,,,0.000000,-24000.000000,,-5286000.000000,-63000.000000,334000.000000,334000.000000,334000.000000,0.000000,0.000000,,6750000.000000,-6750000.000000,1707000.000000,0.000000,2.814000,-65.226000,-63.009000,86000.000000,0.000000,14.240000,,,0.000000,-15466000.000000,0.000000,0.000000,4240000.000000,,,,,466000.000000,2510000.000000,1.000000,52020849.000000,52020849.000000,,0.000000,266319000.000000,0.000000,0.000000,0.000000,5.119000
ARQ,2022-09-30,2022-11-10,2022-09-30,2022-Q3,256654000.000000,546218914.000000,2025-05-08,-21682000.000000,260123000.000000,,260039000.000000,84000.000000,,4.935000,-15000.000000,256939000.000000,256939000.000000,0.000000,-441000.000000,76.821000,0.013000,0.000000,0.000000,0.000000,0.000000,0.000000,12000.000000,0.000000,0.000000,0.000000,-441000.000000,-429000.000000,,-429000.000000,-441000.000000,-441000.000000,-0.008000,-0.008000,-0.008000,256738000.000000,,256738000.000000,289279914.000000,-29.000000,-29.167000,-8060000.000000,-0.155000,1.000000,0.000000,,0.000000,0.000000,-201000.000000,,0.000000,0.000000,0.000000,0.000000,3385000.000000,3385000.000000,0.000000,-8060000.000000,,0.000000,,,0.000000,-15000.000000,,-8045000.000000,-378000.000000,-441000.000000,-441000.000000,-441000.000000,0.000000,0.000000,,6626000.000000,-6626000.000000,1750000.000000,0.000000,2.128000,-54.836000,-52.764000,84000.000000,0.000000,10.500000,,,0.000000,-15907000.000000,0.000000,0.000000,4620000.000000,,,,,419000.000000,2006000.000000,1.000000,52020849.000000,52020849.000000,,0.000000,260123000.000000,0.000000,0.000000,0.000000,5.000000
ARQ,2022-12-31,2023-03-02,2022-12-31,2022-Q4,163995000.000000,526450992.000000,2025-05-08,-13035000.000000,254362000.000000,,168541000.000000,85821000.000000,,4.802000,,165955000.000000,165955000.000000,0.000000,-16586000.000000,37.075000,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,-17508000.000000,,,,-17508000.000000,-16586000.000000,-0.319000,-0.319000,-0.319000,249816000.000000,,249816000.000000,360495992.000000,-15.000000,,,,1.000000,0.000000,,0.000000,-922000.000000,83861000.000000,,0.000000,85724000.000000,0.000000,85724000.000000,4546000.000000,4546000.000000,0.000000,,,,,,,,,,,-16586000.000000,-16586000.000000,-16586000.000000,0.000000,0.000000,,9172000.000000,-9172000.000000,1868000.000000,0.000000,2.107000,-23.444000,-23.426000,97000.000000,0.000000,10.120000,,,0.000000,-32493000.000000,0.000000,0.000000,6910000.000000,,,,,,2262000.000000,1.000000,52020849.000000,52020849.000000,,0.000000,254362000.000000,0.000000,0.000000,0.000000,4.890000
ARQ,2022-12-31,2023-03-09,2022-12-31,2022-Q4,163995000.000000,496799108.000000,2025-05-08,-13035000.000000,254362000.000000,,168541000.000000,85821000.000000,,4.802000,-18000.000000,165955000.000000,165955000.000000,0.000000,-16586000.000000,37.075000,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,13000.000000,0.000000,0.000000,0.000000,-17508000.000000,-17495000.000000,,-17495000.000000,-17508000.000000,-16586000.000000,-0.319000,-0.319000,-0.319000,249816000.000000,,249816000.000000,330844108.000000,-14.000000,-14.180000,-7363000.000000,-0.142000,1.000000,0.000000,,0.000000,-922000.000000,83861000.000000,,0.000000,85724000.000000,0.000000,85724000.000000,4546000.000000,4546000.000000,0.000000,-91506000.000000,,0.000000,,,0.000000,-84639000.000000,,-7345000.000000,522000.000000,-16586000.000000,-16586000.000000,-16586000.000000,0.000000,0.000000,,9172000.000000,-9172000.000000,1868000.000000,0.000000,1.989000,-22.123000,-22.106000,97000.000000,0.000000,9.550000,,,0.000000,-32493000.000000,0.000000,0.000000,6910000.000000,,,,,459000.000000,2262000.000000,1.000000,52020849.000000,52020849.000000,,0.000000,254362000.000000,0.000000,0.000000,0.000000,4.890000
