dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-21,1996-12-31,1996-Q4,284154000.000000,724922950.000000,2025-05-07,89000.000000,310673000.000000,,300253000.000000,10420000.000000,,0.328000,,131984000.000000,131984000.000000,,,18.650000,0.065000,6545000.000000,3631000.000000,2914000.000000,6545000.000000,527000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,291660000.000000,,291660000.000000,599483950.000000,-29.000000,-36.240000,,,1.000000,,,0.000000,,169135000.000000,,0.000000,163979000.000000,163979000.000000,0.000000,19013000.000000,16099000.000000,2914000.000000,,,,,,,,,,,,,,,,,,,2501000.000000,,2.486000,-33.357000,-32.552000,9172000.000000,,0.781000,21.691000,20.785000,0.000000,-134486000.000000,,,,,,,,,,1.000000,927901376.000000,889152000.000000,,,310673000.000000,0.000000,,0.000000,0.349000
ARQ,1997-03-31,1997-04-25,1997-03-31,1997-Q1,275863000.000000,642598702.000000,2025-05-07,-508000.000000,312400000.000000,,300734000.000000,11666000.000000,,0.308000,-1786000.000000,104742000.000000,104742000.000000,487000.000000,-7948000.000000,12.092000,-1.000000,5722000.000000,3507000.000000,2215000.000000,5722000.000000,6747000.000000,753000.000000,0.000000,0.000000,0.000000,-7948000.000000,-7195000.000000,-1.316000,-7195000.000000,-7948000.000000,-7948000.000000,-0.008000,-0.008000,-0.008000,285314000.000000,,285314000.000000,543578702.000000,,,748000.000000,0.001000,1.000000,4979000.000000,0.911000,0.000000,0.000000,188509000.000000,,0.000000,192652000.000000,192652000.000000,0.000000,-285283000.000000,24871000.000000,-310154000.000000,-27242000.000000,0.000000,2103000.000000,-823000.000000,0.000000,1280000.000000,-31056000.000000,-29270000.000000,2534000.000000,0.000000,-7948000.000000,-7948000.000000,-7948000.000000,0.000000,0.000000,-1.454000,16973000.000000,-11994000.000000,3514000.000000,0.000000,2.252000,,,10301000.000000,0.000000,0.692000,,,0.000000,-142434000.000000,5466000.000000,5466000.000000,10826000.000000,,,,,0.000000,6147000.000000,1.000000,929198304.000000,925760000.000000,925760000.000000,0.006000,312400000.000000,0.000000,0.000000,0.000000,0.337000
ARQ,1997-06-30,1997-07-25,1997-06-30,1997-Q2,320512000.000000,833982333.000000,2025-05-07,-21000.000000,353960000.000000,,342038000.000000,11922000.000000,,0.333000,-879000.000000,138961000.000000,138961000.000000,328000.000000,2711000.000000,15.890000,-0.997000,4882000.000000,3054000.000000,1828000.000000,4882000.000000,4260000.000000,786000.000000,0.000000,0.000000,0.000000,2711000.000000,3497000.000000,0.177000,3497000.000000,2711000.000000,2711000.000000,0.003000,0.003000,0.003000,330606000.000000,,330606000.000000,699903333.000000,,,-1717000.000000,-0.002000,1.000000,19398000.000000,0.983000,0.000000,0.000000,198355000.000000,,0.000000,198393000.000000,198393000.000000,0.000000,-329610000.000000,21526000.000000,-351136000.000000,34219000.000000,0.000000,2030000.000000,-840000.000000,0.000000,41190000.000000,-6133000.000000,-5254000.000000,-838000.000000,0.000000,2711000.000000,2711000.000000,2711000.000000,0.000000,0.000000,0.137000,20842000.000000,-1444000.000000,2288000.000000,0.000000,2.523000,,,10458000.000000,0.000000,0.891000,,,0.000000,-139723000.000000,19726000.000000,19726000.000000,14696000.000000,,,,,0.000000,6146000.000000,1.000000,936401216.000000,993824000.000000,993824000.000000,0.020000,353960000.000000,0.000000,0.000000,0.000000,0.356000
ARQ,1997-09-30,1997-10-31,1997-09-30,1997-Q3,315730000.000000,1014819202.000000,2025-05-07,362000.000000,348154000.000000,,336510000.000000,11644000.000000,,0.346000,-446000.000000,45670000.000000,45670000.000000,180000.000000,-10331000.000000,16.194000,-1.000000,4019000.000000,2449000.000000,1570000.000000,4019000.000000,3304000.000000,738000.000000,0.000000,0.000000,0.000000,-10331000.000000,-9593000.000000,-1.943000,-9593000.000000,-10331000.000000,-10331000.000000,-0.011000,-0.011000,-0.011000,325804000.000000,,325804000.000000,973168202.000000,,,-9798000.000000,-0.010000,1.000000,4757000.000000,0.964000,0.000000,0.000000,285723000.000000,,0.000000,286494000.000000,286494000.000000,0.000000,-325773000.000000,20780000.000000,-346553000.000000,-93291000.000000,0.000000,5088000.000000,-863000.000000,0.000000,4225000.000000,-88164000.000000,-87718000.000000,-9352000.000000,0.000000,-10331000.000000,-10331000.000000,-10331000.000000,0.000000,0.000000,-2.093000,19837000.000000,-15080000.000000,1592000.000000,0.000000,3.115000,,,10225000.000000,0.000000,1.067000,,,0.000000,-150055000.000000,4937000.000000,4937000.000000,13604000.000000,,,,,0.000000,6233000.000000,1.000000,951485920.000000,940992000.000000,940992000.000000,0.005000,348154000.000000,0.000000,0.000000,0.000000,0.370000
ARQ,1997-12-31,1998-03-31,1997-12-31,1997-Q4,306867000.000000,1084733424.000000,2025-05-07,344000.000000,352069000.000000,,340258000.000000,11811000.000000,,0.332000,-750000.000000,31990000.000000,31990000.000000,172000.000000,-12424000.000000,10.190000,0.109000,3184000.000000,1853000.000000,1331000.000000,3184000.000000,9541000.000000,706000.000000,0.000000,0.000000,0.000000,-11935000.000000,-11229000.000000,-1.133000,-11229000.000000,-11935000.000000,-12424000.000000,-0.013000,-0.013000,-0.013000,317347000.000000,,317347000.000000,1055927424.000000,-38.000000,-43.062000,-12954000.000000,-0.014000,1.000000,9737000.000000,0.983000,0.000000,489000.000000,289872000.000000,,0.000000,290308000.000000,290308000.000000,0.000000,34722000.000000,33391000.000000,1331000.000000,-13680000.000000,0.000000,3941000.000000,-835000.000000,0.000000,3106000.000000,-4582000.000000,-3832000.000000,-12204000.000000,0.000000,-12424000.000000,-12424000.000000,-12424000.000000,0.000000,0.000000,-1.254000,26983000.000000,-17246000.000000,3303000.000000,0.000000,3.418000,-38.750000,-37.500000,10313000.000000,0.000000,1.125000,27.093000,26.369000,0.000000,-162479000.000000,9909000.000000,9909000.000000,20036000.000000,,,,,0.000000,6947000.000000,1.000000,964207488.000000,955616000.000000,955616000.000000,0.010000,352069000.000000,0.000000,0.000000,0.000000,0.368000
ARQ,1998-03-31,1998-05-15,1998-03-31,1998-Q1,300529000.000000,1125128428.000000,2025-05-07,216000.000000,349421000.000000,,337406000.000000,12015000.000000,,0.323000,-848000.000000,34313000.000000,34313000.000000,230000.000000,-7384000.000000,9.149000,0.122000,2523000.000000,1394000.000000,1129000.000000,2523000.000000,12628000.000000,689000.000000,0.000000,0.000000,0.000000,-7384000.000000,-6695000.000000,-0.494000,-6695000.000000,-7384000.000000,-7384000.000000,-0.008000,-0.008000,-0.008000,311415000.000000,,311415000.000000,1093338428.000000,-41.000000,-45.518000,-7628000.000000,-0.008000,1.000000,13330000.000000,0.983000,0.000000,0.000000,280754000.000000,,0.000000,281114000.000000,281114000.000000,0.000000,38006000.000000,36877000.000000,1129000.000000,2323000.000000,0.000000,1544000.000000,-660000.000000,0.000000,884000.000000,8219000.000000,9067000.000000,-6780000.000000,0.000000,-7384000.000000,-7384000.000000,-7384000.000000,0.000000,0.000000,-0.545000,25672000.000000,-12342000.000000,3547000.000000,0.000000,3.613000,-41.021000,-40.140000,10506000.000000,0.000000,1.164000,23.376000,23.297000,0.000000,-169863000.000000,13560000.000000,13560000.000000,18930000.000000,,,,,0.000000,6742000.000000,1.000000,966553280.000000,963296000.000000,963296000.000000,0.014000,349421000.000000,0.000000,0.000000,0.000000,0.363000
ARQ,1998-06-30,1998-08-12,1998-06-30,1998-Q2,289875000.000000,727850341.000000,2025-05-07,181000.000000,333305000.000000,,321792000.000000,11513000.000000,,0.310000,-206000.000000,37021000.000000,37021000.000000,114000.000000,-14844000.000000,10.082000,0.109000,1806000.000000,871000.000000,935000.000000,1806000.000000,9129000.000000,693000.000000,0.000000,0.000000,0.000000,-14844000.000000,-14151000.000000,-2.011000,-14151000.000000,-14844000.000000,-14844000.000000,-0.015000,-0.015000,-0.015000,300453000.000000,,300453000.000000,692635341.000000,-16.000000,-16.623000,-5919000.000000,-0.006000,1.000000,6922000.000000,0.984000,0.000000,0.000000,266173000.000000,,0.000000,275620000.000000,275620000.000000,0.000000,32852000.000000,31917000.000000,935000.000000,2708000.000000,0.000000,3887000.000000,-718000.000000,0.000000,3169000.000000,5252000.000000,5458000.000000,-5713000.000000,0.000000,-14844000.000000,-14844000.000000,-14844000.000000,0.000000,0.000000,-2.110000,26773000.000000,-19851000.000000,3730000.000000,0.000000,2.423000,-16.181000,-15.878000,10052000.000000,0.000000,0.746000,20.536000,20.412000,0.000000,-184706000.000000,7036000.000000,7036000.000000,18330000.000000,,,,,0.000000,8443000.000000,1.000000,975343840.000000,969440000.000000,969440000.000000,0.007000,333305000.000000,0.000000,0.000000,0.000000,0.344000
ARQ,1998-09-30,1998-11-13,1998-09-30,1998-Q3,274273000.000000,877777721.000000,2025-05-07,1146000.000000,316704000.000000,,305571000.000000,11133000.000000,,0.292000,-335000.000000,43167000.000000,43167000.000000,120000.000000,-17559000.000000,9.763000,0.113000,1561000.000000,814000.000000,747000.000000,1561000.000000,9558000.000000,686000.000000,0.000000,0.000000,0.000000,-17559000.000000,-16873000.000000,-5.554000,-16873000.000000,-17559000.000000,-17559000.000000,-0.018000,-0.018000,-0.018000,284659000.000000,,284659000.000000,836171721.000000,-16.000000,-17.083000,-18267000.000000,-0.019000,1.000000,2918000.000000,0.961000,0.000000,0.000000,243800000.000000,,0.000000,252694000.000000,252694000.000000,0.000000,32045000.000000,31298000.000000,747000.000000,6146000.000000,0.000000,766000.000000,-244000.000000,0.000000,522000.000000,23556000.000000,23891000.000000,-17932000.000000,0.000000,-17559000.000000,-17559000.000000,-17559000.000000,0.000000,0.000000,-5.780000,24595000.000000,-21677000.000000,2700000.000000,0.000000,3.084000,-16.812000,-16.638000,9731000.000000,0.000000,0.898000,26.169000,26.126000,0.000000,-202264000.000000,3038000.000000,3038000.000000,16720000.000000,,,,,0.000000,7875000.000000,1.000000,977004768.000000,975424000.000000,975424000.000000,0.003000,316704000.000000,0.000000,0.000000,0.000000,0.325000
ARQ,1998-12-31,1999-03-22,1998-12-31,1998-Q4,256560000.000000,1486461263.000000,2025-05-07,43000.000000,302860000.000000,,288310000.000000,14550000.000000,,0.277000,-1108000.000000,32475000.000000,32475000.000000,130000.000000,-16290000.000000,9.081000,0.119000,1333000.000000,770000.000000,563000.000000,1333000.000000,3275000.000000,689000.000000,0.000000,0.000000,0.000000,-16098000.000000,-15409000.000000,-1.724000,-15409000.000000,-16098000.000000,-16290000.000000,-0.017000,-0.017000,-0.017000,270547000.000000,,270547000.000000,1455319263.000000,-26.000000,-27.394000,-17406000.000000,-0.018000,1.000000,8806000.000000,0.985000,0.000000,192000.000000,239968000.000000,,0.000000,247464000.000000,247464000.000000,0.000000,32313000.000000,31750000.000000,563000.000000,-10692000.000000,0.000000,2816000.000000,-229000.000000,0.000000,2587000.000000,3019000.000000,4127000.000000,-16298000.000000,0.000000,-16290000.000000,-16290000.000000,-16290000.000000,0.000000,0.000000,-1.823000,29263000.000000,-20457000.000000,3422000.000000,0.000000,5.494000,-26.508000,-25.932000,10182000.000000,0.000000,1.504000,45.639000,44.869000,0.000000,-218554000.000000,8936000.000000,8936000.000000,21320000.000000,,,,,434000.000000,7943000.000000,1.000000,988297536.000000,978336000.000000,978336000.000000,0.009000,302860000.000000,0.000000,0.000000,0.000000,0.310000
ARQ,1999-03-31,1999-05-14,1999-03-31,1999-Q1,242735000.000000,1432094087.000000,2025-05-07,-483000.000000,288619000.000000,,272043000.000000,16576000.000000,,0.262000,-2702000.000000,58448000.000000,58448000.000000,134000.000000,-15787000.000000,9.282000,0.115000,1143000.000000,768000.000000,375000.000000,1143000.000000,5219000.000000,783000.000000,0.000000,0.000000,0.000000,-15787000.000000,-15004000.000000,-3.039000,-15004000.000000,-15787000.000000,-15787000.000000,-0.016000,-0.016000,-0.016000,258936000.000000,,258936000.000000,1374789087.000000,-21.000000,-22.377000,-19964000.000000,-0.020000,1.000000,4803000.000000,0.973000,0.000000,0.000000,202006000.000000,,0.000000,205482000.000000,205482000.000000,0.000000,29683000.000000,29308000.000000,375000.000000,25973000.000000,0.000000,4671000.000000,-190000.000000,0.000000,4481000.000000,38754000.000000,41456000.000000,-17262000.000000,0.000000,-15787000.000000,-15787000.000000,-15787000.000000,0.000000,0.000000,-3.198000,24153000.000000,-19350000.000000,3459000.000000,0.000000,5.531000,-22.210000,-21.842000,12132000.000000,0.000000,1.442000,59.803000,59.454000,0.000000,-234341000.000000,4937000.000000,4937000.000000,15786000.000000,,,,,0.000000,8367000.000000,1.000000,993431840.000000,987648000.000000,987648000.000000,0.005000,288619000.000000,0.000000,0.000000,0.000000,0.292000
