dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2014-12-31,2015-05-11,2014-12-31,2014-Q4,153247000.000000,,2025-04-25,-1157000.000000,270467000.000000,,213603000.000000,56864000.000000,,6.847000,,198134000.000000,221868617.000000,,,3.539000,0.312000,167000.000000,52000.000000,115000.000000,187005.000000,27026000.000000,,0.000000,,0.000000,,,,,,,,,,206135000.000000,,230828063.000000,,,,,,0.893000,,,2015000.000000,,10129000.000000,,281000.000000,0.000000,0.000000,0.000000,64332000.000000,60356000.000000,3976000.000000,,,,,,,,,,,,,,,,,,,30007000.000000,,,,,10091000.000000,,,,,54506000.000000,-63944000.000000,,,,,,,,,,1.000000,36895677.000000,30108000.000000,,,268452000.000000,293000.000000,,2582000.000000,8.916000
ARQ,2015-12-31,2016-03-22,2015-12-31,2015-Q4,302058000.000000,1573231667.000000,2025-04-25,-467000.000000,442514000.000000,,374470000.000000,68044000.000000,,10.224000,,347171000.000000,389299863.000000,,,5.171000,0.212000,115000.000000,52000.000000,63000.000000,128955.000000,39806000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,364999000.000000,,409291274.000000,1184060759.000000,-9.000000,-9.085000,,,0.892000,,,1550000.000000,,21496000.000000,,325000.000000,8371000.000000,8371000.000000,0.000000,77515000.000000,72412000.000000,5103000.000000,,,,,,,,,,,,,,,,,,,29482000.000000,,3.844000,-11.849000,-11.454000,13782000.000000,,42.640000,23.160000,22.409000,62476000.000000,-177317000.000000,,,,,,,,,,1.000000,36895677.000000,35700000.000000,,,440964000.000000,1726000.000000,,2583000.000000,12.352000
ARQ,2015-12-31,2016-03-25,2015-12-31,2015-Q4,302058000.000000,1606819183.000000,2025-04-25,-467000.000000,442514000.000000,,374470000.000000,68044000.000000,,10.224000,,347171000.000000,387651942.000000,,,5.171000,0.212000,115000.000000,52000.000000,63000.000000,128409.000000,39806000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,364999000.000000,,407558728.000000,1219295651.000000,-9.000000,-9.395000,,,0.896000,,,1550000.000000,,21496000.000000,,325000.000000,0.000000,0.000000,0.000000,77515000.000000,72412000.000000,5103000.000000,,,,,,,,,,,,,,,,,,,29482000.000000,,3.943000,-12.153000,-11.092000,13782000.000000,,41.120000,23.755000,21.702000,62476000.000000,-177317000.000000,,,,,,,,,,1.000000,39076342.000000,35700000.000000,,,440964000.000000,1726000.000000,,2583000.000000,12.352000
ARQ,2016-06-30,2016-08-01,2016-06-30,2016-Q2,880718000.000000,2076516814.000000,2025-04-25,-1039000.000000,1066524000.000000,,992267000.000000,74257000.000000,,18.676000,,967339000.000000,1062893089.000000,,,8.895000,0.461000,90000.000000,53000.000000,37000.000000,98890.000000,306842000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,729800000.000000,,801889902.000000,1013722615.000000,,,,,0.910000,,,1226000.000000,,-13500000.000000,,322000.000000,0.000000,0.000000,0.000000,336725000.000000,111549000.000000,225176000.000000,,,,,,,,,,,,,,,,,,,22673000.000000,,2.590000,,,15091000.000000,,53.140000,,,72117000.000000,-140845000.000000,,,,,,,,,,1.000000,39076342.000000,39076342.000000,,,1065298000.000000,1756000.000000,,2142000.000000,27.262000
ARQ,2016-12-31,2017-03-23,2016-12-31,2016-Q4,903441000.000000,3730090130.000000,2025-04-25,-1090000.000000,1083338000.000000,,1007232000.000000,76106000.000000,,16.603000,,979811000.000000,1054013554.000000,,,9.704000,0.428000,63000.000000,54000.000000,9000.000000,67771.000000,285612000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,758701000.000000,,816158563.000000,2676144347.000000,46.000000,42.577000,,,0.930000,,,1023000.000000,,-1224000.000000,,300000.000000,0.000000,0.000000,0.000000,324637000.000000,103791000.000000,220846000.000000,,,,,,,,,,,,,,,,,,,31269000.000000,,4.570000,64.199000,63.528000,14961000.000000,,80.640000,22.871000,22.594000,74070000.000000,-112272000.000000,,,,,,,,,,1.000000,46256078.000000,45696000.000000,,,1082315000.000000,1957000.000000,,1022000.000000,23.685000
ARQ,2017-03-31,2017-04-28,2017-03-31,2017-Q1,864138000.000000,4017802935.000000,2025-04-25,-1051000.000000,1072814000.000000,,992122000.000000,80692000.000000,,16.174000,-1035000.000000,957419000.000000,1025952636.000000,0.000000,-13605000.000000,7.752000,0.434000,50000.000000,50000.000000,0.000000,53579.000000,270354000.000000,1050000.000000,0.000000,0.000000,0.000000,-13605000.000000,-12555000.000000,-0.315000,-13453708.000000,-14578868.000000,-13605000.000000,-0.290000,-0.290000,-0.311000,748150000.000000,,801703815.000000,2991903878.000000,,,-23878000.000000,-0.516000,0.933000,39863000.000000,1.000000,963000.000000,0.000000,-13502000.000000,,324000.000000,0.000000,0.000000,0.000000,324665000.000000,127984000.000000,196681000.000000,-19856000.000000,,0.000000,-14000.000000,,-14000.000000,5497000.000000,,-22843000.000000,-2496000.000000,-13605000.000000,-13605000.000000,-14578868.000000,0.000000,0.000000,-0.341000,51089000.000000,-11226000.000000,46964000.000000,0.000000,5.012000,,,15064000.000000,0.000000,86.860000,,,84857000.000000,-122854000.000000,39863000.000000,42716459.000000,44930000.000000,,,,,3023000.000000,6159000.000000,1.000000,46256078.000000,46256000.000000,48330000.000000,0.923000,1071851000.000000,1957000.000000,0.000000,1023000.000000,23.172000
ARQ,2017-06-30,2017-07-31,2017-06-30,2017-Q2,1154279000.000000,3670419789.000000,2025-04-25,-1406000.000000,1368355000.000000,,1284957000.000000,83398000.000000,,21.453000,-1417000.000000,1262061000.000000,1467001046.000000,0.000000,-35644000.000000,9.833000,0.280000,37000.000000,37000.000000,0.000000,43008.000000,254863000.000000,1094000.000000,0.000000,0.000000,0.000000,-35552000.000000,-34458000.000000,-1.039000,-40053470.000000,-41325119.000000,-35552000.000000,-0.740000,-0.740000,-0.860000,1069026000.000000,,1242620016.000000,2203461751.000000,-70.000000,-83.179000,-29872000.000000,-0.599000,0.860000,33168000.000000,1.000000,859000.000000,0.000000,-25206000.000000,,318000.000000,0.000000,0.000000,0.000000,299329000.000000,130678000.000000,168651000.000000,308676000.000000,,352806000.000000,-19000.000000,,352787000.000000,-1046000.000000,,-28455000.000000,-14611000.000000,-35644000.000000,-35644000.000000,-41432059.000000,0.000000,0.000000,-1.075000,54844000.000000,-21676000.000000,36686000.000000,0.000000,2.954000,-114.966000,-121.901000,15506000.000000,0.000000,79.350000,17.954000,18.647000,76884000.000000,-154553000.000000,33168000.000000,38553993.000000,47983000.000000,,,,,3945000.000000,6861000.000000,1.000000,46256078.000000,49830000.000000,51644000.000000,0.774000,1367496000.000000,1957000.000000,92000.000000,1018000.000000,27.443000
ARQ,2017-12-31,2018-03-23,2017-12-31,2017-Q4,1025948000.000000,5074831192.000000,2025-04-25,-1754000.000000,1286274000.000000,,1197647000.000000,88627000.000000,,20.453000,,1151211000.000000,1409381504.000000,,,6.975000,0.271000,9000.000000,9000.000000,0.000000,11018.000000,219892000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,1011983000.000000,,1238930242.000000,3665460707.000000,-26.000000,-26.920000,,,0.817000,,,2495000.000000,,-39122000.000000,,279000.000000,0.000000,0.000000,0.000000,274291000.000000,171699000.000000,102592000.000000,,,,,,,,,,,,,,,,,,,47122000.000000,,4.096000,-35.826000,-34.778000,16692000.000000,,99.630000,26.586000,25.825000,103749000.000000,-211441000.000000,,,,,,,,,,1.000000,50936778.000000,49479000.000000,,,1283779000.000000,1978000.000000,,865000.000000,25.946000
ARQ,2018-03-31,2018-04-27,2018-03-31,2018-Q1,912104000.000000,4614872087.000000,2025-04-25,-1757000.000000,1229864000.000000,,1135735000.000000,94129000.000000,,17.644000,,1108186000.000000,1356707720.000000,0.000000,-37283000.000000,5.079000,0.368000,0.000000,0.000000,0.000000,0.000000,268654000.000000,,0.000000,0.000000,0.000000,-30427000.000000,,,,-37250557.000000,-37221000.000000,-0.730000,-0.730000,-0.894000,899345000.000000,,1101032051.000000,3258164367.000000,,,,,0.817000,44838000.000000,1.000000,2555000.000000,6794000.000000,-104508000.000000,,293000.000000,0.000000,0.000000,0.000000,330519000.000000,223631000.000000,106888000.000000,,,,,,,,,,,-37283000.000000,-37283000.000000,-45644083.000000,0.000000,0.000000,-0.832000,76875000.000000,-32037000.000000,55657000.000000,0.000000,4.191000,,,16971000.000000,0.000000,90.600000,,,89371000.000000,-328620000.000000,44838000.000000,54893367.000000,69765000.000000,,,,,,7110000.000000,1.000000,50936778.000000,50973000.000000,50973000.000000,1.077000,1227309000.000000,1979000.000000,62000.000000,862000.000000,24.078000
ARQ,2018-06-30,2018-08-02,2018-06-30,2018-Q2,861295000.000000,5513906218.000000,2025-04-25,-1604000.000000,1204348000.000000,,1107881000.000000,96467000.000000,,17.387000,,1066766000.000000,1249140515.000000,0.000000,-21773000.000000,4.493000,0.360000,0.000000,0.000000,0.000000,0.000000,243149000.000000,,0.000000,0.000000,0.000000,-27251000.000000,,,,-31909836.000000,-21698000.000000,-0.420000,-0.420000,-0.492000,885659000.000000,,1037071429.000000,4264765703.000000,-29.000000,-30.813000,,,0.854000,57034000.000000,1.000000,1403000.000000,-5553000.000000,-110407000.000000,,267000.000000,0.000000,0.000000,0.000000,318688000.000000,246586000.000000,72102000.000000,,,,,,,,,,,-21773000.000000,-21773000.000000,-25495316.000000,0.000000,0.000000,-0.382000,90785000.000000,-33751000.000000,69141000.000000,0.000000,5.317000,-37.518000,-37.427000,17854000.000000,0.000000,108.250000,25.487000,25.487000,105329000.000000,-343796000.000000,57034000.000000,66784543.000000,81680000.000000,,,,,,9105000.000000,1.000000,50936778.000000,50936778.000000,,1.311000,1202945000.000000,1980000.000000,75000.000000,862000.000000,23.616000
