dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-12-31,2019-07-09,2018-12-31,2018-Q4,978554640.000000,11600417787.000000,2025-05-08,0.000000,1184539860.000000,,1040623500.000000,143916360.000000,,1.745000,,74606980.000000,74606980.000000,,,16.766000,0.056000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,1122010400.000000,,1122010400.000000,11525810807.000000,51.000000,50.717000,,,1.000000,,,65850260.000000,,982013760.000000,,0.000000,780246180.000000,780246180.000000,0.000000,62529460.000000,62068860.000000,460600.000000,,,,,,,,,,,,,,,,,,,44554300.000000,,10.339000,56.285000,53.690000,22616300.000000,,18.040000,27.391000,27.391000,187117280.000000,-27644260.000000,,,,,,,,,,10.000000,64303868.000000,64303868.000000,,,1118689600.000000,54102860.000000,,17774960.000000,1.740000
ARQ,2019-03-31,2019-07-16,2019-03-31,2019-Q1,993974940.000000,11696873589.000000,2025-05-08,0.000000,1222860380.000000,,1054973500.000000,167886880.000000,,1.769000,-2990960.000000,164753820.000000,164753820.000000,0.000000,10109260.000000,17.295000,0.075000,27920060.000000,4361700.000000,23558360.000000,27920060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3629360.000000,-3629360.000000,-0.044000,-3629360.000000,-3629360.000000,13163080.000000,0.017000,0.016000,0.017000,1137802680.000000,,1137802680.000000,11560039829.000000,,,87616620.000000,0.136000,1.000000,82741260.000000,1.000000,62426560.000000,-16792440.000000,962601500.000000,,0.000000,791484260.000000,791484260.000000,0.000000,85057700.000000,60998560.000000,24059140.000000,87242540.000000,0.000000,3640.000000,-1002820.000000,0.000000,-1470280.000000,-1894760.000000,1096200.000000,90607580.000000,2904300.000000,10109260.000000,10109260.000000,10109260.000000,0.000000,0.000000,0.122000,86370620.000000,-3629360.000000,56877240.000000,0.000000,10.280000,,,51499980.000000,0.000000,18.190000,,,100299780.000000,-13161820.000000,82741260.000000,82741260.000000,76451200.000000,,,,,0.000000,9919420.000000,10.000000,64303868.000000,64303868.000000,,0.129000,1160433820.000000,52395980.000000,3053820.000000,0.000000,1.805000
ARQ,2019-06-30,2019-08-14,2019-06-30,2019-Q2,1020082840.000000,13246596808.000000,2025-05-08,0.000000,1256823820.000000,,1093520960.000000,163302860.000000,,1.804000,-1989400.000000,81600820.000000,81600820.000000,0.000000,11883900.000000,14.890000,0.083000,27166720.000000,4373180.000000,22793540.000000,27166720.000000,0.000000,,0.000000,0.000000,0.000000,19203380.000000,,,,19203380.000000,15473920.000000,0.019000,0.019000,0.019000,1160111260.000000,,1160111260.000000,13192162708.000000,,,23886660.000000,0.037000,1.000000,108347960.000000,1.000000,59000060.000000,3729460.000000,1069951540.000000,,0.000000,891532600.000000,891532600.000000,0.000000,96712560.000000,73438120.000000,23274440.000000,-78623860.000000,,23380.000000,-1002680.000000,,3656800.000000,-108156720.000000,-106167320.000000,25876060.000000,-4529140.000000,11883900.000000,11883900.000000,11883900.000000,0.000000,0.000000,0.110000,89144580.000000,19203380.000000,69063820.000000,0.000000,11.418000,,,51369780.000000,0.000000,20.600000,,,122002160.000000,4482240.000000,108347960.000000,108347960.000000,78872640.000000,,,,,,10271940.000000,10.000000,64303868.000000,64303868.000000,,0.168000,1197823760.000000,51318400.000000,3590020.000000,221620.000000,1.863000
ARQ,2019-09-30,2019-11-06,2019-09-30,2019-Q3,1624215040.000000,14121129413.000000,2025-05-08,0.000000,1866242420.000000,,1715882280.000000,150360140.000000,,2.725000,-3242540.000000,650024900.000000,650024900.000000,0.000000,75186580.000000,18.719000,0.065000,26405540.000000,4339580.000000,22065960.000000,26405540.000000,0.000000,,0.000000,0.000000,0.000000,49102620.000000,,,,49102620.000000,97899060.000000,0.117000,0.116000,0.117000,1752048340.000000,,1752048340.000000,13497510053.000000,,,41426980.000000,0.064000,1.000000,145578160.000000,1.000000,58748480.000000,-48796440.000000,1092207340.000000,,0.000000,906333960.000000,906333960.000000,0.000000,114194080.000000,91667240.000000,22526840.000000,547379980.000000,,542239740.000000,-1007860.000000,,509184200.000000,-6473740.000000,46480.000000,44669520.000000,21044100.000000,75186580.000000,75186580.000000,75186580.000000,0.000000,0.000000,0.516000,96475540.000000,49102620.000000,79223200.000000,0.000000,8.060000,,,52016860.000000,0.000000,21.960000,,,161144620.000000,85572760.000000,145578160.000000,145578160.000000,85104040.000000,,,,,,11371500.000000,10.000000,64303868.000000,64303868.000000,,0.226000,1807493940.000000,37973600.000000,22712480.000000,8304940.000000,2.811000
ARQ,2019-12-31,2020-03-30,2019-12-31,2019-Q4,1823220000.000000,13327258010.000000,2025-05-08,0.000000,2120160000.000000,,1954540000.000000,165620000.000000,,3.022000,-7317100.000000,497280000.000000,497280000.000000,0.000000,206060260.000000,14.884000,0.078000,25340000.000000,3640000.000000,21700000.000000,25340000.000000,0.000000,,0.000000,0.000000,0.000000,336563360.000000,,,,336563360.000000,273723940.000000,0.328000,0.325000,0.328000,1966720000.000000,,1966720000.000000,12855318010.000000,32.000000,32.039000,17169740.000000,0.026000,1.000000,414572620.000000,1.000000,65800000.000000,62839420.000000,1451100000.000000,,0.000000,1059520000.000000,1038660000.000000,20860000.000000,153440000.000000,131320000.000000,22120000.000000,-135578660.000000,,-46760.000000,-1326640.000000,,1029280.000000,-161094780.000000,-157055360.000000,24486840.000000,-17179260.000000,206060260.000000,206060260.000000,206060260.000000,0.000000,0.000000,0.497000,109929260.000000,304643360.000000,117600000.000000,0.000000,6.776000,43.950000,42.490000,57960000.000000,0.000000,20.480000,17.740000,17.740000,420140000.000000,298200000.000000,414572620.000000,414572620.000000,93612120.000000,,,,,,16317140.000000,10.000000,65074502.000000,65074502.000000,,0.637000,2054360000.000000,19460000.000000,67663680.000000,10220000.000000,3.157000
ARQ,2020-03-31,2020-05-06,2020-03-31,2020-Q1,1869000000.000000,16613520361.000000,2025-05-08,0.000000,2142420000.000000,,1972600000.000000,169820000.000000,,3.098000,-8120000.000000,776020000.000000,776020000.000000,0.000000,37660000.000000,19.041000,0.063000,24360000.000000,3640000.000000,20720000.000000,24360000.000000,0.000000,,0.000000,0.000000,0.000000,49280000.000000,,,,49280000.000000,49560000.000000,0.058000,0.057000,0.058000,2015720000.000000,,2015720000.000000,15861860361.000000,35.000000,,298760000.000000,0.459000,1.000000,124880000.000000,1.000000,61880000.000000,-280000.000000,1225280000.000000,,0.000000,1059240000.000000,1038380000.000000,20860000.000000,126700000.000000,103600000.000000,23100000.000000,310240000.000000,,,-1120000.000000,,2100000.000000,1260000.000000,9380000.000000,306880000.000000,7420000.000000,37660000.000000,37660000.000000,37660000.000000,0.000000,0.000000,0.302000,114940000.000000,9940000.000000,96600000.000000,0.000000,8.242000,50.224000,48.815000,68740000.000000,0.000000,25.530000,20.940000,20.940000,159880000.000000,340200000.000000,124880000.000000,124880000.000000,100100000.000000,,,,,,14840000.000000,10.000000,65074502.000000,65074502.000000,,0.192000,2080540000.000000,16660000.000000,11900000.000000,5460000.000000,3.197000
ARQ,2020-06-30,2020-08-12,2020-06-30,2020-Q2,2398480000.000000,23674103828.000000,2025-05-08,0.000000,2895620000.000000,,2679740000.000000,215880000.000000,,3.845000,-20300000.000000,924700000.000000,924700000.000000,0.000000,472920000.000000,9.528000,0.157000,49840000.000000,6020000.000000,43820000.000000,49840000.000000,71820000.000000,,0.000000,0.000000,0.000000,635460000.000000,,,,635460000.000000,605920000.000000,0.726000,0.719000,0.726000,2501940000.000000,,2501940000.000000,22799243828.000000,21.000000,,-25760000.000000,-0.040000,1.000000,763140000.000000,1.000000,57820000.000000,29540000.000000,1681680000.000000,,0.000000,886060000.000000,864780000.000000,21280000.000000,393680000.000000,281260000.000000,112420000.000000,123760000.000000,,,-1260000.000000,,560000.000000,128660000.000000,148960000.000000,-5460000.000000,-14000000.000000,472920000.000000,472920000.000000,472920000.000000,0.000000,0.000000,0.620000,133560000.000000,629580000.000000,119840000.000000,0.000000,9.462000,29.898000,29.577000,101640000.000000,0.000000,36.380000,16.348000,16.348000,891940000.000000,823480000.000000,763140000.000000,763140000.000000,108500000.000000,,,,,,25060000.000000,10.000000,65074502.000000,65074502.000000,,1.173000,2837800000.000000,33460000.000000,133000000.000000,151900000.000000,4.361000
ARQ,2020-09-30,2020-11-04,2020-09-30,2020-Q3,2414440000.000000,24747833111.000000,2025-05-08,0.000000,3013080000.000000,,2730560000.000000,282520000.000000,,3.975000,-6440000.000000,1244880000.000000,1244880000.000000,0.000000,74200000.000000,8.638000,0.165000,47180000.000000,5880000.000000,41300000.000000,47180000.000000,71820000.000000,,0.000000,0.000000,0.000000,194740000.000000,,,,194740000.000000,93940000.000000,0.114000,0.113000,0.114000,2586780000.000000,,2586780000.000000,23550133111.000000,19.000000,,704480000.000000,1.083000,1.000000,241360000.000000,1.000000,53900000.000000,100800000.000000,1445360000.000000,,0.000000,1291360000.000000,1200780000.000000,90580000.000000,426300000.000000,316120000.000000,110180000.000000,354480000.000000,,0.000000,-1820000.000000,,2660000.000000,-359100000.000000,-352660000.000000,710920000.000000,-34300000.000000,74200000.000000,74200000.000000,74200000.000000,0.000000,0.000000,0.307000,121240000.000000,120120000.000000,135100000.000000,0.000000,9.567000,31.293000,31.020000,102200000.000000,0.000000,38.030000,16.029000,16.029000,287700000.000000,904820000.000000,241360000.000000,241360000.000000,100940000.000000,,,,,,20300000.000000,10.000000,65074502.000000,65074502.000000,,0.371000,2959180000.000000,33040000.000000,19740000.000000,171640000.000000,4.547000
ARQ,2020-12-31,2021-02-23,2020-12-31,2020-Q4,2455320000.000000,24055289516.000000,2025-05-08,0.000000,2960020000.000000,,2630740000.000000,329280000.000000,,4.084000,-8120000.000000,1016400000.000000,1016400000.000000,0.000000,81340000.000000,14.997000,0.106000,44660000.000000,5880000.000000,38780000.000000,44660000.000000,71820000.000000,,0.000000,0.000000,0.000000,165200000.000000,,,,165200000.000000,77140000.000000,0.124000,0.122000,0.124000,2676940000.000000,,2676940000.000000,23083549516.000000,22.000000,,-119840000.000000,-0.183000,1.000000,286160000.000000,1.000000,47320000.000000,88060000.000000,1765540000.000000,,0.000000,1386000000.000000,1234660000.000000,151340000.000000,283080000.000000,175420000.000000,107660000.000000,-207060000.000000,,0.000000,-1960000.000000,,4620000.000000,-99960000.000000,-91840000.000000,-111720000.000000,-21420000.000000,81340000.000000,81340000.000000,81340000.000000,0.000000,0.000000,0.284000,161980000.000000,124180000.000000,166040000.000000,0.000000,8.986000,36.113000,35.910000,103040000.000000,0.000000,36.700000,16.994000,16.994000,347620000.000000,994980000.000000,286160000.000000,286160000.000000,129640000.000000,,,,,,32340000.000000,10.000000,65545748.000000,65545748.000000,,0.437000,2912700000.000000,59640000.000000,-4200000.000000,0.000000,4.444000
ARQ,2021-03-31,2021-05-05,2021-03-31,2021-Q1,2610160000.000000,24042180366.000000,2025-05-08,0.000000,3109400000.000000,,2791180000.000000,318220000.000000,,4.292000,-3920000.000000,1104880000.000000,1104880000.000000,0.000000,153440000.000000,15.419000,0.105000,52920000.000000,7280000.000000,45640000.000000,52920000.000000,71820000.000000,,0.000000,0.000000,0.000000,210000000.000000,,,,210000000.000000,199360000.000000,0.235000,0.233000,0.235000,2813300000.000000,,2813300000.000000,22990220366.000000,19.000000,,161980000.000000,0.247000,1.000000,221340000.000000,1.000000,44380000.000000,10640000.000000,1832040000.000000,,0.000000,1553440000.000000,1426740000.000000,126700000.000000,296100000.000000,181020000.000000,115080000.000000,54040000.000000,,-26600000.000000,-1680000.000000,,-30800000.000000,-81060000.000000,-77140000.000000,165900000.000000,34440000.000000,153440000.000000,153440000.000000,153440000.000000,0.000000,0.000000,0.693000,146860000.000000,74480000.000000,160440000.000000,0.000000,8.546000,30.748000,30.592000,117880000.000000,0.000000,36.680000,15.901000,15.901000,264040000.000000,1122800000.000000,221340000.000000,221340000.000000,118720000.000000,,,,,,28140000.000000,10.000000,65545748.000000,65545748.000000,,0.338000,3065020000.000000,24780000.000000,45920000.000000,9800000.000000,4.676000
