dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2001-09-30,2002-02-05,2001-11-03,2002-Q3,50394000.000000,,2025-03-25,0.000000,601393000.000000,,237927000.000000,363466000.000000,,-0.075000,,7982000.000000,7982000.000000,,,1.269000,-19.541000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-32436000.000000,,-32436000.000000,,,,,,1.000000,,,311075000.000000,,94803000.000000,,211822000.000000,0.000000,0.000000,0.000000,633829000.000000,187533000.000000,446296000.000000,,,,,,,,,,,,,,,,,,,585097000.000000,,,,,51840000.000000,,,,,5263000.000000,-16570000.000000,,,,,,,,,,1.000000,432516440.000000,432516440.000000,,,290318000.000000,4825000.000000,,3098000.000000,0.671000
ARQ,2001-12-31,2002-05-01,2002-02-02,2002-Q4,31107000.000000,1164680604.000000,2025-03-25,0.000000,606843000.000000,,236704000.000000,370139000.000000,,-0.014000,-5676000.000000,80750000.000000,80750000.000000,403405000.000000,18786000.000000,1.151000,-153.282000,0.000000,0.000000,0.000000,0.000000,0.000000,7931000.000000,0.000000,0.000000,0.000000,36266000.000000,44197000.000000,0.086000,44197000.000000,36266000.000000,32141000.000000,0.065000,0.064000,0.065000,-3985000.000000,,-3985000.000000,1083930604.000000,32.000000,16.803000,113896000.000000,0.395000,1.000000,110806000.000000,0.215000,317957000.000000,4125000.000000,2539000.000000,,138351000.000000,0.000000,0.000000,0.000000,610828000.000000,205597000.000000,405231000.000000,72768000.000000,0.000000,0.000000,-41120000.000000,0.000000,-41120000.000000,-5684000.000000,0.000000,119572000.000000,0.000000,18786000.000000,18786000.000000,18786000.000000,0.000000,0.000000,0.037000,74663000.000000,36143000.000000,548220000.000000,0.000000,-292.266000,167.339000,106.771000,51623000.000000,0.000000,2.562000,1.039000,0.658000,5930000.000000,2216000.000000,514211000.000000,514211000.000000,0.000000,,,,,0.000000,66732000.000000,1.000000,454509504.000000,288072000.000000,315176000.000000,1.785000,288886000.000000,3418000.000000,13355000.000000,3065000.000000,1.003000
ARQ,2002-03-31,2002-06-13,2002-05-04,2003-Q1,133039000.000000,1305132270.000000,2025-03-25,0.000000,647547000.000000,,275821000.000000,371726000.000000,,1.147000,-6133000.000000,113397000.000000,113397000.000000,202314000.000000,4914000.000000,1.932000,0.299000,0.000000,0.000000,0.000000,0.000000,0.000000,5120000.000000,0.000000,0.000000,0.000000,9172000.000000,14292000.000000,0.053000,14292000.000000,9172000.000000,8221000.000000,0.011000,0.010000,0.011000,498470000.000000,,498470000.000000,1191735270.000000,,,-65150000.000000,-0.150000,1.000000,69091000.000000,0.255000,317957000.000000,951000.000000,73411000.000000,,145990000.000000,0.000000,0.000000,0.000000,149077000.000000,142782000.000000,6295000.000000,32647000.000000,0.000000,347541000.000000,-249008000.000000,0.000000,98533000.000000,-6869000.000000,0.000000,-59017000.000000,0.000000,4914000.000000,4914000.000000,4914000.000000,0.000000,0.000000,0.018000,60377000.000000,8714000.000000,95553000.000000,0.000000,2.618000,,,52534000.000000,0.000000,2.870000,,,4924000.000000,7130000.000000,271405000.000000,271405000.000000,0.000000,,,,,0.000000,55257000.000000,1.000000,454749920.000000,434744000.000000,469624000.000000,0.624000,329590000.000000,3418000.000000,3307000.000000,3065000.000000,0.758000
ARQ,2002-06-30,2002-09-12,2002-08-03,2003-Q2,132961000.000000,1161584466.000000,2025-03-25,0.000000,679577000.000000,,302138000.000000,377439000.000000,,1.110000,-11403000.000000,152623000.000000,152623000.000000,200817000.000000,6118000.000000,1.786000,0.347000,0.000000,0.000000,0.000000,0.000000,0.000000,5623000.000000,0.000000,0.000000,0.000000,10370000.000000,15993000.000000,0.058000,15993000.000000,10370000.000000,10231000.000000,0.014000,0.013000,0.014000,504638000.000000,,504638000.000000,1008961466.000000,,,39813000.000000,0.088000,1.000000,73445000.000000,0.268000,317957000.000000,139000.000000,39820000.000000,,132786000.000000,0.000000,0.000000,0.000000,174939000.000000,169177000.000000,5762000.000000,39226000.000000,0.000000,50000.000000,-615000.000000,0.000000,-565000.000000,-11425000.000000,0.000000,51216000.000000,0.000000,6118000.000000,6118000.000000,6118000.000000,0.000000,0.000000,0.022000,63582000.000000,9863000.000000,114115000.000000,0.000000,2.302000,,,58286000.000000,0.000000,2.550000,,,4762000.000000,13248000.000000,274262000.000000,274262000.000000,0.000000,,,,,0.000000,57959000.000000,1.000000,455523320.000000,454744000.000000,490408000.000000,0.603000,361620000.000000,3418000.000000,4113000.000000,3065000.000000,0.795000
ARQ,2002-09-30,2002-12-16,2002-11-02,2003-Q3,137490000.000000,912824640.000000,2025-03-25,0.000000,796623000.000000,,413369000.000000,383254000.000000,,1.131000,-11751000.000000,125121000.000000,125121000.000000,212883000.000000,9785000.000000,1.498000,0.547000,0.000000,0.000000,0.000000,0.000000,0.000000,5862000.000000,0.000000,0.000000,0.000000,16501000.000000,22363000.000000,0.078000,22363000.000000,16501000.000000,16362000.000000,0.021000,0.020000,0.021000,514902000.000000,,514902000.000000,787703640.000000,11.000000,8.134000,-27969000.000000,-0.061000,1.000000,73845000.000000,0.258000,317957000.000000,139000.000000,77666000.000000,,268393000.000000,0.000000,0.000000,0.000000,281721000.000000,275879000.000000,5842000.000000,-27502000.000000,0.000000,479000.000000,0.000000,0.000000,479000.000000,-11763000.000000,0.000000,-16218000.000000,0.000000,9785000.000000,9785000.000000,9785000.000000,0.000000,0.000000,0.034000,57863000.000000,15982000.000000,209491000.000000,0.000000,1.773000,23.049000,18.018000,64149000.000000,0.000000,2.000000,0.678000,0.676000,7461000.000000,23033000.000000,286728000.000000,286728000.000000,0.000000,,,,,0.000000,52001000.000000,1.000000,456412320.000000,455448000.000000,488888000.000000,0.630000,478666000.000000,3418000.000000,6577000.000000,3065000.000000,1.051000
ARQ,2002-12-31,2003-05-02,2003-02-01,2003-Q4,169682000.000000,642943072.000000,2025-03-25,0.000000,803909000.000000,,416453000.000000,387456000.000000,,1.202000,-10242000.000000,232030000.000000,232030000.000000,393477000.000000,31587000.000000,1.688000,0.465000,0.000000,0.000000,0.000000,0.000000,0.000000,5948000.000000,0.000000,0.000000,0.000000,53026000.000000,58974000.000000,0.113000,58974000.000000,53026000.000000,52887000.000000,0.070000,0.066000,0.070000,548675000.000000,,548675000.000000,410913072.000000,5.000000,3.681000,106647000.000000,0.234000,1.000000,126919000.000000,0.244000,317957000.000000,139000.000000,7151000.000000,,161369000.000000,0.000000,0.000000,0.000000,255234000.000000,246771000.000000,8463000.000000,106909000.000000,0.000000,280000.000000,0.000000,0.000000,280000.000000,-10260000.000000,0.000000,116889000.000000,0.000000,31587000.000000,31587000.000000,31587000.000000,0.000000,0.000000,0.061000,74407000.000000,52512000.000000,160378000.000000,0.000000,1.172000,12.269000,12.134000,68394000.000000,0.000000,1.407000,0.475000,0.469000,6893000.000000,54620000.000000,520396000.000000,520396000.000000,0.000000,,,,,1906000.000000,68459000.000000,1.000000,456797920.000000,456312000.000000,484480000.000000,1.140000,485952000.000000,6034000.000000,21300000.000000,26205000.000000,1.065000
ARQ,2003-03-31,2003-06-13,2003-05-03,2004-Q1,171724000.000000,724058641.000000,2025-03-25,0.000000,744821000.000000,,352408000.000000,392413000.000000,,1.217000,-11217000.000000,174477000.000000,174477000.000000,236300000.000000,6611000.000000,1.950000,0.341000,0.000000,0.000000,0.000000,0.000000,0.000000,6217000.000000,0.000000,0.000000,0.000000,11214000.000000,17431000.000000,0.054000,17431000.000000,11214000.000000,11068000.000000,0.015000,0.014000,0.015000,555592000.000000,,555592000.000000,549581641.000000,6.000000,4.789000,-57603000.000000,-0.126000,1.000000,85441000.000000,0.266000,317957000.000000,146000.000000,71703000.000000,,156194000.000000,0.000000,0.000000,0.000000,189229000.000000,180684000.000000,8545000.000000,-57553000.000000,0.000000,140000.000000,0.000000,0.000000,140000.000000,-11307000.000000,0.000000,-46386000.000000,0.000000,6611000.000000,6611000.000000,6611000.000000,0.000000,0.000000,0.021000,74752000.000000,10689000.000000,112186000.000000,0.000000,1.303000,13.383000,13.281000,73328000.000000,0.000000,1.594000,0.516000,0.519000,5195000.000000,61231000.000000,321741000.000000,321741000.000000,0.000000,,,,,166000.000000,68535000.000000,1.000000,454311304.000000,456664000.000000,481888000.000000,0.705000,426864000.000000,6034000.000000,4457000.000000,7255000.000000,0.935000
ARQ,2003-06-30,2003-09-12,2003-08-02,2004-Q2,148452000.000000,941152195.000000,2025-03-25,-75000.000000,751466000.000000,,337640000.000000,413826000.000000,,1.218000,-23706000.000000,144147000.000000,144147000.000000,216691000.000000,6606000.000000,1.785000,0.358000,0.000000,0.000000,0.000000,0.000000,0.000000,6872000.000000,0.000000,0.000000,0.000000,11224000.000000,18096000.000000,0.059000,18096000.000000,11224000.000000,11056000.000000,0.015000,0.014000,0.015000,553277000.000000,,553277000.000000,797005195.000000,9.000000,6.820000,-14452000.000000,-0.032000,1.000000,88983000.000000,0.291000,320691000.000000,168000.000000,97440000.000000,,156374000.000000,0.000000,0.000000,0.000000,198189000.000000,189188000.000000,9001000.000000,-30330000.000000,-2892000.000000,-10281000.000000,-2296000.000000,0.000000,-12577000.000000,-26999000.000000,0.000000,9254000.000000,-8000.000000,6606000.000000,6606000.000000,6606000.000000,0.000000,0.000000,0.022000,78134000.000000,10849000.000000,120736000.000000,0.000000,1.701000,17.241000,17.366000,91665000.000000,0.000000,2.101000,0.656000,0.665000,6213000.000000,67837000.000000,305674000.000000,305674000.000000,0.000000,,,,,1435000.000000,71262000.000000,1.000000,447901104.000000,454112000.000000,481544000.000000,0.673000,430775000.000000,19852000.000000,4450000.000000,5591000.000000,0.949000
ARQ,2003-09-30,2003-12-11,2003-11-01,2004-Q3,128559000.000000,847328351.000000,2025-03-25,-25000.000000,866022000.000000,,443077000.000000,422945000.000000,,1.216000,-16802000.000000,91577000.000000,91577000.000000,227568000.000000,10693000.000000,1.409000,0.596000,0.000000,0.000000,0.000000,0.000000,0.000000,7718000.000000,0.000000,0.000000,0.000000,18181000.000000,25899000.000000,0.079000,25899000.000000,18181000.000000,17953000.000000,0.024000,0.022000,0.024000,542616000.000000,,542616000.000000,755751351.000000,8.000000,6.277000,-29857000.000000,-0.067000,1.000000,98474000.000000,0.302000,320826000.000000,228000.000000,139101000.000000,,309691000.000000,0.000000,0.000000,0.000000,323406000.000000,314518000.000000,8888000.000000,-52570000.000000,-135000.000000,-22618000.000000,0.000000,0.000000,-22618000.000000,-16955000.000000,0.000000,-13055000.000000,58000.000000,10693000.000000,10693000.000000,10693000.000000,0.000000,0.000000,0.033000,80583000.000000,17891000.000000,239184000.000000,0.000000,1.562000,15.268000,15.423000,100718000.000000,0.000000,1.913000,0.575000,0.579000,8013000.000000,78530000.000000,326042000.000000,326042000.000000,0.000000,,,,,1214000.000000,72865000.000000,1.000000,443047504.000000,446136000.000000,475448000.000000,0.731000,545196000.000000,22832000.000000,7260000.000000,5574000.000000,1.222000
ARQ,2003-12-31,2004-04-14,2004-01-31,2004-Q4,188902000.000000,1021256999.000000,2025-03-25,296000.000000,898924000.000000,,472752000.000000,426172000.000000,,1.333000,-11282000.000000,204905000.000000,204905000.000000,461705000.000000,39557000.000000,1.665000,0.513000,0.000000,0.000000,0.000000,0.000000,0.000000,8140000.000000,0.000000,0.000000,0.000000,65232000.000000,73372000.000000,0.117000,73372000.000000,65232000.000000,65111000.000000,0.089000,0.083000,0.089000,594033000.000000,,594033000.000000,816351999.000000,8.000000,6.056000,108705000.000000,0.244000,1.000000,163676000.000000,0.262000,320826000.000000,121000.000000,89343000.000000,,223526000.000000,0.000000,0.000000,0.000000,304891000.000000,283850000.000000,21041000.000000,113328000.000000,0.000000,4652000.000000,0.000000,0.000000,4652000.000000,-11295000.000000,0.000000,119987000.000000,-16000.000000,39557000.000000,39557000.000000,39557000.000000,0.000000,0.000000,0.063000,98721000.000000,64955000.000000,204011000.000000,0.000000,1.719000,16.091000,15.878000,104031000.000000,0.000000,2.239000,0.647000,0.639000,9545000.000000,118087000.000000,625381000.000000,625381000.000000,0.000000,,,,,6887000.000000,90581000.000000,1.000000,456172864.000000,445648000.000000,473576000.000000,1.403000,578098000.000000,20436000.000000,25554000.000000,17731000.000000,1.297000
