dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-09-30,2019-01-30,2018-09-30,2018-Q3,243412000.000000,,2025-05-17,235000.000000,262181000.000000,,258351000.000000,3830000.000000,,-1.519000,,141267000.000000,141267000.000000,,,17.294000,-0.170000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-91778000.000000,,-91778000.000000,,,,,,1.000000,,,0.000000,,105975000.000000,,0.000000,115376000.000000,115376000.000000,0.000000,15592000.000000,14939000.000000,653000.000000,,,,,,,,,,,,,,,,,,,3622000.000000,,,,,3007000.000000,,,,,0.000000,-115069000.000000,,,,,,,,,,1.000000,60401910.000000,60401910.000000,,,262181000.000000,0.000000,,0.000000,4.341000
ARQ,2018-12-31,2019-03-22,2018-12-31,2018-Q4,211550000.000000,1422911254.000000,2025-05-17,-61000.000000,239419000.000000,,231953000.000000,7466000.000000,,-15.762000,-322000.000000,105419000.000000,105419000.000000,0.000000,-38794000.000000,11.369000,-0.176000,0.000000,0.000000,0.000000,0.000000,0.000000,134000.000000,0.000000,0.000000,0.000000,-38790000.000000,-38656000.000000,,-38656000.000000,-38790000.000000,-38794000.000000,-4.950000,-4.950000,-4.950000,-120069000.000000,,-120069000.000000,1317492254.000000,-9.000000,-8.983000,-25345000.000000,-3.327000,1.000000,0.000000,,0.000000,4000.000000,113597000.000000,,0.000000,123439000.000000,123439000.000000,0.000000,21121000.000000,20403000.000000,718000.000000,-35848000.000000,0.000000,-229552000.000000,0.000000,0.000000,-2144000.000000,-8681000.000000,-8359000.000000,-25023000.000000,0.000000,-38794000.000000,-38794000.000000,-38794000.000000,0.000000,0.000000,,39807000.000000,-39807000.000000,2182000.000000,0.000000,-11.851000,-9.682000,-0.956000,3193000.000000,0.000000,21.600000,,,0.000000,-153863000.000000,0.000000,0.000000,25872000.000000,,,,,10799000.000000,13935000.000000,1.000000,65875521.000000,7617751.000000,7617751.000000,0.000000,239419000.000000,0.000000,0.000000,0.000000,31.429000
ARQ,2019-03-31,2019-05-14,2019-03-31,2019-Q1,472636000.000000,1271081294.000000,2025-05-17,79000.000000,515949000.000000,,497788000.000000,18161000.000000,,13.224000,-347000.000000,170847000.000000,170847000.000000,0.000000,-32611000.000000,19.791000,0.074000,10537000.000000,0.000000,10537000.000000,10537000.000000,0.000000,169000.000000,0.000000,0.000000,0.000000,-32592000.000000,-32423000.000000,,-32423000.000000,-32592000.000000,-32611000.000000,-0.900000,-0.900000,-0.900000,480260000.000000,,480260000.000000,1110771294.000000,,,-28121000.000000,-0.774000,1.000000,0.000000,,0.000000,19000.000000,330487000.000000,,0.000000,310374000.000000,310374000.000000,0.000000,35689000.000000,25152000.000000,10537000.000000,65428000.000000,-1000000.000000,291344000.000000,0.000000,0.000000,291344000.000000,-198142000.000000,-196795000.000000,-27774000.000000,0.000000,-32611000.000000,-32611000.000000,-32611000.000000,0.000000,0.000000,,34017000.000000,-34017000.000000,4548000.000000,0.000000,2.647000,,,16032000.000000,0.000000,19.290000,,,0.000000,-186474000.000000,0.000000,0.000000,24983000.000000,,,,,3089000.000000,8034000.000000,1.000000,65893276.000000,36317230.000000,36317230.000000,0.000000,515949000.000000,0.000000,0.000000,0.000000,14.207000
ARQ,2019-06-30,2019-08-08,2019-06-30,2019-Q2,462075000.000000,1286200320.000000,2025-05-17,496000.000000,507174000.000000,,489586000.000000,17588000.000000,,7.325000,-1380000.000000,148500000.000000,148500000.000000,0.000000,-44498000.000000,17.796000,0.149000,38219000.000000,0.000000,38219000.000000,38219000.000000,0.000000,205000.000000,0.000000,0.000000,0.000000,-44498000.000000,-44293000.000000,,-44293000.000000,-44498000.000000,-44498000.000000,-0.740000,-0.740000,-0.740000,441444000.000000,,441444000.000000,1175919320.000000,,,-38190000.000000,-0.634000,1.000000,0.000000,,0.000000,0.000000,369382000.000000,,0.000000,315495000.000000,315495000.000000,0.000000,65730000.000000,27511000.000000,38219000.000000,-22347000.000000,-1000000.000000,125000.000000,28222000.000000,0.000000,28347000.000000,-13884000.000000,-11504000.000000,-36810000.000000,0.000000,-44498000.000000,-44498000.000000,-44498000.000000,0.000000,0.000000,,46349000.000000,-46349000.000000,3030000.000000,0.000000,2.914000,,,16221000.000000,0.000000,19.510000,,,0.000000,-230972000.000000,0.000000,0.000000,35676000.000000,,,,,5140000.000000,9673000.000000,1.000000,65925183.000000,60265046.000000,60265046.000000,0.000000,507174000.000000,0.000000,0.000000,0.000000,8.416000
ARQ,2019-09-30,2019-11-12,2019-09-30,2019-Q3,419205000.000000,1481235076.000000,2025-05-17,328000.000000,469754000.000000,,452374000.000000,17380000.000000,,6.565000,-711000.000000,130708000.000000,130708000.000000,0.000000,-48500000.000000,13.638000,0.178000,37712000.000000,0.000000,37712000.000000,37712000.000000,0.000000,251000.000000,0.000000,0.000000,0.000000,-48500000.000000,-48249000.000000,,-48249000.000000,-48500000.000000,-48500000.000000,-0.800000,-0.800000,-0.800000,398873000.000000,,398873000.000000,1388239076.000000,-8.000000,-8.484000,-36821000.000000,-0.606000,1.000000,0.000000,,0.000000,0.000000,343589000.000000,,0.000000,315764000.000000,315764000.000000,0.000000,70881000.000000,33169000.000000,37712000.000000,-17792000.000000,0.000000,369000.000000,0.000000,0.000000,369000.000000,17949000.000000,18660000.000000,-36110000.000000,0.000000,-48500000.000000,-48500000.000000,-48500000.000000,0.000000,0.000000,,49986000.000000,-49986000.000000,2555000.000000,0.000000,3.714000,-9.010000,-3.035000,15993000.000000,0.000000,22.430000,,,0.000000,-279472000.000000,0.000000,0.000000,40148000.000000,,,,,5728000.000000,9838000.000000,1.000000,66038122.000000,60755872.000000,60755872.000000,0.000000,469754000.000000,0.000000,0.000000,0.000000,7.732000
ARQ,2019-12-31,2020-03-24,2019-12-31,2019-Q4,372394000.000000,658058695.000000,2025-05-17,258000.000000,426604000.000000,,409317000.000000,17287000.000000,,5.745000,-528000.000000,135089000.000000,135089000.000000,0.000000,-54698000.000000,11.086000,0.210000,37196000.000000,0.000000,37196000.000000,37196000.000000,0.000000,2464000.000000,0.000000,0.000000,0.000000,-54698000.000000,-52234000.000000,,-52234000.000000,-54698000.000000,-54698000.000000,-0.900000,-0.900000,-0.900000,352485000.000000,,352485000.000000,560165695.000000,-3.000000,-3.161000,-44668000.000000,-0.728000,1.000000,0.000000,,0.000000,0.000000,291788000.000000,,0.000000,266740000.000000,266740000.000000,0.000000,74119000.000000,36923000.000000,37196000.000000,4311000.000000,-1600000.000000,1518000.000000,0.000000,0.000000,1518000.000000,46933000.000000,49061000.000000,-44140000.000000,70000.000000,-54698000.000000,-54698000.000000,-54698000.000000,0.000000,0.000000,,55788000.000000,-55788000.000000,956000.000000,0.000000,1.867000,-3.650000,-3.015000,15728000.000000,0.000000,9.920000,,,0.000000,-334170000.000000,0.000000,0.000000,42596000.000000,,,,,6862000.000000,11592000.000000,1.000000,66336562.000000,61353973.000000,61353973.000000,0.000000,426604000.000000,0.000000,0.000000,0.000000,6.953000
ARQ,2020-03-31,2020-05-12,2020-03-31,2020-Q1,327076000.000000,1054103804.000000,2025-05-17,-505000.000000,371478000.000000,,355438000.000000,16040000.000000,,4.952000,-513000.000000,111353000.000000,111353000.000000,0.000000,-54074000.000000,12.532000,0.212000,36653000.000000,0.000000,36653000.000000,36653000.000000,0.000000,895000.000000,0.000000,0.000000,0.000000,-54074000.000000,-53179000.000000,,-53179000.000000,-54074000.000000,-54074000.000000,-0.870000,-0.870000,-0.870000,306463000.000000,,306463000.000000,979403804.000000,-5.000000,-4.948000,-52808000.000000,-0.853000,1.000000,0.000000,,0.000000,0.000000,268416000.000000,,0.000000,234812000.000000,234812000.000000,0.000000,65015000.000000,28362000.000000,36653000.000000,-23686000.000000,-2805000.000000,571000.000000,0.000000,0.000000,571000.000000,28038000.000000,31356000.000000,-52295000.000000,-50000.000000,-54074000.000000,-54074000.000000,-54074000.000000,0.000000,0.000000,,54967000.000000,-54967000.000000,2602000.000000,0.000000,3.440000,-5.224000,-4.799000,15406000.000000,0.000000,15.885000,,,0.000000,-388244000.000000,0.000000,0.000000,41414000.000000,,,,,8244000.000000,10748000.000000,1.000000,66358439.000000,61890323.000000,61890323.000000,0.000000,371478000.000000,0.000000,0.000000,0.000000,6.002000
ARQ,2020-06-30,2020-08-11,2020-06-30,2020-Q2,580856000.000000,1012305669.000000,2025-05-17,567000.000000,625076000.000000,,608400000.000000,16676000.000000,,6.311000,-441000.000000,486062000.000000,486062000.000000,0.000000,-66870000.000000,22.088000,0.487000,177208000.000000,0.000000,177208000.000000,177208000.000000,0.000000,987000.000000,0.000000,0.000000,0.000000,-66870000.000000,-65883000.000000,,-65883000.000000,-66870000.000000,-66870000.000000,-1.000000,-1.000000,-1.000000,420324000.000000,,420324000.000000,703451669.000000,-3.000000,-3.204000,-42840000.000000,-0.643000,1.000000,0.000000,,0.000000,0.000000,288678000.000000,,0.000000,114302000.000000,114302000.000000,0.000000,204752000.000000,27544000.000000,177208000.000000,374675000.000000,-15000000.000000,117233000.000000,193596000.000000,0.000000,310829000.000000,106245000.000000,121686000.000000,-42399000.000000,34000.000000,-66870000.000000,-66870000.000000,-66870000.000000,0.000000,0.000000,,65339000.000000,-65339000.000000,222000.000000,0.000000,2.408000,-4.516000,-3.739000,16049000.000000,0.000000,13.350000,,,0.000000,-455114000.000000,0.000000,0.000000,38684000.000000,,,,,8900000.000000,11655000.000000,1.000000,75828140.000000,66599915.000000,66599915.000000,0.000000,625076000.000000,0.000000,0.000000,0.000000,9.386000
ARQ,2020-09-30,2020-11-10,2020-09-30,2020-Q3,533599000.000000,703092141.000000,2025-05-17,342000.000000,584178000.000000,,566206000.000000,17972000.000000,,5.150000,-299000.000000,461956000.000000,461956000.000000,0.000000,-57812000.000000,17.365000,0.570000,179470000.000000,0.000000,179470000.000000,179470000.000000,0.000000,1177000.000000,0.000000,0.000000,0.000000,-57812000.000000,-56635000.000000,,-56635000.000000,-57812000.000000,-57812000.000000,-0.800000,-0.800000,-0.800000,372101000.000000,,372101000.000000,420606141.000000,-2.000000,-1.845000,-45229000.000000,-0.626000,1.000000,0.000000,,0.000000,0.000000,269085000.000000,,0.000000,93422000.000000,93422000.000000,0.000000,212077000.000000,32607000.000000,179470000.000000,-24080000.000000,-275000.000000,891000.000000,0.000000,0.000000,891000.000000,19959000.000000,20533000.000000,-44930000.000000,-26000.000000,-57812000.000000,-57812000.000000,-57812000.000000,0.000000,0.000000,,53569000.000000,-53569000.000000,865000.000000,0.000000,1.890000,-3.012000,-2.594000,17111000.000000,0.000000,9.260000,,,0.000000,-512926000.000000,0.000000,0.000000,41846000.000000,,,,,8923000.000000,11448000.000000,1.000000,75927877.000000,72245897.000000,72245897.000000,0.000000,584178000.000000,0.000000,0.000000,0.000000,8.086000
ARQ,2020-12-31,2021-02-26,2020-12-31,2020-Q4,483672000.000000,709960446.000000,2025-05-17,599000.000000,539433000.000000,,522322000.000000,17111000.000000,,4.378000,-250000.000000,486620000.000000,486620000.000000,0.000000,-64604000.000000,13.514000,0.682000,180099000.000000,0.000000,180099000.000000,180099000.000000,0.000000,1209000.000000,0.000000,0.000000,0.000000,-51938000.000000,-50729000.000000,,-50729000.000000,-51938000.000000,-64604000.000000,-0.880000,-0.880000,-0.880000,320684000.000000,,320684000.000000,403439446.000000,-2.000000,-1.782000,-36986000.000000,-0.505000,1.000000,0.000000,,0.000000,12666000.000000,194262000.000000,,0.000000,26573000.000000,26573000.000000,0.000000,218749000.000000,38650000.000000,180099000.000000,24622000.000000,-5300000.000000,249000.000000,0.000000,0.000000,249000.000000,61100000.000000,66650000.000000,-36736000.000000,51000.000000,-64604000.000000,-64604000.000000,-64604000.000000,0.000000,0.000000,,60087000.000000,-60087000.000000,7508000.000000,0.000000,2.214000,-2.917000,-2.648000,16084000.000000,0.000000,9.400000,,,0.000000,-577530000.000000,0.000000,0.000000,38910000.000000,,,,,12681000.000000,15877000.000000,1.000000,75527707.000000,73246504.000000,73246504.000000,0.000000,539433000.000000,0.000000,0.000000,0.000000,7.365000
