dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2021-12-31,2023-01-12,2021-12-31,2021-Q4,100592000.000000,,2025-05-08,0.000000,111155000.000000,,109250000.000000,1905000.000000,,-23.855000,,105305000.000000,105305000.000000,,,12.618000,-0.138000,621000.000000,349000.000000,272000.000000,621000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-64735000.000000,,-64735000.000000,,,,,,1.000000,,,0.000000,,-2187000.000000,,0.000000,2002000.000000,2002000.000000,0.000000,8930000.000000,8658000.000000,272000.000000,,,,,,,,,,,,,,,,,,,3484000.000000,,,,,1794000.000000,,,,,0.000000,-64736000.000000,,,,,,,,,,0.333000,77544741.000000,8141000.000000,,,111155000.000000,0.000000,,0.000000,40.962000
ARQ,2022-09-30,2023-01-30,2022-09-30,2022-Q3,92538000.000000,,2025-05-08,-135000.000000,108406000.000000,,104767000.000000,3639000.000000,,-2.986000,,28092000.000000,28092000.000000,,,8.567000,-0.119000,330000.000000,330000.000000,0.000000,330000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-103913000.000000,,-103913000.000000,,,,,,1.000000,,,0.000000,,68415000.000000,,0.000000,74659000.000000,74659000.000000,0.000000,12344000.000000,12229000.000000,115000.000000,,,,,,,,,,,,,,,,,,,5703000.000000,,,,,1370000.000000,,,,,0.000000,-105077000.000000,,,,,,,,,,0.333000,104394741.000000,104394741.000000,,,108406000.000000,0.000000,,0.000000,3.115000
ARQ,2022-12-31,2023-03-30,2022-12-31,2022-Q4,80079000.000000,845165745.000000,2025-05-08,-110000.000000,97845000.000000,,93089000.000000,4756000.000000,,-34.364000,-71000.000000,26091000.000000,26091000.000000,0.000000,-11875000.000000,7.155000,-0.113000,260000.000000,260000.000000,0.000000,260000.000000,0.000000,148000.000000,0.000000,0.000000,0.000000,-12055000.000000,-11907000.000000,,-11907000.000000,-12055000.000000,-12055000.000000,-3.510000,-3.510000,-3.510000,-115140000.000000,,-115140000.000000,819334745.000000,-16.000000,-16.167000,-12097000.000000,-3.610000,1.000000,0.000000,,0.000000,0.000000,59004000.000000,,0.000000,64750000.000000,64750000.000000,0.000000,13010000.000000,13010000.000000,0.000000,-2001000.000000,0.000000,0.000000,0.000000,0.000000,-316000.000000,10341000.000000,10412000.000000,-12026000.000000,0.000000,-11875000.000000,-11875000.000000,-11875000.000000,0.000000,0.000000,,12956000.000000,-12956000.000000,6009000.000000,0.000000,-7.340000,-15.996000,-1.337000,1293000.000000,0.000000,22.100000,,,0.000000,-116952000.000000,0.000000,0.000000,8360000.000000,,,,,623000.000000,4596000.000000,0.333000,114729529.000000,10052000.000000,10052000.000000,0.000000,97845000.000000,0.000000,-180000.000000,0.000000,29.202000
ARQ,2023-03-31,2023-05-11,2023-03-31,2023-Q1,235153000.000000,956642042.000000,2025-05-08,147000.000000,247353000.000000,,246155000.000000,1198000.000000,,9.895000,0.000000,126493000.000000,126493000.000000,0.000000,-17975000.000000,22.374000,0.047000,168000.000000,168000.000000,0.000000,168000.000000,0.000000,154000.000000,0.000000,0.000000,0.000000,-17950000.000000,-17796000.000000,,-17796000.000000,-17950000.000000,-17950000.000000,-0.750000,-0.750000,-0.750000,236351000.000000,,236351000.000000,830317042.000000,,,-20308000.000000,-0.850000,1.000000,0.000000,,0.000000,0.000000,110026000.000000,,0.000000,114369000.000000,114369000.000000,0.000000,11002000.000000,11002000.000000,0.000000,100402000.000000,0.000000,172327000.000000,0.000000,0.000000,169726000.000000,-49016000.000000,-49016000.000000,-20308000.000000,0.000000,-17975000.000000,-17975000.000000,-17975000.000000,0.000000,0.000000,,19649000.000000,-19649000.000000,4945000.000000,0.000000,4.048000,,,1139000.000000,0.000000,25.000000,,,0.000000,-134927000.000000,0.000000,0.000000,13135000.000000,,,,,2533000.000000,6514000.000000,0.333000,114798193.000000,71655000.000000,71655000.000000,0.000000,247353000.000000,0.000000,25000.000000,0.000000,10.356000
ARQ,2023-06-30,2023-08-10,2023-06-30,2023-Q2,213209000.000000,1123169077.000000,2025-05-08,-390000.000000,229428000.000000,,228222000.000000,1206000.000000,,5.605000,-191000.000000,40591000.000000,40591000.000000,0.000000,-23280000.000000,15.202000,0.070000,73000.000000,73000.000000,0.000000,73000.000000,0.000000,162000.000000,0.000000,0.000000,0.000000,-23162000.000000,-23000000.000000,,-23000000.000000,-23162000.000000,-23162000.000000,-0.600000,-0.600000,-0.600000,214415000.000000,,214415000.000000,1082651077.000000,,,-17085000.000000,-0.447000,1.000000,0.000000,,0.000000,0.000000,173897000.000000,,0.000000,183996000.000000,183996000.000000,0.000000,15013000.000000,15013000.000000,0.000000,-85902000.000000,0.000000,179000.000000,0.000000,0.000000,-297000.000000,-68711000.000000,-68520000.000000,-16894000.000000,0.000000,-23280000.000000,-23280000.000000,-23280000.000000,0.000000,0.000000,,25987000.000000,-25987000.000000,5699000.000000,0.000000,5.238000,,,1168000.000000,0.000000,29.350000,,,0.000000,-158207000.000000,0.000000,0.000000,19411000.000000,,,,,1702000.000000,6576000.000000,0.333000,114805483.000000,114759000.000000,114759000.000000,0.000000,229428000.000000,0.000000,118000.000000,0.000000,5.998000
ARQ,2023-06-30,2023-11-16,2023-06-30,2023-Q2,213209000.000000,1834955954.000000,2025-05-08,-390000.000000,229428000.000000,,228222000.000000,1206000.000000,,5.605000,-191000.000000,40591000.000000,40591000.000000,0.000000,-23280000.000000,15.202000,0.070000,73000.000000,73000.000000,0.000000,73000.000000,0.000000,162000.000000,0.000000,0.000000,0.000000,-23162000.000000,-23000000.000000,,-23000000.000000,-23162000.000000,-23162000.000000,-0.600000,-0.600000,-0.600000,214415000.000000,,214415000.000000,1794437954.000000,,,-17085000.000000,-0.447000,1.000000,0.000000,,0.000000,0.000000,173897000.000000,,0.000000,183996000.000000,183996000.000000,0.000000,15013000.000000,15013000.000000,0.000000,-85902000.000000,0.000000,179000.000000,0.000000,0.000000,-297000.000000,-68711000.000000,-68520000.000000,-16894000.000000,0.000000,-23280000.000000,-23280000.000000,-23280000.000000,0.000000,0.000000,,25987000.000000,-25987000.000000,5699000.000000,0.000000,8.558000,,,1168000.000000,0.000000,47.950000,,,0.000000,-158207000.000000,0.000000,0.000000,19411000.000000,,,,,1702000.000000,6576000.000000,0.333000,114805483.000000,114759000.000000,114759000.000000,0.000000,229428000.000000,0.000000,118000.000000,0.000000,5.998000
ARQ,2023-09-30,2023-11-17,2023-09-30,2023-Q3,189868000.000000,2494173847.000000,2025-05-08,-310000.000000,216370000.000000,,209959000.000000,6411000.000000,,5.036000,-820000.000000,50636000.000000,50636000.000000,0.000000,-23862000.000000,10.450000,0.121000,3851000.000000,817000.000000,3034000.000000,3851000.000000,0.000000,351000.000000,0.000000,0.000000,0.000000,-23457000.000000,-23106000.000000,,-23106000.000000,-23457000.000000,-23457000.000000,-0.630000,-0.630000,-0.630000,192964000.000000,,192964000.000000,2447388847.000000,-32.000000,-32.284000,-21377000.000000,-0.558000,1.000000,0.000000,,0.000000,0.000000,149494000.000000,,0.000000,154788000.000000,154788000.000000,0.000000,23406000.000000,20091000.000000,3315000.000000,10045000.000000,0.000000,473000.000000,0.000000,0.000000,473000.000000,30129000.000000,30949000.000000,-20557000.000000,0.000000,-23862000.000000,-23862000.000000,-23862000.000000,0.000000,0.000000,,26145000.000000,-26145000.000000,3319000.000000,0.000000,12.926000,-32.395000,-9.794000,6061000.000000,0.000000,53.770000,,,0.000000,-182069000.000000,0.000000,0.000000,17515000.000000,,,,,1858000.000000,8630000.000000,0.333000,139159315.000000,114948000.000000,114948000.000000,0.000000,216370000.000000,0.000000,405000.000000,0.000000,5.647000
ARQ,2023-12-31,2024-03-08,2023-12-31,2023-Q4,448868000.000000,1717586628.000000,2025-05-08,521000.000000,482017000.000000,,473608000.000000,8409000.000000,,12.332000,-1156000.000000,129792000.000000,129792000.000000,0.000000,-24503000.000000,19.143000,0.064000,5453000.000000,1440000.000000,4013000.000000,5453000.000000,0.000000,262000.000000,0.000000,0.000000,0.000000,-24815000.000000,-24553000.000000,,-24553000.000000,-24815000.000000,-24815000.000000,-0.480000,-0.480000,-0.480000,452966000.000000,,452966000.000000,1593247628.000000,-18.000000,-18.012000,-22885000.000000,-0.623000,1.000000,0.000000,,0.000000,0.000000,332938000.000000,,0.000000,337531000.000000,337531000.000000,0.000000,29051000.000000,24740000.000000,4311000.000000,79156000.000000,0.000000,300117000.000000,0.000000,0.000000,281629000.000000,-180744000.000000,-179588000.000000,-21729000.000000,0.000000,-24503000.000000,-24503000.000000,-24503000.000000,0.000000,0.000000,,30994000.000000,-30994000.000000,4742000.000000,0.000000,3.792000,-19.165000,-15.169000,8364000.000000,0.000000,36.860000,,,0.000000,-206572000.000000,0.000000,0.000000,20042000.000000,,,,,2098000.000000,10952000.000000,0.333000,139794124.000000,110198000.000000,110198000.000000,0.000000,482017000.000000,0.000000,-312000.000000,0.000000,13.122000
ARQ,2024-03-31,2024-05-09,2024-03-31,2024-Q1,425774000.000000,1801888398.000000,2025-05-08,-90000.000000,457225000.000000,,449360000.000000,7865000.000000,,9.230000,-162000.000000,97832000.000000,97832000.000000,0.000000,-26036000.000000,19.052000,0.064000,5125000.000000,1600000.000000,3525000.000000,5125000.000000,0.000000,660000.000000,0.000000,0.000000,0.000000,-26007000.000000,-25347000.000000,,-25347000.000000,-26007000.000000,-26007000.000000,-0.570000,-0.570000,-0.570000,429818000.000000,,429818000.000000,1709181398.000000,-18.000000,-17.803000,-34242000.000000,-0.735000,1.000000,0.000000,,0.000000,0.000000,340932000.000000,,0.000000,338617000.000000,338617000.000000,0.000000,27407000.000000,23586000.000000,3821000.000000,-31960000.000000,0.000000,755000.000000,0.000000,0.000000,702000.000000,1418000.000000,1580000.000000,-34080000.000000,0.000000,-26036000.000000,-26036000.000000,-26036000.000000,0.000000,0.000000,,32015000.000000,-32015000.000000,6538000.000000,0.000000,4.192000,-18.447000,-16.952000,7818000.000000,0.000000,38.650000,,,0.000000,-232608000.000000,0.000000,0.000000,20679000.000000,,,,,2744000.000000,11336000.000000,0.333000,139863370.000000,139710000.000000,139710000.000000,0.000000,457225000.000000,0.000000,29000.000000,0.000000,9.818000
ARQ,2024-06-30,2024-08-08,2024-06-30,2024-Q2,914962000.000000,1972688259.000000,2025-05-08,-487000.000000,947029000.000000,,937621000.000000,9408000.000000,,18.640000,-427000.000000,381627000.000000,381627000.000000,0.000000,-26034000.000000,41.380000,0.028000,4674000.000000,1629000.000000,3045000.000000,4674000.000000,0.000000,663000.000000,0.000000,0.000000,0.000000,-25981000.000000,-25318000.000000,,-25318000.000000,-25981000.000000,-25981000.000000,-0.540000,-0.540000,-0.540000,921032000.000000,,921032000.000000,1595735259.000000,-16.000000,-16.229000,-26820000.000000,-0.543000,1.000000,0.000000,,0.000000,0.000000,547417000.000000,,0.000000,545492000.000000,545492000.000000,0.000000,25997000.000000,22659000.000000,3338000.000000,283795000.000000,0.000000,515292000.000000,0.000000,0.000000,514703000.000000,-204515000.000000,-204088000.000000,-26393000.000000,0.000000,-26034000.000000,-26034000.000000,-26034000.000000,0.000000,0.000000,,33316000.000000,-33316000.000000,2209000.000000,0.000000,2.142000,-19.641000,-15.536000,7582000.000000,0.000000,34.490000,,,0.000000,-258642000.000000,0.000000,0.000000,22050000.000000,,,,,4196000.000000,11266000.000000,0.333000,171589561.000000,148239000.000000,148239000.000000,0.000000,947029000.000000,0.000000,53000.000000,0.000000,19.166000
