dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ART,2010-12-31,2011-04-07,2010-12-31,2010-Q4,720956000.000000,,2025-04-11,-52484000.000000,1888982000.000000,,1144082000.000000,744900000.000000,,1.061000,-186291000.000000,239649000.000000,342583777.000000,227597000.000000,115267000.000000,2.704000,1.705000,886892000.000000,211033000.000000,675859000.000000,1267832586.000000,0.000000,45776000.000000,0.000000,,0.000000,207690000.000000,253466000.000000,0.256000,362335498.000000,296897649.000000,158030000.000000,0.270000,0.270000,0.386000,693040000.000000,,990716677.000000,,,,-82039000.000000,-0.126000,0.700000,763133000.000000,0.770000,267747000.000000,49660000.000000,1845352000.000000,,527865000.000000,21079000.000000,12946000.000000,8133000.000000,1181592000.000000,423126000.000000,758466000.000000,-9723000.000000,-853000.000000,-2500000.000000,-1066000.000000,0.000000,-29275000.000000,-104056000.000000,-107768000.000000,104252000.000000,19356000.000000,115513000.000000,115513000.000000,165128500.000000,0.000000,246000.000000,0.117000,554178000.000000,208955000.000000,172606000.000000,0.000000,,,,434131000.000000,0.000000,,,,268387000.000000,115513000.000000,990730000.000000,1416271404.000000,0.000000,,,,0.210000,0.000000,289008000.000000,1.000000,653128490.000000,653128490.000000,,2.168000,1621235000.000000,49496000.000000,42517000.000000,83313000.000000,2.482000
ART,2011-12-31,2012-03-29,2011-12-31,2011-Q4,1283138000.000000,5074808367.000000,2025-04-11,37616000.000000,5807718000.000000,3848350000.000000,1929215000.000000,3878503000.000000,0.467000,2.545000,-136833000.000000,340586000.000000,452900290.000000,432154000.000000,50228000.000000,2.986000,2.492000,3110519000.000000,164731000.000000,2945788000.000000,4136267954.000000,0.000000,90639000.000000,0.000000,0.067000,0.518000,280664000.000000,371303000.000000,0.207000,493746767.000000,373217945.000000,80102000.000000,0.095000,0.095000,0.126000,1662507000.000000,1177773500.000000,2210748247.000000,8758176031.000000,23.000000,17.738000,83395000.000000,0.128000,0.752000,1363459000.000000,0.759000,2903408000.000000,200562000.000000,5028166000.000000,3436759000.000000,1030341000.000000,30306000.000000,16904000.000000,13402000.000000,4142724000.000000,646077000.000000,3496647000.000000,100937000.000000,-1619397000.000000,-2830000.000000,1762550000.000000,0.000000,1474972000.000000,-1618726000.000000,-1618422000.000000,220228000.000000,24463000.000000,50307000.000000,50307000.000000,66896628.000000,0.000000,79000.000000,0.028000,1085902000.000000,277557000.000000,308057000.000000,4.100000,2.296000,75.860000,61.507000,775869000.000000,0.000000,7.770000,2.125000,2.125000,516879000.000000,50307000.000000,1795613000.000000,2387748318.000000,0.000000,0.013000,0.043000,0.082000,0.156000,0.000000,488641000.000000,1.000000,653128490.000000,653128490.000000,,3.656000,2904310000.000000,200934000.000000,29795000.000000,543132000.000000,4.447000
ART,2012-12-31,2013-04-05,2012-12-31,2012-Q4,1341699000.000000,9408315898.000000,2025-04-11,-5239000.000000,5627474000.000000,5717596000.000000,1934564000.000000,3692910000.000000,0.458000,2.874000,-232260000.000000,473327000.000000,612242337.000000,1291345000.000000,255377000.000000,3.263000,1.996000,2889065000.000000,198246000.000000,2690819000.000000,3736968118.000000,0.000000,129126000.000000,0.000000,0.081000,1.166000,659986000.000000,789112000.000000,0.301000,1020706140.000000,853683334.000000,389257000.000000,0.375000,0.375000,0.485000,1876768000.000000,1769637500.000000,2427575074.000000,12533041679.000000,15.000000,12.279000,274858000.000000,0.421000,0.773000,1329599000.000000,0.507000,2838994000.000000,270729000.000000,4611353000.000000,4819759500.000000,998644000.000000,19552000.000000,460000.000000,19092000.000000,3746733000.000000,592865000.000000,3153868000.000000,132741000.000000,-9184000.000000,-18000.000000,-255569000.000000,0.000000,-305330000.000000,-64435000.000000,-33454000.000000,507118000.000000,-4612000.000000,256686000.000000,256686000.000000,332020013.000000,0.000000,1309000.000000,0.098000,669515000.000000,660084000.000000,255762000.000000,2.404000,3.876000,28.337000,29.698000,810107000.000000,0.000000,14.405000,2.775000,2.775000,409855000.000000,256686000.000000,2620944000.000000,3390157081.000000,124443000.000000,0.045000,0.145000,0.137000,0.252000,0.000000,545072000.000000,1.000000,653128490.000000,653128490.000000,,5.191000,2788480000.000000,62035000.000000,132571000.000000,459525000.000000,4.269000
ART,2013-12-31,2014-04-04,2013-12-31,2013-Q4,1424364000.000000,13806102553.000000,2025-04-11,-89281000.000000,5841036000.000000,5734255000.000000,2139660000.000000,3701376000.000000,0.478000,3.056000,-294516000.000000,708777000.000000,972245923.000000,1323880000.000000,342054000.000000,2.991000,1.777000,2814038000.000000,260827000.000000,2553211000.000000,3860081480.000000,0.000000,128469000.000000,0.000000,0.014000,0.272000,741024000.000000,869493000.000000,0.317000,1192703804.000000,1016479884.000000,501033000.000000,0.505000,0.505000,0.693000,2101262000.000000,1989015000.000000,2882350036.000000,16693938110.000000,16.000000,13.997000,297495000.000000,0.433000,0.729000,1417852000.000000,0.517000,2775576000.000000,239991000.000000,4455425000.000000,4533389000.000000,946913000.000000,52161000.000000,1200000.000000,50961000.000000,3733832000.000000,715296000.000000,3018536000.000000,235450000.000000,-69172000.000000,49981000.000000,-79413000.000000,-70062000.000000,-105146000.000000,-236034000.000000,-246840000.000000,592011000.000000,-15381000.000000,345551000.000000,345551000.000000,474000357.000000,0.000000,3497000.000000,0.126000,681732000.000000,736120000.000000,316009000.000000,0.393000,4.790000,29.127000,28.987000,840238000.000000,0.000000,20.080000,3.671000,3.671000,422048000.000000,276796000.000000,2741732000.000000,3760897656.000000,123271000.000000,0.060000,0.174000,0.163000,0.270000,0.000000,558461000.000000,1.000000,687554908.000000,687554908.000000,,5.470000,3065460000.000000,78134000.000000,155482000.000000,457023000.000000,4.458000
ART,2014-12-31,2015-04-01,2014-12-31,2014-Q4,1833411000.000000,11444351444.000000,2025-04-11,224397000.000000,8449749000.000000,7145392500.000000,2913122000.000000,5536627000.000000,0.470000,3.866000,-508510000.000000,1079146000.000000,1158899120.000000,1656170000.000000,467083000.000000,2.698000,2.177000,4352415000.000000,197785000.000000,4154630000.000000,4674075530.000000,0.000000,189472000.000000,0.000000,0.032000,0.534000,817885000.000000,1007357000.000000,0.300000,1081804631.000000,878329908.000000,592850000.000000,0.685000,0.685000,0.736000,2658123000.000000,2379692500.000000,2854568709.000000,14959527854.000000,17.000000,13.828000,470418000.000000,0.684000,0.931000,1699214000.000000,0.506000,4243093000.000000,225035000.000000,6400214000.000000,5427819500.000000,1194057000.000000,63809000.000000,502000.000000,63307000.000000,5786861000.000000,1079711000.000000,4707150000.000000,370369000.000000,-1234952000.000000,-138504000.000000,1226339000.000000,-156007000.000000,841118000.000000,-1521104000.000000,-1534640000.000000,978928000.000000,71427000.000000,470253000.000000,470253000.000000,505006540.000000,0.000000,3170000.000000,0.140000,841525000.000000,857689000.000000,530596000.000000,0.726000,4.009000,22.662000,22.627000,1147782000.000000,0.000000,16.645000,3.176000,3.176000,536155000.000000,384309000.000000,3355384000.000000,3603360031.000000,180753000.000000,0.066000,0.198000,0.151000,0.244000,0.000000,660772000.000000,1.000000,687554908.000000,687554908.000000,,5.241000,4206656000.000000,162038000.000000,122597000.000000,626248000.000000,6.118000
ART,2015-12-31,2016-04-05,2015-12-31,2015-Q4,2036466000.000000,10540216740.000000,2025-04-11,540855000.000000,9601715000.000000,9025732000.000000,3089472000.000000,6512243000.000000,0.436000,4.794000,-1075300000.000000,1142500000.000000,1301850394.000000,2003565000.000000,531441000.000000,2.934000,1.911000,4860594000.000000,262940000.000000,4597654000.000000,5538526226.000000,0.000000,189755000.000000,0.000000,0.046000,0.712000,931289000.000000,1121044000.000000,0.285000,1277401814.000000,1061180701.000000,690954000.000000,0.780000,0.780000,0.889000,3296203000.000000,2977163000.000000,3755941508.000000,14776892571.000000,14.000000,11.568000,-332522000.000000,-0.484000,0.878000,1930998000.000000,0.491000,4693931000.000000,240335000.000000,7572872000.000000,6986543000.000000,1431391000.000000,108410000.000000,1294000.000000,107116000.000000,6300325000.000000,1053006000.000000,5247319000.000000,63354000.000000,-58609000.000000,25390000.000000,28953000.000000,-221772000.000000,-158038000.000000,-633110000.000000,-654898000.000000,742778000.000000,111724000.000000,532145000.000000,532145000.000000,606366020.000000,0.000000,704000.000000,0.135000,960628000.000000,970370000.000000,516157000.000000,0.801000,2.806000,17.383000,17.248000,1644402000.000000,0.000000,15.330000,2.351000,2.351000,422926000.000000,412530000.000000,3934563000.000000,4483336885.000000,224193000.000000,0.059000,0.179000,0.133000,0.237000,0.000000,736435000.000000,1.000000,687554908.000000,687554908.000000,,6.521000,4907784000.000000,127064000.000000,158809000.000000,647761000.000000,7.138000
ART,2016-12-31,2017-04-04,2016-12-31,2016-Q4,2050751000.000000,13042916605.000000,2025-04-11,643066000.000000,10129772000.000000,9865743500.000000,3122514000.000000,7007258000.000000,0.410000,5.413000,-539680000.000000,895009000.000000,962789372.000000,2137539000.000000,544543000.000000,2.913000,1.720000,4936917000.000000,230065000.000000,4706852000.000000,5310797117.000000,0.000000,201869000.000000,0.000000,0.018000,0.350000,958494000.000000,1160363000.000000,0.287000,1248239028.000000,1031082186.000000,713665000.000000,0.800000,0.800000,0.861000,3721481000.000000,3508842000.000000,4003314329.000000,17390924350.000000,17.000000,13.932000,13598000.000000,0.020000,0.930000,1912291000.000000,0.472000,4839297000.000000,244829000.000000,8260620000.000000,7916746000.000000,1642931000.000000,293472000.000000,2582000.000000,290890000.000000,6401794000.000000,1071763000.000000,5330031000.000000,-247491000.000000,-202727000.000000,-23532000.000000,-80149000.000000,-216151000.000000,-329558000.000000,-506652000.000000,-520313000.000000,553278000.000000,35441000.000000,545456000.000000,545456000.000000,586764200.000000,0.000000,913000.000000,0.135000,972883000.000000,939408000.000000,603967000.000000,0.407000,3.258000,22.229000,22.043000,1809852000.000000,0.000000,18.970000,2.994000,2.994000,455955000.000000,422548000.000000,4049830000.000000,4356529690.000000,197617000.000000,0.055000,0.155000,0.121000,0.237000,0.000000,775266000.000000,1.000000,687554908.000000,687554908.000000,,6.336000,5290475000.000000,144932000.000000,168209000.000000,608603000.000000,7.695000
ART,2017-12-31,2018-04-06,2017-12-31,2017-Q4,1967329000.000000,13902360240.000000,2025-04-11,93807000.000000,10920264000.000000,10525018000.000000,2945316000.000000,7974948000.000000,0.410000,5.278000,-573718000.000000,886521000.000000,1085332142.000000,2166062000.000000,661314000.000000,3.012000,2.008000,6061811000.000000,155070000.000000,5906741000.000000,7421232340.000000,0.000000,215490000.000000,0.000000,0.019000,0.375000,960452000.000000,1175942000.000000,0.272000,1439658676.000000,1175842903.000000,697108000.000000,0.970000,0.970000,1.188000,3629079000.000000,3675280000.000000,4442936020.000000,20238260438.000000,17.000000,14.058000,268028000.000000,0.390000,0.817000,2152011000.000000,0.498000,5859840000.000000,263344000.000000,9257727000.000000,8759173500.000000,1629293000.000000,299636000.000000,10738000.000000,288898000.000000,7286299000.000000,977987000.000000,6308312000.000000,-8488000.000000,-1857210000.000000,0.000000,1808771000.000000,-218260000.000000,1434065000.000000,-2185880000.000000,-2192339000.000000,841746000.000000,-98419000.000000,662700000.000000,662700000.000000,811317059.000000,0.000000,1386000.000000,0.153000,1148668000.000000,1003343000.000000,564816000.000000,0.316000,3.129000,17.136000,17.027000,1760053000.000000,0.000000,20.220000,2.630000,2.630000,326879000.000000,539714000.000000,4318073000.000000,5286443770.000000,288320000.000000,0.063000,0.180000,0.110000,0.222000,0.000000,860348000.000000,1.000000,687554908.000000,687554908.000000,,7.689000,5060424000.000000,125688000.000000,34408000.000000,395621000.000000,7.360000
ART,2018-12-31,2019-04-05,2018-12-31,2018-Q4,2225930000.000000,13764849258.000000,2025-04-11,348837000.000000,12477046000.000000,11698655000.000000,3483251000.000000,8993795000.000000,0.384000,6.146000,-539155000.000000,1033792000.000000,1174763636.000000,2437164000.000000,594406000.000000,2.770000,1.841000,6383924000.000000,284461000.000000,6099463000.000000,7254459091.000000,0.000000,228609000.000000,0.000000,0.024000,0.479000,1021351000.000000,1249960000.000000,0.279000,1420409091.000000,1160626136.000000,728078000.000000,0.870000,0.870000,0.989000,4225554000.000000,3927316500.000000,4801765909.000000,19844544713.000000,17.000000,13.971000,198273000.000000,0.288000,0.880000,2049560000.000000,0.457000,6594767000.000000,293273000.000000,9975090000.000000,9616408500.000000,1949360000.000000,388471000.000000,53965000.000000,334506000.000000,7780442000.000000,1257321000.000000,6523121000.000000,147271000.000000,-524081000.000000,0.000000,37418000.000000,-278841000.000000,152503000.000000,-781867000.000000,-732481000.000000,737428000.000000,39207000.000000,596642000.000000,596642000.000000,678002273.000000,0.000000,2236000.000000,0.133000,1055436000.000000,994124000.000000,721699000.000000,0.485000,2.867000,20.302000,20.250000,1951983000.000000,0.000000,20.020000,2.700000,2.700000,361585000.000000,459895000.000000,4486724000.000000,5098550000.000000,240661000.000000,0.051000,0.152000,0.106000,0.228000,0.000000,814775000.000000,1.000000,687554908.000000,687554908.000000,,7.415000,5882279000.000000,154744000.000000,131436000.000000,406315000.000000,8.555000
ART,2019-12-31,2020-04-06,2019-12-31,2019-Q4,3995626000.000000,13311063019.000000,2025-04-11,343454000.000000,15542611000.000000,14009828500.000000,5362184000.000000,10180427000.000000,0.364000,7.013000,-719980000.000000,741982000.000000,806502174.000000,2757459000.000000,648644000.000000,3.924000,1.804000,7208638000.000000,362570000.000000,6846068000.000000,7835476087.000000,0.000000,302455000.000000,0.000000,0.027000,0.525000,1136570000.000000,1439025000.000000,0.282000,1564157609.000000,1235402174.000000,793605000.000000,0.910000,0.910000,0.989000,4822119000.000000,4523836500.000000,5241433696.000000,20340036932.000000,16.000000,13.004000,-151047000.000000,-0.220000,0.920000,2341232000.000000,0.459000,6940597000.000000,342965000.000000,13702112000.000000,11838601000.000000,2342590000.000000,1982329000.000000,1728926000.000000,253403000.000000,8696843000.000000,1366558000.000000,7330285000.000000,-291810000.000000,-119745000.000000,0.000000,-7515000.000000,-238740000.000000,-332356000.000000,-548789000.000000,-568236000.000000,568933000.000000,20402000.000000,625146000.000000,625146000.000000,679506522.000000,0.000000,23498000.000000,0.123000,1218839000.000000,1122393000.000000,747514000.000000,0.531000,2.540000,19.589000,19.573000,2863403000.000000,0.000000,19.360000,2.402000,2.402000,452306000.000000,488318000.000000,5098691000.000000,5542055435.000000,276018000.000000,0.045000,0.138000,0.096000,0.223000,0.000000,942821000.000000,1.000000,687554908.000000,687554908.000000,,8.061000,8602014000.000000,161293000.000000,168459000.000000,469793000.000000,12.511000
